movie	yahoo	genre
0047	1	Drama and Biopic
0048	1	Action/Adventure and Remake
0049	1	Art/Foreign, Comedy, Musical/Performing Arts and Romance
0050	1	Action/Adventure, Suspense/Horror, Thriller and Adaptation
0051	1	Comedy and Drama
0052	1	Action/Adventure, Comedy and Kids/Family
0053	1	Comedy, Romance and Remake
0054	1	Comedy, Drama, Suspense/Horror and Adaptation
0055	1	Science Fiction/Fantasy, Suspense/Horror, Thriller and Teen
0056	1	Action/Adventure, Drama, Romance, Western and Adaptation
0057	1	Comedy
0058	1	Action/Adventure, Kids/Family, Musical/Performing Arts, Animation, Adaptation and Remake
0059	1	Drama and Romance
0060	1	Drama
0061	1	Art/Foreign, Drama, Musical/Performing Arts, Romance and Thriller
0062	1	Action/Adventure and Thriller
0063	1	Comedy, Drama and Romance
0064	1	Comedy, Musical/Performing Arts and Adaptation
0065	1	Drama
0066	1	Action/Adventure, Drama, Thriller and Sequel
0067	1	Action/Adventure, Comedy, Drama, Romance, Sports and Teen
0068	1	Action/Adventure, Drama, Kids/Family and Adaptation
0069	1	Comedy and Musical/Performing Arts
0070	1	Action/Adventure, Comedy, Science Fiction/Fantasy, Western, Adaptation and Politics/Religion
0071	1	Art/Foreign, Drama, Romance and Adaptation
0072	1	Comedy, Romance, Adaptation and Remake
0073	1	Comedy and Musical/Performing Arts
0074	1	Comedy and Documentary
0075	1	Drama, Kids/Family, Musical/Performing Arts, Romance, Animation, Adaptation and Remake
0076	1	Drama, Adaptation and Biopic
0077	1	Comedy, Romance and Thriller
0078	1	Art/Foreign, Kids/Family, Science Fiction/Fantasy and Adaptation
0079	1	Comedy and Romance
0080	1	Comedy, Drama and Romance
0081	1	Drama, Crime/Gangster and Biopic
0082	1	Comedy, Kids/Family, Adaptation and Biopic
0083	1	Comedy, Drama and Crime/Gangster
0084	1	Drama, Romance and Adaptation
0085	1	Comedy, Drama, Kids/Family and Science Fiction/Fantasy
0086	1	Suspense/Horror, Thriller and Teen
0087	1	Comedy
0088	1	Suspense/Horror, Thriller and Teen
0089	1	Comedy, Kids/Family, Science Fiction/Fantasy, Adaptation and Remake
0090	1	Action/Adventure, Drama, Science Fiction/Fantasy, Suspense/Horror and Thriller
0091	1	Drama, Science Fiction/Fantasy and Crime/Gangster
0092	1	Action/Adventure, Drama and Kids/Family
0093	1	Drama, Musical/Performing Arts and Romance
0094	1	Action/Adventure, Kids/Family and Sequel
0095	1	Action/Adventure, Comedy, Drama and Science Fiction/Fantasy
0096	1	Drama
0097	1	Action/Adventure, Drama and Adaptation
0098	1	Drama
0099	1	Drama and Romance
0100	1	Drama and Thriller
0101	1	Drama, Suspense/Horror, Thriller, Adaptation and Teen
0102	1	Art/Foreign and Drama
0103	1	Comedy, Adaptation, Biopic and Teen
0104	1	Action/Adventure, Comedy, Drama, Thriller and Crime/Gangster
0105	1	Comedy
0106	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0107	1	Drama and Romance
0108	1	Comedy, Drama and Biopic
0109	1	Action/Adventure, Comedy, Science Fiction/Fantasy and Adaptation
0110	1	Drama and Crime/Gangster
0111	1	Action/Adventure, Drama, Kids/Family and Remake
0112	1	Comedy and Drama
0113	1	Drama and Romance
0114	1	Comedy and Science Fiction/Fantasy
0115	1	Comedy and Romance
0116	1	Action/Adventure, Thriller, Crime/Gangster and Politics/Religion
0117	1	Action/Adventure, Comedy, Thriller and Crime/Gangster
0118	1	Comedy, Drama and Musical/Performing Arts
0119	1	Comedy, Suspense/Horror, Thriller and Teen
0120	1	Drama, Musical/Performing Arts and Biopic
0121	1	Comedy and Romance
0122	1	Action/Adventure, Comedy and Romance
0123	1	Action/Adventure, Science Fiction/Fantasy, Adaptation and Sequel
0124	0	<NULL>
0125	0	<NULL>
0126	1	Drama, Romance, Thriller and Adaptation
0127	1	Comedy, Thriller and Crime/Gangster
0128	1	Drama and Adaptation
0129	1	Drama, Romance, Adaptation and Remake
0130	1	Documentary
0131	1	Drama, Science Fiction/Fantasy and Adaptation
0132	1	Comedy, Drama, Kids/Family, Romance and Adaptation
0133	1	Drama, Thriller and Adaptation
0134	1	Comedy, Drama, Musical/Performing Arts and Romance
0135	1	Art/Foreign and Drama
0136	1	Comedy and Drama
0137	1	Action/Adventure and Thriller
0138	1	Art/Foreign, Drama and Adaptation
0139	1	Comedy and Sports
0140	1	Action/Adventure, Comedy and Drama
0141	1	Action/Adventure, Kids/Family, Science Fiction/Fantasy and Animation
0142	1	Art/Foreign, Comedy and Drama
0143	1	Comedy, Drama, Crime/Gangster and Adaptation
0144	1	Comedy
0145	1	Comedy, Drama and Musical/Performing Arts
0146	1	Comedy, Drama and Thriller
0147	1	Drama and Thriller
0148	1	Action/Adventure and Comedy
0149	1	Comedy
0150	1	Comedy
0151	1	Suspense/Horror
0152	1	Action/Adventure, Science Fiction/Fantasy and Sequel
0153	1	Action/Adventure
0154	1	Comedy
0155	1	Comedy
0156	1	Western
0157	1	Action/Adventure, Drama, Science Fiction/Fantasy and Thriller
0158	1	Drama and Crime/Gangster
0159	1	Drama and Thriller
0160	1	Comedy, Drama and Teen
0161	1	Comedy and Drama
0162	1	Action/Adventure, Art/Foreign and Comedy
0163	1	Comedy, Sequel and Sports
0164	1	Drama and Sports
0165	1	Drama and Biopic
0166	1	Comedy and Science Fiction/Fantasy
0167	1	Drama and Romance
0168	1	Drama
0169	1	Action/Adventure, Drama, Science Fiction/Fantasy and Thriller
0170	1	Action/Adventure, Comedy, Drama and Science Fiction/Fantasy
0171	1	Art/Foreign and Drama
0172	1	Comedy and Drama
0173	1	Action/Adventure, Comedy and Romance
0174	1	Suspense/Horror
0175	1	Suspense/Horror
0176	1	Suspense/Horror and Thriller
0177	1	Comedy
0178	1	Comedy, Drama and Biopic
0179	1	Action/Adventure, Thriller and Crime/Gangster
0180	1	Suspense/Horror
0181	1	Drama and War
0182	1	Action/Adventure, Crime/Gangster and Biopic
0183	1	Drama, Romance, Adaptation and War
0184	1	Drama, Thriller and Crime/Gangster
0185	1	Comedy
0186	1	Action/Adventure and Musical/Performing Arts
0187	1	Suspense/Horror and Remake
0188	1	Comedy
0189	1	Action/Adventure and Drama
0190	1	Comedy and Romance
0191	1	Art/Foreign, Drama and Romance
0192	1	Comedy, Drama, Science Fiction/Fantasy and Suspense/Horror
0193	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0194	1	Action/Adventure and War
0195	1	Drama, Thriller and Politics/Religion
0196	1	Drama
0197	1	Art/Foreign and Drama
0198	1	Drama and Thriller
0199	1	Action/Adventure
0200	1	Drama and Sports
0201	1	Action/Adventure, Drama and Thriller
0202	1	Drama and Crime/Gangster
0203	1	Action/Adventure and Western
0204	1	Drama, Adaptation and War
0205	1	Art/Foreign and Drama
0206	1	Action/Adventure, Drama, Adaptation and War
0207	1	Science Fiction/Fantasy, Thriller, Politics/Religion and Sequel
0208	1	Art/Foreign and Comedy
0209	1	Comedy
0210	1	Action/Adventure, Comedy, Romance and Science Fiction/Fantasy
0211	1	Comedy and Musical/Performing Arts
0212	1	Action/Adventure, Drama, Crime/Gangster and Adaptation
0213	1	Action/Adventure and Crime/Gangster
0214	1	Drama and Adaptation
0215	0	<NULL>
0216	1	Suspense/Horror
0217	1	Comedy
0218	1	Comedy and Drama
0219	1	Action/Adventure and Comedy
0220	1	Suspense/Horror, Thriller and Teen
0221	1	Comedy
0222	1	Western
0223	1	Comedy, Drama, Romance and Politics/Religion
0224	1	Action/Adventure and Thriller
0225	1	Classics, Drama and Thriller
0226	1	Comedy
0227	1	Musical/Performing Arts
0228	1	Science Fiction/Fantasy and Suspense/Horror
0229	1	Action/Adventure and Drama
0230	1	Special Interest
0231	1	Comedy, Crime/Gangster and Teen
0232	1	Action/Adventure, Drama, Miscellaneous, Adaptation and War
0233	1	Comedy, Musical/Performing Arts and Adaptation
0234	1	Science Fiction/Fantasy, Suspense/Horror, Thriller and Adaptation
0235	1	Action/Adventure, Drama, Thriller and Politics/Religion
0236	1	Drama, Suspense/Horror, Thriller, Crime/Gangster and Biopic
0237	1	Comedy
0238	1	Drama
0239	1	Art/Foreign, Drama, Crime/Gangster and Adaptation
0240	1	Comedy
0241	1	Action/Adventure
0242	1	Comedy and Drama
0243	1	Comedy
0244	1	Comedy and Suspense/Horror
0245	1	Drama and Romance
0246	1	Action/Adventure and Comedy
0247	1	Suspense/Horror
0248	1	Science Fiction/Fantasy
0249	1	Action/Adventure, Thriller and Politics/Religion
0250	1	Drama
0251	1	Action/Adventure, Thriller and Crime/Gangster
0252	1	Drama and Thriller
0253	1	Drama and Romance
0254	1	Drama, Thriller and Adaptation
0255	1	Action/Adventure
0256	1	Art/Foreign
0257	1	Comedy and Romance
0258	1	Comedy and Drama
0259	1	Action/Adventure, Suspense/Horror and Sequel
0260	1	Drama, Musical/Performing Arts, Adaptation and Politics/Religion
0261	1	Action/Adventure, Comedy, Romance and Sequel
0262	1	Western
0263	1	Action/Adventure
0264	1	Action/Adventure, Comedy, Thriller and Crime/Gangster
0265	1	Action/Adventure, Comedy and War
0266	1	Comedy
0267	1	Action/Adventure, Documentary and Crime/Gangster
0268	1	Comedy
0269	1	Drama
0270	1	Drama, Thriller and Crime/Gangster
0271	1	Art/Foreign and Science Fiction/Fantasy
0272	1	Action/Adventure and Science Fiction/Fantasy
0273	1	Drama, Kids/Family, Animation and Adaptation
0274	1	Drama and Romance
0275	1	Comedy, Romance and Thriller
0276	1	Art/Foreign, Comedy, Drama and War
0277	1	Action/Adventure, Thriller and Adaptation
0278	1	Science Fiction/Fantasy and Suspense/Horror
0279	1	Art/Foreign and Drama
0280	1	Comedy, Romance and Adaptation
0281	1	Action/Adventure, Comedy, Drama, Miscellaneous and War
0282	1	Action/Adventure, Drama and Crime/Gangster
0283	1	Drama and Biopic
0284	1	Comedy and Sports
0285	1	Comedy, Musical/Performing Arts and Adaptation
0286	1	Drama and Adaptation
0287	1	Comedy
0288	1	Suspense/Horror, Thriller and Crime/Gangster
0289	1	Suspense/Horror
0290	1	Drama
0291	1	Drama and Musical/Performing Arts
0292	1	Drama, Kids/Family, Musical/Performing Arts and Romance
0293	1	Drama
0294	1	Drama and Romance
0295	1	Comedy and Drama
0296	1	Suspense/Horror
0297	1	Drama and Adaptation
0298	1	Action/Adventure and Comedy
0299	1	Action/Adventure
0300	1	Drama, Thriller and Crime/Gangster
0301	1	Western
0302	1	Art/Foreign, Comedy and Drama
0303	1	Action/Adventure, Comedy and Suspense/Horror
0304	1	Art/Foreign, Comedy, Romance and Thriller
0305	1	Action/Adventure
0306	1	Comedy, Drama and Politics/Religion
0307	1	Comedy and Suspense/Horror
0308	1	Comedy, Drama and Romance
0309	1	Suspense/Horror
0310	1	Action/Adventure
0311	1	Comedy and Adaptation
0312	1	Comedy
0313	1	Suspense/Horror
0314	1	Drama and Romance
0315	1	Western
0316	1	Art/Foreign, Drama and Thriller
0317	1	Art/Foreign and Drama
0318	1	Art/Foreign
0319	1	Comedy, Drama and Adaptation
0320	1	Comedy and Adaptation
0321	1	Comedy
0322	1	Comedy and Romance
0323	1	Action/Adventure and Western
0324	1	Comedy, Drama and Romance
0325	1	Drama, Romance and Adaptation
0326	1	Drama
0327	1	Action/Adventure, Comedy, Kids/Family and Thriller
0328	1	Comedy, Drama, Romance and Science Fiction/Fantasy
0329	1	Comedy
0330	1	Action/Adventure, Comedy and Sequel
0331	1	Science Fiction/Fantasy, Suspense/Horror and Thriller
0332	1	Comedy and Drama
0333	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0334	1	Suspense/Horror and Thriller
0335	1	Comedy, Drama, Romance and Crime/Gangster
0336	1	Comedy
0337	1	Drama and Musical/Performing Arts
0338	1	Comedy
0339	1	Action/Adventure and War
0340	1	Action/Adventure
0341	1	Drama
0342	1	Western
0343	1	Comedy, Romance and Teen
0344	1	Action/Adventure, Science Fiction/Fantasy and Sequel
0345	1	Action/Adventure, Drama, Romance and Sports
0346	1	Comedy, Romance and Adaptation
0347	1	Action/Adventure and Comedy
0348	1	Action/Adventure and Comedy
0349	1	Western
0350	1	Action/Adventure, Drama, Crime/Gangster, Biopic and Remake
0351	1	Drama, Thriller and Crime/Gangster
0352	1	Action/Adventure, Comedy and Sports
0353	1	Musical/Performing Arts and Adaptation
0354	1	Action/Adventure, Comedy and Western
0355	1	Musical/Performing Arts
0356	1	Drama
0357	1	Drama and War
0358	1	Musical/Performing Arts and Romance
0359	1	Action/Adventure, Thriller and Adaptation
0360	1	Action/Adventure, Comedy, Drama and Teen
0361	1	Comedy, Drama, Romance and Adaptation
0362	1	Drama
0363	1	Drama and Adaptation
0364	1	Action/Adventure and Comedy
0365	1	Drama, Thriller and Crime/Gangster
0366	1	Comedy, Sports and Teen
0367	1	Action/Adventure, Drama and Special Interest
0368	1	Suspense/Horror
0369	1	Comedy, Suspense/Horror and Sequel
0370	1	Musical/Performing Arts
0371	1	Special Interest and Crime/Gangster
0372	1	Action/Adventure and Comedy
0373	1	Action/Adventure, Comedy, Drama and Remake
0374	1	Action/Adventure
0375	1	Action/Adventure, Drama, Thriller and Adaptation
0376	1	Documentary, Special Interest and Politics/Religion
0377	1	Drama, Thriller and Adaptation
0378	1	Drama, Western and Adaptation
0379	1	Action/Adventure, Comedy, Romance and Crime/Gangster
0380	1	Comedy and Romance
0381	1	Action/Adventure, Romance and Western
0382	1	Drama
0383	1	Musical/Performing Arts
0384	1	Comedy and Drama
0385	1	Action/Adventure and Drama
0386	1	Comedy
0387	1	Drama, Musical/Performing Arts, Romance and Adaptation
0388	1	Drama and Adaptation
0389	1	Suspense/Horror and Adaptation
0390	1	Action/Adventure, Adaptation and War
0391	1	Kids/Family, Musical/Performing Arts, Science Fiction/Fantasy and Adaptation
0392	1	Action/Adventure and War
0393	1	Art/Foreign and Comedy
0394	1	Comedy and Romance
0395	1	Drama and Romance
0396	1	Musical/Performing Arts and Biopic
0397	1	Comedy
0398	1	Comedy
0399	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0400	1	Action/Adventure, Holiday and Sequel
0401	1	Comedy
0402	1	Drama and Thriller
0403	1	Action/Adventure, Drama, Sequel and Sports
0404	1	Drama, Thriller and Crime/Gangster
0405	1	Drama, Romance and Science Fiction/Fantasy
0406	1	Action/Adventure, Drama and Crime/Gangster
0407	1	Action/Adventure, Drama, Romance, Western and War
0408	1	Action/Adventure and Drama
0409	1	Action/Adventure, Science Fiction/Fantasy, Special Interest, Animation and Adaptation
0410	1	Action/Adventure, Romance, Thriller and Sports
0411	1	Drama and Adaptation
0412	1	Musical/Performing Arts
0413	1	Action/Adventure, Science Fiction/Fantasy and Sequel
0414	1	Comedy and Drama
0415	1	Comedy, Adaptation and Remake
0416	1	Action/Adventure and Comedy
0417	1	Action/Adventure, Comedy, Science Fiction/Fantasy and Adaptation
0418	1	Western
0419	1	Drama and Thriller
0420	1	Comedy, Musical/Performing Arts and Romance
0421	1	Art/Foreign and Drama
0422	1	Drama, Kids/Family and Musical/Performing Arts
0423	1	Action/Adventure, Drama, Romance, Thriller and Crime/Gangster
0424	1	Comedy, Kids/Family, Musical/Performing Arts and Politics/Religion
0425	1	Drama and Thriller
0426	1	Art/Foreign and Drama
0427	1	Art/Foreign, Comedy, Drama, Romance and Adaptation
0428	1	Art/Foreign and Drama
0429	1	Drama, Romance and Thriller
0430	1	Comedy, Romance and Science Fiction/Fantasy
0431	1	Action/Adventure, Art/Foreign, Drama and Romance
0432	1	Art/Foreign, Drama, Musical/Performing Arts and Biopic
0433	1	Comedy and Romance
0434	1	Action/Adventure, Comedy, Kids/Family and Adaptation
0435	1	Comedy, Romance and Politics/Religion
0436	1	Documentary and Special Interest
0437	1	Drama
0438	1	Comedy, Kids/Family, Science Fiction/Fantasy and Holiday
0439	1	Action/Adventure, Comedy and Romance
0440	1	Comedy, Kids/Family and Sports
0441	1	Action/Adventure, Comedy and Science Fiction/Fantasy
0442	1	Action/Adventure, Drama and Sports
0443	1	Action/Adventure and Comedy
0444	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0445	1	Drama, Musical/Performing Arts and Biopic
0446	1	Action/Adventure, Comedy, Drama, Kids/Family and Sports
0447	1	Action/Adventure and Remake
0448	1	Comedy, Musical/Performing Arts, Romance and Sequel
0449	1	Comedy, Drama, Thriller and Adaptation
0450	1	Action/Adventure, Drama, Western and Biopic
0451	1	Action/Adventure, Drama, Romance, Western and Biopic
0452	1	Comedy
0453	1	Drama and Biopic
0454	1	Action/Adventure, Comedy and Western
0455	0	<NULL>
0456	1	Comedy and Sequel
0457	1	Drama, Special Interest, Thriller, Biopic and Politics/Religion
0458	1	Comedy, Drama and Romance
0459	1	Special Interest
0460	1	Action/Adventure, Comedy, Romance, Thriller and Remake
0461	1	Drama, Romance, Suspense/Horror and Thriller
0462	1	Comedy, Drama and Romance
0463	1	Action/Adventure, Drama, Kids/Family, Sequel and Sports
0464	1	Comedy, Kids/Family, Science Fiction/Fantasy, Remake and Sports
0465	1	Drama and Adaptation
0466	1	Comedy
0467	1	Comedy and Drama
0468	1	Comedy
0469	1	Drama, Romance, Adaptation and Remake
0470	1	Drama, Romance and Adaptation
0471	1	Drama
0472	1	Drama, Thriller and Adaptation
0473	1	Action/Adventure, Drama and Thriller
0474	1	Action/Adventure, Drama and Western
0475	1	Action/Adventure, Science Fiction/Fantasy, Crime/Gangster and Sequel
0476	1	Action/Adventure, Drama, Thriller and War
0477	1	Action/Adventure, Science Fiction/Fantasy, Thriller and Adaptation
0478	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0479	1	Kids/Family, Musical/Performing Arts and Animation
0480	1	Action/Adventure, Comedy and Science Fiction/Fantasy
0481	1	Action/Adventure and Science Fiction/Fantasy
0482	1	Art/Foreign, Comedy and Science Fiction/Fantasy
0483	1	Drama, Thriller and Crime/Gangster
0484	1	Comedy, Drama, Adaptation and Holiday
0485	1	Comedy, Drama and Kids/Family
0486	1	Action/Adventure, Comedy, Romance, Crime/Gangster and Adaptation
0487	1	Drama
0488	1	Drama, Thriller and Adaptation
0489	1	Action/Adventure and Thriller
0490	1	Action/Adventure, Comedy, Suspense/Horror, Thriller and Crime/Gangster
0491	1	Action/Adventure and Thriller
0492	1	Drama, Romance, Special Interest and Adaptation
0493	1	Comedy, Science Fiction/Fantasy and Adaptation
0494	1	Suspense/Horror, Thriller and Teen
0495	1	Comedy, Drama and Thriller
0496	1	Drama and Western
0497	1	Comedy, Adaptation and Sequel
0498	1	Drama and Thriller
0499	1	Drama, Thriller and Adaptation
0500	1	Comedy and Drama
0501	1	Drama, Thriller, Crime/Gangster and Adaptation
0502	1	Action/Adventure, Drama and Crime/Gangster
0503	1	Comedy, Drama, Romance and Sports
0504	1	Action/Adventure, Comedy and Politics/Religion
0505	1	Drama and Thriller
0506	1	Art/Foreign
0507	1	Action/Adventure and Thriller
0508	1	Action/Adventure, Science Fiction/Fantasy, Crime/Gangster and Sequel
0509	1	Action/Adventure, Drama, Romance, Science Fiction/Fantasy, Thriller and Adaptation
0510	1	Drama, Science Fiction/Fantasy, Suspense/Horror, Thriller and Adaptation
0511	1	Action/Adventure, Comedy, Romance and Science Fiction/Fantasy
0512	1	Kids/Family, Animation and Sequel
0513	1	Kids/Family, Science Fiction/Fantasy, Special Interest and Animation
0514	1	Drama and Adaptation
0515	1	Documentary and Special Interest
0516	1	Action/Adventure, Suspense/Horror and Thriller
0517	1	Action/Adventure, Drama, Kids/Family, Musical/Performing Arts, Animation and Politics/Religion
0518	1	Drama, Romance and Adaptation
0519	1	Suspense/Horror, Thriller, Sequel and Teen
0520	1	Drama and Adaptation
0521	1	Art/Foreign and Drama
0522	1	Drama and Thriller
0523	1	Action/Adventure, Drama, Science Fiction/Fantasy, Thriller and Adaptation
0524	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0525	1	Action/Adventure, Comedy and Teen
0526	1	Drama, Thriller, Adaptation and Politics/Religion
0527	1	Comedy and Drama
0528	1	Drama and Adaptation
0529	1	Drama and Sports
0530	1	Action/Adventure, Science Fiction/Fantasy, Crime/Gangster and Adaptation
0531	1	Comedy
0532	1	Action/Adventure, Comedy and Musical/Performing Arts
0533	1	Suspense/Horror and Adaptation
0534	1	Action/Adventure, Comedy, Kids/Family and Science Fiction/Fantasy
0535	1	Comedy, Romance and Thriller
0536	1	Drama, Thriller, Biopic and Politics/Religion
0537	1	Comedy and Romance
0538	1	Action/Adventure, Romance, Remake and War
0539	1	Action/Adventure, Drama, Musical/Performing Arts, Romance and Thriller
0540	1	Action/Adventure, Comedy, Kids/Family, Musical/Performing Arts, Romance and Animation
0541	1	Action/Adventure, Romance, Western and Biopic
0542	1	Action/Adventure, Comedy and Western
0543	1	Drama, Kids/Family, Musical/Performing Arts, Animation and Adaptation
0544	1	Science Fiction/Fantasy, Suspense/Horror and Thriller
0545	1	Art/Foreign, Comedy and Drama
0546	1	Comedy, Drama and Science Fiction/Fantasy
0547	1	Art/Foreign, Comedy, Drama and Romance
0548	1	Art/Foreign, Comedy, Drama and Romance
0549	1	Action/Adventure, Thriller, Crime/Gangster and Adaptation
0550	1	Art/Foreign, Drama and Adaptation
0551	1	Romance, Thriller and Adaptation
0552	1	Comedy
0553	1	Art/Foreign, Drama and Thriller
0554	0	<NULL>
0555	1	Art/Foreign, Drama and Biopic
0556	1	Action/Adventure, Drama, Thriller, Crime/Gangster, Adaptation and Remake
0557	1	Comedy, Drama and Adaptation
0558	1	Art/Foreign and Drama
0559	1	Art/Foreign, Drama and Romance
0560	1	Comedy, Drama and Kids/Family
0561	1	Drama
0562	1	Comedy and Thriller
0563	1	Suspense/Horror, Thriller and Teen
0564	1	Comedy, Drama, Romance and Adaptation
0565	1	Action/Adventure and Thriller
0566	1	Drama
0567	1	Comedy and Crime/Gangster
0568	1	Comedy and Drama
0569	1	Comedy, Drama and Biopic
0570	1	Comedy, Drama and Musical/Performing Arts
0571	1	Art/Foreign and Documentary
0572	1	Action/Adventure, Comedy, Drama, Thriller and Crime/Gangster
0573	1	Comedy, Drama, Romance and Adaptation
0574	1	Comedy, Thriller, Adaptation and Teen
0575	1	Art/Foreign, Drama, Thriller and Crime/Gangster
0576	1	Drama, Romance and Sports
0577	1	Art/Foreign, Comedy and Drama
0578	1	Art/Foreign, Comedy and Drama
0579	1	Comedy and Romance
0580	1	Drama and Science Fiction/Fantasy
0581	1	Comedy and Romance
0582	1	Comedy, Drama, Romance and Adaptation
0583	1	Drama and Adaptation
0584	1	Drama and Crime/Gangster
0585	1	Art/Foreign, Comedy and Drama
0586	1	Comedy, Drama, Sports and Teen
0587	1	Action/Adventure, Kids/Family, Animation and Adaptation
0588	1	Art/Foreign, Comedy and Drama
0589	1	Comedy, Romance and Politics/Religion
0590	1	Drama, Thriller and War
0591	1	Art/Foreign and Comedy
0592	1	Drama, Romance, Thriller, Adaptation and Remake
0593	1	Drama, Thriller, Crime/Gangster and Adaptation
0594	1	Comedy and Drama
0595	1	Action/Adventure, Comedy and Western
0596	1	Art/Foreign and Comedy
0597	1	Drama
0598	1	Comedy and Drama
0599	1	Art/Foreign and Drama
0600	1	Drama
0601	1	Comedy, Romance and Teen
0602	1	Drama, Romance, Thriller and Adaptation
0603	1	Drama
0604	1	Comedy and Drama
0605	1	Action/Adventure, Comedy, Drama, Kids/Family and Animation
0606	1	Comedy, Musical/Performing Arts, Romance and Sports
0607	1	Comedy, Drama, Kids/Family, Romance and Science Fiction/Fantasy
0608	1	Art/Foreign and Documentary
0609	1	Drama, Romance, Thriller, Adaptation and War
0610	1	Comedy
0611	1	Drama
0612	1	Action/Adventure and Comedy
0613	1	Comedy, Drama, Musical/Performing Arts and Adaptation
0614	1	Art/Foreign, Drama and Adaptation
0615	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0616	1	Action/Adventure, Drama and Romance
0617	1	Adaptation
0618	1	Drama, Musical/Performing Arts, Romance, Suspense/Horror and Adaptation
0619	1	Drama and Crime/Gangster
0620	1	Art/Foreign, Comedy and Drama
0621	1	Action/Adventure
0622	1	Action/Adventure, Special Interest and Sequel
0623	1	Documentary, Adaptation, Biopic and Politics/Religion
0624	1	Drama and Adaptation
0625	1	Art/Foreign, Drama and Thriller
0626	1	Documentary, Biopic and Sports
0627	1	Action/Adventure, Documentary, Kids/Family and Science Fiction/Fantasy
0628	1	Drama and Sports
0629	1	Kids/Family, Science Fiction/Fantasy and Animation
0630	1	Art/Foreign, Comedy and Drama
0631	1	Action/Adventure, Science Fiction/Fantasy, Animation and Sequel
0632	1	Action/Adventure, Science Fiction/Fantasy and Thriller
0633	1	Action/Adventure, Drama, Science Fiction/Fantasy, Sequel and War
0634	1	Comedy and Adaptation
0635	1	Comedy and Musical/Performing Arts
0636	1	Action/Adventure and Science Fiction/Fantasy
0637	1	Art/Foreign
0638	1	Comedy, Romance and Teen
0639	1	Art/Foreign
0640	1	Comedy
0641	1	Drama, Thriller and Crime/Gangster
0642	1	Art/Foreign, Comedy, Drama, Musical/Performing Arts and Romance
0643	1	Drama, Musical/Performing Arts and Romance
0644	1	Action/Adventure, Drama and Romance
0645	1	Art/Foreign and Drama
0646	1	Drama and Adaptation
0647	1	Action/Adventure, Comedy, Kids/Family and Animation
0648	1	Science Fiction/Fantasy, Suspense/Horror, Thriller and Politics/Religion
0649	1	Comedy, Romance and Adaptation
0650	1	Comedy and Drama
0651	1	Action/Adventure, Drama, Science Fiction/Fantasy and Thriller
0652	1	Documentary
0653	1	Drama, Thriller, Adaptation and Biopic
0654	1	Art/Foreign, Comedy and Romance
0655	1	Art/Foreign and Drama
0656	1	Art/Foreign, Drama and Romance
0657	1	Art/Foreign, Drama, Romance and Adaptation
0658	1	Drama and Adaptation
0659	0	<NULL>
0660	1	Comedy
0661	1	Suspense/Horror
