movie	metacritic	mpaa_rating
0169	0	<NULL>
0170	1	PG
0171	1	R
0172	1	R
0173	1	R
0174	1	PG-13
0175	1	R
0176	1	R
0177	1	R
0178	1	PG-13
0179	0	<NULL>
0180	1	R
0181	1	R
0182	1	R
0183	1	PG-13
0184	1	G
0185	1	R
0186	1	G
0187	1	Unrated
0188	1	TV-14
0189	1	R
0190	1	TV-MA
0191	1	PG
0192	1	R
0193	1	R
0194	1	TV-14
0195	1	R
0196	0	<NULL>
0197	1	G
0198	1	R
0199	0	<NULL>
0200	1	PG
0201	1	R
0202	0	<NULL>
0203	1	R
0204	1	PG
0205	1	PG-13
0206	1	TV-MA
0207	1	R
0208	1	R
0209	1	R
0210	0	<NULL>
0211	1	G
0212	1	R
0213	1	R
0214	0	<NULL>
0215	1	R
0216	1	Not Rated
0217	1	R
0218	1	PG-13
0219	0	<NULL>
0220	1	PG-13
0221	1	PG
0222	1	PG
0223	1	PG-13
0224	0	<NULL>
0225	1	Unrated
0226	1	R
0227	1	PG-13
0228	1	PG
0229	1	R
0230	1	R
0231	1	R
0232	1	R
0233	1	Unrated
0234	1	R
0235	1	PG-13
0236	1	PG
0237	1	R
0238	1	R
0239	1	R
0240	1	PG
0241	1	PG-13
0242	1	TV-MA
0243	1	Unrated
0244	1	R
0245	1	R
0246	1	R
0247	1	PG-13
0248	1	R
0249	1	R
0250	1	Unrated
0251	1	PG-13
0252	0	<NULL>
0253	1	Unrated
0254	1	PG-13
0255	1	PG-13
0256	1	R
0257	1	NC-17
0258	1	R
0259	1	R
0260	1	R
0261	1	PG-13
0262	1	R
0263	1	R
0264	1	Unrated
0265	1	PG
0266	1	PG-13
0267	1	R
0268	1	PG-13
0269	1	Unrated
0270	0	<NULL>
0271	1	R
0272	1	PG
0273	1	TV-PG
0274	1	PG-13
0275	1	R
0276	1	R
0277	1	PG-13
0278	1	R
0279	1	PG
0280	1	Not Rated
0281	1	R
0282	1	R
0283	1	R
0284	1	Open
0285	1	Unrated
0286	1	PG-13
0287	1	PG-13
0288	1	PG-13
0289	1	TV-MA
0290	1	PG-13
0291	1	R
0292	1	R
0293	1	Not Rated
0294	1	R
0295	1	PG-13
0296	1	R
0297	1	PG-13
0298	1	R
0299	1	Unrated
0300	1	PG-13
0301	1	Not Rated
0302	1	PG-13
0303	1	PG-13
0304	1	Unrated
0305	1	Unrated
0306	1	R
0307	1	PG-13
0308	1	PG-13
0309	1	R
0310	1	R
0311	1	R
0312	1	R
0313	1	PG-13
0314	1	R
0315	0	<NULL>
0316	1	R
0317	1	NC-17
0318	1	R
0319	1	X
0320	1	Unrated
0321	1	NC-17
0322	0	<NULL>
0323	1	Unrated
0324	1	PG-13
0325	0	<NULL>
0326	1	R
0327	1	R
0328	1	Not Rated
0329	1	PG-13
0330	1	Unrated
0331	1	G
0332	1	R
0333	1	Not Rated
0334	1	R
0335	1	TV-MA
0336	1	G
0337	1	PG-13
0338	1	R
0339	1	R
0340	0	<NULL>
0341	1	R
0342	0	<NULL>
0343	1	R
0344	1	R
0345	1	PG
0346	1	Not Rated
0347	1	TV-MA
0348	1	PG
0349	1	R
0350	0	<NULL>
0351	1	TV-MA
0352	1	Unrated
0353	0	<NULL>
0354	1	R
0355	1	R
0356	1	R
0357	1	TV-14
0358	0	<NULL>
0359	1	R
0360	1	Unrated
0361	1	Unrated
0362	1	Unrated
0363	1	R
0364	1	X
0365	1	R
0366	1	R
0367	1	PG
0368	1	PG
0369	1	Not Rated
0370	1	R
0371	1	R
0372	0	<NULL>
0373	0	<NULL>
0374	1	R
0375	1	PG-13
0376	1	R
0377	1	R
0378	0	<NULL>
0379	0	<NULL>
0380	1	PG-13
0381	1	Not Rated
0382	1	R
0383	1	PG-13
0384	1	Not Rated
0385	1	R
0386	1	TV-MA
0387	1	Unrated
0388	1	Unrated
0389	1	R
0390	1	R
0391	1	TV-MA
0392	1	PG-13
0393	1	Unrated
0394	1	R
0395	1	Not Rated
0396	1	Not Rated
0397	1	PG-13
0398	1	R
0399	1	PG-13
0400	1	R
0401	1	PG-13
0402	1	PG
0403	1	PG-13
0404	1	PG
0405	1	PG-13
0406	1	R
0407	1	Unrated
0408	1	G
0409	1	R
0410	1	R
0411	1	PG-13
0412	1	R
0413	0	<NULL>
0414	1	TV-MA
0415	1	Unrated
0416	1	R
0417	1	PG
0418	1	PG-13
0419	1	X
0420	1	R
0421	1	PG-13
0422	1	R
0423	1	R
0424	1	R
0425	1	R
0426	1	R
0427	1	R
0428	1	R
0429	1	PG-13
0430	0	<NULL>
0431	1	R
0432	1	PG-13
0433	1	PG
0434	1	R
0435	1	R
0436	1	R
0437	1	R
0438	1	PG
0439	1	R
0440	0	<NULL>
0441	1	PG-13
0442	1	R
0443	1	PG
0444	1	R
0445	1	PG-13
0446	1	R
0447	1	R
0448	1	PG-13
0449	1	PG-13
0450	1	R
0451	1	PG-13
0452	1	TV-MA
0453	1	PG-13
0454	1	PG-13
0455	1	R
0456	1	Unrated
0457	1	PG
0458	1	Not Rated
0459	1	NC-17
0460	1	R
0461	1	PG
0462	1	PG
0463	0	<NULL>
0464	1	R
0465	1	R
0466	1	R
0467	1	R
0468	1	R
0469	1	R
0470	1	Unrated
0471	1	G
0472	0	<NULL>
0473	1	R
0474	1	R
0475	1	PG-13
0476	0	<NULL>
0477	1	PG-13
0478	1	PG-13
0479	1	R
0480	1	R
0481	1	PG-13
0482	1	Not Rated
0483	1	R
0484	1	R
0485	1	R
0486	1	NC-17
0487	1	R
0488	1	PG-13
0489	1	PG
0490	1	TV-MA
0491	1	PG
0492	1	R
0493	0	<NULL>
0494	1	PG-13
0495	1	PG
0496	1	R
0497	0	<NULL>
0498	1	R
0499	1	R
0500	1	PG-13
0501	1	PG
0502	1	R
0503	0	<NULL>
0504	1	PG
0505	1	Unrated
0506	1	Not Rated
0507	0	<NULL>
0508	1	PG
0509	1	Unrated
0510	1	PG
0511	1	TV-MA
0512	1	R
0513	1	GP
0514	1	PG-13
0515	1	R
0516	1	PG-13
0517	1	Unrated
0518	1	R
0519	1	Unrated
0520	1	PG
0521	1	R
0522	1	Unrated
0523	1	PG-13
0524	1	PG-13
0525	1	PG-13
0526	1	R
0527	1	PG
0528	1	Unrated
0529	0	<NULL>
0530	1	G
0531	1	TV-MA
0532	1	Open
0533	1	R
0534	1	PG
0535	1	R
0536	0	<NULL>
0537	1	R
0538	1	PG-13
0539	1	PG-13
0540	1	R
0541	1	R
0542	1	TV-PG
0543	1	R
0544	1	R
0545	1	R
0546	1	PG
0547	1	R
0548	1	PG
0549	1	R
0550	1	PG-13
0551	1	R
0552	1	PG-13
0553	1	R
0554	1	PG-13
0555	1	PG-13
0556	1	PG-13
0557	1	PG-13
0558	1	Unrated
0559	1	Unrated
0560	1	G
0561	1	PG-13
0562	1	R
0563	1	PG-13
0564	1	R
0565	0	<NULL>
0566	1	R
0567	1	R
0568	1	R
0569	1	R
0570	0	<NULL>
0571	1	PG-13
0572	1	TV-MA
0573	1	PG
0574	1	R
0575	1	R
0576	1	PG-13
0577	1	PG-13
0578	1	R
0579	1	R
0580	0	<NULL>
0581	1	PG-13
0582	1	R
0583	1	Not Rated
0584	1	R
0585	1	PG
0586	1	R
0587	1	R
0588	1	R
0589	1	R
0590	1	R
0591	1	R
0592	1	PG-13
0593	1	R
0594	1	Unrated
0595	1	R
0596	1	PG-13
0597	0	<NULL>
0598	1	PG-13
0599	1	R
0600	1	PG-13
0601	1	R
0602	1	R
0603	1	PG-13
0604	1	R
0605	1	PG-13
0606	1	R
0607	1	Unrated
0608	1	R
0609	0	<NULL>
0610	1	R
0611	1	R
0612	1	Unrated
0613	1	PG-13
0614	1	PG-13
0615	1	PG
0616	1	R
0617	1	PG
0618	1	R
0619	1	R
0620	1	R
0621	1	R
0622	1	R
0623	1	R
0624	1	PG-13
0625	1	R
0626	1	Not Rated
0627	1	R
0628	1	Not Rated
0629	1	PG-13
0630	1	R
0631	1	PG
0632	1	R
0633	1	R
0634	1	R
0635	1	R
0636	1	PG
0637	1	R
0638	1	R
0639	0	<NULL>
0640	1	R
0641	1	Unrated
0642	1	PG-13
0643	1	Unrated
0644	1	PG
0645	1	PG-13
0646	1	PG-13
0647	0	<NULL>
0648	1	TV-14
0649	0	<NULL>
0650	1	Unrated
0651	1	R
0652	1	R
0653	1	R
0654	1	GP
0655	1	R
0656	1	R
0657	0	<NULL>
0658	0	<NULL>
0659	1	PG-13
0660	1	Unrated
0661	1	PG
0662	1	G
0663	0	<NULL>
0664	1	PG
0665	1	Unrated
0666	1	PG
0667	1	R
0668	1	R
0669	1	PG-13
0670	1	PG-13
0671	1	PG
0672	1	TV-14
0673	1	G
0674	1	TV-MA
0675	1	R
0676	1	PG-13
0677	1	R
0678	1	R
0679	1	TV-G
0680	1	R
0681	0	<NULL>
0682	1	R
0683	1	R
0684	1	R
0685	1	PG-13
0686	1	R
0687	1	NC-17
0688	1	R
0689	1	PG
0690	1	R
0691	1	R
0692	1	TV-14
0693	1	PG-13
0694	1	R
0695	1	R
0696	1	R
0697	1	R
0698	1	PG-13
0699	1	R
0700	1	NC-17
0701	1	R
0702	1	TV-14
0703	1	R
0704	1	PG-13
0705	1	PG-13
0706	1	PG-13
0707	1	PG-13
0708	1	R
0709	1	Unrated
0710	0	<NULL>
0711	1	R
0712	1	R
0713	1	R
0714	1	R
0715	1	PG-13
0716	1	PG-13
0717	1	R
0718	1	PG-13
0719	1	PG-13
0720	1	R
0721	1	PG-13
0722	1	R
0723	1	R
0724	1	PG-13
0725	1	G
0726	1	PG-13
0727	1	PG-13
0728	0	<NULL>
0729	1	PG
0730	1	PG
0731	1	PG
0732	1	R
0733	1	PG-13
0734	1	R
0735	1	Unrated
0736	1	PG-13
0737	1	PG
0738	1	PG
0739	1	R
0740	1	R
0741	1	R
0742	1	PG-13
0743	1	R
0744	0	<NULL>
0745	0	<NULL>
0746	1	R
0747	1	PG
0748	1	PG
0749	1	R
0750	1	PG
0751	1	PG-13
0752	1	G
0753	1	PG
0754	1	R
0755	1	R
0756	1	R
0757	1	PG
0758	1	R
0759	1	PG-13
0760	1	R
0761	1	PG
0762	1	Unrated
0763	1	R
0764	1	PG-13
0765	1	R
0766	1	R
0767	1	Not Rated
0768	1	R
0769	1	PG-13
0770	1	PG
0771	1	R
0772	1	R
0773	1	R
0774	1	PG-13
0775	1	TV-G
0776	1	PG
0777	1	R
0778	1	R
0779	0	<NULL>
0780	1	R
0781	1	X
0782	1	PG-13
0783	1	R
0784	1	PG-13
0785	1	R
0786	1	PG
0787	1	PG
0788	1	Not Rated
0789	1	R
0790	1	R
0791	1	R
0792	1	PG
0793	1	R
0794	1	PG
0795	1	R
0796	1	R
0797	1	PG-13
0798	1	PG
0799	1	NC-17
0800	1	R
0801	1	PG
0802	1	PG-13
0803	1	G
0804	1	R
0805	1	R
0806	1	TV-MA
0807	1	Not Rated
0808	1	R
0809	1	R
0810	1	PG-13
0811	1	R
0812	1	PG
0813	1	TV-MA
0814	1	R
0815	1	R
0816	1	R
0817	1	R
0818	1	R
0819	1	NC-17
0820	1	R
0821	1	Unrated
0822	1	PG-13
0823	1	R
0824	1	PG-13
0825	1	PG-13
0826	1	PG-13
0827	1	R
0828	1	R
0829	1	R
0830	1	PG-13
0831	1	R
0832	1	PG-13
0833	1	PG-13
0834	1	R
0835	1	PG
0836	1	R
0837	1	R
0838	1	R
0839	1	R
0840	1	R
0841	1	Unrated
0842	1	PG-13
0843	1	R
0844	1	PG-13
0845	1	R
0846	1	PG
0847	0	<NULL>
0848	1	R
0849	1	R
0850	1	R
0851	1	Unrated
0852	1	R
0853	1	PG
0854	1	R
0855	0	<NULL>
0856	1	R
0857	1	R
0858	1	Unrated
0859	1	PG-13
0860	1	PG-13
0861	1	PG-13
0862	1	PG-13
0863	1	R
0864	1	R
0865	1	R
0866	1	R
0867	1	PG-13
0868	1	R
0869	1	R
0870	1	PG-13
0871	1	R
0872	1	Unrated
0873	1	PG
0874	0	<NULL>
0875	1	R
0876	1	R
0877	1	PG-13
0878	1	R
0879	0	<NULL>
0880	1	PG-13
0881	1	R
0882	1	PG-13
0883	1	R
0884	1	TV-14
0885	1	R
0886	1	R
0887	1	PG-13
0888	1	PG-13
0889	1	R
0890	1	Unrated
0891	1	R
0892	1	R
0893	1	R
0894	1	PG
0895	1	R
0896	1	PG-13
0897	1	R
0898	1	R
0899	1	Unrated
0900	1	R
0901	1	PG-13
0902	1	PG-13
0903	1	R
0904	1	R
0905	1	R
0906	1	R
0907	1	Unrated
0908	1	Unrated
0909	1	R
0910	1	PG-13
0911	1	PG
0912	1	PG-13
0913	1	Not Rated
0914	1	R
0915	1	NC-17
0916	1	R
0917	1	PG-13
0918	1	R
0919	1	R
0920	1	R
0921	1	PG-13
0922	1	R
0923	1	PG-13
0924	1	R
0925	1	PG
0926	1	TV-MA
0927	1	X
0928	1	R
0929	1	R
0930	1	PG-13
0931	1	R
0932	1	PG
0933	1	Unrated
0934	1	PG-13
0935	1	PG
0936	1	G
0937	1	R
0938	1	PG-13
0939	1	PG
0940	1	PG-13
0941	1	PG
0942	1	R
0943	1	PG
0944	1	R
0945	1	PG-13
0946	1	R
0947	1	R
0948	1	R
0949	1	R
0950	1	PG
0951	1	PG-13
0952	1	PG-13
0953	0	<NULL>
0954	1	PG-13
0955	1	PG-13
0956	1	R
0957	1	Not Rated
0958	1	R
0959	1	PG-13
0960	1	R
0961	1	G
0962	1	R
0963	1	R
0964	1	PG
0965	0	<NULL>
0966	1	PG-13
0967	1	PG-13
0968	1	PG
0969	1	R
0970	1	R
0971	1	Unrated
0972	1	PG-13
0973	1	R
0974	1	PG-13
0975	1	R
0976	0	<NULL>
0977	1	PG-13
0978	1	R
0979	1	R
0980	1	Unrated
0981	1	R
0982	1	R
0983	1	R
0984	1	R
0985	1	R
0986	1	R
0987	1	PG-13
0988	1	R
0989	1	R
0990	0	<NULL>
0991	0	<NULL>
0992	1	TV-MA
0993	1	R
0994	1	PG-13
0995	1	R
0996	1	R
0997	0	<NULL>
0998	1	R
0999	1	PG-13
1000	1	PG
1001	0	<NULL>
1002	1	R
1003	1	TV-MA
1004	1	PG
1005	1	PG-13
1006	1	R
1007	1	PG-13
1008	1	R
1009	0	<NULL>
1010	1	Unrated
1011	0	<NULL>
1012	1	PG
1013	1	R
1014	1	R
1015	1	R
1016	1	PG-13
1017	1	PG
1018	1	Not Rated
1019	1	PG-13
1020	1	PG
1021	1	PG-13
1022	1	PG-13
1023	1	G
1024	1	PG-13
1025	1	NC-17
1026	1	PG
1027	1	R
1028	1	PG-13
1029	1	R
1030	1	R
1031	1	R
1032	1	R
1033	1	TV-PG
1034	1	PG
1035	1	R
1036	1	R
1037	1	PG
1038	1	R
1039	1	TV-MA
1040	1	R
1041	1	R
1042	0	<NULL>
1043	1	R
1044	1	PG
1045	1	Unrated
1046	1	R
1047	1	R
1048	1	R
1049	1	R
1050	1	R
1051	1	PG-13
1052	0	<NULL>
1053	1	PG-13
1054	1	R
1055	1	R
1056	1	PG-13
1057	1	R
1058	1	R
1059	1	PG-13
1060	1	G
1061	1	PG
1062	1	PG-13
1063	1	R
1064	1	R
1065	1	TV-MA
1066	1	PG
1067	1	R
1068	1	R
1069	1	PG
1070	1	PG-13
1071	1	R
1072	1	R
1073	1	TV-MA
1074	1	R
1075	1	PG
1076	1	R
1077	1	PG-13
1078	1	R
1079	0	<NULL>
1080	1	Not Rated
1081	1	R
1082	1	R
1083	1	PG-13
1084	1	Unrated
1085	1	PG-13
1086	1	R
1087	1	R
1088	1	R
1089	1	R
1090	1	Unrated
1091	1	Unrated
1092	1	PG-13
1093	1	PG
1094	1	PG
1095	1	R
1096	1	TV-MA
1097	1	PG-13
1098	1	R
1099	1	R
1100	1	R
1101	1	R
1102	1	R
1103	1	R
1104	1	R
1105	1	R
1106	1	PG-13
1107	1	R
1108	1	Unrated
1109	1	Unrated
1110	1	R
1111	1	PG-13
1112	1	R
1113	1	R
1114	1	PG-13
1115	1	PG-13
1116	1	R
1117	1	PG
1118	1	PG-13
1119	1	R
1120	1	PG-13
1121	1	R
1122	1	R
1123	1	PG-13
1124	1	R
1125	1	PG-13
1126	1	PG-13
1127	1	PG-13
1128	1	R
1129	1	R
1130	1	PG-13
1131	1	R
1132	1	PG-13
1133	1	R
1134	0	<NULL>
1135	1	R
1136	1	R
1137	1	R
1138	1	PG
1139	1	Not Rated
1140	1	R
1141	1	R
1142	1	PG
1143	1	R
1144	1	PG-13
1145	1	PG-13
1146	1	PG-13
1147	1	R
1148	1	PG-13
1149	1	R
1150	1	R
1151	1	R
1152	1	PG
1153	1	PG-13
1154	1	PG-13
1155	1	Unrated
1156	1	Unrated
1157	1	R
1158	1	Unrated
1159	1	Unrated
1160	1	PG-13
1161	1	PG-13
1162	1	G
1163	1	R
1164	1	R
1165	1	Not Rated
1166	1	R
1167	1	R
1168	1	R
1169	1	R
1170	1	G
1171	1	PG-13
1172	1	PG-13
1173	1	PG-13
1174	1	PG-13
1175	1	R
1176	1	R
1177	1	PG-13
1178	1	PG-13
1179	1	R
1180	1	R
1181	1	R
1182	1	PG
1183	1	PG
1184	1	PG
1185	1	R
1186	1	PG-13
1187	1	PG-13
1188	1	PG
1189	1	NC-17
1190	1	R
1191	1	PG-13
1192	1	PG-13
1193	1	PG-13
1194	1	PG-13
1195	1	R
1196	1	R
1197	1	R
1198	1	R
1199	0	<NULL>
1200	1	R
1201	1	R
1202	1	PG-13
1203	1	R
1204	1	R
1205	1	PG-13
1206	1	PG-13
1207	1	R
1208	1	PG-13
1209	1	PG-13
1210	1	R
1211	1	R
1212	1	NC-17
1213	1	R
1214	1	R
1215	1	R
1216	1	R
1217	1	G
1218	1	R
1219	1	PG-13
1220	1	PG-13
1221	1	R
1222	0	<NULL>
1223	1	PG-13
1224	1	R
1225	1	R
1226	1	PG-13
1227	1	PG
1228	1	R
1229	1	PG-13
1230	1	Unrated
1231	1	R
1232	1	R
1233	1	R
1234	1	R
1235	1	R
1236	1	PG-13
1237	1	R
1238	1	R
1239	1	PG-13
1240	1	TV-14
1241	1	R
1242	1	PG
1243	1	PG-13
1244	1	Not Rated
1245	1	PG-13
1246	1	R
1247	1	PG-13
1248	1	R
1249	1	PG-13
1250	1	PG-13
1251	1	Not Rated
1252	1	R
1253	1	PG
1254	1	R
1255	1	PG-13
1256	1	R
1257	1	PG-13
1258	1	NC-17
1259	1	R
1260	1	PG
1261	1	R
1262	1	R
1263	1	PG-13
1264	1	R
1265	1	R
1266	1	PG-13
1267	1	PG-13
1268	1	R
1269	1	TV-MA
1270	1	R
1271	1	PG-13
1272	1	TV-MA
1273	1	PG
1274	1	R
1275	1	PG-13
1276	1	R
1277	1	PG-13
1278	1	PG-13
1279	1	R
1280	1	R
1281	1	PG-13
1282	1	R
1283	1	PG
1284	1	R
1285	1	PG-13
1286	1	PG-13
1287	1	R
1288	1	R
1289	1	PG-13
1290	1	PG-13
1291	1	R
1292	1	Unrated
1293	1	R
1294	1	PG-13
1295	1	R
1296	1	PG-13
1297	1	PG-13
1298	1	PG-13
1299	1	PG-13
1300	1	R
1301	1	R
1302	1	PG-13
1303	1	R
1304	1	R
1305	1	R
1306	1	Unrated
1307	1	R
1308	1	PG-13
1309	1	PG-13
1310	1	NC-17
1311	1	R
1312	1	R
1313	1	PG-13
1314	1	PG
1315	1	R
1316	1	PG-13
1317	0	<NULL>
1318	1	NC-17
1319	1	PG-13
1320	1	R
1321	1	PG-13
1322	1	R
1323	1	PG-13
1324	1	R
1325	1	R
1326	1	R
1327	1	R
1328	1	PG-13
1329	1	PG-13
1330	1	PG-13
1331	1	PG
1332	1	TV-MA
1333	1	PG-13
1334	1	R
1335	1	PG-13
1336	1	R
1337	1	PG-13
1338	1	R
1339	1	PG-13
1340	1	NC-17
1341	1	PG
1342	1	NC-17
1343	1	Unrated
1344	1	R
1345	1	PG
1346	1	Unrated
1347	1	PG
1348	1	R
1349	1	R
1350	1	R
1351	1	R
1352	1	PG
1353	1	R
1354	1	TV-G
1355	1	M
1356	1	PG-13
1357	1	PG-13
1358	1	R
1359	1	R
1360	1	PG
1361	1	R
1362	1	R
1363	1	PG
1364	1	R
1365	1	R
1366	1	R
1367	1	PG
1368	1	Unrated
1369	1	R
1370	1	R
1371	1	R
1372	1	Unrated
1373	1	R
1374	1	TV-14
1375	1	PG
1376	1	PG-13
1377	1	PG-13
1378	1	R
1379	1	PG-13
1380	1	R
1381	1	R
1382	1	R
1383	1	PG-13
1384	1	PG-13
1385	1	R
1386	1	PG-13
1387	1	R
1388	1	PG-13
1389	1	PG-13
1390	1	PG
1391	1	PG-13
1392	1	R
1393	1	R
1394	1	PG-13
1395	1	R
1396	1	R
1397	1	R
1398	1	PG-13
1399	0	<NULL>
1400	1	PG
1401	1	R
1402	1	R
1403	1	PG-13
1404	1	R
1405	1	PG-13
1406	1	PG
1407	0	<NULL>
1408	1	PG-13
1409	1	R
1410	1	PG-13
1411	1	R
1412	1	PG-13
1413	1	R
1414	1	PG-13
1415	1	PG-13
1416	1	PG-13
1417	1	R
1418	1	R
1419	1	R
1420	1	R
1421	1	R
1422	1	R
1423	1	PG-13
1424	1	Unrated
1425	1	R
1426	1	R
1427	1	PG
1428	1	R
1429	1	Unrated
1430	1	R
1431	1	PG-13
1432	1	R
1433	1	R
1434	1	R
1435	1	PG-13
1436	1	PG
1437	1	PG
1438	1	R
1439	1	PG-13
1440	1	NC-17
1441	1	Unrated
1442	1	PG
1443	1	R
1444	1	R
1445	1	PG-13
1446	1	PG
1447	1	PG-13
1448	1	PG
1449	1	R
1450	1	PG
1451	1	R
1452	1	PG-13
1453	1	R
1454	1	Unrated
1455	1	R
1456	1	R
1457	1	PG-13
1458	1	R
1459	1	TV-MA
1460	1	R
1461	1	Unrated
1462	1	R
1463	1	R
1464	1	PG
1465	1	R
1466	1	R
1467	1	PG-13
1468	1	PG-13
1469	1	PG-13
1470	1	R
1471	1	R
1472	1	R
1473	1	R
1474	1	R
1475	1	R
1476	1	Not Rated
1477	1	R
1478	1	PG
1479	1	PG-13
1480	1	PG-13
1481	1	R
1482	1	PG-13
1483	1	PG-13
1484	1	Not Rated
1485	1	PG-13
1486	1	NC-17
1487	1	R
1488	1	R
1489	1	R
1490	1	R
1491	1	PG
1492	1	Not Rated
1493	1	PG-13
1494	1	Not Rated
1495	1	R
1496	1	R
1497	1	PG-13
1498	1	R
1499	1	R
1500	1	PG-13
1501	1	R
1502	1	R
1503	1	PG
1504	1	R
1505	1	TV-MA
1506	1	PG-13
1507	1	R
1508	1	R
1509	1	R
1510	1	PG-13
1511	0	<NULL>
1512	1	Not Rated
1513	1	R
1514	0	<NULL>
1515	1	PG-13
1516	1	R
1517	1	R
1518	1	PG-13
1519	1	Unrated
1520	1	R
1521	1	R
1522	1	R
1523	1	PG-13
1524	1	R
1525	1	PG
1526	1	R
1527	1	PG
1528	1	PG-13
1529	1	PG
1530	1	PG
1531	1	Unrated
1532	1	R
1533	1	R
1534	1	PG
1535	1	R
1536	1	PG
1537	1	PG-13
1538	1	Not Rated
1539	1	R
1540	1	PG-13
1541	1	PG
1542	1	PG-13
1543	1	R
1544	1	PG-13
1545	1	PG-13
1546	1	R
1547	1	PG-13
1548	1	R
1549	1	PG-13
1550	1	R
1551	1	PG-13
1552	1	R
1553	1	R
1554	1	R
1555	1	PG-13
1556	1	R
1557	1	PG
1558	1	R
1559	1	PG
1560	1	R
1561	1	PG
1562	1	PG-13
1563	1	R
1564	1	R
1565	1	PG-13
1566	1	R
1567	1	R
1568	1	R
1569	1	PG-13
1570	1	Not Rated
1571	1	R
1572	1	R
1573	1	PG
1574	1	PG-13
1575	1	G
1576	1	R
1577	0	<NULL>
1578	1	R
1579	1	R
1580	1	R
1581	1	R
1582	1	R
1583	1	R
1584	1	R
1585	1	PG-13
1586	1	R
1587	1	PG-13
1588	1	PG
1589	1	TV-MA
1590	1	PG
1591	1	PG-13
1592	1	R
1593	1	R
1594	1	TV-14
1595	1	PG-13
1596	1	PG-13
1597	1	PG
1598	1	PG-13
1599	1	R
1600	1	Not Rated
1601	1	PG-13
1602	1	PG
1603	1	PG-13
1604	1	Unrated
1605	1	R
1606	1	PG-13
1607	1	R
1608	1	PG-13
1609	1	R
1610	1	R
1611	0	<NULL>
1612	1	R
1613	1	PG-13
1614	1	PG-13
1615	1	R
1616	1	PG-13
1617	1	PG-13
1618	1	R
1619	1	Unrated
1620	1	PG-13
1621	1	PG
1622	1	R
1623	1	PG
1624	1	NC-17
1625	1	R
1626	1	PG-13
1627	1	PG-13
1628	1	R
1629	1	PG
1630	1	R
1631	1	R
1632	1	PG-13
1633	1	R
1634	1	PG-13
1635	1	PG-13
1636	1	Unrated
1637	1	PG
1638	1	Not Rated
1639	1	R
1640	1	TV-MA
1641	1	R
1642	1	R
