movie	hollywood	director
0303	2	Barna Kabay	Imre Gyöngyössy
0304	1	Stan Lathan
0305	1	Leon Benson
0306	1	Sidney J. Furie
0307	1	Mark Griffiths
0308	1	Alain Corneau
0309	1	Charles Shyer
0310	1	Michael Winner
0311	1	Bill Forsyth
0312	2	Chuck Vincent	Marc Ubell
0313	1	Matt Cimber
0314	1	Douglas Cheek
0315	1	István Szabó
0316	1	Jonathan Lynn
0317	1	Luc Besson
0318	1	Amy Heckerling
0319	1	James Bridges
0320	1	John Hughes
0321	1	John Schlesinger
0322	1	Burt Reynolds
0323	1	Christopher Cain
0324	1	Pedro Almodóvar
0325	1	Martha Coolidge
0326	1	Patrice Chéreau
0327	1	John Boorman
0328	1	Geoff Murphy
0329	1	George A. Romero
0330	1	Joe Dante
0331	1	Gil Brealey
0332	1	Rafal Zielinski
0333	1	Richard Lowenstein
0334	1	Bryan Forbes
0335	2	Tony Lo Bianco	Victor Lobl
0336	1	Andre Melancon
0337	1	Stephen Gyllenhaal
0338	1	James Frawley
0339	1	Tim Hunter
0340	1	James Komack
0341	1	Arna Selznick
0342	1	Henry Jaglom
0343	1	Pierre de Moro
0344	1	Will Vinton
0345	5	Ed Friedman	Lou Kachivas	Marsh Lamore	Bill Reed	Gwen Wetzler
0346	1	Danny Steinmann
0347	1	Robert Clouse
0348	1	Amos Kollek
0349	1	Hugh Wilson
0350	1	Glenda Hambly
0351	1	Curtis Harrington
0352	1	David A. Prior
0353	1	Gordon Hessler
0354	1	Robert Collector
0355	1	Gene Nelson
0356	1	Jacques Baratier
0357	1	Bill Colleran
0358	1	John Laing
0359	1	Adam Holender
0360	1	Darrell James Roodt
0361	1	John Irvin
0362	1	Agnès Varda
0363	1	James Foley
0364	1	Francis Veber
0365	1	Michael Ritchie
0366	1	Teresa Sparks
0367	1	Petru Popescu
0368	1	Joe Roth
0369	1	Michael Hoffman
0370	1	Sandy Wilson
0371	1	Michael Rubbo
0372	1	George Mendeluk
0373	1	Michael Jenkins
0374	1	Bertrand Blier
0375	1	Bruce Malmuth
0376	1	Menahem Golan
0377	1	Gary Hudson
0378	1	Paul Nicolas
0379	1	Richard Lester
0380	1	Costa-Gavras
0381	2	Aram Allen	Janet Greek
0382	1	Brian De Palma
0383	1	Frank Harris
0384	1	Ruggero Deodato
0385	1	Neil Jordan
0386	1	Clive Donner
0387	1	Anne Wheeler
0388	1	Buddy Giovinazzo
0389	1	Paul Mayersberg
0390	1	Tobe Hooper
0391	1	Sergei Bondarchuk
0392	1	Elem Klimov
0393	1	John Boorman
0394	1	Jerry Schatzberg
0395	1	Clive Barker
0396	1	Fred Olen Ray
0397	1	Richard Attenborough
0398	1	Sam Raimi
0399	2	Chuck Vincent	Marc Ubell
0400	1	Jean-Claude Lord
0401	1	Gregg Araki
0402	1	Alan Parker
0403	1	Robert Taicher
0404	1	Lili Rademakers
0405	1	Stephen Bayly
0406	1	Robert Mugge
0407	1	William Asher
0408	1	Robert Mulligan
0409	1	Terence Young
0410	1	James Ivory
0411	1	Fred Coe
0412	1	Alex Cox
0413	1	Lindsay Anderson
0414	1	Nathan J. White
0415	1	Gilbert Cates
0416	1	Shohei Imamura
0417	1	Carlo Vanzina
0418	1	Richard Benner
0419	1	Bill Forsyth
0420	1	Werner Herzog
0421	1	Patricia Rozema
0422	1	Bertrand Blier
0423	1	Stephen Frears
0424	1	Suzana Amaral
0425	1	Bruce R. Cook
0426	1	James L. Brooks
0427	1	B.J. Davis
0428	1	John Schlesinger
0429	1	Martin Rosen
0430	1	Gilles Behat
0431	1	Bob Dahlin
0432	2	Gorman Bechard	Yoshimitsu Morita
0433	2	Connie Kaiserman	David Saperstein
0434	0	<NULL>
0435	1	Ken Cameron
0436	1	Mary Ellen Bute
0437	1	Alan Rudolph
0438	1	Huang Shuqin
0439	1	David Hare
0440	1	Mike Jittlov
0441	1	Craig R. Baxley
0442	1	Robert Spera
0443	1	Jan Svankmajer
0444	1	B.J. Davis
0445	1	Chuck Russell
0446	1	Hector Olivera
0447	1	Michael Hoffman
0448	1	Jerzy Kawalerowicz
0449	1	Luis Llosa
0450	1	Stephen Frears
0451	1	Nico Mastorakis
0452	1	Oliver Stone
0453	1	Tony Randel
0454	1	Harley Cokliss
0455	1	Nanni Moretti
0456	1	Rick Rosenthal
0457	1	Don Coscarelli
0458	1	Edgar G. Ulmer
0459	1	Paul Flaherty
0460	1	Victor Erice
0461	1	David Green
0462	1	Ferdinand Fairfax
0463	1	Peter Patzak
0464	1	Raoul Peck
0465	1	Don Jones
0466	1	Wes Craven
0467	1	Emir Kusturica
0468	1	Deborah Roberts
0469	1	John Holland
0470	1	Aaron Kim Johnston
0471	1	Vasily Pichul
0472	1	Andi Engel
0473	1	Euzhan Palcy
0474	1	Dwight H. Little
0475	1	Andrew Davis
0476	1	Spike Lee
0477	1	Walter Hill
0478	1	John Frankenheimer
0479	2	Joanelle Nadine Romero	Jonathan Wacks
0480	1	Larry Peerce
0481	1	Jack Sholder
0482	1	Steve Kloves
0483	1	Pekka Parikka
0484	1	Alex Segal
0485	1	Gordon M. Douglas
0486	1	Damian Harris
0487	1	Patrick Sheane Duncan
0488	1	David Schmoeller
0489	1	Peter Masterson
0490	1	Amin Q. Chaudhri
0491	1	Rowdy Herrington
0492	1	John Flynn
0493	1	Dino Risi
0494	1	Derek Jarman
0495	1	Antonio Drove
0496	2	Lang Elliott	Hugh Kelley
0497	1	Mitchell Gabourie
0498	1	Ivan Reitman
0499	1	Johnny To
0500	1	Susan Seidelman
0501	1	Michael A. Simpson
0502	1	George Rowe
0503	1	Phil Alden Robinson
0504	1	Norman Jewison
0505	1	Fred Williamson
0506	1	Sean S. Cunningham
0507	2	Frank Kerr	Peter Maris
0508	1	Jim Wynorski
0509	1	Peter Bonerz
0510	2	Carlo Ludovico Bragaglia	Edgar G. Ulmer
0511	1	Andy Warhol
0512	1	Tomás Gutiérrez Alea
0513	1	Frank de Palma
0514	1	Bob Clark
0515	1	Franco Amurri
0516	1	B.J. Davis
0517	1	Craig R. Baxley
0518	1	Fred Olen Ray
0519	1	Peter M. MacKenzie
0520	1	Aki Kaurismäki
0521	1	Rob Reiner
0522	1	Charles Winkler
0523	1	Dwight H. Little
0524	1	Kevin S. Tenney
0525	1	Clint Eastwood
0526	1	Abel Ferrara
0527	1	James Bond III
0528	1	Melvin Van Peebles
0529	1	Douglas Bronco
0530	1	Martin Scorsese
0531	1	Zalman King
0532	1	Jim Wynorski
0533	1	Richard Lester
0534	1	Michael Moore
0535	1	Jack Cardiff
0536	1	Abel Ferrara
0537	1	Bernard Rose
0538	1	John Feldman
0539	2	Hendel Butoy	Mike Gabriel
0540	1	Glenn Takakjian
0541	1	Jim C. Harris
0542	1	Andre Guttfreund
0543	1	Richard Gabai
0544	1	Stephen Hopkins
0545	1	Dyan Cannon
0546	1	Tim Spring
0547	1	Thierry Notz
0548	1	Bertrand Tavernier
0549	2	Gregory Brown	Gregory Hippolyte
0550	1	Aki Kaurismäki
0551	1	Joel Schumacher
0552	1	Sondra Locke
0553	1	Sam Raimi
0554	1	David A. Prior
0555	1	Leo Penn
0556	1	Sergio Corbucci
0557	1	Sergio Sollima
0558	1	Robert Gist
0559	1	Charles Finch
0560	1	Jonathan Demme
0561	1	Bertrand Tavernier
0562	1	Mitsuo Yanagimachi
0563	1	Nancy Zala
0564	1	E. Elias Merhige
0565	1	Richard Munchkin
0566	1	John Frankenheimer
0567	1	Mel Damski
0568	1	Paul Mazursky
0569	1	Gregory Hippolyte
0570	1	Peter Wang
0571	1	Bernt Amadeus Capra
0572	1	Pavel Lungin
0573	1	Gabriel Pelletier
0574	1	Rodney McDonald
0575	1	Greydon Clark
0576	1	Leonard B. Stern
0577	1	Dennis Hopper
0578	1	Jack Bender
0579	1	Dan O'Bannon
0580	1	Jackson Hunsicker
0581	1	William Reilly
0582	1	Mark Rydell
0583	1	Peter Medak
0584	1	Joel Coen
0585	1	Giuliano Montaldo
0586	1	Erin Dignam
0587	1	Kelly Makin
0588	1	Christian Duguay
0589	1	Peter Maris
0590	1	Peter Lehner
0591	1	Stanley Kwan
0592	1	Stephen Poliakoff
0593	1	Isaac Julien
0594	1	David DeCoteau
0595	1	Michael Lehmann
0596	1	Andre Melancon
0597	1	Albert Pyun
0598	1	Philippe Garrel
0599	1	Alexandre Arcady
0600	1	Sam Firstenberg
0601	1	Veronika Zilkova
0602	1	Jamaa Fanaka
0603	2	Rusty Lemorande	Peter Weigl
0604	1	Orson Welles
0605	1	Chen Kaige
0606	1	Howard Deutch
0607	1	George Daugherty
0608	1	Steve Miner
0609	1	Hal Hartley
0610	1	Keith Gordon
0611	1	Shinya Tsukamoto
0612	2	Greydon Clark	Ken Stein
0613	1	Robert Mulligan
0614	1	George Roy Hill
0615	1	Norman Tokar
0616	1	Curtis Hanson
0617	1	Ben Model
0618	1	Duncan McLachlan
0619	1	Frank Howson
0620	1	William Sachs
0621	1	David F. Price
0622	1	Jimmy Zeilinger
0623	1	Brett Leonard
0624	1	Atom Egoyan
0625	1	Gerald Thomas
0626	1	Alain Zaloum
0627	1	Jonathan Lynn
0628	1	Isaac Florentine
0629	0	<NULL>
0630	1	John Woo
0631	1	Fernando Trueba
0632	1	Vic Armstrong
0633	1	Tom Berry
0634	1	Aleksandar Petrovic
0635	1	Robert Parrish
0636	1	Andy Warhol
0637	1	Charles Davis
0638	1	Jean-Claude Lauzon
0639	1	John Howley
0640	1	James Lemmo
0641	1	Henry Selick
0642	1	Jane Campion
0643	1	Xie Fei
0644	1	Patrick Alan
0645	1	Jim Sheridan
0646	1	Stephan Elliot
0647	1	Robert Greenwald
0648	1	Luca Bercovici
0649	1	Jefery Levy
0650	1	Jag Mundhra
0651	1	Rafal Zielinski
0652	1	Barry Sonnenfeld
0653	1	Sam Firstenberg
0654	1	Robert Klane
0655	1	Takehiro Nakajima
0656	4	Arnold Glassman	Andrew Glassman	Todd McCarthy	Stuart Samuels
0657	1	Fred Schepisi
0658	1	Ching Siu Tung
0659	1	John O'Brien
0660	1	Tristram Powell
0661	1	Nick Castle, Jr.
0662	1	Neal Israel
0663	1	Arthur H. Nadel
0664	1	Alberto Lecchi
0665	0	<NULL>
0666	1	Rob Reiner
0667	1	Daniel Bergman
0668	1	Jacques Rivette
0669	1	Pascale Ferran
0670	3	Chantal Akerman	Mylene Azria	Pierre-Alain Schatzmann
0671	1	Ringo Lam
0672	1	Daniel Petrie
0673	1	Jerzy Stuhr
0674	2	Kristine Peterson	Wade W. Danielson
0675	1	Claude Berri
0676	1	Cynthia Roberts
0677	1	Les Mayfield
0678	2	Laurence Horricks	Richard J. Lewis
0679	1	Stan Lai
0680	1	Gus Van Sant
0681	1	Adam Rifkin
0682	1	Scott Saunders
0683	1	Sergio Bianchi
0684	1	Taku Oshima
0685	1	Aaron Norris
0686	1	Kiyanush Ayyari
0687	1	Mel Smith
0688	1	Richard Rush
0689	1	Edward J. Montagne Jr.
0690	1	Dagmar Knoepfel
0691	1	François Girard
0692	1	David Carson
0693	1	Tibor Takacs
0694	1	Ventura Pons
0695	2	Brian Trenchard-Smith	Lynn D'Angona
0696	1	Mike Sedan
0697	1	George Miller
0698	1	Boris Frumin
0699	1	Mark Griffiths
0700	1	Daniel Kamwa
0701	1	Joe Johnston
0702	1	Mathieu Kassovitz
0703	1	Jeremy Stanford
0704	1	Tsui Hark
0705	1	Joel Coen
0706	1	Krzysztof Kieslowski
0707	1	Ken Loach
0708	1	Michael Bat-Adam
0709	1	Harvey Berman
0710	1	Michael Anderson
0711	1	Christian Marquand
0712	1	Tony Scott
0713	1	Ahmad-Reza Darvish
0714	1	Jonathan Stack
0715	1	Woody Allen
0716	1	Bruce LaBruce
0717	1	John McTiernan
0718	1	Bryan Singer
0719	1	Wolfgang Petersen
0720	1	Brewster MacWilliams
0721	1	Diane Keaton
0722	1	Pilar Miro
0723	1	Jon Bang Carlsen
0724	1	Rusty Cundieff
0725	1	Peter Gardos
0726	1	Kevin Smith
0727	1	Michael Caton-Jones
0728	1	Mira Nair
0729	1	Joel Lamangan
0730	1	Joseph Nobile
0731	1	Maurice Pialat
0732	1	Stephen Frears
0733	1	Satyajit Ray
0734	1	Brad Silberling
0735	1	Taylor Hackford
0736	1	Simon Wincer
0737	2	Hristian Notchev	Ilian Simeonov
0738	1	Kelly Reichardt
0739	1	Andrew Behar
0740	1	Noah Baumbach
0741	1	Werner Herzog
0742	1	Robert Mulligan
0743	1	Richard Fleischer
0744	1	John Cassavetes
0745	1	John Schlesinger
0746	1	Jean Becker
0747	1	Oley Sassone
0748	1	Rick Stevenson
0749	1	Oliver Stone
0750	1	Michael Apted
0751	1	Richard Shepard
0752	1	John Badham
0753	1	Russ Forster
0754	1	P.J. Hogan
0755	1	Emmanuelle Cuau
0756	1	Bryan Gordon
0757	5	William Beaton	Lisa Lake	Robin Mahoney	Matthew Salkeld	Michael Sarne
0758	1	Djibril Diop Mambety
0759	1	John Carpenter
0760	1	Demetria Royals
0761	1	Hsu Hsiao-ming
0762	1	Alfonso Cuarón
0763	1	Cassian Elwes
0764	0	<NULL>
0765	2	Nick McCarthy	Maurice O'Callaghan
0766	1	James Bruce
0767	1	Erik Fleming
0768	1	George Whittenburg Ratliff
0769	1	Jean-Luc Godard
0770	1	Joseph Losey
0771	1	Alain Resnais
0772	1	John Flynn
0773	1	Jorge Montesi
0774	1	Raúl Ruiz
0775	1	Tim Pope
0776	1	Matthias Glasner
0777	1	Ismail Merchant
0778	1	Ric Waugh
0779	1	Karim Dridi
0780	1	Hamilton Sterling
0781	1	John Huddles
0782	1	Hugh Wilson
0783	1	Jan Troell
0784	1	Joseph Vilsmaier
0785	1	Vicente Aranda
0786	1	Chris Brown
0787	1	Frances VonZerneck
0788	1	Joseph Merhi
0789	1	Gilbert Adler
0790	1	Harold Becker
0791	1	Todd Solondz
0792	1	Robert Stevenson
0793	1	Evald Schorm
0794	1	Enzo G. Castellari
0795	1	Hong Sang-soo
0796	2	Timothy Quay	Stephen Quay
0797	1	Keith Gordon
0798	2	Fred Keleman	Regina Krah
0799	1	Rick Goldsmith
0800	1	Eleni Alexandrakis
0801	1	Gillies MacKinnon
0802	1	Yoshimitsu Morita
0803	1	Jang Sun-Woo
0804	1	Michael Cimino
0805	1	Tom Holland
0806	1	Edward Zwick
0807	2	Anna Campion	Max Keene
0808	1	Shyam Benegal
0809	1	Suzanne Osten
0810	1	John Gray
0811	1	Juan Carlos DeSanzo
0812	1	Craig R. Bradley
0813	1	Brian Levant
0814	1	Chris Newby
0815	1	Anne Rose Dremann
0816	1	Park Chul-Soo
0817	1	Marco Ferreri
0818	1	George Miller
0819	1	Ruth Beckermann
0820	1	Norman Jewison
0821	1	Carroll Ballard
0822	1	Stephen Herek
0823	1	Todd Verow
0824	1	Philippe Garrel
0825	1	Raymond Rajaonarivelo
0826	1	Cameron Crowe
0827	1	Paul Morrissey
0828	1	George Axelrod
0829	1	Francis D. Lyon
0830	1	Michael Winner
0831	1	Gore Verbinski
0832	1	Neil Abramson
0833	1	Norman Gerard
0834	1	Lucas Belvaux
0835	1	Caroline Thompson
0836	1	Demien Lichtenstein
0837	1	Ang Lee
0838	1	Steve White
0839	1	Rusty Cundieff
0840	1	Alan Rickman
0841	1	Peter Cattaneo
0842	1	Dana Lustig
0843	1	Simon West
0844	1	Brian Skeet
0845	2	Ari Folman	Uri Sivan
0846	1	Doug Campbell
0847	1	Robert Celestino
0848	1	Matteo Garrone
0849	1	Peter Dalle
0850	1	Merzak Allouache
0851	1	Spike Lee
0852	1	Charles Grosvenor
0853	1	Dale Rosenbloom
0854	1	Woody Allen
0855	1	Arthur Hiller
0856	1	Alessio de Paola
0857	1	John Guillermin
0858	1	Iain Softley
0859	1	Kevin Smith
0860	1	Stefan Jarl
0861	1	Masayuki Suo
0862	1	Jeremy Horton
0863	1	Thomas Carter
0864	1	Michael Cooney
0865	1	Juanma Bajo Ulloa
0866	0	<NULL>
0867	1	Lee Myung-Sae
0868	1	Oliver Stone
0869	1	Emanuele Crialese
0870	1	George Esguerra
0871	1	Quinton Peeples
0872	1	Antonia Bird
0873	1	Idrissa Ouedraogo
0874	1	Jeff Pollack
0875	1	Benoit Lamy
0876	1	Nouri Bouzid
0877	1	Nizamettin Ariç
0878	1	Richard Rich
0879	1	Wes Craven
0880	1	Theo Angelopoulos
0881	1	Pier Paolo Pasolini
0882	1	Leonard Kastle
0883	1	Mark Rydell
0884	1	Mel Stuart
0885	1	Nicole Garcia
0886	1	Bharat Nalluri
0887	1	Shimon Dotan
0888	1	Gary Oldman
0889	1	Frank Kerr
0890	1	Guy Maddin
0891	1	Richard Sears
0892	1	Francesca Archibugi
0893	1	Tim Kirkman
0894	1	Jonathan Frakes
0895	1	Annette Apon
0896	1	Peter Weir
0897	1	Adrian Lyne
0898	0	<NULL>
0899	1	Alan Fraser
0900	1	Sturla Gunnarsson
0901	0	<NULL>
0902	1	Iara Lee
0903	1	Abbas Kiarostami
0904	1	Walter Salles, Jr.
0905	1	Shunji Iwai
0906	1	Charles Jarrott
0907	1	John Dexter
0908	1	Gene Kelly
0909	1	Richard Benedict
0910	1	Peter Yates
0911	1	Shane Meadows
0912	0	<NULL>
0913	1	Gillies MacKinnon
0914	1	Claude Mourieras
0915	1	Woody Allen
0916	1	Rob Nilsson
0917	1	Ken Loach
0918	1	John Duigan
0919	1	Nanni Moretti
0920	1	William Ryan
0921	1	Harold Becker
0922	1	Edward Burns
0923	1	Vincent Gallo
0924	1	David Veloz
0925	0	<NULL>
0926	0	<NULL>
0927	1	Hideo Nakata
0928	1	Peter Liapis
0929	1	Burt Kennedy
0930	1	Frank Perry
0931	1	Jean-Marie Straub
0932	1	S. Lee Pogostin
0933	1	Alan Gibson
0934	1	Fred Olen Ray
0935	1	Sam Firstenberg
0936	1	Pascal Bonitzer
0937	1	Kim Ki-duk
0938	1	Ella Lemhagen
0939	1	Benoît Jacquot
0940	1	Lin Cheng-sheng
0941	1	David Cronenberg
0942	1	Alex Van Warmerdam
0943	1	Frank Darabont
0944	1	Jean-Marc Vallée
0945	1	David Mickey Evans
0946	1	Mike Leigh
0947	1	Lloyd Kaufman
0948	1	Olli Saarela
0949	1	Harmony Korine
0950	1	Roger Kumble
0951	2	Emiko Omori	Chizu Omori
0952	1	D.W. Harper
0953	1	James Westby
0954	1	Aki Kaurismäki
0955	1	Guy Ritchie
0956	1	Toshimichi Ohkawa
0957	1	Sidney J. Furie
0958	1	Norman Tokar
0959	1	Nat Hiken
0960	1	James B. Clark
0961	1	Tanya Wexler
0962	1	J. Max Burnett
0963	1	Udayan Prasad
0964	1	Lee H. Katzin
0965	1	Dariush Mehrjui
0966	1	Chris Smith
0967	1	Rob Reiner
0968	1	Frank Patterson
0969	1	Art Jones
0970	1	David Moreton
0971	1	Jim Bidgood
0972	1	Pamela Rooks
0973	1	Jerzy Hoffman
0974	1	Robert Meyer Burnett
0975	1	Rosa von Praunheim
0976	1	Daphna Kastner
0977	1	David O. Russell
0978	1	Hal Ashby
0979	1	Eduardo Rossoff
0980	1	Isao Takahata
0981	1	Liu Bingjian
0982	1	Caroline Link
0983	1	Kari Skogland
