movie	imdb	mpaa_rating
0048	1	Rated R for strong violence, language and sexuality.
0049	1	Rated R for language, some sexuality and nudity.
0050	1	Rated R for language and some sexual references.
0051	1	Rated PG for mild language, violence and drug references.
0052	1	Rated PG for language. (edited version)
0053	1	Rated R for sequences of strong bloody violence, language, sexuality and teen drinking.
0054	1	Rated PG-13 for some drug content, suggestive material and language.
0055	1	Rated R for strong sexuality, violence and language.
0056	1	Rated R for strong violence, sexuality, language and drug use. (edited version)
0057	1	Rated R for strong language, momentary violence, and for some drug content.
0058	1	Rated PG-13 for mature thematic elements, sexual content and language.
0059	1	Rated R for violent images, sexuality and nudity.
0060	1	Rated NC-17 for aberrant sexuality including violence.
0061	1	Rated PG-13 for crude sex-related humor.
0062	1	Rated R for strong brutal violence and torture, language and some sexuality.
0063	1	Rated R for language and brief sexuality.
0064	1	Rated R for language and nudity.
0065	1	Rated R for strong violence, and for language.
0066	1	Rated R for pervasive graphic drug use, strong sexuality and language.
0067	1	Rated R for violence and some sexuality.
0068	1	Rated R for strong gory violence, language and sexuality/nudity.
0069	1	Rated PG for some sensuality, thematic material, language, violent content and smoking.
0070	0	<NULL>
0071	1	Rated PG for thematic elements, language, some disturbing images and brief nudity.
0072	1	Rated R for language and some sexual content.
0073	1	Rated PG for thematic elements involving sexuality, language and some smoking.
0074	1	Rated R for some violence, brief sexuality/nudity and language.
0075	1	Rated R for sexuality, nudity, language and some disturbing images.
0076	1	Rated R for language, some violence and sexuality.
0077	1	Rated R for violence and language throughout, some sexual and drug content.
0078	1	Rated R for language, nudity, a scene of strong sexuality and some violence.
0079	1	Rated PG-13 for intense sequences of violence and action, a sexual situation/partial nudity and some language.
0080	1	Rated R for strong violence and gore, language and a scene of sexuality.
0081	1	Rated PG-13 for some sensuality and brief strong language.
0082	1	Rated PG for thematic elements.
0083	1	Rated PG-13 for violence and language.
0084	1	Rated PG for war action and language.
0085	1	Rated R for strong language throughout, some sexual content and violence.
0086	1	Rated PG for language, crude humor and brief mild violence.
0087	1	Rated PG-13 for crude and sex-related humor.
0088	1	Rated R for strong sexual content including graphic sex-related dialogue, language, violence and scenes of alcohol abuse.
0089	1	Rated R for strong violence, language and some sexual content.
0090	1	Rated R for sexuality and language.
0091	1	Rated PG for some thematic elements and mild language.
0092	1	Rated R for strong violence and gore, language, some sexuality and brief drug use.
0093	1	Rated R for language and some sexual references.
0094	1	Rated R for disturbing violent content, strong language and some drug use.
0095	1	Rated PG-13 for violence.
0096	1	Rated PG-13 for sexual situations and brief strong language.
0097	1	Rated R for sexual content, nudity and language.
0098	1	Rated R for violence, language and some sexuality.
0099	1	Rated R for language including some sexual references.
0100	1	Rated PG for non-stop fantasy action violence.
0101	1	Rated R for violent content, pervasive language and some sexuality/nudity.
0102	1	Rated R for strong violence including rape, sexuality, language and some drug content.
0103	1	Rated PG-13 for emotional thematic elements, and for language.
0104	1	Rated R for sexuality, and some language and violence.
0105	1	Rated R for graphic violence, brief sexuality and drug use.
0106	1	Rated R for bloody violence, disturbing images and language.
0107	1	Rated R for some violence and sexual content involving minors, and for language.
0108	1	Rated R for strong sexual content, nudity and language.
0109	1	Rated R for graphic drug use, non-stop strong language, brutal domestic violence and some nudity.
0110	1	Rated PG-13 on appeal for brief strong language, some nudity and sexual content.
0111	1	Rated R for strong sexuality and language, and for drug content.
0112	1	Rated R for graphic nudity, some sexuality and brief violence.
0113	1	Rated PG-13 for thematic material, drug and sexual content, some violence and language.
0114	1	Rated PG for some mild language and sensuality.
0115	1	Rated R for language and a scene of sexuality.
0116	1	Rated R for horror violence, gore and strong language.
0117	1	Rated R for some sexuality and language.
0118	1	Rated R for violence, language and some brief nudity.
0119	1	Rated PG for language, mild violence and brief crude humor.
0120	1	Rated R for strong horror violence and gore, drug content, language and some sexuality/nudity.
0121	1	Rated R for brief language.
0122	1	Rated R for violence.
0123	1	Rated NC-17 for a scene of explicit sexual content.
0124	1	Rated PG-13 for some strong language, nudity and brief fantasy violence.
0125	1	Rated R for some language and sexual content.
0126	1	Rated R for strong sexuality and language.
0127	1	Rated R for some violence, language and sexuality/nudity.
0128	1	Rated PG-13 for brief strong language.
0129	1	Rated R for drug material, sexual content and some violence.
0130	1	Rated R for language and sexuality.
0131	1	Rated R for language and some sexual content.
0132	1	Rated PG-13 for some suggestive references.
0133	1	Rated R for terror/violence and language.
0134	1	Rated R for some sexuality and language.
0135	1	Rated R for some sexuality and nudity.
0136	1	Rated PG-13 for sexual material and language.
0137	1	Rated PG-13 for brief language and a sexual reference.
0138	1	Rated R for pervasive language, and sexual content including nudity.
0139	1	Rated R for language.
0140	1	Rated R for some sexual content and brief drug use.
0141	1	Rated PG-13 for some sexual content and partial nudity.
0142	1	Rated R for language.
0143	1	Rated PG-13 for martial arts and swordfight violence.
0144	1	Rated PG for action/violence, mild language and innuendos.
0145	1	Rated R for brief violence and a sexual image.
0146	1	Rated R for some strong violence, terror, language and a scene of sexuality.
0147	1	Rated R for sexual content and language.
0148	1	Rated PG-13 for frontier violence.
0149	1	Rated R for strong aberrant sexuality, graphic nudity, bloody violence and pervasive language.
0150	1	Rated R for language and some sexual material.
0151	1	Rated R for language.
0152	1	Rated R for sex-related humor/dialogue and brief partial nudity.
0153	1	Rated R for language.
0154	1	Rated PG-13 for sexual content and language.
0155	1	Rated R for pervasive strong and crude sexual content, graphic nudity and language.
0156	1	Rated PG-13 for language and some comic sexuality.
0157	1	Rated PG-13 for intense disaster related elements and brief language.
0158	1	Rated R for strong horror violence and language.
0159	1	Rated R for violence and language.
0160	1	Rated PG-13 for violence, non-stop action sequences, sensuality, drug content and language.
0161	1	Rated PG-13 for mature thematic material involving sexuality, and smoking.
0162	1	Rated R for violence and terror, and for language.
0163	1	Rated R for language, a scene of sexuality and some violence.
0164	1	Rated R for sexual content, language and crude humor.
0165	1	Rated R for language, graphic violence and two scenes of strong sexual content.
0166	1	Rated R for strong graphic torture/violence, language, nudity and sexuality.
0167	1	Rated R for language and sexual content.
0168	1	Rated R for pervasive strong sexual content, nudity and language.
0169	1	Rated R for some language and sexuality.
0170	1	Rated R for violence, language, and a scene of sensuality.
0171	1	Rated PG-13 for crude humor, sexual content, language, teen partying/drug references and some violence.
0172	1	Rated R for violence, language and some sexuality/nudity.
0173	1	Rated R for violence and language.
0174	1	Rated PG-13 for drug content, language including sexual references, thematic elements and brief violence.
0175	1	Rated R for a strong sex scene.
0176	0	<NULL>
0177	1	Rated R for a sex scene.
0178	1	Rated PG-13 for some sexual references, crude humor and brief drug material.
0179	1	Rated PG-13 for mature thematic elements including disturbing disaster and accident images, and for brief strong language.
0180	1	Rated R for violence and nudity.
0181	1	Rated PG-13 for sensuality and an exotic dance club scene.
0182	1	Rated PG for some mild language and brief questionable behavior.
0183	1	Rated R for a scene of sexuality and brief violence.
0184	1	Rated R for strong sexuality, and for violence and language.
0185	1	Rated R for strong violence involving a sexual predator/serial killer, sexuality/nudity and language.
0186	1	Rated PG-13 for sci-fi action violence, sensuality and drug content, and for language.
0187	1	Rated R for substance abuse, strong language and a sex scene.
0188	1	Rated R for violence.
0189	1	Rated R for a disturbing sequence of cruel and brutal violence, and brief strong language.
0190	1	Rated R for brief sexuality and a scene of violence.
0191	1	Rated PG-13 for some sexual language and thematic elements.
0192	1	Rated R for strong language, and for scenes of nudity and violent behavior.
0193	1	Rated PG-13 for violence/peril, language and some nudity.
0194	1	Rated R for pervasive nudity.
0195	1	Rated R for language, some sexual references and a scene of violence.
0196	1	Rated R for language, some violence and sexual content.
0197	1	Rated R for sexual content and language.
0198	1	Rated PG for sensuality, crude humor and language. (edited from PG-13 version)
0199	1	Rated R for language and brief sexuality.
0200	1	Rated R for nudity, strong sexual content including graphic dialogue throughout, language and some crude material.
0201	1	Rated PG-13 for drug content.
0202	1	Rated R for violence, disturbing images, graphic nudity and language.
0203	1	Rated PG for some rude humor and language.
0204	1	Rated R for sexual content and nudity.
0205	1	Rated R for sexual content and language.
0206	1	Rated R for crude and sexual content, some drug use and language.
0207	1	Rated PG-13 for some sexual content.
0208	1	Rated R for some strong violence and gore, language, and sexuality.
0209	0	<NULL>
0210	1	Rated R for violence and gore, and for some sexuality and language.
0211	1	Rated PG-13 for language and some crude humor.
0212	1	Rated PG for some mild violence and language.
0213	1	Rated R for terror violence, and for language and a scene of sexuality.
0214	1	Rated PG-13 for brief language.
0215	1	Rated R for aberrant violence, sexuality, language and some drug use.
0216	1	Rated R for a scene of nudity.
0217	1	Rated R for some violent gruesome images, language and sexuality.
0218	1	Rated R for strong violence and language.
0219	1	Rated PG-13 for language and sex-related material.
0220	1	Rated R for language and some sexuality.
0221	1	Rated R for language.
0222	1	Rated R for language.
0223	1	Rated R for violence, sexuality, nudity and language.
0224	1	Rated R for strong violence, drug use, pervasive language and a graphic sex scene.
0225	1	Rated PG-13 for thematic elements.
0226	1	Rated R for sexual content, language and a brief disturbing image.
0227	1	Rated R for sexuality and language.
0228	1	Rated R for violence, disturbing images and some language.
0229	1	Rated R for language including sexual references, and some drug content.
0230	1	Rated PG-13 for sci-fi action and violence, and brief strong language.
0231	1	Rated PG for violence, some sensuality and thematic elements.
0232	1	Rated R for language, brief sexuality and nudity.
0233	1	Rated PG for mild thematic elements.
0234	1	Rated PG for language and some adventure peril.
0235	1	Rated PG-13 for some thematic elements and brief strong language.
0236	1	Rated R for violence and language.
0237	1	Rated R for violent content, sexuality and language.
0238	1	Rated R for brutal bloody violence and pervasive language.
0239	1	Rated PG-13 for violence and drug content.
0240	1	Rated R for some disturbing Holocaust images including nudity, and brief strong language.
0241	1	Rated PG for some scary images, fantasy action and language.
0242	1	Rated R for language, some sexuality and disturbing images.
0243	1	Rated PG for scary combat and monster images.
0244	1	Rated R for some violent and disturbing images, and brief sexuality.
0245	1	Rated R for violence and gore, and for language.
0246	1	Rated R for pervasive strong language, scenes of brutal violence, constant drug and alcohol use and some sexuality.
0247	1	Rated R for strong racially-motivated violence, language and drug use.
0248	1	Rated PG for mild rude humor.
0249	1	Rated PG-13 for brief sexual humor and some drug references.
0250	1	Rated PG-13 for intense sequences of violence.
0251	1	Rated R for sexuality and language.
0252	1	Rated R for language and some sexual content.
0253	1	Rated R for strong violence, drug content, sexuality and language.
0254	1	Rated PG-13 for crude and sexual humor, language, a comic violent image and some drug references.
0255	1	Rated R for strong violence, language and some sexual content.
0256	1	Rated PG-13 for crude humor.
0257	1	Rated PG for some mild language and innuendo.
0258	1	Rated R for strong horror violence throughout and some nudity.
0259	1	Rated R for strong pervasive violence, language, some drug use and sexual content.
0260	1	Rated R for language, some violent images and sexual content/nudity.
0261	1	Rated PG-13 for crude and sexual humor, language, drug references and brief comic violence.
0262	1	Rated R for pervasive brutal violence, language and brief nudity.
0263	1	Rated R for language and brief sexuality/nudity.
0264	1	Rated PG-13 for some thematic elements emphasizing sexuality, and for language.
0265	1	Rated PG-13 for brief strong language and some thematic elements.
0266	1	Rated PG-13 for sexual content and some strong language.
0267	1	Rated R for strong bloody brutal violence and torture, a scene of rape, and pervasive language.
0268	1	Rated PG-13 for some sexual references.
0269	1	Rated PG-13 for violence, disturbing images and terror.
0270	1	Rated PG for mild bullying and brief language.
0271	1	Rated R for terror/violence, a scene of self mutilation, language and sexual content.
0272	1	Rated PG for mild language.
0273	1	Rated PG-13 for some sexual content, a scene of violence, and brief strong language.
0274	1	Rated R for strong language, some violence and a scene with nudity.
0275	1	Rated R for strong sexuality and language.
0276	1	Rated R for language.
0277	1	Rated R for horror violence and disturbing images.
0278	1	Rated R for language, violence, drug use and some sexuality.
0279	0	<NULL>
0280	1	Rated R for strong language and some sexuality.
0281	1	Rated R for language, some violent material and nude images.
0282	1	Rated R for sexuality and nudity, language and drug use.
0283	1	Rated R for strong grisly violence including disturbing images, torture and terror, some language and drug use.
0284	1	Rated PG-13 for a scene involving strong language, and for some sensuality and teen drinking.
0285	1	Rated PG-13 for sexual content and language.
0286	1	Rated PG-13 for thematic issues.
0287	1	Rated R for drug use, language and some strong sexuality.
0288	1	Rated R for violence and language.
0289	1	Rated PG-13 for war violence and related images. (2009 version)
0290	1	Rated R for strong violence and language.
0291	1	Rated R for strong sexuality and violence, and pervasive language.
0292	1	Rated PG-13 for some violence and sexual content.
0293	1	Rated R for language.
0294	1	Rated R for language and some sexual content.
0295	1	Rated PG-13 on appeal for thematic elements, some language and crude sexual references.
0296	1	Rated R for language, some sexuality and drug use.
0297	1	Rated R for violence, language and some strong graphic sexuality.
0298	1	Rated R for violence and some language.
0299	1	Rated R for strong bloody violence throughout, language and some sexual content.
0300	1	Rated R for sexuality/nudity and language.
0301	1	Rated PG-13 for nudity and thematic elements.
0302	1	Rated R for disturbing bloody war violence, language including sexual references, and some nudity.
0303	1	Rated PG-13 for language, sexual content and brief drug use.
0304	1	Rated PG-13 for sexual material/humor and language.
0305	1	Rated R for language and brief nudity.
0306	1	Rated PG-13 for violence and some sensuality. (2005 re-issue)
0307	1	Rated R for sensuality.
0308	1	Rated R for violence, grisly images, language and some sexuality.
0309	1	Rated R for strong violent content and language.
0310	1	Rated PG-13 for thematic elements and brief strong language.
0311	1	Rated PG for ongoing crude humor, language, some violence and bullying.
0312	1	Rated R for strong language and some violence.
0313	1	Rated R for language, some drug content and brief nudity.
0314	1	Rated PG-13 for sexuality and language.
0315	1	Rated PG-13 for sexual content, thematic elements and brief strong language. (on appeal; originally Rated R for some sexual content)
0316	1	Rated R for language, some violence and sexuality.
0317	1	Rated PG-13 for sexual content, some thematic elements, and brief strong language.
0318	1	Rated PG-13 for sexual content/dialogue and brief drug use.
0319	1	Rated R for strong sexuality and some language.
0320	1	Rated R for disturbing violent images.
0321	1	Rated R for war violence, disturbing images, language, brief sexuality and nudity.
0322	1	Rated PG-13 for sensuality.
0323	1	Rated PG for some bullying and crude humor.
0324	1	Rated R for strong violence, sexuality, language and some drug content.
0325	1	Rated R for language including some sexual references.
0326	1	Rated R for language, drug use, sexuality/nudity and some violence.
0327	1	Rated PG-13 for thematic material including violence, disturbing images and brief strong language.
0328	1	Rated PG for mild language.
0329	1	Rated R for strong sexual content and language.
0330	1	Rated PG-13 for one use of strong language.
0331	1	Rated R for violence/disturbing images and some sexual material.
0332	1	Rated R for disturbing sexual violence, some shootings and strong language.
0333	1	Rated R for violence.
0334	1	Rated R for some scenes of sexuality and nudity.
0335	1	Rated PG-13 for violence including intense shooting sequences, drug content, some sexuality and brief strong language.
0336	1	Rated PG-13 for sex-related material and language.
0337	1	Rated PG-13 for intense sequences of violent action, and some language.
0338	1	Rated R for violence and language.
0339	1	Rated PG-13 for intense sequences of violence and action.
0340	1	Rated R for strong perverse sexuality and violence, and for strong language.
0341	1	Rated PG-13 for some frightening sequences.
0342	1	Rated R for crude and sexual content, strong language and nudity.
0343	1	Rated R for strong violence, and for language.
0344	1	Rated PG-13 for sci-fi action violence.
0345	1	Rated R for intense sequences of graphic brutal violence, and for language.
0346	1	Rated R for strong sexual content, graphic nudity and language.
0347	1	Rated R for some violence, sexuality and language.
0348	1	Rated PG-13 for intense sequences of action violence, sexuality and innuendo.
0349	1	Rated PG-13 for crude sexual content throughout, nudity, language and drug references. (re-rated; originally rated R)
0350	1	Rated R for language, and some intense sequences of terror and violence (appeal planned).
0351	1	Rated R for disturbing violent and aberrant sexual content involving a teen, and for language.
0352	1	Rated PG for sensuality and language.
0353	1	Rated PG-13 for sexual content, drug and alcohol use and language.
0354	1	Rated R for non-stop action violence, and for strong language.
0355	1	Rated R for pervasive language, including crude and sexual references.
0356	1	Rated R for brief violence, some strong sexuality and language.
0357	1	Rated R for strong sexuality, violence/gore, language and some drug content.
0358	1	Rated R for violence, and for nudity.
0359	1	Rated PG-13 for language and some sexuality.
0360	1	Rated R for language and a scene of sexuality.
0361	1	Rated PG-13 on appeal for some sensuality, nudity and strong language.
0362	1	Rated R for violence and language.
0363	1	Rated R for violence and nudity.
0364	1	Rated R for language and some sexuality.
0365	0	<NULL>
0366	1	Rated R for language and some sexual content.
0367	1	Rated R for language, some violence and disturbing images.
0368	1	Rated PG-13 for thematic material and brief strong language.
0369	1	Rated R for language including sexual dialogue.
0370	1	Rated R for wild West violence and a sex scene.
0371	1	Rated R for strong sexuality and violence, and for language.
0372	1	Rated NC-17 for strong and aberrant sexual content.; Rated R for strong aberrant sexuality, some language and violent images. (special edit)
0373	1	Rated R for language and drug content.
0374	1	Rated PG for some mild language.
0375	1	Rated R for strong bloody violence and gore, disturbing gross content, sexuality/nudity and pervasive language.
0376	1	Rated R for strong violence and language.
0377	1	Rated PG-13 for sexual content, violence, some drug use, language and innuendos.
0378	1	Rated PG for rough sports action including fighting, some bloody images, some language and historical smoking throughout.
0379	1	Rated PG-13 for crude humor and language.
0380	1	Rated R for language, violence and some sexual content.
0381	1	Rated PG-13 for a scene of sexuality.
0382	1	Rated R for language and some sexuality.
0383	1	Rated R for violence, sexuality and language.
0384	1	Rated R for language, some violence and brief drug use.
0385	1	Rated PG-13 for disturbing thematic material and a scene of violence.
0386	1	Rated R for sexual content and language.
0387	1	Rated R for violence.
0388	1	Rated R for sexuality, drug use and language.
0389	1	Rated R for violence, some disturbing images, language and brief nudity.
0390	1	Rated PG for some mild peril.
0391	1	Rated PG for mild thematic elements and language.
0392	1	Rated R for strong violence, language and nudity.
0393	1	Rated PG for thematic material, mild language, brief suggestive content, some violence and smoking.
0394	1	Rated R for strong crude sexuality, language, violence and gore.
0395	1	Rated R for strong violence and language, and for sensuality.
0396	1	Rated PG for language and brief violence.
0397	1	Rated R for strong violence and sexuality.
0398	1	Rated R for intense violent behavior, and for sensuality.
0399	1	Rated PG-13 for nudity and thematic elements.
0400	1	Rated PG-13 for some sexual content.
0401	1	Rated R for strong sexual images, pervasive nudity, violence and language.
0402	1	Rated PG-13 for crude dialogue.
0403	1	Rated R for sexual content and language.
0404	1	Rated R for sexuality and graphic nudity.
0405	1	Rated R for sex-related dialogue.
0406	1	Rated R for sexuality and some language.
0407	1	Rated PG for crude humor, mild language and comic action.
0408	1	Rated R for sexuality, some violence and brief language.
0409	1	Rated PG-13 for some violent images and sensuality
0410	1	Rated R for strong violent and sexual content, including related dialogue, and for language and some drug use.
0411	1	Rated R for some strong sexuality, and for language.
0412	1	Rated R for horror violence/gore and language.
0413	1	Rated R for sexuality and language.
0414	1	Rated PG-13 for language, some sexuality and drug content.
0415	1	Rated R for violence/gore, language and a scene of sexuality.
0416	1	Rated R for brutal psychotic violence including murder, rape and spousal abuse, disturbing sexual content and strong language.
0417	1	Rated R for strong sexuality, nudity and language.
0418	1	Rated R for frightening and disturbing images.
0419	1	Rated R for violence/gore, language and some nudity.
0420	1	Rated R for some violent material.
0421	1	Rated PG-13 for sensuality and some frightening images.
0422	1	Rated R for strong violence and sexuality, nudity and language.
0423	1	Rated PG-13 for violence and some intense plot material.
0424	1	Rated PG-13 for one scene involving brief violence, drug and sexual references.
0425	1	Rated R for pervasive strong language, some sexuality and brief drug use.
0426	1	Rated R for strong sexual content, crude humor, language and drug use.
0427	1	Rated PG-13 for some sci-fi adventure violence.
0428	1	Rated PG for sequences of intense action and some scary images, and brief mild language.
0429	1	Rated PG-13 for street racing, violence, language and some sensuality.
0430	1	Rated R for graphic shark attacks, and for language.
0431	1	Rated PG for fantasy violence, intense battle sequences and some frightening images.
0432	1	Rated PG-13 for mature thematic material, disturbing images/terror/violence, and some sensuality.
0433	1	Rated PG-13 for pervasive crude and sexual humor, language, comic violence and drug references.
0434	1	Rated PG-13 for depiction of drug addiction, sexuality and some thematic elements.
0435	1	Rated R for strong language and some sexual content.
0436	1	Rated R for strong language and some sexual humor.
0437	1	Rated R for strong sexuality and some language.
0438	1	Rated R for language, violence, some sexuality and drug use.
0439	1	Rated PG-13 for mature thematic elements, an accident scene, brief nudity and momentary strong language.
0440	1	Rated R for violence, language and some sexuality.
0441	1	Rated PG-13 for sexual content including several suggestive dance routines, partial nudity, language and some thematic material.
0442	1	Rated PG for mild action and some rude humor.
0443	1	Rated R for some graphic violence, sexual dialogue and language.
0444	1	Rated PG-13 for violent content, disturbing images, language, teen drinking and some thematic material.
0445	1	Rated R for sexual content and brief language.
0446	1	Rated R for language and some drug content.
0447	1	Rated PG-13 for some violent content. (2004 re-issue)
0448	1	Rated R for some language and a scene of tragic violence.
0449	1	Rated PG-13 for brief sexual content.
0450	1	Rated R for sexuality and language.
0451	1	Rated R for violence, disturbing images and some language.
0452	1	Rated PG-13 for thematic elements, sexual content, brief strong language and some violence.
0453	1	Rated R for strong sexual content, crude humor, language and drug use.
0454	1	Rated R for horror violence/gore and some strong language.
0455	1	Rated PG for a substantial amount of mild language and mature thematic elements.
0456	1	Rated R for sexual material, graphic nudity, pervasive language, some drug use and crude content.
0457	1	Rated R for language and some sexuality.
0458	1	Rated R for language and sexual content.
0459	1	Rated R for pervasive language and some sexual content.
0460	1	Rated PG-13 for language including sexual references, and some disturbing images.
0461	1	Rated R for strong violence, language, sexuality and drug content.
0462	1	Rated PG-13 for intense martial arts violence and a scene of sensuality.
0463	1	Rated R for pervasive language and violent behavior.
0464	1	Rated PG-13 for some drug content, sexual references and crude humor.
0465	1	Rated PG-13 for drug references and some language.
0466	1	Rated R for pervasive language and some violence.
0467	1	Rated R for brief strong language.
0468	1	Rated R for disturbing violence, language and brief drug use.
0469	1	Rated R for horror violence, language and some sexuality.
0470	1	Rated PG for mild thematic elements.
0471	1	Rated R for sexuality, language and violence.
0472	1	Rated PG for mild thematic elements and language.
0473	1	Rated R for violent content and language.
0474	1	Rated R for language and some violence.
0475	1	Rated PG-13 for mature thematic material, some sexual content and drug references.
0476	1	Rated PG-13 for mature thematic elements, sensuality and language.
0477	1	Rated R for grisly bloody violence, disturbing images, strong sexuality and nudity, and for language.
0478	1	Rated R for some drug use and language.
0479	1	Rated PG-13 for terror/violence and some sensuality.
0480	1	Rated PG for mild thematic elements.
0481	1	Rated R for horror-related images.
0482	1	Rated R for violence, language, some sexual content and a scene of drug use.
0483	1	Rated PG-13 for action violence and some nudity.
0484	1	Rated PG-13 for sexual content and an intense scene of childbirth.
0485	1	Rated PG-13 for language and sexual content.
0486	1	Rated R for language and sexual dialogue, and for brief violence.
0487	1	Rated PG-13 for sexual content, language and brief nudity.
0488	1	Rated R for violence and some language.
0489	1	Rated R for violence and language.
0490	1	Rated PG for some mild crude humor.
0491	1	Rated R for strong language, some graphic violence and a scene of sexuality.
0492	1	Rated R for strong sexuality, language, some drug use and violence.
0493	1	Rated R for pervasive strong language including sexual references, and some violence.
0494	1	Rated PG-13 for some mature thematic material.
0495	1	Rated PG for mild sensuality and language.
0496	1	Rated PG for thematic elements, some disturbing images and some sensuality.
0497	1	Rated R for some violence.
0498	1	Rated R for strong violence.
0499	1	Rated R for strong brutal violence and language.
0500	1	Rated R for some violence and sexual content.
0501	1	Rated R for sexual situations, some involving young teens, and for language.
0502	1	Rated R for strong sexual content and related dialogue.
0503	1	Rated R for bloody battle sequences.
0504	1	Rated R for strong violence, language and sexuality.
0505	1	Rated PG-13 for frightening images, violence and some language.
0506	1	Rated NC-17 for explicit sexuality.
0507	1	Rated R for sexuality and some language.
0508	1	Rated R for sequences of graphic war violence and carnage, and for language.
0509	1	Rated R for bizarre violent and sexual content, and for strong language.
0510	1	Rated PG-13 for some sexual references. (also video version)
0511	1	Rated R for language.
0512	1	Rated R for violence.
0513	1	Rated R for drug and sexual content, language and a brief violent image.
0514	1	Rated R for sexual content and language.
0515	1	Rated PG-13 for language and some sex and drug-related humor.
0516	1	Rated PG-13 for brief language, some sexual humor and occasional humorous drug references.
0517	1	Rated R for strong language, including descriptions of violent and sexual behavior.
0518	1	Rated R for some violent images and brief strong language.
0519	1	Rated PG-13 for stylized violence, sexual content, language and drug references.
0520	1	Rated PG-13 for language and sexual content.
0521	1	Rated R for language and some nudity.
0522	1	Rated R for scenes of sexuality, strong language and some violence.
0523	1	Rated R for strong violence and some language.
0524	1	Rated R for wartime violence and atrocities including sexual assault, and for some sexuality and brief nudity.
0525	1	Rated PG for mild thematic elements.
0526	1	Rated PG for mild crude humor.
0527	1	Rated R for sexual content, nudity, some violence and brief language.
0528	1	Rated PG for some thematic elements, mild language and brief rude humor.
0529	1	Rated R for strong violence and gore, language and brief nudity.
0530	1	Rated PG-13 for some language.
0531	1	Rated R for pervasive language including sex references.
0532	1	Rated R for gruesome violence and gore, and for strong language.
0533	1	Rated R for some violence and language.
0534	1	Rated R for strong violence, language, some drug and sexual content.
0535	1	Rated R for some language and sexual content.
0536	1	Rated R for violence, language and sexuality.
0537	1	Rated R for graphic nudity, some sexuality and strong language.
0538	1	Rated R for language and some violence.
0539	1	Rated R for language, and for a scene of nudity.
0540	1	Rated R for violence.
0541	1	Rated PG-13 for language and sexual content.
0542	1	Rated PG-13 for violence, thematic elements and brief strong language.
0543	1	Rated PG-13 for some violence.
0544	1	Rated R for violence, sexuality and language.
0545	1	Rated R for strong sexuality including graphic dialogue, nudity, violence, language and brief drug use.
