movie	boxofficemojo	director
0297	1	George Miller
0298	1	Christian Duguay
0299	1	George Lucas
0300	1	George Lucas
0301	1	J.J. Abrams
0302	1	Christopher Nolan
0303	1	Gavin Hood
0304	1	Steven Spielberg
0305	1	Martin Campbell
0306	1	Brett Ratner
0307	1	Paul W.S. Anderson
0308	1	Renny Harlin
0309	1	Paul Schrader
0310	1	Matthew Vaughn
0311	1	Rupert Wyatt
0312	1	Roland Emmerich
0313	1	Oliver Stone
0314	1	Clint Eastwood
0315	1	Oliver Stone
0316	1	Peter Segal
0317	1	Forest Whitaker
0318	1	Rod Lurie
0319	1	Frank Oz
0320	1	Frank Oz
0321	1	Spike Jonze
0322	1	Tim Hill
0323	1	George Tillman, Jr.
0324	1	John Whitesell
0325	1	Rick Famuyiwa
0326	1	Craig Brewer
0327	1	Eric Meza
0328	1	Tamra Davis
0329	1	Brian Robbins
0330	1	Peter Weir
0331	1	Jeff Tremaine
0332	1	Jeff Tremaine
0333	1	Ron Howard
0334	1	Ben Stiller
0335	1	Albert Brooks
0336	1	Roland Emmerich
0337	1	Martin Scorsese
0338	1	Gore Verbinski
0339	1	Frank Marshall
0340	1	Peter Chelsom
0341	2	David Moreau	Xavier Palud
0342	1	Alexandre Aja
0343	1	Eric Valette
0344	1	Walter Hill
0345	1	F. Gary Gray
0346	2	Ethan Coen	Joel Coen
0347	2	Frederik Du Chau	Frederik Du Chou
0348	1	Ted Berman
0349	1	Joe Johnston
0350	1	Don Bluth
0351	1	James Cameron
0352	1	Christopher Nolan
0353	1	Terry Gilliam
0354	1	John Erick Dowdle
0355	1	John Badham
0356	1	David S. Goyer
0357	1	Stephan Elliot
0358	1	Florian Henckel von Donnersmarck
0359	1	David Fincher
0360	1	Mike Nichols
0361	1	Jay Roach
0362	1	Chris Columbus
0363	1	Richard Donner
0364	1	Ivan Reitman
0365	1	Steve Miner
0366	1	Gene Wilder
0367	1	Joel Schumacher
0368	1	Mark Rydell
0369	1	Jim McBride
0370	1	Donald Petrie
0371	1	Stephen Sommers
0372	1	Steven Soderbergh
0373	1	Peter Segal
0374	1	Steven Soderbergh
0375	1	Steve Carr
0376	1	Rob Cohen
0377	1	Adam Shankman
0378	1	Charles Shyer
0379	1	Harald Zwart
0380	1	Rob Zombie
0381	1	David R. Ellis
0382	1	F. Gary Gray
0383	1	Ridley Scott
0384	1	Clint Eastwood
0385	1	Mel Gibson
0386	1	John Singleton
0387	1	James McTeigue
0388	1	Quentin Tarantino
0389	1	Quentin Tarantino
0390	1	Robert Rodriguez
0391	1	Kevin Reynolds
0392	1	Alex Proyas
0393	1	Martin Campbell
0394	1	Neil Jordan
0395	1	James Gray
0396	1	John Schlesinger
0397	1	F. Gary Gray
0398	1	Robert Rodriguez
0399	1	Russell Mulcahy
0400	1	George Tillman, Jr.
0401	1	Sam Raimi
0402	1	Tim Pope
0403	1	Rob Zombie
0404	1	Tony Scott
0405	1	James Wan
0406	1	Steven Soderbergh
0407	1	Steven Soderbergh
0408	1	Nancy Meyers
0409	1	Andy Tennant
0410	1	Anne Fletcher
0411	1	Judd Apatow
0412	1	Adam Shankman
0413	1	Andy Tennant
0414	1	P.J. Hogan
0415	1	Steven Brill
0416	1	Nancy Meyers
0417	1	Peter Segal
0418	1	Peyton Reed
0419	1	Nora Ephron
0420	1	Nancy Meyers
0421	1	Garry Marshall
0422	1	John Madden
0423	1	Brian Robbins
0424	1	Michael Patrick King
0425	1	Wayne Wang
0426	1	Ken Kwapis
0427	1	Joe Roth
0428	1	Robert Luketic
0429	1	Tom Dey
0430	1	Frank Coraci
0431	1	The Farrelly Bros.
0432	1	Andy Tennant
0433	1	Ron Howard
0434	2	Chris Weitz	Paul Weitz
0435	1	Mike Nichols
0436	1	Nora Ephron
0437	1	Nancy Meyers
0438	1	Nick Stoller
0439	1	Adam Shankman
0440	1	Frank Oz
0441	1	Will Gluck
0442	1	Amy Heckerling
0443	1	Raja Gosnell
0444	1	Michael Caton-Jones
0445	1	Sydney Pollack
0446	1	Mike Newell
0447	1	Greg Berlanti
0448	1	Marc Lawrence
0449	1	Peter Chelsom
0450	1	Ivan Reitman
0451	1	Mark S. Waters
0452	1	James Mangold
0453	1	Michael Hoffman
0454	1	Ken Kwapis
0455	1	Ang Lee
0456	1	Scott Hicks
0457	1	Rob Reiner
0458	1	Michael Lehman
0459	1	The Farrelly Bros.
0460	2	Chris Weitz	Paul Weitz
0461	1	Beeban Kidron
0462	1	Woody Allen
0463	1	Woody Allen
0464	1	Lawrence Kasdan
0465	1	Edward Zwick
0466	1	James L. Brooks
0467	1	Dennis Dugan
0468	2	Glenn Ficarra	John Requa
0469	1	Thomas Bezucha
0470	1	Will Gluck
0471	1	Mark S. Waters
0472	1	Penny Marshall
0473	1	John Herzfeld
0474	1	Frank Perry
0475	1	David Koepp
0476	1	Neil Jordan
0477	1	Danny Boyle
0478	1	James Cameron
0479	1	Jerry Zucker
0480	1	Cameron Crowe
0481	1	Taylor Hackford
0482	1	Anthony Minghella
0483	1	Sydney Pollack
0484	1	Ang Lee
0485	1	Nick Cassavetes
0486	1	Lasse Hallstrom
0487	1	Brad Silberling
0488	1	Anthony Minghella
0489	1	Robert Redford
0490	1	Clint Eastwood
0491	1	Edward Zwick
0492	1	Robert Schwentke
0493	1	Forest Whitaker
0494	1	Richard LaGravenese
0495	1	Martin Brest
0496	1	Jane Campion
0497	1	Sam Raimi
0498	1	Joel Schumacher
0499	1	Lawrence Kasdan
0500	1	Randa Haines
0501	1	Sydney Pollack
0502	1	Burr Steers
0503	1	John Madden
0504	1	David Seltzer
0505	1	James Ivory
0506	1	Cameron Crowe
0507	1	Allen Coulter
0508	1	Michael Goldenberg
0509	1	Tony Bill
0510	1	Howard Deutch
0511	1	John Stockwell
0512	1	Richard Attenborough
0513	1	Scott Hicks
0514	1	Iain Softley
0515	1	Theodore Witcher
0516	1	Neil Jordan
0517	1	Neil LaBute
0518	1	Mira Nair
0519	1	Richard Linklater
0520	1	Richard Linklater
0521	1	Martin Campbell
0522	1	Gillian Armstrong
0523	1	Lars Von Trier
0524	1	David Slade
0525	1	Chris Weitz
0526	1	Catherine Hardwicke
0527	1	John Carpenter
0528	1	Richard Donner
0529	1	Michael Hoffman
0530	1	Woody Allen
0531	1	Anthony Minghella
0532	1	Bill Condon
0533	1	Bill Condon
0534	1	Chris Columbus
0535	1	David Yates
0536	1	David Yates
0537	1	Mike Newell
0538	1	Chris Columbus
0539	1	Peter Weir
0540	1	Mike Newell
0541	1	Barry Levinson
0542	1	Michael Hoffman
0543	1	Alfonso Cuaron
0544	1	Keith Gordon
0545	1	M. Night Shyamalan
0546	1	George Lucas
0547	1	Steven Spielberg
0548	1	Irvin Kershner
0549	1	Steven Spielberg
0550	1	Tim Burton
0551	1	Frank Marshall
0552	1	Roland Emmerich
0553	1	Luc Besson
0554	1	Brian De Palma
0555	1	James Cameron
0556	1	Jon Favreau
0557	1	Joss Whedon
0558	1	Don Bluth
0559	1	Mathieu Kassovitz
0560	1	Ron Underwood
0561	1	Brad Bird
0562	1	Steven Spielberg
0563	1	M. Night Shyamalan
0564	1	Robert Rodriguez
0565	1	Ivan Reitman
0566	2	Colin Strause	Greg Strause
0567	1	David Twohy
0568	1	Jon Favreau
0569	1	Alex Proyas
0570	1	Robert Zemeckis
0571	1	Doug Liman
0572	1	Ron Howard
0573	1	Frank Oz
0574	1	Paul Verhoeven
0575	1	Iain Softley
0576	1	Peter Hyams
0577	1	Barry Levinson
0578	1	Mark Pellington
0579	1	Alfonso Cuaron
0580	1	Lawrence Kasdan
0581	1	David Lynch
0582	1	Joel Schumacher
0583	1	Ken Russell
0584	1	John Carpenter
0585	1	Richard Donner
0586	1	Geoff Murphy
0587	1	Steven Soderbergh
0588	1	John Carpenter
0589	1	Wes Craven
0590	1	Richard Linklater
0591	1	Noberto Barba
0592	1	Paul Verhoeven
0593	1	Irvin Kershner
0594	1	Andrew Niccol
0595	1	Steven Spielberg
0596	1	Paul Verhoeven
0597	1	John Woo
0598	1	Nimr�d Antal
0599	1	Michael Bay
0600	1	Karyn Kusama
0601	1	Robert Longo
0602	1	Andrew Niccol
0603	1	Joe Johnston
0604	1	Tom Shadyac
0605	1	Ivan Reitman
0606	1	Chris Columbus
0607	1	Mel Brooks
0608	1	Michel Gondry
0609	1	John Hughes
0610	1	Kenneth Johnson
0611	1	Steven Barron
0612	1	Harold Ramis
0613	1	Robert J. Rosenthal
0614	1	Brian Robbins
0615	1	Mike Nichols
0616	1	Mike Judge
0617	1	Jay Roach
0618	1	James Cameron
0619	1	David Fincher
0620	1	Jean-Pierre Jeunet
0621	2	Colin Strause	Greg Strause
0622	1	Paul W.S. Anderson
0623	1	David Twohy
0624	1	Andrzej Bartkowiak
0625	1	Paul W.S. Anderson
0626	1	Guillermo del Toro
0627	1	Kenneth Branagh
0628	1	Peter Medak
0629	1	Christian Alvart
0630	1	John Carpenter
0631	1	Vincenzo Natali
0632	1	John McTiernan
0633	1	John Carpenter
0634	1	Steven Spielberg
0635	1	Renny Harlin
0636	1	The Farrelly Bros.
0637	1	Penelope Spheeris
0638	1	Greg Mottola
0639	1	Todd Phillips
0640	1	Mike Judge
0641	1	Peter Hewitt
0642	1	Kevin Smith
0643	1	F. Gary Gray
0644	1	Amy Heckerling
0645	1	Walter Becker
0646	1	Cameron Crowe
0647	1	Joel Coen
0648	1	Doug Liman
0649	1	Amy Heckerling
0650	1	Richard Linklater
0651	1	Adam Rifkin
0652	1	Kevin Smith
0653	1	Kevin Smith
0654	1	Richard Linklater
0655	1	Noah Baumbach
0656	1	Richard Linklater
0657	1	Wes Anderson
0658	1	Greg Araki
0659	1	Penny Marshall
0660	1	Dennis Dugan
0661	1	Barry Levinson
0662	1	Brian Robbins
0663	1	Richard Linklater
0664	1	David S. Ward
0665	1	Charles Stone III
0666	1	Fred Schepisi
0667	1	Tony Scott
0668	1	Arthur Hiller
0669	1	David Zucker
0670	1	Bill Couturie
0671	1	David M. Evans
0672	2	Anna Boden	Ryan Fleck
0673	1	Bennett Miller
0674	1	Henry Selick
0675	1	Tim Burton
0676	1	Henry Selick
0677	1	Wes Anderson
0678	1	Henry Selick
0679	1	Thomas Carter
0680	1	Steve Rash
0681	1	William Friedkin
0682	1	Spike Lee
0683	1	Paul Michael Glaser
0684	1	Steve Carr
0685	1	Randall Miller
0686	1	Steve Gomer
0687	1	Tom DeCerchio
0688	1	Tim Story
0689	1	Sylvester Stallone
0690	1	Sylvester Stallone
0691	1	Clint Eastwood
0692	1	Sylvester Stallone
0693	1	Sylvester Stallone
0694	1	Ron Howard
0695	1	Michael Mann
0696	1	Martin Scorsese
0697	1	Justin Lin
0698	1	Walter Hill
0699	1	Jim Sheridan
0700	1	Joe Roth
0701	1	Karyn Kusama
0702	1	Jamse Toback
0703	1	Nanette Burstein
0704	1	David O. Russell
0705	1	Boaz Yakin
0706	1	Oliver Stone
0707	1	Jon Turteltaub
0708	1	Gavin O'Connor
0709	1	Jessica Bendinger
0710	1	David S. Ward
0711	1	Duwayne Dunham
0712	1	Rob Cohen
0713	1	Kathryn Bigelow
0714	1	John Stockwell
0715	1	Lee Tamahori
0716	1	Catherine Hardwicke
0717	1	Rob Bowman
0718	1	Frank Coraci
0719	1	Peter Segal
0720	1	Brian Robbins
0721	1	McG
0722	1	Stan Dragoti
0723	1	David Anspaugh
0724	1	Taylor Hackford
0725	1	Gary Fleder
0726	1	Robert Zemeckis
0727	1	Andy Fickman
0728	1	Tom Shadyac
0729	1	David Seltzer
0730	1	Dennis Dugan
0731	1	Robert Redford
0732	1	Michael Lembeck
0733	1	Paul Michael Glaser
0734	1	Peter Hyams
0735	1	Jay Roach
0736	2	Josh Gordon	Will Speck
0737	1	David Silverman
0738	1	Andy Fickman
0739	1	Holly Goldberg Sloan
0740	1	Davis Guggenheim
0741	1	Tom Hooper
0742	1	Jaume Collet-Serra
0743	1	Peyton Reed
0744	1	The Farrelly Bros.
0745	1	Jay Chandrasekhar
0746	1	Richard Loncraine
0747	1	Brian Robbins
0748	1	Darren Aronofsky
0749	1	John Irvin
0750	1	Paul Greengrass
0751	1	John Woo
0752	1	Jay Roach
0753	1	Brian De Palma
0754	1	Paul Greengrass
0755	1	Lee Tamahori
0756	1	J.J. Abrams
0757	1	Peter Segal
0758	1	Michael Apted
0759	1	McG
0760	1	Phillip Noyce
0761	1	John McTiernan
0762	1	Phillip Noyce
0763	1	Robert Rodriguez
0764	1	Martin Campbell
0765	1	Robert Rodriguez
0766	1	Phillip Noyce
0767	1	Tony Scott
0768	1	Phillip Noyce
0769	1	Irvin Kershner
0770	1	Jay Roach
0771	1	Harald Zwart
0772	1	Tony Gilroy
0773	1	Malcolm D. Lee
0774	1	Roger Donaldson
0775	1	Renny Harlin
0776	1	Billy Ray
0777	1	Penny Marshall
0778	1	Jeremiah S. Chechik
0779	1	Fred Schepisi
0780	3	Jim Abrahams	David Zucker	Jerry Zucker
0781	1	Willard Huyck
0782	1	Richard Marquand
0783	1	John Schlesinger
0784	1	Michael Apted
0785	1	Andrew Davis
0786	1	Doug Liman
0787	1	Luc Besson
0788	1	Michael Apted
0789	1	Gillian Armstrong
0790	1	Keith Gordon
0791	1	Christopher Hampton
0792	1	John Singleton
0793	1	Tony Gilroy
0794	1	George Gallo
0795	1	Tony Scott
0796	1	Wolfgang Petersen
0797	1	Mark S. Waters
0798	1	Garry Marshall
0799	1	Robert Luketic
0800	1	Garry Marshall
0801	1	Nancy Meyers
0802	1	Andy Tennant
0803	1	Anne Fletcher
0804	1	Betty Thomas
0805	1	Boaz Yakin
0806	1	Chris Columbus
0807	1	Martha Coolidge
0808	1	Sean McNamara
0809	1	Joe Nussbaum
0810	1	Christopher Nolan
0811	1	Sam Raimi
0812	1	Sam Raimi
0813	1	Jon Favreau
0814	1	Jon Favreau
0815	1	Tim Burton
0816	1	Peter Berg
0817	1	Bryan Singer
0818	1	Bryan Singer
0819	1	Joel Schumacher
0820	1	Bryan Singer
0821	1	Tim Story
0822	1	Louis Leterrier
0823	1	Richard Donner
0824	1	Ang Lee
0825	1	Tim Story
0826	1	Mark Steven Johnson
0827	1	Zack Snyder
0828	1	Mark Steven Johnson
0829	1	M. Night Shyamalan
0830	1	Martin Campbell
0831	1	Guillermo del Toro
0832	1	Guillermo del Toro
0833	1	Guillermo del Toro
0834	1	Matthew Vaughn
0835	1	Joe Johnston
0836	1	Martin Campbell
0837	1	Danny Cannon
0838	1	Sam Raimi
0839	1	Russell Mulcahy
0840	1	Craig Mazin
0841	1	Rob Bowman
0842	1	Ivan Reitman
0843	1	Simon Wincer
0844	1	Peter Hewitt
0845	1	Mike Binder
0846	1	Trey Parker
0847	1	Craig Mazin
0848	1	Kenneth Branagh
0849	1	Joe Johnston
0850	1	Joss Whedon
0851	1	James Mangold
0852	1	Taylor Hackford
0853	1	Michael Apted
0854	2	Scott Hicks	Scott Hocks
0855	1	Gregory Nava
0856	1	Oliver Stone
0857	1	Joe Wright
0858	1	Gregory Nava
0859	1	Leon Ichaso
0860	1	Mike Leigh
0861	1	Todd Haynes
0862	1	Iain Softley
0863	1	Clint Eastwood
0864	1	Michael Winterbottom
0865	1	Anton Corbijn
0866	1	Kevin Reynolds
0867	1	Jerry Zucker
0868	1	Michael Caton-Jones
0869	1	Peter Hyams
0870	1	Jon Turteltaub
0871	1	Ron Howard
0872	1	Rob Cohen
0873	1	Ridley Scott
0874	1	Uwe Boll
0875	1	Marcus Nispel
0876	1	Michael Mann
0877	1	Richard Donner
0878	1	Martin Scorsese
0879	1	Joel Schumacher
0880	1	Richard Linklater
0881	1	Richard LaGravenese
0882	1	Denzel Washington
0883	1	Mel Gibson
0884	1	Penny Marshall
0885	1	Wes Craven
0886	1	Ryan Fleck
0887	1	Frank Oz
0888	1	Andy Tennant
0889	1	Joe Johnston
0890	1	Stephen Daldry
0891	1	Hart Bochner
0892	1	Christopher Cain
0893	1	Curtis Hanson
0894	1	Robert Mandel
0895	1	Lone Scherfig
0896	1	Kevin Reynolds
0897	1	Andrew Fleming
0898	1	Thomas Carter
0899	1	Ken Kwapis
0900	1	John Hughes
0901	1	Jay Russell
0902	1	Rob Reiner
0903	1	John G. Avildsen
0904	1	Martha Coolidge
0905	1	James Foley
0906	1	Michael Hoffman
0907	1	Oliver Stone
0908	1	Dominic Sena
0909	1	Peter Berg
0910	1	Steven Spielberg
0911	1	Alan J. Pakula
0912	1	Edward Zwick
0913	1	Andrew Davis
0914	1	David Fincher
0915	1	Stephen Hopkins
0916	1	Jim Sheridan
0917	1	Mark Pellington
0918	1	Menahem Golan
0919	1	Joseph Zito
0920	1	James Glickenhaus
0921	1	Martin Brest
0922	1	John Hughes
0923	1	Jodie Foster
0924	1	Ang Lee
0925	1	Gary Winick
0926	1	Mark S. Waters
0927	1	Ridley Scott
0928	1	Mike Newell
0929	1	Paul Thomas Anderson
0930	1	Spike Lee
0931	1	Malcolm D. Lee
0932	1	Howard Zieff
0933	1	Jon Avnet
0934	1	Mark Christopher
0935	1	Spike Lee
0936	1	Lasse Hallstrom
0937	1	Brad Silberling
0938	1	Paul Verhoeven
0939	1	Barry Levinson
0940	1	Phillip Noyce
0941	1	Brian De Palma
0942	1	James Foley
0943	1	Alan J. Pakula
0944	1	Richard Rush
0945	1	Jim McBride
0946	1	William Friedkin
0947	1	Brian De Palma
0948	1	David Lynch
0949	1	Brian De Palma
0950	1	Michael Caton-Jones
0951	1	Jane Campion
0952	1	Marcel Langenegger
0953	1	Atom Egoyan
0954	1	Anne Fontaine
0955	1	Quentin Tarantino
0956	1	Roman Polanski
0957	1	Steven Soderbergh
0958	1	David Lynch
0959	1	Mike Leigh
0960	1	Joel Coen
0961	1	Ken Loach
0962	1	Wolfgang Petersen
0963	1	Alan J. Pakula
0964	1	Sydney Pollack
0965	1	Michael Caton-Jones
0966	1	Ridley Scott
0967	1	Clark Johnson
0968	1	Fernando Meirelles
0969	1	Dwight H. Little
0970	1	Harold Becker
0971	1	Roman Polanski
0972	1	Phillip Noyce
0973	1	Brian De Palma
0974	1	Gavin Hood
0975	1	Joseph Ruben
0976	1	Roman Polanski
0977	1	Oliver Stone
0978	1	Joseph Ruben
0979	1	Curtis Hanson
0980	1	Martin Scorsese
0981	1	Barbet Schroeder
0982	1	Michael Apted
0983	1	Neil LaBute
0984	1	Mark Romanek
0985	1	Brian Gibson
0986	1	Kathryn Bigelow
0987	1	Joseph Ruben
0988	1	Alan J. Pakula
0989	1	Ridley Scott
0990	1	Jonathan Demme
0991	1	David Fincher
0992	1	Phillip Noyce
0993	1	Tarsem
0994	1	James Mangold
0995	1	Oliver Stone
0996	1	Patty Jenkins
0997	1	David Fincher
0998	1	D.J. Caruso
0999	1	Jon Amiel
1000	1	Gregory Hoblit
1001	1	Bruce A. Evans
1002	1	Michael Mann
1003	1	Dominic Sena
1004	1	James Cameron
1005	1	Robert Zemeckis
1006	1	Robert Zemeckis
1007	1	Tony Scott
1008	1	Gregory Hoblit
1009	1	Peter Hyams
1010	1	Terry Gilliam
1011	1	James Cameron
1012	1	Peter Hyams
1013	1	Michael Bay
1014	1	Gary Goddard
1015	1	Frank Oz
1016	1	Ronny Yu
1017	1	Zach Helm
1018	1	Steven Barron
1019	1	Ben Affleck
1020	1	Ben Affleck
1021	1	Arlene Sanford
1022	1	Anthony Minghella
1023	1	Gary Winick
1024	1	Anton Corbijn
1025	1	Mark Steven Johnson
1026	1	Norman Jewison
1027	1	Edward Zwick
1028	1	Justin Lin
1029	1	Ridley Scott
1030	1	Sofia Coppola
1031	1	Justin Lin
1032	1	John Singleton
1033	1	Andy & Larry Wachowski
1034	1	Paul W.S. Anderson
1035	1	Renny Harlin
1036	1	Hal Needham
1037	1	Justin Lin
