movie	metacritic	director
0079	1	Danny Boyle
0080	1	Tim Burton
0081	1	Chia-Liang Liu
0082	1	Stephen Frears
0083	1	Emanuele Crialese
0084	1	Keith Fulton
0085	1	Ole Christian Madsen
0086	1	Michael Winterbottom
0087	1	Frank Miller
0088	1	Bruce Sinofsky
0089	1	Majid Majidi
0090	1	Gregg Araki
0091	1	Mark Dornford-May
0092	1	Billy Ray
0093	1	Lisa Cholodenko
0094	1	Barry Levinson
0095	1	Martin Scorsese
0096	1	Trey Parker
0097	1	Danniel Danniel
0098	1	Andrea Arnold
0099	1	John Woo
0100	1	Steven Soderbergh
0101	1	Walter Salles
0102	1	Satoshi Kon
0103	1	Shunji Iwai
0104	1	Timothy Bj�rklund
0105	1	Paul Greengrass
0106	1	Michael Cimino
0107	1	Jonathan Demme
0108	1	Byambasuren Davaa
0109	1	Jerzy Stuhr
0110	1	Morgan Spurlock
0111	1	Johnnie To
0112	1	John Stevenson
0113	1	Richard Linklater
0114	1	Michael Cuesta
0115	1	Jennifer Abbott
0116	1	Ruben Fleischer
0117	1	Todd Phillips
0118	1	Matthew Vaughn
0119	1	Taylor Hackford
0120	1	Nuri Bilge Ceylan
0121	1	Judd Apatow
0122	1	Jay Duplass
0123	1	Jessica Joy Wise
0124	1	Andy Wachowski
0125	1	Yasuo Furuhata
0126	1	Steven Spielberg
0127	1	Dori Berinstein
0128	1	Nuri Bilge Ceylan
0129	1	Ben Affleck
0130	1	Tim Burton
0131	1	Richard Glatzer
0132	1	Mark Moskowitz
0133	1	Harold Ramis
0134	1	Billy Wilder
0135	1	Jean-Fran�ois Richet
0136	1	Michael Winterbottom
0137	1	Alastair Fothergill
0138	1	Bryan Singer
0139	1	Lucy Walker
0140	1	Graham Coleman
0141	1	Pablo Larra�n
0142	1	Shane Black
0143	1	Roger Michell
0144	1	Caroline Link
0145	1	Anh Hung Tran
0146	1	Ron Howard
0147	1	Francis Ford Coppola
0148	1	David Lynch
0149	1	Doug Atchison
0150	1	Chris Metzler
0151	1	Jennifer Grausman
0152	1	Francis Veber
0153	1	Sandra Nettelbeck
0154	1	James Mangold
0155	1	Baz Luhrmann
0156	1	Patrice Leconte
0157	1	Chris Renaud
0158	1	Nikita Mikhalkov
0159	1	Walter Hill
0160	1	Darrell Roodt
0161	1	Warwick Thornton
0162	1	Brian Goodman
0163	1	Robert J. Siegel
0164	1	Eric Eason
0165	1	Robert Altman
0166	1	George A. Romero
0167	1	Ted Demme
0168	1	Robert Greenwald
0169	1	Ramin Bahrani
0170	1	Robert Rodriguez
0171	1	Michael Winterbottom
0172	1	Vadim Perelman
0173	1	David Gordon Green
0174	1	Oreet Rees
0175	1	Miguel Arteta
0176	1	Patrice Leconte
0177	1	Ben Stiller
0178	1	Wes Craven
0179	1	Khyentse Norbu
0180	1	John Singleton
0181	1	Mike Nichols
0182	1	Sean Penn
0183	1	Patricia Cardoso
0184	1	Yimou Zhang
0185	1	Nicolas Winding Refn
0186	1	Jimmy Hayward
0187	1	Chris Smith
0188	1	Patricia Rozema
0189	1	Denys Arcand
0190	1	Julian Fellowes
0191	1	Spike Jonze
0192	1	Claude Lelouch
0193	1	Hector Babenco
0194	1	Christopher Guest
0195	1	Michael Mann
0196	1	Jasmila Zbanic
0197	1	James Cameron
0198	1	George Hickenlooper
0199	1	David Ridgen
0200	1	John Madden
0201	1	Danny Hoch
0202	1	Andy Bichlbaum
0203	1	Istv�n Szab�
0204	1	Lucy Walker
0205	1	Christopher Nolan
0206	1	Jenniphr Goodman
0207	1	Paul Auster
0208	1	Tony Goldwyn
0209	1	Gus Van Sant
0210	1	Kiyoshi Kurosawa
0211	1	Khyentse Norbu
0212	1	Fran�ois Ozon
0213	1	Martin Scorsese
0214	1	Giorgos Lanthimos
0215	1	Michael Mann
0216	1	Daniel Burman
0217	1	Richard Kwietniowski
0218	1	Gina Prince-Bythewood
0219	1	Robert Sarkies
0220	1	Jonathan Frakes
0221	1	Penny Marshall
0222	1	Satoshi Kon
0223	1	Gil Junger
0224	1	Edward Rosenstein
0225	1	Emmanuel Mouret
0226	1	Michel Gondry
0227	1	John Jeffcoat
0228	1	Lieven Debrauwer
0229	1	Don Roos
0230	1	Alejandro Gonz�lez I��rritu
0231	1	John McTiernan
0232	1	Pat Murphy
0233	1	Roger Gnoan M'Bala
0234	1	Antoine Fuqua
0235	1	Peter Hedges
0236	1	Don Hahn
0237	1	Jean-Fran�ois Richet
0238	1	Pierre Morel
0239	1	Guillermo del Toro
0240	1	Dan Stone
0241	1	Mike Akel
0242	1	Kevin Smith
0243	1	Wisit Sasanatieng
0244	1	Eli Roth
0245	1	Alejandro Gonz�lez I��rritu
0246	1	Werner Herzog
0247	1	Malcolm D. Lee
0248	1	Kar Wai Wong
0249	1	Sam Mendes
0250	1	Len Wiseman
0251	1	R.J. Cutler
0252	1	Margaret Brown
0253	1	Silvio Soldini
0254	1	John Curran
0255	1	Amy Heckerling
0256	1	Ferzan Ozpetek
0257	1	Marc Forster
0258	1	Neil LaBute
0259	1	Tamara Jenkins
0260	1	Mike Nichols
0261	1	Doug Liman
0262	1	Kenneth A Carlson
0263	1	Kasi Lemmons
0264	1	Ben Coccio
0265	1	Cathy Malkasian
0266	1	Jan Hrebejk
0267	1	Ji-woon Kim
0268	1	Aleksandr Rogozhkin
0269	1	Ondi Timoner
0270	1	Abby Epstein
0271	1	David Cronenberg
0272	1	Joel Hopkins
0273	1	Tom Shadyac
0274	1	Leon Gast
0275	1	Adrian Shergold
0276	1	Andr� T�chin�
0277	1	Jan de Bont
0278	1	Marcelo Pi�eyro
0279	1	Gil Kenan
0280	1	Rakesh Roshan
0281	1	Joseph Sargent
0282	1	Peter Davis
0283	1	Wolfgang Becker
0284	1	Darren Aronofsky
0285	1	Rupert Murray
0286	1	Christopher Guest
0287	1	Jean-Paul Rappeneau
0288	1	Doug Liman
0289	1	George Tillman Jr
0290	1	Eugene Jarecki
0291	1	Juan Jos� Campanella
0292	1	Nicole Holofcener
0293	1	Barry J. Hershey
0294	1	Jonathan Demme
0295	1	John Sayles
0296	1	Ye Lou
0297	1	George Lucas
0298	1	Gregory Hoblit
0299	1	�lex de la Iglesia
0300	1	Francis Veber
0301	1	Baltasar Korm�kur
0302	1	F. Gary Gray
0303	1	Steven Zaillian
0304	1	Per Fly
0305	1	S�bastien Lifshitz
0306	1	Jessica Yu
0307	1	Drew Barrymore
0308	1	Jerry Zaks
0309	1	Audrey Wells
0310	1	Duncan Jones
0311	1	Nicholas Stoller
0312	1	David Cronenberg
0313	1	Roger Donaldson
0314	1	Martin McDonagh
0315	1	C�dric Klapisch
0316	1	Brian Jun
0317	1	Spike Lee
0318	1	Michael Moore
0319	1	Paul Verhoeven
0320	1	Matthew Barney
0321	1	David Mackenzie
0322	1	Ron Mann
0323	1	Luc�a Puenzo
0324	1	Tony Scott
0325	1	Dan Ireland
0326	1	Fr�d�ric Fonteyne
0327	1	Betty Thomas
0328	1	Amy Berg
0329	1	Charles Ferguson
0330	1	Fran�ois Ozon
0331	1	Stanley Kubrick
0332	1	Martin Scorsese
0333	1	Hsiao-hsien Hou
0334	1	Julian Schnabel
0335	1	Paul Thomas Anderson
0336	1	George Butler
0337	1	Bahman Ghobadi
0338	1	Bob Smeaton
0339	1	Rob Reiner
0340	1	Marshall Curry
0341	1	John Cameron Mitchell
0342	1	Aleksandr Sokurov
0343	1	Pedro Almod�var
0344	1	Sebastian Junger
0345	1	Peter Weir
0346	1	Jafar Panahi
0347	1	Michael Winterbottom
0348	1	David Sington
0349	1	Alfonso Cuar�n
0350	1	G�tz Spielmann
0351	1	Ray Lawrence
0352	1	Martin Provost
0353	1	Michael Apted
0354	1	James L. Brooks
0355	1	Gus Van Sant
0356	1	Luis Bu�uel
0357	1	Todd Haynes
0358	1	Hubert Sauper
0359	1	Cristi Puiu
0360	1	Arnaud Desplechin
0361	1	Eric Bricker
0362	1	Chico Teixeira
0363	1	Frank Oz
0364	1	Amy Heckerling
0365	1	Gregory Nava
0366	1	Sam Taylor-Wood
0367	1	Jon Favreau
0368	1	Karey Kirkpatrick
0369	1	Angela Christlieb
0370	1	Carlos Cuar�n
0371	1	Hal Hartley
0372	1	Eric Khoo
0373	1	Bruno Dumont
0374	1	Hal Hartley
0375	1	John Dower
0376	1	Don Argott
0377	1	Conor McPherson
0378	1	Ken Loach
0379	1	Gail O'Hara
0380	1	Garth Jennings
0381	1	Julie Lopes-Curval
0382	1	Mel Gibson
0383	1	Raymond De Felitta
0384	1	Steven Sebring
0385	1	Luis Mandoki
0386	1	Ethan Coen
0387	1	David O. Russell
0388	1	Ulrich Seidl
0389	1	Katherine Dieckmann
0390	1	Corey Yuen
0391	1	David Fincher
0392	1	Christopher Nolan
0393	1	Daniel Burman
0394	1	Isabel Coixet
0395	1	Laurie Collyer
0396	1	Alex Proyas
0397	1	Nanette Burstein
0398	1	John Landis
0399	1	Olivier Dahan
0400	1	Oliver Stone
0401	1	Tim Story
0402	1	Stephen Hillenburg
0403	1	J.J. Abrams
0404	1	Todd Graff
0405	1	Spiro Taraviras
0406	1	Jean-Pierre Jeunet
0407	1	Jim de S�ve
0408	1	John A. Davis
0409	1	Jim Jarmusch
0410	1	Rodrigo Cort�s
0411	1	James C. Strouse
0412	1	Glenn Ficarra
0413	1	Sijie Dai
0414	1	Greg Marcks
0415	1	Andrew Dominik
0416	1	Mike Nichols
0417	1	Rollin Binzer
0418	1	Patrice Leconte
0419	1	Brian De Palma
0420	1	Denis Villeneuve
0421	1	Robert Redford
0422	1	Steve Buscemi
0423	1	Istv�n Szab�
0424	1	Ray Lawrence
0425	1	Marc Levin
0426	1	Michael Mann
0427	1	Jake Kasdan
0428	1	Floria Sigismondi
0429	1	Sofia Coppola
0430	1	Stephen Kijak
0431	1	Nick Broomfield
0432	1	Phillip Noyce
0433	1	Michael Apted
0434	1	Nigel Cole
0435	1	Shane Meadows
0436	1	Neil Jordan
0437	1	Michael Arias
0438	1	David Lister
0439	1	Richard Shepard
0440	1	Robert Gu�diguian
0441	1	Mick Jackson
0442	1	David Fincher
0443	1	Craig McCracken
0444	1	Ken Loach
0445	1	Peter Hedges
0446	1	Alice Wu
0447	1	David Fincher
0448	1	Spike Lee
0449	1	Rupert Murray
0450	1	Sidney Lumet
0451	1	Emanuele Crialese
0452	1	Julio Medem
0453	1	Roman Polanski
0454	1	Neil Jordan
0455	1	David Jacobson
0456	1	Antoine De Caunes
0457	1	Peter Weir
0458	1	Dalia Hager
0459	1	Peter Greenaway
0460	1	Gerard Stembridge
0461	1	Jon Favreau
0462	1	Jared Hess
0463	1	Calum Grant
0464	1	Danny Boyle
0465	1	Gary Winick
0466	1	Fran�ois Ozon
0467	1	Frank Whaley
0468	1	Timur Bekmambetov
0469	1	Mabrouk El Mechri
0470	1	Wayne Wang
0471	1	Frank Nissen
0472	1	Jim Tushinski
0473	1	Mike Judge
0474	1	Mark Romanek
0475	1	Mike Judge
0476	1	Ayelet Menahemi
0477	1	Gillian Grisman
0478	1	Gabriele Muccino
0479	1	Fernando Le�n de Aranoa
0480	1	Michael Apted
0481	1	M. Night Shyamalan
0482	1	Steven Soderbergh
0483	1	Joey Lauren Adams
0484	1	Ridley Scott
0485	1	James Mangold
0486	1	Trey Parker
0487	1	Lawrence Kasdan
0488	1	Julian Jarrold
0489	1	Ash Brannon
0490	1	Tom Tykwer
0491	1	Nancy Meyers
0492	1	John Malkovich
0493	1	Kyle Henry
0494	1	David Leaf
0495	1	Tom McGrath
0496	1	Alexander Payne
0497	1	Stephen Vittoria
0498	1	Stephen Frears
0499	1	David Gordon Green
0500	1	Richard LaGravenese
0501	1	Jonathan Frakes
0502	1	Gareth Edwards
0503	1	Kiyoshi Kurosawa
0504	1	Carlos Saldanha
0505	1	Deepa Mehta
0506	1	Gaspar No�
0507	1	Jeffrey Friedman
0508	1	Ismail Merchant
0509	1	Luc Besson
0510	1	Roger Nygard
0511	1	John Cameron Mitchell
0512	1	Richard Linklater
0513	1	Arthur Penn
0514	1	Richard Donner
0515	1	Francis Ford Coppola
0516	1	Charles Stone III
0517	1	Roland Emmerich
0518	1	Jake Kasdan
0519	1	Benson Lee
0520	1	Chris Columbus
0521	1	David Jacobson
0522	1	Miguel Albaladejo
0523	1	Ian Iqbal Rashid
0524	1	Sanaa Hamri
0525	1	Anna Boden
0526	1	Steve Pink
0527	1	Jean-Jacques Annaud
0528	1	Konstantin Bojanov
0529	1	Jan Svankmajer
0530	1	Brent Pierson
0531	1	Niels Mueller
0532	1	Pierre-Paul Renders
0533	1	Jean-Pierre Jeunet
0534	1	Leila Conners
0535	1	Marc Forster
0536	1	Jacques Martineau
0537	1	Tim Fywell
0538	1	Martin Campbell
0539	1	Takashi Miike
0540	1	Mike Binder
0541	1	Ben Younger
0542	1	Wes Craven
0543	1	Miguel Arteta
0544	1	Bronwen Hughes
0545	1	Robert Towne
0546	1	Robert Zemeckis
0547	1	James McTeigue
0548	1	Mark Waters
0549	1	Allen Coulter
0550	1	Anthony Fabian
0551	1	D.J. Caruso
0552	1	Scott Prendergast
0553	1	Craig Lucas
0554	1	Steven Soderbergh
0555	1	Chris Roe
0556	1	Richard Dutcher
0557	1	Saul Dibb
0558	1	Pablo Berger
0559	1	Jianqi Huo
0560	1	Paul Demeyer
0561	1	Denzel Washington
0562	1	Mark Milgard
0563	1	Gaby Dellal
0564	1	David Von Ancken
0565	1	Rolf de Heer
0566	1	Christian Charles
0567	1	F. Gary Gray
0568	1	Ridley Scott
0569	1	Michael Winterbottom
0570	1	Anurag Basu
0571	1	Jonathan Mostow
0572	1	Bernardo Bertolucci
0573	1	Mike Mitchell
0574	1	Patrick Hughes
0575	1	Nigel Cole
0576	1	Zak Penn
0577	1	Fred Schepisi
0578	1	Suri Krishnamma
0579	1	Neil Marshall
0580	1	Emily Kunstler
0581	1	Tim Kirkman
0582	1	Robert Cary
0583	1	Pablo Trapero
0584	1	William Friedkin
0585	1	Joel Zwick
0586	1	Michael Burke
0587	1	Atom Egoyan
0588	1	Hitoshi Matsumoto
0589	1	Robert De Niro
0590	1	John Stockwell
0591	1	Terry Gilliam
0592	1	Gary Fleder
0593	1	Lars von Trier
0594	1	Rebecca Dreyfus
0595	1	Anton Corbijn
0596	1	Mel Gibson
0597	1	John Bush
0598	1	Michael Hoffman
0599	1	Andy Wachowski
0600	1	Sarah Gavron
0601	1	Mike Binder
0602	1	Carl Reiner
0603	1	Ridley Scott
0604	1	Frank Darabont
0605	1	Peter Kosminsky
0606	1	David Fincher
0607	1	Jacques Sarasin
0608	1	James Mottern
0609	1	Svetozar Ristovski
0610	1	Yang Zhang
0611	1	Claude Berri
0612	1	Juan Carlos Rulfo
0613	1	Joe Wright
0614	1	Charles Dance
0615	1	Eric Darnell
0616	1	Gore Verbinski
0617	1	Terry Gilliam
0618	1	Lisa Cholodenko
0619	1	Anthony Russo
0620	1	Ben Stiller
0621	1	Gregory Jacobs
0622	1	Stanley Tong
0623	1	Lawrence Kasdan
0624	1	Robert Schwentke
0625	1	Michael Moore
0626	1	Julia Loktev
0627	1	Richard E. Grant
0628	1	G�la Babluani
0629	1	Marc Forster
0630	1	Yoon-Hyun Chang
0631	1	Jay Russell
0632	1	S�rgio Machado
0633	1	Harold Ramis
0634	1	Michael Caton-Jones
0635	1	Julien Temple
0636	1	Alan Taylor
0637	1	Ron Howard
0638	1	Jeff Garlin
0639	1	Nicolas Rossier
0640	1	Taylor Hackford
0641	1	Andrew Rossi
0642	1	Brian De Palma
0643	1	Leslie Cockburn
0644	1	Oliver Parker
0645	1	Christoffer Boe
0646	1	James Ivory
0647	1	Rolf Sch�bel
0648	1	Richard Donner
0649	1	Adri�n Garc�a Bogliano
0650	1	Ellen Spiro
0651	1	Ethan Maniquis
0652	1	Stanley Kwan
0653	1	Jim Sheridan
0654	1	Arthur Hiller
0655	1	Sidney Lumet
0656	1	Mike Leigh
0657	1	Patricio Guzm�n
0658	1	James Longley
0659	1	Louie Psihoyos
0660	1	Andrew Bujalski
0661	1	Zhuangzhuang Tian
0662	1	Alfonso Cuar�n
0663	1	Armando Iannucci
0664	1	Wes Anderson
0665	1	Ramin Bahrani
0666	1	Robert Zemeckis
0667	1	David Mich�d
0668	1	Gus Van Sant
0669	1	Sam Raimi
0670	1	Seth Gordon
0671	1	Norman Jewison
0672	1	Ridley Scott
0673	1	Catherine Owens
0674	1	Quentin Tarantino
0675	1	Mike Leigh
0676	1	Kenneth Branagh
0677	1	Alexander Payne
0678	1	Roger Michell
0679	1	Thomas Riedelsheimer
0680	1	Clint Eastwood
0681	1	Ming-liang Tsai
0682	1	Fernando Meirelles
0683	1	Noah Baumbach
0684	1	William Friedkin
0685	1	Sarah Kernochan
0686	1	John Turturro
0687	1	Francis Ford Coppola
0688	1	Sandra Goldbacher
0689	1	Rob VanAlkemade
0690	1	David Cronenberg
0691	1	Brad Anderson
0692	1	Steven Spielberg
0693	1	Rob Bowman
0694	1	Neil Jordan
0695	1	Hark Tsui
0696	1	Jordan Melamed
0697	1	Donald Petrie
0698	1	Nigel Cole
0699	1	Wes Anderson
0700	1	Renny Harlin
0701	1	Andrew Jarecki
0702	1	Michael Almereyda
0703	1	Sturla Gunnarsson
0704	1	Patricia Riggen
0705	1	Chris Hegedus
0706	1	Frank Coraci
0707	1	Robert Zemeckis
0708	1	Hiroyuki Okiura
0709	1	Ki-duk Kim
0710	1	Sergio Castellitto
0711	1	Laurent Firode
0712	1	Damien O'Donnell
0713	1	Shinsuke Sato
0714	1	Joe Mantegna
0715	1	Jay Roach
0716	1	Roland Emmerich
0717	1	Cesc Gay
0718	1	M. Night Shyamalan
0719	1	Laurent Tirard
0720	1	Michael Bay
0721	1	Roberto Benigni
0722	1	Albert Hughes
0723	1	John Irvin
0724	1	Kevin Rodney Sullivan
0725	1	Don Bluth
0726	1	Alex Proyas
0727	1	Oliver Stone
0728	1	Werner Herzog
0729	1	John Gatins
0730	1	Rob Stewart
0731	1	Kirk Jones
0732	1	Lars von Trier
0733	1	Richard Loncraine
0734	1	Timur Bekmambetov
0735	1	Maximilian Schell
0736	1	Brad Silberling
0737	1	Simon Wincer
0738	1	Mark Obenhaus
0739	1	Ry�hei Kitamura
0740	1	Frank Darabont
0741	1	Sam Mendes
0742	1	Russell Mulcahy
0743	1	Barry Levinson
0744	1	Zoya Akhtar
0745	1	Andrew Douglas
0746	1	David Slade
0747	1	Carlos Saldanha
0748	1	Mike Mitchell
0749	1	Jim Jarmusch
0750	1	John McTiernan
0751	1	Chris Columbus
0752	1	Eric Goldberg
0753	1	Armen Kaprelian
0754	1	John McTiernan
0755	1	Tim Blake Nelson
0756	1	Robert Towne
0757	1	Gil Kenan
0758	1	Bart Freundlich
0759	1	Rob Cohen
0760	1	Lucky McKee
0761	1	James Gartner
0762	1	James Gray
0763	1	Abel Ferrara
0764	1	Michael Radford
0765	1	Michael Spierig
0766	1	Ziad Doueiri
0767	1	Brian W. Cook
0768	1	Kei Kumai
0769	1	Gore Verbinski
0770	1	Michael Mayer
0771	1	Richard Roxburgh
0772	1	Yu Wang
0773	1	S�ren Kragh-Jacobsen
0774	1	Griffin Dunne
0775	1	Robert Rodriguez
0776	1	John Hughes
0777	1	Edward Burns
0778	1	Don Roos
0779	1	Mich�le Ohayon
0780	1	Fran�ois Girard
0781	1	Paul Verhoeven
0782	1	Rob Minkoff
0783	1	John Curran
0784	1	Richard Linklater
0785	1	Olaf de Fleur Johannesson
0786	1	Chris Noonan
0787	1	Nicholas Fackler
0788	1	Leslie Greif
0789	1	Scott Storm
0790	1	Peter Stebbings
0791	1	Matt Dillon
0792	1	Jos� Luis Garci
0793	1	Ridley Scott
0794	1	Chris Boebel
0795	1	Jason Ruscio
0796	1	Roger Spottiswoode
0797	1	Jon Favreau
0798	1	Eric Brevig
0799	1	Adam Green
0800	1	Clint Eastwood
0801	1	John Pasquin
0802	1	Thomas Carter
0803	1	Kenny Ortega
0804	1	Debbie Isitt
0805	1	Ron Shelton
0806	1	Ken Loach
0807	1	Rodney Evans
0808	1	Nancy Meyers
0809	1	Lasse Hallstr�m
0810	1	Tim Skousen
0811	1	Sam Raimi
0812	1	Peter Cattaneo
0813	1	Jan Sver�k
0814	1	Luc Besson
0815	1	Michael Hoffman
0816	1	Adam Rapp
0817	1	Jeff Tremaine
0818	1	David Ayer
0819	1	John Waters
0820	1	Jack Nicholson
0821	1	Joe Winston
0822	1	Max Mayer
0823	1	Michael Selditch
0824	1	Jodie Foster
0825	1	Christophe Barratier
0826	1	George Clooney
0827	1	Jeremy Podeswa
0828	1	Robert Rodriguez
0829	1	Victor Nunez
0830	1	Shawn Levy
0831	1	Christine Jeffs
0832	1	Kevin Costner
0833	1	Jeff Balsmeyer
0834	1	Neil Jordan
0835	1	Kate Montgomery
0836	1	Roman Coppola
0837	1	Dennis Hopper
0838	1	Joel Schumacher
0839	1	Alan Cumming
0840	1	Ethan Coen
0841	1	Davide Ferrario
0842	1	Daniel Barnz
0843	1	Jorge W. Atalla
0844	1	Roger Donaldson
0845	1	Robert Pulcini
0846	1	Conrad Vernon
0847	1	Tetsuya Nakashima
0848	1	Menno Meyjes
0849	1	Martin Campbell
0850	1	Michael Keaton
0851	1	Parvez Sharma
0852	1	Robert Rodriguez
0853	1	Theodore Thomas
0854	1	Patrik-Ian Polk
0855	1	Nabil Ayouch
0856	1	Lexi Alexander
0857	1	Alfonso Cuar�n
0858	1	Catherine Breillat
0859	1	Howard Deutch
0860	1	Rian Johnson
0861	1	Issa L�pez
0862	1	Rod Lurie
0863	1	Raul Inglis
0864	1	Brigitte Berman
0865	1	Myung-se Lee
0866	1	David Twohy
0867	1	Todd Graff
0868	1	Eric Styles
0869	1	Milos Forman
0870	1	Mark Herman
0871	1	Wim Wenders
0872	1	Doug Liman
0873	1	Jennifer Flackett
0874	1	Jan Kounen
0875	1	Sam Garbarski
0876	1	John Sayles
0877	1	Todd Phillips
0878	1	John Simpson
0879	1	Alejandro Amen�bar
0880	1	Fred Wolf
0881	1	Gavin Hood
0882	1	Liz Friedlander
0883	1	Takashi Miike
0884	1	Tom DiCillo
0885	1	Peter Riegert
0886	1	Carla Garapedian
0887	1	Billy Bob Thornton
0888	1	Scott Hicks
0889	1	Guy Ritchie
0890	1	George Bogdanich
0891	1	John Turturro
0892	1	Paul Schrader
0893	1	Edward Zwick
0894	1	Sunu Gonera
0895	1	Joel Schumacher
0896	1	Jean-Jacques Annaud
0897	1	Derrick Borte
0898	1	James Ivory
0899	1	Todd Phillips
0900	1	Joel Schumacher
0901	1	John Crowley
0902	1	Claude Lelouch
0903	1	Anders Thomas Jensen
0904	1	Richard Shepard
0905	1	Greg Harrison
0906	1	Alan Parker
0907	1	Peter Jackson
0908	1	Jeremy Earp
0909	1	Oliver Stone
0910	1	Rob Marshall
0911	1	Aristomenis Tsirbas
0912	1	Ang Lee
0913	1	Oren Rudavsky
0914	1	Andrew Fleming
0915	1	Larry Charles
0916	1	Bruce McDonald
0917	1	Peter Segal
0918	1	Jesse Peretz
0919	1	Emilio Estevez
0920	1	Ping He
0921	1	Nicholas Jasenovec
0922	1	Adam Salky
0923	1	Tyler Perry
0924	1	F. Gary Gray
0925	1	Wes Craven
0926	1	Gus Van Sant
0927	1	Pedro Almod�var
0928	1	Jody Hill
0929	1	Harvey Wang
0930	1	Rachel Perkins
0931	1	Stephen Herek
0932	1	Wayne Wang
0933	1	Greg Mclean
0934	1	Jonathan Lynn
0935	1	Robert Rodriguez
0936	1	Robert Stevenhagen
0937	1	Sturla Gunnarsson
0938	1	Thomas Carter
0939	1	Tommy O'Haver
0940	1	John Lee Hancock
0941	1	Rich Cowan
0942	1	Robert M. Young
0943	1	George Lucas
0944	1	Paul McGuigan
0945	1	Ridley Scott
0946	1	Dan Harris
0947	1	Niall Johnson
0948	1	Tom DiCillo
0949	1	Hal Hartley
0950	1	McG
0951	1	James C. Strouse
0952	1	Dan Ireland
0953	1	Maryo J. De Los Reyes
0954	1	Chris Columbus
0955	1	Alberto Molinari
0956	1	Edward Zwick
0957	1	Jeff Santo
0958	1	Nicholas Racz
0959	1	Baz Luhrmann
0960	1	Matt Mulhern
0961	1	Jon Long
0962	1	Frank Novak
0963	1	Bille Woodruff
0964	1	David Bowers
0965	1	David Kaplan
0966	1	Gore Verbinski
0967	1	Jessica Bendinger
0968	1	Lawrence Kasdan
0969	1	Thaddeus O'Sullivan
0970	1	Kevin Allen
0971	1	Moon-saeng Kim
0972	1	Andrew Davis
0973	1	Brian De Palma
0974	1	McG
0975	1	Adam Kane
0976	1	Fabrice Du Welz
0977	1	Woody Allen
0978	1	Cristina Comencini
0979	1	Craig Brewer
0980	1	Donnacha O'Briain
0981	1	Tomas Alfredson
0982	1	Alex Gibney
0983	1	Michael Haneke
0984	1	Jonathan Demme
0985	1	Barry Sonnenfeld
0986	1	Kevin Macdonald
0987	1	David Leland
0988	1	Richard Linklater
0989	1	John Landis
0990	1	Fr�d�ric Fonteyne
0991	1	Sebasti�n Silva
0992	1	Julien Temple
0993	1	David Cronenberg
0994	1	Christopher Guest
0995	1	Tom Hooper
0996	1	Ulu Grosbard
0997	1	Franny Armstrong
0998	1	Mike Newell
0999	1	Peter Weir
1000	1	Jim Brown
1001	1	Abderrahmane Sissako
1002	1	Thomas McCarthy
1003	1	David Gordon Green
1004	1	Jane Campion
1005	1	Frank Oz
1006	1	Mel Stuart
1007	1	Stephen Daldry
1008	1	Neil LaBute
1009	1	Daniel Geller
1010	1	Lionel Coleman
1011	1	Coline Serreau
1012	1	Marcos Carnevale
1013	1	Michael Meredith
