movie	boxofficemojo	mpaa_rating
0476	1	PG-13
0477	1	R
0478	1	PG-13
0479	1	PG-13
0480	1	R
0481	1	R
0482	1	R
0483	1	PG
0484	1	R
0485	1	PG-13
0486	1	PG-13
0487	1	PG-13
0488	1	R
0489	1	PG-13
0490	1	PG-13
0491	1	R
0492	1	PG-13
0493	1	PG-13
0494	1	PG-13
0495	1	PG-13
0496	1	R
0497	1	PG-13
0498	1	R
0499	1	PG
0500	1	R
0501	1	R
0502	1	PG-13
0503	1	R
0504	1	R
0505	1	Unrated
0506	1	PG-13
0507	1	PG-13
0508	1	PG
0509	1	PG-13
0510	1	PG-13
0511	1	PG-13
0512	1	PG-13
0513	1	PG-13
0514	1	R
0515	1	R
0516	1	R
0517	1	PG-13
0518	1	R
0519	1	R
0520	1	R
0521	1	R
0522	1	PG-13
0523	1	R
0524	1	PG-13
0525	1	PG-13
0526	1	PG-13
0527	1	PG
0528	1	PG-13
0529	1	PG-13
0530	1	PG
0531	1	PG
0532	1	Not Yet Rated
0533	1	Not Yet Rated
0534	1	PG
0535	1	PG
0536	1	PG-13
0537	1	PG-13
0538	1	PG
0539	1	PG
0540	1	PG-13
0541	1	PG-13
0542	1	PG-13
0543	1	G
0544	1	R
0545	1	PG
0546	1	PG
0547	1	PG-13
0548	1	PG
0549	1	PG-13
0550	1	PG-13
0551	1	PG-13
0552	1	PG-13
0553	1	PG-13
0554	1	PG
0555	1	PG-13
0556	1	PG
0557	1	PG-13
0558	1	PG
0559	1	PG-13
0560	1	PG-13
0561	1	PG
0562	1	PG-13
0563	1	PG-13
0564	1	R
0565	1	PG-13
0566	1	PG-13
0567	1	PG-13
0568	1	Not Yet Rated
0569	1	PG-13
0570	1	PG
0571	1	PG-13
0572	1	PG-13
0573	1	PG-13
0574	1	R
0575	1	PG-13
0576	1	PG
0577	1	PG-13
0578	1	PG-13
0579	1	R
0580	1	R
0581	1	PG-13
0582	1	PG
0583	1	R
0584	1	R
0585	1	PG-13
0586	1	R
0587	1	PG-13
0588	1	PG-13
0589	1	R
0590	1	R
0591	1	PG-13
0592	1	R
0593	1	R
0594	1	PG-13
0595	1	PG-13
0596	1	R
0597	1	PG-13
0598	1	R
0599	1	PG-13
0600	1	PG-13
0601	1	R
0602	1	Not Yet Rated
0603	1	PG
0604	1	PG-13
0605	1	PG
0606	1	PG
0607	1	PG
0608	1	R
0609	1	PG-13
0610	1	PG
0611	1	PG
0612	1	PG-13
0613	1	R
0614	1	PG
0615	1	R
0616	1	R
0617	1	Not Yet Rated
0618	1	R
0619	1	R
0620	1	R
0621	1	R
0622	1	R
0623	1	R
0624	1	R
0625	1	R
0626	1	R
0627	1	R
0628	1	R
0629	1	R
0630	1	R
0631	1	R
0632	1	PG-13
0633	1	R
0634	1	PG
0635	1	R
0636	1	PG-13
0637	1	PG-13
0638	1	R
0639	1	R
0640	1	PG-13
0641	1	PG
0642	1	R
0643	1	R
0644	1	R
0645	1	R
0646	1	PG-13
0647	1	R
0648	1	R
0649	1	PG-13
0650	1	R
0651	1	R
0652	1	R
0653	1	R
0654	1	R
0655	1	R
0656	1	R
0657	1	R
0658	1	R
0659	1	PG
0660	1	PG-13
0661	1	PG
0662	1	PG-13
0663	1	PG-13
0664	1	PG
0665	1	PG-13
0666	1	PG-13
0667	1	R
0668	1	PG
0669	1	R
0670	1	PG
0671	1	PG
0672	1	R
0673	1	Not Yet Rated
0674	1	PG
0675	1	PG
0676	1	PG
0677	1	PG
0678	1	PG-13
0679	1	PG-13
0680	1	PG-13
0681	1	PG-13
0682	1	R
0683	1	PG
0684	1	PG
0685	1	PG-13
0686	1	R
0687	1	PG-13
0688	1	PG-13
0689	1	PG
0690	1	PG
0691	1	PG-13
0692	1	PG
0693	1	PG
0694	1	PG-13
0695	1	R
0696	1	R
0697	1	PG-13
0698	1	R
0699	1	R
0700	1	R
0701	1	R
0702	1	R
0703	1	Unrated
0704	1	R
0705	1	PG
0706	1	R
0707	1	PG
0708	1	PG
0709	1	PG-13
0710	1	R
0711	1	PG
0712	1	PG-13
0713	1	R
0714	1	PG-13
0715	1	PG-13
0716	1	PG-13
0717	1	PG
0718	1	PG-13
0719	1	PG-13
0720	1	R
0721	1	PG
0722	1	PG-13
0723	1	PG
0724	1	R
0725	1	PG
0726	1	PG-13
0727	1	PG
0728	1	PG-13
0729	1	PG-13
0730	1	PG-13
0731	1	PG-13
0732	1	PG
0733	1	PG
0734	1	R
0735	1	R
0736	1	PG-13
0737	1	PG-13
0738	1	PG-13
0739	1	PG
0740	1	PG-13
0741	1	R
0742	1	PG-13
0743	1	PG-13
0744	1	PG-13
0745	1	R
0746	1	PG-13
0747	1	PG-13
0748	1	R
0749	1	PG
0750	1	PG-13
0751	1	PG-13
0752	1	PG-13
0753	1	PG-13
0754	1	PG-13
0755	1	PG-13
0756	1	PG-13
0757	1	PG-13
0758	1	PG-13
0759	1	PG-13
0760	1	PG-13
0761	1	PG
0762	1	PG-13
0763	1	PG
0764	1	PG-13
0765	1	PG
0766	1	R
0767	1	R
0768	1	PG-13
0769	1	PG
0770	1	PG-13
0771	1	PG
0772	1	PG-13
0773	1	PG-13
0774	1	R
0775	1	R
0776	1	PG-13
0777	1	R
0778	1	PG-13
0779	1	R
0780	1	PG
0781	1	R
0782	1	R
0783	1	R
0784	1	R
0785	1	R
0786	1	PG-13
0787	1	R
0788	1	R
0789	1	PG-13
0790	1	R
0791	1	R
0792	1	Not Yet Rated
0793	1	Not Yet Rated
0794	1	R
0795	1	R
0796	1	R
0797	1	PG
0798	1	G
0799	1	PG-13
0800	1	G
0801	1	PG
0802	1	PG-13
0803	1	PG-13
0804	1	PG-13
0805	1	PG-13
0806	1	PG-13
0807	1	PG
0808	1	PG
0809	1	PG
0810	1	PG-13
0811	1	PG-13
0812	1	PG-13
0813	1	PG-13
0814	1	PG-13
0815	1	PG-13
0816	1	PG-13
0817	1	PG-13
0818	1	PG-13
0819	1	PG-13
0820	1	PG-13
0821	1	PG-13
0822	1	PG-13
0823	1	PG
0824	1	PG-13
0825	1	PG
0826	1	PG-13
0827	1	R
0828	1	PG-13
0829	1	PG-13
0830	1	PG-13
0831	1	R
0832	1	PG-13
0833	1	PG-13
0834	1	R
0835	1	PG
0836	1	PG
0837	1	R
0838	1	R
0839	1	PG-13
0840	1	PG-13
0841	1	PG-13
0842	1	PG-13
0843	1	PG
0844	1	PG
0845	1	PG-13
0846	1	NC-17
0847	1	R
0848	1	Not Yet Rated
0849	1	Not Yet Rated
0850	1	Not Yet Rated
0851	1	PG-13
0852	1	PG-13
0853	1	PG
0854	1	PG-13
0855	1	PG
0856	1	R
0857	1	PG-13
0858	1	R
0859	1	R
0860	1	R
0861	1	R
0862	1	R
0863	1	R
0864	1	R
0865	1	R
0866	1	PG-13
0867	1	PG-13
0868	1	R
0869	1	PG-13
0870	1	PG
0871	1	PG
0872	1	PG-13
0873	1	PG
0874	1	PG-13
0875	1	Not Yet Rated
0876	1	R
0877	1	R
0878	1	R
0879	1	R
0880	1	PG-13
0881	1	PG-13
0882	1	PG-13
0883	1	PG-13
0884	1	PG-13
0885	1	PG
0886	1	R
0887	1	PG-13
0888	1	PG-13
0889	1	PG
0890	1	R
0891	1	PG-13
0892	1	R
0893	1	R
0894	1	R
0895	1	PG-13
0896	1	R
0897	1	R
0898	1	PG-13
0899	1	PG
0900	1	PG
0901	1	PG
0902	1	PG-13
0903	1	PG-13
0904	1	R
0905	1	R
0906	1	R
0907	1	PG-13
0908	1	R
0909	1	R
0910	1	R
0911	1	R
0912	1	R
0913	1	R
0914	1	R
0915	1	R
0916	1	R
0917	1	R
0918	1	R
0919	1	R
0920	1	R
0921	1	R
0922	1	R
0923	1	PG-13
0924	1	R
0925	1	PG-13
0926	1	R
0927	1	R
0928	1	R
0929	1	R
0930	1	R
0931	1	PG-13
0932	1	PG
0933	1	PG-13
0934	1	R
0935	1	PG-13
0936	1	R
0937	1	PG-13
0938	1	R
0939	1	R
0940	1	R
0941	1	R
0942	1	R
0943	1	R
0944	1	R
0945	1	R
0946	1	R
0947	1	R
0948	1	R
0949	1	R
0950	1	R
0951	1	R
0952	1	R
0953	1	R
0954	1	Unrated
0955	1	R
0956	1	R
0957	1	R
0958	1	R
0959	1	R
0960	1	R
0961	1	Unrated
0962	1	R
0963	1	PG-13
0964	1	PG-13
0965	1	R
0966	1	R
0967	1	PG-13
0968	1	R
0969	1	R
0970	1	R
0971	1	PG-13
0972	1	R
0973	1	R
0974	1	R
0975	1	R
0976	1	R
0977	1	R
0978	1	R
0979	1	R
0980	1	R
0981	1	R
0982	1	PG-13
0983	1	PG-13
0984	1	R
0985	1	R
0986	1	R
0987	1	R
0988	1	R
0989	1	R
0990	1	R
0991	1	R
0992	1	R
0993	1	R
0994	1	R
0995	1	R
0996	1	R
0997	1	R
0998	1	R
0999	1	R
1000	1	R
1001	1	R
1002	1	R
1003	1	R
1004	1	R
1005	1	PG
1006	1	PG
1007	1	PG-13
1008	1	PG-13
1009	1	R
1010	1	PG
1011	1	R
1012	1	PG-13
1013	1	PG-13
1014	1	PG
1015	1	PG
1016	1	R
1017	1	G
1018	1	G
1019	1	R
1020	1	R
1021	1	PG-13
1022	1	R
1023	1	PG
1024	1	R
1025	1	PG-13
1026	1	PG
1027	1	R
1028	1	PG-13
1029	1	R
1030	1	R
1031	1	PG-13
1032	1	PG-13
1033	1	PG
1034	1	R
1035	1	PG-13
1036	1	PG
1037	1	Not Yet Rated
1038	1	R
1039	1	PG-13
1040	1	PG-13
1041	1	R
1042	1	PG
1043	1	PG-13
1044	1	PG-13
1045	1	NC-17
1046	1	R
1047	1	PG-13
1048	1	Unrated
1049	1	PG
1050	1	R
1051	1	R
1052	1	R
1053	1	R
1054	1	R
1055	1	R
1056	1	PG-13
1057	1	PG-13
1058	1	R
1059	1	R
1060	1	R
1061	1	PG-13
1062	1	PG-13
1063	1	PG-13
1064	1	R
1065	1	R
1066	1	R
1067	1	PG-13
1068	1	PG
1069	1	G
1070	1	R
1071	1	R
1072	1	PG-13
1073	1	PG-13
1074	1	R
1075	1	R
1076	1	PG-13
1077	1	R
1078	1	PG-13
1079	1	PG-13
1080	1	PG
1081	1	PG-13
1082	1	PG
1083	1	PG-13
1084	1	PG-13
1085	1	PG-13
1086	1	R
1087	1	R
1088	1	R
1089	1	R
1090	1	R
1091	1	R
1092	1	R
1093	1	R
1094	1	PG-13
1095	1	PG-13
1096	1	R
1097	1	R
1098	1	PG-13
1099	1	PG-13
1100	1	PG-13
1101	1	PG
1102	1	PG-13
1103	1	PG-13
1104	1	PG-13
1105	1	PG-13
1106	1	PG-13
1107	1	R
1108	1	R
1109	1	PG-13
1110	1	PG-13
1111	1	PG-13
1112	1	PG-13
1113	1	R
1114	1	PG
1115	1	R
1116	1	PG
1117	1	PG
1118	1	PG
1119	1	PG
1120	1	PG
1121	1	PG
1122	1	PG
1123	1	PG
1124	1	G
1125	1	PG-13
1126	1	PG
1127	1	PG
1128	1	Not Yet Rated
1129	1	PG
1130	1	R
1131	1	PG-13
1132	1	PG
1133	1	PG-13
1134	1	R
1135	1	R
1136	1	R
1137	1	PG
1138	1	R
1139	1	R
1140	1	R
1141	1	PG-13
1142	1	PG-13
1143	1	R
1144	1	R
1145	1	R
1146	1	R
1147	1	PG-13
1148	1	R
1149	1	R
1150	1	R
1151	1	PG-13
1152	1	R
1153	1	PG-13
1154	1	R
1155	1	R
1156	1	R
1157	1	R
1158	1	R
1159	1	PG-13
1160	1	PG-13
1161	1	PG
1162	1	R
1163	1	PG-13
1164	1	R
1165	1	PG-13
1166	1	Not Yet Rated
1167	1	R
1168	1	R
1169	1	R
1170	1	R
1171	1	PG-13
1172	1	R
1173	1	R
1174	1	R
1175	1	R
1176	1	R
1177	1	PG-13
1178	1	R
1179	1	R
1180	1	R
1181	1	R
1182	1	R
1183	1	R
1184	1	R
1185	1	R
1186	1	R
1187	1	R
1188	1	R
1189	1	PG
1190	1	PG
1191	1	R
1192	1	PG-13
1193	1	PG
1194	1	R
1195	1	PG-13
1196	1	PG-13
1197	1	R
1198	1	R
1199	1	R
1200	1	R
1201	1	R
1202	1	R
1203	1	R
1204	1	R
1205	1	R
1206	1	PG-13
1207	1	R
1208	1	R
1209	1	PG-13
1210	1	Not Yet Rated
1211	1	PG-13
1212	1	R
1213	1	R
1214	1	R
1215	1	R
1216	1	PG-13
1217	1	R
1218	1	PG-13
1219	1	PG-13
1220	1	PG-13
1221	1	R
1222	1	PG-13
1223	1	R
1224	1	PG-13
1225	1	PG
1226	1	R
1227	1	R
1228	1	R
1229	1	R
1230	1	R
1231	1	PG-13
1232	1	Not Yet Rated
1233	1	PG
1234	1	PG-13
1235	1	R
1236	1	PG-13
1237	1	R
1238	1	PG-13
1239	1	R
1240	1	R
1241	1	PG-13
1242	1	R
1243	1	R
1244	1	PG-13
1245	1	PG-13
1246	1	PG-13
1247	1	R
1248	1	R
1249	1	R
1250	1	R
1251	1	R
1252	1	R
1253	1	R
1254	1	PG-13
1255	1	R
1256	1	PG
1257	1	R
1258	1	R
1259	1	PG
1260	1	PG
1261	1	PG
1262	1	PG
1263	1	PG
1264	1	R
1265	1	R
1266	1	PG-13
1267	1	R
1268	1	R
1269	1	PG-13
1270	1	R
1271	1	R
1272	1	R
1273	1	R
1274	1	R
1275	1	R
1276	1	Unrated
1277	1	R
1278	1	R
1279	1	R
1280	1	PG
1281	1	PG
1282	1	PG-13
1283	1	R
1284	1	PG-13
1285	1	PG-13
1286	1	R
1287	1	PG-13
1288	1	PG-13
1289	1	PG
1290	1	R
1291	1	PG
1292	1	PG
1293	1	R
1294	1	PG-13
1295	1	R
1296	1	PG
1297	1	PG-13
1298	1	R
1299	1	PG
1300	1	PG-13
1301	1	PG
1302	1	R
1303	1	PG
1304	1	PG-13
1305	1	PG
1306	1	R
1307	1	PG-13
1308	1	R
1309	1	PG-13
1310	1	PG
1311	1	R
1312	1	PG-13
1313	1	PG-13
1314	1	PG-13
1315	1	PG-13
1316	1	R
1317	1	PG-13
1318	1	R
1319	1	PG-13
1320	1	R
1321	1	R
1322	1	R
1323	1	R
1324	1	R
1325	1	R
1326	1	R
1327	1	R
1328	1	PG-13
1329	1	PG-13
1330	1	PG-13
1331	1	R
1332	1	R
1333	1	PG-13
1334	1	R
1335	1	R
1336	1	PG
1337	1	PG
1338	1	PG-13
1339	1	PG-13
1340	1	PG-13
1341	1	PG-13
1342	1	PG-13
1343	1	Not Yet Rated
1344	1	PG
1345	1	PG
1346	1	G
1347	1	PG-13
1348	1	G
1349	1	PG
1350	1	PG
1351	1	PG-13
1352	1	PG
1353	1	G
1354	1	PG
1355	1	PG
1356	1	PG-13
1357	1	Unrated
1358	1	Unrated
1359	1	Unrated
1360	1	Unrated
1361	1	Unrated
1362	1	Unrated
1363	1	Unrated
1364	1	Unrated
1365	1	PG
1366	1	R
1367	1	PG-13
1368	1	Unrated
1369	1	Unrated
1370	1	PG
1371	1	Unrated
1372	1	Unrated
1373	1	R
1374	1	Unrated
1375	1	Unrated
1376	1	Unrated
1377	1	Unrated
1378	1	Unrated
1379	1	PG-13
1380	1	R
1381	1	PG-13
1382	1	PG
1383	1	R
1384	1	R
1385	1	Unrated
1386	1	G
1387	1	R
1388	1	R
1389	1	Unrated
1390	1	R
1391	1	R
1392	1	R
1393	1	R
1394	1	G
1395	1	Unrated
1396	1	R
1397	1	Unrated
1398	1	Unrated
1399	1	Unrated
1400	1	Unrated
1401	1	R
1402	1	PG
1403	1	PG
1404	1	R
1405	1	R
1406	1	PG-13
1407	1	PG-13
1408	1	PG-13
1409	1	PG
1410	1	R
1411	1	Unrated
1412	1	PG
1413	1	NC-17
1414	1	R
1415	1	R
1416	1	R
1417	1	R
1418	1	Unrated
1419	1	Unrated
1420	1	Unrated
1421	1	Unrated
1422	1	Unrated
1423	1	R
1424	1	Unrated
1425	1	Unrated
1426	1	Unrated
1427	1	Unrated
1428	1	Unrated
1429	1	Unrated
1430	1	Unrated
1431	1	PG-13
1432	1	R
1433	1	Unrated
1434	1	PG-13
1435	1	R
1436	1	R
1437	1	R
1438	1	Unrated
1439	1	R
1440	1	Unrated
1441	1	G
1442	1	PG
1443	1	G
1444	1	G
1445	1	PG-13
1446	1	G
1447	1	G
1448	1	R
1449	1	Not Yet Rated
1450	1	Not Yet Rated
1451	1	PG-13
1452	1	R
1453	1	R
1454	1	R
1455	1	R
1456	1	PG-13
1457	1	PG
1458	1	PG-13
1459	1	PG-13
1460	1	PG-13
1461	1	PG
1462	1	PG
1463	1	PG
1464	1	PG
1465	1	PG
1466	1	PG-13
1467	1	PG-13
1468	1	PG-13
1469	1	G
1470	1	PG-13
1471	1	R
1472	1	PG
1473	1	PG-13
1474	1	R
1475	1	R
1476	1	PG-13
1477	1	PG-13
1478	1	R
1479	1	R
1480	1	R
1481	1	PG-13
1482	1	R
1483	1	R
1484	1	PG-13
1485	1	R
1486	1	R
1487	1	PG-13
1488	1	R
1489	1	PG-13
1490	1	R
1491	1	R
1492	1	R
1493	1	PG-13
1494	1	PG-13
1495	1	PG-13
1496	1	PG-13
1497	1	PG-13
1498	1	PG-13
1499	1	PG-13
1500	1	R
1501	1	PG-13
1502	1	PG
1503	1	PG
1504	1	PG
1505	1	PG-13
1506	1	PG
1507	1	PG
1508	1	PG
1509	1	PG
1510	1	PG
1511	1	PG
1512	1	PG
1513	1	PG
1514	1	PG
1515	1	R
1516	1	PG
1517	1	PG
1518	1	PG
1519	1	R
1520	1	PG-13
1521	1	PG-13
1522	1	R
1523	1	PG-13
1524	1	R
1525	1	PG-13
1526	1	R
1527	1	PG-13
1528	1	PG-13
1529	1	R
1530	1	R
1531	1	R
1532	1	R
1533	1	R
1534	1	R
1535	1	R
1536	1	R
1537	1	R
1538	1	R
1539	1	PG-13
1540	1	R
1541	1	R
1542	1	R
1543	1	PG-13
1544	1	PG
1545	1	PG-13
1546	1	R
1547	1	R
1548	1	PG
1549	1	PG-13
1550	1	PG-13
1551	1	PG-13
1552	1	PG-13
1553	1	PG-13
1554	1	R
1555	1	R
1556	1	PG-13
1557	1	PG
1558	1	PG-13
1559	1	PG-13
1560	1	R
1561	1	PG-13
1562	1	PG-13
1563	1	PG-13
1564	1	PG-13
1565	1	PG
1566	1	PG
1567	1	PG-13
1568	1	PG-13
1569	1	PG-13
1570	1	PG
1571	1	R
1572	1	PG
1573	1	PG-13
1574	1	PG
1575	1	PG-13
1576	1	PG-13
1577	1	R
1578	1	R
1579	1	PG-13
1580	1	R
1581	1	PG-13
1582	1	R
1583	1	PG
1584	1	Not Yet Rated
1585	1	R
1586	1	R
1587	1	PG-13
1588	1	R
1589	1	R
1590	1	R
1591	1	R
1592	1	R
1593	1	R
1594	1	PG
1595	1	R
1596	1	R
1597	1	PG-13
1598	1	PG-13
1599	1	PG-13
1600	1	PG-13
1601	1	R
1602	1	R
1603	1	PG-13
1604	1	R
1605	1	R
1606	1	PG-13
1607	1	PG-13
1608	1	R
1609	1	R
1610	1	Unrated
1611	1	R
1612	1	PG-13
1613	1	R
1614	1	R
1615	1	R
1616	1	R
1617	1	R
1618	1	R
1619	1	Unrated
1620	1	PG-13
1621	1	R
1622	1	PG-13
1623	1	PG
1624	1	R
1625	1	R
1626	1	R
1627	1	R
1628	1	R
1629	1	R
1630	1	PG-13
1631	1	R
1632	1	PG-13
1633	1	R
1634	1	R
1635	1	R
1636	1	PG-13
1637	1	R
1638	1	R
1639	1	PG-13
1640	1	R
1641	1	R
1642	1	R
1643	1	R
1644	1	R
1645	1	R
1646	1	R
1647	1	R
1648	1	R
1649	1	R
1650	1	R
