movie	metacritic	genre
0220	1	Action, Adventure, Sci-Fi, Thriller
0221	1	Drama, Fantasy, Comedy, Romance, Family
0222	1	Drama, Romance, Animation
0223	1	Comedy, Romance
0224	1	Documentary
0225	1	Comedy, Romance
0226	1	Drama, Fantasy, Comedy, Romance
0227	1	Drama, Comedy, Romance
0228	1	Drama, Comedy
0229	1	Drama, Comedy, Romance
0230	1	Drama, Thriller, Crime
0231	1	Action, Thriller, Crime
0232	1	Drama
0233	1	Drama
0234	1	Drama, Thriller, Crime
0235	1	Drama, Comedy
0236	1	Documentary
0237	1	Action, Biography, Drama, Thriller, Crime
0238	1	Action, Sci-Fi, Thriller, Crime
0239	1	Drama, Thriller, Horror, Comedy
0240	1	Action, Adventure, Documentary
0241	1	Drama, Comedy
0242	1	Comedy
0243	1	Action, Comedy, Romance
0244	1	Drama, Thriller, War
0245	1	Drama
0246	1	Drama, Crime
0247	1	Action, Comedy
0248	1	Action, Drama
0249	1	Drama, Romance
0250	1	Action, Thriller, Crime
0251	1	Documentary
0252	1	Biography, Music, Documentary
0253	1	Drama
0254	1	Drama, Romance
0255	1	Comedy, Romance
0256	1	Drama
0257	1	Drama, Romance
0258	1	Thriller, Comedy, Romance, Crime
0259	1	Drama, Comedy
0260	1	Biography, Drama
0261	1	Action, Biography, Drama, Thriller
0262	1	Sport, Documentary
0263	1	Biography, Drama, History, War, Music
0264	1	Drama
0265	1	Adventure, Fantasy, Comedy, Animation, Family
0266	1	Drama, Comedy, War
0267	1	Action, Adventure, Comedy, Western
0268	1	Drama, Comedy, War
0269	1	Documentary
0270	1	Documentary
0271	1	Adventure, Sci-Fi, Thriller, Horror
0272	1	Drama, Comedy, Romance
0273	1	Fantasy, Comedy
0274	1	Documentary
0275	1	Drama
0276	1	Drama, Romance
0277	1	Action, Adventure, Drama, Thriller
0278	1	Drama, Thriller, Romance, Crime
0279	1	Mystery, Fantasy, Comedy, Animation, Family
0280	1	Action, Adventure, Sci-Fi, Romance
0281	1	Drama, Thriller, Crime
0282	1	War, Documentary
0283	1	Drama, Comedy, Romance
0284	1	Drama
0285	1	Documentary
0286	1	Comedy
0287	1	Drama, Comedy, War
0288	1	Action, Adventure, Mystery, Thriller
0289	1	Drama, Comedy
0290	1	History, War, Documentary
0291	1	Drama, Comedy, Romance
0292	1	Drama, Romance
0293	1	Documentary
0294	1	Drama
0295	1	Drama, Music
0296	1	Drama, History, War
0297	1	Action, Sci-Fi, Fantasy
0298	1	Drama, Mystery, Thriller, Crime
0299	1	Thriller, Comedy, Crime
0300	1	Drama, Comedy
0301	1	Comedy, Romance
0302	1	Action, Thriller, Crime
0303	1	Drama
0304	1	Drama
0305	1	Drama, Romance
0306	1	Documentary
0307	1	Drama, Sport, Comedy
0308	1	Drama, Comedy
0309	1	Drama, Romance
0310	1	Sci-Fi, Drama, Mystery, Thriller
0311	1	Drama, Comedy, Romance
0312	1	Biography, Drama, Mystery, Fantasy, Crime
0313	1	Drama, History, Thriller
0314	1	Drama, Thriller, Crime
0315	1	Drama, Comedy, Romance
0316	1	Drama
0317	1	Drama, Thriller, Romance, Crime
0318	1	History, War, Documentary
0319	1	Action, Sci-Fi, Drama, Thriller, Crime
0320	1	Drama
0321	1	Drama, Thriller, Crime
0322	1	Documentary
0323	1	Drama
0324	1	Action, Drama, Thriller
0325	1	Drama, Comedy
0326	1	Drama, Romance
0327	1	Biography, Drama, Comedy
0328	1	Crime, Documentary
0329	1	Documentary
0330	1	Drama, Mystery
0331	1	Adventure, Sci-Fi, Mystery
0332	1	Mystery, Thriller, Crime
0333	1	Drama, Family
0334	1	Biography, Drama
0335	1	Drama
0336	1	History, Documentary
0337	1	Drama, War
0338	1	History, Music, Documentary
0339	1	Comedy, Music
0340	1	Documentary
0341	1	Drama, Comedy, Music
0342	1	Drama, War
0343	1	Drama, Comedy
0344	1	War, Documentary
0345	1	Drama, Mystery, Thriller
0346	1	Drama
0347	1	Biography, Drama, Comedy, Music
0348	1	Documentary
0349	1	Adventure, Sci-Fi, Drama, Mystery, Thriller
0350	1	Drama, Thriller, Romance, Crime
0351	1	Drama, Mystery, Thriller, Crime
0352	1	Biography, Drama, War
0353	1	Biography, Documentary
0354	1	Drama, Comedy, Romance
0355	1	Biography, Drama
0356	1	Drama, Comedy, Romance
0357	1	Drama, Romance
0358	1	Documentary
0359	1	Drama
0360	1	Drama, Comedy
0361	1	Documentary
0362	1	Drama
0363	1	Comedy
0364	1	Drama, Comedy, Romance, Music
0365	1	Adventure, Drama, Thriller
0366	1	Biography, Drama, Music
0367	1	Action, Adventure, Sci-Fi, Fantasy, Comedy, Family
0368	1	Adventure, Comedy, Animation, Family
0369	1	Documentary
0370	1	Drama, Sport, Comedy
0371	1	Drama, Comedy
0372	1	Drama, Romance
0373	1	Drama, War
0374	1	Drama, Comedy
0375	1	Sport, Documentary
0376	1	Music, Documentary
0377	1	Drama, Horror, Romance
0378	1	Drama, Sport, Fantasy, Comedy
0379	1	Music, Documentary
0380	1	Drama, Comedy, Family
0381	1	Drama
0382	1	Action, Biography, Drama, History, War
0383	1	Drama, Comedy
0384	1	Music, Documentary
0385	1	Drama, War
0386	1	Drama, Thriller, Crime
0387	1	Drama, Comedy
0388	1	Drama
0389	1	Drama, Comedy
0390	1	Action, Adventure, Drama, Thriller, Comedy, Romance, Crime
0391	1	Drama, Thriller, Crime
0392	1	Drama, Mystery, Thriller
0393	1	Drama, Comedy
0394	1	Drama, Romance
0395	1	Drama
0396	1	Sci-Fi, Mystery, Thriller, Crime
0397	1	Documentary
0398	1	Comedy
0399	1	Biography, Drama, Music
0400	1	Biography, Drama
0401	1	Drama, Comedy
0402	1	Adventure, Comedy, Animation, Family
0403	1	Action, Adventure, Thriller
0404	1	Drama, Comedy, Romance, Music, Family
0405	1	Biography, History, Documentary
0406	1	Drama, Thriller, Fantasy, Comedy, Romance
0407	1	Documentary
0408	1	Adventure, Sci-Fi, Comedy, Animation, Family
0409	1	Drama, Comedy, Music
0410	1	Drama, Mystery, Thriller
0411	1	Drama
0412	1	Drama, Comedy, Romance
0413	1	Biography, Drama, Comedy, Romance
0414	1	Thriller, Comedy, Crime
0415	1	Biography, Drama, Crime
0416	1	Drama, Romance
0417	1	Documentary
0418	1	Comedy
0419	1	Drama, Thriller, Crime
0420	1	Drama
0421	1	Drama, Romance, Western
0422	1	Drama, Crime
0423	1	Drama, Comedy, Romance
0424	1	Drama, Mystery, Thriller, Crime
0425	1	Crime, Documentary
0426	1	Action, Drama, Thriller, Crime
0427	1	Drama, Comedy
0428	1	Drama, Music
0429	1	Biography, Drama, History
0430	1	Biography, Music, Documentary
0431	1	Drama, History, War
0432	1	Action, Mystery, Thriller
0433	1	Biography, Drama, History, Romance
0434	1	Drama, History, Comedy
0435	1	Drama, Comedy
0436	1	Drama, Romance
0437	1	Action, Adventure, Crime, Animation
0438	1	Drama
0439	1	Drama, Thriller, Comedy, Crime
0440	1	Drama
0441	1	Drama, Fantasy, Comedy, Romance
0442	1	Thriller
0443	1	Action, Adventure, Drama, Fantasy, Comedy, Animation, Family
0444	1	Drama, Romance
0445	1	Drama, Comedy, Romance
0446	1	Drama, Comedy, Romance
0447	1	Drama, Mystery, Thriller, Crime
0448	1	Drama, Comedy
0449	1	Biography, Documentary
0450	1	Drama, Comedy, Crime
0451	1	Drama, Comedy
0452	1	Drama, Romance
0453	1	Drama, Family
0454	1	Drama, Romance
0455	1	Drama, Thriller, Romance
0456	1	Biography, Drama, Mystery
0457	1	Drama, Romance, War
0458	1	Drama
0459	1	Drama, Romance
0460	1	Comedy, Romance
0461	1	Fantasy, Comedy, Family
0462	1	Comedy
0463	1	Sci-Fi, Drama
0464	1	Adventure, Sci-Fi, Thriller
0465	1	Drama
0466	1	Mystery, Comedy, Crime, Musical
0467	1	Drama, Crime
0468	1	Action, Thriller, Crime
0469	1	Action, Drama, Crime
0470	1	Drama, Romance
0471	1	Mystery, Fantasy, Animation, Family
0472	1	Documentary
0473	1	Adventure, Thriller, Fantasy, Comedy
0474	1	Drama, Thriller
0475	1	Adventure, Comedy, Crime, Animation
0476	1	Documentary
0477	1	Documentary
0478	1	Biography, Drama
0479	1	Drama
0480	1	Drama, Mystery, Thriller, Romance, War
0481	1	Drama, Mystery, Thriller
0482	1	Biography, Drama, History, War
0483	1	Drama, Romance
0484	1	Action, Adventure, Drama, History
0485	1	Mystery, Thriller, Horror
0486	1	Action, Adventure, Comedy
0487	1	Drama, Crime
0488	1	Drama, Romance
0489	1	Sport, Comedy, Animation, Family
0490	1	Drama, Romance
0491	1	Comedy, Family
0492	1	Drama, Thriller, Crime
0493	1	Drama
0494	1	Biography, Documentary
0495	1	Comedy, Animation, Family
0496	1	Drama, Comedy
0497	1	Documentary
0498	1	Comedy
0499	1	Action, Thriller, Comedy, Crime
0500	1	Biography, Drama, Crime
0501	1	Action, Adventure, Sci-Fi, Thriller
0502	1	Sci-Fi, Drama, Thriller, Horror, Romance
0503	1	Drama
0504	1	Adventure, Sci-Fi, Comedy, Romance, Animation, Family
0505	1	Drama, Romance
0506	1	Drama, Thriller
0507	1	Drama, Animation
0508	1	Drama, Comedy
0509	1	Drama, Thriller, Crime
0510	1	Documentary
0511	1	Drama, Romance
0512	1	Drama
0513	1	Adventure, Drama, History, War, Western
0514	1	Action, Drama, Thriller, Crime
0515	1	Drama
0516	1	Drama, Comedy, Romance, Music
0517	1	Action, Drama, War
0518	1	Comedy, Music
0519	1	History, Music, Documentary
0520	1	Comedy, Crime, Family
0521	1	Biography, Drama, Thriller, Horror, Crime
0522	1	Drama, Comedy
0523	1	Drama
0524	1	Drama, Comedy, Romance
0525	1	Drama, Comedy
0526	1	Sci-Fi, Comedy
0527	1	Adventure, Drama, Family
0528	1	Documentary, Short
0529	1	Horror
0530	1	Documentary
0531	1	Biography, Drama, History, Thriller, Crime
0532	1	Sci-Fi, Drama, Comedy, Romance
0533	1	Action, Sci-Fi, Thriller
0534	1	Documentary
0535	1	Drama
0536	1	Drama, Comedy, Romance
0537	1	Drama, Romance
0538	1	Action, Adventure, Romance, Western
0539	1	Adventure, Fantasy, Horror, Comedy, Family
0540	1	Drama, Comedy, Romance
0541	1	Drama, Thriller, Crime
0542	1	Mystery, Thriller, Horror
0543	1	Drama, Comedy, Romance
0544	1	Action, Biography, Drama, Crime
0545	1	Action, Thriller, Romance, Crime
0546	1	Sci-Fi, Drama, Mystery, Thriller
0547	1	Action, Sci-Fi, Thriller
0548	1	Adventure, Fantasy, Family
0549	1	Biography, Drama, History, Mystery, Thriller, Crime
0550	1	Biography, Drama, Mystery
0551	1	Mystery, Thriller
0552	1	Comedy
0553	1	Drama, Romance
0554	1	Thriller, Crime
0555	1	Documentary
0556	1	Drama, Mystery, Crime
0557	1	Biography, Drama, History, Romance
0558	1	Drama, Comedy
0559	1	Drama
0560	1	Adventure, Comedy, Animation, Family
0561	1	Biography, Drama, Romance
0562	1	Drama, Romance
0563	1	Drama
0564	1	Drama, Thriller, War, Western
0565	1	Drama, Thriller
0566	1	Documentary
0567	1	Action, Drama, Mystery, Thriller, Crime
0568	1	Action, Drama
0569	1	Drama, Romance, Western
0570	1	Action, Thriller, Romance
0571	1	Action, Drama, War
0572	1	Drama, History, Romance
0573	1	Adventure, Sci-Fi, Comedy, Family
0574	1	Thriller, Crime
0575	1	Comedy, Crime
0576	1	Adventure, Horror, Comedy
0577	1	Comedy
0578	1	Drama, Comedy
0579	1	Action, Adventure, Drama, History, Thriller, War
0580	1	Documentary
0581	1	Drama
0582	1	Comedy
0583	1	Drama, Comedy
0584	1	Drama, Thriller, Horror
0585	1	Comedy, Romance
0586	1	Drama
0587	1	Drama, War
0588	1	Sci-Fi, Comedy
0589	1	Drama, Thriller
0590	1	Drama, Romance
0591	1	Drama, Comedy, Romance
0592	1	Drama, Thriller
0593	1	Drama, Musical
0594	1	Documentary
0595	1	Drama, Thriller, Crime
0596	1	Drama
0597	1	Documentary
0598	1	Fantasy, Comedy, Romance
0599	1	Drama, Thriller, Crime
0600	1	Drama
0601	1	Drama
0602	1	Sci-Fi, Comedy, Romance
0603	1	Drama, Thriller, Comedy, Crime
0604	1	Drama, Mystery, Fantasy, Crime
0605	1	Drama
0606	1	Action, Adventure, Mystery, Thriller
0607	1	Biography, Drama, Music, Documentary
0608	1	Drama
0609	1	Drama
0610	1	Biography, Drama, Music
0611	1	Biography, Drama
0612	1	Documentary
0613	1	Biography, Drama, Music
0614	1	Drama, Mystery, Romance, Music
0615	1	Action, Adventure, Comedy, Animation, Family
0616	1	Drama, Comedy
0617	1	Adventure, Fantasy, Horror, Comedy
0618	1	Drama, Music
0619	1	Comedy, Crime
0620	1	Comedy
0621	1	Drama, Thriller, Comedy, Crime
0622	1	Action, Thriller, Comedy, Crime
0623	1	Drama, Comedy
0624	1	Action, Comedy
0625	1	Documentary
0626	1	Drama, Thriller, Crime
0627	1	Drama
0628	1	Drama, Thriller, Crime
0629	1	Drama, Romance
0630	1	Mystery, Thriller, Horror, Crime
0631	1	Drama, Sport, Family
0632	1	Drama
0633	1	Comedy, Crime
0634	1	Biography, Drama
0635	1	Music, Documentary
0636	1	Drama, Comedy, Romance
0637	1	Action, Thriller, Crime
0638	1	Comedy, Romance
0639	1	Documentary
0640	1	Drama, Mystery, Thriller, Horror
0641	1	Documentary
0642	1	Action, Adventure, Thriller
0643	1	Documentary
0644	1	Drama, Comedy, Romance
0645	1	Drama, Romance
0646	1	Drama, History, Romance, War
0647	1	Drama, Romance
0648	1	Adventure, Comedy, Family
0649	1	Mystery, Thriller, Horror, Crime
0650	1	War, Documentary
0651	1	Action, Adventure, Thriller, Comedy, Crime
0652	1	Drama, Romance
0653	1	Biography, Drama
0654	1	Drama, Romance
0655	1	Drama, Thriller, Crime
0656	1	Drama, Comedy
0657	1	Documentary
0658	1	War, Documentary
0659	1	Drama, Documentary
0660	1	Comedy
0661	1	Drama, Romance
0662	1	Drama, Fantasy, Family
0663	1	Comedy
0664	1	Adventure, Comedy, Animation, Family
0665	0	<NULL>
0666	1	Mystery, Fantasy, Comedy, Crime, Animation, Family
0667	1	Drama, Crime
0668	1	Drama, Sport, Mystery, Thriller, Crime
0669	1	Thriller, Horror
0670	1	Sport, Documentary
0671	1	Drama, Comedy, Romance
0672	1	Sci-Fi, Thriller, Horror
0673	1	Music, Documentary
0674	1	Action, Thriller, Crime
0675	1	Drama, Crime
0676	1	Action, Drama, History, Romance, War
0677	1	Drama, Comedy, Romance
0678	1	Drama, Comedy, Romance
0679	1	Documentary
0680	1	Drama, Crime, Western
0681	1	Drama, Comedy
0682	1	Drama, Thriller, Romance
0683	1	Drama, Comedy
0684	1	Drama, Thriller, Horror
0685	1	Comedy
0686	1	Drama
0687	1	Action, Drama, Thriller, Crime
0688	1	Drama, Romance
0689	1	Comedy, Documentary
0690	1	Sci-Fi, Thriller, Horror
0691	1	Sci-Fi, Comedy, Romance
0692	1	Action, Drama, War
0693	1	Sci-Fi, Mystery, Thriller, Horror, Crime
0694	1	Biography, Drama, Thriller, War
0695	1	Action, Drama, Thriller, Crime
0696	1	Drama
0697	1	Drama, Comedy, Romance
0698	1	Drama, Comedy
0699	1	Comedy, Crime
0700	1	Action, Adventure, Thriller
0701	1	Drama, Mystery, Thriller
0702	1	Drama
0703	1	Drama, Mystery, Comedy, Romance
0704	1	Drama
0705	1	Music, Documentary
0706	1	Comedy, Romance, Music
0707	1	Action, Adventure, Fantasy, Animation
0708	1	Drama, Thriller, Fantasy, Animation
0709	1	Drama
0710	1	Drama, Romance
0711	1	Drama, Comedy
0712	1	Drama, Comedy
0713	1	Action, Sci-Fi
0714	1	Drama
0715	1	Action, Adventure, Comedy, Crime
0716	1	Action, Adventure, Sci-Fi, Thriller
0717	1	Drama, Comedy, Romance
0718	1	Sci-Fi, Drama, Mystery, Thriller, Horror
0719	1	History, Comedy
0720	1	Action, Adventure, Thriller
0721	1	Drama, Romance, War
0722	1	Documentary
0723	1	Comedy, Romance, Music
0724	1	Comedy
0725	1	Adventure, Drama, Animation, Family, Musical
0726	1	Action, Sci-Fi, Mystery, Thriller
0727	1	Drama
0728	1	Drama, Horror
0729	1	Drama, Sport, Family
0730	1	Documentary
0731	1	Fantasy, Comedy, Family
0732	1	Drama, Mystery, Thriller
0733	1	Drama, Sport, Comedy, Romance
0734	1	Action, Fantasy
0735	1	Drama, Documentary
0736	1	Drama, Romance
0737	1	Documentary, Short
0738	1	Sport, Documentary
0739	1	Drama, Mystery, Thriller, Horror, Crime
0740	1	Sci-Fi, Drama, Thriller
0741	1	Biography, Drama, War
0742	1	Biography, Drama, Sport
0743	1	Drama, Thriller
0744	1	Drama
0745	1	Documentary
0746	1	Drama, Thriller
0747	1	Adventure, Comedy, Animation, Family
0748	1	Adventure, Fantasy, Comedy, Animation, Family
0749	1	Drama, Fantasy, Western
0750	1	Action, Adventure, Thriller
0751	1	Drama, Comedy
0752	1	Drama, History, Romance, Animation, Family, Musical
0753	1	Comedy
0754	1	Action, Thriller, Crime
0755	1	Drama, Thriller, Comedy, Crime
0756	1	Drama, Romance
0757	1	Adventure, Sci-Fi, Fantasy, Family
0758	1	Drama, Comedy
0759	1	Action, Thriller, Crime
0760	1	Drama, Thriller, Horror, Romance
0761	1	Drama, Sport
0762	1	Drama, Thriller, Crime
0763	1	Documentary
0764	1	Drama, Thriller, Crime
0765	1	Action, Sci-Fi, Drama, Thriller, Fantasy, Horror
0766	1	Drama, Romance, Crime
0767	1	Drama, Comedy
0768	1	Drama, Romance
0769	1	Mystery, Thriller, Horror
0770	1	Adventure, Drama, Family
0771	1	Biography, Drama
0772	1	Action, Fantasy
0773	1	Drama, Comedy, Romance
0774	1	Drama, Comedy
0775	1	Action, Adventure, Sci-Fi, Comedy, Family
0776	1	Comedy, Romance
0777	1	Drama, Comedy, Romance, Music
0778	1	Drama, Thriller, Comedy, Music
0779	1	Documentary
0780	1	Drama, Mystery, Romance, Music
0781	1	Action, Adventure, Sci-Fi, Thriller
0782	1	Action, Adventure, Fantasy, Comedy, Romance
0783	1	Drama, Thriller
0784	1	Action, Drama, History, Crime, Western
0785	1	Biography, Drama
0786	1	Biography, Drama
0787	1	Drama, Romance
0788	1	Comedy
0789	1	Thriller, Crime
0790	1	Drama, Comedy, Crime
0791	1	Drama, Thriller, Crime
0792	1	Drama
0793	1	Thriller, Crime
0794	1	Drama, Romance, Family
0795	1	Drama
0796	1	Drama, History, War
0797	1	Action, Adventure, Sci-Fi, Thriller
0798	1	Action, Adventure, Sci-Fi, Thriller, Family
0799	1	Horror, Comedy
0800	1	Drama, Mystery, Thriller, Crime
0801	1	Drama, Fantasy, Comedy, Family
0802	1	Drama, Sport
0803	1	Drama, Comedy, Romance, Family, Musical
0804	1	Comedy, Romance
0805	1	Action, Drama, Thriller, Crime
0806	1	Drama
0807	1	Drama
0808	1	Comedy, Romance
0809	1	Adventure, Drama, Comedy, Romance
0810	1	Comedy
0811	1	Action, Fantasy, Horror, Comedy, Romance
0812	1	Drama, Family
0813	1	Action, Drama, Romance, War
0814	1	Drama, Thriller, Romance, Crime
0815	1	Drama, Sport, Comedy
0816	1	Drama, Comedy
0817	1	Action, Comedy, Documentary
0818	1	Drama, Thriller, Crime
0819	1	Comedy
0820	1	Drama, Mystery, Comedy, Crime
0821	1	Documentary
0822	1	Drama, Comedy, Romance
0823	1	Documentary
0824	1	Drama, Comedy, Romance
0825	1	Drama, Music
0826	1	Drama, Sport, Comedy, Romance
0827	1	Drama, Comedy, Music
0828	1	Action, Drama, Thriller, Western
0829	1	Drama
0830	1	Thriller, Comedy, Romance
0831	1	Biography, Drama, Romance
0832	1	Action, Adventure, Sci-Fi, Thriller
0833	1	Comedy, Romance
0834	1	Drama, Thriller, Crime
0835	1	Comedy, Romance, Family
0836	1	Sci-Fi, Drama, Comedy
0837	1	Drama, Thriller, Romance, Crime
0838	1	Mystery, Thriller
0839	1	Drama, Comedy
0840	1	Thriller, Comedy, Crime
0841	1	Comedy, Romance
0842	1	Adventure, Drama, Fantasy, Comedy, Family
0843	1	Crime, Documentary
0844	1	Action, Thriller
0845	1	Comedy
0846	1	Action, Adventure, Sci-Fi, Comedy, Animation, Family
0847	1	Comedy
0848	1	Drama, War
0849	1	Drama, Thriller, Crime
0850	1	Drama
0851	1	Documentary
0852	1	Action, Drama, Thriller, Romance, Crime
0853	1	Documentary
0854	1	Comedy, Romance, Music
0855	1	Drama, Crime
0856	1	Drama, Crime
0857	1	Drama, Romance
0858	1	Drama
0859	1	Drama, Romance
0860	1	Adventure, Drama, Comedy, Romance
0861	1	Comedy, Musical
0862	1	Drama, Sport
0863	1	Drama, Mystery, Thriller, Crime
0864	1	Documentary
0865	1	Action, Thriller, Comedy, Crime
