movie	imdb	director
0240	1	Lajos Koltai
0241	2	Guillaume Ivernel	Arthur Qwak
0242	0	<NULL>
0243	1	Hatsuki Tsuji
0244	1	Michael Arias
0245	1	Glenn Standring
0246	1	Jefery Levy
0247	1	Ralph Ziman
0248	2	Matthew O&#39;Callaghan	Todd Wilderman
0249	1	Michael Showalter
0250	1	Jim Hanon
0251	1	Peter Chelsom
0252	1	Jordan Brady
0253	1	Brian De Palma
0254	2	Josh Gordon	Will Speck
0255	1	Michael Mann
0256	1	Steve Oedekerk
0257	1	Carlos Saldanha
0258	1	Russell Mulcahy
0259	1	Guillermo del Toro
0260	1	Fernando Meirelles
0261	1	Adam McKay
0262	1	Jonathan Hensleigh
0263	1	Milos Forman
0264	1	Gary Ross
0265	2	Chris Weitz	Paul Weitz
0266	1	Nancy Meyers
0267	1	F. Gary Gray
0268	1	Albert Brooks
0269	1	Robby Henson
0270	1	Wil Shriner
0271	1	Paul Fox
0272	1	Howard Franklin
0273	1	Elissa Down
0274	1	Jim Kouf
0275	1	Christopher Hampton
0276	1	Brad Anderson
0277	1	Pete Riski
0278	1	Gabriele Salvatores
0279	1	James Signorelli
0280	1	Patrick Stettner
0281	1	Paul Schrader
0282	1	Lawrence O&#39;Neil
0283	2	Jonas Barnes	Michael Manasseri
0284	1	Michael Pressman
0285	1	Rick Famuyiwa
0286	1	Joshua Michael Stern
0287	1	James Toback
0288	1	David Hogan
0289	1	Hugh Hudson
0290	1	Susan Montford
0291	1	John Curran
0292	1	Jan Hrebejk
0293	1	John Sayles
0294	1	Jeff Nathanson
0295	1	Andrew Gurland
0296	1	Scott Coffey
0297	1	Peter Hall
0298	1	Andy Cheng
0299	1	Russell Mulcahy
0300	1	Emilio Mart&iacute;nez L&aacute;zaro
0301	1	Emanuele Crialese
0302	1	Samuel Maoz
0303	1	Gil Cates Jr.
0304	1	Daniel Taplitz
0305	1	Alex De Rakoff
0306	1	Sam Peckinpah
0307	1	Martha Coolidge
0308	1	Brett Leonard
0309	1	Steve Wang
0310	1	Kiyoshi Kurosawa
0311	1	Peter Hewitt
0312	1	Desmond Nakano
0313	1	John Sayles
0314	1	Charlie Peters
0315	1	Brian Hecker
0316	1	Chris Ver Wiel
0317	1	Ed Stone
0318	1	Jordan Brady
0319	1	Patricia Rozema
0320	2	Oxide Pang Chun	Danny Pang
0321	1	Danis Tanovic
0322	1	Laurent Cantet
0323	1	Tim Hill
0324	2	Dominic Anciano	Ray Burdis
0325	1	Julian Fellowes
0326	1	Griffin Dunne
0327	1	Luis Berdejo
0328	1	Michael Schorr
0329	1	Julie Davis
0330	1	Glenn Gordon Caron
0331	1	Byeong-ki Ahn
0332	1	Bryan Johnson
0333	1	Ping He
0334	1	Stephen Daldry
0335	1	John Moore
0336	1	Frank Coraci
0337	1	Lee Tamahori
0338	1	Richard Donner
0339	1	Mike Newell
0340	1	Joel Schumacher
0341	1	M. Night Shyamalan
0342	1	David Wain
0343	1	Martin Scorsese
0344	1	Roland Emmerich
0345	1	Peter Berg
0346	1	Michael Patrick King
0347	1	Robert De Niro
0348	1	Roger Spottiswoode
0349	1	Dennis Dugan
0350	1	Paul Greengrass
0351	1	David Slade
0352	1	Joel Zwick
0353	1	David Fincher
0354	1	Marco Brambilla
0355	1	John Hamburg
0356	1	Rebecca Miller
0357	2	Lloyd Kaufman	and 1 more credit
0358	1	Rodman Flender
0359	1	Steve Boyum
0360	1	James Mangold
0361	1	Peter Chan
0362	1	George P. Cosmatos
0363	1	Elliot Silverstein
0364	1	Hal Hartley
0365	1	Richard Brooks
0366	1	Eytan Fox
0367	1	Baltasar Korm&aacute;kur
0368	1	Daniel Barnz
0369	1	Mark Brown
0370	1	Walter Hill
0371	1	Brenton Spencer
0372	1	Christophe Honor&eacute;
0373	1	Daisy von Scherler Mayer
0374	1	Holly Goldberg Sloan
0375	1	Ti West
0376	1	Antonia Bird
0377	1	Alejandro Chomski
0378	1	Charles Binam&eacute;
0379	1	Tim Skousen
0380	1	Stephen Milburn Anderson
0381	1	Caroline Link
0382	1	Eric Schaeffer
0383	2	Pontus L&ouml;wenhielm	Patrick von Krusenstjerna
0384	2	Hal Haberman	Jeremy Passmore
0385	1	Michael Lander
0386	1	Miles Brandman
0387	2	Jing Wong	Corey Yuen
0388	1	Miguel Albaladejo
0389	1	Marc Caro
0390	1	Uli Edel
0391	1	Fredi M. Murer
0392	1	John Dahl
0393	1	Cao Hamburger
0394	1	Lloyd Kaufman
0395	1	Craig R. Baxley
0396	1	Majid Majidi
0397	2	Oxide Pang Chun	Danny Pang
0398	1	Philip Ridley
0399	1	Campbell Scott
0400	1	Nia Vardalos
0401	1	Mike Figgis
0402	1	Greg Beeman
0403	1	Karen Moncrieff
0404	1	Pascale Ferran
0405	1	Gary Hardwick
0406	1	Alan Rudolph
0407	1	Arthur Hiller
0408	1	Richard Roxburgh
0409	1	Paul Mayeda Berges
0410	1	Jon Matthews
0411	1	Matthew Warchus
0412	1	Anthony C. Ferrante
0413	1	John McKay
0414	1	Stacy Cochran
0415	1	Billy O&#39;Brien
0416	1	Joel Bender
0417	1	James Toback
0418	2	Oxide Pang Chun	Danny Pang
0419	2	Michael Bartlett	Kevin Gates
0420	1	Y&ocirc;ji Yamada
0421	2	Chris Delaporte	Pascal Pinon
0422	1	Stuart Gordon
0423	1	Robert Schwentke
0424	1	John Lee Hancock
0425	1	John Dahl
0426	1	Todd Phillips
0427	1	Jonathan Frakes
0428	2	Dean DeBlois	Chris Sanders
0429	1	John Singleton
0430	1	Renny Harlin
0431	1	Stefen Fangmeier
0432	1	Takashi Shimizu
0433	1	David Zucker
0434	1	Taylor Hackford
0435	1	Terry Zwigoff
0436	2	Arthur Hiller	Alan Smithee
0437	1	Anne Goursaud
0438	1	Tom DiCillo
0439	1	Alison Eastwood
0440	1	Sidney Lumet
0441	1	Steve Antin
0442	1	Robert Rodriguez
0443	1	Wallace Wolodarsky
0444	1	Daniel Myrick
0445	1	Ian Iqbal Rashid
0446	1	Fernando Eimbcke
0447	1	Nicholas Ray
0448	1	Peter Chelsom
0449	1	Davis Guggenheim
0450	1	Alfonso Arau
0451	1	Phedon Papamichael
0452	1	P.J. Hogan
0453	1	Mark Griffiths
0454	1	Don Coscarelli
0455	1	Dan Ireland
0456	1	Casey Affleck
0457	1	Matthew Bright
0458	1	Ed Blum
0459	1	Julio DePietro
0460	1	John Crowley
0461	1	Barbet Schroeder
0462	1	Wai-keung Lau
0463	1	Sang-Jin Kim
0464	1	Andrew Black
0465	1	David Caffrey
0466	1	Edward Burns
0467	1	David Anspaugh
0468	1	G&eacute;la Babluani
0469	1	Dick Maas
0470	1	Ida Lupino
0471	1	Roland Joff&eacute;
0472	1	Jeong-hyang Lee
0473	1	Aric Avelino
0474	1	Ron Krauss
0475	1	Nancy Bardawil
0476	1	Theresa Connelly
0477	1	Nick Palumbo
0478	1	Gregor Schnitzler
0479	1	John D. Hancock
0480	1	Isao Takahata
0481	1	Masayuki Ochiai
0482	1	Ariel Vromen
0483	3	Masayuki	Kazuya Tsurumaki	and 1 more credit
0484	1	Maggie Greenwald
0485	1	Mick Jackson
0486	1	Tony Piccirillo
0487	1	Andrew Wagner
0488	1	Johnnie To
0489	1	Chris Shadley
0490	1	John Hoffman
0491	1	Gregory Nava
0492	1	Nicolas Cage
0493	1	Malcolm Venville
0494	1	Thomas Bezucha
0495	1	Linda Mendoza
0496	1	Mary McGuckian
0497	1	Gilles Paquet-Brenner
0498	1	Corey Yuen
0499	1	Julian Richards
0500	1	Yurek Bogayevicz
0501	1	Tamra Davis
0502	1	Michael Davis
0503	1	Daniel Lee
0504	1	Danny Cannon
0505	1	Joe Dante
0506	1	Just Jaeckin
0507	1	Pip Karmel
0508	1	Clint Eastwood
0509	1	David Lynch
0510	1	Michel Gondry
0511	1	Frank Oz
0512	1	Arthur Penn
0513	1	Richard Linklater
0514	1	Mark Romanek
0515	1	Danny Leiner
0516	1	Dean Parisot
0517	1	Billy Bob Thornton
0518	1	Bennett Miller
0519	1	Edgar Wright
0520	1	Gurinder Chadha
0521	1	Peter Cattaneo
0522	1	Guy Ferland
0523	2	Jing Wong	Lun Ah
0524	1	Chuan Lu
0525	1	Eric Rohmer
0526	2	John Eng	Norton Virgien
0527	1	Steve Jacobs
0528	1	Fred Durst
0529	1	Kimble Rendall
0530	1	Gaby Dellal
0531	2	Gregg Kavet	Andy Robin
0532	1	Albert Pyun
0533	1	Tony Giglio
0534	1	Marcus Adams
0535	1	Nisha Ganatra
0536	1	Anthony Waller
0537	1	Joe Mantello
0538	1	Joel Viertel
0539	1	J. Michael McClary
0540	1	Christopher Cain
0541	1	Alec Baldwin
0542	1	Jeff Nichols
0543	1	John Llewellyn Moxey
0544	1	Robert Parigi
0545	1	Ash Baron-Cohen
0546	1	Alain Berliner
0547	1	Shinsuke Sato
0548	2	Siu-Tung Ching	Stanley Tong
0549	1	Maria Maggenti
0550	1	Austin Chick
0551	1	Stephen Woolley
0552	1	Tom Reeve
0553	1	Roger Christian
0554	1	Daniel Waters
0555	1	Wim Wenders
0556	1	Gregg Araki
0557	1	Sebastian Gutierrez
0558	1	Robert Duvall
0559	1	Miles Swain
0560	3	Mamoru Hosoda	Minoru Hosoda	and 1 more credit
0561	2	Kirk Wong	and 1 more credit
0562	2	Jay Duplass	Mark Duplass
0563	1	Kaare Andrews
0564	1	Josh Stolberg
0565	1	Stanley Tong
0566	1	Stephen Frears
0567	1	Robby Henson
0568	1	Pete Jones
0569	1	Hsiao-hsien Hou
0570	1	John N. Smith
0571	1	Christian Charles
0572	1	Jamie Blanks
0573	1	Alex Turner
0574	1	Vicente Aranda
0575	1	Vincent Perez
0576	1	Ringan Ledwidge
0577	1	Mikael Salomon
0578	1	Edward Anderson
0579	1	Andrew V. McLaglen
0580	1	David Ondaatje
0581	1	Richard Attenborough
0582	1	Craig Chester
0583	1	Rich Wilkes
0584	1	John Shepphird
0585	1	Armand Mastroianni
0586	1	Steven Schachter
0587	1	John Carney
0588	1	Yoon-Hyun Chang
0589	1	David Ayer
0590	1	Mike Judge
0591	1	Patty Jenkins
0592	1	Matthew Vaughn
0593	1	Kerry Conran
0594	1	Richard Linklater
0595	1	Peter Segal
0596	1	Rob Zombie
0597	1	Jim Jarmusch
0598	1	Steven Brill
0599	1	David Zucker
0600	1	Ronny Yu
0601	1	Phillip Noyce
0602	2	Ethan Coen	Joel Coen
0603	1	Judd Apatow
0604	1	Nick Cassavetes
0605	1	Roger Christian
0606	1	Brad Bird
0607	1	Ernie Barbarash
0608	1	Bobcat Goldthwait
0609	1	Joel Schumacher
0610	1	Uwe Boll
0611	1	Goran Paskaljevic
0612	1	Aaron Schneider
0613	1	Jackie Chan
0614	1	Ethan Hawke
0615	1	Jessica Yu
0616	1	Chris Moore
0617	1	Leon Ichaso
0618	1	Tuck Tucker
0619	1	Dick Maas
0620	1	Shinya Tsukamoto
0621	1	Larry David
0622	1	Agn&egrave;s Merlet
0623	1	Nir Bergman
0624	1	Jason Matzner
0625	1	Audrey Wells
0626	1	Michael Oblowitz
0627	2	Brendan Cowles	Shane Kuhn
0628	1	Denys Arcand
0629	1	Terry Winsor
0630	1	Alex Sichel
0631	1	Charles Burmeister
0632	1	Claude Chabrol
0633	1	Philip Haas
0634	1	Lance Rivera
0635	1	Colin Teague
0636	1	George Tillman Jr.
0637	1	Michael Burke
0638	1	Tom DiCillo
0639	1	Peter Duncan
0640	1	Marleen Gorris
0641	1	Nash Edgerton
0642	1	Gideon Raff
0643	1	Lance Rivera
0644	1	Allan Moyle
0645	1	John Duigan
0646	1	Ki-duk Kim
0647	1	Catherine Breillat
0648	2	Tae-Yong Kim	Kyu-Dong Min
0649	2	Simon Boyes	Adam Mason
0650	1	Daisy von Scherler Mayer
0651	1	Lee Toland Krieger
0652	1	Mike Binder
0653	1	Andy Cadiff
0654	1	David Auburn
0655	1	Bob Odenkirk
0656	1	William Wesley
0657	1	Robert Townsend
0658	1	Richard Gabai
0659	1	Rob Walker
0660	1	Mamoru Oshii
0661	1	Charles Jarrott
0662	1	Jingle Ma
0663	1	Paul Schrader
0664	1	Michael Cuesta
0665	1	Bruce Beresford
0666	1	Richard Claus
0667	1	Kevin Tenney
0668	1	Roy Knyrim
0669	1	Gregory Hoblit
0670	1	Phil Alden Robinson
0671	1	Rob Bowman
0672	1	Wes Craven
0673	1	John Singleton
0674	1	John Hamburg
0675	1	Doug Liman
0676	1	Sydney Pollack
0677	1	Werner Herzog
0678	1	Gore Verbinski
0679	1	John McTiernan
0680	1	Tamra Davis
0681	1	Rian Johnson
0682	1	Todd Field
0683	1	Kathryn Bigelow
0684	1	Justin Lin
0685	1	Alfonso Cuar&oacute;n
0686	1	David M. Evans
0687	1	Phil Joanou
0688	1	Tommy Wirkola
0689	1	Gregory Mosher
0690	1	John Cassavetes
0691	1	Amos Kollek
0692	1	Rafal Zielinski
0693	2	Richard Glatzer	Wash Westmoreland
0694	1	Del Shores
0695	1	John Glen
0696	1	Michael Davis
0697	1	John Murlowski
0698	1	Jonathan Jakubowicz
0699	1	Beth Schacter
0700	1	David Anspaugh
0701	1	Tibor Tak&aacute;cs
0702	1	Andrey Konchalovskiy
0703	1	Kenneth Branagh
0704	1	James Cotten
0705	1	Todd Solondz
0706	1	Bille August
0707	1	Rob Hardy
0708	1	Siu-Tung Ching
0709	1	Blayne Weaver
0710	1	Talia Lugacy
0711	1	Andrew Bergman
0712	2	Kazuki Akane	Yoshiyuki Takei
0713	1	Shane Meadows
0714	1	Myles Berkowitz
0715	1	Boris von Sychowski
0716	1	Asif Kapadia
0717	1	Timothy Hutton
0718	1	Christopher N. Rowley
0719	1	Mark Rucker
0720	1	Thomas Haden Church
0721	1	Hilary Birmingham
0722	1	Michael Petroni
0723	1	Dana Lustig
0724	1	Russell Mulcahy
0725	1	Martin Lawrence
0726	1	Vincent Jay Miller
0727	1	Gregory Mackenzie
0728	1	Gideon Raff
0729	1	Yam Laranas
0730	1	Luis de la Madrid
0731	1	Clarence Fok Yiu-leung
0732	1	Franc. Reyes
0733	1	Allen Baron
0734	1	Craig Mazin
0735	1	Ole Bornedal
0736	1	Adrian Vitoria
0737	1	Cristina Comencini
0738	1	Tony Randel
0739	1	James F. Robinson
0740	1	Paul Cox
0741	1	Kevin Hamedani
0742	1	Thaddeus O&#39;Sullivan
0743	1	Paul W.S. Anderson
0744	1	Damian Harris
0745	1	Robert Altman
0746	1	Marcos Carnevale
0747	1	Takashi Miike
0748	1	Alejandro Agresti
0749	1	Jessie Nelson
0750	1	Ron Howard
0751	1	Joel Gallen
0752	1	Jonathan Demme
0753	1	Greg Mottola
0754	2	Joel Coen	and 1 more credit
0755	1	John Maybury
0756	1	Robert Rodriguez
0757	1	Grant Heslov
0758	2	Mark Neveldine	Brian Taylor
0759	2	Hironobu Sakaguchi	Motonori Sakakibara
0760	2	John McTiernan	and 1 more credit
0761	1	Nicholas Meyer
0762	1	Sydney Pollack
0763	1	Wolfgang Petersen
0764	1	David Cronenberg
0765	1	Martin Ritt
0766	1	Craig R. Baxley
0767	1	Sammo Hung Kam-Bo
0768	1	James Mottern
0769	1	Paul Schrader
0770	1	Alex Steyermark
0771	2	Peter Askin	Douglas McGrath
0772	1	Vanessa Parise
0773	1	Rintaro
0774	1	Reverge Anselmo
0775	1	Jack Sholder
0776	1	Geoffrey Haley
0777	1	Vic Sarin
0778	1	Philippe Martinez
0779	1	Gonzalo L&oacute;pez-Gallego
0780	1	Katherine Dieckmann
0781	1	Asia Argento
0782	1	Tom Hooper
0783	1	David S. Marfield
0784	1	John McNaughton
0785	1	Jonathan Teplitzky
0786	1	Dave Payne
0787	1	Damian Harris
0788	1	Gary Yates
0789	1	Robert Cuffley
0790	1	Darrell Roodt
0791	1	Mark Milgard
0792	1	David Winkler
0793	1	Gillies MacKinnon
0794	1	Jean-Pierre Limosin
0795	1	Marc Munden
0796	1	Bob Logan
0797	1	Wes Craven
0798	1	Julie Davis
0799	1	Ricardo de Montreuil
0800	1	Sofia Coppola
0801	1	Terence Fisher
0802	1	Ricky Lau
0803	1	Andrew Black
0804	1	Conor McMahon
0805	1	Donald Petrie
0806	1	Isaac Florentine
0807	1	Richard Wenk
0808	1	Frank A. Cappello
0809	2	Marc F. Adler	Jason Maurer
0810	1	Fr&eacute;d&eacute;ric Forestier
0811	1	Russ Meyer
0812	1	Gary Burns
0813	1	Ry&ucirc; Murakami
0814	1	Mark Lafferty
0815	1	John Woo
0816	1	Gus Van Sant
0817	1	Richard LaGravenese
0818	1	Richard Donner
0819	1	Brian De Palma
0820	1	Gus Van Sant
0821	1	Marc Lawrence
0822	1	Jon Avnet
0823	1	James Mangold
0824	1	Peter Hedges
0825	1	Peter Jackson
0826	1	Edward Zwick
0827	1	Adam Brooks
0828	1	Gabor Csupo
0829	1	John Carney
0830	1	Kimberly Peirce
0831	1	Tom Vaughan
0832	1	Sherry Horman
0833	1	Doug McHenry
0834	1	Joe Otting
0835	1	Carl Schenkel
0836	1	Mar&iacute;a Lid&oacute;n
0837	1	Tony Giglio
0838	1	Angela Pope
0839	1	David Hugh Jones
0840	1	Peter Yates
0841	1	Edward Burns
0842	1	Tony Bill
0843	1	Giddi Dar
0844	1	Brian Yuzna
0845	1	Gordon Douglas
0846	1	Jean-Pierre Marois
0847	1	Rose Troche
0848	1	Robert Downey Sr.
0849	1	Saul Dibb
0850	1	Jake Goldberger
0851	1	Leonardo Ricagni
0852	1	Jeff Anderson
0853	1	John Carter
0854	1	Edwin Sherin
0855	1	Jeff Fisher
0856	1	Kaige Chen
0857	1	Hitoshi Matsumoto
0858	2	Dominic Anciano	Ray Burdis
0859	1	Amy Redford
0860	1	John Landis
0861	1	Andr&eacute; T&eacute;chin&eacute;
0862	1	Michael Keaton
0863	1	Martin Barnewitz
0864	1	Harry Sinclair
0865	1	Roger Nygard
0866	1	Scott Silver
0867	1	Paul Marcus
0868	1	Tim Kirkman
0869	1	Carl Bessai
0870	1	Rob Stefaniuk
0871	1	William Lustig
0872	1	Michael Corrente
0873	1	Barry Levinson
0874	1	Steven Jacobson
0875	1	Jae-yeon Yun
0876	2	Andy Wachowski	Lana Wachowski
0877	1	Tim Burton
0878	1	Sam Raimi
0879	1	Steven Soderbergh
0880	1	David Fincher
0881	1	Roman Polanski
0882	1	Matt Reeves
0883	1	Gore Verbinski
0884	2	Andy Wachowski	Lana Wachowski
0885	1	Clint Eastwood
0886	1	Edward Zwick
0887	1	Catherine Hardwicke
0888	1	Liam Lynch
0889	1	David McNally
0890	1	Mel Brooks
0891	1	Tony Scott
0892	1	Steve Pink
0893	1	Steven Soderbergh
0894	1	Barry Sonnenfeld
0895	1	Frank Oz
0896	1	Peter Jackson
0897	1	Scott Derrickson
0898	2	Joel Coen	and 1 more credit
0899	1	John Singleton
0900	1	Roger Spottiswoode
0901	1	Jim Jarmusch
0902	1	Simon Wells
0903	1	David R. Ellis
0904	1	James Wong
0905	1	James Foley
0906	1	Jonathan Parker
0907	1	Nick Gomez
0908	1	Stephan Elliott
0909	1	Paul Lynch
0910	1	Ken Wiederhorn
0911	1	Darin Ferriola
0912	1	Stanley Tucci
0913	1	Bix Skahill
0914	1	Jane Weinstock
0915	1	Michael Apted
0916	1	A.W. Vidmer
0917	1	Leigh Scott
0918	1	Richard Howard
0919	1	Giuseppe Colizzi
0920	1	Michael D. Olmos
0921	1	Jun Fukuda
0922	1	Dan Cohen
0923	1	Stanley Tong
0924	1	John Forte
0925	1	Scott Ziehl
0926	2	Edward Dmytryk	Duilio Coletti
0927	1	John Rich
0928	1	Richard Jobson
0929	1	Paddy Breathnach
0930	1	Mauro Borrelli
0931	1	Richard Spence
0932	2	David Nixon	Patrick Doughtie
0933	2	Yolanda Garc&iacute;a Serrano	Juan Luis Iborra
0934	1	Peter Pau
0935	1	Matthew Broderick
0936	1	Jun Fukuda
0937	2	Keith Fulton	Louis Pepe
0938	1	Michael Landon Jr.
0939	1	Mark Joffe
0940	1	Michael D. Sellers
0941	1	Hyung-rae Shim
0942	1	Christian Viel
0943	1	William Bindley
0944	1	Kwon-taek Im
0945	1	Gregg Bishop
0946	2	Dominic Harari	Teresa Pelegri
0947	1	Ki-hyeong Park
0948	1	Adrian Rudomin
0949	1	Kristoffer Tabori
0950	1	Leslie Greif
0951	1	Vincent Rocca
0952	1	Richard Harrah
0953	1	Alan Rudolph
0954	1	David Keating
0955	1	Peter Markle
0956	1	John Duigan
0957	1	Jaume Collet-Serra
0958	1	Marc Lawrence
0959	1	Tom Shadyac
0960	1	Brian De Palma
0961	1	David Hackl
0962	1	Peter Chelsom
0963	1	Norman Jewison
0964	1	Doug Liman
0965	1	Frank Oz
0966	1	Michael Mann
0967	2	Aaron Seltzer	and 1 more credit
0968	1	Barry Levinson
0969	1	Catherine Hardwicke
0970	1	Stephen Hopkins
