movie	yahoo	mpaa_rating
0104	1	R for violence and language.
0105	1	PG 13 for sex related humor and language.
0106	1	PG 13 for some intense sci-fi action.
0107	1	R for strong language, drug use, sexuality and some violence.
0108	1	R for language and brief sexuality/nudity.
0109	1	PG-13
0110	1	R
0111	1	PG for some menacing action violence and mild language.
0112	1	PG-13 for some sex-related material and nudity.
0113	1	PG for a beating, language and brief nudity.
0114	1	NC-17 for explicit sexual content and dialogue.
0115	1	PG-13
0116	1	R for strong violence and some language.
0117	1	PG 13 for sequences of action/violence and shootings, and for language.
0118	1	R for pervasive language, drug use, violent antisocial behavior and some sexuality.
0119	1	R
0120	1	PG
0121	1	PG 13 for sexual content, crude humor, brief strong language and teen drinking.
0122	1	PG-13 for language, sensuality and brief violence.
0123	1	PG
0124	1	PG
0125	1	PG
0126	1	R for violence, some strong sexuality, language and drug content.
0127	1	R for pervasive strong language, drug content, sexuality and brief violence.
0128	1	PG-13
0129	1	R for scenes of strong sexuality.
0130	1	Not Rated
0131	1	R for violence, language and some sex-related material.
0132	1	PG-13 for sexuality and drug use, including scenes involving children, and for language.
0133	1	R for language.
0134	1	R for some elements involving sexuality and drugs.
0135	1	R for sexuality and brief language.
0136	1	R for strong language, sexual content and violence.
0137	1	R
0138	1	Not Rated
0139	1	PG 13 for language and some crude sexual humor.
0140	1	R
0141	1	PG for action violence, mild sensuality and brief language.
0142	1	R for some sexuality and nudity.
0143	1	R for graphic heroin use and resulting depravity, strong language, sex, nudity and violence.
0144	1	R
0145	1	R for strong sexual content, nudity, language and drug use.
0146	1	R for strong, grisly violence, sexuality, drug use and language.
0147	1	R for violence, language, and sexuality/nudity.
0148	1	PG
0149	1	Not Rated
0150	1	PG
0151	1	Not Rated
0152	1	G
0153	1	PG-13
0154	1	PG
0155	1	Not Rated
0156	1	PG
0157	1	R for violence and brief nudity.
0158	1	R
0159	1	R
0160	1	R
0161	1	R
0162	1	R
0163	1	PG
0164	1	PG
0165	1	R
0166	1	G
0167	1	PG
0168	1	PG
0169	1	PG for some intense sci-fi action, mild language and thematic elements.
0170	1	PG-13
0171	1	R
0172	1	R
0173	1	PG-13
0174	1	R
0175	1	Not Rated
0176	1	R
0177	1	PG
0178	1	PG
0179	1	R
0180	1	R
0181	1	R
0182	1	R
0183	1	GP for mature themes.
0184	1	R
0185	1	Not Rated
0186	1	Not Rated
0187	1	G
0188	1	R
0189	1	R
0190	1	PG
0191	1	PG
0192	1	Not Rated
0193	1	R
0194	1	PG
0195	1	PG
0196	1	PG
0197	1	Not Rated
0198	1	PG
0199	1	Not Rated
0200	1	PG
0201	1	PG
0202	1	R
0203	1	R
0204	1	Not Rated
0205	1	R
0206	1	R
0207	1	PG
0208	1	R
0209	1	Not Rated
0210	1	PG
0211	1	Not Rated
0212	1	R
0213	1	PG
0214	1	Not Rated
0215	1	Not Rated
0216	1	R
0217	1	R
0218	1	PG-13
0219	1	G
0220	1	R
0221	1	R
0222	1	PG
0223	1	PG-13
0224	1	R
0225	1	Not Rated
0226	1	PG
0227	1	Not Rated
0228	1	PG
0229	1	Not Rated
0230	1	R
0231	1	R
0232	1	Not Rated
0233	1	G
0234	1	R
0235	1	PG
0236	1	Not Rated
0237	1	G
0238	1	PG
0239	1	Not Rated
0240	1	PG
0241	1	PG
0242	1	Not Rated
0243	1	PG
0244	1	PG
0245	1	R
0246	1	R
0247	1	R
0248	1	Not Rated
0249	1	PG
0250	1	R
0251	1	R
0252	1	PG
0253	1	PG
0254	1	Not Rated
0255	1	R
0256	1	R
0257	1	Not Rated
0258	1	Not Rated
0259	1	PG
0260	1	G
0261	1	PG
0262	1	PG
0263	1	R
0264	1	R
0265	1	GP
0266	1	R
0267	1	R
0268	1	G
0269	1	PG
0270	1	R
0271	1	Not Rated
0272	1	PG
0273	1	G
0274	1	PG
0275	1	PG
0276	1	PG-13 for holocaust-related thematic elements.
0277	1	PG
0278	1	PG
0279	1	Not Rated
0280	1	Not Rated
0281	1	R
0282	1	R
0283	1	PG
0284	1	R
0285	1	PG
0286	1	Not Rated
0287	1	R
0288	1	PG
0289	1	R
0290	1	Not Rated
0291	1	R
0292	1	Not Rated
0293	1	PG
0294	1	G
0295	1	R
0296	1	R
0297	1	R N/A
0298	1	R
0299	1	Not Rated
0300	1	R
0301	1	PG
0302	1	PG
0303	1	PG-13
0304	1	R
0305	1	PG
0306	1	Not Rated
0307	1	R
0308	1	PG-13
0309	1	R
0310	1	G
0311	1	PG
0312	1	R
0313	1	R
0314	1	Not Rated
0315	1	PG
0316	1	R
0317	1	Not Rated
0318	1	Not Rated
0319	1	R
0320	1	G
0321	1	R
0322	1	R
0323	1	R
0324	1	PG-13
0325	1	Not Rated
0326	1	R
0327	1	PG
0328	1	PG-13
0329	1	R
0330	1	PG
0331	1	PG
0332	1	R
0333	1	R
0334	1	R
0335	1	R
0336	1	PG
0337	1	R
0338	1	R
0339	1	GP
0340	1	Not Rated
0341	1	PG-13 for some violence and sexual content.
0342	1	Not Rated
0343	1	R
0344	1	R
0345	1	PG
0346	1	PG-13
0347	1	R
0348	1	PG
0349	1	G
0350	1	R
0351	1	R
0352	1	R
0353	1	G
0354	1	PG-13
0355	1	Not Rated
0356	1	Not Rated
0357	1	R
0358	1	Not Rated
0359	1	PG
0360	1	R
0361	1	PG
0362	1	R
0363	1	Not Rated
0364	1	Not Rated
0365	1	R
0366	1	PG
0367	1	G
0368	1	R
0369	1	Not Rated
0370	1	G
0371	1	Not Rated
0372	1	Not Rated
0373	1	PG-13
0374	1	Not Rated
0375	1	PG N/A
0376	1	Not Rated
0377	1	Not Rated
0378	1	G
0379	1	PG
0380	1	PG
0381	1	PG
0382	1	Not Rated
0383	1	Not Rated
0384	1	R
0385	1	R
0386	1	PG-13
0387	1	Not Rated
0388	1	PG
0389	1	Not Rated
0390	1	PG
0391	1	G
0392	1	Not Rated
0393	1	R
0394	1	R
0395	1	G
0396	1	Not Rated
0397	1	Not Rated
0398	1	PG
0399	1	R
0400	1	R
0401	1	PG
0402	1	R
0403	1	PG-13
0404	1	R
0405	1	PG-13
0406	1	R
0407	1	PG-13
0408	1	R
0409	1	R for graphic violence and brief nudity.
0410	1	R
0411	1	R
0412	1	Not Rated
0413	1	R
0414	1	R
0415	1	PG
0416	1	PG-13
0417	1	PG
0418	1	Not Rated
0419	1	R
0420	1	PG-13
0421	1	Not Rated
0422	1	PG
0423	1	R for strong violence and sensuality, and for drug use and language.
0424	1	PG
0425	1	R
0426	1	Not Rated
0427	1	Not Rated
0428	1	Not Rated
0429	1	R
0430	1	PG
0431	1	R
0432	1	Not Rated
0433	1	PG-13
0434	1	PG
0435	1	PG-13
0436	1	G
0437	1	PG
0438	1	PG
0439	1	PG-13
0440	1	PG
0441	1	PG-13
0442	1	R
0443	1	R
0444	1	R
0445	1	R
0446	1	PG
0447	1	PG
0448	1	PG-13
0449	1	R
0450	1	PG-13
0451	1	R for strong western violence.
0452	1	PG-13
0453	1	R
0454	1	PG-13
0455	1	R
0456	1	PG-13
0457	1	Not Rated
0458	1	R
0459	1	Not Rated
0460	1	R for a lot of action/violence and some language.
0461	1	R
0462	1	PG 13
0463	1	PG
0464	1	PG
0465	1	R for language and prison violence.
0466	1	Not Rated
0467	1	R for extensive use of extremely explicit sex-related dialogue.
0468	1	PG 13
0469	1	PG
0470	1	PG-13
0471	1	Not Rated
0472	1	R
0473	1	R
0474	1	R
0475	1	PG 13 for strong stylized action.
0476	1	R
0477	1	R
0478	1	R
0479	1	G
0480	1	PG
0481	1	PG 13
0482	1	PG-13
0483	1	R for for grisly afterviews of horrific and bizarre killings, and for strong language.
0484	1	PG-13
0485	1	PG-13
0486	1	R
0487	1	Not Rated
0488	1	R
0489	1	R
0490	1	R for strong violence and gore, language and nudity.
0491	1	R
0492	1	PG-13
0493	1	PG-13
0494	1	R
0495	1	PG 13
0496	1	R
0497	1	PG-13
0498	1	R
0499	1	R
0500	1	R
0501	1	R
0502	1	R
0503	1	R for language and sexuality.
0504	1	PG-13
0505	1	R
0506	1	Not Rated
0507	1	R
0508	1	PG 13 for strong stylized action and some innuendos.
0509	1	PG
0510	1	R
0511	1	R
0512	1	Not Rated
0513	1	G
0514	1	R for sexuality and some language.
0515	1	Not Rated
0516	1	R
0517	1	PG for intense depiction of thematic elements.
0518	1	PG 13 for a disturbing accident scene.
0519	1	R for terror, violence, gore, and language.
0520	1	PG 13 for some strong language.
0521	1	Not Rated
0522	1	R
0523	1	G
0524	1	PG
0525	1	PG 13
0526	1	PG-13
0527	1	R
0528	1	Not Rated
0529	1	R
0530	1	PG-13 for (original).
0531	1	PG-13
0532	1	R
0533	1	Not Rated
0534	1	PG
0535	1	R
0536	1	R
0537	1	R
0538	1	R
0539	1	R
0540	1	G
0541	1	PG-13
0542	1	R
0543	1	G
0544	1	R for horror violence and gore, sexual images and language.
0545	1	Not Rated
0546	1	R for language and sexuality.
0547	1	R for sexuality including strong sexual dialogue, language and some drug content.
0548	1	R for some strong sexuality, and for language.
0549	1	R for strong violence and language.
0550	1	Not Rated
0551	1	R
0552	1	R for sexual content, language, and crude humor.
0553	1	NONE
0554	1	R for sexuality and language.
0555	1	R for some strong sexuality and violent imagery.
0556	1	R for violence, language, some sexuality and drug content.
0557	1	PG-13 for language and some sex-related material.
0558	1	NONE for violence, language, drug content and brief nudity.
0559	1	R for strong sexuality, and for violence, language and nudity.
0560	1	PG-13 for sexual content, drug use and language.
0561	1	R for a scene of sexuality.
0562	1	R for strong sexuality and nudity, violent images, language and drug content.
0563	1	PG-13 for violence and brief sexuality.
0564	1	R for language and drug content.
0565	1	R for violence, some strong sexuality, language and drug content.
0566	1	R for sexuality, language and drug use.
0567	1	PG-13 for some thematic elements, language, and brief sexuality.
0568	1	PG-13 for mature thematic elements, sexual content, partial nudity and language.
0569	1	R for language.
0570	1	R for some language and sexuality.
0571	1	R for pervasive strong language, drugs and sexual content.
0572	1	PG-13 for some sexual content.
0573	1	PG-13 for intense thematic material, language, and sexual content.
0574	1	Not Rated
0575	1	R for violence and language.
0576	1	R for language.
0577	1	R for drug content and language.
0578	1	Not Rated
0579	1	R for language and some drug use.
0580	1	R for strong violent and sexual content, including related dialogue, and for language and drug use.
0581	1	R for strong sexual content including graphic dialogue, and for language.
0582	1	R for strong thematic elements involving teens.
0583	1	R for language.
0584	1	R for language.
0585	1	R for pervasive drug content and language, and for some strong sexuality.
0586	1	R for strong language and sexual content involving teens.
0587	1	G
0588	1	None
0589	1	PG-13 for some sexuality and language.
0590	1	R for scenes of war violence, and for language.
0591	1	Not Rated
0592	1	R for strong sexual content and some violence.
0593	1	R for violence, nudity and language.
0594	1	R for strong sexuality and nudity, and for language.
0595	1	PG 13 for action violence, some drug humor, language and sensuality.
0596	1	NONE
0597	1	R
0598	1	PG-13 for teen sex-related material, language and substance misuse.
0599	1	Not Rated
0600	1	Not Rated
0601	1	PG-13 for drug content, crude sexual material and language.
0602	1	PG-13 for thematic elements.
0603	1	R for pervasive language, strong sexual content, violence, and some drug use.
0604	1	Not Rated
0605	1	G
0606	1	PG-13 for language.
0607	1	PG for mild language.
0608	1	Not Rated
0609	1	R for a sex scene and language.
0610	1	Not Rated
0611	1	Not Rated
0612	1	PG
0613	1	PG-13
0614	1	Not Rated
0615	1	PG 13 for some intense violence and gore.
0616	1	PG-13
0617	1	PG-13 for intense sequences of action violence, some sexuality and innuendo.
0618	1	PG 13 for brief violent images.
0619	1	Not Rated
0620	1	Not Rated
0621	1	R
0622	1	Not Rated
0623	1	R
0624	1	Not Rated
0625	1	None
0626	1	G
0627	1	G
0628	1	PG for thematic elements and some language.
0629	1	G
0630	1	PG
0631	1	G
0632	1	PG 13 for sci-fi violence, brief nudity and language.
0633	1	PG for sustained sequences of sci-fi action/violence.
0634	1	Not Rated
0635	1	R for sexuality, language and drug content.
0636	1	R for violence and some strong sexuality.
0637	1	No Rating
0638	1	PG-13 for sexual content.
0639	1	R for a strong sex scene.
0640	1	R
0641	1	R for language, violence and a scene of sexuality.
0642	1	R for language, some violence and a scene of sexuality.
0643	1	PG 13 for violence, sexual content, language and brief drug references.
0644	1	PG for sexuality and language.
0645	1	R for a scene of sexuality and language.
0646	1	Not Rated
0647	1	G
0648	1	R for strong language and disturbing images.
0649	1	R for strong violence, pervasive language and a scene of sexuality.
0650	1	R for language, some sexual content and brief drug use.
0651	1	PG 13 for mature thematic elements incl. some disturbing violent content, & for a crude sexual reference.
0652	1	PG for thematic elements.
0653	1	R for strong sexual content including dialogue, violence and language.
0654	1	R for language and sexuality.
0655	1	Not Rated
0656	1	Not Rated
0657	1	G
0658	1	PG-13 for mature elements: substance abuse/recovery, some sexual situations, language and brief violence.
0659	1	Not Rated
0660	1	PG-13
0661	1	R
0662	1	Not Rated
0663	1	R
0664	1	PG-13
0665	1	Not Rated
0666	1	Not Rated
0667	1	Not Rated
0668	1	R for violence/gore and some nudity.
0669	1	Not Rated
0670	1	Not Rated
0671	1	R
0672	1	R for language.
0673	1	R for strong violence, some sexuality, langauge and brief drug content.
0674	1	PG
0675	1	G
0676	1	R for language, sexuality, some drug use and brief violence.
0677	1	G
0678	1	PG-13 for sexual content, violence and language.
0679	1	R for violence and language.
0680	1	R for language and sexual content.
0681	1	R
0682	1	R for bizarre violence and sexual images, nudity and language.
0683	1	PG-13
0684	1	R for sexual content and language.
0685	1	Not Rated
0686	1	R for pervasive strong violence, and for sexual content and language.
0687	1	Not Rated
0688	1	Not Rated
0689	1	R for sexuality/nudity, language and some violence.
0690	1	R for strong violence, sexuality and language.
0691	1	PG-13 for some violence.
0692	1	PG-13 for a murder and other action sequences in an adventure setting.
0693	1	Not Rated
0694	1	R for realistic war violence and language.
0695	1	PG for thematic elements and brief language.
0696	1	Not Rated
0697	1	Not Rated
0698	1	PG-13 for sexual references and a scene of violence.
0699	1	R for pervasive language, strong violence and some drug content.
0700	1	PG 13 for intense sci-fi terror and violence.
0701	1	G
0702	1	R for a scene of sexuality and brief violence.
0703	1	R for strong graphic war violence and some sexuality.
0704	1	G
0705	1	PG 13 for sexual content.
0706	1	Not Rated
0707	1	Not Rated
0708	1	R for strong violence, language and nudity.
0709	1	NONE
0710	1	PG for bodily humor.
0711	1	PG-13 for language, violence and sexuality.
0712	1	PG-13
0713	1	R for strong violence, language, some drug content and brief sexuality.
0714	1	Not Rated
0715	1	R
0716	1	R for violence/gore.
0717	1	PG-13 for fantasy action violence.
0718	1	Not Rated
0719	1	R for some sexuality, drug content, violence and langauge.
0720	1	R for language and some sexual content.
0721	1	PG-13 for crude and sexual humor, language, and thematic material.
0722	1	R for strong violence, language and some sexuality/nudity.
0723	1	R for nonstop crude and sexual humor, pervasive strong language, and drug content.
0724	1	R for violence.
0725	1	Not Rated
0726	1	PG-13 for violence.
0727	1	R for some violence, sexuality and language.
0728	1	PG-13 for violence, sexual content, and language.
0729	1	PG for crude humor, language and comic violence.
0730	1	R for strong sexual content, crude humor and language.
0731	1	PG-13
0732	1	R for language.
0733	1	R for language.
0734	1	R for strong violent content and language.
0735	1	PG for thematic material, mild sensuality and language.
0736	1	R for strong violence, language, sexuality and drug content.
0737	1	Not Rated
0738	1	R
0739	1	Not Rated
0740	1	R for sexuality, language, and drug content.
0741	1	R for language and drug content.
0742	1	R for language and some violent images.
0743	1	PG-13 for pervasive adventure violence and some partial nudity.
0744	1	R for violence, sexuality and language.
0745	1	Not Rated
0746	1	R for sexuality/nudity and language.
0747	1	PG-13 for sexual content.
0748	1	R for language and some sexuality.
0749	1	R
0750	1	PG-13 for images of violence and gore.
0751	1	NONE
0752	1	R for violence, sexuality, and language.
0753	1	Not Rated
0754	1	PG-13 for sex-related content including dialogue.
0755	1	Not Rated
0756	1	R for language and some strong sexuality.
0757	1	Not Rated
0758	1	PG-13 for language and sex-related material.
0759	1	Not Rated
0760	1	PG 13 for adventure violence/swordplay and some sensuality.
0761	1	PG-13 for some sensuality and thematic elements.
0762	1	R for language.
0763	1	R for language and some drug content.
0764	1	R for violence, a scene of strong sexuality, language and drug use.
0765	1	PG-13 for language and sexual content.
0766	1	PG 13 for intense epic battle sequences and frightening images.
0767	1	R for language and sexuality.
0768	1	R for strong sexual images and language.
0769	1	R for language and brief strong violence.
0770	1	R
0771	1	R
0772	1	R for language and sexuality.
0773	1	R for sexual content and language.
0774	1	R for strong language.
0775	1	R for disturbing violent images, language, sexual content and some drug use.
0776	1	R for strong language.
0777	1	Not Rated
0778	1	NONE
0779	1	PG for language and some violence.
0780	1	PG 13 for language, sexual/crude humor and battle violence.
0781	1	R for language including sexual dialogue.
0782	1	PG-13 for sci-fi action violence and some provocative humor.
0783	1	PG 13 for intense sequences of action violence and some sensuality.
0784	1	PG-13 for violence and thematic elements.
0785	1	PG for mild peril.
0786	1	R for strong pervasive violence, language, some drug use and sexual content.
0787	1	G
0788	1	R for sci-fi violence and some sexuality.
0789	1	R for strong violence/gore, sexuality, language and drug content.
0790	1	PG-13 for intense sequences of violent action, some sensuality and language.
0791	1	R for some language.
0792	1	R for language and violence.
0793	1	R
0794	1	PG for language and some crude humor.
0795	1	PG-13 for thematic material, violence and some sexual content.
0796	1	R for strong crude sexual content and humor, language and some drug content.
0797	1	R for language and some sexual content.
0798	1	R for language, some violence and sexuality.
0799	1	PG-13 for violence, brief sexuality and language.
0800	1	R for disturbing sexual violence, some shootings and strong language.
0801	1	R
0802	1	PG 13 for epic battle sequences and some scary images.
0803	1	PG-13 for brief nudity.
0804	1	R for language, some violence and nudity.
0805	1	Not Rated
0806	1	R for violence.
0807	1	PG-13 for some sexual content and thematic elements.
0808	1	R for strong brutal violence and language.
0809	1	R for sexual content.
0810	1	Not Rated
0811	1	R for intense, realistic, graphic war violence, and for language.
0812	1	G
0813	1	NONE
0814	1	R for sexuality/nudity.
0815	1	PG-13 for language, crude and sexual humor, and substance abuse.
0816	1	PG
0817	1	PG-13 for violence and images of destruction.
0818	1	R for violence, language and some sexuality.
0819	1	R for some language and brief sexuality.
0820	1	PG-13 for terror, some sexuality and language.
0821	1	PG-13 for some violence and a scene of sexuality.
0822	1	G
0823	1	R for language and nudity.
0824	1	PG-13 for language.
0825	1	R for strong violence and some language.
0826	1	R for language, sexual content and drug use.
0827	1	Not Rated
0828	1	R for sexuality/nudity and some language.
0829	1	PG-13 for brief strong language.
0830	1	Not Rated
0831	1	PG for thematic elements, language and some sensual material.
0832	1	R for strong violence, pervasive language and brief sexuality.
0833	1	R for sexuality and language.
0834	1	R for language, some violence and sexuality.
0835	1	R for sexuality and some language.
0836	1	PG-13 for some frightening moments.
0837	1	R for language and sexual references.
0838	1	PG-13 for action violence, language and some drug content.
0839	1	Not Rated
0840	1	PG-13 for for action/violence and some sensuality.
0841	1	PG-13 for for some sexual content and brief language.
0842	1	Not Rated
0843	1	PG-13 for language, violence, some sensuality and drug material.
0844	1	R for strong language, sexuality, some violence and drug use.
0845	1	PG-13 for some sensuality and brief strong language.
0846	1	PG-13 for violence, sexuality and language.
0847	1	G for General Audiences.
0848	1	Not Rated
0849	1	R for sexual content and language.
0850	1	R for strong language, sexual content and crude humor.
0851	1	R for strong violence, pervasive language, drug content and some sexuality.
0852	1	R for language and some violence.
0853	1	R for language and some sexuality.
0854	1	PG-13 for mature thematic elements, language, and brief sensuality.
0855	1	G
0856	1	PG for brief mild language.
0857	1	PG-13 for innuendo and language.
0858	1	R for language and sexual content.
0859	1	R for language, sexuality and drug content.
0860	1	R for violence, language and brief sexuality.
0861	1	R for for language and some violence.
0862	1	PG for brief language.
0863	1	R for for strong violence and language.
0864	1	R for language and some sexuality/nudity.
0865	1	PG-13 for some language, sexual references.
0866	1	Not Rated
0867	1	R for language, some sexual content and drug use.
0868	1	PG for action violence and mild language.
0869	1	R for strong violence.
0870	1	R for violence and language.
0871	1	R for language, violence and some sexual content.
0872	1	PG-13 for mature thematic elements, some disturbing images and brief language.
0873	1	PG-13 for sci-fi life/death situations and brief strong language.
0874	1	PG-13 for mature thematic elements, sexual content, disturbing images and language.
0875	1	Not Rated
0876	1	R for language, drug use and some violence.
0877	1	PG-13 for sensuality.
0878	1	R for scenes of sex, violence and drug use.
0879	1	PG for mild sensuality.
0880	1	R
0881	1	R for some sexual dialogue.
0882	1	None
0883	1	R for strong sexual content including graphic dialogue, and for language.
0884	1	R for sci-fi violence and brief sexual content.
0885	1	R for strong language and some violence.
0886	1	R for for strong violence and gore, language and nudity.
0887	1	R for strong language, sexuality and drug use.
0888	1	R for strong sexuality, nudity, language, some drug use and violence.
0889	1	R for pervasive language, strong sexual content and some violence.
0890	1	R for language, war-related violence.
0891	1	PG 13 for violence, some images of nudity, sexual references.
0892	1	PG for thematic elements, language and brief partial nudity.
0893	1	PG-13 for violence/terror, some sexuality and substance abuse.
0894	1	PG for quirky situations, action and mild language.
0895	1	R for some violence.
0896	1	R for violence and sexuality.
0897	1	R for pervasive violence and a sexual conversation.
0898	1	PG-13 for sensuality.
0899	1	R for violence, language, sexual content.
0900	1	R for language, sexuality, drug content and some violence.
0901	1	R for strong violence and gore, disturbing images and rituals, and for language including some sexual dialogue.
0902	1	PG-13 for mature thematic elements, sexual content, brief violence and language.
0903	1	PG-13 for some sexual content.
0904	1	PG-13 for for crude and sex-related humor, drug content and language.
0905	1	PG 13 for sci-fi action violence and frightening images.
0906	1	G for General Audiences.
0907	1	R for violence.
0908	1	PG-13 for for action, violence and some double entendre.
0909	1	R for sexual situations and one scene of violence.
0910	1	PG-13 for some sex related material.
0911	1	PG-13 for Sexual content, language and brief violence.
0912	1	R for violence, language, brief sexuality/nudity.
0913	1	R for language.
0914	1	PG for comic nudity, crude humor, language.
0915	1	PG for mild language, crude humor and some thematic elements.
0916	1	R for strong war violence, brutality, language.
0917	1	PG for mild language and some crude humor.
0918	1	PG-13 for crude and sexual humor, language, drug reference.
0919	1	PG-13 for mature subject matter and some sexual content.
0920	1	PG for some scary moments.
0921	1	R for some strong sexual content, nudity and language.
0922	1	PG-13 for for some sensuality and a conversation about drugs.
0923	1	R for language, drug use, brief sexual images.
0924	1	R for pervasive strong violence and gore, language, brief sexuality and some drug use.
0925	1	PG-13 for sequences of action violence, sexual content, nudity and language.
0926	1	R
0927	1	PG-13 for action violence.
0928	1	R for strong horror violence/gore, sexual content and language.
0929	1	PG-13 for action violence.
0930	1	PG for some mild language and crude humor.
0931	1	PG for for adventure action, some mild sensuality and brief language.
0932	1	R for language and violence.
0933	1	PG-13 for drug content, sexual material and language.
0934	0	<NULL>
0935	1	PG 13 for sci-fi violence and some intense images.
0936	1	R for strong violence including disturbing images, language and some sexuality.
0937	1	R for nudity, sexual content and some language.
0938	1	Not Rated
0939	1	PG-13 for suggestive humor, language, some drug references and action violence.
0940	1	PG-13 for intense battle sequences and brief language.
0941	1	PG-13 for creature action violence and frightening images, sensuality.
0942	1	R for violence, sexuality/nudity, and brief language.
0943	1	R for for a scene of drug use and some sexual references.
0944	1	G for General Audiences.
0945	1	PG for sequences of violence/peril and action, language and a couple of suggestive moments.
0946	1	PG for action violence, scary images.
0947	1	Not Rated
0948	1	R for violence, gore, and language.
0949	1	PG-13 for sexuality, thematic elements and some language.
0950	1	PG for mild language, innuendo.
0951	1	G
0952	1	R for language, gore, sexuality, drug use.
0953	1	PG-13 for language, sexual content.
0954	1	R for for violence and brief nudity.
0955	1	PG 13 for thematic elements, sexual content, nudity, language and crash sequence.
0956	1	R for violence and brief strong language.
0957	1	R for violence/gore, language, drug content.
0958	1	PG 13 for frightening sequences of violence and disturbing images.
0959	1	PG for mild thematic elements, some adventure action and brief language.
0960	1	PG-13 for terror/violence, some sexual content and language.
0961	1	Not Rated
0962	1	PG-13 for sex-related humor.
0963	0	<NULL>
0964	1	PG for some scary action, rude humor and language.
0965	1	R for sexuality, nudity.
0966	1	Not Rated
0967	1	R for sexual content and language.
0968	1	G for General Audiences.
0969	1	PG for mild thematic elements and brief language.
0970	1	PG for mild thematic elements and brief language.
0971	0	<NULL>
0972	1	R for language.
0973	1	PG for for mild sensuality and language.
0974	1	PG 13 for action violence and some sensuality.
