movie	amctv	director
0089	1	Reed
0090	1	Carpenter
0091	1	Anderson
0092	1	Heckerling
0093	1	Campion
0094	1	J. Schaffner
0095	1	Hamilton
0096	1	Donaldson
0097	1	Gilbert
0098	1	Glen
0099	1	Hamilton
0100	1	Deutch
0101	1	Cassavetes
0102	1	Lean
0103	1	Preminger
0104	1	Kazan
0105	1	Hyams
0106	1	Tarkovsky
0107	1	Cimino
0108	1	Malick
0109	1	Lang
0110	1	Buñuel
0111	1	Polanski
0112	1	Bergman
0113	1	Cukor
0114	1	Lee
0115	1	Stevens
0116	1	Allen
0117	1	Ashby
0118	1	Malle
0119	1	Ford Coppola
0120	1	Malle
0121	1	Gaup
0122	1	L. Brooks
0123	1	Forman
0124	1	Wise
0125	1	Lin
0126	1	Carroll
0127	1	Kirtman
0128	1	Cameron
0129	1	de Bont
0130	1	Cameron
0131	1	Girdler
0132	1	De Palma
0133	1	Helgeland
0134	1	Landis
0135	1	Scorsese
0136	1	Scorsese
0137	1	-Jacques Annaud
0138	1	Frears
0139	1	De Palma
0140	1	Huston
0141	1	Walsh
0142	1	Huston
0143	1	Lumet
0144	1	Yates
0145	1	Soderbergh
0146	1	Schlesinger
0147	1	McBride
0148	1	Walsh
0149	1	Kleiser
0150	1	Wise
0151	1	J. Pakula
0152	1	Cates
0153	1	Benton
0154	1	Jewison
0155	1	Zinnemann
0156	1	Allen
0157	1	Benton
0158	1	Pollack
0159	1	Zemeckis
0160	1	Reiner
0161	1	Reitman
0162	1	Stillman
0163	1	Coolidge
0164	1	Arkush
0165	1	Landis
0166	1	Itami
0167	1	Rash
0168	1	Byrum
0169	1	Michael Paul
0170	1	Anderson
0171	1	Hughes
0172	1	Spielberg
0173	1	Sears
0174	1	Couturie
0175	1	Yates
0176	1	Allen
0177	1	Allen
0178	1	Weir
0179	1	Stone
0180	1	Mamet
0181	1	Verhoeven
0182	1	McTiernan
0183	1	Kaplan
0184	1	Scorsese
0185	1	Soderbergh
0186	1	Frears
0187	1	Kaufman
0188	1	Mazursky
0189	1	Greenaway
0190	1	DeVito
0191	1	Altman
0192	1	Stone
0193	1	Levinson
0194	1	Linklater
0195	1	Kasdan
0196	1	Burnett
0197	1	Huston
0198	1	Allen
0199	1	Tarantino
0200	1	Tarantino
0201	1	Zwick
0202	1	Malick
0203	1	Meyers
0204	1	Howard
0205	1	Ashby
0206	1	Ritt
0207	1	J. Furie
0208	2	Friedman	Epstein
0209	1	Unkrich
0210	2	Lasseter	Stanton
0211	1	Bird
0212	2	Park	Lord
0213	1	Spielberg
0214	1	Caton-Jones
0215	1	Donner
0216	1	Parker
0217	1	Zucker
0218	1	Medak
0219	1	LaLoggia
0220	1	Baird
0221	1	B. Woods
0222	1	Wachowski
0223	1	Spielberg
0224	1	Besson
0225	1	Proyas
0226	1	Bigelow
0227	1	Amenábar
0228	1	Lee
0229	1	Coppola
0230	1	Kelly
0231	1	Egoyan
0232	1	Hark
0233	1	Cameron
0234	1	Ballard
0235	1	Tamahori
0236	1	Demme
0237	1	Demme
0238	1	Schnabel
0239	1	Schrader
0240	1	McCarey
0241	1	Jackson
0242	1	Gilbert
0243	1	Reiner
0244	1	MacKendrick
0245	1	Nolan
0246	1	Snyder
0247	1	Shelton
0248	1	Hood
0249	1	Petersen
0250	2	Oz	Henson
0251	1	Scott
0252	1	Howard
0253	1	Lee
0254	1	Chaffey
0255	1	Newell
0256	1	Pimental
0257	1	Sebast
0258	1	Lima
0259	0	<NULL>
0260	1	Coen
0261	1	Lee Jones
0262	1	Siegel
0263	1	Raimi
0264	1	Hill
0265	2	Mackay	Krevoy
0266	3	Asbury	Vernon	Adamson
0267	1	Miyazaki
0268	1	Howard
0269	2	Miller	Lord
0270	2	Saldanha	Wedge
0271	1	Badham
0272	1	Tsirbas
0273	1	Lynch
0274	1	Lucas
0275	1	Tamahori
0276	1	Forster
0277	1	.J. Abrams
0278	1	Farrelly
0279	1	Oz
0280	1	Weitz
0281	1	Edwards
0282	2	Wierzbianski	Kent
0283	1	Soderbergh
0284	1	Maté
0285	1	L. Mankiewicz
0286	1	.J. Caruso
0287	1	Lynch
0288	1	Gilliam
0289	1	DeVito
0290	1	Donner
0291	1	Roeg
0292	1	Ray
0293	1	Meirelles
0294	1	Nair
0295	1	Holland
0296	1	Thomas Anderson
0297	1	Brooks
0298	1	Forster
0299	1	August
0300	1	Zemeckis
0301	1	Schatzberg
0302	1	Perrin
0303	1	Uys
0304	1	Linklater
0305	1	Zwigoff
0306	1	Tucker
0307	1	Wenders
0308	1	Almodóvar
0309	1	Egoyan
0310	1	Egoyan
0311	1	Stevens
0312	1	Scorsese
0313	1	Frears
0314	1	Moore
0315	1	Davis
0316	1	Rosenthal
0317	1	Edel
0318	2	O'Grady	Allison
0319	1	Preminger
0320	1	Fleming
0321	1	Stuart
0322	1	Seaton
0323	1	Erman
0324	1	Lang
0325	1	Cohen
0326	1	Chaplin
0327	1	Yimou
0328	1	Hardy
0329	1	Bellamy
0330	1	Ford
0331	1	Frankenheimer
0332	8	Wright	Roberts	Armstrong	Satterfield	Pearce	Heid	Hand	Algar
0333	1	Jackson
0334	1	Lang
0335	1	Ford
0336	1	.S. Van Dyke
0337	6	Algar	Glebas	Hunt	Goldberg	Butoy	Brizzi
0338	2	Dunning	Emery
0339	1	.S. Van Dyke
0340	1	Allen
0341	1	Kotcheff
0342	1	Wilder
0343	1	-Georges Clouzot
0344	1	Polanski
0345	1	Lester
0346	1	Nichols
0347	1	Jordan
0348	1	Kieslowski
0349	1	Altman
0350	1	Lubitsch
0351	1	Brown
0352	1	Ivory
0353	1	Craven
0354	1	Donner
0355	1	Wyler
0356	1	Brooks
0357	1	Band
0358	1	Coen
0359	1	Apted
0360	1	Fuller
0361	1	Gaghan
0362	3	Hark	Lam	To
0363	1	Walsh
0364	1	Clavell
0365	1	Goldstone
0366	1	Hartford-Davis
0367	2	Garnett	D. Keen
0368	1	Jarrold
0369	1	Peckinpah
0370	1	Coen
0371	1	Demme
0372	1	Becker
0373	1	de Concini
0374	1	Cukor
0375	1	Ballard
0376	1	August
0377	1	Miller
0378	1	Schlesinger
0379	1	E. Green
0380	1	Rash
0381	6	Disney	Roberts	Kinney	Ferguson	Young	Geronimi
0382	1	Stevenson
0383	1	Carné
0384	2	Drake	Reitman
0385	1	Steers
0386	1	Rose
0387	1	Mazursky
0388	1	Altman
0389	1	Weir
0390	1	Kusturica
0391	1	Burton
0392	1	Wellman
0393	1	Peckinpah
0394	1	Petersen
0395	1	Loach
0396	1	Gilbert
0397	1	McTiernan
0398	1	J. Schaffner
0399	1	Garnett
0400	1	Ross
0401	1	Reitman
0402	1	Ross
0403	1	Petrie
0404	1	Roy Hill
0405	1	Pollack
0406	1	Ray
0407	1	Haynes
0408	1	Jaglom
0409	1	Schepisi
0410	1	Bertolucci
0411	1	Wajda
0412	1	Malle
0413	1	Hallström
0414	1	Henry Kass
0415	1	Lloyd
0416	1	Waters
0417	1	Trumbull
0418	1	Dekker
0419	1	Nimoy
0420	1	Meyer
0421	1	Badham
0422	1	Brooks
0423	1	Rich
0424	1	Tennant
0425	1	Cukor
0426	1	Woo Ping
0427	1	Young
0428	1	Chaplin
0429	1	Zinnemann
0430	1	Kennedy
0431	3	Ford	Marshall	Hathaway
0432	1	Robson
0433	1	Hardy
0434	1	Zwigoff
0435	1	Kuenne
0436	1	Mekas
0437	1	Dahl
0438	1	Dmytryk
0439	1	Minnelli
0440	1	Wexler
0441	1	Frankenheimer
0442	1	Petrie
0443	1	Edwards
0444	1	Fellini
0445	1	Gaup
0446	1	Herman
0447	1	Wise
0448	1	Leigh
0449	1	Ashby
0450	1	Ivory
0451	1	Sarafian
0452	1	G. Avildsen
0453	1	Mazursky
0454	1	B. Ray
0455	1	J. Emery
0456	1	McTiernan
0457	1	Ritt
0458	1	S. Dutton
0459	1	Winkler
0460	1	Shelton
0461	1	Bowers
0462	1	Clark
0463	1	Donner
0464	1	Reynolds
0465	1	Siegel
0466	1	Marquand
0467	1	Bertolucci
0468	1	de Bont
0469	1	Hunter
0470	1	Rodriguez
0471	1	Bigelow
0472	1	Rosen
0473	2	von Trotta	Schlöndorff
0474	1	Peter Blatty
0475	1	Badham
0476	1	Boorman
0477	1	Fleischer
0478	1	Girod
0479	1	Thomas
0480	1	Shea
0481	1	Otomo
0482	1	Raimi
0483	1	Holland
0484	1	Raimi
0485	1	Herzog
0486	1	Besson
0487	1	Walton
0488	1	Polanski
0489	1	Dahan
0490	1	Gove
0491	1	Moodysson
0492	1	Massaro
0493	1	Bianchi
0494	1	Jiti Gill
0495	1	Schumacher
0496	1	Oz
0497	1	Oz
0498	1	Werner
0499	1	Helgeland
0500	1	Helgeland
0501	1	Arkless
0502	1	Rosenberg
0503	1	Weir
0504	1	Berri
0505	1	Beresford
0506	1	Besson
0507	1	Hawks
0508	1	Nelson
0509	1	V. McLaglen
0510	1	Mandel
0511	1	Johnson
0512	1	Robbins
0513	1	Sluizer
0514	1	Singer
0515	1	-Gavras
0516	1	Ford Coppola
0517	1	Palcy
0518	2	Rosenberg	Bechard
0519	1	Peerce
0520	1	Sayles
0521	1	Richert
0522	1	Russell
0523	1	Malick
0524	1	Newman
0525	1	Medak
0526	1	Zinnemann
0527	1	Tillman, Jr.
0528	1	Amaral
0529	1	Tancharoen
0530	1	Mann
0531	1	Curtiz
0532	1	Robson
0533	1	Walsh
0534	1	Irving
0535	1	Redford
0536	1	Benton
0537	1	Bogdanovich
0538	1	Yimou
0539	1	Caton-Jones
0540	1	Hitchcock
0541	1	Benton
0542	1	Rudolph
0543	1	Cassavetes
0544	1	Kaige
0545	1	Ritt
0546	2	Clements	Musker
0547	1	Reitherman
0548	1	Haskin
0549	1	Chadha
0550	1	Varda
0551	1	Z. McLeod
0552	1	Minghella
0553	1	del Toro
0554	1	Weill
0555	1	Heckerling
0556	1	Ritchie
0557	1	Van Sant
0558	1	Sollett
0559	1	Seltzer
0560	1	Landis
0561	1	Ramis
0562	1	Moore
0563	1	Kurosawa
0564	1	Benjamin
0565	2	Murray	Franklin
0566	1	Ivory
0567	1	Gilbert
0568	1	Terrero
0569	1	Schatzberg
0570	1	Gibson
0571	1	.W. Goodwin
0572	1	Rowe
0573	1	Kubrick
0574	1	Levinson
0575	1	De Palma
0576	1	Dante
0577	2	McGrath	Malkasian
0578	1	Dante
0579	1	Cronenberg
0580	1	Mostow
0581	1	Bernstein
0582	2	Kaufman	Herz
0583	1	Koller
0584	1	Brest
0585	1	Young
0586	1	Lester
0587	1	Malle
0588	1	Scott
0589	1	Dmytryk
0590	1	-Jacques Beineix
0591	1	J. Pakula
0592	1	Woo
0593	1	Schepisi
0594	1	Farrelly
0595	1	Ashby
0596	1	Mulligan
0597	1	Nussbaum
0598	1	Wadleigh
0599	2	Maysles	Mitchell Zwerin
0600	1	Savoca
0601	1	Care
0602	1	Mangold
0603	1	Kurys
0604	1	Leigh
0605	1	Schroeder
0606	1	Branagh
0607	1	Liman
0608	1	-Luc Godard
0609	1	Ritt
0610	1	Micklin Silver
0611	1	N. Mele
0612	1	Wrye
0613	1	Soderbergh
0614	1	Thomas Anderson
0615	1	Scott
0616	1	Cuarón
0617	1	Lee
0618	1	Ferrara
0619	1	Sheridan
0620	1	Jarman
0621	1	Marton
0622	1	Eastwood
0623	1	Roberts
0624	1	O'Connor
0625	1	Hughes
0626	1	Bharadwaj
0627	1	Francis
0628	1	Hoffman
0629	1	Linklater
0630	1	Singleton
0631	1	Ross
0632	1	Carpenter
0633	1	Ritt
0634	1	Reiner
0635	1	Farrelly
0636	1	Spielberg
0637	1	Bird
0638	1	Fleder
0639	1	Rappaport
0640	1	Mauceri
0641	1	Campion
0642	1	J. Pakula
0643	1	Slesin
0644	1	Saldanha
0645	1	Levinson
0646	0	<NULL>
0647	1	Rodriguez
0648	1	Singer
0649	1	Reitman
0650	2	J. Smith	Hickner
0651	2	Park	Box
0652	1	Johnston
0653	1	Faiman
0654	2	Bosher	Bedford
0655	1	Scott
0656	1	Miller
0657	1	. Night Shyamalan
0658	1	Marsh
0659	1	Gordon Green
0660	1	Schlesinger
0661	1	Tolkin
0662	1	Aaron
0663	1	Fulci
0664	1	Siegel
0665	1	Norrington
0666	1	Keighley
0667	1	Walsh
0668	1	Hitchcock
0669	1	Cronenberg
0670	1	Linklater
0671	1	Spielberg
0672	1	Crichton
0673	1	Winterbottom
0674	1	Rosi
0675	1	Besson
0676	2	Takei	Watanabe
0677	1	A. Romero
0678	1	Frankenheimer
0679	1	De Palma
0680	1	Cronenberg
0681	1	Hill
0682	1	Nichols
0683	1	Huang
0684	1	Higgins
0685	1	Gordon Green
0686	1	Ross
0687	1	Jackson
0688	1	Solondz
0689	1	Woo
0690	1	Bergman
0691	1	Wood
0692	1	Petersen
0693	1	Wright
0694	1	Ballard
0695	1	Tolkin
0696	1	Almodóvar
0697	1	Szabó
0698	1	Donen
0699	1	Babenco
0700	1	Kopple
0701	1	Guest
0702	1	Jarmusch
0703	1	Petrie
0704	1	Crowe
0705	1	Hanson
0706	1	Kraume
0707	1	Bezucha
0708	1	Zucker
0709	1	Montgomery
0710	2	Timm	Radomski
0711	1	Vaughn
0712	1	. Night Shyamalan
0713	1	Berg
0714	1	Matthies
0715	1	L. Lester
0716	1	J. Burke
0717	1	Sanzel
0718	1	Pasdar
0719	1	Story
0720	1	f
0721	1	Beatty
0722	1	Miyazaki
0723	1	Milius
0724	1	Logan
0725	1	Johnston
0726	1	Chan
0727	1	Affleck
0728	0	<NULL>
0729	1	Young
0730	1	Cronenberg
0731	1	De Niro
0732	1	Campbell
0733	1	Cozzi
0734	1	Hessler
0735	2	Rankin, Jr.	Bass
0736	1	Sommers
0737	1	Weinstein
0738	2	Walker	Blaise
0739	2	Smith	Kammerud
0740	2	McGrath	Darnell
0741	2	Saldanha	Wedge
0742	2	Rothkirch	de Rycker
0743	1	Bluth
0744	1	Bluth
0745	5	Reitherman	Bluth	Stevens	Lounsbery	Kahl
0746	1	Wells
0747	1	McCarthy
0748	1	Rudolph
0749	1	Allen Smith
0750	0	<NULL>
0751	1	Arriaga
0752	1	Lee Davis
0753	1	Hynes
0754	1	Manduke
0755	1	Miller
0756	1	Dahl
0757	1	Menendez
0758	1	Franklin
0759	1	Mackay
0760	1	Soderbergh
0761	3	Letterman	Jenson	Bergeron
0762	2	Clements	Musker
0763	3	Jackson	Luske	Geronimi
0764	1	Miyazaki
0765	1	Beresford
0766	1	Rydell
0767	1	Izumi
0768	0	<NULL>
0769	1	Arkush
0770	3	Reitherman	Luske	Geronimi
0771	2	DeBlois	Sanders
0772	1	Petersen
0773	1	Acker
0774	0	<NULL>
0775	1	Lucas
0776	1	Newman
0777	1	Adamson
0778	2	Goldman	Bluth
0779	1	Apted
0780	1	Woo
0781	1	Scott
0782	1	Hill
0783	1	Lam
0784	1	Fuqua
0785	1	Liman
0786	2	Jimenez	Steinberg
0787	1	Marshall
0788	1	Molinaro
0789	1	Henson
0790	1	.B. Rogers
0791	1	Beshears
0792	1	Schaffer
0793	1	Sindell
0794	1	Apatow
0795	1	Segal
0796	1	Kumble
0797	1	Edwards
0798	1	Derek
0799	1	Holofcener
0800	1	Maguire
0801	1	Smith
0802	1	LaBute
0803	1	Herman-Wurmfeld
0804	1	Goldthwait
0805	1	Dannelly
0806	1	Breiman
0807	1	Wolodarsky
0808	1	MacKenzie
0809	1	Glazer
0810	1	Mann
0811	1	Foster
0812	1	Ruspoli
0813	1	Melendez
0814	1	Newell
0815	1	Berliner
0816	1	Sonnenfeld
0817	1	Roeg
0818	1	Smith
0819	1	Mandoki
0820	1	Nair
0821	1	Lee
0822	1	Chadha
0823	1	Barbash
0824	1	Thompson
0825	1	De Sica
0826	1	Blake Nelson
0827	1	Hartley
0828	1	Coen
0829	1	Mackenzie
0830	1	Pollack
0831	1	Pollack
0832	1	Kapur
0833	1	Quine
0834	1	Flaherty
0835	1	Roeg
0836	1	Yosha
0837	1	Lee
0838	1	Winterbottom
0839	2	Kaplan	Elfont
0840	1	Cronenberg
0841	1	Herzog
0842	2	Kauffman	Briski
0843	1	Gast
0844	2	Byatt	Fothergill
0845	1	Irving
0846	1	Uys
0847	1	Lewis
0848	1	Hata
0849	1	Wenders
0850	1	Gilroy
0851	1	Canosa
0852	1	Rohmer
0853	1	Landis
0854	1	Haynes
0855	1	Rafelson
0856	1	Brooks
0857	1	Stiller
0858	1	Lahti
0859	1	Potter
0860	1	Lynch
0861	0	<NULL>
0862	1	Almodóvar
0863	1	Rocco
0864	1	Lawrence
0865	1	Figgis
0866	1	Katselas
0867	1	Anders
0868	1	Carver
0869	1	.J. Castellaneta
0870	1	Miller
0871	1	Reygadas
0872	1	Sayles
0873	1	Shelly
0874	1	Kirkman
0875	1	Creadon
0876	1	Cockburn
0877	1	Ferguson
0878	1	Trent
0879	1	Wilson
0880	1	Trenchard-Smith
0881	1	Zagdansky
0882	1	Russell
0883	1	Miller
0884	3	Kinney	Algar	Geronimi
0885	2	Friedgen	J. Sheridan
0886	1	Stuart
0887	1	Zemeckis
0888	1	Clark
0889	1	Ferreri
0890	1	Rivers
0891	1	Duke
0892	1	Ferrara
0893	1	Read Johnson
0894	1	Howley
0895	1	Bakshi
0896	1	Askin
0897	1	Bogdanovich
0898	2	Morgen	Burstein
0899	1	Robbins
0900	1	Hytner
0901	1	von Trier
0902	1	S. Chechik
0903	1	Kar-Wai
0904	1	Siegel
0905	1	Demme
0906	1	Benigni
0907	1	Noonan
0908	1	Borsos
0909	2	Vidor	J. Brabin
0910	1	Oshima
0911	1	Marshall
0912	1	Kotcheff
0913	1	Ford Coppola
0914	1	Cukor
0915	1	Ford
0916	1	Heerman
0917	1	Mitterrand
0918	1	McBride
0919	1	Scorsese
0920	1	Lang
0921	1	Hurwitz
0922	1	Egleson
0923	1	O'Neil
0924	1	Resnais
0925	1	Hill
0926	1	Minnelli
0927	1	Almodóvar
0928	1	Kieslowski
0929	1	Pitt
0930	1	Dwan
0931	1	Zombie
0932	1	Zagarino
0933	1	Mangold
0934	1	Payne
0935	1	Craven
0936	1	Moore
0937	1	Jordan
0938	1	Mann
0939	1	Pialat
0940	1	Gordon
0941	1	Gyllenhaal
0942	1	Stone
0943	1	Meyer
0944	1	Leone
0945	2	Mudd	Florio
0946	1	Eyres
0947	1	Berg
0948	1	George
0949	1	Antonijevic
0950	1	Bodrov
0951	1	Winterbottom
0952	3	O. Russell	Regan	Carlos
0953	1	Raker Endfield
0954	1	Donaldson
0955	1	Zanussi
0956	1	Huston
0957	1	Cuarón
0958	1	Medak
0959	1	Becker
0960	1	Buscemi
0961	1	Rohmer
0962	1	Rohmer
0963	1	Rohmer
0964	1	Arcand
0965	1	Russell
0966	1	Bellocchio
0967	1	H. Griffith
0968	1	Wincer
0969	1	Ballard
0970	1	Axel
0971	1	Minkoff
0972	2	Solt	Leo
0973	2	Adidge	Abel
0974	1	Minnelli
0975	1	Mann
0976	1	.C. Potter
0977	1	Mayfield
0978	1	Malle
0979	1	McCullers
0980	1	Jasenovec
0981	1	Blitz
0982	1	Hallström
0983	1	Nicks
0984	1	Thomas Anderson
0985	1	Hannam
0986	1	Butler
0987	1	Fleischer
0988	2	Miller	Ogilvie
0989	1	Wells
0990	1	Mazo
0991	1	Yuen
0992	1	Donaldson
0993	1	Eastwood
0994	1	-Gavras
0995	1	Thorpe
0996	1	Roddam
0997	1	Demme
0998	1	Ritt
0999	1	Clouse
1000	1	Hussein
1001	1	Neame
1002	1	Ashby
1003	1	Davies
1004	1	Deutch
1005	1	Eastwood
1006	1	W. Horne
1007	1	Ritchie
1008	1	Truffaut
1009	1	Tso-chi
1010	1	Almereyda
1011	1	Barker
1012	1	Morrison
1013	1	Reynolds
1014	1	Wenders
1015	1	Coolidge
1016	1	Truffaut
1017	1	Hoffman
1018	1	Tornatore
1019	1	Shankman
1020	1	Carruth
1021	1	McCullough Sr.
1022	1	H. Winkless
1023	1	Kaufman
1024	1	Imamura
1025	2	Goldman	Bluth
1026	1	Yukol
1027	1	O. Sajbel
1028	1	Woo Ping
1029	1	Walsh
1030	1	Kramer
1031	1	A. Fraker
1032	1	O'Steen
1033	1	Eastwood
1034	1	Johnson
1035	2	Carreras	Holt
1036	1	Newbrook
1037	2	Sykes	Kirsh
1038	1	Moore
1039	1	Nesher
1040	1	Wise
1041	1	LaBute
1042	1	Puenzo
1043	1	Dews
1044	1	Berg
1045	1	Bakshi
1046	1	Sanders
1047	2	Grady	Ewing
1048	1	Rydell
1049	1	Shyer
1050	1	Marshall
1051	1	James
1052	1	Kiarostami
1053	1	Hemmings
1054	1	Taylor
1055	1	Russell
1056	1	Benner
1057	1	Yorkin
1058	1	Imamura
1059	1	Sidney
1060	1	Forman
1061	1	Annakin
1062	1	Lambert
1063	1	Porter
1064	1	Roos
1065	2	Tucci	Scott
1066	1	Madden
1067	1	Newell
1068	1	Zwart
1069	1	Petri
1070	1	Burton
1071	1	J. Emery
1072	1	J. Emery
1073	1	Eastwood
1074	0	<NULL>
1075	1	Capolicchio
1076	1	Roth
1077	1	Erman
1078	1	Coninx
1079	3	Poelvoorde	Bonzel	Belvaux
1080	1	Carpenter
1081	1	Rudolph
1082	1	Rudolph
1083	1	Huston
1084	1	Shelton
1085	1	Spottiswoode
1086	1	Bava
1087	1	Clark
1088	1	Fruet
1089	1	De Palma
1090	1	Kelly
1091	1	Luhrmann
1092	1	Ross
1093	1	Burton
1094	1	Wise
1095	1	Lester
1096	2	Zucker	Abrahams
1097	1	N. Green
1098	1	Leterrier
1099	1	Vila
1100	1	McTiernan
1101	1	Hopkins
1102	1	Subiela
1103	1	Layton
1104	1	Condon
1105	1	Forman
1106	2	Hickenlooper	Bahr
1107	1	Tavernier
1108	1	Schrader
1109	1	Harlin
1110	1	Vignale
1111	1	Gillard
1112	1	Zieff
1113	1	Medak
1114	1	Van Peebles
1115	1	Gutiérrez Aragón
1116	2	Wise	Von Fritsch
1117	1	Taviani
1118	1	Moretti
1119	1	L. Lester
1120	1	Stein
1121	1	Ferranti
1122	1	Haft
1123	1	Wise
1124	1	Craven
1125	1	McKee
1126	1	Findlay
1127	1	Cohen
1128	1	Gordon
1129	1	Duke
1130	1	Irvin
1131	1	Hiller
1132	1	Herek
1133	1	Bourla
1134	2	McCalmont	Thomas Jones
1135	1	Henson
1136	2	Takamoto	A. Nichols
1137	1	Hyams
1138	1	Kassovitz
1139	1	Schroeder
1140	2	Meyer	McBride
1141	1	Amenábar
1142	1	Bindley
1143	1	Segal
1144	1	Skolnick
1145	1	Gosse
1146	1	Nussbaum
1147	1	. Sean Shannon
1148	1	Enrico
1149	1	Scholes
1150	1	Nichols
1151	1	Malle
1152	1	Wright
1153	1	Marshall
1154	1	Reiner
1155	1	R. Dickerson
1156	1	Coraci
1157	1	Landis
1158	1	Sherman
1159	1	Parker
1160	1	Jewison
1161	1	Guédiguian
1162	1	. Gordon Boos
1163	1	Lee
1164	1	Ortega
1165	1	Mankiewicz
1166	1	Fishman
1167	1	Takacs
1168	1	Parks
1169	1	Shah
1170	1	Sato
1171	1	Sautet
1172	1	Cassavetes
1173	1	Schacter
1174	0	<NULL>
1175	1	Parisot
1176	1	Kahn
1177	1	Skjoldbjærg
1178	1	Dante
1179	1	.S. Cardone
1180	1	Birkinshaw
1181	1	D. Gilroy
1182	1	Chan
1183	1	Donaldson
1184	1	Ferreri
1185	1	Sidaris
1186	1	Dante
1187	1	Goren
1188	1	Russell
1189	1	Marshall
1190	1	Pierson
1191	1	Schrader
1192	1	Roemer
1193	1	McCowan
1194	1	Apted
1195	1	Levin
1196	1	Manduke
1197	2	R. Garrity	.S. Cardone
1198	1	Silberg
1199	1	A. Carlson
1200	1	Carter
1201	1	Henzell
1202	1	Smith
1203	1	Martin
1204	1	Hytner
1205	1	B. Harris
1206	1	Wendkos
1207	1	Hathaway
1208	1	Murphy
1209	1	Densham
1210	1	Borzage
1211	1	Cromwell
1212	1	Wertmüller
1213	1	DiCillo
1214	1	Ross
1215	1	Gustaff
1216	1	Field
1217	1	Caton-Jones
1218	1	Alan Aurthur
1219	1	Francis
1220	1	Wagner
1221	1	Rudolph
1222	1	Rydell
1223	1	Bilson
1224	1	Passer
1225	1	Wheat
1226	1	Zhuangzhuang
1227	1	Juran
1228	1	McCowan
1229	1	Trenbirth
1230	1	Brevig
1231	1	Maté
1232	1	Kaufman
1233	1	Lubin
1234	4	Lipscott	Patton	Fisher	Atamanov
1235	1	Lee
1236	1	Herman
1237	1	Hall
1238	1	Averback
1239	1	Forsyth
1240	1	Kaplan
1241	2	Beatty	Henry
1242	1	Weitz
1243	1	Capra
1244	1	O'Connor
1245	1	. Night Shyamalan
1246	1	Davies
1247	1	Cary
1248	1	Reed
1249	1	Cardoso
1250	1	Forsyth
1251	1	Shapiro
1252	1	Nichols
1253	1	Daniel
1254	1	Barthes
1255	1	Marks
1256	1	Truffaut
1257	1	Earnhart
1258	1	Rohmer
1259	3	Schlossberg	Potenza	Goldberg
1260	1	Shyer
1261	1	Raboy
1262	1	Cube
1263	1	Sonnenfeld
1264	1	Cohen
1265	1	Lynn
1266	1	Ivory Wayans
1267	2	Walters	Gallo
1268	1	Jordan
1269	1	Puenzo
1270	1	Gillespie
1271	1	Kanganis
1272	1	Campion
1273	1	Sargent
1274	1	Stevenson
1275	1	Cardiff
1276	1	Artenstein
1277	1	Hughes
1278	1	Young
1279	1	Zamm
1280	1	Chaffey
1281	1	Hillenburg
1282	1	Selick
1283	1	Rodriguez
1284	1	A. Davis
1285	1	McNamara
1286	2	Virgien	Kovalyov
1287	2	Virgien	Eng
