movie	metacritic	title
0513	1	Little Big Man
0514	1	16 Blocks
0515	1	Rumble Fish
0516	1	Drumline
0517	1	The Patriot
0518	1	Walk Hard: The Dewey Cox Story
0519	1	Planet B-Boy
0520	1	Home Alone
0521	1	Dahmer
0522	1	Cachorro
0523	1	How She Move
0524	1	The Sisterhood of the Traveling Pants 2
0525	1	It's Kind of a Funny Story
0526	1	Hot Tub Time Machine
0527	1	Two Brothers
0528	1	Invisible
0529	1	Lunacy
0530	1	A Man Named Pearl
0531	1	The Assassination of Richard Nixon
0532	1	Thomas in Love
0533	1	Alien: Resurrection
0534	1	The 11th Hour
0535	1	Everything Put Together
0536	1	The Adventures of Felix
0537	1	I Capture the Castle
0538	1	The Mask of Zorro
0539	1	The Great Yokai War
0540	1	The Upside of Anger
0541	1	Boiler Room
0542	1	Scream 2
0543	1	Youth in Revolt
0544	1	Stander
0545	1	Tequila Sunrise
0546	1	Contact
0547	1	V for Vendetta
0548	1	The Spiderwick Chronicles
0549	1	Hollywoodland
0550	1	Skin
0551	1	Disturbia
0552	1	Kabluey
0553	1	The Dying Gaul
0554	1	Ocean's Thirteen
0555	1	Pop & Me
0556	1	Brigham City
0557	1	The Duchess
0558	1	Torremolinos 73
0559	1	Postmen in the Mountains
0560	1	Rugrats in Paris: The Movie - Rugrats II
0561	1	Antwone Fisher
0562	1	Dandelion
0563	1	On a Clear Day
0564	1	Seraphim Falls
0565	1	Alexandra's Project
0566	1	Comedian
0567	1	The Negotiator
0568	1	G.I. Jane
0569	1	The Claim
0570	1	Kites
0571	1	U-571
0572	1	The Dreamers
0573	1	Sky High
0574	1	Red Hill
0575	1	Saving Grace
0576	1	Incident at Loch Ness
0577	1	Fierce Creatures
0578	1	A Man of No Importance
0579	1	Centurion
0580	1	William Kunstler: Disturbing the Universe
0581	1	Loggerheads
0582	1	Ira & Abby
0583	1	Rolling Family
0584	1	Bug
0585	1	My Big Fat Greek Wedding
0586	1	The Mudge Boy
0587	1	Ararat
0588	1	Big Man Japan
0589	1	The Good Shepherd
0590	1	Crazy/Beautiful
0591	1	The Fisher King
0592	1	Runaway Jury
0593	1	Dancer in the Dark
0594	1	Stolen
0595	1	The American
0596	1	The Man Without a Face
0597	1	Vajra Sky Over Tibet
0598	1	A Midsummer Night's Dream
0599	1	Bound
0600	1	Brick Lane
0601	1	Reign Over Me
0602	1	The Man with Two Brains
0603	1	Matchstick Men
0604	1	The Green Mile
0605	1	White Oleander
0606	1	The Game
0607	1	I'll Sing for You
0608	1	Trucker
0609	1	Iluzija
0610	1	Quitting
0611	1	Lucie Aubrac
0612	1	In the Pit
0613	1	The Soloist
0614	1	Ladies in Lavender.
0615	1	Madagascar: Escape 2 Africa
0616	1	The Weather Man
0617	1	Jabberwocky (re-release)
0618	1	Laurel Canyon
0619	1	Welcome to Collinwood
0620	1	Zoolander
0621	1	Criminal
0622	1	Rumble in the Bronx
0623	1	The Big Chill
0624	1	Red
0625	1	Capitalism: A Love Story
0626	1	Day Night Day Night
0627	1	Wah-Wah
0628	1	13 Tzameti
0629	1	The Kite Runner
0630	1	Tell Me Something
0631	1	My Dog Skip
0632	1	Lower City
0633	1	Analyze This
0634	1	This Boy's Life
0635	1	Glastonbury
0636	1	The Emperor's New Clothes
0637	1	Ransom
0638	1	I Want Someone to Eat Cheese With
0639	1	Aristide and the Endless Revolution
0640	1	The Devil's Advocate
0641	1	Eat This New York
0642	1	Mission: Impossible
0643	1	American Casino
0644	1	The Importance of Being Earnest
0645	1	Reconstruction
0646	1	The White Countess
0647	1	Gloomy Sunday
0648	1	The Goonies
0649	1	Rooms for Tourists
0650	1	Body of War
0651	1	Machete
0652	1	Lan yu
0653	1	In the Name of the Father
0654	1	Love Story
0655	1	Before the Devil Knows You're Dead
0656	1	Happy-Go-Lucky
0657	1	The Pinochet Case
0658	1	Iraq in Fragments
0659	1	The Cove
0660	1	Mutual Appreciation
0661	1	Springtime in a Small Town
0662	1	A Little Princess
0663	1	In the Loop
0664	1	Fantastic Mr. Fox
0665	1	Chop Shop
0666	1	Who Framed Roger Rabbit
0667	1	Animal Kingdom
0668	1	Paranoid Park
0669	1	Drag Me to Hell
0670	1	The King of Kong: A Fistful of Quarters
0671	1	Moonstruck
0672	1	Alien
0673	1	U2 3D
0674	1	Kill Bill: Vol. 2
0675	1	Vera Drake
0676	1	Henry V
0677	1	Election
0678	1	Venus
0679	1	Rivers and Tides: Andy Goldsworthy Working with Time
0680	1	Unforgiven
0681	1	Good Bye, Dragon Inn
0682	1	The Constant Gardener
0683	1	The Squid and the Whale
0684	1	The Exorcist
0685	1	All I Wanna Do
0686	1	Illuminata
0687	1	The Godfather: Part III
0688	1	The Governess
0689	1	What Would Jesus Buy?
0690	1	Scanners
0691	1	Happy Accidents
0692	1	Empire of the Sun
0693	1	The X Files
0694	1	Michael Collins
0695	1	Time and Tide
0696	1	Manic
0697	1	Mystic Pizza
0698	1	Calendar Girls
0699	1	Bottle Rocket
0700	1	Cliffhanger
0701	1	All Good Things
0702	1	Happy Here and Now
0703	1	Rare Birds
0704	1	Under the Same Moon (La misma luna)
0705	1	Only the Strong Survive
0706	1	The Wedding Singer
0707	1	Beowulf
0708	1	Jin Roh: The Wolf Brigade
0709	1	The Isle
0710	1	Don't Move
0711	1	Happenstance
0712	1	Rory O'Shea Was Here
0713	1	The Princess Blade
0714	1	Lakeboat
0715	1	Austin Powers: The Spy Who Shagged Me
0716	1	Independence Day
0717	1	Nico and Dani
0718	1	Signs
0719	1	Moli�re
0720	1	The Rock
0721	1	Life Is Beautiful
0722	1	American Pimp
0723	1	The Boys & Girl from County Clare
0724	1	Barbershop 2: Back in Business
0725	1	Anastasia
0726	1	I, Robot
0727	1	Wall Street: Money Never Sleeps
0728	1	My Son, My Son, What Have Ye Done
0729	1	Dreamer: Inspired by a True Story
0730	1	Sharkwater
0731	1	Nanny McPhee
0732	1	Dogville
0733	1	Wimbledon
0734	1	Night Watch: Nochnoi Dozor
0735	1	My Sister Maria
0736	1	Moonlight Mile
0737	1	NASCAR: The IMAX Experience
0738	1	Steep
0739	1	The Midnight Meat Train
0740	1	The Mist
0741	1	Jarhead
0742	1	Swimming Upstream
0743	1	Disclosure
0744	1	Luck by Chance
0745	1	Searching for the Wrong-Eyed Jesus
0746	1	Hard Candy
0747	1	Ice Age: The Meltdown
0748	1	Shrek Forever After
0749	1	Dead Man
0750	1	The Hunt for Red October
0751	1	Stepmom
0752	1	Pocahontas
0753	1	Closing Escrow
0754	1	Die Hard: With a Vengeance
0755	1	Leaves of Grass
0756	1	Ask the Dust
0757	1	City of Ember
0758	1	The Myth of Fingerprints
0759	1	The Fast and the Furious
0760	1	May
0761	1	Glory Road
0762	1	The Yards
0763	1	Chelsea on the Rocks
0764	1	Flawless
0765	1	Daybreakers
0766	1	Lila Says
0767	1	Color Me Kubrick
0768	1	The Sea Is Watching
0769	1	The Ring
0770	1	Flicka
0771	1	Romulus, My Father
0772	1	Master of the Flying Guillotine (re-release)
0773	1	Mifune's Last Song
0774	1	Famous
0775	1	Spy Kids 3-D: Game Over
0776	1	Sixteen Candles
0777	1	The Groomsmen
0778	1	Happy Endings
0779	1	Cowboy del Amor
0780	1	The Red Violin
0781	1	Total Recall
0782	1	The Forbidden Kingdom
0783	1	Stone
0784	1	The Newton Boys
0785	1	The Amazing Truth About Queen Raquela
0786	1	Miss Potter
0787	1	Lovely, Still
0788	1	Funny Money
0789	1	Ten 'til Noon
0790	1	Defendor
0791	1	City of Ghosts
0792	1	The Grandfather
0793	1	Hannibal
0794	1	Red Betsy
0795	1	Laura Smiles
0796	1	Shake Hands with the Devil
0797	1	Iron Man 2
0798	1	Journey to the Center of the Earth
0799	1	Hatchet
0800	1	Midnight in the Garden of Good and Evil
0801	1	The Santa Clause
0802	1	Coach Carter
0803	1	High School Musical 3: Senior Year
0804	1	Confetti
0805	1	Dark Blue
0806	1	Bread and Roses
0807	1	Brother to Brother
0808	1	It's Complicated
0809	1	Casanova
0810	1	The Sasquatch Gang
0811	1	Army of Darkness
0812	1	Opal Dream
0813	1	Dark Blue World
0814	1	La Femme Nikita
0815	1	Game 6
0816	1	Winter Passing
0817	1	Jackass 3-D
0818	1	Harsh Times
0819	1	A Dirty Shame
0820	1	The Two Jakes
0821	1	What's the Matter with Kansas?
0822	1	Adam
0823	1	Eleven Minutes
0824	1	Home for the Holidays
0825	1	The Chorus
0826	1	Leatherheads
0827	1	The Five Senses
0828	1	Once Upon a Time in Mexico
0829	1	Coastlines
0830	1	Date Night
0831	1	Sylvia
0832	1	Waterworld
0833	1	Danny Deckchair
0834	1	The Brave One
0835	1	Christmas in the Clouds
0836	1	CQ
0837	1	The Hot Spot
0838	1	Phone Booth
0839	1	The Anniversary Party
0840	1	The Ladykillers
0841	1	After Midnight
0842	1	Phoebe in Wonderland
0843	1	Sequestro: A Story of Kidnapping
0844	1	The Recruit
0845	1	The Extra Man
0846	1	Monsters vs Aliens
0847	1	Kamikaze Girls
0848	1	Max
0849	1	Edge of Darkness
0850	1	The Merry Gentleman
0851	1	A Jihad for Love
0852	1	Desperado
0853	1	Walt & El Grupo
0854	1	Punks
0855	1	Ali Zoua: Prince of the Streets
0856	1	Green Street Hooligans
0857	1	Great Expectations
0858	1	A Real Young Girl
0859	1	Some Kind of Wonderful
0860	1	The Brothers Bloom
0861	1	Casi divas
0862	1	Resurrecting the Champ
0863	1	Vice
0864	1	Hugh Hefner: Playboy, Activist and Rebel
0865	1	Injeong sajeong bol geot eobtda
0866	1	Below
0867	1	Camp
0868	1	Dreaming of Joseph Lees
0869	1	Valmont
0870	1	The Boy in the Striped Pajamas
0871	1	Don't Come Knocking
0872	1	Mr. & Mrs. Smith
0873	1	Nim's Island
0874	1	Darshan: The Embrace
0875	1	Irina Palm
0876	1	Casa de los babys
0877	1	Starsky & Hutch
0878	1	Freeze Frame
0879	1	Agora
0880	1	The House Bunny
0881	1	Rendition
0882	1	Take the Lead
0883	1	Sukiyaki Western Django
0884	1	When You're Strange
0885	1	King of the Corner
0886	1	Screamers
0887	1	All the Pretty Horses
0888	1	Hearts in Atlantis
0889	1	Snatch.
0890	1	Yugoslavia: The Avoidable War
0891	1	Romance & Cigarettes
0892	1	The Walker
0893	1	The Last Samurai
0894	1	Pride
0895	1	Tigerland
0896	1	Seven Years in Tibet
0897	1	The Joneses
0898	1	Surviving Picasso
0899	1	Old School
0900	1	A Time to Kill
0901	1	Is Anybody There?
0902	1	And Now... Ladies and Gentlemen...
0903	1	The Green Butchers
0904	1	The Hunting Party
0905	1	Groove
0906	1	Angela's Ashes
0907	1	Dead Alive
0908	1	Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire
0909	1	U Turn
0910	1	Memoirs of a Geisha
0911	1	Battle for Terra
0912	1	Hulk
0913	1	The Treatment
0914	1	Hamlet 2
0915	1	Br�no
0916	1	The Tracey Fragments
0917	1	Get Smart
0918	1	The Ch�teau
0919	1	Bobby
0920	1	Warriors of Heaven and Earth
0921	1	Paper Heart
0922	1	Dare
0923	1	Why Did I Get Married?
0924	1	Friday
0925	1	Music of the Heart
0926	1	Gerry
0927	1	Tie Me Up! Tie Me Down!
0928	1	Observe and Report
0929	1	Blue in the Face
0930	1	Bran Nue Dae
0931	1	Rock Star
0932	1	Because of Winn-Dixie
0933	1	Wolf Creek
0934	1	The Fighting Temptations
0935	1	Shorts
0936	1	The Tale of Despereaux
0937	1	Beowulf & Grendel
0938	1	Save the Last Dance
0939	1	Ella Enchanted
0940	1	The Blind Side
0941	1	The Basket
0942	1	Short Eyes (re-release)
0943	1	Star Wars: Episode II - Attack of the Clones
0944	1	Lucky Number Slevin
0945	1	Robin Hood
0946	1	Imaginary Heroes
0947	1	Keeping Mum
0948	1	Johnny Suede
0949	1	Amateur
0950	1	We Are Marshall
0951	1	The Winning Season
0952	1	Passionada
0953	1	Magnifico
0954	1	Rent
0955	1	The Big Question
0956	1	The Siege
0957	1	This Old Cub
0958	1	The Burial Society
0959	1	Australia
0960	1	Duane Hopwood
0961	1	Sacred Planet
0962	1	Better Housekeeping
0963	1	Beauty Shop
0964	1	Astro Boy
0965	1	Year of the Fish
0966	1	Pirates of the Caribbean: Dead Man's Chest
0967	1	Stick It
0968	1	The Accidental Tourist
0969	1	The Heart of Me
0970	1	The Big Tease
0971	1	Sky Blue
0972	1	The Guardian
0973	1	Redacted
0974	1	Charlie's Angels
0975	1	Formosa Betrayed
0976	1	The Ordeal
0977	1	The Curse of the Jade Scorpion
0978	1	Don't Tell
0979	1	Black Snake Moan
0980	1	The Revolution Will Not Be Televised
0981	1	Let the Right One In
0982	1	Taxi to the Dark Side
0983	1	The White Ribbon
0984	1	Rachel Getting Married
0985	1	Get Shorty
0986	1	One Day in September
0987	1	Concert for George
0988	1	Waking Life
0989	1	Animal House
0990	1	Gilles' Wife
0991	1	The Maid
0992	1	The Filth and the Fury
0993	1	Eastern Promises
0994	1	A Mighty Wind
0995	1	The Damned United
0996	1	Georgia
0997	1	McLibel
0998	1	Four Weddings and a Funeral
0999	1	Master and Commander: The Far Side of the World
1000	1	Pete Seeger: The Power of Song
1001	1	Bamako
1002	1	The Station Agent
1003	1	George Washington
1004	1	Bright Star
1005	1	Little Shop of Horrors
1006	1	Wattstax (re-released)
1007	1	The Hours
1008	1	In the Company of Men
1009	1	Ballets russes
1010	1	I'm the One That I Want
1011	1	Chaos
1012	1	Elsa y Fred
1013	1	Three Days of Rain
1014	1	The Independent
1015	1	Get Over It
1016	1	Made-Up
1017	1	Little Manhattan
1018	1	Wild Tigers I Have Known
1019	1	The Switch
1020	1	The Lake House
1021	1	Last Stop for Paul
1022	1	That's the Way I Like It
1023	1	Spirit: Stallion of the Cimarron
