movie	iheartmovies	title
0177	1	Cool Runnings (1993)
0178	1	Cool World (1992)
0179	1	Cop Land (1997)
0180	1	Copacabana (1947)
0181	1	Copycat (1995)
0182	1	Coraline (2009)
0183	1	Corky Romano (2001)
0184	1	Corridors Of Blood (1958)
0185	1	Corvette Summer (1978)
0186	1	Courtship Of Eddie's Father (1963)
0187	1	Cousin Bette (1998)
0188	1	Crawford (2008)
0189	1	Crazy Eights (2006)
0190	1	Crazy/Beautiful (2001)
0191	1	Creature (1985)
0192	1	Cricket On The Hearth (1967)
0193	1	Crossing Over (2008)
0194	1	Cruel Intentions 2 (2000)
0195	1	Cry Danger (1951)
0196	1	Cry Wolf (2005)
0197	1	Cuesti�n de suerte (1996)
0198	1	Culture Club: Greatest Hits (2005)
0199	1	Cuore Sacro (2005)
0200	1	Curly Top (1935)
0201	1	Cyborg (1989)
0202	1	Daddy Day Care (2003)
0203	1	Dahmer (2002)
0204	1	Daltry Calhoun (2005)
0205	1	Damage (1992)
0206	1	Dames (1934)
0207	1	Dan in Real Life (2007)
0208	1	Dance Flick (2009)
0209	1	Dance, Fools, Dance (1931)
0210	1	Dance, Girl, Dance (1940)
0211	1	Dancing Lady (1933)
0212	1	Dangerous Liaisons (1988)
0213	1	Danny Deckchair (2003)
0214	1	Danny the Dog (2005)
0215	1	Dante's Peak (1997)
0216	1	Dark City (1998)
0217	1	Dark Victory (1939)
0218	1	Dark Water (2005)
0219	1	Date Night (2010)
0220	1	David And Bathsheba (1951)
0221	1	Daylight (1996)
0222	1	Days Of Wine And Roses (1962)
0223	1	Dead & Breakfast (2004)
0224	1	Dead Birds (2004)
0225	1	Dead Calm (1989)
0226	1	Dead Man Walking (1995)
0227	1	Dead Meat (2004)
0228	1	Dead Men Walking (2005)
0229	1	Dead Presidents (1995)
0230	1	Dead Space: Downfall (2008)
0231	1	Deal (2008)
0232	1	Death 4 Told (2004)
0233	1	Death And The Maiden (1994)
0234	1	Death Defying Acts (2007)
0235	1	Death Race (2008)
0236	1	Debbie Does Dallas (1978)
0237	1	Deception (2008)
0238	1	Dedication (2007)
0239	1	Deep Throat (1972)
0240	1	Defendor (2009)
0241	1	Definitely, Maybe (2008)
0242	1	Deliver Us From Evil (2006)
0243	1	Deliverance (1972)
0244	1	Delivered (1998)
0245	1	Delta Farce (2007)
0246	1	Depeche Mode: The Videos 86-98+ (1999)
0247	1	Der Himmel �ber Berlin (1987)
0248	1	Derailed (2005)
0249	1	Deranged (1974)
0250	1	Desert Train (1997)
0251	1	Desperately Seeking Susan (1985)
0252	1	Desu n�to (2006)
0253	1	Desu n�to: The Last Name (2006)
0254	1	Detour (1945)
0255	1	Deuce Bigalow: European Gigolo (2005)
0256	1	Deuce Bigalow: Male Gigolo (1999)
0257	1	Devour (2005)
0258	1	Diarios de motocicleta (2004)
0259	1	Diary Of A Mad Black Woman (2005)
0260	1	Diary of a Wimpy Kid (2010)
0261	1	Dick (1999)
0262	1	Die Hard: With a Vengeance (1995)
0263	1	Dilinger (1973)
0264	1	Dinner With Friends (2001)
0265	1	Dip huet seung hung (1989)
0266	1	Diplomatic Courier (1952)
0267	1	Dirty Dancing (1987)
0268	1	Dirty Deeds (2005)
0269	1	Dirty Dingus Magee (1970)
0270	1	Disturbing Behavior (1998)
0271	1	A Tale of Two Cities (1935)
0272	1	A View To A Kill (1985)
0273	1	A Walk to Remember (2002)
0274	1	A Woman's Face (1941)
0275	1	Abandon (2002)
0276	1	Abbott And Costello Go To Mars (1953)
0277	1	Abbott And Costello Meet Frankenstein (1948)
0278	1	Abbott And Costello Meet The Keystone Kops (1955)
0279	1	Abbott and Costello Meet the Mummy (1955)
0280	1	Ace Ventura: Pet Detective (1994)
0281	1	Ace Ventura: When Nature Calls (1995)
0282	1	Across the Universe (2007)
0283	1	Act Of Violence (1948)
0284	1	Ad Ovest Di Paperino (1982)
0285	1	Adam's Rib (1949)
0286	1	Adventureland (2009)
0287	1	Against the Ropes (2004)
0288	1	�ge Des T�n�bres, L' (2007)
0289	1	Agent Cody Banks (2003)
0290	1	Dnevnoy dozor (2006)
0291	1	Doctor Zhivago (1965)
0292	1	Dodge City (1939)
0293	1	Dodgeball: A True Underdog Story (2004)
0294	1	Dogfight (1991)
0295	1	Domestic Disturbance (2001)
0296	1	Dominick And Eugene (1988)
0297	1	Don't Bother To Knock (1952)
0298	1	Don't Look Now (1973)
0299	1	Dorothy Mills (2008)
0300	1	Double Crossbones (1951)
0301	1	Double Team (1997)
0302	1	Doubt (2008)
0303	1	Dove Vai Se Il Vizietto Non Ce L'hai (1979)
0304	1	Down And Out In Beverly Hills (1986)
0305	1	Down By Law (1986)
0306	1	Down Periscope (1996)
0307	1	Down to Earth (2001)
0308	1	Dr. Jekyll And Mr. Hyde (1931)
0309	1	Dr. T And The Women (2000)
0310	1	Dracula (1979)
0311	1	Dream A Little Dream (1989)
0312	1	Drillbit Taylor (2008)
0313	1	Drive Me Crazy (1999)
0314	1	Driven (2001)
0315	1	Driving Lessons (2006)
0316	1	Driving Miss Daisy (1989)
0317	1	Drop Dead Fred (1991)
0318	1	Drop Dead Sexy (2005)
0319	1	Drums Along The Mohawk (1939)
0320	1	Dude, Where's My Car? (2000)
0321	1	Dumbo (1941)
0322	1	Dungeons & Dragons (2000)
0323	1	Duran Duran: Greatest - The Videos (1999)
0324	1	Earth Girls Are Easy (1988)
0325	1	East Of Eden (1955)
0326	1	East Side Story (2006)
0327	1	Easy (2003)
0328	1	Eaten Alive (1977)
0329	1	Eating Out (2004)
0330	1	Eating Out 2: Sloppy Seconds (2006)
0331	1	Ed Wood (1994)
0332	1	Eddie Murphy: Raw (1987)
0333	1	Edge Of Seventeen (1998)
0334	1	Edison (2005)
0335	1	Edmond (2005)
0336	1	Ehe der Maria Braun, Die (1979)
0337	1	Ekusu makina (2007)
0338	1	El �ngel Exterminador (1962)
0339	1	El Cid (1961)
0340	1	Elegy (2008)
0341	1	Elizabethtown (2005)
0342	1	Elvira, Mistress Of The Dark (1988)
0343	1	Employee of the Month (2006)
0344	1	Enchanted (2007)
0345	1	Encounters at the End of the World (2007)
0346	1	Endless Love (1981)
0347	1	Enduring Love (2004)
0348	1	Enemy At The Gates (2001)
0349	1	Enemy Mine (1985)
0350	1	Enfant, L' (2005)
0351	1	Entre les murs (2008)
0352	1	Epic Movie (2007)
0353	1	Equus (1977)
0354	1	Ercole e la regina di Lidia (1959)
0355	1	Ernest Scared Stupid (1991)
0356	1	Escanaba in da Moonlight (2001)
0357	1	Escape from L.A. (1996)
0358	1	Escape To Witch Mountain (1975)
0359	1	Eulogy (2004)
0360	1	Evangerion shin gekij�ban: Jo (2007)
0361	1	Evening (2007)
0362	1	Everybody's Fine (2009)
0363	1	Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972)
0364	1	Exit Wounds (2001)
0365	1	Fa yeung nin wa (2000)
0366	1	Faccia A Faccia (1967)
0367	1	Facing the Giants (2006)
0368	1	Falling In Love (1984)
0369	1	Family Business (1989)
0370	1	Family Guy Presents: Stewie Griffin - The Untold Story (2005)
0371	1	Fancy Pants (1950)
0372	1	Fantastic Four (2005)
0373	1	Fant�me de la libert�, Le (1974)
0374	1	Fantozzi Contro Tutti (1980)
0375	1	Far From Heaven (2002)
0376	1	Farce of the Penguins (2006)
0377	1	Fat Albert (2004)
0378	1	Fat Man And Little Boy (1989)
0379	1	Fatal Attraction (1987)
0380	1	Father Hood (1993)
0381	1	Fear (1996)
0382	1	Feast (2005)
0383	1	Feast of Love (2007)
0384	1	FernGully 2: The Magical Rescue (1998)
0385	1	FernGully: The Last Rainforest (1992)
0386	1	Fighting (2009)
0387	1	Final Destination (2000)
0388	1	Fingerprints Don't Lie (1951)
0389	1	Firehouse Dog (2007)
0390	1	Firestorm (1998)
0391	1	First Blood (1982)
0392	1	First Daughter (2004)
0393	1	First Man Into Space (1959)
0394	1	First Sunday (2008)
0395	1	Fletch Lives (1989)
0396	1	Flight 93 (2006)
0397	1	Flight of the Navigator (1986)
0398	1	Flipper (1996)
0399	1	Flubber (1997)
0400	1	Fly Away Home (1996)
0401	1	Fly Me To The Moon (2008)
0402	1	Flyboys (2006)
0403	1	Follow The Fleet (1936)
0404	1	Food, Inc. (2008)
0405	1	Fool's Gold (2008)
0406	1	For Pete's Sake (1974)
0407	1	For The Boys (1991)
0408	1	Forbidden Planet (1956)
0409	1	Forever Strong (2008)
0410	1	Forgetting Sarah Marshall (2008)
0411	1	Forsaking All Others (1934)
0412	1	Foul Play (1978)
0413	1	Four Christmases (2008)
0414	1	Frank Herbert's Children of Dune (2003)
0415	1	Franklyn (2008)
0416	1	Frantic (1988)
0417	1	Freaky Friday (2003)
0418	1	Freaky Friday (1976)
0419	1	Free Willy (1993)
0420	1	Frenzy (1972)
0421	1	Friday (1995)
0422	1	Friday Night Lights (2004)
0423	1	Friday the 13th (1980)
0424	1	Friday the 13th: The Final Chapter (1984)
0425	1	Frisco Kid (1935)
0426	1	Fritt vilt (2006)
0427	1	From Here To Eternity (1953)
0428	1	From The Terrace (1960)
0429	1	From Within (2008)
0430	1	Full of It (2007)
0431	1	Fun With Dick And Jane (1977)
0432	1	Funny Face (1957)
0433	1	Funny Farm (1988)
0434	1	Funny Games (2007)
0435	1	Funny Lady (1975)
0436	1	Funny People (2009)
0437	1	Fur: An Imaginary Portrait Of Diane Arbus (2006)
0438	1	Futurama: Bender's Big Score (2007)
0439	1	F�lscher, Die (2007)
0440	1	G-Force (2009)
0441	1	G.I. Blues (1960)
0442	1	Gake No Ue No Ponyo (2008)
0443	1	Gandhi (1982)
0444	1	Gangster No. 1 (2000)
0445	1	Garden Party (2008)
0446	1	Gentlemen Broncos (2009)
0447	1	George Lopez: America's Mexican (2007)
0448	1	George Lopez: Why You Crying? (2005)
0449	1	Get Carter (1971)
0450	1	Get Him to the Greek (2010)
0451	1	Get Over It (2001)
0452	1	Get Rich Or Die Tryin' (2005)
0453	1	Get Smart (2008)
0454	1	Get Your Stuff (2000)
0455	1	Ghost (1990)
0456	1	Ghost Busters (1984)
0457	1	Ghostbusters II (1989)
0458	1	Ghosts of Abu Ghraib (2007)
0459	1	Ghosts Of Mars (2001)
0460	1	Ghosts Of Mississippi (1996)
0461	1	Gia (1998)
0462	1	Gigantic (2008)
0463	1	Gigi (1958)
0464	1	Gigli (2003)
0465	1	Gilda (1946)
0466	1	Ginger Snaps (2000)
0467	1	Girlfight (2000)
0468	1	Giusta Distanza, La (2007)
0469	1	Gladiator (2000)
0470	1	Glory Daze (1996)
0471	1	Godsend (2004)
0472	1	Going My Way (1944)
0473	1	Going the Distance (2004)
0474	1	Going the Distance (2010)
0475	1	Gomorra (2008)
0476	1	Gone Baby Gone (2007)
0477	1	Gong fu guan lan (2008)
0478	1	Good (2008)
0479	1	Good Hair (2009)
0480	1	Good Morning, Vietnam (1987)
0481	1	Good Night And Good Luck (2005)
0482	1	Good Will Hunting (1997)
0483	1	Gotcha! (1985)
0484	1	Gothika (2003)
0485	1	Grand bleu, Le (1988)
0486	1	Grande illusion, La (1937)
0487	1	Great Expectations (1998)
0488	1	Green Street Hooligans (2005)
0489	1	Greenberg (2010)
0490	1	Gremlins 2 (1990)
0491	1	Grey Gardens (2009)
0492	1	Gridiron Gang (2006)
0493	1	Grilled (2006)
0494	1	Grip Of The Strangler (1958)
0495	1	Gross Anatomy (1989)
0496	1	Alaska (1996)
0497	1	Alexander's Ragtime Band (1938)
0498	1	Alice In Wonderland (2010)
0499	1	Alien Nation (1988)
0500	1	Aliens In The Attic (2009)
0501	1	All About Eve (1950)
0502	1	All Dogs Go To Heaven (1989)
0503	1	All I Want: A Portrait Of Rufus Wainwright (2005)
0504	1	All of Me (1984)
0505	1	All The Boys Love Mandy Lane (2006)
0506	1	Alligator (1980)
0507	1	Almost An Angel (1990)
0508	1	Alone In The Dark (2005)
0509	1	Altered (2006)
0510	1	Altrimenti Ci Arrabbiamo (1974)
0511	1	Alvin and the Chipmunks: The Squeakquel (2009)
0512	1	Amarcord (1973)
0513	1	Amateur (1994)
0514	1	America's Sweethearts (2001)
0515	1	American Beauty (1999)
0516	1	American Dreamz (2006)
0517	1	American Gigolo (1980)
0518	1	American Gothic (1988)
0519	1	Guess Who's Coming To Dinner (1967)
0520	1	Guys and Dolls (1955)
0521	1	Gypsy (1962)
0522	1	Hachiko: A Dog's Story (2009)
0523	1	Half Baked (1998)
0524	1	Halloween (2007)
0525	1	Halloweentown High (2004)
0526	1	Hamlet (1990)
0527	1	Hancock (2008)
0528	1	Hanging Up (2000)
0529	1	Hannibal Rising (2007)
0530	1	Happy Birthday To Me (1981)
0531	1	Happy-Go-Lucky (2008)
0532	1	Hard Ball (2001)
0533	1	Hard Boiled (1992)
0534	1	Hard Candy (2005)
0535	1	Hard Rain (1998)
0536	1	Harold & Kumar Escape From Guantanamo Bay (2008)
0537	1	Harold And Maude (1971)
0538	1	Harper Valley P.T.A. (1978)
0539	1	Harrison's Flowers (2000)
0540	1	Harry Potter and the Chamber of Secrets (2002)
0541	1	Harsh Times (2005)
0542	1	Head Above Water (1996)
0543	1	Head On (1998)
0544	1	Heartbreakers (2001)
0545	1	Heartburn (1986)
0546	1	Heavy Metal (1981)
0547	1	Heavy Metal 2000 (2000)
0548	1	Heavy Metal in Baghdad (2007)
0549	1	Hell Night (1981)
0550	1	Hellboy (2004)
0551	1	Hello Again (1987)
0552	1	Helvetica (2007)
0553	1	Herbie Fully Loaded (2005)
0554	1	Herbie Goes To Monte Carlo (1977)
0555	1	Hercules (1997)
0556	1	Hercules: Zero To Hero (1999)
0557	1	Here Comes The Navy (1934)
0558	1	Hereafter (2010)
0559	1	Hero (1992)
0560	1	Hey Arnold! The Movie (2002)
0561	1	High Fidelity (2000)
0562	1	High Road To China (1983)
0563	1	High Spirits (1988)
0564	1	Higher Learning (1995)
0565	1	Highway (2002)
0566	1	His Kind Of Woman (1951)
0567	1	Historias Del Kronen (1995)
0568	1	Hit And Run (2009)
0569	1	Hobson's Choice (1954)
0570	1	Hocus Pocus (1993)
0571	1	Holiday (1938)
0572	1	Hollow Man II (2006)
0573	1	Home Fries (1998)
0574	1	Hoosiers (1986)
0575	1	Hope And Glory (1987)
0576	1	Hope Floats (1998)
0577	1	Hornets' Nest (1970)
0578	1	Horror Express (1973)
0579	1	Hors de prix (2006)
0580	1	Hostel: Part II (2007)
0581	1	Hot Shots! Part Deux (1993)
0582	1	House Arrest (1996)
0583	1	House By The River (1950)
0584	1	House Of 1000 Corpses (2003)
0585	1	House Of 9 (2005)
0586	1	House Of Dracula (1945)
0587	1	House Of Frankenstein (1944)
0588	1	House Of The Dead (2003)
0589	1	House Of Wax (1953)
0590	1	House On Haunted Hill (1959)
0591	1	House Party 2 (1991)
0592	1	Howard's End (1992)
0593	1	Howl's Moving Castle (2005)
0594	1	Huiti�me jour, Le (1996)
0595	1	Human Traffic (1999)
0596	1	Humanoids From The Deep (1980)
0597	1	Humpday (2009)
0598	1	Hunger (2009)
0599	1	Hush...Hush, Sweet Charlotte (1964)
0600	1	I Am Legend (2007)
0601	1	I Am Sam (2001)
0602	1	I Can Do Bad All by Myself (2009)
0603	1	I Confess (1953)
0604	1	I Could Never Be Your Woman (2007)
0605	1	I Hope They Serve Beer In Hell (2009)
0606	1	I Love You To Death (1990)
0607	1	I Now Pronounce You Chuck and Larry (2007)
0608	1	I Remember Mama (1948)
0609	1	I Still Know What You Did Last Summer (1998)
0610	1	I Think I Do (1997)
0611	1	I Think I Love My Wife (2007)
0612	1	I Want A Dog For Christmas, Charlie Brown (2003)
0613	1	I'll Believe You (2007)
0614	1	I'll Sleep When I'm Dead (2003)
0615	1	I'm Going To Tell You A Secret (2005)
0616	1	I'm Here (2010)
0617	1	I'm The One That I Want (2000)
0618	1	Ice Station Zebra (1968)
0619	1	Identity (2003)
0620	1	Idi i smotri (1985)
0621	1	Idle Hands (1999)
0622	1	If... (1968)
0623	1	Igby Goes Down (2002)
0624	1	Igor (2008)
0625	1	Il Ritorno Di Cagliostro (2003)
0626	1	Imagine Me And You (2005)
0627	1	In Cold Blood (1967)
0628	1	In Enemy Hands (2004)
0629	1	In Good Company (2004)
0630	1	In The Cut (2003)
0631	1	In The Land Of Women (2007)
0632	1	In The Mouth Of Madness (1995)
0633	1	In the Shadow of the Moon (2007)
0634	1	In weiter Ferne, so nah! (1993)
0635	1	Incendiary (2008)
0636	1	Inception (2010)
0637	1	Indecent Proposal (1993)
0638	1	Indian Runner (1991)
0639	1	Indiana Jones and the Kingdom of the Crystal Skull (2008)
0640	1	Indig�nes (2006)
0641	1	Inland Empire (2006)
0642	1	Inner Sanctum (1948)
0643	1	Innerspace (1987)
0644	1	Inside Daisy Clover (1965)
0645	1	Instinct (1999)
0646	1	Internal Affairs (1990)
0647	1	Intersection (1994)
0648	1	Into the Wild (2007)
0649	1	Iron Man 2 (2010)
0650	1	Irreconcilable Differences (1984)
0651	1	Island In The Sky (1953)
0652	1	It Could Happen to You (1994)
0653	1	It Happened One Night (1934)
0654	1	It's a Wonderful Life (1946)
0655	1	Italianetz (2007)
0656	1	Ivanovo detstvo (1962)
0657	1	Jack Frost (1996)
0658	1	Jack O'Lantern (2004)
0659	1	Jakob The Liar (1999)
0660	1	Jamaica Inn (1939)
0661	1	Jane Eyre (1944)
0662	1	Janet Jackson: Design Of A Decade 1986/1996 (1996)
0663	1	Japanese Story (2003)
0664	1	Jason And The Argonauts (1963)
0665	1	Jaws 3 (1983)
0666	1	JCVD (2008)
0667	1	Jekyll + Hyde (2006)
0668	1	Jennifer's Body (2009)
0669	1	Jesse James (1939)
0670	1	Jeux d'enfants (2003)
0671	1	Jeux interdits (1952)
0672	1	Jimmy Carter Man from Plains (2007)
0673	1	Jimmy The Gent (1934)
0674	1	John Adams (2008)
0675	1	John Q (2002)
0676	1	Johnny Apollo (1940)
0677	1	Johnny English (2003)
0678	1	Johnny Guitar (1954)
0679	1	Johnny Was (2006)
0680	1	Johns (1996)
0681	1	Joshua (2007)
0682	1	Jude (1996)
0683	1	Judge Dredd (1995)
0684	1	Jui kuen II (1994)
0685	1	Julius Caesar (1953)
0686	1	Junebug (2005)
0687	1	Junior Bonner (1972)
0688	1	Just Cause (1995)
0689	1	Just Married (2003)
0690	1	Just My Luck (2006)
0691	1	Just Wright (2010)
0692	1	Justice League: The New Frontier (2008)
0693	1	Justin Timberlake: Justified - The Videos (2003)
0694	1	K-19: The Widowmaker (2002)
0695	1	K-9: P.I. (2002)
0696	1	Kaidan (1964)
0697	1	Kakushi ken oni no tsume (2004)
0698	1	Kalifornia (1993)
0699	1	Kansas City Confidential (1952)
0700	1	Kermit's Swamp Years (2002)
0701	1	Kick-Ass (2010)
0702	1	Kicking and Screaming (1995)
0703	1	Kika (1993)
0704	1	Killers (2010)
0705	1	Kind Lady (1951)
0706	1	King Kong (1976)
0707	1	King Of The Khyber Rifles (1953)
0708	1	King Ralph (1991)
0709	1	Kingpin (1996)
0710	1	Kinsey (2004)
0711	1	Kit Kittredge: An American Girl (2008)
0712	1	Knight and Day (2010)
0713	1	Knockaround Guys (2001)
0714	1	Koyaanisqatsi (1982)
0715	1	Krippendorf's Tribe (1998)
0716	1	Kuffs (1992)
0717	1	Kumonosu j� (1957)
0718	1	Kurenai no buta (1992)
0719	1	L'uomo Delle Stelle (1995)
0720	1	L: Change the World (2008)
0721	1	La battaglia di Algeri (1966)
0722	1	La Maison en petits cubes (2008)
0723	1	American Outlaws (2001)
0724	1	American Pie 5: The Naked Mile (2006)
0725	1	American Teen (2008)
0726	1	Amici Miei (1975)
0727	1	Amityville 3-D (1983)
0728	1	An Affair To Remember (1957)
0729	1	An American Carol (2008)
0730	1	An American Haunting (2005)
0731	1	An American Tail (1986)
0732	1	An Education (2009)
0733	1	An Ideal Husband (1999)
0734	1	Analyze This (1999)
0735	1	Anamorph (2007)
0736	1	Anastasia (1997)
0737	1	Anatomie (2000)
0738	1	Angel Eyes (2001)
0739	1	Angel Heart (1987)
0740	1	Angel-A (2005)
0741	1	Angels & Demons (2009)
0742	1	Angels in the Outfield (1994)
0743	1	Anger Management (2003)
0744	1	Angora Ranch (2006)
0745	1	Animal Factory (2000)
0746	1	Animal House (1978)
0747	1	Anna Christie (1930)
0748	1	Annie (1982)
0749	1	La R�gle Du Jeu (1939)
0750	1	Labyrinth (1986)
0751	1	Lady In The Lake (1947)
0752	1	Lady Killer (1933)
0753	1	Lady Sings The Blues (1972)
0754	1	Ladyhawke (1985)
0755	1	Lake Placid (1999)
0756	1	Lars and the Real Girl (2007)
0757	1	L�sky Jedn� Plavovl�sky (1965)
0758	1	Last Dance (1996)
0759	1	Last Man Standing (1996)
0760	1	Last Rites (2006)
0761	1	Laughing Sinners (1931)
0762	1	Laws Of Attraction (2004)
0763	1	Lean On Me (1989)
0764	1	Leap Year (2010)
0765	1	Leatherheads (2008)
0766	1	Leave Her To Heaven (1945)
0767	1	Leaves of Grass (2010)
0768	1	Leben der Anderen, Das (2006)
0769	1	Legally Blonde (2001)
0770	1	Lenny (1974)
0771	1	Leprechaun (1993)
0772	1	Leprechaun In The Hood (2000)
0773	1	Les Choristes (2004)
0774	1	Les Triplettes De Belleville (2003)
0775	1	Let Me In (2010)
0776	1	Letters From Iwo Jima (2006)
0777	1	Letters to Juliet (2010)
