movie	allmovie	title
0364	1	Mission: Impossible
0365	1	True Lies
0366	1	Darling Lili
0367	1	Ffolkes
0368	1	Thunderball
0369	1	Target
0370	1	Operation Crossbow
0371	1	The Mackintosh Man
0372	1	The Little Drummer Girl
0373	1	Gotcha!
0374	1	The Fourth Protocol
0375	1	Eye of the Needle
0376	1	The Eagle Has Landed
0377	1	Enigma
0378	1	The World Is Not Enough
0379	1	Broken Arrow
0380	1	GoldenEye
0381	1	A View to a Kill
0382	1	Telefon
0383	1	The Tamarind Seed
0384	1	Octopussy
0385	1	Never Say Never Again
0386	1	Moonraker
0387	1	The Living Daylights
0388	1	Live and Let Die
0389	1	The Fourth War
0390	1	The Amsterdam Kill
0391	1	The Innocent
0392	1	Licence to Kill
0393	1	The Kremlin Letter
0394	1	What's Up, Tiger Lily?
0395	1	Torn Curtain
0396	1	Spies Like Us
0397	1	Scorpio
0398	1	The Osterman Weekend
0399	1	Little Nikita
0400	1	The Amateur
0401	1	Undercover Blues
0402	1	Saving Private Ryan
0403	1	Schindler's List
0404	1	Das Boot
0405	1	From Here to Eternity
0406	1	The Bridge on the River Kwai
0407	1	Apocalypse Now
0408	1	Apocalypse Now Redux
0409	1	Three Kings
0410	1	Barefoot Gen
0411	1	The Thin Red Line
0412	1	Soldier of Orange
0413	1	Platoon
0414	1	Gallipoli
0415	1	Welcome to Sarajevo
0416	1	A Midnight Clear
0417	1	MacArthur
0418	1	The Guns of Navarone
0419	1	Full Metal Jacket
0420	1	The Big Red One
0421	1	Courage Under Fire
0422	1	Where Eagles Dare
0423	1	Von Ryan's Express
0424	1	Merry Christmas, Mr. Lawrence
0425	1	Empire of the Sun
0426	1	The Dogs of War
0427	1	Casualties of War
0428	1	A Bridge Too Far
0429	1	Bat 21
0430	1	U-571
0431	1	The Walking Dead
0432	1	Submarine X-1
0433	1	Scream
0434	1	The Thing
0435	1	Night of the Living Dead
0436	1	Halloween
0437	1	The Exorcist
0438	1	Alien
0439	1	The Thing
0440	1	The Texas Chainsaw Massacre
0441	1	The Shining
0442	1	Rosemary's Baby
0443	1	The Haunting
0444	1	The Fly
0445	1	Night of the Demon
0446	1	Carrie
0447	1	Aliens
0448	1	The Others
0449	1	The Blair Witch Project
0450	1	Viy
0451	1	Cronos
0452	1	Nosferatu the Vampyre
0453	1	Mr. Sardonicus
0454	1	Homicidal
0455	1	La Noche del Terror Ciego
0456	1	Videodrome
0457	1	Tremors
0458	1	Shivers
0459	1	Scanners
0460	1	Re-Animator
0461	1	The Raven
0462	1	The Omen
0463	1	Nightbreed
0464	1	Near Dark
0465	1	The Howling
0466	1	Evil Dead 2: Dead by Dawn
0467	1	Dust Devil
0468	1	Dead Alive
0469	1	The Birds
0470	1	An American Werewolf in London
0471	1	Sleepy Hollow
0472	1	Ganja and Hess
0473	1	Tenebre
0474	1	Something Wicked This Way Comes
0475	1	The Serpent and the Rainbow
0476	1	Little Shop of Horrors
0477	1	Kill, Baby, Kill
0478	1	Hellraiser
0479	1	Gremlins
0480	1	Ghost Story
0481	1	The Wages of Fear
0482	1	Vertigo
0483	1	Rear Window
0484	1	The King and I
0485	1	The Big Heat
0486	1	The Asphalt Jungle
0487	1	Anatomy of a Murder
0488	1	An American in Paris
0489	1	All About Eve
0490	1	A Star Is Born
0491	1	Giant
0492	1	Blackboard Jungle
0493	1	The Caine Mutiny
0494	1	The Wild Bunch
0495	1	Psycho
0496	1	Planet of the Apes
0497	1	My Night at Maud's
0498	1	The Music Man
0499	1	The Manchurian Candidate
0500	1	The Good, the Bad and the Ugly
0501	1	Easy Rider
0502	1	Butch Cassidy and the Sundance Kid
0503	1	2001: A Space Odyssey
0504	1	Z
0505	1	The Sting
0506	1	Star Wars
0507	1	One Flew Over the Cuckoo's Nest
0508	1	Network
0509	1	Jaws
0510	1	The Deer Hunter
0511	1	Cries and Whispers
0512	1	The Conversation
0513	1	Close Encounters of the Third Kind
0514	1	A Clockwork Orange
0515	1	Chinatown
0516	1	American Graffiti
0517	1	All the President's Men
0518	1	The Way We Were
0519	1	Marathon Man
0520	1	Klute
0521	1	Grease
0522	1	Coming Home
0523	1	Cabaret
0524	1	Straw Dogs
0525	1	Shaft
0526	1	Midnight Express
0527	1	Kramer vs. Kramer
0528	1	Love Story
0529	1	The Big Chill
0530	1	The Road Warrior
0531	1	Terms of Endearment
0532	1	The Terminator
0533	1	The Right Stuff
0534	1	Hannah and Her Sisters
0535	1	Diner
0536	1	Die Hard
0537	1	Broadcast News
0538	1	Brazil
0539	1	Blue Velvet
0540	1	Amadeus
0541	1	Witness
0542	1	Say Anything...
0543	1	Heathers
0544	1	Hairspray
0545	1	Back to the Future
0546	1	Return of the Secaucus 7
0547	1	Valley Girl
0548	1	Splash
0549	1	Robocop
0550	1	Repo Man
0551	1	An Officer and a Gentleman
0552	1	Manhunter
0553	1	Lethal Weapon
0554	1	Ferris Bueller's Day Off
0555	1	Fame
0556	1	Dirty Dancing
0557	1	The Breakfast Club
0558	1	48 Hrs.
0559	1	Wall Street
0560	1	Tron
0561	1	Purple Rain
0562	1	Desperately Seeking Susan
0563	1	Beverly Hills Cop
0564	1	Top Gun
0565	1	Flashdance
0566	1	St. Elmo's Fire
0567	1	Rushmore
0568	1	Unforgiven
0569	1	Thelma &amp; Louise
0570	1	Terminator 2: Judgment Day
0571	1	The Silence of the Lambs
0572	1	Boyz 'N the Hood
0573	1	Magnolia
0574	1	American Beauty
0575	1	Lone Star
0576	1	Seven
0577	1	Safe
0578	1	Speed
0579	1	Ruby in Paradise
0580	1	Run Lola Run
0581	1	There's Something About Mary
0582	1	Chasing Amy
0583	1	La Femme Nikita
0584	1	Pretty Woman
0585	1	Basic Instinct
0586	1	Sleepless in Seattle
0587	1	The Official Story
0588	1	Man Facing Southeast
0589	1	Tango
0590	1	I, the Worst of All
0591	1	Garage Olimpo
0592	1	Shine
0593	1	An Angel at My Table
0594	1	The Chant of Jimmie Blacksmith
0595	1	The Year of Living Dangerously
0596	1	A Woman's Tale
0597	1	Tim
0598	1	Sweetie
0599	1	Proof
0600	1	My Brilliant Career
0601	1	Map of the Human Heart
0602	1	The Man from Snowy River
0603	1	Mad Max
0604	1	Flirting
0605	1	Dead Calm
0606	1	A Cry in the Dark
0607	1	Crocodile Dundee
0608	1	Careful, He Might Hear You
0609	1	The Dish
0610	1	Me Myself I
0611	1	Oscar and Lucinda
0612	1	Children of the Revolution
0613	1	Love Serenade
0614	1	The Quiet Room
0615	1	Angel Baby
0616	1	Muriel's Wedding
0617	1	The Adventures of Priscilla, Queen of the Desert
0618	1	Romper Stomper
0619	1	Strictly Ballroom
0620	1	Lonely Hearts
0621	1	The Last Days of Chez Nous
0622	1	Hotel de Love
0623	1	Love and Other Catastrophes
0624	1	The Sum of Us
0625	1	Sirens
0626	1	Puberty Blues
0627	1	Newsfront
0628	1	The Efficiency Expert
0629	1	The Coca-Cola Kid
0630	1	Chopper
0631	1	Paperback Hero
0632	1	Strange Fits of Passion
0633	1	The Boys
0634	1	Paradise Road
0635	1	Cosi
0636	1	Wide Sargasso Sea
0637	1	Heatwave
0638	1	Cactus
0639	1	Two Hands
0640	1	A Little Bit of Soul
0641	1	The Wedding Party
0642	1	The Castle
0643	1	Young Einstein
0644	1	The Cars That Ate Paris
0645	1	Beresina oder die letzten Tage der Schweiz
0646	1	Colonel Redl
0647	1	The Inheritors
0648	1	Das Boot ist voll
0649	1	An Affair of Love
0650	1	Rosetta
0651	1	Ma Vie en Rose
0652	1	Daens
0653	1	Toto the Hero
0654	1	Man Bites Dog
0655	1	The Red Dwarf
0656	1	La Vie Sexuelle des Belges (1950-1978)
0657	1	The Music Teacher
0658	1	Central Station
0659	1	Kiss of the Spider Woman
0660	1	Four Days in September
0661	1	The Vanishing
0662	1	Strangers on a Train
0663	1	Kiss Me Deadly
0664	1	Memento
0665	1	The Day of the Jackal
0666	1	House of Games
0667	1	The Fugitive
0668	1	Don't Look Now
0669	1	Bullitt
0670	1	Body Heat
0671	1	The Talented Mr. Ripley
0672	1	The Sixth Sense
0673	1	Insomnia
0674	1	Primal Fear
0675	1	Seconds
0676	1	Purple Noon
0677	1	Winter Kills
0678	1	The Wicker Man
0679	1	Under Fire
0680	1	Three Days of the Condor
0681	1	The Tenant
0682	1	The Stepfather
0683	1	Sea of Love
0684	1	Play Misty for Me
0685	1	The Parallax View
0686	1	No Way Out
0687	1	The Narrow Margin
0688	1	Misery
0689	1	The Man Who Knew Too Much
0690	1	Jagged Edge
0691	1	In the Line of Fire
0692	1	Hidden Agenda
0693	1	Fail-Safe
0694	1	Duel
0695	1	Dressed to Kill
0696	1	Dial M for Murder
0697	1	Dead Again
0698	1	The Collector
0699	1	The China Syndrome
0700	1	The Boys From Brazil
0701	1	Blow Out
0702	1	Thirty Two Short Films About Glenn Gould
0703	1	Dead Ringers
0704	1	The Red Violin
0705	1	Last Night
0706	1	The Boys of St. Vincent
0707	1	Calendar
0708	1	Strangers in Good Company
0709	1	Jesus of Montreal
0710	1	The Grey Fox
0711	1	Family Viewing
0712	1	The Decline of the American Empire
0713	1	La Fracture du Myocarde
0714	1	Bye Bye Blues
0715	1	The Adjuster
0716	1	Felicia's Journey
0717	1	The Hanging Garden
0718	1	Kissed
0719	1	Margaret's Museum
0720	1	Ticket to Heaven
0721	1	I've Heard the Mermaids Singing
0722	1	The Changeling
0723	1	Waydowntown
0724	1	To Walk With Lions
0725	1	Crash
0726	1	Lilies
0727	1	Double Happiness
0728	1	Dance Me Outside
0729	1	Surfacing
0730	1	Les Bons Débarras
0731	1	The Life Before This
0732	1	The Five Senses
0733	1	Joe's So Mean to Josephine
0734	1	The Blue Kite
0735	1	Farewell, My Concubine
0736	1	The Story of Qiu Ju
0737	1	Ju Dou
0738	1	Not One Less
0739	1	To Live
0740	1	Red Sorghum
0741	1	Shower
0742	1	Xiu Xiu: The Sent-Down Girl
0743	1	So Close to Paradise
0744	1	Bu jian bu san
0745	1	The Women from the Lake of Scented Souls
0746	1	East Palace, West Palace
0747	1	The King of Masks
0748	1	Shanghai Triad
0749	1	Once a Thief
0750	1	Pelle the Conqueror
0751	1	Babette's Feast
0752	1	The Celebration
0753	1	Twist and Shout
0754	1	Zentropa
0755	1	Sokkotanssi
0756	1	Hajyt
0757	1	Leningrad Cowboys Go America
0758	1	Don Giovanni
0759	1	Cyrano De Bergerac
0760	1	MicroCosmos
0761	1	Ponette
0762	1	The Professional
0763	1	Blue
0764	1	'Round Midnight
0765	1	Day for Night
0766	1	Murmur of the Heart
0767	1	Monsieur Hire
0768	1	The Last Metro
0769	1	Jean de Florette
0770	1	Forbidden Games
0771	1	Entre Nous
0772	1	Contempt
0773	1	The Butcher
0774	1	The Taste of Others
0775	1	Time Regained
0776	1	The Girl On The Bridge
0777	1	Autumn Tale
0778	1	Marius et Jeannette
0779	1	The Life of Jesus
0780	1	Europa, Europa
0781	1	Sam Dung
0782	1	The Prodigal Son
0783	1	Bullet in the Head
0784	1	Police Story
0785	1	Hard-Boiled
0786	1	Drunken Master
0787	1	Temptation of a Monk
0788	1	The Wicked City
0789	1	Temptress Moon
0790	1	Rumble in the Bronx
0791	1	The Legend of Drunken Master
0792	1	Police Story 3: Super Cop
0793	1	Five Fingers of Death
0794	1	The Chinese Connection
0795	1	Tai Chi Master
0796	1	Fist of Legend
0797	1	Budapesti Mesek
0798	1	Tutajosok
0799	1	Piroska és a farkas
0800	1	Macskajatek
0801	1	The Matrix
0802	1	Solaris
0803	1	The Empire Strikes Back
0804	1	Blade Runner
0805	1	Akira
0806	1	The Man Who Fell to Earth
0807	1	Dark City
0808	1	12 Monkeys
0809	1	Superman: The Movie
0810	1	Le Dernier Combat
0811	1	When Worlds Collide
0812	1	Westworld
0813	1	Superman II
0814	1	Starman
0815	1	Star Trek IV: The Voyage Home
0816	1	Slaughterhouse-Five
0817	1	Return of the Jedi
0818	1	The Omega Man
0819	1	Jurassic Park
0820	1	Escape from New York
0821	1	Death Race 2000
0822	1	Cocoon
0823	1	The Andromeda Strain
0824	1	1984
0825	1	A.I.: Artificial Intelligence
0826	1	Pitch Black
0827	1	Gattaca
0828	1	Contact
0829	1	Strange Days
0830	1	The Stepford Wives
0831	1	The War of the Worlds
0832	1	Total Recall
0833	1	Silent Running
0834	1	Invasion of the Body Snatchers
0835	1	Fantastic Voyage
0836	1	The Dead Zone
0837	1	The Brother from Another Planet
0838	1	The Brood
0839	1	A Boy and His Dog
0840	1	Altered States
0841	1	Star Wars: Episode I - The Phantom Menace
0842	1	eXistenZ
0843	1	Deep Impact
0844	1	Cube
0845	1	Men in Black
0846	1	The Fifth Element
0847	1	Tetsuo II: Body Hammer
0848	1	Aparajito
0849	1	Sholay
0850	1	Vanaprastham
0851	1	Mother India
0852	1	Kadosh
0853	1	Die Schelm von Schelm
0854	1	La Traviata
0855	1	Once Upon a Time in the West
0856	1	Carmen
0857	1	Nights of Cabiria
0858	1	The Garden of the Finzi-Continis
0859	1	Amarcord
0860	1	Profumo di Donna
0861	1	Cadaveri Eccellenti
0862	1	A Pure Formality
0863	1	Il Postino
0864	1	Indagine su un Cittadino al di Sopra di Ogni Sospetto
0865	1	A Brief Vacation
0866	1	Three Brothers
0867	1	Seven Beauties
0868	1	The Seduction of Mimi
0869	1	The Night of the Shooting Stars
0870	1	Love and Anarchy
0871	1	Kaos
0872	1	Intervista
0873	1	For a Few Dollars More
0874	1	A Fistful of Dollars
0875	1	Fellini Satyricon
0876	1	1900
0877	1	Fiorile
0878	1	The Truce
0879	1	Kiki's Delivery Service
0880	1	In the Realm of the Senses
0881	1	Charisma
0882	1	Castle in the Sky
0883	1	The Eel
0884	1	Sonatine
0885	1	Amores Perros
0886	1	Gaby: A True Story
0887	1	Danzon
0888	1	Who the Hell Is Juliette?
0889	1	El Castillo De La Pureza
0890	1	Cabeza de Vaca
0891	1	De Wisselwachter
0892	1	Character
0893	1	Antonia's Line
0894	1	De Stilte Rond Christine M
0895	1	Spetters
0896	1	Het Meisje Met Het Rode Haar
0897	1	Gebroken Spiegels
0898	1	Once Were Warriors
0899	1	What Becomes of the Broken Hearted?
0900	1	Broken English
0901	1	Loaded
0902	1	Bad Taste
0903	1	Shipwrecked
0904	1	Sofie
0905	1	Man of Iron
0906	1	Camera Buff
0907	1	A Year of the Quiet Sun
0908	1	The Double Life of Veronique
0909	1	White
0910	1	Oliver!
0911	1	My Fair Lady
0912	1	Funny Girl
0913	1	Fiddler on the Roof
0914	1	Dancer in the Dark
0915	1	Pennies from Heaven
0916	1	Gigi
0917	1	All That Jazz
0918	1	Tommy
0919	1	Seven Brides for Seven Brothers
0920	1	Royal Wedding
0921	1	Pal Joey
0922	1	Otello
0923	1	King Creole
0924	1	Brigadoon
0925	1	The Young Girls of Rochefort
0926	1	Lost in the Stars
0927	1	The Cuckoo
0928	1	Prisoner of the Mountains
0929	1	Moloch
0930	1	The Thief
0931	1	Brother
0932	1	Okno v Parizh
0933	1	Tristana
0934	1	Live Flesh
0935	1	Lovers
0936	1	Matador
0937	1	Open Your Eyes
0938	1	The Flower of My Secret
0939	1	Jamón Jamón
0940	1	Belle Epoque
0941	1	The Law of Desire
0942	1	Butterfly
0943	1	Manolito Gafotas
0944	1	The Grandfather
0945	1	Thesis
0946	1	El Dia de la Bestia
0947	1	Tie Me Up! Tie Me Down!
0948	1	El Nido
0949	1	Mama Cumple Cien Años
0950	1	High Heels
0951	1	El Jardin de las Delicias
0952	1	My Life as a Dog
0953	1	Shame
0954	1	The Sacrifice
0955	1	Ansikte mot Ansikte
0956	1	The Slingshot
0957	1	All Things Fair
0958	1	Pippi Longstocking
0959	1	The Passion of Anna
0960	1	Mio in the Land of Faraway
0961	1	Reise der Hoffnung
0962	1	Dangerous Moves
0963	1	Hope and Glory
0964	1	The Draughtsman's Contract
0965	1	Topsy-Turvy
0966	1	Shakespeare in Love
0967	1	Secrets and Lies
0968	1	Anne Frank Remembered
0969	1	The Ruling Class
0970	1	A Room With a View
0971	1	A Passage to India
0972	1	My Left Foot
0973	1	Mona Lisa
0974	1	Macbeth
0975	1	The Killing Fields
0976	1	The Elephant Man
0977	1	The Cook, the Thief, His Wife and Her Lover
0978	1	Chariots of Fire
0979	1	The House of Mirth
0980	1	The End of the Affair
0981	1	Ratcatcher
0982	1	Notting Hill
0983	1	My Name Is Joe
0984	1	The War Zone
0985	1	The Boxer
0986	1	The Wings of the Dove
0987	1	The Full Monty
0988	1	My Son the Fanatic
0989	1	The Butcher Boy
0990	1	The English Patient
0991	1	Trainspotting
0992	1	Sense and Sensibility
0993	1	Visions of Light: The Art of Cinematography
0994	1	Boogie Nights
0995	1	Hoop Dreams
0996	1	Ed Wood
0997	1	Repentance
0998	1	Dersu Uzala
0999	1	The Tin Drum
1000	1	The Marquise of O
1001	1	Circle of Deceit
1002	1	Veronika Voss
1003	1	Stroszek
1004	1	The Lost Honor of Katharina Blum
1005	1	Effi Briest
1006	1	Bagdad Cafe
1007	1	The American Friend
1008	1	Sugarbaby
1009	1	Men...
1010	1	Lili Marleen
1011	1	Hanussen
1012	1	Christiane F.
1013	1	Chariots of the Gods
1014	1	Time of the Gypsies
1015	1	When Father Was Away on Business
1016	1	Black Cat, White Cat
1017	1	That Summer of White Roses
1018	1	Far from Heaven
1019	1	You Can Count On Me
1020	1	The Taste of Cherry
1021	1	Gabbeh
1022	1	Leaving Las Vegas
1023	1	Cyclo
1024	1	The Shawshank Redemption
1025	1	Quiz Show
1026	1	Faces
1027	1	If...
1028	1	The Unbearable Lightness of Being
1029	1	Tender Mercies
1030	1	Sweet Smell of Success
1031	1	A Soldier's Story
1032	1	Salvador
1033	1	Paris, Texas
1034	1	Ordinary People
1035	1	Enter the Dragon
1036	1	Time and Tide
1037	1	Shaft in Africa
1038	1	Die Hard 2
