movie	boxofficemojo	title
0134	1	Red Rock West
0135	1	The Gingerbread Man
0136	1	The Salton Sea
0137	1	The Underneath
0138	1	Kill Me Again
0139	1	Following
0140	1	Sleepless in Seattle
0141	1	When Harry Met Sally...
0142	1	While You Were Sleeping
0143	1	End of Days
0144	1	Strange Days
0145	1	Four Rooms
0146	1	Better Luck Tomorrow
0147	1	New Year's Eve
0148	1	Bruce Almighty
0149	1	Anchorman:
0150	1	All the President's Men
0151	1	Broadcast News
0152	1	Private Parts
0153	1	Absence of Malice
0154	1	The Paper
0155	1	State of Play
0156	1	Good Night, and Good Luck.
0157	1	I Love Trouble
0158	1	Morning Glory
0159	1	The Insider
0160	1	Little Black Book
0161	1	Hero
0162	1	Frost/Nixon
0163	1	Lucky Numbers
0164	1	Resurrecting the Champ
0165	1	Shattered Glass
0166	1	Veronica Guerin
0167	1	Welcome to Sarajevo
0168	1	Mr. &amp; Mrs. Smith
0169	1	There's Something About Mary
0170	1	Scooby-Doo
0171	1	Traffic
0172	1	Vanilla Sky
0173	1	Me, Myself and Irene
0174	1	Far and Away
0175	1	Edward Scissorhands
0176	1	Just Married
0177	1	Bugsy
0178	1	Cruel Intentions
0179	1	Proof of Life
0180	1	Overboard
0181	1	Innerspace
0182	1	Volunteers
0183	1	Mortal Thoughts
0184	1	Love Affair
0185	1	Going the Distance
0186	1	Bringing Out the Dead
0187	1	Gattaca
0188	1	She's So Lovely
0189	1	Swing Shift
0190	1	Gigli
0191	1	Pearl Harbor
0192	1	Top Gun
0193	1	Air Force One
0194	1	Black Hawk Down
0195	1	The Aviator
0196	1	Flightplan
0197	1	Airplane!
0198	1	Six Days, Seven Nights
0199	1	Hot Shots!
0200	1	Behind Enemy Lines
0201	1	Red Eye
0202	1	Firefox
0203	1	Always
0204	1	Snakes on a Plane
0205	1	Stealth
0206	1	United 93
0207	1	Air America
0208	1	Memphis Belle
0209	1	Iron Eagle
0210	1	The Right Stuff
0211	1	Flight of the Phoenix
0212	1	Flyboys
0213	1	Turbulence
0214	1	Pushing Tin
0215	1	Pirates of the Caribbean:
0216	1	Pirates of the Caribbean:
0217	1	Pirates of the Caribbean:
0218	1	Hook
0219	1	The Goonies
0220	1	Muppet Treasure Island
0221	1	The Princess Bride
0222	1	Cutthroat Island
0223	1	Pirates (1986)
0224	1	The Manchurian Candidate
0225	1	Dave
0226	1	The American President
0227	1	Wag the Dog
0228	1	Primary Colors
0229	1	Head of State
0230	1	Man of the Year
0231	1	Black Sheep
0232	1	Speechless
0233	1	The Contender
0234	1	Election
0235	1	Nixon
0236	1	All the King's Men
0237	1	Bob Roberts
0238	1	Fahrenheit 9/11
0239	1	Three Kings
0240	1	South Park - Bigger, Longer and Uncut
0241	1	Team America:
0242	1	Thank You for Smoking
0243	1	Bowling for Columbine
0244	1	They Live
0245	1	Brazil
0246	1	1984
0247	1	American Dreamz
0248	1	Dick
0249	1	Citizen Ruth
0250	1	Casino Jack
0251	1	Austin Powers in Goldmember
0252	1	8 Mile
0253	1	The Dukes of Hazzard
0254	1	Boyz N the Hood
0255	1	Romeo Must Die
0256	1	Crash
0257	1	A Walk to Remember
0258	1	Set It Off
0259	1	Mad Max Beyond Thunderdome
0260	1	Get Rich or Die Tryin'
0261	1	Burlesque
0262	1	Poetic Justice
0263	1	Fear
0264	1	Light of Day
0265	1	Vibes
0266	1	My Blueberry Nights
0267	1	Ride with the Devil
0268	1	Shrek 2
0269	1	Finding Nemo
0270	1	Shrek
0271	1	The Incredibles
0272	1	Monsters, Inc.
0273	1	Toy Story 2
0274	1	Cars
0275	1	WALL-E
0276	1	Ratatouille
0277	1	Happy Feet
0278	1	Toy Story
0279	1	Madagascar:
0280	1	A Bug's Life
0281	1	Dr. Seuss' Horton Hears a Who!
0282	1	Barnyard:
0283	1	Arthur and the Invisibles
0284	1	Foodfight!
0285	1	I Am Legend
0286	1	Terminator Salvation
0287	1	The Book of Eli
0288	1	Zombieland
0289	1	Dawn of the Dead
0290	1	28 Days Later
0291	1	Reign of Fire
0292	1	Escape From L.A.
0293	1	Escape from New York
0294	1	The Road Warrior
0295	1	The Postman
0296	1	Doomsday
0297	1	Mad Max
0298	1	Screamers
0299	1	Star Wars:
0300	1	Star Wars:
0301	1	Star Trek
0302	1	Batman Begins
0303	1	X-Men Origins:
0304	1	Indiana Jones and the Temple of Doom
0305	1	Casino Royale
0306	1	Red Dragon
0307	1	Alien Vs. Predator
0308	1	Exorcist:
0309	1	Dominion:
0310	1	X-Men:
0311	1	Rise of the Apes (tentative title)
0312	1	Independence Day
0313	1	JFK
0314	1	Absolute Power
0315	1	W.
0316	1	My Fellow Americans
0317	1	First Daughter
0318	1	Deterrence
0319	1	The Dark Crystal
0320	1	The Muppets Take Manhattan
0321	1	Being John Malkovich
0322	1	Muppets from Space
0323	1	Notorious (2009)
0324	1	Malibu's Most Wanted
0325	1	Brown Sugar
0326	1	Hustle and Flow
0327	1	House Party 3
0328	1	CB4
0329	1	The Show
0330	1	The Truman Show
0331	1	Jackass:
0332	1	Jackass:
0333	1	EDtv
0334	1	Reality Bites
0335	1	Real Life
0336	1	Godzilla
0337	1	The Departed
0338	1	The Ring
0339	1	Eight Below
0340	1	Shall We Dance
0341	1	The Eye
0342	1	Mirrors
0343	1	One Missed Call
0344	1	Last Man Standing
0345	1	The Italian Job
0346	1	The Ladykillers
0347	1	Quest for Camelot
0348	1	The Black Cauldron
0349	1	The Pagemaster
0350	1	A Troll in Central Park
0351	1	True Lies
0352	1	Insomnia
0353	1	12 Monkeys
0354	1	Quarantine
0355	1	Point of No Return
0356	1	The Invisible
0357	1	Eye of the Beholder
0358	1	The Tourist
0359	1	The Girl with the Dragon Tattoo (2011)
0360	1	The Birdcage
0361	1	Dinner for Schmucks
0362	1	Nine Months
0363	1	The Toy
0364	1	Father's Day
0365	1	My Father, the Hero
0366	1	The Woman in Red
0367	1	Cousins
0368	1	Intersection
0369	1	Breathless
0370	1	The Associate
0371	1	The Mummy Returns
0372	1	Ocean's Twelve
0373	1	The Nutty Professor II:
0374	1	Ocean's Thirteen
0375	1	Dr. Dolittle 2
0376	1	The Mummy:
0377	1	Cheaper by the Dozen 2
0378	1	Father of the Bride Part II
0379	1	The Pink Panther 2
0380	1	Halloween II (2009)
0381	1	Homeward Bound II:
0382	1	The Brazilian Job (a.k.a. The Italian Job II)
0383	1	Gladiator
0384	1	Mystic River
0385	1	Braveheart
0386	1	Four Brothers
0387	1	V for Vendetta
0388	1	Kill Bill Vol. 1
0389	1	Kill Bill Vol. 2
0390	1	Once Upon a Time in Mexico
0391	1	The Count of Monte Cristo
0392	1	The Crow
0393	1	Edge of Darkness
0394	1	The Brave One
0395	1	We Own the Night
0396	1	Eye for an Eye
0397	1	A Man Apart
0398	1	Desperado
0399	1	Ricochet
0400	1	Faster
0401	1	The Quick and the Dead
0402	1	The Crow:
0403	1	The Devil's Rejects
0404	1	Revenge
0405	1	Death Sentence
0406	1	The Limey
0407	1	Haywire
0408	1	What Women Want
0409	1	Hitch
0410	1	The Proposal
0411	1	Knocked Up
0412	1	Bringing Down the House
0413	1	Sweet Home Alabama
0414	1	My Best Friend's Wedding
0415	1	Mr. Deeds
0416	1	Something's Gotta Give
0417	1	50 First Dates
0418	1	The Break-Up
0419	1	You've Got Mail
0420	1	It's Complicated
0421	1	Valentine's Day
0422	1	Shakespeare in Love
0423	1	Norbit
0424	1	Sex and the City 2
0425	1	Maid in Manhattan
0426	1	He's Just Not That Into You
0427	1	America's Sweethearts
0428	1	The Ugly Truth
0429	1	Failure to Launch
0430	1	The Wedding Singer
0431	1	Shallow Hal
0432	1	Fool's Gold
0433	1	Splash
0434	1	Down to Earth
0435	1	Working Girl
0436	1	Bewitched
0437	1	The Holiday
0438	1	Forgetting Sarah Marshall
0439	1	The Wedding Planner
0440	1	Housesitter
0441	1	Easy A
0442	1	Clueless
0443	1	Never Been Kissed
0444	1	Doc Hollywood
0445	1	Sabrina
0446	1	Four Weddings and a Funeral
0447	1	Life as We Know It
0448	1	Music and Lyrics
0449	1	Serendipity
0450	1	Legal Eagles
0451	1	Just Like Heaven
0452	1	Kate and Leopold
0453	1	One Fine Day
0454	1	License to Wed
0455	1	Sense and Sensibility
0456	1	No Reservations
0457	1	Rumor Has It
0458	1	Because I Said So
0459	1	Fever Pitch
0460	1	About a Boy
0461	1	Bridget Jones:
0462	1	Hannah and Her Sisters
0463	1	Manhattan
0464	1	French Kiss
0465	1	About Last Night...
0466	1	How Do You Know
0467	1	Just Go With It
0468	1	Crazy, Stupid, Love.
0469	1	Monte Carlo
0470	1	Friends with Benefits
0471	1	Ghosts of Girlfriends Past
0472	1	The Preacher's Wife
0473	1	Two of a Kind
0474	1	Hello Again
0475	1	Ghost Town
0476	1	High Spirits
0477	1	A Life Less Ordinary
0478	1	Titanic
0479	1	Ghost
0480	1	Jerry Maguire
0481	1	An Officer and a Gentleman
0482	1	Cold Mountain
0483	1	Out of Africa
0484	1	Brokeback Mountain
0485	1	The Notebook
0486	1	Dear John
0487	1	City of Angels
0488	1	The English Patient
0489	1	The Horse Whisperer
0490	1	The Bridges of Madison County
0491	1	Legends of the Fall
0492	1	The Time Traveler's Wife
0493	1	Hope Floats
0494	1	P.S. I Love You
0495	1	Meet Joe Black
0496	1	The Piano
0497	1	For Love of the Game
0498	1	Dying Young
0499	1	The Accidental Tourist
0500	1	Children of a Lesser God
0501	1	Random Hearts
0502	1	Charlie St. Cloud
0503	1	Captain Corelli's Mandolin
0504	1	Shining Through
0505	1	A Room with a View
0506	1	Say Anything
0507	1	Remember Me
0508	1	Bed of Roses
0509	1	Untamed Heart
0510	1	Some Kind of Wonderful
0511	1	crazy/beautiful
0512	1	In Love and War
0513	1	Snow Falling on Cedars
0514	1	The Wings of the Dove
0515	1	Love Jones
0516	1	The End of the Affair
0517	1	Possession (2002)
0518	1	Mississippi Masala
0519	1	Before Sunset
0520	1	Before Sunrise
0521	1	Beyond Borders
0522	1	Mrs. Soffel
0523	1	Breaking the Waves
0524	1	The Twilight Saga:
0525	1	The Twilight Saga:
0526	1	Twilight
0527	1	Starman
0528	1	Ladyhawke
0529	1	A Midsummer Night's Dream
0530	1	The Purple Rose of Cairo
0531	1	Truly, Madly, Deeply
0532	1	The Twilight Saga:
0533	1	The Twilight Saga:
0534	1	Harry Potter and the Sorcerer's Stone
0535	1	Harry Potter and the Half-Blood Prince
0536	1	Harry Potter and the Order of the Phoenix
0537	1	Harry Potter and the Goblet of Fire
0538	1	Harry Potter and the Chamber of Secrets
0539	1	Dead Poets Society
0540	1	Mona Lisa Smile
0541	1	Young Sherlock Holmes
0542	1	The Emperor's Club
0543	1	A Little Princess
0544	1	The Chocolate War
0545	1	Wide Awake
0546	1	Star Wars
0547	1	Jurassic Park
0548	1	The Empire Strikes Back
0549	1	The Lost World:
0550	1	Planet of the Apes (2001)
0551	1	Congo
0552	1	Stargate
0553	1	The Fifth Element
0554	1	Mission to Mars
0555	1	The Abyss
0556	1	Zathura
0557	1	Serenity
0558	1	Titan A.E.
0559	1	Babylon A.D.
0560	1	The Adventures of Pluto Nash
0561	1	The Iron Giant
0562	1	War of the Worlds
0563	1	Signs
0564	1	The Faculty
0565	1	Evolution
0566	1	Skyline
0567	1	The Arrival
0568	1	Cowboys &amp; Aliens
0569	1	I, Robot
0570	1	Contact
0571	1	Jumper
0572	1	Cocoon
0573	1	The Stepford Wives
0574	1	Starship Troopers
0575	1	K-PAX
0576	1	2010
0577	1	Sphere
0578	1	The Mothman Prophecies
0579	1	Children of Men
0580	1	Dreamcatcher
0581	1	Dune
0582	1	The Incredible Shrinking Woman
0583	1	Altered States
0584	1	The Thing (1982)
0585	1	Timeline
0586	1	Freejack
0587	1	Solaris
0588	1	Memoirs of an Invisible Man
0589	1	Deadly Friend
0590	1	A Scanner Darkly
0591	1	Solo
0592	1	Robocop
0593	1	Robocop 2
0594	1	Simone
0595	1	Minority Report
0596	1	Total Recall
0597	1	Paycheck
0598	1	Predators
0599	1	The Island
0600	1	Aeon Flux
0601	1	Johnny Mnemonic
0602	1	Now
0603	1	Honey, I Shrunk the Kids
0604	1	The Nutty Professor (1996)
0605	1	Twins
0606	1	Bicentennial Man
0607	1	Spaceballs
0608	1	Eternal Sunshine of the Spotless Mind
0609	1	Weird Science
0610	1	Short Circuit 2
0611	1	Coneheads
0612	1	Multiplicity
0613	1	Zapped!
0614	1	Meet Dave
0615	1	What Planet Are You From?
0616	1	Idiocracy
0617	1	Used Guys
0618	1	Aliens
0619	1	Alien 3
0620	1	Alien Resurrection
0621	1	Aliens Vs. Predator - Requiem
0622	1	Resident Evil
0623	1	Pitch Black
0624	1	Doom
0625	1	Event Horizon
0626	1	Mimic
0627	1	Mary Shelley's Frankenstein
0628	1	Species II
0629	1	Pandorum
0630	1	John Carpenter's Ghosts of Mars
0631	1	Cube
0632	1	Rollerball
0633	1	Village of the Damned
0634	1	Jaws
0635	1	Deep Blue Sea
0636	1	Dumb and Dumber
0637	1	Wayne's World
0638	1	Superbad
0639	1	Road Trip
0640	1	Beavis and Butt-Head Do America
0641	1	Bill and Ted's Bogus Journey
0642	1	Jay and Silent Bob Strike Back
0643	1	Friday
0644	1	Fast Times at Ridgemont High
0645	1	National Lampoon's Van Wilder
0646	1	Singles
0647	1	The Big Lebowski
0648	1	Go
0649	1	Loser
0650	1	Dazed and Confused
0651	1	Detroit Rock City
0652	1	Clerks
0653	1	Mallrats
0654	1	Slacker
0655	1	Kicking and Screaming
0656	1	SubUrbia
0657	1	Bottle Rocket
0658	1	Smiley Face
0659	1	A League of Their Own
0660	1	The Benchwarmers
0661	1	The Natural
0662	1	Hardball
0663	1	Bad News Bears
0664	1	Major League II
0665	1	Mr. 3000
0666	1	Mr. Baseball
0667	1	The Fan
0668	1	The Babe
0669	1	BASEketball
0670	1	Ed
0671	1	The Final Season
0672	1	Sugar
0673	1	Moneyball
0674	1	Tim Burton's The Nightmare Before Christmas
0675	1	Tim Burton's Corpse Bride
0676	1	James and the Giant Peach
0677	1	Fantastic Mr. Fox
0678	1	Monkeybone
0679	1	Coach Carter
0680	1	Eddie
0681	1	Blue Chips
0682	1	He Got Game
0683	1	The Air Up There
0684	1	Rebound
0685	1	The 6th Man
0686	1	Sunset Park
0687	1	Celtic Pride
0688	1	Hurricane Season (formerly The Patriots)
0689	1	Rocky IV
0690	1	Rocky III
0691	1	Million Dollar Baby
0692	1	Rocky II
0693	1	Rocky Balboa
0694	1	Cinderella Man
0695	1	Ali
0696	1	Raging Bull
0697	1	Annapolis
0698	1	Undisputed
0699	1	The Boxer
0700	1	Streets of Gold
0701	1	Girlfight
0702	1	Tyson
0703	1	On the Ropes
0704	1	The Fighter
0705	1	Remember the Titans
0706	1	Any Given Sunday
0707	1	Cool Runnings
0708	1	Miracle
0709	1	Stick It
0710	1	The Program
0711	1	Little Giants
0712	1	XXX
0713	1	Point Break
0714	1	Blue Crush
0715	1	XXX:
0716	1	Lords of Dogtown
0717	1	Airborne
0718	1	The Waterboy
0719	1	The Longest Yard
0720	1	Varsity Blues
0721	1	We Are Marshall
0722	1	Necessary Roughness
0723	1	Rudy
0724	1	Everybody's All-American
0725	1	The Express
0726	1	Forrest Gump
0727	1	The Game Plan
0728	1	Ace Ventura:
0729	1	Lucas
0730	1	Happy Gilmore
0731	1	The Legend of Bagger Vance
0732	1	Tooth Fairy
0733	1	The Cutting Edge
0734	1	Sudden Death
0735	1	Mystery, Alaska
0736	1	Blades of Glory
0737	1	The Simpsons Movie
0738	1	She's the Man
0739	1	The Big Green
0740	1	Gracie
0741	1	The Damned United
0742	1	Goal 2:
0743	1	Bring It On
0744	1	Kingpin
0745	1	Beerfest
0746	1	Wimbledon
0747	1	Ready to Rumble
0748	1	The Wrestler
0749	1	Champions
0750	1	The Bourne Ultimatum
0751	1	Mission:
0752	1	Austin Powers:
0753	1	Mission:
0754	1	The Bourne Supremacy
0755	1	Die Another Day
0756	1	Mission:
0757	1	Get Smart
0758	1	The World Is Not Enough
0759	1	Charlie's Angels
0760	1	Clear and Present Danger
0761	1	The Hunt for Red October
0762	1	Salt
0763	1	Spy Kids
0764	1	GoldenEye
0765	1	Spy Kids 2:
0766	1	Patriot Games
0767	1	Spy Game
0768	1	The Saint
0769	1	Never Say Never Again
0770	1	Austin Powers:
0771	1	Agent Cody Banks
0772	1	Duplicity
0773	1	Undercover Brother
0774	1	No Way Out
0775	1	The Long Kiss Goodnight
0776	1	Breach
0777	1	Jumpin' Jack Flash
0778	1	The Avengers (1998)
0779	1	The Russia House
0780	1	Top Secret!
0781	1	Best Defense
0782	1	Eye of the Needle
0783	1	The Falcon and the Snowman
0784	1	Gorky Park
0785	1	The Package
0786	1	Fair Game (2010)
0787	1	La Femme Nikita
0788	1	Enigma
0789	1	Charlotte Gray
0790	1	Mother Night
0791	1	The Secret Agent
0792	1	Abduction
0793	1	The Bourne Legacy
0794	1	DysFunKtional Family
0795	1	Crimson Tide
0796	1	Das Boot
0797	1	Freaky Friday
0798	1	The Princess Diaries
0799	1	Legally Blonde
0800	1	The Princess Diaries 2:
0801	1	The Parent Trap
0802	1	Ever After:
0803	1	Step Up
0804	1	John Tucker Must Die
0805	1	Uptown Girls
0806	1	Adventures in Babysitting
0807	1	Material Girls
0808	1	BRATZ
0809	1	Sleepover
0810	1	The Dark Knight
0811	1	Spider-Man
0812	1	Spider-Man 3
0813	1	Iron Man
0814	1	Iron Man 2
0815	1	Batman
0816	1	Hancock
0817	1	X2:
0818	1	Superman Returns
0819	1	Batman Forever
0820	1	X-Men
0821	1	Fantastic Four
0822	1	The Incredible Hulk
0823	1	Superman
0824	1	Hulk
0825	1	Fantastic Four:
0826	1	Ghost Rider
0827	1	Watchmen
0828	1	Daredevil
0829	1	Unbreakable
0830	1	The Mask of Zorro
0831	1	Blade II
0832	1	Hellboy II:
0833	1	Hellboy
0834	1	Kick-Ass
0835	1	The Rocketeer
0836	1	The Legend of Zorro
0837	1	Judge Dredd
0838	1	Darkman
0839	1	The Shadow
0840	1	Superhero Movie
0841	1	Elektra
0842	1	My Super Ex-Girlfriend
0843	1	The Phantom
0844	1	Zoom
0845	1	Blankman
0846	1	Orgazmo
0847	1	The Specials
0848	1	Thor
0849	1	Captain America:
0850	1	The Avengers (2012)
0851	1	Walk the Line
0852	1	Ray
0853	1	Coal Miner's Daughter
0854	1	Shine
0855	1	Selena
0856	1	The Doors
0857	1	The Soloist
0858	1	Why Do Fools Fall in Love?
0859	1	El Cantante
0860	1	Topsy-Turvy
0861	1	I'm Not There
0862	1	Backbeat
0863	1	Bird
0864	1	24 Hour Party People
0865	1	Control
0866	1	Robin Hood:
0867	1	First Knight
0868	1	Rob Roy
0869	1	The Musketeer
0870	1	The Sorcerer's Apprentice
0871	1	Willow
0872	1	Dragonheart
0873	1	Legend
0874	1	In the Name of the King:
0875	1	Conan the Barbarian (2011)
0876	1	Collateral
0877	1	Conspiracy Theory
0878	1	Taxi Driver
0879	1	D.C. Cab
0880	1	School of Rock
0881	1	Freedom Writers
0882	1	The Great Debaters
0883	1	The Man Without a Face
0884	1	Renaissance Man
0885	1	Music of the Heart
0886	1	Half Nelson
0887	1	In &amp; Out
0888	1	Anna and the King
0889	1	October Sky
0890	1	Billy Elliot
0891	1	High School High
0892	1	The Principal
0893	1	Wonder Boys
0894	1	The Substitute
0895	1	An Education
0896	1	187
0897	1	Hamlet 2
0898	1	Save the Last Dance
0899	1	The Sisterhood of the Traveling Pants
0900	1	Sixteen Candles
0901	1	Tuck Everlasting
0902	1	The Sure Thing
0903	1	For Keeps
0904	1	Valley Girl
0905	1	Reckless
0906	1	Some Girls
0907	1	World Trade Center
0908	1	Swordfish
0909	1	The Kingdom
0910	1	Munich
0911	1	The Devil's Own
0912	1	The Siege
0913	1	Collateral Damage
0914	1	Fight Club
0915	1	Blown Away
0916	1	In the Name of the Father
0917	1	Arlington Road
0918	1	The Delta Force
0919	1	Invasion U.S.A.
0920	1	The Soldier
0921	1	Scent of a Woman
0922	1	Planes, Trains and Automobiles
0923	1	Home for the Holidays
0924	1	The Ice Storm
0925	1	Tadpole
0926	1	The House of Yes
0927	1	American Gangster
0928	1	Donnie Brasco
0929	1	Boogie Nights
0930	1	Summer of Sam
0931	1	Roll Bounce
0932	1	My Girl 2
0933	1	The War
0934	1	54
0935	1	Crooklyn
0936	1	The Hoax
0937	1	Moonlight Mile
0938	1	Basic Instinct
0939	1	Disclosure
0940	1	Sliver
0941	1	Dressed to Kill
0942	1	Perfect Stranger
0943	1	Consenting Adults
0944	1	Color of Night
0945	1	The Big Easy
0946	1	Jade
0947	1	Body Double
0948	1	Blue Velvet
0949	1	Femme Fatale
0950	1	Basic Instinct 2
0951	1	In the Cut
0952	1	Deception (2008)
0953	1	Chloe
0954	1	Nathalie
0955	1	Pulp Fiction
0956	1	The Pianist
0957	1	sex, lies and videotape
0958	1	Wild at Heart
0959	1	Secrets &amp; Lies
0960	1	Barton Fink
0961	1	The Wind That Shakes the Barley
0962	1	In the Line of Fire
0963	1	The Pelican Brief
0964	1	The Interpreter
0965	1	The Jackal
0966	1	Body of Lies
0967	1	The Sentinel
0968	1	The Constant Gardener
0969	1	Murder at 1600
0970	1	City Hall
0971	1	The Ghost Writer
0972	1	The Quiet American
0973	1	Blow Out
0974	1	Rendition
0975	1	Return to Paradise
0976	1	Death and the Maiden
0977	1	Salvador
0978	1	Sleeping with the Enemy
0979	1	The Hand That Rocks the Cradle
0980	1	Cape Fear
0981	1	Single White Female
0982	1	Enough
0983	1	Lakeview Terrace
0984	1	One Hour Photo
0985	1	The Juror
0986	1	Blue Steel
0987	1	The Stepfather
0988	1	Dream Lover
0989	1	Hannibal
0990	1	The Silence of the Lambs
0991	1	Seven
0992	1	The Bone Collector
0993	1	The Cell
0994	1	Identity
0995	1	Natural Born Killers
0996	1	Monster
0997	1	Zodiac
0998	1	Taking Lives
0999	1	Copycat
1000	1	Untraceable
1001	1	Mr. Brooks
1002	1	Manhunter
1003	1	Kalifornia
1004	1	Terminator 2:
1005	1	Back to the Future Part II
1006	1	Back to the Future Part III
1007	1	Deja Vu
1008	1	Frequency
1009	1	Timecop
1010	1	Time Bandits
1011	1	The Terminator
1012	1	A Sound of Thunder
1013	1	Transformers:
1014	1	Masters of the Universe
1015	1	The Indian in the Cupboard
1016	1	Bride of Chucky
1017	1	Mr. Magorium's Wonder Emporium
1018	1	The Adventures of Pinocchio
1019	1	The Town
1020	1	Gone Baby Gone
1021	1	A Very Brady Sequel
1022	1	The Talented Mr. Ripley
1023	1	Letters to Juliet
1024	1	The American
1025	1	When in Rome
1026	1	Only You
1027	1	The Last Samurai
1028	1	The Fast and the Furious:
1029	1	Black Rain
1030	1	Lost in Translation
1031	1	Fast and Furious
1032	1	2 Fast 2 Furious
1033	1	Speed Racer
1034	1	Death Race
1035	1	Driven
1036	1	Cannonball Run II
1037	1	Fast Five
1038	1	The Hangover
1039	1	Ocean's Eleven
1040	1	21
1041	1	Casino
1042	1	Vegas Vacation
1043	1	Honeymoon in Vegas
1044	1	Fools Rush In
1045	1	Showgirls
1046	1	The Cooler
1047	1	Lucky You
1048	1	Viva Las Vegas
1049	1	Beverly Hills Chihuahua
1050	1	The Mexican
1051	1	From Dusk Till Dawn
1052	1	The Border
1053	1	The Way of the Gun
1054	1	El Mariachi
1055	1	Cop Land
1056	1	Just Friends
1057	1	Jersey Girl
1058	1	Freedomland
1059	1	Running Scared
1060	1	Find Me Guilty
1061	1	Catch Me If You Can
1062	1	The Client
1063	1	The Skeleton Key
1064	1	Dead Man Walking
1065	1	Candyman:
1066	1	Cat People
1067	1	The Da Vinci Code
1068	1	The Pink Panther (2006)
1069	1	Anastasia
1070	1	Frantic
1071	1	Ready to Wear
1072	1	Le Divorce
1073	1	The Truth About Charlie
1074	1	Paris, je t'aime
1075	1	2 Days in Paris
1076	1	Jefferson in Paris
1077	1	A Soldier's Daughter Never Cries
1078	1	Indiana Jones and the Kingdom of the Crystal Skull
1079	1	Indiana Jones and the Last Crusade
