camera	buy	price
0109	1	$97.99
0110	1	$139.95
0111	1	$51.26
0112	1	$199.99
0113	1	$719.95
0114	1	$189.00
0115	1	$142.95
0116	1	$34.00
0117	1	$102.82
0118	1	$399.41
0119	1	$95.99
0120	1	$699.00
0121	1	$124.95
0122	1	$61.36
0123	1	$79.00
0124	1	$99.99
0125	1	$179.00
0126	1	$99.95
0127	1	$499.00
0128	1	$549.00
0129	1	$174.99
0130	1	$179.00
0131	1	$388.00
0132	1	$71.95
0133	1	$149.88
0134	1	$499.00
0135	1	$138.99
0136	1	$129.00
0137	1	$134.93
0138	1	$98.94
0139	1	$599.00
0140	1	$69.99
0141	1	$69.95
0142	1	$95.99
0143	1	$137.11
0144	1	$88.00
0145	1	$69.00
0146	1	$198.89
0147	1	$107.95
0148	1	$39.95
0149	1	$199.00
0150	1	$199.00
0151	1	$277.98
0152	1	$199.00
0153	1	$210.99
0154	1	$65.99
0155	1	$149.99
0156	1	$678.88
0157	1	$89.00
0158	1	$279.99
0159	1	$149.88
0160	1	$404.88
0161	1	$105.56
0162	1	$189.00
0163	1	$144.00
0164	1	$505.64
0165	1	$179.99
0166	1	$79.95
0167	1	$79.95
0168	1	$81.99
0169	1	$169.99
0170	1	$179.99
0171	1	$79.95
0172	1	$749.71
0173	1	$178.99
0174	1	$719.95
0175	1	$219.95
0176	1	$403.41
0177	1	$51.19
0178	1	$152.33
0179	1	$399.00
0180	1	$249.28
0181	1	$264.72
0182	1	$149.00
0183	1	$107.95
0184	1	$54.99
0185	1	$259.88
0186	1	$91.91
0187	1	$112.45
0188	1	$261.36
0189	1	$149.00
0190	1	$265.98
0191	1	$79.95
0192	1	$199.00
0193	1	$99.00
0194	1	$98.88
0195	1	$86.96
0196	1	$169.98
0197	1	$259.99
0198	1	$466.64
0199	1	$199.99
0200	1	$199.99
0201	1	$229.99
0202	1	$57.00
0203	1	$199.00
0204	1	$79.99
0205	1	$127.99
0206	1	$57.99
0207	1	$69.95
0208	1	$46.05
0209	1	$139.00
0210	1	$224.84
0211	1	$99.99
0212	1	$179.00
0213	1	$129.99
0214	1	$229.98
0215	1	$58.09
0216	1	$151.89
0217	1	$179.00
0218	1	$209.00
0219	1	$149.99
0220	1	$989.00
0221	1	$319.88
0222	1	$319.88
0223	1	$124.99
0224	1	$13.26
0225	1	$133.70
0226	1	$199.99
0227	1	$10.79
0228	1	$69.95
0229	1	$143.02
0230	1	$124.99
0231	1	$47.60
0232	1	$139.95
0233	1	$599.00
0234	1	$139.00
0235	1	$249.99
0236	1	$192.35
0237	1	$39.99
0238	1	$57.99
0239	1	$139.95
0240	1	$53.99
0241	1	$91.76
0242	1	$168.00
0243	1	$249.00
0244	1	$99.99
0245	1	$305.77
0246	1	$85.99
0247	1	$15.42
0248	1	$174.95
0249	1	$47.99
0250	1	$139.00
0251	1	$193.19
0252	1	$79.95
0253	1	$23.17
0254	1	$87.65
0255	1	$69.95
0256	1	$362.00
0257	1	$205.00
0258	1	$79.95
0259	1	$131.64
0260	1	$86.96
0261	1	$107.43
0262	1	$53.39
0263	1	$149.00
0264	1	$155.16
0265	1	$179.99
0266	1	$183.60
0267	1	$88.01
0268	1	$45.07
0269	1	$46.75
0270	1	$170.99
0271	1	$169.99
0272	1	$129.00
0273	1	$126.28
0274	1	$124.99
0275	1	$119.95
0276	1	$24.70
0277	1	$41.45
0278	1	$168.79
0279	1	$24.19
0280	1	$79.95
0281	1	$148.00
0282	1	$115.37
0283	1	$106.44
0284	1	$124.99
0285	1	$62.81
0286	1	$129.95
0287	1	$34.15
0288	1	$481.95
0289	1	$79.00
0290	1	$99.00
0291	1	$219.95
0292	1	$239.99
0293	1	$299.99
0294	1	$84.90
0295	1	$75.00
0296	1	$144.88
0297	1	$69.00
0298	1	$79.95
0299	1	$298.00
0300	1	$158.61
0301	1	$279.00
0302	1	$99.00
0303	1	$1,628.99
0304	1	$239.00
0305	1	$875.62
0306	1	$88.01
0307	1	$103.42
0308	1	$134.00
0309	1	$298.81
0310	1	$99.00
0311	1	$139.95
0312	1	$174.95
0313	1	$61.36
0314	1	$89.95
0315	1	$124.99
0316	1	$260.99
0317	1	$239.00
0318	1	$134.00
0319	1	$169.99
0320	1	$174.95
0321	1	$64.77
0322	1	$99.00
0323	1	$119.95
0324	1	$99.99
0325	1	$267.04
0326	1	$149.99
0327	1	$168.46
0328	1	$139.99
0329	1	$88.01
0330	1	$93.44
0331	1	$64.77
0332	1	$88.01
0333	1	$89.99
0334	1	$79.43
0335	1	$216.95
0336	1	$274.00
0337	1	$149.95
0338	1	$109.99
0339	1	$124.95
0340	1	$160.88
0341	1	$198.20
0342	1	$301.99
0343	1	$170.19
0344	1	$119.95
0345	1	$64.77
0346	1	$149.95
0347	1	$82.99
0348	1	$82.89
0349	1	$159.00
0350	1	$174.95
0351	1	$239.99
0352	1	$59.99
0353	1	$61.24
0354	1	$95.31
0355	1	$139.95
0356	1	$129.00
0357	1	$35.99
0358	1	$249.00
0359	1	$69.99
0360	1	$204.95
0361	1	$61.95
0362	1	$199.00
0363	1	$179.95
0364	1	$189.95
0365	1	$142.99
0366	1	$269.00
0367	1	$381.69
0368	1	$179.95
0369	1	$132.29
0370	1	$89.00
0371	1	$149.00
0372	1	$229.00
0373	1	$122.94
0374	1	$149.88
0375	1	$349.00
0376	1	$269.00
0377	1	$309.88
0378	1	$219.00
0379	1	$45.91
0380	1	$99.00
0381	1	$236.00
0382	1	$73.99
0383	1	$115.00
0384	1	$147.95
0385	1	$229.00
0386	1	$149.00
0387	1	$35.99
0388	1	$88.99
0389	1	$199.00
0390	1	$249.76
0391	1	$199.00
0392	1	$129.00
0393	1	$620.47
0394	1	$412.75
0395	1	$249.00
0396	1	$34.99
0397	1	$99.95
0398	1	$199.95
0399	1	$179.00
0400	1	$179.00
0401	1	$119.99
0402	1	$15.95
0403	1	$199.00
0404	1	$189.99
0405	1	$205.00
0406	1	$214.99
0407	1	$88.00
0408	1	$88.00
0409	1	$309.88
0410	1	$299.00
0411	1	$699.00
0412	1	$99.00
0413	1	$139.95
0414	1	$129.00
0415	1	$79.00
0416	1	$249.00
0417	1	$125.00
0418	1	$44.99
0419	1	$95.99
0420	1	$198.00
0421	1	$49.72
0422	1	$70.68
0423	1	$115.27
0424	1	$199.99
0425	1	$229.88
0426	1	$19.95
0427	1	$399.00
0428	1	$180.69
0429	1	$208.96
0430	1	$149.00
0431	1	$169.99
0432	1	$399.00
0433	1	$349.00
0434	1	$219.99
0435	1	$78.43
0436	1	$119.00
0437	1	$132.99
0438	1	$249.00
0439	1	$55.99
0440	1	$95.99
0441	1	$139.01
0442	1	$199.00
0443	1	$89.00
0444	1	$79.99
0445	1	$68.99
0446	1	$46.20
0447	1	$299.00
0448	1	$35.99
0449	1	$1,409.00
0450	1	$385.13
0451	1	$399.88
0452	1	$499.99
0453	1	$359.99
0454	1	$439.00
0455	1	$299.00
0456	1	$899.00
0457	1	$279.00
0458	1	$229.00
0459	1	$109.99
0460	1	$219.77
0461	1	$299.00
0462	1	$219.95
0463	1	$89.00
0464	1	$112.99
0465	1	$149.00
0466	1	$144.95
0467	1	$47.24
0468	1	$96.95
0469	1	$549.00
0470	1	$239.00
0471	1	$88.00
0472	1	$193.17
0473	1	$103.89
0474	1	$269.00
0475	1	$699.00
0476	1	$84.95
0477	1	$105.94
0478	1	$349.00
0479	1	$74.95
0480	1	$719.00
0481	1	$649.00
0482	1	$319.96
0483	1	$74.49
0484	1	$239.00
0485	1	$164.95
0486	1	$337.99
0487	1	$49.99
0488	1	$269.87
0489	1	$84.89
0490	1	$88.00
0491	1	$43.79
0492	1	$251.99
0493	1	$265.00
0494	1	$199.99
0495	1	$199.00
0496	1	$348.00
0497	1	$99.00
0498	1	$69.00
0499	1	$279.00
