camera	compsource	model
0059	2	Fujifilm FinePix Z800EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Black 3.5" Touchscreen LCD - 5x Optical Zoom - Optical (IS) Included - 4000 x 3000 Image - 1280 x 720 Video - Motion JPEG (AVI) - PictBridge	FinePix Z800EXR Compact Camera
0060	2	Fujifilm FinePix Z800EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Red 3.5" Touchscreen LCD - 5x Optical Zoom - Optical (IS) Included - 4000 x 3000 Image - 1280 x 720 Video - Motion JPEG (AVI) - PictBridge	FinePix Z800EXR Compact Camera
0061	2	Fujifilm FinePix Z800EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Gold 3.5" Touchscreen LCD - 5x Optical Zoom - Optical (IS) Included - 4000 x 3000 Image - 1280 x 720 Video - Motion JPEG (AVI) - PictBridge	FinePix Z800EXR Compact Camera
0062	2	Fujifilm FinePix Z800EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Pink 3.5" Touchscreen LCD - 5x Optical Zoom - Optical (IS) Included - 4000 x 3000 Image - 1280 x 720 Video - Motion JPEG (AVI) - PictBridge	FinePix Z800EXR Compact Camera
0063	2	Nikon Coolpix S6000 14.2 Megapixel Compact Camera - 5 mm-35 mm - Champagne Silver 2.7" LCD - 7x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Coolpix S6000 Compact Camera
0064	2	Pentax Optio RZ10 14 Megapixel Compact Camera - 5 mm-50 mm - Black 2.7" LCD - 10x Optical Zoom - Optical (IS) Included - 4288 x 3216 Image - 1280 x 720 Video - Motion JPEG (AVI)	Optio RZ10 Compact Camera
0065	2	Pentax Optio RZ10 14 Megapixel Compact Camera - 5 mm-50 mm - Lime 2.7" LCD - 10x Optical Zoom - Optical (IS) Included - 4288 x 3216 Image - 1280 x 720 Video - Motion JPEG (AVI)	Optio RZ10 Compact Camera
0066	2	Pentax Optio RZ10 14 Megapixel Compact Camera - 5 mm-50 mm - White 2.7" LCD - 10x Optical Zoom - Optical, Electronic (IS) Included - 4288 x 3216 Image - 1280 x 720 Video - Motion JPEG (AVI)	Optio RZ10 Compact Camera
0067	2	Pentax Optio RZ10 14 Megapixel Compact Camera - 5 mm-50 mm - Violet 2.7" LCD - 10x Optical Zoom - Optical (IS) Included - 4288 x 3216 Image - 1280 x 720 Video - Motion JPEG (AVI)	Optio RZ10 Compact Camera
0068	2	Kodak EasyShare Z915 Point & Shoot Digital Camera - Black - 10 Megapixel - 16:9 - 10x Optical Zoom - 5x Digital Zoom - 2.5" Color LCD KOD8112708 pg.535.	EasyShare Z915 Compact Camera
0069	2	Panasonic Lumix DMC-FX500 Point & Shoot Digital Camera - Silver - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 3" Active Matrix TFT Color LCD	Lumix DMC-FX500 Compact Camera
0070	2	Canon PowerShot SD1400 IS 14.1 Megapixel Compact Camera - 5 mm-20 mm - Black 2.7" LCD - 4x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SD1400 IS Compact Camera
0071	2	Canon PowerShot SD1400 IS 14.1 Megapixel Compact Camera - 5 mm-20 mm - Silver 2.7" LCD - 4x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SD1400 IS Compact Camera
0072	2	Fujifilm FinePix Z700EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Red 3.5" Touchscreen LCD - 5x Optical Zoom - 4000 x 3000 Image - 1280 x 720 Video	FinePix Z700EXR Compact Camera
0073	2	Fujifilm FinePix Z700EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Silver 3.5" Touchscreen LCD - 5x Optical Zoom - 4000 x 3000 Image - 1280 x 720 Video	FinePix Z700EXR Compact Camera
0074	2	Nikon Coolpix S70 Point & Shoot Digital Camera - Champagne, Brown - 12.1 Megapixel - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 3.5" Color OLED	Coolpix S70 Compact Camera
0075	2	Canon PowerShot SD1400 IS 14.1 Megapixel Compact Camera - 5 mm-20 mm - Pink 2.7" LCD - 4x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SD1400 IS Compact Camera
0076	2	Canon PowerShot SD1400 IS 14.1 Megapixel Compact Camera - 5 mm-20 mm - Orange 2.7" LCD - 4x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SD1400 IS Compact Camera
0077	2	Fujifilm FinePix Z700EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Black 3.5" Touchscreen LCD - 5x Optical Zoom - 4000 x 3000 Image - 1280 x 720 Video	FinePix Z700EXR Compact Camera
0078	2	Panasonic Lumix DMC-TS10 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Silver 2.7" LCD - 4x Optical Zoom - Optical (IS) Included - 4320 x 3240 Image - 1280 x 720 Video - QuickTime Motion JPEG - PictBridge	Lumix DMC-TS10 Compact Camera
0079	2	Panasonic Lumix DMC-TS10 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Black 2.7" LCD - 4x Optical Zoom - Optical (IS) Included - 4320 x 3240 Image - 1280 x 720 Video - QuickTime Motion JPEG - PictBridge	Lumix DMC-TS10 Compact Camera
0080	2	Panasonic Lumix DMC-TS10 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Blue 2.7" LCD - 4x Optical Zoom - Optical (IS) Included - 4320 x 3240 Image - 1280 x 720 Video - QuickTime Motion JPEG - PictBridge	Lumix DMC-TS10 Compact Camera
0081	2	Panasonic Lumix DMC-TS10 14.1 Megapixel Compact Camera - 6.30 mm-25.20 mm - Red 2.7" LCD - 4x Optical Zoom - Optical (IS) Included - 4320 x 3240 Image - 1280 x 720 Video - QuickTime Motion JPEG - PictBridge	Lumix DMC-TS10 Compact Camera
0082	2	Panasonic Lumix DMC-ZR3 14.1 Megapixel Compact Camera - 4.50 mm-36 mm - Black 2.7" LCD - 8x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Lumix DMC-ZR3 Compact Camera
0083	2	Panasonic Lumix DMC-ZR3 14.1 Megapixel Compact Camera - 4.50 mm-36 mm - Red 2.7" LCD - 8x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Lumix DMC-ZR3 Compact Camera
0084	2	Panasonic Lumix DMC-ZR3 14.1 Megapixel Compact Camera - 4.50 mm-36 mm - Silver 2.7" LCD - 8x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Lumix DMC-ZR3 Compact Camera
0085	2	Panasonic Lumix DMC-ZR3 14.1 Megapixel Compact Camera - 4.50 mm-36 mm - Blue 2.7" LCD - 8x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Lumix DMC-ZR3 Compact Camera
0086	2	Canon PowerShot SX130 IS 12.1 Megapixel Compact Camera - 5 mm-60 mm - Black 3" LCD - 12x Optical Zoom - Optical (IS) Included - 4000 x 3000 Image - 1280 x 720 Video - QuickTime MOV - PictBridge	PowerShot SX130 IS Compact Camera
0087	2	Kodak SLICE 14 Megapixel Compact Camera - Radish 3.5" Touchscreen LCD - 5x Optical Zoom - 4228 x 3216 Image - 848 x 480 Video	SLICE Compact Camera
0088	2	Fujifilm FinePix F80EXR 12 Megapixel Compact Camera - 5 mm-50 mm - Black 3" LCD - 10x Optical Zoom - 4000 x 3000 Image - 1280 x 720 Video - HDMI	FinePix F80EXR Compact Camera
0089	2	Panasonic Lumix DMC-FX48 Point & Shoot Digital Camera - Silver - 5x Optical Zoom - 4x Digital Zoom - 2.5" Active Matrix TFT Color LCD	Lumix DMC-FX48 Compact Camera
0090	2	Pentax Optio W90 12.1 Megapixel Compact Camera - 5 mm-25 mm - Green 2.7" LCD - 5x Optical Zoom - 4000 x 3000 Image - 1280 x 720 Video - HDMI	Optio W90 Compact Camera
0091	2	Pentax Optio W90 12.1 Megapixel Compact Camera - 5 mm-25 mm - Black 2.7" LCD - 5x Optical Zoom - 4000 x 3000 Image - 1280 x 720 Video - HDMI	Optio W90 Compact Camera
0092	2	Kodak SLICE 14 Megapixel Compact Camera - Nickel 3.5" Touchscreen LCD - 5x Optical Zoom - 4228 x 3216 Image - 848 x 480 Video	SLICE Compact Camera
0093	2	Kodak SLICE 14 Megapixel Compact Camera - Black 3.5" Touchscreen LCD - 5x Optical Zoom - 4228 x 3216 Image - 848 x 480 Video	SLICE Compact Camera
0094	2	Nikon Coolpix L110 12.1 Megapixel Compact Camera - 5 mm-75 mm - Red 3" LCD - 15x Optical Zoom - 4000 x 3000 Image - HDMI	Coolpix L110 Compact Camera
0095	2	Nikon Coolpix L110 12.1 Megapixel Compact Camera - 5 mm-75 mm - Black 3" LCD - 15x Optical Zoom - 4000 x 3000 Image - HDMI	Coolpix L110 Compact Camera
0096	2	Kodak EasyShare Z981 14 Megapixel Compact Camera - Black 3" LCD - 26x Optical Zoom - 1280 x 720 Video	EasyShare Z981 Compact Camera
0097	2	Canon PowerShot SD960 IS Digital Camera - Pink - 16:9 - 4x Optical Zoom - 4x Digital Zoom - 2.8" Active Matrix TFT Color LCD	PowerShot SD960 IS Compact Camera
0098	2	Canon PowerShot SD3500 IS 14.1 Megapixel Compact Camera - 4.30 mm-21.50 mm - Black 3.5" Touchscreen LCD - 5x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SD3500 IS Compact Camera
0099	2	Canon PowerShot SD3500 IS 14.1 Megapixel Compact Camera - 4.30 mm-21.50 mm - Pink 3.5" Touchscreen LCD - 5x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SD3500 IS Compact Camera
0100	2	Canon PowerShot SD3500 IS 14.1 Megapixel Compact Camera - 4.30 mm-21.50 mm - Silver 3.5" Touchscreen LCD - 5x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SD3500 IS Compact Camera
0101	2	Nikon Coolpix S70 Point & Shoot Digital Camera - Black - 12.1 Megapixel - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 3.5" Color OLED	Coolpix S70 Compact Camera
0102	2	Nikon Coolpix S70 Point & Shoot Digital Camera - Beige - 12.1 Megapixel - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 3.5" Color OLED	Coolpix S70 Compact Camera
0103	2	Nikon Coolpix S8100 12.1 Megapixel Compact Camera - 5.40 mm-54 mm - Black 3" LCD - 10x Optical Zoom - Optical, Electronic (IS) Included - 4000 x 3000 Image - 1920 x 1080 Video - QuickTime MOV - HDMI	Coolpix S8100 Compact Camera
0104	2	Nikon Coolpix S8100 12.1 Megapixel Compact Camera - 5.40 mm-54 mm - Gold 3" LCD - 10x Optical Zoom - Optical, Electronic (IS) Included - 4000 x 3000 Image - 1920 x 1080 Video - MPEG-4, QuickTime MOV - HDMI	Coolpix S8100 Compact Camera
0105	2	Nikon Coolpix S8100 12.1 Megapixel Compact Camera - 5.40 mm-54 mm - Red 3" LCD - 10x Optical Zoom - Optical, Electronic (IS) Included - 4000 x 3000 Image - 1920 x 1080 Video - MPEG-4, QuickTime MOV - HDMI	Coolpix S8100 Compact Camera
0106	2	Canon PowerShot SX210 IS 14.1 Megapixel Compact Camera - 5 mm-70 mm - Black 3" LCD - 14x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SX210 IS Compact Camera
0107	2	Samsung TL320 Point & Shoot Digital Camera - Black - 12.2 Megapixel - 5x Optical Zoom - 5x Digital Zoom - 3" Color OLED	TL320 Compact Camera
0108	2	Panasonic Lumix DMC-FX37 Point & Shoot Digital Camera - White - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 2.5" Active Matrix TFT Color LCD	Lumix DMC-FX37 Compact Camera
0109	2	Panasonic Lumix DMC-FX37 Point & Shoot Digital Camera - Silver - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 2.5" Active Matrix TFT Color LCD	Lumix DMC-FX37 Compact Camera
0110	2	Panasonic Lumix DMC-FX37 Point & Shoot Digital Camera - Black - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 2.5" Active Matrix TFT Color LCD	Lumix DMC-FX37 Compact Camera
0111	2	Panasonic Lumix DMC-FX55 Point & Shoot Digital Camera - Silver - 16:9 - 4x Digital Zoom - 3" Active Matrix TFT Color LCD	Lumix DMC-FX55 Compact Camera
0112	2	Canon PowerShot D10 Point & Shoot Digital Camera - Blue - 16:9 - 3x Optical Zoom - 4x Digital Zoom - 2.5" Active Matrix TFT Color LCD	PowerShot D10 Compact Camera
0113	2	Canon PowerShot SX210 IS 14.1 Megapixel Compact Camera - 5 mm-70 mm - Purple 3" LCD - 14x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SX210 IS Compact Camera
0114	2	Canon PowerShot SX210 IS 14.1 Megapixel Compact Camera - 5 mm-70 mm - Gold 3" LCD - 14x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	PowerShot SX210 IS Compact Camera
0115	2	Panasonic Lumix DMC-TS2 14.1 Megapixel Compact Camera - 4.90 mm-22.80 mm - Blue 2.7" LCD - 4.6x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Lumix DMC-TS2 Compact Camera
0116	2	Panasonic Lumix DMC-TS2 14.1 Megapixel Compact Camera - 4.90 mm-22.80 mm - Orange 2.7" LCD - 4.6x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Lumix DMC-TS2 Compact Camera
0117	2	Panasonic Lumix DMC-TS2 14.1 Megapixel Compact Camera - 4.90 mm-22.80 mm - Yellow 2.7" LCD - 4.6x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Lumix DMC-TS2 Compact Camera
0118	2	Panasonic Lumix DMC-TS2 14.1 Megapixel Compact Camera - 4.90 mm-22.80 mm - Silver 2.7" LCD - 4.6x Optical Zoom - 4320 x 3240 Image - 1280 x 720 Video - HDMI	Lumix DMC-TS2 Compact Camera
0119	2	Fujifilm FinePix F300EXR 12 Megapixel Compact Camera - 4.40 mm-66 mm - Black 3" LCD - 15x Optical Zoom - Optical (IS) Included - 4000 x 3000 Image - 1280 x 720 Video - Motion JPEG (AVI) - HDMI - PictBridge	FinePix F300EXR Compact Camera
0120	2	Canon PowerShot SD4000 IS 10 Megapixel Compact Camera - 4.90 mm-18.60 mm - Silver 3" LCD - 3.8x Optical Zoom - 3648 x 2736 Image - 1280 x 720 Video - HDMI	PowerShot SD4000 IS Compact Camera
0121	2	Panasonic Lumix DMC-FX580 Point & Shoot Digital Camera - Silver - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 3" Active Matrix TFT Color LCD	Lumix DMC-FX580 Compact Camera
0122	2	Panasonic Lumix DMC-FX580 Point & Shoot Digital Camera - Black - 16:9 - 5x Optical Zoom - 4x Digital Zoom - 3" Active Matrix TFT Color LCD	Lumix DMC-FX580 Compact Camera
0123	2	Nikon Coolpix S80 14.1 Megapixel Compact Camera - 6.30 mm-31.50 mm - Blue 3.5" Touchscreen OLED - 5x Optical Zoom - Optical (IS) Included - 4320 x 3240 Image - 1280 x 720 Video - MPEG-4, QuickTime MOV - HDMI - PictBridge	Coolpix S80 Compact Camera
0124	2	Nikon Coolpix S80 14.1 Megapixel Compact Camera - 6.30 mm-31.50 mm - Gold 3.5" Touchscreen OLED - 5x Optical Zoom - Optical (IS) Included - 4320 x 3240 Image - 1280 x 720 Video - MPEG-4, QuickTime MOV - HDMI - PictBridge	Coolpix S80 Compact Camera
0125	2	Nikon Coolpix S80 14.1 Megapixel Compact Camera - 6.30 mm-31.50 mm - Black 3.5" Touchscreen OLED - 5x Optical Zoom - Optical, Electronic (IS) Included - 4352 x 3264 Image - 1280 x 720 Video - QuickTime MOV, MPEG-4 - HDMI	Coolpix S80 Compact Camera
0126	2	Nikon Coolpix S80 14.1 Megapixel Compact Camera - 6.30 mm-31.50 mm - Red 3.5" Touchscreen OLED - 5x Optical Zoom - Optical, Electronic (IS) Included - 4352 x 3264 Image - 1280 x 720 Video - MPEG-4, QuickTime MOV - HDMI	Coolpix S80 Compact Camera
