camera	thenerds	price
0252	1	$109.99
0253	1	$109.99
0254	1	$156.99
0255	1	$156.99
0256	1	$370.99
0257	1	$194.99
0258	1	$168.99
0259	1	$167.99
0260	1	$168.99
0261	1	$168.99
0262	1	$146.99
0263	1	$143.99
0264	1	$146.99
0265	1	$140.99
0266	1	$140.99
0267	1	$140.99
0268	1	$112.99
0269	1	$112.99
0270	1	$112.99
0271	1	$112.99
0272	1	$83.99
0273	1	$90.99
0274	1	$156.99
0275	1	$224.99
0276	1	$177.99
0277	1	$224.99
0278	1	$224.99
0279	1	$224.99
0280	1	$293.99
0281	1	$177.99
0282	1	$177.99
0283	1	$177.99
0284	1	$293.99
0285	1	$273.99
0286	1	$273.99
0287	1	$273.99
0288	1	$293.99
0289	1	$146.99
0290	1	$146.99
0291	1	$146.99
0292	1	$249.99
0293	1	$249.99
0294	1	$249.99
0295	1	$242.99
0296	1	$71.99
0297	1	$96.99
0298	1	$96.99
0299	1	$96.99
0300	1	$133.99
0301	1	$133.99
0302	1	$133.99
0303	1	$123.99
0304	1	$123.99
0305	1	$123.99
0306	1	$77.99
0307	1	$77.99
0308	1	$77.99
