camera	ecost	price
0233	1	$17.99
0234	1	$95.99
0235	1	$6,049.99
0236	1	$252.99
0237	1	$110.99
0238	1	$219.99
0239	1	$134.99
0240	1	$254.99
0241	1	$108.99
0242	1	$184.99
0243	1	$150.99
0244	1	$198.99
0245	1	$57.99
0246	1	$141.99
0247	1	$81.99
0248	1	$67.99
0249	1	$177.99
0250	1	$49.99
0251	1	$63.99
0252	1	$324.99
0253	1	$47.99
0254	1	$34.99
0255	1	$74.99
0256	1	$162.99
0257	1	$219.99
0258	1	$146.99
0259	1	$159.99
0260	1	$84.99
0261	1	$124.99
0262	1	$97.99
0263	1	$49.99
0264	1	$49.99
0265	1	$44.99
0266	1	$14.99
0267	1	$124.99
0268	1	$159.99
0269	1	$95.99
0270	1	$70.99
0271	1	$14.99
0272	1	$105.99
0273	1	$272.99
0274	1	$255.99
0275	1	$227.99
0276	1	$70.99
0277	1	$219.99
0278	1	$267.99
0279	1	$98.99
0280	1	$61.99
0281	1	$290.99
0282	1	$142.99
0283	1	$146.99
0284	1	$1,814.99
0285	1	$70.99
0286	1	$66.99
0287	1	$49.99
0288	1	$63.99
0289	1	$83.99
0290	1	$72.99
0291	1	$79.99
0292	0	<NULL>
0293	1	$290.99
0294	1	$110.99
0295	0	<NULL>
0296	1	$65.99
0297	1	$49.99
0298	1	$359.99
0299	1	$72.99
0300	1	$283.99
0301	1	$50.99
0302	1	$169.99
0303	1	$59.99
0304	0	<NULL>
0305	1	$82.99
0306	1	$95.99
0307	1	$69.99
0308	1	$48.99
0309	1	$34.99
0310	1	$119.99
0311	1	$94.99
0312	1	$124.99
0313	1	$31.99
0314	1	$93.99
0315	1	$124.99
0316	1	$1,814.99
0317	1	$11.99
0318	1	$35.99
0319	1	$644.99
0320	1	$1,684.99
0321	1	$14.99
0322	1	$3,024.99
0323	1	$35.99
0324	1	$116.99
0325	1	$76.99
0326	1	$544.99
0327	1	$113.99
0328	1	$19.99
0329	1	$153.99
0330	1	$33.99
0331	1	$118.99
0332	1	$21.99
0333	1	$100.99
0334	1	$19.99
0335	1	$35.99
0336	1	$124.99
0337	1	$162.99
0338	1	$124.99
0339	1	$197.99
0340	1	$118.99
0341	1	$86.99
0342	1	$124.99
0343	1	$124.99
0344	1	$185.99
0345	1	$24.99
0346	1	$83.99
0347	1	$135.99
0348	1	$99.99
0349	1	$37.99
0350	1	$135.99
0351	1	$135.99
0352	1	$56.99
0353	1	$119.99
0354	1	$100.99
0355	1	$290.99
0356	1	$143.99
0357	1	$196.99
0358	1	$4.99
0359	1	$26.99
0360	1	$288.99
0361	1	$74.99
0362	1	$73.99
0363	1	$91.99
0364	1	$47.99
0365	1	$61.99
0366	1	$59.99
0367	1	$35.99
0368	1	$157.99
0369	1	$1,104.99
0370	1	$49.99
0371	1	$227.99
0372	1	$67.99
0373	1	$88.99
0374	1	$117.99
0375	1	$272.99
0376	1	$181.99
0377	1	$97.99
0378	1	$130.99
0379	0	<NULL>
0380	1	$146.99
0381	1	$162.99
0382	1	$123.99
0383	1	$144.99
0384	1	$63.99
0385	1	$97.99
0386	1	$97.99
0387	1	$1,129.99
0388	1	$249.99
0389	1	$25.99
0390	1	$180.99
0391	1	$14.99
0392	1	$21.99
0393	1	$21.99
0394	1	$15.99
0395	1	$14.99
0396	1	$14.99
0397	1	$23.99
0398	1	$24.99
0399	1	$14.99
0400	1	$26.99
0401	1	$25.99
0402	1	$24.99
0403	1	$14.99
0404	1	$105.99
0405	1	$14.99
0406	1	$141.99
0407	1	$61.99
0408	1	$39.99
0409	1	$146.99
0410	1	$24.99
0411	1	$14.99
0412	1	$141.99
0413	1	$103.99
0414	1	$202.99
0415	1	$219.99
0416	1	$177.99
0417	1	$85.99
0418	1	$78.99
0419	1	$24.99
0420	1	$86.99
0421	1	$124.99
0422	1	$132.99
0423	1	$177.99
0424	1	$57.99
0425	1	$57.99
0426	1	$416.99
0427	1	$416.99
0428	1	$364.99
0429	1	$57.99
0430	1	$91.99
0431	1	$94.99
0432	1	$86.99
0433	1	$81.99
0434	1	$47.99
0435	1	$654.99
0436	1	$97.99
0437	1	$86.99
0438	1	$679.99
0439	1	$100.99
0440	1	$100.99
0441	1	$195.99
0442	1	$100.99
0443	1	$22.99
0444	1	$269.99
0445	1	$35.99
0446	1	$159.99
0447	1	$78.99
0448	1	$33.99
0449	1	$226.99
0450	1	$312.99
0451	1	$210.99
0452	1	$210.99
0453	1	$159.99
0454	1	$116.99
0455	1	$195.99
0456	1	$115.99
0457	1	$115.99
0458	1	$210.99
0459	1	$317.99
0460	1	$22.99
0461	1	$173.99
0462	1	$324.99
0463	1	$206.99
0464	1	$56.99
0465	1	$115.99
0466	1	$143.99
0467	1	$143.99
0468	1	$78.99
0469	1	$115.99
0470	1	$58.99
0471	1	$150.99
0472	1	$9.99
0473	1	$8.99
0474	1	$143.99
0475	1	$42.99
0476	1	$290.99
0477	1	$8.99
0478	1	$15.99
0479	1	$331.99
0480	1	$55.99
0481	1	$45.99
0482	1	$56.99
0483	1	$86.99
0484	1	$92.99
0485	1	$86.99
0486	1	$162.99
0487	1	$82.99
0488	1	$78.99
0489	1	$47.99
0490	1	$46.99
0491	1	$61.99
0492	1	$177.99
0493	1	$67.99
0494	1	$123.99
0495	1	$124.99
0496	1	$16.99
0497	1	$68.99
0498	1	$68.99
0499	1	$78.99
0500	1	$78.99
0501	1	$18.99
0502	1	$99.99
0503	1	$57.99
0504	1	$11.99
0505	1	$42.99
0506	1	$70.99
0507	1	$42.99
0508	1	$86.99
0509	1	$99.99
0510	1	$57.99
0511	1	$85.99
0512	1	$63.99
0513	1	$65.99
0514	1	$65.99
0515	1	$124.99
0516	1	$162.99
0517	1	$110.99
0518	1	$101.99
0519	1	$40.99
0520	1	$92.99
0521	1	$40.99
0522	1	$49.99
0523	1	$42.99
0524	1	$17.99
0525	1	$40.99
0526	1	$353.99
0527	1	$192.99
0528	1	$228.51
0529	1	$272.99
0530	1	$274.99
0531	1	$24.99
0532	1	$77.99
0533	1	$195.99
0534	1	$262.99
0535	1	$103.99
0536	1	$338.99
0537	0	<NULL>
0538	1	$150.99
0539	1	$78.99
0540	1	$42.99
0541	1	$194.99
0542	1	$82.99
0543	1	$108.99
0544	1	$62.99
0545	0	<NULL>
0546	1	$81.99
0547	1	$389.99
0548	1	$6.99
0549	1	$54.99
0550	1	$33.99
0551	1	$85.99
0552	1	$342.99
0553	1	$252.99
0554	1	$174.99
0555	1	$405.99
0556	1	$418.99
0557	1	$794.99
0558	1	$392.99
0559	1	$49.99
0560	1	$128.99
0561	1	$336.99
0562	1	$195.99
0563	1	$217.99
0564	1	$704.99
0565	1	$396.99
0566	1	$396.99
0567	1	$75.99
0568	1	$65.99
0569	1	$63.99
0570	1	$124.99
0571	1	$27.99
0572	1	$252.99
0573	1	$273.99
0574	1	$273.99
0575	1	$273.99
0576	1	$28.99
0577	1	$46.99
0578	1	$53.99
0579	1	$45.99
0580	1	$89.99
0581	1	$99.99
0582	1	$159.99
0583	1	$79.99
0584	1	$119.99
0585	1	$273.99
0586	1	$2,119.99
0587	1	$105.99
0588	1	$190.99
0589	1	$190.99
0590	1	$190.99
0591	1	$190.99
0592	1	$378.99
0593	1	$11.99
0594	1	$256.99
0595	1	$274.99
0596	1	$489.99
0597	1	$308.99
0598	1	$309.99
0599	1	$217.99
0600	1	$2,959.99
0601	1	$2,609.99
0602	1	$309.99
0603	1	$193.99
0604	1	$222.99
0605	1	$293.99
0606	1	$48.99
0607	1	$50.99
0608	1	$49.99
0609	1	$26.99
0610	1	$111.99
0611	1	$60.99
0612	1	$60.99
0613	1	$100.99
0614	1	$78.99
0615	1	$99.99
0616	1	$33.99
0617	1	$22.99
0618	1	$60.99
0619	1	$60.99
0620	1	$199.99
0621	1	$132.99
0622	1	$125.99
0623	1	$82.99
0624	1	$109.99
0625	1	$377.99
0626	1	$305.99
0627	1	$255.99
0628	1	$156.99
0629	1	$290.99
0630	1	$193.99
0631	1	$232.99
0632	1	$202.99
0633	1	$162.99
0634	1	$154.99
0635	1	$10.99
0636	1	$41.99
0637	1	$89.99
0638	1	$143.99
0639	1	$67.99
0640	1	$432.99
0641	1	$51.99
0642	1	$145.99
0643	1	$79.99
0644	1	$106.99
0645	1	$176.99
0646	1	$132.99
0647	1	$132.99
0648	1	$79.99
0649	1	$169.99
0650	1	$165.99
0651	1	$52.99
0652	1	$68.99
0653	1	$60.99
0654	1	$53.99
0655	1	$83.99
0656	1	$148.99
0657	1	$118.99
0658	1	$57.99
0659	1	$42.99
0660	1	$42.99
0661	1	$42.99
0662	1	$44.99
0663	1	$44.99
0664	1	$58.99
0665	1	$44.99
0666	1	$73.99
0667	1	$48.99
0668	1	$88.99
0669	1	$47.99
0670	1	$159.99
0671	1	$34.99
0672	1	$58.99
0673	1	$49.99
0674	1	$26.99
0675	1	$26.99
0676	1	$93.99
0677	1	$22.99
0678	1	$41.99
0679	1	$67.99
0680	1	$44.99
0681	1	$72.99
0682	1	$369.99
0683	1	$49.99
0684	1	$45.99
0685	1	$33.99
0686	1	$33.99
0687	1	$33.99
0688	1	$185.99
0689	1	$42.99
0690	1	$69.99
0691	1	$40.99
0692	1	$79.99
0693	1	$79.99
0694	1	$51.99
0695	1	$49.99
0696	1	$62.99
0697	1	$79.99
0698	1	$43.99
0699	1	$67.99
0700	1	$23.99
0701	1	$99.99
0702	1	$105.99
0703	1	$34.99
0704	1	$138.99
0705	1	$138.99
0706	1	$138.99
0707	1	$82.99
0708	1	$287.99
0709	1	$30.99
0710	1	$11.99
0711	1	$50.99
0712	1	$82.99
0713	1	$67.99
0714	1	$82.99
0715	1	$33.99
0716	1	$143.99
0717	1	$67.99
0718	1	$72.99
0719	1	$78.99
0720	1	$64.99
0721	1	$87.99
0722	1	$98.99
0723	1	$91.99
0724	1	$290.99
0725	1	$127.99
0726	1	$62.99
0727	1	$206.99
0728	1	$969.99
0729	1	$388.99
0730	1	$45.99
0731	1	$83.99
0732	1	$116.99
0733	1	$116.99
0734	1	$116.99
0735	1	$116.99
0736	1	$17.99
0737	1	$11.99
0738	1	$12.99
0739	1	$12.99
0740	1	$71.99
0741	1	$96.99
0742	1	$96.99
0743	1	$35.99
0744	1	$44.99
0745	1	$78.99
0746	1	$124.99
0747	1	$124.99
0748	1	$130.99
0749	1	$108.99
0750	1	$89.99
0751	1	$58.99
0752	1	$52.99
0753	1	$75.99
0754	1	$93.99
0755	1	$191.99
0756	1	$65.99
0757	1	$94.99
0758	1	$94.99
0759	1	$76.99
0760	1	$415.99
0761	1	$415.99
0762	1	$519.99
0763	1	$519.99
0764	1	$519.99
0765	1	$152.99
0766	1	$60.99
0767	1	$49.99
0768	1	$40.99
0769	1	$40.99
0770	1	$42.99
0771	1	$42.99
0772	1	$49.99
0773	1	$54.99
0774	1	$88.99
0775	1	$290.99
0776	1	$36.99
0777	1	$154.99
0778	1	$86.99
0779	1	$258.99
0780	1	$89.99
0781	1	$289.99
0782	1	$148.99
0783	1	$285.99
0784	1	$192.99
0785	1	$95.99
0786	1	$83.99
0787	1	$28.99
0788	1	$487.99
0789	1	$44.99
0790	1	$33.99
0791	1	$364.99
0792	1	$140.99
0793	0	<NULL>
0794	1	$224.99
0795	1	$229.99
0796	1	$111.99
0797	1	$49.99
0798	1	$70.99
0799	1	$347.99
0800	1	$95.99
0801	1	$51.99
0802	1	$63.99
0803	1	$111.99
0804	1	$48.99
0805	1	$141.99
0806	1	$11.99
0807	1	$266.99
0808	1	$72.99
0809	1	$190.99
0810	1	$88.99
0811	1	$317.99
0812	1	$109.99
0813	1	$120.99
0814	1	$42.99
0815	1	$112.99
0816	1	$42.99
0817	1	$7.99
0818	1	$271.99
0819	1	$252.99
0820	1	$42.99
0821	1	$126.99
0822	1	$159.99
0823	1	$331.99
0824	1	$26.99
0825	1	$244.99
0826	1	$87.99
0827	1	$33.99
0828	1	$78.99
0829	1	$70.99
0830	1	$159.99
0831	1	$282.99
0832	1	$44.99
0833	1	$138.99
0834	1	$306.99
0835	1	$306.99
0836	1	$138.99
0837	1	$175.99
0838	1	$340.99
0839	1	$82.99
0840	1	$110.99
0841	1	$49.99
0842	1	$42.99
0843	1	$306.99
0844	1	$336.99
0845	1	$162.99
0846	1	$313.99
0847	1	$48.99
0848	1	$473.99
0849	1	$223.99
0850	1	$49.99
0851	1	$108.99
0852	1	$23.99
0853	1	$584.99
0854	1	$83.99
0855	1	$29.99
0856	1	$859.99
0857	1	$167.99
0858	1	$227.99
0859	1	$252.99
0860	1	$123.09
0861	1	$184.99
0862	1	$141.99
0863	1	$45.99
0864	1	$219.99
0865	1	$155.99
0866	1	$42.99
0867	1	$283.99
0868	1	$148.99
0869	1	$289.99
0870	1	$664.99
0871	1	$273.99
0872	1	$310.99
0873	1	$338.99
0874	1	$29.99
0875	1	$81.99
0876	1	$174.99
0877	1	$312.99
0878	1	$82.99
0879	1	$207.99
0880	1	$128.99
0881	1	$340.99
0882	1	$285.99
0883	1	$136.99
0884	1	$92.99
0885	1	$238.99
0886	1	$136.99
0887	1	$49.99
0888	1	$167.99
0889	1	$21.99
0890	1	$43.99
0891	1	$148.99
0892	1	$348.99
0893	1	$83.99
0894	1	$306.99
0895	1	$317.99
0896	1	$42.99
0897	1	$108.99
0898	1	$184.99
0899	1	$42.99
0900	1	$49.99
0901	1	$12.99
0902	1	$108.99
0903	1	$72.99
0904	1	$223.99
0905	1	$58.99
0906	1	$99.99
0907	1	$92.99
0908	1	$76.99
0909	1	$18.99
0910	1	$340.99
0911	0	<NULL>
0912	1	$24.99
0913	1	$137.99
0914	1	$81.99
0915	1	$136.99
0916	1	$85.99
0917	1	$144.99
0918	1	$171.99
0919	1	$2.99
0920	1	$115.99
0921	1	$159.99
0922	1	$95.99
