camera	compsource	price
0142	1	$40.00
0143	1	$40.00
0144	1	$45.00
0145	1	$47.00
0146	1	$47.00
0147	1	$50.00
0148	1	$50.00
0149	1	$51.00
0150	1	$52.00
0151	1	$53.00
0152	1	$53.00
0153	1	$55.00
0154	1	$55.00
0155	1	$56.00
0156	1	$56.00
0157	1	$56.00
0158	1	$60.00
0159	1	$60.00
0160	1	$66.00
0161	1	$66.00
0162	1	$70.00
0163	1	$70.00
0164	1	$70.00
0165	1	$78.00
0166	1	$79.00
0167	1	$79.00
0168	1	$79.00
0169	1	$79.00
0170	1	$79.00
0171	1	$79.00
0172	1	$79.00
0173	1	$79.00
0174	1	$79.00
0175	1	$84.00
0176	1	$85.00
0177	1	$86.00
0178	1	$89.00
0179	1	$89.00
0180	1	$89.00
0181	1	$89.00
0182	1	$89.00
0183	1	$89.00
0184	1	$89.00
0185	1	$89.00
0186	1	$95.00
0187	1	$96.00
0188	1	$96.00
0189	1	$99.00
0190	1	$99.00
0191	1	$99.00
0192	1	$99.00
0193	1	$99.00
0194	1	$100.00
0195	1	$103.00
0196	1	$104.00
0197	1	$104.00
0198	1	$104.00
0199	1	$104.00
0200	1	$107.00
0201	1	$107.00
0202	1	$107.00
0203	1	$109.00
0204	1	$110.00
0205	1	$110.00
0206	1	$113.00
0207	1	$113.00
0208	1	$114.00
0209	1	$114.00
0210	1	$119.00
0211	1	$119.00
0212	1	$119.00
0213	1	$119.00
0214	1	$120.00
0215	1	$138.00
0216	1	$138.00
0217	1	$142.00
0218	1	$142.00
0219	1	$142.00
0220	1	$151.00
0221	1	$160.00
0222	1	$162.00
0223	1	$164.00
0224	1	$166.00
0225	1	$168.00
0226	1	$168.00
0227	1	$168.00
0228	1	$171.00
0229	1	$171.00
0230	1	$171.00
0231	1	$171.00
0232	1	$173.00
0233	1	$174.00
0234	1	$177.00
0235	1	$180.00
0236	1	$189.00
0237	1	$67.00
0238	1	$68.00
0239	1	$68.00
0240	1	$69.00
0241	1	$69.00
0242	1	$70.00
0243	1	$76.00
0244	1	$79.00
0245	1	$79.00
0246	1	$79.00
0247	1	$80.00
0248	1	$80.00
0249	1	$83.00
0250	1	$83.00
0251	1	$83.00
0252	1	$84.00
0253	1	$84.00
0254	1	$85.00
0255	1	$85.00
0256	1	$87.00
0257	1	$193.00
0258	1	$201.00
0259	1	$201.00
0260	1	$209.00
0261	1	$225.00
0262	1	$225.00
0263	1	$225.00
0264	1	$230.00
0265	1	$247.00
0266	1	$250.00
0267	1	$250.00
0268	1	$250.00
0269	1	$250.00
0270	1	$250.00
0271	1	$250.00
0272	1	$264.00
0273	1	$285.00
0274	1	$285.00
0275	1	$285.00
0276	1	$285.00
0277	1	$285.00
0278	1	$300.00
0279	1	$300.00
0280	1	$326.00
0281	1	$330.00
0282	1	$330.00
0283	1	$331.00
0284	1	$331.00
0285	1	$331.00
0286	1	$334.00
0287	1	$374.00
0288	1	$402.00
0289	1	$495.00
0290	1	$87.00
0291	1	$87.00
0292	1	$88.00
0293	1	$90.00
0294	1	$90.00
0295	1	$97.00
0296	1	$97.00
0297	1	$97.00
0298	1	$97.00
0299	1	$97.00
0300	1	$97.00
0301	1	$97.00
0302	1	$97.00
0303	1	$99.00
0304	1	$100.00
0305	1	$103.00
0306	1	$103.00
0307	1	$103.00
0308	1	$103.00
0309	1	$103.00
0310	1	$103.00
0311	1	$104.00
0312	1	$104.00
0313	1	$104.00
0314	1	$104.00
0315	1	$104.00
0316	1	$104.00
0317	1	$107.00
0318	1	$107.00
0319	1	$107.00
0320	1	$108.00
0321	1	$110.00
0322	1	$113.00
0323	1	$113.00
0324	1	$113.00
0325	1	$113.00
0326	1	$113.00
0327	1	$113.00
0328	1	$113.00
0329	1	$115.00
0330	1	$115.00
0331	1	$115.00
0332	1	$115.00
0333	1	$115.00
0334	1	$115.00
0335	1	$117.00
0336	1	$117.00
0337	1	$118.00
0338	1	$118.00
0339	1	$119.00
0340	1	$119.00
0341	1	$119.00
0342	1	$119.00
0343	1	$126.00
0344	1	$126.00
0345	1	$126.00
0346	1	$127.00
0347	1	$127.00
0348	1	$127.00
0349	1	$127.00
0350	1	$127.00
0351	1	$130.00
0352	1	$131.00
0353	1	$131.00
0354	1	$132.00
0355	1	$132.00
0356	1	$133.00
0357	1	$135.00
0358	1	$136.00
0359	1	$137.00
0360	1	$137.00
0361	1	$137.00
0362	1	$137.00
0363	1	$138.00
0364	1	$138.00
0365	1	$138.00
0366	1	$138.00
0367	1	$138.00
0368	1	$138.00
0369	1	$138.00
0370	1	$138.00
0371	1	$138.00
0372	1	$138.00
0373	1	$139.00
0374	1	$139.00
0375	1	$139.00
0376	1	$140.00
0377	1	$142.00
0378	1	$142.00
0379	1	$142.00
0380	1	$142.00
0381	1	$142.00
0382	1	$142.00
0383	1	$142.00
0384	1	$142.00
0385	1	$142.00
0386	1	$142.00
0387	1	$142.00
0388	1	$142.00
0389	1	$144.00
0390	1	$146.00
0391	1	$146.00
0392	1	$146.00
0393	1	$146.00
0394	1	$146.00
0395	1	$146.00
0396	1	$146.00
0397	1	$147.00
0398	1	$147.00
0399	1	$147.00
0400	1	$147.00
0401	1	$147.00
0402	1	$150.00
0403	1	$151.00
0404	1	$155.00
0405	1	$157.00
0406	1	$162.00
0407	1	$162.00
0408	1	$162.00
0409	1	$162.00
0410	1	$162.00
0411	1	$163.00
0412	1	$163.00
0413	1	$163.00
0414	1	$163.00
0415	1	$163.00
0416	1	$163.00
0417	1	$163.00
0418	1	$164.00
0419	1	$164.00
0420	1	$164.00
0421	1	$164.00
0422	1	$167.00
0423	1	$171.00
0424	1	$171.00
0425	1	$172.00
0426	1	$172.00
0427	1	$172.00
0428	1	$172.00
0429	1	$172.00
