restaurant	fodors	cuisine
0241	1	Chinese
0242	1	Italian
0243	1	American
0244	1	Mexican
0245	1	Mexican
0246	1	French
0247	1	Irish
0248	1	Seafood
0249	1	Mexican
0250	1	Seafood
0251	1	American
0252	1	American
0253	1	Southern
0254	1	Southwestern
0255	1	Chinese
0256	1	American
0257	1	German
0258	1	Cafe
0259	1	Vegetarian
0260	1	Seafood
0261	1	Austrian
0262	1	Thai
0263	1	Vietnamese
0264	1	American
0265	1	Steak
0266	1	French
0267	1	Seafood
0268	1	Indian
0269	1	Vegetarian
0270	1	American
0271	1	Seafood
0272	1	British
0273	1	Steak
0274	1	Mediterranean
0275	1	American
0276	1	Asian
0277	1	Italian
0278	1	Seafood
0279	1	Seafood
0280	1	Italian
0281	1	French
0282	1	Pizza
0283	1	Mexican
0284	1	Italian
0285	1	Eclectic
0286	1	Italian
0287	1	Vietnamese
0288	1	American
0289	1	Latin American
0290	1	New American
0291	1	Vietnamese
0292	1	Italian
0293	1	Chinese
0294	1	Italian
0295	1	Peruvian
0296	1	Japanese
0297	1	Mexican
0298	1	American
0299	1	Italian
0300	1	Spanish
0301	1	Seafood
0302	1	Asian
0303	1	French
0304	1	Italian
0305	1	New American
0306	1	Chinese
0307	1	Australian
0308	1	German
0309	1	Mediterranean
0310	1	Thai
0311	1	Chinese
0312	1	Japanese
0313	1	Mediterranean
0314	1	French
0315	1	Italian
0316	1	American
0317	1	American
0318	1	American
0319	1	Mediterranean
0320	1	American
0321	1	Italian
0322	1	Eclectic
0323	1	Italian
0324	1	Seafood
0325	1	Cafe
0326	1	Mediterranean
0327	1	Eclectic
0328	1	French
0329	1	Mexican
0330	1	French
0331	1	American
0332	1	Italian
0333	1	American
0334	1	American
0335	1	Japanese
0336	1	Cafe
0337	1	Steak
0338	1	Cafe
0339	1	Italian
0340	1	American
0341	1	American
0342	1	Steak
0343	1	American
0344	1	Steak
0345	1	American
0346	1	American
0347	1	Eclectic
0348	1	Mexican
0349	1	Mexican
0350	1	American
0351	1	Italian
0352	1	Cafe
0353	1	Steak
0354	1	American
0355	1	Eclectic
0356	1	American
0357	1	Italian
0358	1	American
0359	1	American
0360	1	American
0361	1	Cafe
0362	1	Cafe
0363	1	French
0364	1	Deli
0365	1	American-Casual
0366	1	Fast Food
0367	1	American-Casual
0368	1	Barbecue
0369	1	Southern
0370	1	Seafood
0371	1	Italian
0372	1	American
0373	1	New American
0374	1	New American
0375	1	Eclectic
0376	1	American
0377	1	Austrian
0378	1	Mexican
0379	1	Cafe
0380	1	American
0381	1	Italian
0382	1	American
0383	1	Japanese
0384	1	Japanese
0385	1	Italian
0386	1	Southern
0387	1	Brazilian
0388	1	Steakhouse
0389	1	Eclectic
0390	1	Japanese
0391	1	Steak
0392	1	Mexican
0393	1	Seafood
0394	1	Swiss
0395	1	Indian
0396	1	New American
0397	1	Steakhouse
0398	1	Pizza
0399	1	Italian
0400	1	American
0401	1	American
0402	1	Southwestern
0403	1	American
0404	1	Eclectic
0405	1	American
0406	1	American-Casual
0407	1	Italian
0408	1	Pizza
0409	1	Italian
0410	1	Eclectic
0411	1	New American
0412	1	Mexican
0413	1	Mexican
0414	1	Mexican
0415	1	Italian
0416	1	Cafe
0417	1	New American
0418	1	Eclectic
0419	1	Pizza
0420	1	American
0421	1	Contemporary
0422	1	American
0423	1	Contemporary
0424	1	American
0425	1	Contemporary
0426	1	Cafe
0427	1	Cafe
0428	1	Eclectic
0429	1	American
0430	1	American
0431	1	American
0432	1	Pizza
0433	1	American
0434	1	Mexican
0435	1	Contemporary
0436	1	Contemporary
0437	1	Contemporary
0438	1	Steak
0439	1	New American
0440	1	New American
0441	1	New American
0442	1	Italian
0443	1	Pizza
0444	1	French
0445	1	Eclectic
0446	1	American
0447	1	American
0448	1	French
0449	1	Continental
0450	1	American
0451	1	American
0452	1	French
0453	1	American
0454	1	American
0455	2	New American	American
0456	2	Southern	American
0457	2	French	American
0458	2	French	American
0459	2	Latin American	American
0460	1	American
0461	1	Continental
0462	2	American	Eclectic
0463	1	American
0464	2	New American	American
0465	2	American	Eclectic
0466	1	American
0467	2	Indian	American
0468	2	Seafood	American
0469	1	American
0470	2	Cafe	American
0471	2	Middle Eastern	American
0472	2	Malaysian	American
0473	2	Belgian	American
0474	2	Belgian	American
0475	2	American	Eclectic
0476	2	Asian	American
0477	2	Vietnamese	American
0478	2	Steak	American
0479	2	New American	American
0480	1	American
0481	1	American
0482	2	Mediterranean	American
0483	2	Italian	American
0484	1	American
0485	2	New American	American
0486	2	Spanish	American
0487	2	New American	American
0488	2	Middle Eastern	American
0489	2	Southern	American
0490	1	Eclectic
0491	1	Southwestern
0492	1	American
0493	1	Southern
0494	1	Seafood
0495	1	American
0496	1	American
0497	1	American
0498	1	Seafood
0499	1	German
0500	1	Steak
0501	1	Mexican
0502	1	Mediterranean
0503	1	Steak
0504	1	American
0505	1	Italian
0506	1	Steakhouse
0507	1	Cuban
0508	1	Spanish
0509	1	Seafood
0510	1	American
0511	1	French
0512	1	Italian
0513	1	Delicatessens
0514	1	Italian
0515	1	Italian
0516	1	Cuban
0517	1	Eclectic
0518	1	Italian
0519	1	American
0520	1	Mexican
0521	1	French
0522	1	American
0523	1	Steak
0524	1	Italian
0525	1	Continental
0526	1	American
0527	1	Eclectic
0528	1	Seafood
0529	1	Eclectic
0530	1	Eclectic
0531	1	Barbecue
0532	1	Southern
0533	1	Southern
0534	1	Japanese
0535	1	Italian
0536	1	American
0537	1	American
0538	1	Eclectic
0539	1	Italian
0540	1	Latin American
0541	1	Eclectic
0542	1	Eclectic
0543	1	American
0544	1	French
0545	1	American
0546	1	Seafood
0547	1	American
0548	1	Latin American
0549	1	Japanese
0550	1	Greek
0551	1	Italian
0552	1	Italian
0553	1	British
0554	1	Seafood
0555	1	French
0556	1	Seafood
0557	1	French
0558	1	Seafood
0559	1	American
0560	1	Cuban
0561	1	Italian
0562	1	Vietnamese
0563	1	Seafood
0564	1	Seafood
0565	1	American
0566	1	Seafood
0567	1	Chinese
0568	1	Italian
0569	1	Seafood
0570	1	Cuban
0571	1	Mexican
0572	1	Mexican
0573	1	Seafood
0574	1	Caribbean
0575	1	Seafood
0576	1	Vegetarian
0577	1	Seafood
0578	1	Seafood
0579	1	American
0580	1	Japanese
0581	1	American
0582	1	Italian
0583	1	Seafood
0584	1	American
0585	1	Continental
0586	1	Seafood
0587	1	Seafood
0588	1	Italian
0589	1	Caribbean
0590	1	American
0591	1	Seafood
0592	1	American
0593	1	American
0594	1	Italian
0595	1	Seafood
0596	1	Italian
0597	1	American
0598	1	Greek
0599	1	American
0600	1	Italian
0601	1	Thai
0602	1	American
0603	1	Seafood
0604	1	American
0605	1	Seafood
0606	1	Seafood
0607	1	Pizza
0608	1	Eclectic
0609	1	American
0610	1	American
0611	1	Italian
0612	1	Cafe
0613	1	Cafe
0614	1	Steak/Seafood
0615	1	Seafood
0616	1	Eclectic
0617	1	Steak/Seafood
0618	1	American
0619	1	American
0620	1	American
0621	1	Italian
0622	1	American
0623	1	Asian
0624	1	American
0625	1	African
0626	1	American
0627	1	Eclectic
0628	1	American
0629	1	Continental
0630	1	Continental
0631	1	American
0632	1	American
0633	1	Southern
0634	1	Southern
0635	1	Southern
0636	1	American
0637	1	Mediterranean
0638	1	Southern
0639	1	Modern Southern
0640	1	Southern
0641	1	Italian
0642	1	Japanese
0643	1	Italian
0644	1	Asian
0645	1	Italian
0646	1	Thai
0647	1	Mexican
0648	1	Italian
0649	1	Italian
0650	1	Mexican
0651	1	Vegetarian
0652	1	Cajun
0653	1	Southern
0654	1	American
0655	1	American
0656	1	Southern
0657	1	Southern
0658	1	Southern
0659	1	Eclectic
0660	1	Eclectic
0661	1	Italian
0662	1	Mediterranean
0663	1	Southern
0664	1	Seafood
0665	1	Southern
0666	1	Seafood
0667	1	Seafood
0668	1	Mexican
0669	1	Hawaiian
0670	1	Diner
0671	1	Hawaiian
0672	1	Modern Hawaiian
0673	1	American
0674	1	Hawaiian
0675	1	Italian
0676	1	Modern Hawaiian
0677	1	American
0678	1	Pacific Rim
0679	1	Chinese
0680	1	Steak
0681	1	Modern Hawaiian
0682	1	Pacific Rim
0683	1	Seafood
0684	1	Eclectic
0685	1	Mexican
0686	1	Modern Hawaiian
0687	1	Mediterranean
0688	1	Pacific Rim
0689	1	Modern Hawaiian
0690	1	Mexican
0691	1	French
0692	1	Mexican
0693	1	Modern Hawaiian
0694	1	Seafood
0695	1	Italian
0696	1	Japanese
0697	1	Thai
0698	1	Hawaiian
0699	1	Modern Hawaiian
0700	1	Continental
0701	1	Japanese
0702	1	Pacific Rim
0703	1	Pizza
0704	1	Italian
0705	1	American
0706	1	Thai
0707	1	American
0708	1	American
0709	1	American
0710	1	American
0711	1	Italian
0712	1	Asian
0713	1	American
0714	1	Hawaiian
0715	1	Chinese
0716	1	Chinese
0717	1	French
0718	1	Italian
0719	1	Seafood
0720	1	Seafood
0721	1	Japanese
0722	1	Japanese
0723	1	Seafood
0724	1	American
0725	1	Pacific Rim
0726	1	Italian
0727	1	Thai
0728	1	American
0729	1	American
0730	1	American
0731	1	Vietnamese
0732	1	Seafood
0733	1	Pacific Rim
0734	1	American
0735	1	Steak
0736	1	Hawaiian
0737	1	Seafood
0738	1	American
0739	1	Hawaiian
0740	1	Thai
0741	1	Italian
0742	1	Italian
0743	1	American-Casual
0744	1	Contemporary
0745	1	Barbecue
0746	1	Steak
0747	1	Hawaiian
0748	1	Hawaiian
0749	1	American
0750	1	Italian
0751	1	Mexican
0752	1	Italian
0753	1	Mexican
0754	1	Diner
0755	1	Modern Hawaiian
0756	1	Eclectic
0757	1	American
0758	1	Pacific Rim
0759	1	American
0760	1	American
0761	1	Steakhouse
0762	1	Italian
0763	1	Latin American
0764	1	Seafood
0765	1	Hawaiian
0766	1	Seafood
0767	1	Pacific Rim
0768	1	Hawaiian
0769	1	Seafood
0770	1	Thai
0771	1	Seafood
0772	1	Cafe
0773	1	Philippine
0774	1	Southern
0775	1	Mediterranean
0776	1	Burger
0777	1	Brasserie
0778	1	Spanish
0779	1	Cafe
0780	1	New American
0781	1	German
0782	1	New American
0783	1	Bistro
0784	1	Mexican
0785	1	French
0786	1	Mexican
0787	1	Steakhouse
0788	1	New American
0789	1	Southern
0790	1	Hot Dogs
0791	1	American
0792	1	American
0793	1	Steakhouse
0794	1	Seafood
0795	1	Bistro
0796	1	Chinese
0797	1	Bistro
0798	1	Brasserie
0799	1	Spanish
0800	1	New American
0801	1	Steakhouse
0802	1	Cutting-Edge
0803	1	Latin American
0804	1	American
0805	1	Chinese
0806	1	Italian
0807	1	Mexican
0808	1	Italian
0809	1	American
0810	1	Southern
0811	1	Italian
0812	1	Turkish
0813	1	American
0814	1	Asian
0815	1	International
0816	1	Italian
0817	1	American
0818	1	Asian Fusion
0819	1	American
0820	1	Cafe
0821	1	Southern
0822	1	Belgian
0823	1	Creole
0824	1	Southern
0825	1	Creole
0826	1	Mexican
0827	1	Cafe
0828	1	Seafood
0829	1	Creole
0830	1	Seafood
0831	1	Southern
0832	1	Cajun
0833	1	French
0834	1	American
0835	1	American
0836	1	Creole
0837	1	Creole
0838	1	Southern
0839	1	Cafe
0840	1	Creole
0841	1	Creole
0842	1	Seafood
0843	1	Italian
0844	1	Creole
0845	1	American
0846	1	Southern
0847	1	Cajun
0848	1	Creole
0849	1	Cajun
0850	1	Spanish
0851	1	Cajun
0852	1	Cajun
0853	1	Japanese
0854	1	Seafood
0855	1	Spanish
0856	1	Seafood
0857	2	Vegetarian	American
0858	1	Continental
0859	1	American
0860	1	Italian
0861	1	Pizza
0862	1	Seafood
0863	1	American
0864	1	American
0865	1	Chinese
0866	1	Seafood
0867	1	American
0868	1	American
0869	1	American
0870	1	Seafood
0871	1	American
0872	1	Fast Food
0873	1	American
0874	1	Italian
0875	1	American
0876	1	American
0877	1	Cafe
0878	1	Cafe
0879	1	Mediterranean
0880	1	Seafood
0881	1	American
0882	1	French
0883	1	Continental
0884	1	Seafood
0885	1	Continental
0886	1	Seafood
0887	1	American
0888	1	French
0889	1	American
0890	1	French
0891	1	American
0892	1	Seafood
0893	1	Seafood
0894	1	Eclectic
0895	1	Seafood
0896	1	Seafood
0897	1	Italian
0898	1	American
0899	1	Seafood
0900	1	Eclectic
0901	1	American
0902	1	American
0903	1	American
0904	1	Seafood
0905	1	Seafood
0906	1	Seafood
0907	2	Seafood	American
0908	1	American
0909	1	Seafood
0910	1	Seafood
0911	1	Seafood
0912	1	Mexican
0913	1	American
0914	2	Latin	American
0915	1	Vietnamese
0916	1	Mexican
0917	1	Eclectic
0918	1	Italian
0919	1	Italian
0920	1	American
0921	1	Middle Eastern
0922	1	Italian
0923	1	Southern
0924	1	Seafood
0925	1	Asian
0926	1	Spanish
0927	1	Spanish
0928	1	French
0929	1	American
0930	1	Italian
0931	1	American
0932	1	American
0933	1	Mexican
0934	1	American
0935	1	Continental
0936	1	Southern
0937	1	Middle Eastern
0938	1	Cafe
0939	1	Latin American
0940	1	French
0941	1	American
0942	1	Seafood
0943	1	Thai
0944	1	American
0945	1	Seafood
0946	1	Seafood
0947	1	Eclectic
0948	1	Seafood
0949	1	Cafe
0950	1	Eclectic
0951	1	Eclectic
0952	1	Eclectic
0953	1	American
0954	1	American
0955	1	Italian
0956	1	Seafood
0957	1	American
0958	1	Seafood
0959	1	Pizza
0960	1	Steakhouse
0961	1	French
0962	1	American
0963	1	Italian
0964	1	American
0965	1	Steak
0966	1	Italian
0967	1	Mediterranean
0968	1	Seafood
0969	1	Italian
0970	1	American
0971	1	American
0972	1	Eclectic
0973	1	Eclectic
0974	1	American
0975	1	American
0976	1	Chinese
0977	1	Afghan
0978	1	French
0979	1	Middle Eastern
0980	1	Seafood
0981	1	French
0982	1	Seafood
0983	1	Italian
0984	1	Irish
0985	1	Continental
0986	1	Chinese
0987	1	Mediterranean
0988	1	French
0989	1	Italian
0990	1	American
0991	1	Indian
0992	1	American
0993	1	American
0994	1	Italian
0995	1	American
0996	1	Italian
0997	1	Portuguese
0998	1	Mediterranean
0999	1	Brazilian
1000	1	American
1001	1	Seafood
1002	1	Italian
1003	1	Italian
1004	1	Caribbean
1005	1	Seafood
1006	1	Italian
1007	1	American
1008	1	American
1009	1	Italian
1010	1	Eclectic
1011	1	American
1012	1	Seafood
1013	1	Eclectic
1014	1	American
1015	1	Seafood
1016	1	American
1017	1	Seafood
1018	1	Seafood
1019	1	Seafood
1020	1	Eclectic
1021	1	Seafood
1022	1	Seafood
1023	1	American
1024	1	Seafood
1025	1	American
1026	1	Portuguese
1027	1	American
1028	1	American
1029	1	American
1030	1	Eclectic
1031	1	Mexican
1032	1	American
1033	1	Italian
1034	1	Seafood
1035	1	Seafood
1036	1	Seafood
1037	1	Eclectic
1038	1	Eclectic
1039	1	Cafe
1040	1	American
1041	1	Seafood
1042	1	Seafood
1043	1	Seafood
1044	1	French
1045	1	American
1046	1	Cafe
1047	1	American
1048	1	Seafood
1049	1	Italian
1050	1	American
1051	1	American
1052	1	American
1053	1	American
1054	1	French
1055	1	American
1056	1	American
1057	1	American
1058	1	American
1059	1	Portuguese
1060	1	American
1061	1	Seafood
1062	1	American
1063	1	Seafood
1064	1	Eclectic
1065	1	Italian
1066	1	American
1067	1	Seafood
1068	1	Continental
1069	1	Continental
1070	1	Japanese
1071	1	American
1072	1	Indian
1073	1	Continental
1074	1	Contemporary
1075	1	American
1076	1	Contemporary
1077	1	Eclectic
1078	1	Spanish
1079	1	French
1080	1	American
1081	1	Steak
1082	1	Steak
1083	1	Eclectic
1084	1	Seafood
1085	1	Indian
1086	1	Italian
1087	1	Mediterranean
1088	1	Italian
1089	1	American
1090	1	Contemporary
1091	1	American
1092	1	Eclectic
1093	1	Contemporary
1094	1	Steak
1095	1	American
1096	1	Pizza
1097	1	American
1098	1	Contemporary
1099	1	Mexican
1100	1	Contemporary
1101	1	Pizza
1102	1	Cafe
1103	1	Contemporary
1104	1	Contemporary
1105	1	Contemporary
1106	1	American
1107	1	American
1108	1	Contemporary
1109	1	American
1110	1	American
1111	1	American
1112	1	American
1113	1	Contemporary
1114	1	American
1115	1	American
1116	1	Steak
1117	1	Contemporary
1118	1	Mexican
1119	1	Contemporary
1120	1	Contemporary
1121	1	Mexican
1122	1	Contemporary
1123	1	Mexican
1124	1	Indian
1125	1	Contemporary
1126	1	Deli
1127	1	Eclectic
1128	1	French
1129	1	Steak
1130	1	French
1131	1	American
1132	1	American
1133	1	Asian
1134	1	Italian
1135	1	French
1136	1	New American
1137	1	Mexican
1138	1	Southern
1139	1	Steak
1140	1	Italian
1141	1	Mediterranean
1142	1	American
1143	1	Continental
1144	1	Indian
1145	1	Vegetarian
1146	1	Steak
1147	1	American
1148	1	Eclectic
1149	1	Indian
1150	1	Mexican
1151	1	Japanese Fusion
1152	1	Chinese
1153	1	Mexican
1154	1	Thai
1155	1	Asian
1156	1	Seafood
1157	1	American
1158	1	Italian
1159	1	Japanese
1160	1	Mediterranean
1161	1	Italian
1162	1	Bistro
1163	1	Chinese
1164	1	American
1165	1	Steak
1166	1	Steak
1167	1	Japanese
1168	1	French
1169	1	Caribbean
1170	1	Asian
1171	1	Japanese
1172	1	Modern American
1173	1	Contemporary
1174	1	Steak
1175	1	Mexican
1176	1	American
1177	1	Mexican
1178	1	American
1179	1	Brazilian
1180	1	American
1181	1	American
1182	1	Eclectic
1183	1	Asian
1184	1	American
1185	1	American
1186	1	Seafood
1187	1	American
1188	1	Southern
1189	1	Seafood
1190	1	Latin American
1191	1	Bistro
1192	1	American
1193	1	Mediterranean
1194	1	American
1195	1	French
1196	1	Italian
1197	1	American
1198	1	Southwestern
1199	1	American
1200	1	American
1201	1	American
1202	1	Italian
1203	1	Contemporary
1204	1	Seafood
1205	1	Seafood
1206	1	Seafood
1207	1	Mexican
1208	1	Contemporary
1209	1	American
1210	1	Continental
1211	1	American
1212	1	Japanese
1213	1	New Mexican
1214	1	Cafe
1215	1	New Mexican
1216	1	Cafe
1217	1	New Mexican
1218	1	Eclectic
1219	1	Eclectic
1220	1	Southern
1221	1	Steak
1222	1	Eclectic
1223	1	Contemporary
1224	1	Continental
1225	1	Brazilian
1226	1	Vietnamese
1227	1	Mexican
1228	1	Mexican
1229	1	Bakery
1230	1	American
1231	1	Southwestern
1232	1	New Mexican
1233	1	Mexican
1234	1	American
1235	1	American
1236	1	American
1237	1	American
1238	1	Cafe
1239	1	Contemporary
1240	1	Spanish
1241	1	Spanish
1242	1	Mexican
1243	1	New Mexican
1244	1	American
1245	1	New Mexican
1246	1	Southwestern
1247	1	Seafood
1248	1	Cafe
1249	1	Asian
1250	1	Eclectic
1251	1	Eclectic
1252	1	American
1253	1	New Mexican
1254	1	Japanese
1255	1	Contemporary
1256	1	New Mexican
1257	1	Eclectic
1258	1	Eclectic
1259	1	Mexican
1260	1	Eclectic
1261	1	American
1262	1	American
1263	1	Italian
1264	1	Eclectic
1265	1	Mexican
1266	1	Mexican
1267	1	Mexican
1268	1	Mexican
1269	1	Cafe
1270	1	American
1271	1	Cafe
1272	1	Mexican
1273	1	American
1274	1	Cafe
1275	1	Contemporary
1276	1	Fusion
1277	1	American
1278	1	American
1279	1	American
1280	1	American
1281	1	American
1282	1	Italian
1283	1	Continental
1284	1	American
1285	1	Italian
1286	1	American
1287	1	American
1288	1	American
1289	1	Southwestern
1290	1	American
1291	1	Irish
1292	1	Eclectic
1293	1	Mediterranean
1294	1	American
1295	1	Mexican
1296	1	American
1297	1	American
1298	1	American
1299	1	Continental
1300	1	Mexican
1301	1	Seafood
1302	1	Continental
1303	1	Eclectic
1304	1	American
1305	1	Chinese
1306	1	Japanese
1307	1	Seafood
1308	1	Steak
1309	1	French
1310	1	Italian
1311	1	Eclectic
1312	1	Italian
1313	1	American
1314	1	Italian
1315	1	French
1316	1	American
1317	1	Southwestern
1318	1	German
1319	1	Pizza
1320	1	Italian
1321	1	Brasserie
1322	1	Italian
1323	1	Italian
1324	1	Steakhouse
1325	1	New American
1326	1	Eastern European
1327	1	Spanish
1328	1	American
1329	1	Asian
1330	1	Burger
1331	1	Brasserie
1332	1	Italian
1333	1	New American
1334	1	French
1335	1	Italian
1336	1	Indian
1337	1	Steakhouse
1338	1	American
1339	1	American
1340	1	Cafe
1341	1	Cafe
1342	1	American
1343	1	American
1344	1	Italian
1345	1	Chinese
1346	1	Pizza
1347	1	American
1348	1	Steakhouse
1349	1	Barbecue
1350	1	Mediterranean
1351	1	American
1352	1	French
1353	1	Chinese
1354	1	Cambodian
1355	1	American
1356	1	French
1357	1	Seafood
1358	1	Italian
1359	1	Mexican
1360	1	Ethiopian
1361	1	Mexican
1362	1	Asian
1363	1	Bistro
1364	1	Seafood
1365	1	New American
1366	1	Steak
1367	1	Eclectic
1368	1	Barbecue
1369	1	Latin
1370	1	New American
1371	1	Italian
1372	1	American
1373	1	Bistro
1374	1	Chinese
1375	1	Japanese
1376	1	American
1377	1	Spanish
1378	1	New American
1379	1	Turkish
1380	1	American
1381	1	Cafe
1382	1	Italian
1383	1	Austrian
1384	1	Korean
1385	1	American
1386	1	American
1387	1	American
1388	1	Italian
1389	1	American
1390	1	American
1391	1	Italian
1392	1	American
1393	1	Continental
1394	1	Eclectic
1395	1	American
1396	1	Continental
1397	1	American
1398	1	American
1399	1	American
1400	1	American
1401	1	Italian
1402	1	Mediterranean
1403	1	German
1404	1	French
1405	1	American
1406	1	American
1407	1	Italian
1408	1	Continental
1409	1	Indian
1410	1	Eclectic
1411	1	American
1412	1	American
1413	1	American
1414	1	American
1415	1	Continental
1416	1	American
1417	1	American
1418	1	American
1419	1	American
1420	1	American
1421	1	Italian
1422	1	American
1423	1	Eclectic
1424	1	Italian
1425	1	American
1426	1	Continental
1427	1	Thai
1428	1	American
1429	1	Eclectic
1430	1	Italian
1431	1	Cafe
1432	1	American
1433	1	Cafe
1434	1	Eclectic
1435	1	French
1436	1	Bistro
1437	1	Italian
1438	1	Eclectic
1439	1	American
1440	1	American
1441	1	Thai
1442	1	French
1443	1	Vegetarian
1444	1	Mexican
1445	1	American
1446	1	Cafe
1447	1	Eclectic
1448	1	Kosher
1449	1	Italian
1450	1	Barbecue
1451	1	Pizza
1452	1	Eclectic
1453	1	New American
1454	1	American
1455	1	Japanese
1456	1	Eclectic
1457	1	Greek
1458	1	American
1459	1	Latin American
1460	1	Steak
1461	1	Steak
1462	1	Eclectic
1463	1	Southern
1464	1	Pizza
1465	1	Asian
1466	1	American
1467	1	Seafood
1468	1	Seafood
1469	1	Seafood
1470	1	Seafood
1471	1	American
1472	1	Contemporary
1473	1	Southwestern
1474	1	American
1475	1	Seafood
1476	1	American
1477	1	Seafood
1478	1	American
1479	1	Southwestern
1480	1	American
1481	1	French
1482	1	Vegetarian
1483	1	American
1484	1	Mediterranean
1485	1	Southern
1486	1	Cafe
1487	1	Italian
1488	1	German
1489	1	American
1490	1	Seafood
1491	1	Ethiopian
1492	1	American
1493	1	Steak
1494	1	Steak
1495	1	Thai
1496	1	Mexican
1497	1	Seafood
1498	1	Mexican
1499	1	Italian
1500	1	Southern
1501	1	Steak
1502	1	American
1503	1	French
1504	1	Steak
1505	1	Contemporary
1506	1	French
1507	1	American
1508	1	American
1509	1	Contemporary
1510	1	American
1511	1	Contemporary
1512	1	American
1513	1	American
1514	1	French
1515	1	Mexican
1516	1	Contemporary
1517	1	American
1518	1	Greek
1519	1	American
1520	1	Japanese
1521	1	Asian
1522	1	Swedish
1523	1	Continental
1524	1	Spanish
1525	1	Italian
1526	1	Steak
1527	1	Chinese
