restaurant	opentable	name
0055	1	Bluehour
0056	1	Brasserie Montmartre
0057	1	clarklewis
0058	1	Fivespice Seafood & Wine Bar
0059	1	Genoa Restaurant
0060	1	Hall Street Grill
0061	1	Jake's Famous Crawfish
0062	1	Jonathan's Restaurant
0063	1	The Lodge Restaurant at Black Butte Ranch
0064	1	MetroVino
0065	1	The Original
0066	1	Red Star
0067	1	Rivershore Bar & Grill
0068	1	Ten 01
0069	1	Tucci Ristorante
0070	1	Typhoon! on Broadway (Downtown)
0071	1	Typhoon! on Everett
0072	1	Arcodoro - Houston
0073	1	Aura Restaurant
0074	1	Birraporetti's - Friendswood
0075	1	Brenner’s Steakhouse Katy Freeway
0076	1	Cafe Moustache
0077	1	Caffe di Fiore
0078	1	Eric's-Univ of Houston-Hilton College
0079	1	Fleming's Prime Steakhouse Houston
0080	1	Kona Grill - Houston
0081	1	Morton's The Steakhouse - Houston - Downtown
0082	1	Palazzo's Trattoria
0083	1	Perry's Italian Grille
0084	1	Perry's Steakhouse & Grille - Cinco Ranch/Katy
0085	1	Perry's Steakhouse & Grille - The Woodlands
0086	1	Pesce - Houston
0087	1	Polo's Signature
0088	1	Post Oak Grill - Sugar Land
0089	1	Red & White Wine Bistro
0090	1	Rudy & Paco Restaurant & Bar
0091	1	Shellfish Sports Bar & Grill
0092	1	Strip House in Houston
0093	1	Sullivan's Steakhouse
0094	1	Sushi Raku
0095	1	Veritas Wine and Bistro
0096	1	Zula Restaurant
0097	1	1906 at Longwood Gardens
0098	1	333 Belrose
0099	1	Amis
0100	1	Amuse - Le Meridien Hotel- Philadelphia
0101	1	Anthony's Creative Italian Cuisine
0102	1	Apollinare Italian Restaurant
0103	1	Barclay Prime
0104	1	BARSAVONA at Savona Restaurant
0105	1	Bella Tori at the Mansion
0106	1	Bibou
0107	1	Bistro Di Marino
0108	1	BJ's Steak & Rib House - Selinsgrove
0109	1	Black Bass Hotel
0110	1	Blackfish - Conshohocken
0111	1	Bourbon Blue
0112	1	Bricco - Harrisburg
0113	1	Buckeye Tavern
0114	1	Butcher & Singer
0115	1	Cafe Madison
0116	1	Capital Grille - Philadelphia
0117	1	Chart House Restaurant - Philadelphia
0118	1	Chifa
0119	1	Cichetteria 19
0120	1	Columbus Inn
0121	1	Concordville Inn
0122	1	Copper Fish on Broadway
0123	1	Coyote Crossing - Conshohocken
0124	1	D'Angelo's Ristorante Italiano
0125	1	Davio's - Philadelphia
0126	1	Delmonico’s Steakhouse at the Hilton Philadelphia City Avenue
0127	1	Devil's Den
0128	1	DiNardo's Famous Seafood
0129	1	Divan Turkish Kitchen
0130	1	Doc Magrogan's Oyster House
0131	1	Downey's
0132	1	Dream Cuisine Cafe
0133	1	Ebbitt Room
0134	1	Fenicci's of Hershey
0135	1	Fleming's Prime Steakhouse Radnor
0136	1	Franco's Trattoria
0137	1	The Freight House
0138	1	General Warren Inne
0139	1	Generations Restaurant
0140	1	Georges'
0141	1	Giumarello's Restaurant and G Bar
0142	1	Grey Social Bar + Restaurant
0143	1	Haru Sushi - Philadelphia
0144	1	Harvest at The Hotel Hershey
0145	1	Harvest Seasonal Grill
0146	1	Il Portico Ristorante
0147	1	Iron Hill Brewery - Lancaster
0148	1	Iron Hill Brewery - Maple Shade
0149	1	Iron Hill Brewery - Wilmington
0150	1	JAMES
0151	1	Jasmine Asian Cuisine
0152	1	Joe Pesce
0153	1	Kome Fine Japanese Cuisine
0154	1	Krazy Kat's at The Inn at Montchanin Village
0155	1	La Stanza
0156	1	Maggiano's - Philadelphia
0157	1	The Mansion Inn
0158	1	McCormick & Schmick's Seafood - Cherry Hill
0159	1	Melange @ Haddonfield
0160	1	The Melting Pot - Bethlehem
0161	1	The Melting Pot - Center City
0162	1	Meritage - Philadelphia
0163	1	Moshulu
0164	1	NaBrasa
0165	1	Nectar - Philadelphia
0166	1	Octo Waterfront Grille
0167	1	Orillas Tapas Bar & Restaurant
0168	1	The Paddock at Devon
0169	1	Penne Restaurant
0170	1	Percy Street Barbecue
0171	1	Popi's Italian Restaurant
0172	1	Portabella's Sports Bar & Grille
0173	1	Ristorante Panorama
0174	1	Rum Bar
0175	1	Ruth's Chris Steak House - Philadelphia
0176	1	Shula's 347 Grill at the Philadelphia West Marriott
0177	1	Slate - Philadelphia
0178	1	Sola - Bryn Mawr
0179	1	Starfish Brasserie
0180	1	Sushi Planet - Philadelphia
0181	1	Tavern 17
0182	1	Temperance House
0183	1	Terra Nova
0184	1	Valenca
0185	1	Vetri
0186	1	Washington Crossing Inn
0187	1	White Heron Grill
0188	1	Xochitl
0189	1	Zoubi
0190	1	2 Johns
0191	1	Adobe Cantina and Salsa
0192	1	Bacco
0193	1	Begue's - Royal Sonesta
0194	1	Capital City Grill
0195	1	Copeland's Cheesecake Bistro - Metairie
0196	1	Cristiano Ristorante
0197	1	The Crystal Room at Le Pavillon Hotel
0198	1	Domenica
0199	1	Ernest's Orleans Restaurant
0200	1	Galvez Restaurant
0201	1	La Carreta
0202	1	La Petite Grocery
0203	1	M bistro by Chef Matt Murphy
0204	1	Martinique Bistro
0205	1	The Pelican Club
0206	1	Ruth's Chris Steak House - Metairie
0207	1	The Sazerac Restaurant-Roosevelt Hotel-New Orleans
0208	1	Shula's Steak House - New Orleans
0209	1	Stella! Restaurant
0210	1	Acqua Al 2 Ristorante
0211	1	Aloha Sushi & Hawaiian Grille
0212	1	Arterra
0213	1	Bali Hai Restaurant
0214	1	Brian's 24
0215	1	Brigantine Coronado
0216	1	Brigantine La Mesa
0217	1	Busalacchi's Ristorante
0218	1	California Bistro - Park Hyatt Aviara
0219	1	Candelas
0220	1	The French Gourmet
0221	1	Fresco Trattoria & Bar
0222	1	Gourmet Italia
0223	1	Il Fornaio - Coronado
0224	1	Jack & Giulio's Italian Restaurant
0225	1	Jai by Wolfgang Puck
0226	1	Jimmy Love's
0227	1	JRDN Restaurant
0228	1	Kous Kous Moroccan Bistro
0229	1	La Costa Grill
0230	1	Lou & Mickey's
0231	1	Manhattan of La Jolla
0232	1	Marble Room
0233	1	The Marine Room
0234	1	The Market Cafe at Loews Coronado Bay Resort
0235	1	Market Restaurant and Bar
0236	1	The Melting Pot - La Jolla
0237	1	Mistral Restaurant
0238	1	NINE-TEN
0239	1	Peohe's – Coronado Waterfront Restaurant
0240	1	Po Pazzo Bar & Grille
0241	1	Rock Bottom Brewery - San Diego
0242	1	Roy's La Jolla
0243	1	Sky Room - La Valencia Hotel
0244	1	Starlite
0245	1	Tango Restaurant & Lounge
0246	1	Top of the Market
0247	1	Truluck's Seafood Steak and Crab - La Jolla
0248	1	Urban Solace
0249	1	Vivace - Park Hyatt Aviara
0250	1	Voyeur
0251	1	The Whaling Bar & Grill - La Valencia Hotel
0252	1	The Winesellar & Brasserie
0253	1	Aqua Blue
0254	1	Atlanta Straits Restaurant
0255	1	Bhojanic
0256	1	BrickTop's
0257	1	Brio Tuscan Grille - Buckhead
0258	1	Buckhead Diner - Priority Seating
0259	1	C&S Seafood & Oyster Bar
0260	1	Capital Grille - Atlanta
0261	1	Chef Rob's Carribbean Cafe
0262	1	Cinco Mexican Cantina - Akers Mill
0263	1	Copeland's Cheesecake Bistro
0264	1	CRU Urban Lounge
0265	1	Downtown Kitchen
0266	1	The Feed Store
0267	1	Gilbert's Cafe & Bar
0268	1	Gordon Biersch Brewery Restaurant - Midtown
0269	1	Hal's - Buckhead
0270	1	HOBNOB Neighborhood Tavern
0271	1	Livingston Restaurant
0272	1	Lobby at Twelve
0273	1	Luciano's - Sugarloaf
0274	1	The Magnolia Thomas Restaurant
0275	1	Max Lager's Wood-Fired Grill & Brewery
0276	1	McCormick & Schmick's Seafood - Atlanta (CNN Center)
0277	1	The Melting Pot - Midtown Atlanta
0278	1	Mykonos Taverna
0279	1	Nakato Japanese Restaurant - Hibachi Grill
0280	1	Nakato Japanese Restaurant - Traditional Dining and Sushi Bar
0281	1	Nikolai's Roof
0282	1	Noche Vinings
0283	1	Oceanaire Seafood Room - Atlanta
0284	1	Old Vinings Inn
0285	1	Park Tavern
0286	1	Paschal's Restaurant
0287	1	Pasta Vino
0288	1	Pearl's Saltwater Grille
0289	1	The Pecan
0290	1	Porter House
0291	1	Pricci
0292	1	Ray's on the River
0293	1	The Real Chow Baby-Howell Mill
0294	1	RED SKY Tapas & Bar
0295	1	Restaurant Eugene
0296	1	Ruth's Chris Steak House - Buckhead
0297	1	Ruth's Chris Steak House - Centennial Park
0298	1	Ruth's Chris Steak House - Savannah
0299	1	Sapphire Grill
0300	1	The Seasons Bistro
0301	1	Seven Gables Restaurant
0302	1	Shaun's
0303	1	The SHED at Glenwood
0304	1	SOHO - Atlanta
0305	1	Sotto Sotto
0306	1	South City Kitchen
0307	1	Sperata
0308	1	STATS
0309	1	Strip
0310	1	Sugo - Clocktower Place
0311	1	The Tasting Room - Sandy Springs
0312	1	The Thorn Tree Restaurant
0313	1	Trader Vic's - Atlanta
0314	1	Tramici
0315	1	Varasano's Pizzeria
0316	1	Vic's on the River
0317	1	Village Cafe
0318	1	The Vines European Cuisine at The Edelweiss
0319	1	Watershed
0320	1	Wildfire - Perimeter
0321	1	ZEN on Ten
0322	1	Acqua at Four Seasons Miami
0323	1	Aizia - Westin Diplomat Resort and Spa
0324	1	Area 31 - Epic Hotel
0325	1	Balans - Lincoln Road
0326	1	Barolo Ristorante
0327	1	Berries in the Grove
0328	1	Biltmore Brunch
0329	1	Bistro One LR - Ritz-Carlton - South Beach
0330	1	Brimstone Woodfire Grill
0331	1	Café Boulud Palm Beach
0332	1	Canyon Ranch Grill - Miami Beach
0333	1	Carmen's at the Top of the Bridge
0334	1	Catch 10 Seafood Bistro
0335	1	Chima Brazilian Steakhouse - Fort Lauderdale
0336	1	Chop House Miami
0337	1	City Fish Market
0338	1	Clarke's
0339	1	De Rodriguez Cuba
0340	1	El Gran Inka - Aventura
0341	1	El Gran Inka - Brickell
0342	1	Emeril's Miami Beach
0343	1	Fleming's Prime Steakhouse Coral Gables
0344	1	Gia - Italian Kitchen and Wine Bar at the Eden Roc
0345	1	Giorgio's Grill
0346	1	Graziano's Coral Gables
0347	1	Graziano's Miami
0348	1	Grille 66 & Bar
0349	1	Henry's
0350	1	Himmarshee Bar & Grille
0351	1	Hollywood Prime - Westin Diplomat Resort and Spa
0352	1	Imlee. An Indian Bistro
0353	1	Indigo Restaurant
0354	1	La Riviera at Sofitel Miami
0355	1	Lemongrass - Delray Beach
0356	1	Lola Restaurant
0357	1	Martorano's
0358	1	Mercadito Midtown
0359	1	Michelle Bernstein Restaurant - The Omphoy Ocean Resort
0360	1	Morton's The Steakhouse - Coral Gables
0361	1	MR CHOW- Miami
0362	1	Nemo
0363	1	Nikki Beach
0364	1	Ocean Prime - Miami
0365	1	Oceans - Deerfield Beach
0366	1	Petit Rouge
0367	1	Piola - Hallandale Beach
0368	1	Por Fin
0369	1	Puntino Downtown
0370	1	Racks Italian Kitchen
0371	1	Red Light Little River
0372	1	Rocco's Tacos & Tequila Bar - Boca Raton
0373	1	Rosa Mexicano - Miami
0374	1	Rusty Pelican - Miami
0375	1	Ruth's Chris Steak House - West Palm Beach
0376	1	Scarpetta - Fontainebleau Miami Beach
0377	1	Seasons 52 - Boca Raton
0378	1	Seasons 52 - Ft. Lauderdale
0379	1	Snappers Seafood & Pasta
0380	1	SoLita Las Olas
0381	1	Solu Restaurant - The Palm Beach Marriott Beach Resort & Spa on Singer Island
0382	1	STK Miami
0383	1	SUSHISAMBA dromo
0384	1	Temple Orange - Ritz-Carlton Palm Beach -
0385	1	Timo Restaurant & Bar
0386	1	Timpano Chophouse and Martini Bar - Ft. Lauderdale
0387	1	Vienna Cafe & Wine Bar
0388	1	ZED451 - Boca Raton
0389	1	7 West Bistro Grille
0390	1	Aida Bistro & Wine Bar
0391	1	Austin Grill - Annapolis
0392	1	B&O American Brasserie - Hotel Monaco
0393	1	Belmont
0394	1	The Bistro at South River
0395	1	Black Olive
0396	1	Blue Hill Tavern
0397	1	Bluestone
0398	1	Breeze
0399	1	Caesar's Den
0400	1	Eden
0401	1	GERMANO'S Trattoria
0402	1	Jimmy's Famous Seafood
0403	1	John Steven, Ltd.
0404	1	Kentmorr Restaurant
0405	1	Laurrapin Grille
0406	1	Leelynn's Dining Room & Lounge
0407	1	Louisiana Restaurant
0408	1	M & S Grill - Baltimore
0409	1	McCormick & Schmick's Seafood - Baltimore
0410	1	Mezze - Baltimore
0411	1	Out of the Fire
0412	1	The Owl Bar
0413	1	Restaurant Sabor
0414	1	Ruth's Chris Steak House - Pier 5
0415	1	Scossa
0416	1	Sotto Sopra
0417	1	Tsunami - Annapolis
0418	1	Union Jack's - Columbia
0419	1	Watertable
0420	1	Biga on the Banks
0421	1	Cappy's Restaurant
0422	1	Cool Cafe
0423	1	Fleming's Prime Steakhouse San Antonio
0424	1	JW Marriott San Antonio - 18 Oaks
0425	1	Kirby's Prime Steakhouse - San Antonio
0426	1	Kona Grill - San Antonio
0427	1	Las Ramblas at Hotel Contessa
0428	1	Le Midi Restaurant
0429	1	Luce Ristorante E Enoteca
0430	1	Roaring Fork San Antonio
0431	1	Sazo's Latin Grill
0432	1	Stonewerks
0433	1	Sushi Zushi - Downtown
0434	1	35th Street Bistro
0435	1	Adriatic Grill - Italian Cuisine & Wine Bar
0436	1	Andaluca
0437	1	Asado
0438	1	Assaggio
0439	1	Buenos Aires Grill
0440	1	Calcutta Grill
0441	1	Chantanee Thai Restaurant & Bar
0442	1	Chez Shea
0443	1	The Dining Room at Salish Lodge & Spa
0444	1	Dulces Latin Bistro
0445	1	FareStart
0446	1	Front Street Grill
0447	1	The Georgian
0448	1	The Heritage Restaurant - The Inn at Gig Harbor
0449	1	Icon Grill
0450	1	Library Bistro
0451	1	Nell's
0452	1	Over The Moon Cafe
0453	1	Palomino - Bellevue
0454	1	Ruth's Chris Steak House - Bellevue
0455	1	Salty's on Alki
0456	1	Sazerac
0457	1	Sip Restaurant - Issaquah
0458	1	Sip Restaurant - Seattle
0459	1	Six Seven Restaurant & Lounge
0460	1	Steelhead Diner
0461	1	Tango
0462	1	Tilth
0463	1	Toulouse Petit Kitchen & Lounge
0464	1	Typhoon! Redmond
0465	1	Varsity Grill
0466	1	Wild Vine Bistro
0467	1	Artin's Grill
0468	1	BB & Luigi's Vineyard Steakhouse - Grapevine
0469	1	Bistro N
0470	1	Bob's Steak & Chop House - Dallas
0471	1	The Butcher Shop Steakhouse
0472	1	Charlie Palmer at The Joule
0473	1	Craft Dallas
0474	1	Ferrari's Italian Villa
0475	1	Ferre Fort Worth
0476	1	The Fish Sushi Bar And Lounge
0477	1	The French Room
0478	1	Grand Met
0479	1	Hannah's off The Square
0480	1	Hector's on Henderson
0481	1	III Forks
0482	1	Iron Cactus - Dallas
0483	1	Isabella's Italian Restaurant
0484	1	Jaxx Steakhouse
0485	1	Lavendou Bistro
0486	1	Lawry's The Prime Rib - Dallas
0487	1	Lonesome Dove Western Bistro
0488	1	Maggiano's - Northpark
0489	1	Maggiano's - Willow Bend
0490	1	Maximo Cocina Mexicana
0491	1	McCormick & Schmick's Seafood - Dallas
0492	1	Meddlesome Moth
0493	1	Medina Oven & Bar
0494	1	Mercury Chophouse
0495	1	Michaels Cuisine
0496	1	Nobu Dallas
0497	1	Olenjack's Grille
0498	1	Perry's Steakhouse & Grille - Uptown
0499	1	The Place at Perry's
0500	1	Preston's
0501	1	Randy's Steakhouse
0502	1	Ristorante Nicola
0503	1	Ruth's Chris Steak House - North Dallas
0504	1	Sevy's Grill
0505	1	Shinsei Restaurant
0506	1	Sushi Axiom - Dallas
0507	1	Technique at Le Cordon Bleu - Dallas
0508	1	Thrive Restaurant
0509	1	Tillman's Roadhouse - Fort Worth
0510	1	Tramontana
0511	1	Zea WoodFire Grill
0512	1	Bambara
0513	1	Christopher's Seafood & Prime Steak House
0514	1	The Copper Onion
0515	1	Easy Street Brasserie at The Sky Lodge
0516	1	Faustina
0517	1	Fresco Italian Cafe
0518	1	Kimi's Mountainside Bistro at Solitude Mountain Resort
0519	1	Martine Cafe
0520	1	Prime Steak House & Piano Bar
0521	1	Rickenbacker's Bistro & Restaurant
0522	1	Takashi
0523	1	Tsunami Restaurant - Union Heights
0524	1	Yuki Arashi
0525	1	Muse
0526	1	Simon & Seafort's
0527	1	Bella Monica
0528	1	Blu Seafood and Bar
0529	1	Capital City Chophouse
0530	1	The Duck and Dumpling
0531	1	Finelli's Cafe
0532	1	Four Square Restaurant
0533	1	Jimmy V's Steakhouse and Tavern
0534	1	Napper Tandy's Irish Pub
0535	1	One Restaurant - Chapel Hill
0536	1	The Oxford
0537	1	Posta Tuscan Grille
0538	1	Saint Jacques French Cuisine
0539	1	Savoy
0540	1	Sitti
0541	1	Weathervane Restaurant
0542	1	Amerigo - Jackson
0543	1	Prime: A Steakhouse
0544	1	Purple Parrot Café
0545	1	Ruth's Chris Steak House - Ridgeland
0546	1	Baxter's Lakeside Grille
0547	1	Bald Headed Bistro
0548	1	Bistro By The Tracks
0549	1	Cafe 4
0550	1	Chez Liberty
0551	1	Easy Bistro
0552	1	Papa Joe's/Iacomini's
0553	1	Bluefin
0554	1	Chez Philippe - Peabody Hotel Memphis
0555	1	Equestria
0556	1	Interim Restaurant & Bar
0557	1	Mesquite Chop House
0558	1	Sekisui Pacific Rim
0559	1	Enigma Restaurant
0560	1	Sargasso of Morgantown Restaurant & Bar
0561	1	Andrew's Bar & Restaurant
0562	1	Bartolotta's Lake Park Bistro
0563	1	Bistro 333 - Hyatt Regency Milwaukee
0564	1	Centercourt Pub and Grille
0565	1	Chefusion Eclectic Cuisine & Lounge
0566	1	Coast Restaurant
0567	1	Fleming's Prime Steakhouse Brookfield
0568	1	Fresco
0569	1	Hinterland Erie Street Gastropub
0570	1	Innovation
0571	1	La Merenda
0572	1	Maggiano's - Milwaukee
0573	1	McCormick & Schmick's Seafood - Milwaukee
0574	1	Mikey's
0575	1	Ocean Grill - Madison
0576	1	Republic Chophouse
0577	1	Theos Cream City Chop House
0578	1	101 Downtown
0579	1	310 Lakeside
0580	1	310 Park South
0581	1	Brio Italiano
0582	1	Circa Restaurant
0583	1	David's Club - Omni Orlando Resorts
0584	1	Dragonfly Sushi & Sake Co.
0585	1	Enigma Casual Dining
0586	1	Funky Monkey Wine Company
0587	1	Hawk's Landing Steakhouse & Grille at Orlando World Center Marriott Resort
0588	1	Hemingway's
0589	1	Kohinoor Indian Restaurant
0590	1	Luma on Park
0591	1	Mario's Bistro
0592	1	Mark's Prime Steak House - Ocala
0593	1	Ming Court
0594	1	MT's Chophouse - Gainesville
0595	1	MT's Chophouse - Vero Beach
0596	1	Naples Italian Restaurant
0597	1	Oceanaire Seafood Room - Orlando
0598	1	Paris Bistro
0599	1	Park Plaza Gardens
0600	1	The Ravenous Pig: An American Gastropub
0601	1	Rocco's Italian Grille
0602	1	Sushin Sushi Japanese Restaurant
0603	1	Taverna Opa - Orlando
0604	1	Thai Thani - Celebration
0605	1	Thunya Thai
0606	1	Trevi's - Omni Orlando Resorts
0607	1	The Vineyard Grill
0608	1	33 Club
0609	1	Ai Japanese Restaurant and Lounge
0610	1	Amber Café
0611	1	AraOn (formerly Shikago)
0612	1	Berghoff Restaurant
0613	1	Biaggi's - Champaign
0614	1	Big Bowl-Cedar
0615	1	Bistro Campagne
0616	1	Boka
0617	1	Bonefish Grill - Algonquin
0618	1	Bonsoirée
0619	1	Braxton Seafood Grill
0620	1	Brazzaz - The Brazilian Steakhouse
0621	1	Café Absinthe
0622	1	Café Bionda
0623	1	Capital Grille - Chicago
0624	1	Carmine's
0625	1	Ceres' Table
0626	1	Chataigne at Le Cordon Bleu - Chicago
0627	1	Chez Joel
0628	1	Chicago Curry House (Indian and Nepalese Restaurant)
0629	1	Chicago Prime Steakhouse
0630	1	The Claim Company
0631	1	The Clubhouse - Oakbrook
0632	1	Coco Pazzo Café
0633	1	Connie's Pizza
0634	1	Crust Eat Real
0635	1	Custom House Tavern
0636	1	David Burke's Primehouse in the James Hotel
0637	1	Deleece Grill Pub (on Clark Street)
0638	1	Dick's Last Resort - Chicago
0639	1	Drake Bros' at The Drake Hotel
0640	1	Eatt
0641	1	Feast - Bucktown
0642	1	Flatwater
0643	1	The Flying Horse
0644	1	Forge Club
0645	1	Francesca's at the Promenade
0646	1	Francesca's Bellezza
0647	1	Francesca's Famiglia
0648	1	Francesca's on Taylor
0649	1	Frankie's Ristorante
0650	1	The Gage
0651	1	Gemini Bistro
0652	1	Goose Island Brewery
0653	1	The Grand Station Restaurant & Cocktails
0654	1	Graziano's - Chicago
0655	1	Green Zebra
0656	1	Harry Caray's Italian Steakhouse - Rosemont
0657	1	Harvest
0658	1	Harvest at Pheasant Run Resort
0659	1	Houlihan's Restaurant - Park Ridge
0660	1	Jambalaya
0661	1	Jerseys Pizza and Grill
0662	1	Kamehachi of Tokyo
0663	1	Karma Asian Food and Fine Wine
0664	1	Kiki's Bistro
0665	1	King's Wharf
0666	1	Kinzie Chop House
0667	1	Koi Chinese and Sushi
0668	1	Kona Grill - Lincolnshire
0669	1	La Sorella di Francesca
0670	1	Las Palmas Restaurant
0671	1	Lloyd's
0672	1	Maggiano's - Naperville
0673	1	Mexique
0674	1	Mill Race Inn
0675	1	Mitchell's Fish Market - Glenview
0676	1	Mity Nice Grill
0677	1	Mon Ami Gabi
0678	1	Mon Ami Gabi - Oakbrook
0679	1	Morton's The Steakhouse - Chicago - The Original
0680	1	Morton's The Steakhouse - Chicago - Wacker Place
0681	1	Myron and Phil Steakhouse
0682	1	Naha
0683	1	Nia
0684	1	Opera
0685	1	The Palm Court at The Drake Hotel
0686	1	Park Grill Chicago
0687	1	Pete's Pizza
0688	1	Piazza - The Hyatt Lodge at McDonald's Campus
0689	1	Prairie Grass Café
0690	1	Province
0691	1	The Publican
0692	1	Quartino
0693	1	Ram Restaurant & Brewery - Rosemont
0694	1	Red Light
0695	1	Redstone American Grill - Oakbrook Terrace
0696	1	Ria
0697	1	Rock Bottom Brewery - Orland Park
0698	1	The Rosebud
0699	1	Rosebud Trattoria (fka Ballo)
0700	1	Ruth's Chris Steak House - South Barrington
0701	1	Sabor Saveur
0702	1	Sam and Harry's - Renaissance Schaumburg
0703	1	Sapori Trattoria
0704	1	Shaw's Crab House - Schaumburg
0705	1	Sola
0706	1	South Gate Cafe
0707	1	South Water Kitchen
0708	1	State & Lake
0709	1	Sullivan's Steakhouse - Naperville
0710	1	Sushi by Chef Soon
0711	1	Thalia Spice
0712	1	Tin Fish
0713	1	Tocco Pizza e Arte
0714	1	Tramonto's Steak & Seafood
0715	1	Tsuki Japanese Restaurant & Lounge
0716	1	Viaggio Ristorante and Lounge
0717	1	Vie
0718	1	Zapatista
0719	1	Zealous
0720	1	Acorn Restaurant
0721	1	B.B. King's Blues Club
0722	1	City House
0723	1	F. Scott's Restaurant & Jazz Bar
0724	1	Flyte World Dining & Wine
0725	1	Merchant's Restaurant
0726	1	Miro District Food and Drink
0727	1	Rumba - Nashville
0728	1	Saffire
0729	1	Sperry's Restaurant - Belle Meade
0730	1	Wild Bill's - Wine Bar, Cajun Cafe, and Rooftop
0731	1	131 Main Restaurant - Dilworth
0732	1	Capital Grille - Charlotte
0733	1	Cyros Sushi & Sake Bar
0734	1	Dressler's - Charlotte
0735	1	Kalu Restaurant
0736	1	Lulu Dine Wine
0737	1	Maddi's Southern Bistro
0738	1	Mimosa Grill
0739	1	Omaha Steakhouse
0740	1	Pewter Rose Bistro
0741	1	Prickly Pear - Mooresville
0742	1	Providence Cafe
0743	1	Sonoma
0744	1	Sullivan's Steakhouse - Charlotte
0745	1	T1 Tapas
0746	1	Trio Restaurant - Charlotte
0747	1	Village Tavern - Charlotte
0748	1	Vivace - Charlotte
0749	1	The Belmont
0750	1	Cafe Blue
0751	1	Cool River Cafe - Austin
0752	1	Cotton Gin Cabernet Grill
0753	1	Fleming's Prime Steakhouse Austin The Domain
0754	1	Judges' Hill Restaurant
0755	1	Manuel's Great Hills
0756	1	Maria Maria - Austin
0757	1	Parkside
0758	1	SWB @ the Hyatt Regency Austin
0759	1	TRIO - Four Seasons Austin
0760	1	Beachhouse - Moana Surfrider
0761	1	Brown's Beach House - The Fairmont Orchid - Kohala Coast
0762	1	Cafe Sistina
0763	1	Duke's Beach House Maui
0764	1	Gyu-Kaku - Kapiolani
0765	1	Hula Grill - Waikiki
0766	1	Lahaina Fish Co.
0767	1	MALA - Wailea Beach Marriott Resort
0768	1	Molokini Bar & Grille - Makena Beach & Golf Resort
0769	1	Nick's Fishmarket Maui
0770	1	Orchids at Halekulani
0771	1	Pulehu, an Italian Grill
0772	1	Ruth's Chris Steak House - Lahaina
0773	1	Shore Bird Restaurant & Beach Bar
0774	1	Town
0775	1	Ushio-tei
0776	1	Wolfgang's Steak House - Waikiki Beach
0777	1	Alexanders Horseshoe Bar and Grill
0778	1	Campagnia
0779	1	Cosmo Cafe - Sacramento
0780	1	Crush 29
0781	1	Dawson's - Hyatt Regency Sacramento
0782	1	Enotria Restaurant
0783	1	Five Restaurant
0784	1	Il Fornaio - Roseville
0785	1	Il Fornaio - Sacramento
0786	1	Max's Bistro & Bar
0787	1	Pismo's Coastal Grill
0788	1	Ruth's Chris Steak House - Fresno
0789	1	Scott's Seafood Grill & Bar - Folsom
0790	1	Seasons - Davis
0791	1	Slocum House
0792	1	Tower Bridge Bistro - Embassy Suites Hotel Sacramento
0793	1	Vines - Hyatt Regency Sacramento
0794	1	The Vineyard Restaurant
0795	1	Waterboy
0796	1	Zocalo Restaurant
0797	1	Avanti Bar & Grill
0798	1	Cheevers Cafe
0799	1	Coach House Oklahoma City
0800	1	Grand House China Bistro
0801	1	Hefner Grill
0802	1	In the Raw - Bricktown
