restaurant	restaurantica	phone
0881	1	(623) 386-4632
0882	1	(623) 386-6442
0883	1	(928) 758-7104
0884	1	(928) 704-1700
0885	1	(928) 567-9505
0886	1	(928) 567-9488
0887	1	(928) 567-2435
0888	1	(928) 567-7905
0889	1	(928) 567-6521
0890	1	(928) 567-2339
0891	1	(480) 488-0715
0892	1	(480) 488-9009
0893	1	(480) 575-0021
0894	1	(480) 488-9825
0895	1	(520) 836-9294
0896	1	(520) 836-2045
0897	1	(480) 488-9542
0898	1	(480) 488-5800
0899	1	(480) 488-0698
0900	1	(480) 595-5309
0901	1	(480) 961-9673
0902	1	(480) 786-1289
0903	1	(480) 899-3318
0904	1	(480) 783-9060
0905	1	(928) 636-3894
0906	1	(928) 636-6003
0907	1	(520) 723-0300
0908	1	(520) 723-7817
0909	1	(520) 723-9949
0910	1	(928) 592-0288
0911	1	(928) 634-1445
0912	1	(928) 634-7028
0913	1	(928) 634-7272
0914	1	(928) 639-2885
0915	1	(928) 646-8888
0916	1	(928) 634-3302
0917	1	9 (280) 632-1388
0918	1	(520) 805-1881
0919	1	(520) 364-5238
0920	1	(520) 364-8898
0921	1	(520) 364-5100
0922	1	(520) 364-4642
0923	1	(928) 359-2643
0924	1	(928) 687-1517
0925	1	(623) 583-3044
0926	1	(623) 583-0019
0927	1	(520) 466-3473
0928	1	(928) 779-2187
0929	1	(928) 774-8886
0930	1	(520) 868-4784
0931	1	(520) 868-9511
0932	1	(520) 868-5790
0933	1	(928) 758-6772
0934	1	(928) 758-9432
0935	1	(928) 768-3838
0936	1	(928) 763-9888
0937	1	(928) 758-1011
0938	1	(480) 836-8008
0939	1	(480) 837-8889
0940	1	(480) 816-3515
0941	1	(480) 816-8880
0942	1	(480) 837-0592
0943	1	(480) 836-0770
0944	1	(480) 926-9077
0945	1	(480) 633-1217
0946	1	(480) 503-3805
0947	1	(623) 847-7119
0948	1	(602) 843-9000
0949	1	(623) 435-0914
0950	1	(623) 979-4500
0951	1	(602) 504-2776
0952	1	(623) 825-9949
0953	1	(928) 402-8448
0954	0	<NULL>
0955	1	(928) 565-2626
0956	1	(928) 535-9361
0957	1	(623) 932-0922
0958	1	(623) 535-4642
0959	1	(520) 399-2040
0960	1	(520) 648-3848
0961	1	(520) 625-1705
0962	1	(928) 535-4433
0963	1	(928) 535-5660
0964	1	(520) 378-0005
0965	1	(928) 524-2153
0966	1	(928) 524-6000
0967	1	(520) 456-3003
0968	1	(928) 639-3197
0969	1	(928) 634-2733
0970	1	(928) 634-3230
0971	1	(928) 634-8809
0972	1	(928) 697-8448
0973	1	(928) 697-3396
0974	1	(928) 697-3170
0975	1	(928) 753-5100
0976	1	(928) 753-1170
0977	1	(928) 718-2530
0978	1	(928) 757-7279
0979	1	(928) 757-4420
0980	1	(928) 718-0066
0981	1	(928) 505-8030
0982	1	(928) 680-3868
0983	1	(928) 855-2013
0984	1	(928) 855-3283
0985	1	(928) 453-2981
0986	1	(928) 367-1514
0987	1	(928) 368-5800
0988	1	(928) 368-2206
0989	1	(623) 935-5059
0990	1	(623) 935-3811
0991	1	(623) 935-0981
0992	1	(623) 742-7337
0993	1	(520) 682-5377
0994	1	(520) 744-7490
0995	1	(520) 682-3252
0996	1	(520) 568-2250
0997	1	(928) 632-4440
0998	1	(928) 632-4211
