restaurant	pickarestaurant	cuisine
0219	1	AMERICAN
0220	1	ITALIAN
0221	1	VIETNAMESE
0222	1	PIZZA
0223	1	PIZZA
0224	1	STEAKHOUSE
0225	1	DESSERT
0226	1	CHINESE
0227	1	PIZZA
0228	1	COFFEE SHOP
0229	1	AMERICAN
0230	1	CATERERS
0231	1	CHICKEN
0232	1	CHICKEN
0233	1	CHICKEN
0234	1	CHICKEN
0235	1	ENGLISH
0236	1	CHICKEN
0237	1	ITALIAN
0238	1	AMERICAN
0239	1	PIZZA
0240	1	CHICKEN
0241	1	MEXICAN
0242	1	SUBS
0243	1	MEXICAN
0244	1	MEXICAN
0245	1	SUBS
0246	1	MEXICAN
0247	1	MEXICAN
0248	1	MEXICAN
0249	1	SUBS
0250	1	SUBS
0251	1	SUBS
0252	1	MEXICAN
0253	1	INDIAN
0254	1	JAPANESE
0255	1	THAI
0256	1	MEXICAN
0257	1	ICE CREAM
0258	1	MEXICAN
0259	1	MEXICAN
0260	1	MEXICAN
0261	1	TACO - BURRITOS
0262	1	MEXICAN
0263	1	MEXICAN
0264	1	PIZZA
0265	1	TACO - BURRITOS
0266	1	MEXICAN
0267	1	TACO - BURRITOS
0268	1	ITALIAN
0269	1	CHINESE
0270	1	PIZZA
0271	1	DESSERT
0272	1	THAI
0273	1	CHINESE
0274	1	SUBS
0275	1	MEXICAN
0276	1	SUBS
0277	1	SUBS
0278	1	SUBS
0279	1	MEXICAN
0280	1	THAI
0281	1	THAI
0282	1	AMERICAN
0283	1	THAI
0284	1	SUBS
0285	1	BAR
0286	1	TACO - BURRITOS
0287	1	TACO - BURRITOS
0288	1	SUBS
0289	1	TACO - BURRITOS
0290	1	SUBS
0291	1	DESSERT
0292	1	SUSHI
0293	1	CAFE
0294	1	DELI
0295	1	ECLECTIC
0296	1	ECLECTIC
0297	1	WINE LISTS
0298	1	BAR
0299	1	SANDWICH SHOP
0300	1	ICE CREAM
0301	1	CHINESE
0302	1	HEALTHY
0303	1	PIZZA
0304	1	SEAFOOD
0305	1	CAFE
0306	1	DESSERT
0307	1	CAFE
0308	1	ITALIAN
0309	1	AMERICAN
0310	1	SUSHI
0311	1	CAFE
0312	1	NOODLE SHOP
0313	1	BARBECUE
0314	1	SEAFOOD
0315	1	BAR
0316	1	STEAKHOUSE
0317	1	TACO - BURRITOS
0318	1	BARBECUE
0319	1	AMERICAN
0320	1	CAJUN
0321	1	CATERERS
0322	1	SEAFOOD
0323	1	AMERICAN
0324	1	BAR
0325	1	ITALIAN
0326	1	BAR
0327	1	AMERICAN
0328	1	GRILL
0329	1	AMERICAN
0330	1	FRENCH
0331	1	DESSERT
0332	1	AMERICAN
0333	1	SNACK FOOD
0334	1	BARBECUE
0335	1	BARBECUE
0336	1	AMERICAN
0337	1	HAWAIIAN
0338	1	CAFE
0339	1	DELI
0340	1	CAFE
0341	1	THAI
0342	1	BAR
0343	1	SUBS
0344	1	PIZZA
0345	1	ENGLISH PUB
0346	1	VIETNAMESE
0347	1	FRENCH
0348	1	VIETNAMESE
0349	1	CAFE
0350	1	GAME
0351	1	GAME
0352	1	PIZZA
0353	1	DESSERT
0354	1	SNACK FOOD
0355	1	STEAKHOUSE
0356	1	BAR
0357	1	BAKERY
0358	1	SUSHI
0359	1	CAFE
0360	1	DESSERT
0361	1	SUSHI
0362	1	JAPANESE
0363	1	GRILL
0364	1	ITALIAN
0365	1	CONTEMPORARY
0366	1	BAKERY
0367	1	THAI
0368	1	CAFE
0369	1	AMERICAN
0370	1	STEAKHOUSE
0371	1	STEAKHOUSE
0372	1	SUSHI
0373	1	BURGER
0374	1	TACO - BURRITOS
0375	1	SUSHI
0376	1	BURGER
0377	1	MEXICAN
0378	1	AMERICAN
0379	1	CAFE
0380	1	ECLECTIC
0381	1	BARBECUE
0382	1	FAST FOOD
0383	1	DELI
0384	1	DESSERT
0385	1	CAFE
0386	1	PIZZA
0387	1	MEXICAN
0388	1	BURGERS
0389	1	BURGERS
0390	1	BARBECUE
0391	1	BURGERS
0392	1	CATERERS
0393	1	BAR
0394	1	FAST FOOD
0395	1	FAST FOOD
0396	1	BAR
0397	1	SNACK FOOD
0398	1	DELI
0399	1	FAST FOOD
0400	1	BURGER
0401	1	FAST FOOD
0402	1	FAST FOOD
0403	1	FAST FOOD
0404	1	FAST FOOD
0405	1	SEAFOOD
0406	1	FAST FOOD
0407	1	AMERICAN
0408	1	CHINESE
0409	1	CHINESE
0410	1	CHINESE
0411	1	DESSERT
0412	1	DESSERT
0413	1	DESSERT
0414	1	CAFE
0415	1	CHINESE
0416	1	CHINESE
0417	1	WINGS
0418	1	COFFEE SHOP
0419	1	WINGS
0420	1	MEXICAN
0421	1	CATERERS
0422	1	SEAFOOD
0423	1	CAFE
0424	1	MEXICAN
0425	1	SEAFOOD
0426	1	CAFE
0427	1	CHINESE
0428	1	AMERICAN
0429	1	BAR
0430	1	BARBECUE
0431	1	CHICKEN
0432	1	CHICKEN
0433	1	CHICKEN
0434	1	ITALIAN
0435	1	CHICKEN
0436	1	CHICKEN
0437	1	VEGETARIAN
0438	1	CAFE
0439	1	AMERICAN
0440	1	CAFE
0441	1	CAFE
0442	1	CATERERS
0443	1	MEXICAN
0444	1	ITALIAN
0445	1	CHICKEN
0446	1	CHICKEN
0447	1	SEAFOOD
0448	1	CHICKEN
0449	1	BARBECUE
0450	1	CAFE
0451	1	WINE LISTS
0452	1	DESSERT
0453	1	TEA
0454	1	MEXICAN
0455	1	CATERERS
0456	1	CAFE
0457	1	AMERICAN
0458	1	PIZZA
0459	1	CAJUN
0460	1	BURGER
0461	1	BURGER
0462	1	BURGER
0463	1	BURGER
0464	1	AMERICAN
0465	1	DELI
0466	1	SANDWICH SHOP
0467	1	AMERICAN
0468	1	TACO - BURRITOS
0469	1	CAFE
0470	1	BURGER
0471	1	CAFE
0472	1	PIZZA
0473	1	CAFE
0474	1	CAFE
0475	1	MEDITERRANEAN
0476	1	DELI
0477	1	CHINESE
0478	1	CAFE
0479	1	CAFE
0480	1	CAFERTERIA
0481	1	BAR
0482	1	MEXICAN
0483	1	CAFE
0484	1	DELI
0485	1	BAR
0486	1	CHICKEN
0487	1	BAR
0488	1	EASTERN EUROPEAN
0489	1	BAR
0490	1	BAR
0491	1	BAR
0492	1	PIZZA
0493	1	CHINESE
0494	1	PIZZA
0495	1	CHINESE
0496	1	SPORTS BAR
0497	1	PIZZA
0498	1	PIZZA
0499	1	PIZZA
0500	1	CHICKEN
0501	1	BAKERY
0502	1	CHICKEN
0503	1	CHINESE
0504	1	CHICKEN
0505	1	BARBECUE
0506	1	CHINESE
0507	1	ITALIAN
0508	1	ITALIAN
0509	1	CAFE
0510	1	PIZZA
0511	1	MEXICAN
0512	1	MEXICAN
0513	1	MEXICAN
0514	1	CHINESE
0515	1	MEXICAN
0516	1	SOUL FOOD
0517	1	AMERICAN
0518	1	SEAFOOD
0519	1	ITALIAN
0520	1	AMERICAN
0521	1	THAI
0522	1	CAFE
0523	1	AMERICAN
0524	1	HAWAIIAN
0525	1	GRILL
0526	1	MEXICAN
0527	1	BURGERS
0528	1	CHINESE
0529	1	CHINESE
0530	1	SUSHI
0531	1	SEAFOOD
0532	1	CHINESE
0533	1	SNACK FOOD
0534	1	CHINESE
0535	1	BAKERY
0536	1	BAKERY
0537	1	ASIAN
0538	1	CAFE
0539	1	CAFE
0540	1	ITALIAN
0541	1	BAR
0542	1	DESSERT
0543	1	FRENCH
0544	1	FAST FOOD
0545	1	FAST FOOD
0546	1	MIDDLE EASTERN
0547	1	FAST FOOD
0548	1	AMERICAN
0549	1	CONTINENTAL
0550	1	CATERERS
0551	1	BARBECUE
0552	1	MEDITERRANEAN
0553	1	ITALIAN
0554	1	TEX-MEX
0555	1	BARBECUE
0556	1	AMERICAN
0557	1	BARBECUE
0558	1	MEXICAN
0559	1	MEXICAN
0560	1	BAR
0561	1	BARBECUE
0562	1	DESSERT
0563	1	MEXICAN
0564	1	AMERICAN
0565	1	CAFE
0566	1	BAKERY
0567	1	BAGEL SHOP
0568	1	COFFEE SHOP
0569	1	BARBECUE
0570	1	COFFEE SHOP
0571	1	BAR
0572	1	MEDITERRANEAN
0573	1	NEW AMERICAN
0574	1	DELI
0575	1	CATERERS
0576	1	CAFE
0577	1	FRENCH
0578	1	FRENCH
0579	1	BREWERY
0580	1	MEXICAN
0581	1	INDIAN, VEGETARIAN
0582	1	BAR
0583	1	MEXICAN
0584	1	HAMBURGERS
0585	1	AMERICAN (TRADITIONAL), VEGETARIAN
0586	1	DELI, SOUPS, FAST FOOD, CHEESESTEAK
0587	1	ITALIAN
0588	1	MEXICAN
0589	1	MEXICAN
0590	1	DELI
0591	1	HAWAIIAN
0592	1	CAFE
0593	1	BISTRO
0594	1	CAFE
0595	1	CATERERS
0596	1	CAFE
0597	1	CATERERS
0598	1	MIDDLE EASTERN
0599	1	PIZZA
0600	1	ADULT VENUES
0601	1	DELI
0602	1	AMERICAN
0603	1	DELI
0604	1	THAI
0605	1	ITALIAN
0606	1	HOMECOOKING
0607	1	MEXICAN
0608	1	CAFE
0609	1	CAFE
0610	1	INDIAN
0611	1	CHINESE
0612	1	BARBECUE
0613	1	CAFE
0614	1	CAFE
0615	1	MEXICAN
0616	1	DESSERT
0617	1	DESSERT
0618	1	DESSERT
0619	1	CATERERS
0620	1	CATERERS
0621	1	PIZZA
0622	1	SEAFOOD
0623	1	ICE CREAM
0624	1	ICE CREAM
0625	1	CAFE
0626	1	ICE CREAM
0627	1	AMERICAN
0628	1	CAFE
0629	1	CAFE
0630	1	CAFE
0631	1	ENGLISH
0632	1	AMERICAN
0633	1	CAFE
0634	1	AMERICAN
0635	1	CAFE
0636	1	CAFE
0637	1	CATERERS
0638	1	AMERICAN
0639	1	HOMECOOKING
0640	1	PIZZA
0641	1	CAFE
0642	1	CHICKEN
0643	1	AMERICAN
0644	1	AMERICAN (REGIONAL)
0645	1	BREAKFAST
0646	1	BAR
0647	1	CAFE
0648	1	AMERICAN
0649	1	CAFE
0650	1	CATERERS
0651	1	COFFEE SHOP
0652	1	SANDWICH SHOP
0653	1	DELI
0654	1	NEW AMERICAN
0655	1	ICE CREAM
0656	1	HAWAIIAN
0657	1	BARBECUE
0658	1	PIZZA
0659	1	CAJUN
0660	1	BREAKFAST
0661	1	DESSERT
0662	1	BAR
0663	1	BISTRO
0664	1	HOMECOOKING
0665	1	BAR
0666	1	COFFEE SHOP
0667	1	BISTRO
0668	1	AMERICAN
0669	1	MEXICAN
0670	1	BAR
0671	1	CAFE
0672	1	CATERERS
0673	1	HAWAIIAN
0674	1	CAFE
0675	1	DINER
0676	1	AMERICAN
0677	1	SEAFOOD
0678	1	BUFFET
0679	1	HAWAIIAN
0680	1	STEAKHOUSE
0681	1	CATERERS
0682	1	BAR
0683	1	DESSERT
0684	1	BAR
0685	1	BAR
0686	1	CHINESE
0687	1	ECLECTIC/FUSION
0688	1	AMERICAN
0689	1	CHINESE
0690	1	FOOD MARKET
0691	1	BAR
0692	1	BAR
0693	1	MEXICAN
0694	1	HOT DOGS
0695	1	MEXICAN
0696	1	AMERICAN
0697	1	DESSERT
0698	1	DELI
0699	1	BURGERS
0700	1	SEAFOOD
0701	1	COFFEE SHOP
0702	1	MEXICAN
0703	1	ITALIAN
0704	1	ITALIAN
0705	1	BAR
0706	1	BAR
0707	1	CAFE
0708	1	DESSERT
0709	1	MEXICAN
0710	1	CATERERS
0711	1	ITALIAN
0712	1	CATERERS
0713	1	BURGER
0714	1	GRILL
0715	1	BURGERS
0716	1	BURGER
0717	1	STEAKHOUSE
0718	1	SPORTS BAR
0719	1	ETHNIC
0720	1	JAPANESE
0721	1	BURGER
0722	1	STEAKHOUSE
0723	1	BURGER
0724	1	BURGER
0725	1	BURGER
0726	1	ITALIAN
0727	1	SEAFOOD
0728	1	PIZZA
0729	1	AMERICAN
0730	1	PIZZA
0731	1	BAKERY
0732	1	BAR
0733	1	CAFE
0734	1	PIZZA
0735	1	PIZZA
0736	1	PIZZA
0737	1	PIZZA
0738	1	BAR
0739	1	PIZZA
0740	1	PIZZA
0741	1	HOT DOGS
0742	1	ITALIAN
0743	1	PIZZA
0744	1	HOTEL
0745	1	SEAFOOD
0746	1	BAR
0747	1	DELI
0748	1	STEAKHOUSE
0749	1	DELI
0750	1	CAFE
0751	1	HOTEL
0752	1	BARBECUE
0753	1	GERMAN
0754	1	PIZZA
0755	1	BAR
0756	1	PIZZA
0757	1	SEAFOOD
0758	1	CAFE
0759	1	MEXICAN
0760	1	MEXICAN
0761	1	BAKERY
0762	1	MEXICAN
0763	1	BARBECUE
0764	1	BARBECUE
0765	1	AMERICAN
0766	1	AMERICAN
0767	1	AMERICAN
0768	1	DONUTS
0769	1	SEAFOOD
0770	1	AMERICAN
0771	1	MEXICAN
0772	1	MEXICAN
0773	1	CATERERS
0774	1	ITALIAN
0775	1	BAR
0776	1	WINE LISTS
0777	1	MEXICAN
0778	1	ICE CREAM
0779	1	BARBECUE
0780	1	HOMECOOKING
0781	1	BARBECUE
0782	1	MEXICAN
0783	1	CAFE
0784	1	MEXICAN
0785	1	ICE CREAM
0786	1	MEXICAN
0787	1	MEXICAN
0788	1	BARBECUE
0789	1	MEXICAN
0790	1	MEXICAN
0791	1	BAR
0792	1	CATERERS
0793	1	SNACK FOOD
0794	1	LATIN AMERICAN
0795	1	MEXICAN
0796	1	MEXICAN
0797	1	ITALIAN
0798	1	MEXICAN
0799	1	BAR
0800	1	CAFE
0801	1	MEXICAN
0802	1	MEXICAN
0803	1	MEXICAN
0804	1	MEXICAN
0805	1	ITALIAN
0806	1	MEXICAN
0807	1	CAFE
0808	1	CAFE
0809	1	ITALIAN
0810	1	BAR
0811	1	BAR
0812	1	CAFE
0813	1	BURGERS
0814	1	STEAKHOUSE
0815	1	CAFE
0816	1	MEXICAN
0817	1	MEXICAN
0818	1	HOT DOGS
0819	1	ECLECTIC
0820	1	CHINESE
0821	1	DELI
0822	1	CHINESE
0823	1	CAFE
0824	1	BAR
0825	1	HEALTHY
0826	1	VEGETARIAN
0827	1	CATERERS
0828	1	BAKERY
0829	1	BAKERY
0830	1	BURGERS
0831	1	BAKERY
0832	1	AMERICAN
0833	1	HEALTHY
0834	1	AMERICAN
0835	1	CAFE
0836	1	BARBECUE
0837	1	MEXICAN
0838	1	CHINESE
0839	1	AMERICAN
0840	1	BARBECUE
0841	1	DINER
0842	1	MEXICAN
0843	1	MEXICAN
0844	1	SOUTHERN
0845	1	AMERICAN
0846	1	CAFE
0847	1	FAST FOOD
0848	1	FAST FOOD
0849	1	CHICKEN
0850	1	FAST FOOD
0851	1	GRILL
0852	1	MEXICAN
0853	1	BAR
0854	1	CAFE
0855	1	HEALTHY
0856	1	CHINESE
0857	1	ITALIAN
0858	1	DELI
0859	1	DELI
0860	1	BAR
0861	1	DELI
0862	1	COFFEE SHOP
0863	1	BAR
0864	1	BAGEL SHOP
0865	1	FAST FOOD
0866	1	CAFE
0867	1	BURGER
0868	1	COFFEE SHOP
0869	1	FOOD MARKET
0870	1	SEAFOOD
0871	1	AMERICAN
0872	1	BAKERY
0873	1	FAST FOOD
0874	1	BAR
0875	1	FAST FOOD
0876	1	SEAFOOD
0877	1	FAST FOOD
0878	1	FAST FOOD
0879	1	AMERICAN
0880	1	BARBECUE
0881	1	AMERICAN
0882	1	NOODLE SHOP
0883	1	BAR
0884	1	PIZZA
0885	1	AMERICAN
0886	1	FRENCH
0887	1	CAFERTERIA
0888	1	THAI
0889	1	NEW AMERICAN
0890	1	BAR
0891	1	CATERERS
0892	1	SPORTS BAR
0893	1	SUBS
0894	1	MEDITERRANEAN
0895	1	BAR
0896	1	CAFE
0897	1	SEAFOOD
0898	1	CHINESE
0899	1	CAFE
0900	1	SEAFOOD
0901	1	CAFE
0902	1	PIZZA
0903	1	JAPANESE
0904	1	BAR
0905	1	CHICKEN
0906	1	DELI
0907	1	CHINESE
0908	1	COFFEE SHOP
0909	1	CHINESE
0910	1	ITALIAN
0911	1	SOUPS
0912	1	AMERICAN
0913	1	BAR
0914	1	BURGERS
0915	1	CAFE
0916	1	CAFE
0917	1	GOURMET
0918	1	ITALIAN
0919	1	BAR
0920	1	CHICKEN
0921	1	CHICKEN
0922	1	MEXICAN
0923	1	MEXICAN
0924	1	DELI
0925	1	CAFE
0926	1	CAFE
0927	1	FRENCH
0928	1	DELI
0929	1	ITALIAN
0930	1	DESSERT
0931	1	MEXICAN
0932	1	CAFE
0933	1	MEXICAN
0934	1	MEXICAN
0935	1	MEXICAN
0936	1	BAKERY
0937	1	CAFE
0938	1	MEXICAN
0939	1	CATERERS
0940	1	MEXICAN
0941	1	CUBAN
0942	1	NEW AMERICAN
0943	1	MEXICAN
0944	1	MEXICAN
0945	1	FRENCH
0946	1	CAFE
0947	1	CHINESE
0948	1	PIZZA
0949	1	KOREAN
0950	1	CATERERS
0951	1	AMERICAN
0952	1	SEAFOOD
0953	1	SEAFOOD
0954	1	SEAFOOD
0955	1	ITALIAN
0956	1	AMERICAN
0957	1	CHINESE
0958	1	SUSHI
0959	1	DESSERT
0960	1	CAFE
0961	1	CAFE
0962	1	CATERERS
0963	1	CHINESE
0964	1	CATERERS
0965	1	SNACK FOOD
0966	1	STEAKHOUSE
0967	1	BARBECUE
0968	1	SUBS
0969	1	CAFE
0970	1	DESSERT
0971	1	AMERICAN
0972	1	HOMECOOKING
0973	1	BAR
0974	1	MEXICAN
0975	1	BAKERY
0976	1	BAKERY
0977	1	CATERERS
0978	1	DELI
0979	1	GOURMET FOOD
0980	1	CATERERS
0981	1	CATERERS
0982	1	MEXICAN
0983	1	BAR
0984	1	CATERERS
0985	1	ICE CREAM
0986	1	BARBECUE
0987	1	BARBECUE
0988	1	CAFE
0989	1	AMERICAN
0990	1	ITALIAN
0991	1	AMERICAN
0992	1	SANDWICH SHOP
0993	1	BAR
0994	1	MEXICAN
0995	1	ADULT VENUES
0996	1	CHINESE
0997	1	ASIAN
0998	1	BAR
0999	1	GREEK
1000	1	DELI
1001	1	AMERICAN
1002	1	MEXICAN
1003	1	VIETNAMESE
1004	1	AMERICAN
1005	1	CAFE
1006	1	AMERICAN
1007	1	BARBECUE
1008	1	AMERICAN
1009	1	AMERICAN
1010	1	SNACK FOOD
1011	1	CAFE
1012	1	STEAKHOUSE
1013	1	CAFE
1014	1	AMERICAN
1015	1	FAST FOOD
1016	1	BAR
1017	1	CHICKEN
1018	1	CHICKEN
1019	1	BURGERS
1020	1	SPANISH
1021	1	BAR
1022	1	STEAKHOUSE
1023	1	CHINESE
1024	1	COFFEE SHOP
1025	1	MEXICAN
1026	1	CAFE
1027	1	AMERICAN
1028	1	DELI
1029	1	CAFE
1030	1	DELI
1031	1	BURGERS
1032	1	BURGER
1033	1	SUBS
1034	1	CHINESE, VIETNAMESE
1035	1	DESSERT
1036	1	BAKERY
1037	1	BREAKFAST
1038	1	DESSERT
1039	1	DELI
1040	1	DESSERT
1041	1	CHINESE
1042	1	AMERICAN
1043	1	HOT DOGS
1044	1	WINGS
1045	1	SANDWICH SHOP
1046	1	AMERICAN
1047	1	AMERICAN
1048	1	BAR
1049	1	DESSERT
1050	1	MEXICAN
1051	1	VIETNAMESE
1052	1	MEXICAN
1053	1	CAFE
1054	1	ITALIAN
1055	1	MEXICAN
1056	1	CHINESE
1057	1	SUBS
1058	1	MEXICAN
1059	1	PIZZA
1060	1	WINE LISTS
1061	1	MEXICAN
1062	1	BARBECUE
1063	1	MEXICAN
1064	1	MEXICAN
1065	1	STEAKHOUSE
1066	1	FAST FOOD
1067	1	MEXICAN
1068	1	GRILL
1069	1	DELI
1070	1	STEAKHOUSE
1071	1	GRILL
1072	1	DELI
1073	1	CAFE
1074	1	MEXICAN
1075	1	CHINESE
1076	1	SEAFOOD
1077	1	PIZZA
1078	1	CHINESE
1079	1	CAJUN
1080	1	MEXICAN
1081	1	MEXICAN
1082	1	DELI
1083	1	MEXICAN
1084	1	CHINESE
1085	1	CATERERS
1086	1	MEXICAN
1087	1	BARBECUE
1088	1	MEXICAN
1089	1	HAWAIIAN
1090	1	BURGER
1091	1	MEXICAN
1092	1	DESSERT
1093	1	ASIAN
1094	1	SNACK FOOD
1095	1	ITALIAN
1096	1	LATIN AMERICAN
1097	1	MEXICAN
1098	1	BAR
1099	1	MEXICAN
1100	1	MEXICAN
1101	1	MEXICAN
1102	1	SUBS
1103	1	FAST FOOD
1104	1	FAST FOOD
1105	1	CHINESE
1106	1	MEXICAN
1107	1	FAST FOOD
1108	1	MEXICAN
1109	1	FAST FOOD
1110	1	WINE LISTS
1111	1	BAR
1112	1	BAR
1113	1	FAST FOOD
1114	1	FAST FOOD
1115	1	FAST FOOD
1116	1	FAST FOOD
1117	1	FAST FOOD
1118	1	FAST FOOD
1119	1	FAST FOOD
1120	1	FAST FOOD
1121	1	FAST FOOD
1122	1	AMERICAN
1123	1	FAST FOOD
1124	1	BAR
1125	1	PIZZA
1126	1	SEAFOOD
1127	1	BARBECUE
1128	1	DELI
1129	1	BAR
1130	1	HOMECOOKING
1131	1	CAFE
1132	1	COFFEE SHOP
1133	1	CATERERS
1134	1	DELI
1135	1	CATERERS
1136	1	GREEK
1137	1	ITALIAN
1138	1	CAFE
1139	1	GRILL
1140	1	CAFE
1141	1	BARBECUE
1142	1	PIZZA
1143	1	BAR
1144	1	SEAFOOD
1145	1	JAPANESE
1146	1	BAR
1147	1	AMERICAN
1148	1	NOODLE SHOP
1149	1	NOODLE SHOP
1150	1	CAFE
1151	1	CHINESE
1152	1	SEAFOOD
1153	1	CAFE
1154	1	SEAFOOD
1155	1	MEXICAN
1156	1	MEXICAN
1157	1	FRENCH, VIETNAMESE
1158	1	MEXICAN
1159	1	MEXICAN
1160	1	CAFE
1161	1	DONUTS
1162	1	SNACK FOOD
1163	1	ENGLISH
1164	1	ITALIAN
1165	1	BAR
1166	1	WINE LISTS
1167	1	CAFE
1168	1	PIZZA
1169	1	BAR
1170	1	BARBECUE
1171	1	STEAKHOUSE
1172	1	CAFE
1173	1	FAST FOOD
1174	1	MEXICAN
1175	1	PIZZA
1176	1	CHICKEN
1177	1	BURGERS
1178	1	THAI
1179	1	MEXICAN
1180	1	CHINESE
1181	1	THAI
1182	1	CHINESE
1183	1	PIZZA
1184	1	CHICKEN
1185	1	CHINESE
1186	1	BURGERS
1187	1	BARBECUE
1188	1	WINGS
1189	1	BURGER
1190	1	VIETNAMESE
1191	1	AMERICAN
1192	1	CHINESE
1193	1	AMERICAN
1194	1	TEX-MEX
1195	1	PIZZA
1196	1	DONUTS
1197	1	DELI
1198	1	CAFE
1199	1	PIZZA
1200	1	BAR
1201	1	PIZZA
1202	1	DESSERT
