restaurant	opentable	cuisine
0075	1	: Steakhouse, Seafood
0076	1	: French
0077	1	: Global, International, Mexican
0078	1	: American, International
0079	1	: Steak, American
0080	1	: Contemporary American, Sushi
0081	1	: Steak, Seafood, American
0082	1	: Italian
0083	1	: Italian
0084	1	: Steakhouse, Seafood
0085	1	: Steakhouse, Seafood
0086	1	: Seafood, Steak
0087	1	: American
0088	1	: American, Steak, Seafood
0089	1	: American, European, Asian
0090	1	: Seafood, Steak
0091	1	: Contemporary American
0092	1	: Steakhouse
0093	1	: Steak, Seafood
0094	1	: Japanese, Sushi, Asian
0095	1	: Continental, Pan-Asian, Japanese
0096	1	: Contemporary American
0097	1	: Contemporary American, Organic
0098	1	: American, Fusion / Eclectic, Californian
0099	1	: Italian
0100	1	: French
0101	1	: Italian, European
0102	1	: Italian
0103	1	: Steakhouse, American, Seafood
0104	1	: Italian
0105	1	: Italian, European
0106	1	: French
0107	1	: Italian
0108	1	: Steak, Barbecue
0109	1	: International, Contemporary American
0110	1	: American, Contemporary American, Seafood
0111	1	: Contemporary American, Cajun, Continental
0112	1	: Mediterranean, Italian
0113	1	: American, Contemporary American
0114	1	: Steak, Steakhouse, American
0115	1	: Contemporary American, Steak
0116	1	: American, Steak, Seafood
0117	1	: Seafood, Steak
0118	1	: Latin American, Asian
0119	1	: Italian, Tapas / Small Plates
0120	1	: American, Continental
0121	1	: Continental, American, Contemporary American
0122	1	: Seafood, Contemporary American
0123	1	: Mexican, Southwest, Latin / Spanish
0124	1	: Italian, Steak
0125	1	: Italian, Steak, Seafood
0126	1	: Steakhouse, American
0127	1	: Gastro Pub, Contemporary American
0128	1	: Seafood
0129	1	: Turkish, Mediterranean, Middle Eastern
0130	1	: Seafood
0131	1	: Irish, American, Italian
0132	1	: French, Continental
0133	1	: American
0134	1	: Italian, American
0135	1	: Steak, American
0136	1	: Italian, Mediterranean
0137	1	: Steak, Seafood, American
0138	1	: American, Continental
0139	1	: American, Seafood, Steak
0140	1	: International
0141	1	: Italian, Steak, Seafood
0142	1	: Global, International
0143	1	: Sushi, Japanese, Asian
0144	1	: American
0145	1	: American, Organic
0146	1	: Italian
0147	1	: American, Brewery, Burgers
0148	1	: Brewery, American, Burgers
0149	1	: Brewery, American, Burgers
0150	1	: Contemporary American, Italian, American
0151	1	: Fusion / Eclectic, Sushi
0152	1	: Italian, Seafood
0153	1	: Japanese
0154	1	: Contemporary American, Contemporary French
0155	1	: Italian
0156	1	: Italian
0157	1	: Continental, Fusion / Eclectic
0158	1	: Seafood, Steak
0159	1	: Creole / Cajun / Southern, Italian
0160	1	: Fondue
0161	1	: Fondue, Swiss
0162	1	: Fusion / Eclectic
0163	1	: Contemporary American, American
0164	1	: Brazilian Steakhouse
0165	1	: Asian, French
0166	1	: Seafood, Steak
0167	1	: Tapas / Small Plates, Latin / Spanish
0168	1	: Gastro Pub, American
0169	1	: Italian
0170	1	: Barbecue, American, Comfort Food
0171	1	: Italian, Seafood
0172	1	: American, International
0173	1	: Italian
0174	1	: Caribbean, Cuban
0175	1	: Steakhouse, Steak, Seafood
0176	1	: American, Steak
0177	1	: Contemporary American
0178	1	: Contemporary American, Contemporary French
0179	1	: Seafood, Contemporary American
0180	1	: Sushi, Japanese
0181	1	: American, Gastro Pub
0182	1	: American, Steakhouse, Seafood
0183	1	: Contemporary American
0184	1	: European, Portuguese
0185	1	: Italian
0186	1	: American, Continental
0187	1	: American, Seafood
0188	1	: Mexican
0189	1	: Fusion / Eclectic
0190	1	: Steakhouse, Seafood, French
0191	1	: Mexican, Fusion / Eclectic
0192	1	: Italian, Creole
0193	1	: Contemporary French, Creole
0194	1	: Contemporary American, Seafood
0195	1	: Contemporary American, Comfort Food
0196	1	: Italian, Mediterranean
0197	1	: Contemporary American, Creole / Cajun / Southern
0198	1	: Italian
0199	1	: Creole / Cajun / Southern, Seafood, Italian
0200	1	: Spanish, Tapas / Small Plates, Latin / Spanish
0201	1	: Mexican, Fusion / Eclectic
0202	1	: French
0203	1	: Contemporary American, Creole / Cajun / Southern
0204	1	: Contemporary French, Creole
0205	1	: Creole / Cajun / Southern, Contemporary French
0206	1	: Steak, Seafood, American
0207	1	: Continental, Creole / Cajun / Southern
0208	1	: Steakhouse
0209	1	: Global, International, Fusion / Eclectic
0210	1	: Italian
0211	1	: Sushi, Hawaiian, Japanese
0212	1	: American
0213	1	: Hawaiian, Pan-Asian, Chinese
0214	1	: American, Comfort Food
0215	1	: Seafood, Steak
0216	1	: Seafood, Steak
0217	1	: Italian
0218	1	: Contemporary American, Californian
0219	1	: Mexican / Southwestern
0220	1	: French, Fusion / Eclectic, American
0221	1	: Italian, Seafood, Steak
0222	1	: Italian, Mediterranean
0223	1	: Italian
0224	1	: Italian
0225	1	: Asian
0226	1	: Californian, American
0227	1	: Californian, Organic
0228	1	: Moroccan, Mediterranean, Middle Eastern
0229	1	: American, Seafood
0230	1	: Steak, Seafood, American
0231	1	: Italian, Steak, Seafood
0232	1	: Californian, American, Comfort Food
0233	1	: Global, International
0234	1	: Californian
0235	1	: Contemporary American, Californian
0236	1	: Fondue, French
0237	1	: Contemporary French
0238	1	: Californian, Contemporary American
0239	1	: Seafood, Steak
0240	1	: Steakhouse, Italian
0241	1	: Contemporary American, Californian
0242	1	: Seafood, Asian, Contemporary American
0243	1	: Californian, Contemporary French
0244	1	: Organic, American, Californian
0245	1	: Californian, Contemporary American, Tapas / Small Plates
0246	1	: Seafood
0247	1	: Seafood, Steak
0248	1	: Contemporary American, American
0249	1	: Italian
0250	1	: Californian, American, International
0251	1	: Steak, Seafood
0252	1	: Contemporary French
0253	1	: Global, International, Steak, Seafood
0254	1	: Asian, Chinese, Thai
0255	1	: Indian
0256	1	: American
0257	1	: Italian, Steakhouse, Mediterranean
0258	1	: American, Southern
0259	1	: Seafood, Steak
0260	1	: Steakhouse, Steak, Seafood
0261	1	: Caribbean
0262	1	: Mexican, Southwest, Spanish
0263	1	: Contemporary American
0264	1	: International
0265	1	: Steak, American
0266	1	: Southern, French
0267	1	: Mediterranean, American
0268	1	: American, Brewery
0269	1	: Steak, Seafood
0270	1	: American, Gastro Pub, Comfort Food
0271	1	: Contemporary American, Southern
0272	1	: Contemporary American
0273	1	: Italian, Mediterranean
0274	1	: Southern, American
0275	1	: Steak, Brewery
0276	1	: Seafood, Steak, American
0277	1	: Fondue, Swiss
0278	1	: Greek, Seafood
0279	1	: Japanese, Sushi
0280	1	: Sushi, Japanese
0281	1	: French, Fusion / Eclectic
0282	1	: Tapas / Small Plates
0283	1	: Seafood, Steakhouse, American
0284	1	: Southern, Creole / Cajun / Southern
0285	1	: American, Sushi
0286	1	: Southern, Tapas / Small Plates, Seafood
0287	1	: Italian, Mediterranean
0288	1	: Seafood, Contemporary American
0289	1	: Southern, Fusion / Eclectic
0290	1	: Steak
0291	1	: Italian, Continental
0292	1	: Seafood, Steak
0293	1	: Asian, American
0294	1	: Tapas / Small Plates, Caribbean
0295	1	: Contemporary American, Organic, Southern
0296	1	: Steak, American
0297	1	: Steak, American
0298	1	: Steakhouse, American
0299	1	: Contemporary American, Global, International
0300	1	: Fusion / Eclectic, Eurasian
0301	1	: Continental, European
0302	1	: Contemporary American
0303	1	: Contemporary American, American
0304	1	: Contemporary American
0305	1	: Italian
0306	1	: Southern, American
0307	1	: European, Mediterranean
0308	1	: Contemporary American, Comfort Food
0309	1	: Steak, Sushi
0310	1	: Italian, Greek, Mediterranean
0311	1	: Contemporary French, Contemporary American
0312	1	: American, French
0313	1	: Pan-Asian
0314	1	: Italian
0315	1	: Italian
0316	1	: Southern, American
0317	1	: American
0318	1	: European, German, Italian
0319	1	: American, Southern, Comfort Food
0320	1	: American, Steak, Seafood
0321	1	: Thai, Sushi
0322	1	: Seafood, South American
0323	1	: Asian, Sushi
0324	1	: Mediterranean, Seafood
0325	1	: Global, International, American
0326	1	: Italian
0327	1	: Contemporary American
0328	1	: Mediterranean
0329	1	: American, Continental
0330	1	: Steakhouse, Seafood
0331	1	: French, American, Contemporary French
0332	1	: Organic
0333	1	: Contemporary American, Californian, American
0334	1	: Seafood
0335	1	: Brazilian Steakhouse, Steakhouse
0336	1	: Steakhouse, American
0337	1	: Seafood
0338	1	: American, Irish
0339	1	: Cuban, Latin American
0340	1	: Peruvian, Seafood
0341	1	: Peruvian
0342	1	: American
0343	1	: Steak, American
0344	1	: Italian, Mediterranean
0345	1	: Mediterranean, American
0346	1	: Argentinean, Steakhouse, Italian
0347	1	: Argentinean, Steakhouse, Italian
0348	1	: Steakhouse, Seafood
0349	1	: American
0350	1	: Contemporary American, Fusion / Eclectic
0351	1	: Steak, Seafood
0352	1	: Indian, South Indian
0353	1	: Steakhouse, Seafood
0354	1	: Contemporary French, European, Mediterranean
0355	1	: Asian
0356	1	: Mediterranean
0357	1	: Italian, American
0358	1	: Mexican
0359	1	: Mediterranean, International
0360	1	: Steak, Seafood, American
0361	1	: Chinese
0362	1	: Global, International, American
0363	1	: Global, International, Fusion / Eclectic
0364	1	: Seafood, Steak
0365	1	: Seafood
0366	1	: French
0367	1	: Italian
0368	1	: Spanish, Mediterranean
0369	1	: Italian
0370	1	: Italian, Comfort Food
0371	1	: Contemporary American, French
0372	1	: Mexican
0373	1	: Mexican / Southwestern, Contemporary Mexican
0374	1	: Seafood, Continental
0375	1	: Steakhouse, Seafood
0376	1	: Italian
0377	1	: Contemporary American, American
0378	1	: Contemporary American, American
0379	1	: Seafood, Steak
0380	1	: Italian
0381	1	: Seafood, Steak
0382	1	: Steakhouse, American
0383	1	: Japanese, Peruvian, Brazilian
0384	1	: American, Italian
0385	1	: Italian, Mediterranean
0386	1	: Italian, Steakhouse, Seafood
0387	1	: European, International, Seafood
0388	1	: Steakhouse, International, Seafood
0389	1	: Mediterranean, American
0390	1	: Italian, Tapas / Small Plates
0391	1	: Mexican / Southwestern, American
0392	1	: American, Contemporary American
0393	1	: Contemporary American
0394	1	: American
0395	1	: Greek, Organic, Seafood
0396	1	: American, Contemporary American
0397	1	: Seafood, Steak
0398	1	: Contemporary American, American, Seafood
0399	1	: Italian
0400	1	: American
0401	1	: Italian
0402	1	: Seafood, Steak
0403	1	: Seafood, American
0404	1	: American, Seafood
0405	1	: Contemporary American, Gastro Pub
0406	1	: Contemporary American
0407	1	: French, Creole / Cajun / Southern
0408	1	: Steak, American
0409	1	: Seafood, Steak, American
0410	1	: Mediterranean
0411	1	: Fusion / Eclectic, Organic
0412	1	: American, Steak, Seafood
0413	1	: Continental, Contemporary American
0414	1	: Steak, American
0415	1	: Italian
0416	1	: Italian
0417	1	: Sushi, Pan-Asian
0418	1	: American, British
0419	1	: Contemporary American, Steak, Seafood
0420	1	: Contemporary American, Fusion / Eclectic
0421	1	: Contemporary American
0422	1	: Mediterranean, Middle Eastern
0423	1	: Steak, American
0424	1	: Steak, Seafood
0425	1	: Steakhouse, American
0426	1	: Contemporary American, Sushi
0427	1	: Spanish, Tapas / Small Plates
0428	1	: French
0429	1	: Italian
0430	1	: American, Southwest
0431	1	: Latin American, Mexican / Southwestern
0432	1	: American, Contemporary American
0433	1	: Sushi, Japanese
0434	1	: European, Northwest, Contemporary French
0435	1	: Italian
0436	1	: Mediterranean
0437	1	: Argentinean
0438	1	: Italian, Seafood, Tapas / Small Plates
0439	1	: Argentinean, Steakhouse
0440	1	: Northwest
0441	1	: Thai
0442	1	: Northwest, French
0443	1	: Northwest, Contemporary American
0444	1	: European, Latin / Spanish, Steak
0445	1	: American, Contemporary American
0446	1	: Steak, Seafood
0447	1	: Northwest, French
0448	1	: American, Northwest
0449	1	: American
0450	1	: American
0451	1	: Contemporary American
0452	1	: American, European
0453	1	: American, Mediterranean, Tapas / Small Plates
0454	1	: Steak, Seafood, American
0455	1	: Seafood, Steak, Northwest
0456	1	: Southern, American
0457	1	: American, Contemporary American, Unspecified
0458	1	: Contemporary American
0459	1	: Seafood, Northwest
0460	1	: Northwest, Contemporary American, Seafood
0461	1	: Latin / Spanish
0462	1	: American, Organic, Northwest
0463	1	: Creole / Cajun / Southern, French
0464	1	: Thai, Asian
0465	1	: American, Steak
0466	1	: Northwest, Contemporary American
0467	1	: American
0468	1	: Steakhouse, Steak
0469	1	: Contemporary American
0470	1	: Steak, Seafood
0471	1	: Steakhouse, Seafood, American
0472	1	: American, Contemporary American
0473	1	: Contemporary American, Steak
0474	1	: Italian
0475	1	: Italian, Steakhouse, Seafood
0476	1	: Japanese, Sushi
0477	1	: French, American
0478	1	: Global, International
0479	1	: Contemporary American, Tapas / Small Plates
0480	1	: American
0481	1	: Steak, Seafood
0482	1	: Mexican, Mexican / Southwestern
0483	1	: Italian
0484	1	: Steak, Seafood
0485	1	: Contemporary French
0486	1	: Prime Rib, American
0487	1	: Contemporary American, Wild Game
0488	1	: Italian, American
0489	1	: Italian, American
0490	1	: Mexican
0491	1	: Seafood, Steak, American
0492	1	: American, Gastro Pub
0493	1	: Moroccan, Mediterranean
0494	1	: Steak, Seafood
0495	1	: American, Southwest
0496	1	: Japanese, Sushi
0497	1	: American
0498	1	: Steakhouse
0499	1	: Steak, Seafood, American
0500	1	: Contemporary American, Seafood, Steak
0501	1	: Steakhouse, Seafood
0502	1	: Italian
0503	1	: Steak, Seafood
0504	1	: American, Steak
0505	1	: Asian, Sushi
0506	1	: Japanese, Tapas / Small Plates
0507	1	: Contemporary American, Contemporary French
0508	1	: American
0509	1	: Comfort Food, Contemporary American
0510	1	: American, French
0511	1	: American, Comfort Food, Cajun
0512	1	: American, Fusion / Eclectic
0513	1	: Steakhouse, Seafood
0514	1	: American, Contemporary American, Tapas / Small Plates
0515	1	: French
0516	1	: American, Contemporary American
0517	1	: Italian
0518	1	: European, Contemporary American
0519	1	: Mediterranean, European
0520	1	: Steakhouse, American
0521	1	: American, Contemporary American
0522	1	: Sushi, Japanese, Fusion / Eclectic
0523	1	: Japanese, Tapas / Small Plates, Sushi
0524	1	: Sushi, Asian
0525	1	: Contemporary American
0526	1	: American, Seafood
0527	1	: Italian
0528	1	: Seafood, American
0529	1	: Steak, Seafood
0530	1	: Asian
0531	1	: Italian, American
0532	1	: Contemporary American
0533	1	: Steakhouse, Southern
0534	1	: Irish, American
0535	1	: Contemporary American, Seafood
0536	1	: Gastro Pub, Global, International
0537	1	: Italian
0538	1	: French
0539	1	: Continental, Contemporary American, French
0540	1	: Mediterranean, Middle Eastern
0541	1	: Contemporary American
0542	1	: Italian, Tapas / Small Plates
0543	1	: Steakhouse
0544	1	: Contemporary American, Creole / Cajun / Southern
0545	1	: Steak, Seafood
0546	1	: American
0547	1	: Steakhouse, Seafood, Wild Game
0548	1	: Contemporary American
0549	1	: Comfort Food, Southern
0550	1	: American
0551	1	: Contemporary American, Seafood
0552	1	: Italian, Contemporary American
0553	1	: Fusion / Eclectic, Sushi
0554	1	: French, Asian
0555	1	: Contemporary American, Fusion / Eclectic
0556	1	: American
0557	1	: Steak, Contemporary American
0558	1	: Pan-Asian, Sushi
0559	1	: International, Mediterranean
0560	1	: Global, International, Seafood
0561	1	: Contemporary American, Seafood, Steak
0562	1	: French
0563	1	: Contemporary American, Comfort Food
0564	1	: American
0565	1	: Fusion / Eclectic, Contemporary American
0566	1	: American, Seafood
0567	1	: Steak, American
0568	1	: Contemporary American
0569	1	: Contemporary American, Seafood, Wild Game
0570	1	: Contemporary American, Steak, Seafood
0571	1	: Tapas / Small Plates, International
0572	1	: Italian, American
0573	1	: Seafood, Steak
0574	1	: Comfort Food, American
0575	1	: Seafood, Steak, Bar / Lounge / Bottle Service
0576	1	: Steakhouse, American
0577	1	: Steak
0578	1	: Fusion / Eclectic, Global, International
0579	1	: Contemporary American
0580	1	: Continental, American
0581	1	: Italian
0582	1	: Contemporary American
0583	1	: American, Steak, Seafood
0584	1	: Asian, Sushi
0585	1	: Continental, Italian
0586	1	: Fusion / Eclectic, Sushi, Asian
0587	1	: American, Steakhouse
0588	1	: Seafood, American, Steakhouse
0589	1	: Indian
0590	1	: Contemporary American
0591	1	: European, American
0592	1	: Steakhouse, Seafood, American
0593	1	: Asian, Pan-Asian
0594	1	: Steak
0595	1	: Steakhouse
0596	1	: Italian
0597	1	: Seafood, Steakhouse
0598	1	: French, International, Contemporary French
0599	1	: American, Continental
0600	1	: Gastro Pub, American
0601	1	: Italian
0602	1	: Sushi, Japanese
0603	1	: Greek, Mediterranean, Steakhouse
0604	1	: Thai, Asian
0605	1	: Thai
0606	1	: Italian
0607	1	: Steakhouse, American
0608	1	: American
0609	1	: Japanese, Sushi
0610	1	: American
0611	1	: Japanese, Fusion / Eclectic
0612	1	: Continental, Contemporary American, German
0613	1	: Italian
0614	1	: Chinese, Thai
0615	1	: Organic, French, Comfort Food
0616	1	: Contemporary American, Seafood, American
0617	1	: Seafood, Steak
0618	1	: Contemporary French, Contemporary American, Japanese
0619	1	: Seafood, Steak, American
0620	1	: Brazilian Steakhouse, Steakhouse, Brazilian
0621	1	: French, Fusion / Eclectic
0622	1	: Italian
0623	1	: American, Steak, Seafood
0624	1	: Italian
0625	1	: Contemporary American, Sicilian, Italian
0626	1	: Continental, American
0627	1	: French
0628	1	: Indian, Nepalese
0629	1	: Steakhouse, Seafood
0630	1	: American, Southwest, Burgers
0631	1	: American, Steak, Seafood
0632	1	: Italian
0633	1	: Italian
0634	1	: Organic
0635	1	: Contemporary American, Low Country
0636	1	: Steakhouse, Contemporary American
0637	1	: Contemporary American, Steak
0638	1	: American, Barbecue, Southern
0639	1	: American
0640	1	: American, Comfort Food
0641	1	: American, Global, International
0642	1	: American, International
0643	1	: American, Seafood, Steak
0644	1	: Contemporary American
0645	1	: Italian
0646	1	: Italian
0647	1	: Italian
0648	1	: Italian
0649	1	: Italian
0650	1	: American, Gastro Pub
0651	1	: Contemporary American, American
0652	1	: American
0653	1	: American, Comfort Food
0654	1	: Italian, American
0655	1	: Vegetarian
0656	1	: Steak, Italian
0657	1	: American
0658	1	: Steak, Seafood, American
0659	1	: American, International
0660	1	: American
0661	1	: American
0662	1	: Sushi, Japanese, Asian
0663	1	: Asian, Pan-Asian, Fusion / Eclectic
0664	1	: French, European, Comfort Food
0665	1	: Seafood, Steak
0666	1	: American, Steak, Seafood
0667	1	: Chinese, Sushi
0668	1	: Contemporary American, Sushi
0669	1	: Italian
0670	1	: Mexican, Latin American
0671	1	: American, Contemporary American, Comfort Food
0672	1	: Italian, American
0673	1	: Mexican, French
0674	1	: American, Steak, Seafood
0675	1	: Seafood, Steak
0676	1	: American, Comfort Food
0677	1	: French, Steak, Seafood
0678	1	: French, Steakhouse, Seafood
0679	1	: Steak, Seafood, American
0680	1	: Steak, Seafood, American
0681	1	: Steakhouse, Seafood
0682	1	: Contemporary American, Mediterranean, Fusion / Eclectic
0683	1	: Mediterranean, Tapas / Small Plates
0684	1	: Chinese
0685	1	: Afternoon Tea
0686	1	: American, Contemporary American
0687	1	: Italian, Pizzeria, American
0688	1	: Italian, Mediterranean
0689	1	: Contemporary American, American
0690	1	: American, Latin / Spanish
0691	1	: American
0692	1	: Italian, Tapas / Small Plates
0693	1	: American, Brewery
0694	1	: Pan-Asian, Thai, Fusion / Eclectic
0695	1	: American
0696	1	: American, European
0697	1	: Brewery, Contemporary American
0698	1	: Italian
0699	1	: Italian
0700	1	: Steakhouse, Seafood
0701	1	: Contemporary Mexican, Mexican, French
0702	1	: American, Seafood
0703	1	: Italian
0704	1	: Seafood, Steak, American
0705	1	: Contemporary American, Asian
0706	1	: Contemporary American
0707	1	: American
0708	1	: American
0709	1	: Steakhouse, Seafood
0710	1	: Sushi, Japanese
0711	1	: Asian, Pan-Asian, Sushi
0712	1	: Seafood
0713	1	: Italian, Mediterranean
0714	1	: Steakhouse, Seafood, Prime Rib
0715	1	: Sushi, Asian, Japanese
0716	1	: Italian
0717	1	: American
0718	1	: Mexican / Southwestern
0719	1	: Contemporary American
0720	1	: Contemporary American, Southern
0721	1	: Southern, Creole / Cajun / Southern
0722	1	: Italian
0723	1	: Contemporary American, European
0724	1	: Contemporary American, Global, International, Californian
0725	1	: Contemporary American
0726	1	: Southern
0727	1	: Latin / Spanish, Asian
0728	1	: Global, International, Creole / Cajun / Southern
0729	1	: Steak, Seafood
0730	1	: Cajun, Creole / Cajun / Southern
0731	1	: American, Contemporary American
0732	1	: American, Steak, Seafood
0733	1	: Sushi, Japanese
0734	1	: American, Steakhouse
0735	1	: Japanese, Asian
0736	1	: Contemporary French
0737	1	: Contemporary American, Southern, Fusion / Eclectic
0738	1	: Southern, American
0739	1	: Steak, American
0740	1	: Contemporary American, International
0741	1	: Mexican, Mexican / Southwestern
0742	1	: American, Contemporary American
0743	1	: American
0744	1	: Steakhouse, Seafood, American
0745	1	: Tapas / Small Plates, Global, International
0746	1	: American, Californian
0747	1	: American
0748	1	: Italian, Tapas / Small Plates
0749	1	: American, Seafood
0750	1	: Seafood
0751	1	: Steak, Southwest
0752	1	: American
0753	1	: Steak, American
0754	1	: Contemporary American, Steak
0755	1	: Mexican
0756	1	: Mexican, Latin / Spanish
0757	1	: American
0758	1	: Southwest, American
0759	1	: Steakhouse, Steak, Seafood
0760	1	: Steakhouse, Steak, Seafood
0761	1	: Hawaiian, Contemporary American
0762	1	: Italian
0763	1	: Hawaiian, Seafood, Steak
0764	1	: Japanese, Barbecue, Tapas / Small Plates
0765	1	: Hawaiian, Seafood, Steak
0766	1	: Seafood, Prime Rib
0767	1	: Mediterranean, Organic, Vegetarian
0768	1	: Tapas / Small Plates
0769	1	: Seafood, Steak
0770	1	: Seafood, Fusion / Eclectic
0771	1	: Italian
0772	1	: Steakhouse, Seafood
0773	1	: Contemporary American, Barbecue
0774	1	: Contemporary American, Italian
0775	1	: Japanese
0776	1	: American
0777	1	: Californian, French, Contemporary French
0778	1	: Californian, Fusion / Eclectic
0779	1	: Contemporary American
0780	1	: Californian, Contemporary American
0781	1	: Steakhouse, Continental
0782	1	: American, Californian, Mediterranean
0783	1	: Italian, Californian
0784	1	: Italian
0785	1	: Italian
0786	1	: Steak, Seafood
0787	1	: Seafood, Californian
0788	1	: Steakhouse, Seafood
0789	1	: Seafood, American
0790	1	: American, Californian
0791	1	: Global, International, Californian
0792	1	: Californian
0793	1	: Continental
0794	1	: Italian, American, Steak
0795	1	: Provencal, Italian
0796	1	: Mexican / Southwestern
0797	1	: Global, International, Mediterranean, Italian
0798	1	: American, Southwest
0799	1	: Contemporary American, French
0800	1	: Asian, Dim Sum, Seafood
0801	1	: American
0802	1	: Sushi, Steak
0803	1	: Barbecue, Southern
0804	1	: Steak, American
0805	1	: Contemporary American, Contemporary French
0806	1	: Contemporary American, Continental
0807	1	: Steakhouse
0808	1	: Italian, American, Steakhouse
0809	1	: Continental, Contemporary French
0810	1	: Italian, American
0811	1	: Italian
0812	1	: Italian, American
0813	1	: Italian
0814	1	: Steakhouse
0815	1	: Steakhouse, Seafood
0816	1	: Contemporary American
0817	1	: Global, International
0818	1	: Seafood, American
0819	1	: Steakhouse
0820	1	: Steakhouse
0821	1	: American, Steakhouse, Contemporary American
0822	1	: Italian, American, Comfort Food
0823	1	: Italian, French
0824	1	: American
0825	1	: Seafood, Fusion / Eclectic
0826	1	: Steakhouse, Steak
0827	1	: Contemporary American
0828	1	: Contemporary American, Sushi
0829	1	: American
0830	1	: American, Seafood, Comfort Food
0831	1	: American, Global, International
0832	1	: American, Fusion / Eclectic
0833	1	: Continental, Tapas / Small Plates
0834	1	: Italian, Steakhouse
0835	1	: American
0836	1	: Contemporary American
0837	1	: Californian, American, Burgers
0838	1	: Steak, Contemporary American
0839	1	: Italian
0840	1	: Mediterranean, Tapas / Small Plates
0841	1	: Californian, Eastern European, Organic
0842	1	: Seafood
0843	1	: Indian
0844	1	: Steakhouse
0845	1	: Italian
0846	1	: Sushi, Steak, Japanese
0847	1	: Italian
0848	1	: Contemporary French, Californian, French
0849	1	: Californian, Contemporary American
0850	1	: Pan-Asian, Southeast Asian
0851	1	: American, Californian
0852	1	: Californian
0853	1	: Italian
0854	1	: American, Barbecue
0855	1	: Contemporary American
0856	1	: Thai, Asian, Tapas / Small Plates
0857	1	: French, Californian
0858	1	: American, Brewery, Seafood
0859	1	: Mediterranean, Organic
0860	1	: Persian, Mediterranean
0861	1	: Contemporary American, Global, International
0862	1	: American, Steakhouse, Steak
0863	1	: French
0864	1	: French
0865	1	: Steakhouse, American
0866	1	: Steakhouse, American
0867	1	: Sushi, Asian
0868	1	: American, Seafood
0869	1	: Contemporary American, Comfort Food
0870	1	: Steakhouse
0871	1	: Latin American, Californian
0872	1	: American, Californian
0873	1	: Indian
0874	1	: Mediterranean, Italian
0875	1	: Italian
0876	1	: French
0877	1	: Chinese, Asian
0878	1	: Californian, Contemporary American
0879	1	: Californian
0880	1	: Italian, European
0881	1	: Mediterranean, Turkish
0882	1	: French, Continental
0883	1	: American
0884	1	: Italian
0885	1	: American
0886	1	: International, Comfort Food
0887	1	: Mexican
0888	1	: French
0889	1	: American, Southern
0890	1	: Californian, Organic, Mediterranean
0891	1	: Contemporary American, Comfort Food, Californian
0892	1	: Mexican / Southwestern, American
0893	1	: American, Fondue, Californian
0894	1	: Contemporary French
0895	1	: American, Steak
0896	1	: American
0897	1	: French, Californian
0898	1	: Italian
0899	1	: Californian, American
0900	1	: Italian, American
0901	1	: Brazilian Steakhouse, Brazilian
0902	1	: Indian, Nepalese
0903	1	: Contemporary American, Californian, Tapas / Small Plates
0904	1	: Contemporary American, Californian
