restaurant	fodors	address
0137	1	2180 Lake Tahoe Blvd., South Lake Tahoe, CA |
0138	1	1142 Ski Run Blvd., South Lake Tahoe, CA |
0139	1	901 Tahoe Blvd., Incline Village, NV |
0140	1	39 Fair Oaks Ave., Pasadena, CA, 91105 |
0141	1	1155 N. Highland Ave., Hollywood, Los Angeles, CA, 90038 |
0142	1	225 Santa Monica Blvd., Santa Monica, Los Angeles, CA, 90401 |
0143	1	12224 Ventura Blvd., Studio City, Los Angeles, CA, 91604 |
0144	1	11941 Ventura Blvd., Studio City, Los Angeles, CA, 91604 |
0145	1	6350 Hollywood Blvd., Hollywood, Los Angeles, CA, 90028 |
0146	1	8720 Sunset Blvd., West Hollywood, Los Angeles, CA, 90069 |
0147	1	1445 4th St., Santa Monica, Los Angeles, CA, 90401 |
0148	1	346 S. La Brea Ave., West Hollywood, Los Angeles, CA, 90036 |
0149	1	4100 Cahuenga Blvd., North Hollywood, Los Angeles, CA, 91602 |
0150	1	419 N. Fairfax Ave., Fairfax District, Los Angeles, CA, 90036 |
0151	1	656 N. Virgil Ave., Los Feliz, Los Angeles, CA, 90004 |
0152	1	10100 Constellation Blvd., Century City, Los Angeles, CA, 90028 |
0153	1	The Langham, Huntington Hotel &amp; Spa, 1401 S. Oak Knoll Ave., Pasadena, CA, 91106 |
0154	1	1121 S. Western Ave., Hollywood, Los Angeles, CA, 90006 |
0155	1	209 World Way, LAX, Los Angeles, CA, 90045 |
0156	1	133 N. La Cienega Blvd., Beverly Hills, Los Angeles, CA, 90211 |
0157	1	The London, 1020 N. San Vicente Blvd., West Hollywood, Los Angeles, CA, 90069 |
0158	1	7360 Beverly Blvd., West Hollywood, Los Angeles, CA, 90036 |
0159	1	9540 Washington Blvd., Culver City, Los Angeles, CA, 90232 |
0160	1	9537 Culver Blvd., Culver City, Los Angeles, CA, 90232 |
0161	1	502 Santa Monica Blvd., Santa Monica, Los Angeles, CA, 90401 |
0162	1	219 E. Garvey Ave., Monterey Park, Los Angeles, CA, 91755 |
0163	1	1636 Silver Lake Blvd., Silver Lake, Los Angeles, CA, 90026 |
0164	1	1031 Abbot Kinney Blvd., Venice, Los Angeles, CA, 90291 |
0165	1	1602 Ocean Ave., Santa Monica, Los Angeles, CA, 90401 |
0166	1	8386 Beverly Blvd., West Hollywood, Los Angeles, CA, 90048 |
0167	1	129 N. La Cienega Blvd., Beverly Hills, Los Angeles, CA, 90211 |
0168	1	Knott's Berry Farm Marketplace Area, 8039 Beach Blvd., Buena Park, CA, 90620 |
0169	1	6667 Hollywood Blvd., Hollywood, Los Angeles, CA, 90028 |
0170	1	Disney's Grand Californian Hotel, 1600 S. Disneyland Dr., CA, 92805 |
0171	1	330 S. Hope St., Downtown, Los Angeles, CA, 90071 |
0172	1	3835 Cross Creek Rd., Malibu, Los Angeles, CA, 90265 |
0173	1	145 N. Atlantic Blvd., Monterey Park, Los Angeles, CA, 91754 |
0174	1	8338 W. 3rd St., West Hollywood, Los Angeles, CA, 90048 |
0175	1	933 S. Brand Blvd., Glendale, Los Angeles, CA, 91204 |
0176	1	510 S. Arroyo Pkwy., Pasadena, CA, 91105 |
0177	1	11604 San Vicente Blvd., Brentwood, Los Angeles, CA, 90049 |
0178	1	913 E. California Blvd., Pasadena, Los Angeles, CA, 91106 |
0179	1	419 Cold Canyon Rd., Calabasas, Los Angeles, CA, 91302 |
0180	1	176 N. Ca&ntilde;on Dr., Beverly Hills, Los Angeles, CA, 90210 |
0181	1	50 N. La Cienega Blvd., Beverly Hills, Los Angeles, CA, 90211 |
0182	1	1978 N. Hillhurst Ave., Los Feliz, Los Angeles, CA, 90027 |
0183	1	119 W. Green St., Pasadena, Los Angeles, CA, 91105 |
0184	1	3221 Donald Douglas Loop S, Santa Monica, Los Angeles, CA, 90405 |
0185	1	3115 Pico Blvd., Santa Monica, Los Angeles, CA, 90405 |
0186	1	1714 N. Vermont Ave., Los Feliz, Los Angeles, CA, 90027 |
0187	1	10319 Venice Blvd., West L.A, Los Angeles, CA, 90034 |
0188	1	2930 Beverly Glen Circle, Bel Air, Los Angeles, CA, 90077 |
0189	1	11930 San Vicente Blvd., Brentwood, Los Angeles, CA, 90049 |
0190	1	8117 Sunset Blvd., West Hollywood, Los Angeles, CA, 90046 |
0191	1	Mission St. and 7th Ave., Carmel, CA |
0192	1	787 Rio Del Mar Blvd., Aptos, CA |
0193	1	365 Calle Principal, Monterey, CA |
0194	1	5th Ave., between San Carlos and Mission Sts., Carmel, CA |
0195	1	223 17th St., Pacific Grove, CA |
0196	1	1188 Forest Ave., Pacific Grove, CA |
0197	1	1996&frac12; Sunset Dr., at Asilomar Blvd., Pacific Grove, CA |
0198	1	Mission St., between Ocean and 7th Aves., Carmel, CA |
0199	1	910 Cedar St., Santa Cruz, CA |
0200	1	208 17th St., Pacific Grove, CA |
0201	1	489 Alvarado St., Monterey, CA |
0202	1	170 Forest Ave., Pacific Grove, CA |
0203	1	1750 Wharf Rd., Capitola, CA |
0204	1	105 Walnut Ave., Santa Cruz, CA |
0205	1	16 E. Carmel Valley Rd., Carmel Valley, CA |
0206	1	350 Ocean Ave., Laguna Beach, CA, 92651 |
0207	1	2333 E. Coast Hwy., Corona del Mar, CA, 92625 |
0208	1	3010 Lafayette Rd., Newport Beach, CA, 92663 |
0209	1	317 Pacific Coast Hwy., Huntington Beach, CA, 92648 |
0210	1	31631 Camino Capistrano, San Juan Capistrano, CA, 92675 |
0211	1	21501 Brookhurst St., Huntington Beach, CA, 92646 |
0212	1	7962 E. Coast Hwy., Crystal Cove Promenade, Corona del Mar, CA, 92657 |
0213	1	369 E. 17th St., Costa Mesa, CA, 92627 |
0214	1	31752 Los Rios St., San Juan Capistrano, CA, 92675 |
0215	1	7862 E. Coast Hwy., Corona del Mar, CA, 92657 |
0216	1	The Old Pottery Place, 1200 S. Coast Hwy., Laguna Beach, CA, 92651 |
0217	1	647 W. 19th St., Costa Mesa, CA, 92627 |
0218	1	73-640 El Paseo, Palm Desert, CA |
0219	1	72-595 El Paseo, Palm Desert, CA |
0220	1	140 E. Palm Canyon Dr., Palm Springs, CA |
0221	1	155 S. Palm Canyon Dr., Palm Springs, CA |
0222	1	73-890 El Paseo, Palm Desert, CA |
0223	1	53688 Pioneertown Rd., Pioneertown, CA, 92268 |
0224	1	134 S. Palm Canyon Dr., Palm Springs, CA |
0225	1	572 N. Indian Canyon Dr., Palm Springs, CA |
0226	1	149 S. Indian Canyon Dr., Palm Springs, CA |
0227	1	226 F St., Davis, CA |
0228	1	11750 Atwood Rd., off Hwy. 49, near Bel Air Mall, Auburn, CA |
0229	1	1110 Front St., Sacramento, CA |
0230	1	110 S. Pine St., Nevada City, CA |
0231	1	124 Bank St., Grass Valley, CA |
0232	1	Hotel Del Coronado, 1500 Orange Ave., San Diego, CA, 92118 |
0233	1	1235 Morena Blvd., Morena District, San Diego, CA, 92110 |
0234	1	7100 Four Seasons Point, Carlsbad, CA, 92011 |
0235	1	109 W. F St., Downtown, San Diego, CA, 92101 |
0236	1	28699 Old Town Front St., Temecula, CA, 92591 |
0237	1	1421 University Ave., Hillcrest, San Diego, CA, 92103 |
0238	1	3683 5th Ave., Hillcrest, San Diego, CA, 92103 |
0239	1	32575 Rancho California Rd., Temecula, CA, 92591 |
0240	1	721 9th Ave., East Village, San Diego, CA, 92101 |
0241	1	4698 Convoy St., Kearny Mesa, San Diego, CA, 92111 |
0242	1	505 Laurel St., Banker's Hill, San Diego, CA, 92101 |
0243	1	1220 University Ave., Hillcrest, San Diego, CA, 92103 |
0244	1	2304 San Diego Ave., San Diego, CA, 92110 |
0245	1	4642 Park Blvd., University Heights, San Diego, CA, 92116 |
0246	1	2121 Adams Ave., University Heights, San Diego, CA, 92116 |
0247	1	544 5th Ave., Gaslamp Quarter, San Diego, CA, 92101 |
0248	1	750 N. Harbor Dr., Embarcadero, San Diego, CA, 92101 |
0249	1	4474 Mission Blvd., Pacific Beach, San Diego, CA, 92109 |
0250	1	276 S. Harbor Dr. , Oceanside, CA, 92054 |
0251	1	2271 1st Ave., Middletown, San Diego, CA, 92101 |
0252	1	5010 Newport Ave., Ocean Beach, San Diego, CA, 92107 |
0253	1	1055 5th Ave., Gaslamp Quarter, San Diego, CA, 92101 |
0254	1	1536 India St., Little Italy, San Diego, CA, 92101 |
0255	1	4609 Convoy St., Kearny Mesa, San Diego, CA, 92111 |
0256	1	2224 Main St., Julian, CA, 92036 |
0257	1	2253 Sunset Cliffs Blvd., Ocean Beach, San Diego, CA, 92107 |
0258	1	1430 Union St., Little Italy, San Diego, CA, 92101 |
0259	1	2591 S. Coast Hwy. 101, Encinitas, CA, 92007 |
0260	1	825 Camino de la Reina N, San Diego, CA, 92108 |
0261	1	15027 Hwy. 79, Julian, CA, 92036 |
0262	1	4501 Mission Bay Dr., Pacific Beach, San Diego, CA, 92109 |
0263	1	2634 Del Mar Heights Rd., Del Mar, CA, 92014 |
0264	1	3794 30th St., North Park, San Diego, CA, 92104 |
0265	1	224 5th Ave., Gaslamp Quarter, San Diego, CA, 92101 |
0266	1	Country Squire Courtyard, 6009 Paseo Delicias, Rancho Santa Fe, CA, 92067 |
0267	1	Loews Coronado Bay Resort, 4000 Coronado Bay Rd., San Diego, CA, 92118 |
0268	1	729-733 4th Ave., Gaslamp Quarter, San Diego, CA, 92101 |
0269	1	Junction Hwys. S6 and S7, Palomar Mountain, CA, 92060 |
0270	1	777 G St., East Village, San Diego, CA |
0271	1	400 J St., Gaslamp Quarter, San Diego, CA, 92101 |
0272	1	1665 India St., Little Italy, San Diego, CA, 92101 |
0273	1	1202 Kettner Blvd., Downtown, San Diego, CA, 92101 |
0274	1	4346 Bonita Rd., Chula Vista, San Diego, CA, 91902 |
0275	1	1030 Torrey Pines Rd., San Diego, CA, 92037 |
0276	1	875 Prospect St., San Diego, CA, 92037 |
0277	1	3888 4th Ave., Hillcrest, San Diego, CA, 92103 |
0278	1	170 6th Ave., Gaslamp Quarter, San Diego, CA, 92101 |
0279	1	8990 University Center La., La Jolla, San Diego, CA, 92122 |
0280	1	3663 Voltaire St., Ocean Beach, San Diego, CA, 92106 |
0281	1	113 W. Grand Ave., Escondido, CA, 92025 |
0282	1	4355 Hwy. 78, Santa Ysabel, CA, 92070 |
0283	1	2444 San Diego Ave., San Diego, CA, 92110 |
0284	1	2355 Chestnut St., Marina, San Francisco, CA, 94101 |
0285	1	St. Regis Hotel, 689 Mission St., SoMa, San Francisco, CA, 94105 |
0286	1	2400 Polk St., Russian Hill, San Francisco, CA, 94109 |
0287	1	607 Larkin St., Van Ness/Polk, San Francisco, CA, 94109 |
0288	1	1 Mission St., Embarcadero, San Francisco, CA, 94105 |
0289	1	2351 Mission St., Mission, San Francisco, CA, 94110 |
0290	1	373 Broadway, North Beach, San Francisco, CA, 94113 |
0291	1	420 Judah St., Inner Sunset, San Francisco, CA, 94122 |
0292	1	3560 18th St., at Dearborn St., Mission, San Francisco, CA, 94110 |
0293	1	649 Jackson St., Chinatown, San Francisco, CA, 94133 |
0294	1	519 Columbus Ave., North Beach, San Francisco, CA, 94133 |
0295	1	524 Valencia St., Mission, San Francisco, CA, 94110 |
0296	1	Japan Center, Kinokuniya Bldg., 1825 Post St., Japantown, San Francisco, CA, 94115 |
0297	1	Ferry Bldg., Embarcadero at Market St., Embarcadero, San Francisco, CA, 94111 |
0298	1	1 Market St., Embarcadero, San Francisco, CA, 94105 |
0299	1	230 California St., Financial District, San Francisco, CA, 94111 |
0300	1	1015 Battery St., Embarcadero, San Francisco, CA, 94111 |
0301	1	40 Belden Pl., Financial District, San Francisco, CA, 94104 |
0302	1	1751 Fulton St., Haight, San Francisco, CA, 94117 |
0303	1	600 Stockton St., Nob Hil l, San Francisco, CA, 94108 |
0304	1	2298 Union St., Cow Hollow, San Francisco, CA, 94123 |
0305	1	545 Mission St., SoMa, San Francisco, CA, 94104 |
0306	1	1031 Irving St., Inner Sunset, San Francisco, CA, 94122 |
0307	1	330 Townsend St., SoMa, San Francisco, CA, 94107 |
0308	1	601 Hayes St., Hayes Valley, San Francisco, CA, 94102 |
0309	1	3011 Steiner St., Cow Hollow, San Francisco, CA, 94123 |
0310	1	400 Waller St., Lower Haight, San Francisco, CA, 94117 |
0311	1	5821 Geary Blvd., Richmond, San Francisco, CA, 94121 |
0312	1	1300 Fillmore St., Japantown, San Francisco, CA, 94115 |
0313	1	457 E. Ojai Ave., Ojai, CA |
0314	1	1202 Pine St., Paso Robles, CA |
0315	1	3277 Ojai Ave., about 2 mi east of downtown, Ojai, CA |
0316	1	2350 Railway Ave. , Los Olivos, CA, 93441 |
0317	1	478 E. Main St., Ventura, CA |
0318	1	129 E. Anapamu St., Santa Barbara, CA |
0319	1	204 E. Main St., Ventura, CA |
0320	1	Hwy. 1, 2&frac12; mi south of Big Sur Station, Big Sur, CA |
0321	1	17 W. Victoria St., Santa Barbara, CA |
0322	1	7 W. Carrillo St., Santa Barbara, CA, 93101 |
0323	1	3687-C Sagunto St., Santa Ynez, CA |
0324	1	699 Embarcadero, Morro Bay, CA |
0325	1	11315 Hwy. 1, Point Reyes Station, CA |
0326	1	845 Main St., Half Moon Bay, CA |
0327	1	408 Main St., Half Moon Bay, CA |
0328	1	1919 Bridgeway, Sausalito, CA, 94965 |
0329	1	5 Main St., Tiburon, CA, 94920 |
0330	1	4179 Piedmont Ave., Oakland, CA, 94611 |
0331	1	1200 Bridgeway, Sausalito, CA, 94965 |
0332	1	777 Bridgeway, Sausalito, CA, 94965 |
0333	1	38 Main St., Tiburon, CA, 94920 |
0334	1	3458 Rte. 1, Stinson Beach, CA, 94970 |
0335	1	107 Caledonia St., Sausalito, CA, 94965 |
0336	1	80 4th St., Point Reyes Station, CA |
0337	1	640 W. 16th St., Merced, CA |
0338	1	225 W. Main St., Visalia, CA |
0339	1	350 W. Main St., Merced, CA |
0340	1	821 L St., Modesto, CA |
0341	1	28 S. School St., Lodi, CA |
0342	1	7006 N. Cedar Ave., Fresno, CA |
0343	1	927 11th St., Modesto, CA |
0344	1	345 W. 5th St., Chico, CA |
0345	1	259 S. Main St., Red Bluff, CA |
0346	1	520 Main St., Weaverville, CA |
0347	1	1013 S. Mt. Shasta Blvd., Mount Shasta, CA |
0348	1	159 Main St., Chester, CA |
0349	1	1535 Main St., Susanville, CA |
0350	1	313 N. Mt. Shasta Blvd., Mount Shasta, CA |
0351	1	497 Lawrence St., Quincy, CA |
0352	1	1011 S. Mt. Shasta Blvd., Mount Shasta, CA |
0353	1	40771 Lakeview Dr., Big Bear Lake, CA |
0354	1	38392 Oak Glen Rd., Oak Glen, CA |
0355	1	40701 Village Dr., Big Bear Lake, CA |
0356	1	1777 Gillette Rd., Pomona, CA |
0357	1	102 Harvard Ave., Claremont, CA |
0358	1	35654 Yermo Rd., Yermo, CA |
0359	1	206 S. Main St., Lone Pine, CA |
0360	1	1425 McCulloch Blvd., Lake Havasu City, AZ |
0361	1	14077A Hwy. 128, Boonville, CA |
0362	1	213 Main St., Point Arena, CA |
0363	1	3000 N. Hwy. 1, Little River, CA |
0364	1	Hwy. 120 and U.S. 395, Lee Vining, CA
0365	1	Yosemite Lodge, about &frac34; mi west of the visitor center, Yosemite Village, CA |
0366	1	Next to Lodgepole Visitor Center, Sequoia National Park, CA |
0367	1	Curry Village, Yosemite National Park, CA |
0368	1	Wolverton Rd., 1&frac12; mi northeast off Generals Hwy. (Rte. 198), Sequoia National Park, CA |
0369	1	919 Grand Ave., Glenwood Springs, CO |
0370	1	Timberline Condominiums, 2nd fl., 264 Snowmelt Rd., Snowmass Village, CO |
0371	1	721 Grand Ave., Glenwood Springs, CO |
0372	1	730 W. Main St., Aspen, CO |
0373	1	620 E. Hyman Ave., Aspen, CO |
0374	1	105 S. Mill St., Aspen, CO |
0375	1	689 Main St., Carbondale, CO |
0376	1	300 Puppy Smith St., Aspen, CO |
0377	1	633 E. Hyman Ave., Aspen, CO |
0378	1	101 E. Cleveland St., Lafayette, CO |
0379	1	136 2nd Ave., Niwot, CO |
0380	1	1138 Flagstaff Rd., Boulder, CO |
0381	1	1738 Pearl St., Boulder, CO |
0382	1	401 Main St., Gold Hill, CO |
0383	1	1468 Pearl St., Boulder, CO |
0384	1	223 Linden St., Suite 103, Fort Collins, CO |
0385	1	300 2nd Ave., Niwot, CO |
0386	1	568 N. Washington St., Central Denver, Denver, CO |
0387	1	4408 Lowell Blvd., Highland, Denver, CO |
0388	1	1450 Larimer St., LoDo, Denver, CO |
0389	1	4900 E. Colfax Ave., East Denver, Denver, CO |
0390	1	1365 Osage St., Central Denver, Denver, CO |
0391	1	2500 E. 1st Ave., Cherry Creek, Denver, CO |
0392	1	2424 Federal Blvd., North Denver, Denver, CO |
0393	1	1539 17th St., LoDo, Denver, CO |
0394	1	1040 15th St., Downtown, Denver, CO |
0395	1	330 E. 6th Ave., Central Denver, Denver, CO |
0396	1	225 E. 7th Ave., Central Denver, Denver, CO |
0397	1	1672 Lawrence St., Downtown, Denver, CO |
0398	1	1310 S. Broadway, South Denver, Denver, CO |
0399	1	1106 14th St., Downtown, Denver, CO |
0400	1	1634 18th St., LoDo, Denver, CO |
0401	1	Far View Lodge, across from the Far View Visitor Center, Mesa Verde National Park, CO
0402	1	Lodge Casino, 240 Main St., Black Hawk 80422, CO |
0403	1	1305 Washington Ave., 80401, Golden, CO |
0404	1	612 Grand Ave., Grand Lake, CO |
0405	1	470 Prospect Village Dr., Estes Park, CO |
0406	1	125 Moraine Ave., Estes Park, CO |
0407	1	338 E. Elkhorn Ave., Estes Park, CO |
0408	1	342 E. Elkhorn Ave., Estes Park, CO |
0409	1	430 Prospect Village Dr., Estes Park, CO |
0410	1	25 Hwy. 105, Palmer Lake, CO
0411	1	1025 S. 21st St., Colorado Springs, CO |
0412	1	333 U.S. 24, Buena Vista, CO
0413	1	1028 Main St., Ca&ntilde;on City, CO |
0414	1	3504 N. Academy Blvd., Colorado Springs, CO |
0415	1	1330 Elm Ave., Ca&ntilde;on City, CO |
