restaurant	tripadvisor	name
0328	1	Delfina
0329	1	Burma Superstar Restaurant
0330	1	Ian&#39;s Pizza
0331	1	Tex Tubbs Taco Palace
0332	1	Jamerica Restaurant
0333	1	Flat Top
0334	1	La Hacienda Restaurant
0335	1	Famous Dave&#39;s
0336	1	Hong Kong Cafe
0337	1	Mildred&#39;s Sandwich Shop
0338	1	Osteria Papavero
0339	1	Panera Bread
0340	1	State Bar &amp; Grill
0341	1	Pizza Pit
0342	1	Dayton Street Grille
0343	1	Rocky Rococo
0344	1	Livingston Inn Pub
0345	1	Chili&#39;s Grill &amp; Bar
0346	1	Fazoli&#39;s
0347	1	Parkway Family Restaurant
0348	1	Cracker Barrel Old Country STR
0349	1	Full Moon
0350	1	Dolphin Seafood
0351	1	City Girl Cafe
0352	1	Fire + Ice
0353	1	Asmara Restaurant
0354	1	Tealuxe
0355	1	Daedalus
0356	1	Cinderella&#39;s Restaurant
0357	1	West Side Lounge
0358	1	Spinnaker Italia
0359	1	Court House Seafood Restaurant
0360	1	11th Street Diner
0361	1	Einstein Bros. Bagels
0362	1	mattarello italian bakery
0363	1	Rosinella
0364	1	Essensia Restaurant &amp; Lounge
0365	1	Prime Italian
0366	1	BarBu
0367	1	Toni&#39;s New Tokyo Cuisine and Sushi Bar
0368	1	Red Bowl Asian Bistro
0369	1	Eggroll Chen
0370	1	Maurice&#39;s BBQ
0371	1	Five Guys Burgers &amp; Fries
0372	1	Maurice Gourmet Barbecue--Piggie Park
0373	1	Jersey Mike&#39;s Giant Size Subs
0374	1	La Brasca&#39;s Five Minute Pizza
0375	1	British Open Pub of Beaufort
0376	1	Sumo Japenese Steak House
0377	1	Master Grill International Restaurant
0378	1	Fay Da Bakery
0379	1	Hot pot city
0380	1	Fontana Famous Pizza
0381	1	Sweet N Tart Cafe of Flushing
0382	1	Pahal Zan Kosher Falafel
0383	1	Applebee&#39;s
0384	1	Strossner&#39;s
0385	1	The Lazy Chicken
0386	1	California Dreaming Restaurant
0387	1	Sushi Hana
0388	1	John Paul&#39;s Armadillo Oil Co
0389	1	Fhinney Walker&#39;s Restaurant &amp; Pub
0390	1	Baskin-Robbins
0391	1	Tangerine Fusion and Sushi Bar
0392	1	Pizza Rustica
0393	1	Desposito&#39;s Seafood Restaurant
0394	1	Belford&#39;s Savannah
0395	1	River House Seafood
0396	1	Miyabi Japanese Steak House &amp; Sushi
0397	1	Little Saigon
0398	1	Sushi Time Towa Japanese Rest
0399	1	Taco Bell
0400	1	Tokyoya Bowl &amp; Bowl Restaurant
0401	1	Lone Star Steakhouse
0402	1	Formosa Garden
0403	1	Verde
0404	1	Bennett Pointe Grill
0405	1	Kurama Japanese Seafood
0406	1	Honey&#39;s
0407	1	International Delights
0408	1	George&#39;s Garage
0409	1	J C&#39;s Kitchen
0410	1	Jamaica Jamaica
0411	1	Devine&#39;s Restaurant &amp; Sports Bar
0412	1	RIM Tapas
0413	1	Giacomo&#39;s Italian Market
0414	1	The Melting Pot
0415	1	Bonnie Kay Seafood
0416	1	Poblano&#39;s Mexican Grill
0417	1	Marisol
0418	1	Acropolis Restaurant
0419	1	Steak-Out Charbroiled Delivery
0420	1	Wholly Guacamole Mexican Grill
0421	1	Barbecue Inn
0422	1	Fleming&#39;s Prime Steakhouse &amp; Wine Bar
0423	1	Cafe Mezza
0424	1	Benjy&#39;s Restaurant
0425	1	T&#39;afia
0426	1	Baby Barnaby&#39;s
0427	1	Chuy&#39;s Restaurant
0428	1	The Chocolate Bar
0429	1	Lupe Tortilla&#39;s
0430	1	Evos
0431	1	Waffle House
0432	1	Carrabba&#39;s Italian Grill
0433	1	Fray&#39;s Donuts
0434	1	Cafe Vienna
0435	1	Banana Leaf
0436	1	Hong Kong Island Chinese
0437	1	Banzai Japanese Restaurant
0438	1	River Shack
0439	1	Hooters
0440	1	Sabor a Mexico
0441	1	Ruby Tuesday
0442	1	Delhi Palace
0443	1	Waffle House
0444	1	LeRose European Cafe &amp; Deli
0445	1	Three Flavors
0446	1	Boston Basil&#39;s
0447	1	Norio&#39;s Japanese Restaurant &amp; Sushi Bar
0448	1	Queen&#39;s Court Restaurant
0449	1	Blane&#39;s Drive Inn
0450	1	Kimo&#39;s Family Buffet
0451	1	China One
0452	1	Bistro Montage
0453	1	Nut POB Restaurant
0454	1	Qvs Cavatelli &amp; More
0455	1	Basil Prosperi
0456	1	Tasty Tacos INC
0457	1	Noah&#39;s Ark Restaurant &amp; Lounge
0458	1	Riccelli&#39;s Restaurant
0459	1	C U Japanese Fusion
0460	1	Barney&#39;s Gourmet Hamburgers
0461	1	Bendean
0462	1	Cafe M
0463	1	Udupi Palace
0464	1	Shen Hua
0465	1	Alborz
0466	1	Sweet Basil Thai Cuisine
0467	1	Musical Offering
0468	1	Mel&#39;s The Original
0469	1	Le Bateau Ivre
0470	1	Tomate Cafe
0471	1	Giovanni
0472	1	La Val&#39;s Pizza
0473	1	Sbarro
0474	1	Old Siam
0475	1	The Boca Beach House
0476	1	Aegean Isles
0477	1	Bamboo Wok
0478	1	Red Lantern
0479	1	Grille on Congress
0480	1	Ocean&#39;s 11
0481	1	Lucille&#39;s Bad To The Bone BBQ
0482	1	Cucina D&#39; Angelo
0483	1	La Villetta Ristorante
0484	1	Jon&#39;s Place
0485	1	Moe&#39;s Southwest Grill
0486	1	Boca Ale House &amp; Raw Bar
0487	1	Nello&#39;s 5 Incorporated
0488	1	Rice King Restaurant
0489	1	Windy City Cafe
0490	1	Carlos &amp; Charlies
0491	1	Chuck E Cheese&#39;s
0492	1	Cocina Mexicanna Incorporated
0493	1	Your Place Restaurant
0494	1	Antica Roma
0495	1	Le Peep
0496	1	Hungry Toad
0497	1	Murphy&#39;s
0498	1	Di Napoli Ristorante and Vineria (Reported Closed)
0499	1	Elephant Hut Thai Cuisine
0500	1	Broker Inn Restaurant
0501	1	Rock N Soul Cafe
0502	1	Saxy&#39;s Cafe
0503	1	Dark Horse Bar
0504	1	Noodles &amp; Co
0505	1	Siamese Plate On the Go
0506	1	Ai Sushi + Steak
0507	1	Arugula Bar e Ristorante
0508	1	Applebee&#39;s
0509	1	Sunflower
0510	1	Trellises Garden Grille
0511	1	Sushi Ota
0512	1	Extraordinary Desserts
0513	1	The Mission
0514	1	Lucha Libre Gourmet Taco Shop
0515	1	Cafe Chloe
0516	1	Pizzeria Luigi
0517	1	Hash House A Go Go
0518	1	Prado at Balboa Park
0519	1	Muzita Abyssinian Bistro
0520	1	Tilth
0521	1	Top Pot--Downtown
0522	1	Wild Ginger
0523	1	Kisaku
0524	1	Kingfish Cafe
0525	1	Ray&#39;s Boathouse Restaurant, Cafe &amp; Catering
0526	1	Le Pichet
0527	1	Shucker&#39;s
0528	1	Eileen&#39;s Special Cheesecake
0529	1	ChikaLicious Dessert Bar
0530	1	Sushi of Gari
0531	1	The Green Table
0532	1	Kittichai
0533	1	Po
0534	1	The Spotted Pig
0535	1	Aquagrill
0536	1	Empanada Mama
0537	1	Berimbau
0538	1	TABLE fifty-two
0539	1	KiKi&#39;s Bistro
0540	1	Cafe Selmarie
0541	1	NoMI
0542	1	Panes Bread Cafe
0543	1	Smoke Daddy Restaurant
0544	1	Bistro 110
0545	1	Spring
0546	1	Stetson&#39;s Chop House and Bar
0547	1	Margie&#39;s Candies
0548	1	Japonais
0549	1	Naha
0550	1	Maggiano&#39;s Little Italy
0551	1	Indie Cafe
0552	1	Pig &#39;N&#39; Whistle
0553	1	Ike Sushi
0554	1	Ruth&#39;s Chris Steak House
0555	1	Max
0556	1	Tere&#39;s Mexican Grill
0557	1	Vibrato Grill Jazz...etc.
0558	1	Paco&#39;s Tacos
0559	1	Hollywood Cafe
0560	1	One Market Restaurant
0561	1	Trattoria Pinocchio
0562	1	Golden Boy Pizza
0563	1	Farallon
0564	1	Burmese Kitchen
0565	1	Ame
0566	1	Liguria Bakery
0567	1	Mochica
0568	1	Utopia Cafe Restaurant
0569	1	Philz Coffee
0570	1	Taiko Japanese Grill &amp; Sushi Bar
0571	1	Barnaby&#39;s Cafe
0572	1	Osaka Japanese Restaurant
0573	1	Max&#39;s Wine Dive
0574	1	The Oceanaire Seafood Room
0575	1	Azuma Sushi &amp; Robata Bar-Rice Village
0576	1	Bubba&#39;s Texas Burger Shack
0577	1	Sambuca
0578	1	Frenchy&#39;s Chicken
0579	1	Fuzzy&#39;s Pizza Italian &amp; Sports
0580	1	Tutta Bella
0581	1	branzino
0582	1	Pagliacci Pizzeria - University
0583	1	Caffe Ladro
0584	1	Place Pigalle Restaurant and Bar
0585	1	Cremant
0586	1	Volterra
0587	1	El Greco
0588	1	Tulio Ristorante
0589	1	Stumptown Coffee
0590	1	Morton&#39;s - The Steakhouse
0591	1	Eagle&#39;s Deli
0592	1	Taiwan Cafe
0593	1	Haru
0594	1	Limoncello
0595	1	Osushi
0596	1	Silvertone Bar &amp; Grill
0597	1	Legal Sea Foods - Park Square
0598	1	Tapeo Restaurant and Tapas Bar
0599	1	City Table
0600	1	Oak Room at The Fairmont Coply Plaza Hotel
0601	1	Uburger
0602	1	Ten-01
0603	1	Yoko&#39;s Japanese Restaurant
0604	1	Plainfield&#39;s Mayur Restaurant
0605	1	Lucy&#39;s Table
0606	1	Zien Hong Restaurant
0607	1	Skyline Restaurant
0608	1	JaCiva&#39;s Chocolates &amp; Pastries
0609	1	Le Bistro Montage
0610	1	Patanegra
0611	1	yakuza
0612	1	Grotto
0613	1	Bootlegger Bistro
0614	1	Table 34
0615	1	The Palm
0616	1	BLT Burger
0617	1	Daniel Boulud Brasserie at Wynn Las Vegas
0618	1	Silverado Steakhouse
0619	1	Payard Patisserie &amp; Bistro
0620	1	Paymon&#39;s Mediterranean Cafe
0621	1	Canaletto
0622	1	Harley Davidson Las Vegas Cafe
0623	1	The Continental
0624	1	Mixto
0625	1	Kabul Restaurant
0626	1	Fish Restaurant
0627	1	Rose Tattoo Cafe
0628	1	ZoT
0629	1	Rouge
0630	1	Clio
0631	1	Toro
0632	1	Brown Sugar Cafe
0633	1	Douzo
0634	1	B &amp; G Oysters Ltd.
0635	1	Grill 23 &amp; Bar
0636	1	Erbaluce
0637	1	Sorellina
0638	1	Eastern Standard at the Hotel Commonwealth
0639	1	The Butcher Shop
0640	1	Orinoco
0641	1	Grotto
0642	1	Shrimp Shack
0643	1	Big City Diner
0644	1	Pah Ke&#39;s Chinese Restaurant
0645	1	Panda Cuisine
0646	1	Cholos Homestyle Mexican Restaurant
0647	1	Antonio&#39;s New York Pizzeria
0648	1	Bangkok Chef
0649	1	Tokkuri-Tei
0650	1	Wailana Coffee House
0651	1	Amina Pizzeria
0652	1	Moke&#39;s Bread and Breakfast
0653	1	Indigo Eurasian Restaurant &amp; Bar
0654	1	Bai Yook
0655	1	Con Pane
0656	1	Parkhouse Eatery
0657	1	Wine Steals
0658	1	Trattoria Fantastica
0659	1	Tapas Picasso Spanish Restaurant
0660	1	Urban Solace
0661	1	Fado Irish Pub
0662	1	Kyma
0663	1	Queen of Sheba
0664	1	Magic Fingers Sushi
0665	1	Raging Burrito - Sycamore Street
0666	1	South of France
0667	1	Prime
0668	1	The Earl
0669	1	Food 101
0670	1	Everybody&#39;s Pizza
0671	1	Silver Skillet
0672	1	Morton&#39;s - The Steakhouse
0673	1	Barolo Grill
0674	1	Hard Rock Cafe
0675	1	Willie G&#39;s Restaurant
0676	1	Aix
0677	1	Rio Grande Mexican Restaurant
0678	1	Rodney&#39;s
0679	1	Ruth&#39;s Chris Steak House
0680	1	Threadgill&#39;s World Headquarters
0681	1	Judges&#39; Hill Restaurant
0682	1	Johnny Fins
0683	1	Tino&#39;s Greek Cafe
0684	1	Shoreline Grill
0685	1	Midori Sushi
0686	1	Seoul Restaurant &amp; DK&#39;s Sushi Bar
0687	1	Giovanni&#39;s Pizza and Pastas
0688	1	Olmos Pharmacy
0689	1	Sea Island Shrimp House
0690	1	Chuy&#39;s
0691	1	Candlelight Coffeehouse
0692	1	Taipei Chinese Restaurant
0693	1	Spaghetti Warehouse
0694	1	W D Deli &amp; Bakery
0695	1	Le Midi Restaurant
0696	1	Joe&#39;s Crab Shack
0697	1	Nick&#39;s Family Restaurant
0698	1	superior pho
0699	1	Latitude 41 N
0700	1	Geppetto&#39;s Pizza &amp; Ribs
0701	1	Tay Do Vietnamese Restaurant
0702	1	Bahama Breeze
0703	1	100th Bomb Group
0704	1	Caffe Roma
0705	1	Boogie Burger
0706	1	Enrico&#39;s Italian Restaurant
0707	1	R Bistro
0708	1	Rock Bottom Brewery
0709	1	Recess
0710	1	14 West
0711	1	Nordstrom
0712	1	Red Star Bar &amp; Grill
0713	1	Golden West Cafe
0714	1	Bartenders
0715	1	Sofi&#39;s Crepes
0716	1	Sip &amp; Bite
0717	1	My Thai
0718	1	Ciao Bella
0719	1	Grano
0720	1	Nacho Mama&#39;s
0721	1	Michael&#39;s Steak &amp; Lobster HSE
0722	1	Rusty Scupper
0723	1	Blue Agave Restaurante y Tequileria
0724	1	Buca di Beppo
0725	1	Longhorn Steakhouse
0726	1	Garden Grill
0727	1	Shogun Restaurant
0728	1	P.F. Chang&#39;s China Bistro
0729	1	Bijou Cafe
0730	1	Clyde Common
0731	1	Pok Pok Restaurant--Whiskey Soda Lounge
0732	1	Tabla
0733	1	Farm Cafe
0734	1	Papa Haydn
0735	1	Fenouil
0736	1	Blossoming Lotus Portland
0737	1	Pix Patisserie
0738	1	Mio Gelato
0739	1	Guiseppe&#39;s
0740	1	CK&#39;s Tavern and Grill
0741	1	Cheuvront
0742	1	Radio Milano
0743	1	My Mother&#39;s Restaurant
0744	1	Cafe Pino
0745	1	Long Wong&#39;s
0746	1	5 &amp; Diner - N. 16th St.
0747	1	Elephant Bar Restaurant
0748	1	Blend Smoothie Cafe
0749	1	Sevan G&amp;G Cafe
0750	1	The Porch
0751	1	Blue Mesa Grill - Village on the Parkways
0752	1	Rathbun&#39;s Blue Plate Kitchen
0753	1	Buzzbrews Kitchen
0754	1	Rockfish Seafood Grill
0755	1	Hard Rock Cafe
0756	1	P.F. Chang&#39;s China Bistro
0757	1	Mi Piaci
0758	1	Y.O. Ranch Steakhouse
0759	1	Randazzo&#39;s Clam Bar
0760	1	Juliette
0761	1	Sweet Melissa
0762	1	Gino&#39;s Restaurant &amp; Pizzeria
0763	1	Pesce
0764	1	Art &amp; Soul
0765	1	Neyla
0766	1	Bistro Francais
0767	1	Kushi Izakaya
0768	1	Asia Nine
0769	1	Proof
0770	1	The Palm
0771	1	Potbelly Sandwich Works
0772	1	Cafe Divan
0773	1	Indique
0774	1	Napolean Bistro &amp; Lounge
0775	1	Arooji&#39;s Wine Room
0776	1	Jackalope Jack&#39;s
0777	1	Anzi Pizza &amp; Pasta
0778	1	Tic Toc Coffeshop
0779	1	Sports Page Food &amp; Spirits
0780	1	East Boulevard Bar &amp; Grill
0781	1	Johnny Burrito
0782	1	Amelie&#39;s French Bakery
0783	1	Hana Sushi
0784	1	The Counter
0785	1	Mei Sum Chinese Dim Sum Restaurant
0786	1	Hula&#39;s Bar &amp; Lei Stand
0787	1	Oceanarium Restaurant
0788	1	Uncle&#39;s Fish Market &amp; Grill
0789	1	HALE Restaurant
0790	1	Restaurant Yoshiya
0791	1	Hanohano Room
0792	1	Waiola Bakery
0793	1	Eadie&#39;s Kitchen &amp; Market
0794	1	Beto&#39;s Pizza &amp; Restaurant
0795	1	Pleasure Bar &amp; Restaurant
0796	1	Primanti Brothers - Steubenville Pike
0797	1	McCormick &amp; Schmick&#39;s Seafood - Pittsburgh Downtown
0798	1	Spice Island Tea House
0799	1	Max &amp; Erma&#39;s
0800	1	Palomino
0801	1	Dancing Goats Coffee CO
0802	1	Chava&#39;s Mexican Restaurant
0803	1	Bissinger&#39;s A Chocolate Experience
0804	1	Meskerem Ethiopian Restaurant
0805	1	Frazer&#39;s Traveling Brown Bag
0806	1	T. Arcobasso`s Italian Ristorante
0807	1	Banh Mi So
0808	1	Favazza&#39;s
0809	1	Chez Leon
0810	1	Habit&#39;s Cafe
0811	1	Benihana (Tri)
0812	1	Krishna
0813	1	Snappy Tomato Pizza CO
0814	1	The Comet
0815	1	La Rosa&#39;s Incorporated (Glenway)
0816	1	Lu Lu&#39;s Noodle &amp; Rice Shop
0817	1	Cinnabon
0818	1	Graystone Wine Cellar
0819	1	Brio Tuscan Grille
0820	1	Udipi Cafe
0821	1	Lola&#39;s Fresh Italian Foods
0822	1	Cazuelas Grill
