restaurant	urbanspoon	name
0113	1	Surin of Thailand
0114	1	Silvertron Cafe
0115	1	Salvatores Pizza
0116	1	Saws
0117	1	Cafe Dupont
0118	1	Trattoria Centrale
0119	1	Taipei 101 Sushi &amp; Asian Bistro
0120	1	Shangri-la
0121	1	Bettola
0122	1	Redbones Barbecue
0123	1	Zaftigs Delicatessen
0124	1	Neptune Oyster
0125	1	Santarpio's Pizza
0126	1	Giacomo's (South End)
0127	1	Oleana
0128	1	Fat Cat
0129	1	Kimball Farm
0130	1	Hamersley's Bistro
0131	1	China Pearl
0132	1	Border Cafe (Saugus)
0133	1	Punjab Indian Restaurant
0134	1	Kowloon Restaurant
0135	1	Cuchi Cuchi
0136	1	Emma's Pizza
0137	1	Maggiano's Little Italy
0138	1	Veggie Planet
0139	1	Upper Crust
0140	1	Dino's Cafe
0141	1	Grover's Bar &amp; Grill
0142	1	Mulberry Cafe
0143	1	La Galera Mexican Restaurant
0144	1	El Palenque Mexican Grill
0145	1	Wine On Third
0146	1	Kabab &amp; Curry
0147	1	Fuddruckers
0148	1	Coles
0149	1	Kentucky Greg's Hickory Pit
0150	1	George's Hot Dog Stand
0151	1	Chester's Cajun Grill
0152	1	Suzy Q's Barbeque Shack
0153	1	Lone Star Fajita Grill
0154	1	Eileen's Centerview Bkry
0155	1	Coyote Cafe
0156	1	Isabella's Italian Deli
0157	1	Tokyo Shanghai Bistro
0158	1	Mississippi Mudds
0159	1	Basil
0160	1	Jestine's Kitchen
0161	1	High Cotton
0162	1	Madra Rua Irish Pub
0163	1	Lost Dog Cafe
0164	1	Santi's Restaurante Mexicano
0165	1	Jasmine Thai
0166	1	Samos Taverna
0167	1	The Early Bird Diner
0168	1	Evo Wood-Fired Pizza
0169	1	Sette
0170	1	Wild Olive Cucina Italiana
0171	1	Hyman's
0172	1	Oak Steakhouse
0173	1	D'Allesandro's
0174	1	Pane E Vino
0175	1	Home Team BBQ
0176	1	Amen Street Fish &amp; Raw Bar
0177	1	Andolini's Pizza (Peninsular)
0178	1	Bambu
0179	1	Blu Oceanfront
0180	1	Kudu
0181	1	Amélie's French Bakery &amp; Cafe
0182	1	Mama Ricotta's
0183	1	Chima Brazilian Steakhouse
0184	1	Sullivan's Steakhouse
0185	1	Waldhorn
0186	1	Crepe Cellar Kitchen &amp; Pub
0187	1	Flying Biscuit Cafe
0188	1	Brooklyn South Pizzeria &amp; Italian Eatery
0189	1	Stallings Rockstore Bar-B-Q
0190	1	Intermezzo Pizzeria and Cafe
0191	1	Tokyo Japanese Restaurant &amp; Sushi Bar
0192	1	Osaka Japanese Cuisine
0193	1	Piece
0194	1	Cafe Iberico
0195	1	Coast Sushi
0196	1	Gene &amp; Jude's Red Hot Stand
0197	1	Lula Cafe
0198	1	Hot Chocolate
0199	1	Portillo's Hot Dogs &amp; Barnelli's Pasta (Schaumburg)
0200	1	Quartino
0201	1	Japonais
0202	1	Bandera
0203	1	Kiku Japanese Steakhouse
0204	1	Calo Ristorante
0205	1	Blackbird
0206	1	Meson Sabika
0207	1	Tufano's Vernon Park Tap
0208	1	Alinea
0209	1	Uncle Julio's Hacienda
0210	1	Julius Meinl Cafe
0211	1	Calypso Cafe
0212	1	Publican
0213	1	Buffalo Joe's
0214	1	Urban Belly
0215	1	Hog Wild
0216	1	Le Colonial
0217	1	Nuevo Leon
0218	1	Terry's Turf Club
0219	1	Arthur's Cafe
0220	1	Teak Thai Cuisine and Sushi Bar
0221	1	Newport Pizza Company
0222	1	Cafe Mediterranean
0223	1	Cilantro Vietnamese Bistro
0224	1	Dewey's Pizza (Oakley)
0225	1	Sweet Basil
0226	1	Gordo's Pub &amp; Grill
0227	1	Boca
0228	1	Mitchell's Fish Market
0229	1	The Echo Restaurant
0230	1	Aglamesis Brothers
0231	1	Arnold's Bar &amp; Grill
0232	1	Rio Grande Mexican
0233	1	Sebastian's
0234	1	Greek Isles
0235	1	Hot Doggin' It
0236	1	Pasquale's Pizza
0237	1	Fratelli's New York Style Pizzeria
0238	1	Via Vite
0239	1	Buona Vita Pizzeria
0240	1	Cafe de Wheels (Food Truck)
0241	1	Melt Bar &amp; Grilled
0242	1	Lolita
0243	1	Hibachi Japan Steak House
0244	1	Aladdin's Eatery
0245	1	Moosehead Saloon
0246	1	On the Rise Artisan Breads
0247	1	Bricco
0248	1	Papa Joe's Subs &amp; Pasta
0249	1	B Spot Burgers
0250	1	Dewey's Pizza
0251	1	India Garden
0252	1	Charm Thai
0253	1	Santo Suosso's
0254	1	Vincenza's Pizza &amp; Pasta
0255	1	Hooley House
0256	1	Blackbird Baking Company
0257	1	Aladdin's Eatery
0258	1	Sweet Basil
0259	1	Jimmy Daddana's Fine Italian
0260	1	Mr Zub's Deli at the Matinee
0261	1	Peppermint Cafe
0262	1	Sasa Matsu
0263	1	King Wah
0264	1	Thurman Cafe
0265	1	Jeni's Ice Creams (Short North)
0266	1	Schmidt's Sausage Haus
0267	1	Akai Hana
0268	1	Lindey's Restaurant and Bar
0269	1	Five Guys Famous Burgers &amp; Fries
0270	1	Pho Asian Noodle House and Grill
0271	1	Big Fat Greek Kuzina
0272	1	Route 62 Barbecue
0273	1	Mazah Mediterranean Eatery
0274	1	City Barbeque
0275	1	Cap City Fine Diner and Bar (Gahanna)
0276	1	Cuco's Mexican Taqueria
0277	1	Jeni's Ice Creams (Grandview Heights)
0278	1	Tai's Asian Bistro
0279	1	Giorgio Italian Restaurant
0280	1	Easy Street Cafe
0281	1	Brazenhead Irish Pub
0282	1	Giuseppe's Ritrovo
0283	1	Aab India Restaurant
0284	1	Press Grill
0285	1	Bon Vie Bistro
0286	1	Buca di Beppo
0287	1	Pei Wei Asian Diner
0288	1	Pizza Cottage
0289	1	Figlio (Upper Arlington)
0290	1	McCormick &amp; Schmick's
0291	1	Babe's Chicken Dinner House (Frisco)
0292	1	Chef Point Cafe
0293	1	Joe T. Garcia's Mexican
0294	1	Texas de Brazil
0295	1	Babe's Chicken Dinner House (Roanoke)
0296	1	Tex's Star Grill
0297	1	Chiloso Mexican Bistro
0298	1	Yucatan Taco Stand
0299	1	Tony's Pizza &amp; Pasta
0300	1	Railhead Smokehouse
0301	1	Mia's Tex-Mex
0302	1	Reata
0303	1	Maggiano's Little Italy
0304	1	Campo Verde
0305	1	Piranha Killer Sushi
0306	1	Wild About Harry's
0307	1	Angelo's
0308	1	Palio's Pizza Cafe
0309	1	Nonna Tata
0310	1	Vesta Dipping Grill
0311	1	Lucile's
0312	1	Wild Ginger
0313	1	Brasserie Ten Ten
0314	1	Snooze
0315	1	Frasca Food &amp; Wine
0316	1	Pumphouse Brewery
0317	1	Parisi
0318	1	Tom's Home Cookin'
0319	1	Melting Pot
0320	1	Heaven Dragon Chinese
0321	1	Houston's
0322	1	Rioja
0323	1	Blue Ocean Asian Cafe
0324	1	Bull &amp; Bush Pub and Brewery
0325	1	Pete's Kitchen
0326	1	The Kitchen
0327	1	Hapa Sushi (Cherry Creek)
0328	1	Hacienda Colorado (Lone Tree)
0329	1	Lucile's Creole Cafe
0330	1	Jerusalem
0331	1	Pho on 6th
0332	1	Marco's Coal Fired Pizzeria
0333	1	Wasabi Sushi Bar
0334	1	Efrain's Mexican
0335	1	Wazee Supper Club
0336	1	Chez Thuy
0337	1	Carmine's on Penn
0338	1	Flying Mango
0339	1	Waterfront Seafood Market (West)
0340	1	Great Plains Sauce &amp; Dough
0341	1	Lucca
0342	1	Stomping Grounds
0343	1	Django
0344	1	Taki Japanese Steakhouse
0345	1	Royal Mile
0346	1	Snookies Malt Shop
0347	1	Thai Flavors
0348	1	Van Dee's Ice Cream Shoppe
0349	1	Palmer's Deli &amp; Market
0350	1	Bandit Burrito
0351	1	Chinese Home Style Cooking
0352	1	Jason's Deli
0353	1	Gateway Market Cafe
0354	1	Iowa Machine Shed
0355	1	Twisted Bean
0356	1	Tsing Tsao South
0357	1	Uncle Wendell's BBQ Catering and Bakery
0358	1	El Mariachi
0359	1	Buffalo Wild Wings (Ankeny)
0360	1	J Benjamin's
0361	1	Shanghai Chinese
0362	1	Blimpy Burger (Krazy Jim's)
0363	1	Cafe Muse
0364	1	Lipuma's Coney Island
0365	1	Vicente's Cuban Cuisine
0366	1	Arbor Brewing Company
0367	1	Anita's Kitchen
0368	1	Beverly Hills Grill
0369	1	Town Tavern
0370	1	Loui's Pizza
0371	1	Eve
0372	1	J Alexander's
0373	1	Jerusalem Garden
0374	1	Cafe Habana (Royal Oak)
0375	1	Tio's
0376	1	Chicken King
0377	1	Blue Tractor BBQ &amp; Brewery
0378	1	Maggiano's Little Italy
0379	1	Compari's
0380	1	Dog House Grill
0381	1	Luna Pizzeria &amp; Italian Restaurant
0382	1	Thai Gem
0383	1	Superior Dairy Product Co‎
0384	1	Famous Dave's
0385	1	In-N-Out Burger
0386	1	Yosemite Ranch
0387	1	Huckleberry's
0388	1	BJ's Restaurant &amp; Brewhouse
0389	1	Maroo Japanese Korean Restaurant
0390	1	Chapala Grill (Woodward Park)
0391	1	Corsaros Family Pizza
0392	1	Colorado Grill
0393	1	Deli Delicious
0394	1	Rousseau
0395	1	Great Harvest Bread
0396	1	Jamba Juice
0397	1	Plaza Ventana
0398	1	Yukon Jack's Log Cabin Dining (Clovis)
0399	1	Krolls West
0400	1	Nakashima's Japan
0401	1	St Brendan's Inn
0402	1	Copper Rock Coffee
0403	1	Victoria's Italian Cuisine
0404	1	Apollon
0405	1	Kavarna
0406	1	Sgambati's New York Pizza
0407	1	1951 West
0408	1	Joe Rouer's Bar
0409	1	Big Tomatoes
0410	1	The Urban Frog
0411	1	Pappa's Cafe
0412	1	Bud &amp; Carol's Drift Inn
0413	1	Solea Mexican Grill
0414	1	The Wellington Steakhouse
0415	1	Asian Garden Buffet
0416	1	Chef Chu's
0417	1	O'Rourke's Diner
0418	1	Miya's Japanese Restaurant
0419	1	Giovannis Brickoven Pizzeria
0420	1	Brookside Bagels
0421	1	Red Robin Gourmet Burgers
0422	1	Ibiza Restaurant
0423	1	Sushi Palace
0424	1	Brass City Bistro
0425	1	Cosmic Omelet
0426	1	Bella Napoli
0427	1	Arugula
0428	1	Willimantic Brewing Co
0429	1	Michael's Pasta in the Pan
0430	1	Wentworth Homemade Ice Cream
0431	1	Luna Pizza
0432	1	Capitol Lunch
0433	1	Harry's Pizza
0434	1	Kimo's
0435	1	Teddy's Bigger Burgers (Kailua)
0436	1	Duke's Restaurant &amp; Canoe Club (Lihue)
0437	1	Wailana Coffee House
0438	1	Giovanni's Shrimp Truck
0439	1	Soul de Cuba Cafe
0440	1	Sansei Seafood Restaurant &amp; Sushi Bar (Lahaina)
0441	1	Beach House
0442	1	Town
0443	1	Cinnamon's
0444	1	Souvaly Thai Cuisine
0445	1	Kua Aina
0446	1	Matsumoto Shave Ice
0447	1	Bubbies Homemade Ice Cream (University Avenue)
0448	1	Ono Hawaiian Foods
0449	1	Teddy's Bigger Burgers (Waikiki)
0450	1	Kona Brewing Company (Hawaii Kai)
0451	1	Rainbow Drive-in
0452	1	Grass Skirt Grill
0453	1	Miyo's
0454	1	Hy's Steak House
0455	1	Leilani's on the Beach
0456	1	Eggs 'n Things
0457	1	Ruth's Chris Steak House
0458	1	Lanikai Juice
0459	1	Doraku Sushi
0460	1	Mariposa
0461	1	WokStar International Noodle Cafe
0462	1	Koa Pancake House
0463	1	Yogurtland
0464	1	Tiny Boxwood's Cafe
0465	1	Black Walnut Cafe (Woodlands)
0466	1	Sushi Hana Japanese Kitchen
0467	1	Shade
0468	1	Ruggles Cafe Bakery
0469	1	Dolce Vita Pizzeria Enoteca
0470	1	Frenchie's Italian Cuisine
0471	1	Bubba's Texas Burger Shack
0472	1	Pappas Brothers Steakhouse
0473	1	Gaido's
0474	1	Shiva Indian
0475	1	P.F. Chang's China Bistro (Woodlands)
0476	1	New York Bagels
0477	1	Rudy &amp; Paco's
0478	1	Ibiza
0479	1	Texas Roadhouse
0480	1	Bazbeaux Pizza (Massachusetts Ave.)
0481	1	Mama Carolla's Old Italian
0482	1	The Journey
0483	1	Scotty's Brewhouse
0484	1	Creation Cafe
0485	1	Mellow Mushroom
0486	1	Some Guys Pizza (Northeast)
0487	1	Barcelona Tapas
0488	1	Oakley's Bistro
0489	1	Thai Cafe
0490	1	Historic Steer in
0491	1	Petite Chou
0492	1	Some Guys Pizza (Carmel)
0493	1	Taki
0494	1	Bosphorus
0495	1	Kickbacks Gastropub
0496	1	Fernandeli
0497	1	Palm Valley Fish Camp
0498	1	Five Guys Burger and Fries
0499	1	Daruma Japanese Steak House (Beach Blvd.)
0500	1	Al's Pizza (Beach Blvd.)
0501	1	Akaya
0502	1	Red Elephant Pizza and Grill
0503	1	Safe Harbor Seafood Market and Restaurant
0504	1	Marker 32
0505	1	Mandaloun
0506	1	Cantina Laredo
0507	1	Mellow Mushroom
0508	1	The Cheesecake Factory
0509	1	Espeto Brazilian Steak House
0510	1	Mill House
0511	1	Pastiche
0512	1	Pattaya Thai Grille
0513	1	Coffee Cup Caffe'
0514	1	Secret Garden Cafe
0515	1	Blue Koi
0516	1	Fiorella's Jack Stack Barbecue (Crossroads)
0517	1	J. Gilbert's
0518	1	Mi Ranchito Cocina &amp; Cantina Mexicana (Olathe)
0519	1	Le Fou Frog
0520	1	Mr Gyros Greek Food &amp; Pastries
0521	1	Blanc Burgers + Bottles (Leawood)
0522	1	Succotash
0523	1	Korma Sutra Cusine of India
0524	1	Edokko Japanese Restaurant
0525	1	Harry's Country Club
0526	1	Thai Place
0527	1	Bluestem
0528	1	LC's Hamburgers Etc.
0529	1	BRGR Kitchen + Bar
0530	1	Pei Wei Asian Diner
0531	1	Paulo &amp; Bill
0532	1	Cosentino's Market (Downtown)
0533	1	Jasper's
0534	1	Tokyo Japanese Steak House
0535	1	Kokoro Maki House
0536	1	Tomato Head
0537	1	Nama Sushi Bar
0538	1	Old Mill
0539	1	Long's Drug Store
0540	1	Calhoun's (Farragut)
0541	1	Aubrey's (Farragut)
0542	1	Captain Ernie’s Fish House Restaurant
0543	1	Sitar Indian Cuisine
0544	1	Maryville Tomato Head
0545	1	Lakeside Tavern
0546	1	Apple Cake Tea Room
0547	1	Vernon's Grill
0548	1	Kobe
0549	1	Senor Taco
0550	1	Seasons Cafe
0551	1	Wild Wing Cafe
0552	1	Pizza Palace
0553	1	Dazzo's Italian Pizzeria Restaurant
0554	1	Best Italian Cafe &amp; Pizzeria
0555	1	Szechuan Garden
0556	1	Chick-Fil-a
0557	1	Irish Times Pub
0558	1	Calhoun's (Gatlinburg)
0559	1	Kanpai of Tokyo
0560	1	Calhoun's on the River
0561	1	Razzleberry's Ice Cream Lab
0562	1	Firefly* Tapas Kitchen and Lounge
0563	1	Bobby Flay's Mesa Grill
0564	1	BJ's Restaurant &amp; Brewhouse
0565	1	Texas de Brazil
0566	1	I Love Sushi
0567	1	Craftsteak
0568	1	Lindo Michoacan
0569	1	Joe's Seafood, Prime Steak &amp; Stone Crab
0570	1	Create: Gourmet Burgers &amp; Frozen Custard
0571	1	Buffet (Wynn)
0572	1	Fausto's Mexican Grill
0573	1	Bagel Cafe
0574	1	Olives
0575	1	Grimaldi's Coal Brick-Oven Pizzeria
0576	1	Jimmy Buffett's Margaritaville
0577	1	Ichiza Sake House
0578	1	Egg Works
0579	1	P.F. Chang's China Bistro
0580	1	Pin Kaow Thai (Southwest)
0581	1	King's Fish House
0582	1	Carnegie Deli
0583	1	Off The Strip
0584	1	Sushi Mon
0585	1	Ramsey's Diner (Downtown)
0586	1	Malone's (Hamburg)
0587	1	Bonefish Grill
0588	1	P.F. Chang's China Bistro
0589	1	Tolly-Ho
0590	1	Five Guys Burgers &amp; Fries
0591	1	Atomic Cafe
0592	1	Merrick Inn
0593	1	Casa Fiesta Mexican Grill (Richmond)
0594	1	Asuka Japanese Steakhouse and Sushi
0595	1	Masala
0596	1	Puccini's Smiling Teeth Pizza
0597	1	Wallace Station Deli and Bakery
0598	1	Oasis Mediterranean
0599	1	Jadeli
0600	1	Ramsey's Diner (Harrodsburg Rd.)
0601	1	Houston's
0602	1	Apple Pan
0603	1	Alcove Cafe &amp; Bakery
0604	1	Casa Bianca Pizza Pie
0605	1	Las Fuentes
0606	1	Yogurtland
0607	1	Fosselman's Ice Cream
0608	1	Cliff's Edge
0609	1	Din Tai Fung
0610	1	Abbot's Pizza Company
0611	1	Daisy Mint
0612	1	Pizzicotto
0613	1	Red Lion Tavern
0614	1	Urth Caffe
0615	1	Lawry's The Prime Rib
0616	1	Bob's Big Boy
0617	1	Zankou Chicken (Hollywood)
0618	1	Home Run Burgers &amp; Fries
0619	1	Kashmir Indian
0620	1	Simply Thai
0621	1	Jeff Ruby's Steakhouse
0622	1	Impellizzeri's Pizza
0623	1	Hiko-a-Mon
0624	1	Los Aztecas Mexican
0625	1	Saffron's
0626	1	Palermo Viejo
0627	1	Vincenzo's Italian
0628	1	Bonnie &amp; Clyde's Pizza Parlor
0629	1	732 Social
0630	1	F.A.B.D. Frankfort Avenue Beer Depot
0631	1	Zaytun
0632	1	Blue Dog Bakery and Cafe
0633	1	Maido
0634	1	Sugar &amp; Spice Donut Shop
0635	1	Charlie Vergos' Rendezvous
0636	1	Gus's World Famous Fried Chicken
0637	1	Huey's (Midtown)
0638	1	Mary's German Restaurant
0639	1	Andrew Michael Italian Kitchen
0640	1	Corky's Bar-B-Q (East Memphis)
0641	1	Bonefish Grill
0642	1	Osaka Japanese Cuisine (Collierville)
0643	1	Blues City Cafe
0644	1	Fino's Italian Deli &amp; Grocery
0645	1	Flying Fish
0646	1	Las Delicias Mexican Bar and Grill
0647	1	Young Avenue Deli
0648	1	Bahama Breeze
0649	1	Belmont Grill
0650	1	Stix
0651	1	Mama Mia's Pizzeria
0652	1	Huey's (Cordova)
0653	1	Old Venice
0654	1	Five Guys Burgers and Fries
0655	1	Samurai
0656	1	Jaxson's Ice Cream Parlor &amp; Restaurant
0657	1	Villagio Restaurant
0658	1	Big Pink
0659	1	Five Guys Burgers and Fries
0660	1	Capt. Shrimp
0661	1	Green Street Cafe
0662	1	Prime One Twelve
0663	1	Dada
0664	1	LaSpada's Hoagies
0665	1	Red Ginger Asian Bistro
0666	1	LaSpada's Original Hoagies
0667	1	Amici's Trattoria Italiana
0668	1	Aromas Del Peru
0669	1	El Tamarindo Café
0670	1	SUSHISAMBA Dromo
0671	1	Cafe Centraal
0672	1	Comet Cafe
0673	1	Honeypie
0674	1	Transfer Pizzeria Cafe
0675	1	Cafe Lu Lu
0676	1	Izumi's
0677	1	Zaffiro's
0678	1	Georgie Porgie's
0679	1	P.F. Chang's China Bistro
0680	1	Juniper 61
0681	1	Three Brothers
0682	1	Generations at 5 Points
0683	1	Charro Tacos &amp; Tequila
0684	1	Oh Dennis Saloon &amp; Charcoal
0685	1	Tomaso's of Mequon
0686	1	Maggiano's Little Italy
0687	1	Martino's Italian Beef
0688	1	Matt's Bar
0689	1	Casper &amp; Runyon's Nook
0690	1	Lucia's
0691	1	Blue Door Pub
0692	1	Cafe Latte
0693	1	Convention Grill
0694	1	Punch Neapolitan Pizza
0695	1	Red's Savoy Pizza
0696	1	Victor's 1959 Cafe
0697	1	True Thai
0698	1	Origami
0699	1	Oceanaire Seafood Room
0700	1	Ike's Food &amp; Cocktails
0701	1	Cooper Pub &amp; Restaurant
0702	1	Biaggi's Ristorante Italiano
0703	1	Tavern on France
0704	1	Punch Neapolitan Pizza
0705	1	Fat Lorenzo's
0706	1	Tum Rup Thai
0707	1	The RICEBOX
0708	1	Barrio
0709	1	Edina Grill
0710	1	Pop! a Neighborhood Restaurant
0711	1	The Local
0712	1	The Strip Club
0713	1	Keys Foshay
0714	1	Peter's Sushi and Thai
0715	1	Chill Spot
0716	1	Cafe Coco
0717	1	Antonio's of Nashville
0718	1	Camino Real Mexican Restaurant
0719	1	Virago
0720	1	Cancun Mexican
0721	1	Koto Sushi Bar
0722	1	Athens Family Restaurant
0723	1	City House
0724	1	Port of Call
0725	1	Drago's Seafood Restaurant
0726	1	Juan's Flying Burrito
0727	1	Emeril's New Orleans
0728	1	Arnaud's Restaurant
0729	1	City Diner
0730	1	Antoine's Restaurant
0731	1	Sake Cafe
0732	1	Crabby Jack's
0733	1	Court of Two Sisters
0734	1	Palace Café
0735	1	Mona Lisa Restaurant
0736	1	Houston's Restaurant
0737	1	Ruby Slipper
0738	1	Shake Shack
0739	1	Pastis
0740	1	Grimaldi's Pizzeria
0741	1	Serendipity 3
0742	1	Pommes Frites
0743	1	Corner Bistro
0744	1	John's Pizzeria
0745	1	S'Mac
0746	1	Pio Pio (Upper West Side)
0747	1	Tao
0748	1	Momofuku Noodle Bar
0749	1	Rosa Mexicano
0750	1	Al di Là Trattoria
0751	1	Denino's Pizzeria Tavern
0752	1	Lupa
0753	1	Max Brenner, Chocolate By the Bald Man
0754	1	Dumont
0755	1	Negril Village
0756	1	Taverna Kyclades
0757	1	Land NorthEast Thai
0758	1	Bogotá Latin Bistro
0759	1	Republic
0760	1	Carmine's (UWS)
0761	1	Per Se
0762	1	Calle Ocho
0763	1	John's Pizzeria
0764	1	Pasha Mezze
0765	1	No Frill Bar and Grill
0766	1	Kin's Wok
0767	1	Mannino's Italian Bistro (Kempsville)
0768	1	Yanni's Casual Greek
0769	1	Luna Maya
0770	1	Razzo
0771	1	Pierce's Pitt Bar-B-Que
0772	1	Primo Pizza
0773	1	Fellini's
0774	1	Thaijindesu
0775	1	Zia Marie
0776	1	Tortilla West
0777	1	Leaping Lizard Cafe
0778	1	Il Giardino Ristorante
0779	1	Sal's Pizzeria By Maurizio
0780	1	YNot Pizza
0781	1	Big Sam's Inlet Cafe &amp; Raw Bar
0782	1	Pho 79 (Pembroke)
0783	1	Route 58 Delicatessen
0784	1	Krungthai Street Grill
0785	1	Kero Sushi
0786	1	Green Onion
0787	1	Frankie's Place For Ribs
0788	1	Hoagie Haven
0789	1	Bent Spoon
0790	1	La Isla
0791	1	Nauna's Bella Casa
0792	1	Blue Point Grill
0793	1	Cuban Petes Restaurant and Sangrias
0794	1	Pete &amp; Elda's Bar &amp; Grill
0795	1	R U Hungry
0796	1	Houston's
0797	1	Paulo's Barbeque
0798	1	Tiger Noodles
0799	1	Five Guys Burgers and Fries
0800	1	Fernandes Steak House
0801	1	Conte's
0802	1	Mojave Grille
0803	1	Casa Dante
0804	1	DeLorenzo's Tomato Pies
0805	1	Resto
0806	1	Five Guys Burgers and Fries
0807	1	Precious Chinese Cuisine
0808	1	Maggiano's Little Italy
0809	1	Amanda's
0810	1	Grimaldi's Coal Brick Oven
0811	1	Il Capriccio Ristorante
0812	1	Izumi Japanese Steak House
0813	1	Hamburgao
0814	1	Hamburgao
0815	1	Mr. Pi's
0816	1	Thai O'Brien
0817	1	Iberia Peninsula
0818	1	Nizi Sushi
0819	1	Augustino's
0820	1	Cheeseboard Pizza
0821	1	Burma Superstar
0822	1	Val's Burgers
0823	1	Bouchon
0824	1	Lillian's Italian Kitchen
0825	1	Betelnut
0826	1	Nopa
0827	1	Bette's Oceanview Diner
0828	1	Dishdash
0829	1	The Counter Santana Row
0830	1	Range
0831	1	A Cote
0832	1	Bi-Rite Creamery and Bake Shop
0833	1	Yank Sing
0834	1	Jack's Prime
0835	1	Kirala
0836	1	Gott's Roadside
0837	1	Cafe 7 Delicatessen and Pastaria
0838	1	Cafe 501
0839	1	La Baguette Bistro
0840	1	The Melting Pot
0841	1	P.F. Chang's China Bistro
0842	1	Rodney's Pizza Place
0843	1	Padthai
0844	1	Cuppies and Joe
0845	1	RePUBlic Gastropub
0846	1	Ted's Cafe Escondido (Suburban Southside)
0847	1	Blu Fine Wine &amp; Food
0848	1	Tana Thai Bistro
0849	1	Bolero Spanish Grill &amp; Tapas Bar
0850	1	Napoleon Deli
0851	1	Los Vaqueros
0852	1	New York Pizza &amp; Pasta
0853	1	Rococo Restaurant &amp; Fine Wine
0854	1	Raspberries 'n' Creme
0855	1	Bellini's Ristorante &amp; Grill
0856	1	Prairie Thunder Baking Company
0857	1	Sweet Basil Thai Cuisine
0858	1	Vito's Ristorante
