restaurant	gayot	name
0488	1	The Carlton
0489	1	Common Plea Restaurant
0490	1	Cross Keys Inn
0491	1	Davio
0492	1	Dish Osteria & Bar
0493	1	Houlihan's
0494	1	Lee's Hoagie House
0495	1	Fleming's Prime Steakhouse & Wine Bar
0496	1	Lee's Hoagie House
0497	1	Uno Chicago Grill
0498	1	Chili's
0499	1	Flavor
0500	1	Georges'
0501	1	The Olive Garden
0502	1	El Tapatio
0503	1	The Barking Crab
0504	1	The Dining Room at the Castle Hill Inn & Resort
0505	1	Creperie
0506	1	Eastside Marketplace
0507	1	The Loft Restaurant & Lounge
0508	1	River House Restaurant
0509	1	Fulton Five
0510	1	High Cotton
0511	1	Jestine's Kitchen
0512	1	Fat Hen
0513	1	17 North
0514	1	Vickery's Shem Creek Bar & Grill
0515	1	Maurice's Gourmet BBQ
0516	1	Circa by John Bragg
0517	1	Arnold’s Country Kitchen
0518	1	Capitol Grille
0519	1	Fido
0520	1	la Madeleine French Bakery & Café
0521	1	Simply Fondue
0522	1	Chez Zee American Bistro
0523	1	The County Line on the Hill
0524	1	Daily Grill
0525	1	Doc's Motorworks
0526	1	Pappadeaux
0527	1	Auntie Pasto's
0528	1	Lemongrass Café
0529	1	Tumbleweed Bar-B-Que
0530	1	Abacus
0531	1	Al Biernat's
0532	1	Amore
0533	1	Bolla
0534	1	Bread Winners Café & Bakery
0535	1	The Salt Lick
0536	1	Café Modern
0537	1	Del Frisco's Double Eagle Steak House
0538	1	Ama Lur
0539	1	la Madeleine French Bakery & Café
0540	1	Rainforest Café
0541	1	Baba Yega
0542	1	Birraporetti's
0543	1	Café on the Green
0544	1	Sonny Bryan's Smokehouse
0545	1	Black's BBQ
0546	1	Chisholm Trail Bar-B-Q
0547	1	Blue Goose Cantina
0548	1	Corner Bakery
0549	1	Jasper's
0550	1	Joe's Crab Shack
0551	1	Mango Thai Cuisine
0552	1	Mignon
0553	1	Pappadeaux
0554	1	Sonny Bryan's Smokehouse
0555	1	Salt Creek Grille
0556	1	Culpepper Steak House
0557	1	Aldaco's Mexican Cuisine
0558	1	Aldaco's Mexican Cuisine
0559	1	Asia Kitchen
0560	1	Biga on the Banks
0561	1	Boudro's on the Riverwalk
0562	1	Rockfish Seafood Grill
0563	1	White Flamingo Restaurant
0564	1	Kona Grill
0565	1	International House of Pancakes
0566	1	Royal Street Café
0567	1	California Pizza Kitchen
0568	1	Hong Kong East Ocean
0569	1	Townhouse Bar & Grill
0570	1	Trader Vic's
0571	1	Roosters
0572	1	Butcher's Chop House & Bar
0573	1	El Chubasco
0574	1	Ghidotti's Italian Restaurant
0575	1	J&G Grill
0576	1	Bambara
0577	1	Biaggi's
0578	1	California Pizza Kitchen
0579	1	The Dodo Restaurant
0580	1	Eggs in the City
0581	1	La Caille
0582	1	The Sconecutter
0583	1	Pat's BBQ
0584	1	Coast 101 Restaurant
0585	1	La Bonne Bouffe
0586	1	The Sconecutter
0587	1	Blue Cat Café & Wine Bar
0588	1	The Green Room
0589	1	The Old Tavern
0590	1	J. Morgan's Steakhouse
0591	1	Sarducci's
0592	1	D'Amore's Famous Pizza Connection
0593	1	Fromin's Restaurant
0594	1	Pho Dang
0595	1	Chipotle
0596	1	Clyde's at Mark Center
0597	1	Duck Chang's
0598	1	Fuddruckers
0599	1	Silverado
0600	1	A Taste of Morocco
0601	1	Café Tirolo
0602	1	California Pizza Kitchen
0603	1	Caribbean Breeze
0604	1	Caribbean Grill
0605	1	Moby Dick House of Kabob
0606	1	Bluz Brothers Bar-B-Que & Grill
0607	1	Panisa Thai Dining
0608	1	The Swiss Bakery & Pastry Shop
0609	1	Mikuni Japanese Restaurant
0610	1	Slocum House
0611	1	Preet Palace
0612	1	Trummer’s on Main
0613	1	Bonefish Grill
0614	1	California Tortilla
0615	1	Captain Pell's Fairfax Crab House
0616	1	Chipotle Mexican Grill
0617	1	Chili's Grill & Bar
0618	1	Elevation Burger
0619	1	Flavors Soul Food
0620	1	Fortune of Seven Corners
0621	1	Haandi
0622	1	The Conscious Bean Coffee House
0623	1	Amphora's Diner Deluxe
0624	1	Euro Bistro
0625	1	Jamaica, Jamaica
0626	1	Chili's Grill & Bar
0627	1	Café Taj
0628	1	Chesapeake Bagel Bakery
0629	1	Daily Grill
0630	1	Evo Bistro
0631	1	Fleming's Prime Steakhouse & Wine Bar
0632	1	Monastery Restaurant
0633	1	Old Peking Restaurant
0634	1	Café Europa
0635	1	Busara Thai Cuisine
0636	1	Chili's Grill & Bar
0637	1	Edibles Incredible Desserts
0638	1	Vintage Caffè
0639	1	Bill's Barbecue
0640	1	Buz & Ned's
0641	1	Can Can Brasserie
0642	1	China Garden
0643	1	Einstein Bros Bagels
0644	1	A Taste of Burma
0645	1	Corner Bakery
0646	1	Al Nakheel Kebab & Café
0647	1	Anita's Mexican Food
0648	1	Bazin's on Church
0649	1	Café Deluxe
0650	1	Cenan's Bakery
0651	1	Chutzpah Deli
0652	1	eCITIE Restaurant & Bar
0653	1	Foster’s Grille
0654	1	Konami Japanese Restaurant
0655	1	Aldo's Ristorante
0656	1	Five 01 City Grill
0657	1	Gringo's Taqueria
0658	1	Sonoma Wine Bar & Bistro
0659	1	Terrapin Restaurant
0660	1	The Inn at Little Washington
0661	1	Lone Star Steakhouse & Saloon
0662	1	Outback Steakhouse
0663	1	Bis on Main
0664	1	Maggiano's Little Italy
0665	1	Scott's Seafood Grill & Bar
0666	1	Cucina! Cucina!
0667	1	Lombardi's Cucina of Issaquah
0668	1	Shanghai Garden
0669	1	Anthony's HomePort
0670	1	bin on the lake
0671	1	Cactus
0672	1	Coyote Creek Pizza
0673	1	Claim Jumper
0674	1	Anthony's HomePort
0675	1	Castle Key Restaurant & Lounge
0676	1	13 Coins Restaurant
0677	1	Andaluca
0678	1	Annapurna Café
0679	1	ART Restaurant & Lounge
0680	1	Ayutthaya Thai Restaurant
0681	1	Baguette Box
0682	1	Snoqualmie Gourmet Ice Cream
0683	1	The Lobster Shop
0684	1	Masa Comida Mexicana
0685	1	Stanley & Seafort's Steak, Chop & Fish House
0686	1	Hudson's Bar & Grill
0687	1	Taco Del Mar
0688	1	Fleming&#39;s Prime Steakhouse & Wine Bar
0689	1	Lola's on the Lake
0690	1	a'Bravo Bistro & Wine Bar
0691	1	Big Tomatoes
0692	1	Hinterland
0693	1	Legends Brewhouse & Eatery
0694	1	Mandarin Garden
0695	1	Old Country Buffet
0696	1	Mosaic Restaurant & Wine Lounge
0697	1	The Admiralty
0698	1	Capitol Chophouse
0699	1	Bartolotta's Lake Park Bistro
0700	1	Izumi's Japanese Restaurant
0701	1	Crawdaddy's
0702	1	Veranda on Highland
0703	1	Compass
0704	1	Coup des Tartes
0705	1	Crazy Jim's
0706	1	Different Pointe of View
0707	1	El Bravo
0708	1	Eddie V's Edgewater Grille
0709	1	Havana Patio Café
0710	1	Heirloom
0711	1	Il Terrazzo
0712	1	Yavapai Restaurant
0713	1	Top of the Rock Restaurant & Bar
0714	1	Roy's
0715	1	Steakhouse 55
0716	1	Tiffy's
0717	1	Uva Bar
0718	1	Holy Land Restaurant
0719	1	Imperial Tea Court
0720	1	The Cheesecake Factory
0721	1	Circa 55
0722	1	Coffee Bean & Tea Leaf
0723	1	Coffee Bean & Tea Leaf
0724	1	Crazy Fish
0725	1	Frida Mexican Cuisine
0726	1	The Riverside Café
0727	1	Le Coq D'or
0728	1	Piatti
0729	1	Village Corner
0730	1	Mesa
0731	1	Norms
0732	1	118 Degrees
0733	1	Onotria
0734	1	Rainforest Café
0735	1	K-ZO
0736	1	M Café
0737	1	Tender Greens
0738	1	The Point
0739	1	Tito's Tacos
0740	1	Victor Jr.'s
0741	1	Kabob Land
0742	1	Katsuya Glendale
0743	1	La Cubana
0744	1	Left Coast Wine Bar & Gallery
0745	1	Mario's Italian Market
0746	1	L'Scorpion
0747	1	La Poubelle
0748	1	Lotería Grill
0749	1	Lucky Strike
0750	1	Shin
0751	1	Shintaro
0752	1	Prego
0753	1	Sushilicious
0754	1	Taleo Mexican Grill
0755	1	Tokyo Table
0756	1	La Taverna
0757	1	Lean & Green
0758	1	Michele Coulon Dessertier
0759	1	Sapphire Laguna
0760	1	Splashes
0761	1	Sundried Tomato Café
0762	1	La-Parolaccia Osteria Italiana
0763	1	L'Opera
0764	1	The Madison
0765	1	Tantalum
0766	1	Yard House
0767	1	The Backyard
0768	1	Baja Fresh Mexican Grill
0769	1	Barbarella Bar
0770	1	Bennett's Ice Cream
0771	1	Bistro LQ
0772	1	Daily Grill
0773	1	Zooma Sushi
0774	1	Wharo Korean BBQ
0775	1	McKinstry Street Station
0776	1	Red Rock North
0777	1	Tuscany
0778	1	Villa Corona
0779	1	Kitayama
0780	1	Le Cheval
0781	1	Noodle Theory
0782	1	Native Foods
0783	1	Norma's
0784	1	Max's Opera Café
0785	1	Osteria
0786	1	Pinkberry
0787	1	Matador Cantina
0788	1	Central Park
0789	1	Cham Korean Bistro
0790	1	Dish Bistro & Bar
0791	1	Doña Rosa Bakery & Taqueria
0792	1	HT Grill
0793	1	Pacific Edge
0794	1	Ruby's Redondo
0795	1	Samba
0796	1	Bangkok Thai Bistro
0797	1	Bella Luna
0798	1	Bernard'O
0799	1	The Broken Yolk Café
0800	1	Ame
0801	1	Americano
0802	1	Anchor & Hope
0803	1	Andalu
0804	1	Annabelle's Bar & Bistro
0805	1	AsiaSF
0806	1	Fahrenheit Ultra Lounge & Restaurant
0807	1	Il Fornaio Panetteria/Bakery
0808	1	Las Palmas
0809	1	Dutch Garden Restaurant
0810	1	Elements
0811	1	Enterprise Fish Co.
0812	1	The Habit Burger Grill
0813	1	Coast
0814	1	Cora's Coffee Shoppe
0815	1	Daily Grill
0816	1	Drago
0817	1	Oliva Trattoria
0818	1	Rialto Caffè
0819	1	Sharkey's
0820	1	TusCA
0821	1	Seed
0822	1	Sidewalk Café
0823	1	Wabi-Sabi
0824	1	Nona's Courtyard Café & Wine Bar
0825	1	Watermark
0826	1	Café La Bohème
0827	1	Chin Chin
0828	1	Clafoutis
0829	1	Coffee Bean & Tea Leaf
0830	1	Crown Bar
0831	1	Dominick's
0832	1	ELEVEN Restaurant & Nightclub
0833	1	Villa Piacere
0834	1	Pine Creek Cookhouse
0835	1	Poppycock’s
0836	1	Buckhorn Exchange
0837	1	C. B. & Potts/Bighorn Brewing Company
0838	1	Café Brazil
0839	1	Chipotle Mexican Grill
0840	1	Chipotle Mexican Grill
0841	1	Club 404
0842	1	Columbine Steakhouse
0843	1	Penang Grill
0844	1	Pierangelo
0845	1	Solaia Enoteca e Ristorante
0846	1	Thomas Henkelmann
0847	1	Fleming's Prime Steakhouse & Wine Bar
0848	1	Hot Tomato's
0849	1	M&M's Coffee Shop
0850	1	Max Bibo's
0851	1	Pierpont's Restaurant
0852	1	Rajun Cajun
0853	1	Shish Kebab House of Afghanistan
0854	1	The Original Pancake House
0855	1	Red Rock Coal Fired Pizza
0856	1	ZED451
0857	1	Ortanique on the Mile
0858	1	Palme d'Or
0859	1	Sergio's
0860	1	Texas Taco Factory
0861	1	Himmarshee Bar & Grille
0862	1	Sushi Rock Café
0863	1	Pastiche
0864	1	Sbarro Italian Eatery
0865	1	Hollywood & Vine
0866	1	Maya Grill
0867	1	'Ohana
0868	1	Planet Hollywood
0869	1	Portobello
0870	1	Dave & Buster’s
0871	1	Dogma Grill
0872	1	Dolce Vita Gelato Café
0873	1	Enriqueta's Sandwich Shop
0874	1	Hy-Vong
0875	1	Johnny Rockets
0876	1	David's Café 2
0877	1	Einstein Bros Bagels
0878	1	Escopazzo
0879	1	The Frieze
0880	1	Roy&#39;s
0881	1	Shula's Steak House
0882	1	Strip House
0883	1	Tony's Off Third
0884	1	California Pizza Kitchen
0885	1	Cantina Laredo
0886	1	The Capital Grille
0887	1	Capriccio Grill
0888	1	Chili's Bar & Grill
0889	1	Patrick’s
0890	1	The Moon Under Water
0891	1	Outback Steakhouse
0892	1	Pepin
0893	1	Skyway Jack's
0894	1	Ciccio & Tony's
0895	1	Donatello
0896	1	Fly Bar & Restaurant
0897	1	Mise en Place
0898	1	Park Plaza Gardens
0899	1	P.F. Chang's China Bistro
0900	1	Sakura Japanese Cuisine
0901	1	Sage Woodfire Tavern
0902	1	Au Pied de Cochon
0903	1	Babette's Café
0904	1	Bagel Palace Deli & Bakery
0905	1	Baraonda
0906	1	Madras Chettinaad
0907	1	Mexico City Gourmet
0908	1	Noodle
0909	1	Siam Thai
0910	1	Udipi Café
0911	1	RuSan's
0912	1	Ted's Montana Grill
0913	1	Williamson Bros. Bar-B-Q
0914	1	Willie Rae's
0915	1	Café Laufer
0916	1	Cinnabon
0917	1	Maui Tacos
0918	1	Moose McGillycuddy's
0919	1	Outback Steakhouse
0920	1	Sarento's on the Beach
0921	1	Tommy Bahama
0922	1	Kahuna Kabobs
0923	1	Lahaina Fish Company
0924	1	Longhi's
0925	1	Merriman’s Kapalua
0926	1	Atwood Café
0927	1	Bacchanalia
0928	1	Bandera
0929	1	Ben Pao
0930	1	Benny’s Chop House
0931	1	Big Jones
0932	1	Billy Goat Tavern & Grill
0933	1	Harry & Izzy's
0934	1	The Iron Skillet Restaurant
0935	1	Jillian's
0936	1	Mama Carolla's Old Italian Restaurant
0937	1	Pat's Steak House
0938	1	Seviche
0939	1	Lee's Hamburgers
0940	1	Radosta's
0941	1	Riccobono's Peppermill
0942	1	Salvatore
