restaurant	zagat	name
0080	1	Akbar
0081	1	Attman's Delicatessen
0082	1	Atwater's
0083	1	b
0084	1	Bertha's
0085	1	Blue Moon Cafe
0086	1	Bo Brooks Restaurant
0087	1	Cafe Zen
0088	1	Café Gia
0089	1	Captain Larrys
0090	1	Cazbar
0091	1	Centro
0092	1	Ciao Bella
0093	1	Da Mimmo
0094	1	Ding How Restaurant
0095	1	Dogwood
0096	1	Edo Sushi
0097	1	Jimmy's Famous Seafood
0098	1	Joe Squared Pizza &amp; Bar
0099	1	Marie Louise
0100	1	McCabe's
0101	1	One World Cafe
0102	1	Orient Restaurant
0103	1	29 Newbury
0104	1	360 Ultra Lounge
0105	1	5 Corners Kitchen
0106	1	5 Star Pizza
0107	1	Abe & Louie's
0108	1	All Seasons Table Restaurant
0109	1	Amarin of Thailand
0110	1	Ambassador Indian Restaurant
0111	1	Anchovies
0112	1	Angela's Coal Fired Pizza
0113	1	Angelina's Pizza
0114	1	Anna's Pizzeria
0115	1	Anthem Kitchen + Bar
0116	1	Appetito
0117	1	Aquitaine
0118	1	Arlington Restaurant & Diner
0119	1	Asai Restaurant
0120	1	Asana
0121	1	Ashmont Grill
0122	1	Atasca
0123	1	Atlantica
0124	1	Aura
0125	1	B&G Oysters
0126	1	Bangkok Bistro
0127	1	Bangkok City
0128	1	Bangkok Spice Thai Restaurant
0129	1	Baraka Cafe
0130	1	Barnacle Restaurant Inc
0131	1	Beacon Grille Restaurant Incorporated
0132	1	Bella Luna Restaurant & Milky Way Lounge
0133	1	Bella Vista
0134	1	Bella's
0135	1	Bertucci's
0136	1	Bianchi's Pizza
0137	1	Bin 26 Enoteca
0138	1	Blue on Highland
0139	1	Bombay Club
0140	1	Boston Burger Company
0141	1	Brasserie Jo
0142	1	Bricco
0143	1	Brighton Beer Garden
0144	1	Brookline Family Restaurant
0145	1	Brutole Restaurant
0146	1	Cafe of India
0147	1	Café Algiers
0148	1	Café at Taj Boston
0149	1	Capital Grille, The
0150	1	Capri Pizza
0151	1	Captain's Table & Take Away
0152	1	Casablanca
0153	1	Centre Street Café
0154	1	Chateau Norwood
0155	1	Chau Chow City
0156	1	Cheesecake Factory
0157	1	Chef Chow's House
0158	1	Chef Ray's Not Just Seafood
0159	1	China Pearl
0160	1	China Sky
0161	1	Clio/Uni
0162	1	Cutty's
0163	1	Dalya's
0164	1	Dalya's Restaurant
0165	1	Dalí Restaurant & Tapas Bar
0166	1	Dbar
0167	1	Demos
0168	1	Dillon's
0169	1	Dinero's Restaurant
0170	1	Diva Indian Bistro
0171	1	Domenics Italian Bakery
0172	1	Dorado Tacos & Cemitas
0173	1	Drink
0174	1	Emack & Bolios Ice Cream
0175	1	Estragon
0176	1	Flippin Burgers
0177	1	Franco's Ristorante-Pizzeria
0178	1	Fuddruckers Restaurant
0179	1	Fuji Steak House
0180	1	Garden at The Cellar
0181	1	Gaslight Brasserie du Coin
0182	1	Giacomo's
0183	1	Good Life
0184	1	Grapevine
0185	1	Grappa Restaurant
0186	1	Grasshopper
0187	1	Grendel's Restaurant & Bar
0188	1	Grotto
0189	1	Haveli
0190	1	Herrell's Ice Cream
0191	1	Highland Kitchen
0192	1	Hilltop Steak House
0193	1	Himalayan Bistro
0194	1	House of Siam
0195	1	House of Tibet Kitchen
0196	1	Il Casale
0197	1	Il Panino
0198	1	Ivy Restaurant
0199	1	Ixtapa Mexican Restaurant and Cantina
0200	1	Jer-Ne
0201	1	Joshua Tree
0202	1	José's
0203	1	Joyful Garden
0204	1	Jumbo Seafood
0205	1	Kayuga
0206	1	Kayuga II
0207	1	Kings Restaurant
0208	1	Kingston Station
0209	1	Kowloon
0210	1	L'Andana
0211	1	LA DALAT RESTAURANT
0212	1	La Famiglia Giorgio
0213	1	La Scala Restaurant
0214	1	Lala Rokh
0215	1	Lanna Thai Diner
0216	1	Lantana Cafe
0217	1	Legal Sea Foods
0218	1	Lexx
0219	1	Limoncello
0220	1	Lir Irish Pub & Restaurant
0221	1	Littlest Bar, The
0222	1	Local, The
0223	1	Locke-Ober
0224	1	Lord Hobo
0225	1	Lucca
0226	1	Lynwood Cafe
0227	1	Maddie's Sail Loft
0228	1	Mantra
0229	1	Marliave
0230	1	Martsa's on Elm
0231	1	Masala Art
0232	1	McKenna's Cafe
0233	1	Met Bar & Grill
0234	1	Midwest Grill
0235	1	Minado the Ultimate Sushi Buffet
0236	1	Morton's The Steakhouse
0237	1	Mr. Sushi
0238	1	MuLan Taiwanese Cuisine
0239	1	Naked Fish
0240	1	New Ginza
0241	1	Nico
0242	1	Noon Hill Grill
0243	1	Not Your Average Joe's
0244	1	Oceanaire Seafood Room
0245	1	Oishii
0246	1	Olecito
0247	1	Oxford Spa
0248	1	Peace O' Pie
0249	1	Pescatore
0250	1	Petit Robert Bistro
0251	1	Pho 1 Woburn
0252	1	Phuket Thai Restaurant
0253	1	Piccolo Nido
0254	1	Pit Stop Bar-B-Q
0255	1	Pizzeria Regina
0256	1	Pleasant Cafe
0257	1	Poe's Kitchen at the Rattlesnake
0258	1	Ponte Vecchio Restaurant
0259	1	Pops
0260	1	Port 305
0261	1	Precinct
0262	1	Pressed Sandwiches
0263	1	Rainforest Cafe
0264	1	Raso's
0265	1	Rat Pack Cafe the
0266	1	Red Fez
0267	1	(k)new
0268	1	545 North
0269	1	A La Turka
0270	1	A's Restaurant & Pancake Hous E
0271	1	Accanto
0272	1	Adesso
0273	1	Agave Bar & Grill
0274	1	Aladdin's Eatery
0275	1	Alinea
0276	1	Amber Cafe
0277	1	Amelia's Bar & Grill Inc
0278	1	American Girl Place Cafe
0279	1	Aperitif 21
0280	1	Arun's
0281	1	Ashkenaz Deli
0282	1	Assaggia
0283	1	Atwood Cafe
0284	1	Avenues
0285	1	Ay Ay-Picante
0286	1	Bagel, The
0287	1	Baja Fresh Mexican Grill
0288	1	Balducci's Chicago
0289	1	Balsan
0290	1	Bamboo Garden
0291	1	Bank Restaurant & Bar
0292	1	Bapi Restaurant
0293	1	Barrington Country Bistro
0294	1	Barrington Gourmet Takeout and Delivery
0295	1	Bella Via
0296	1	Ben Pao
0297	1	Berghoff Cafe
0298	1	Berry Chill
0299	1	Bhabi Kitchen
0300	1	BIEN TRUCHA INC
0301	1	Birch River Grill
0302	1	Bj's Market
0303	1	Blu Coral
0304	1	Bluegrass
0305	1	Bonsai Café
0306	1	Bravo Cucina Italiana
0307	1	Breakfast Club, The
0308	1	Browntrout
0309	1	Bull-eh-dia's Tapas Bar
0310	1	Butterfly Sushi Bar & Thai Cuisine
0311	1	Cab's Wine Bar Bistro
0312	1	Cafe Bolero
0313	1	Cafe Marbella
0314	1	Café Absinthe
0315	1	Café Med
0316	1	Café Touché
0317	1	Caliterra Bar & Grille
0318	1	Capri
0319	1	Chalkboard
0320	1	Chef Paul's Bavarian Lodge German Pub & Restaurant
0321	1	Chez Joël
0322	1	Chickpea
0323	1	Chifumi Japanese Restaurant
0324	1	Chili Mac's
0325	1	Chili's Grill & Bar
0326	1	China Dragon
0327	1	Cho Sun Ok Restaurant
0328	1	Cibo Matto
0329	1	City Park Grill
0330	1	CityGate Grille
0331	1	Cité
0332	1	Claim Company, The
0333	1	Claim Jumper Restaurant
0334	1	Clara's
0335	1	Clucker's Charcoal Chicken
0336	1	Coast Sushi Bar
0337	1	Coco Pazzo
0338	1	Colletti's Dining & Banquets
0339	1	Coobah
0340	1	Corcoran's Grill
0341	1	Curry Hut Restaurant
0342	1	Cyrano's Bistrot & Wine Bar
0343	1	Czech Plaza
0344	1	D'agostino's Pizzeria
0345	1	Dee's
0346	1	Del Rio
0347	1	Deleece
0348	1	Depot American Diner, The
0349	1	Devon Seafood Grill
0350	1	Dicks Last Resort
0351	1	Donatella Mediterranean Bistro
0352	1	Dunlays on Clark
0353	1	El Jardin Restaurant Norte
0354	1	El Mariachi Restaurant
0355	1	Eleven City Diner
0356	1	Emperor's Choice
0357	1	Epic Burger
0358	1	Eppy's Deli
0359	1	Eve
0360	1	Famous Dave's
0361	1	Fatburger
0362	1	Fiddlehead Café
0363	1	Filippo's
0364	1	Finley's Grill Room
0365	1	Firefly
0366	1	Five Guys
0367	1	Fleming's Prime Steakhouse & Wine Bar
0368	1	Folklore
0369	1	Fondue Stube
0370	1	Francesca's on Chestnut
0371	1	Fred's
0372	1	Frida's
0373	1	Fritzl's Country Inn
0374	1	Gabriel's
0375	1	Gemini Bistro
0376	1	Gibsons Bar & Steakhouse
0377	1	Giordano's
0378	1	Giordano's of Evanston
0379	1	Girl & The Goat
0380	1	Glenn's Diner and Seafood House
0381	1	Goose Island Brewing Co.
0382	1	graham elliot
0383	1	Grill on the Alley, The
0384	1	Grillroom, The
0385	1	Gruppo di Amici
0386	1	Hamburger Mary's
0387	1	Happy Chef Dim Sum House
0388	1	Hema’s Kitchen
0389	1	Hemmingway's Bistro
0390	1	Hop Häus
0391	1	Hopleaf
0392	1	Hot Doug's
0393	1	Hungry Restaurants
0394	1	I Gemelli Restauranto
0395	1	Ina's
0396	1	India House
0397	1	Indie Cafe
0398	1	Irae 60 Japanese Restaurant
0399	1	Isla Filipino Restaurant
0400	1	Jacky's on Prairie
0401	1	JAMESON'S CHARHOUSE
0402	1	Jane's
0403	1	Japonais
0404	1	Jenny's Steak House
0405	1	Jerry’s
0406	1	Jilly's Cafe
0407	1	Jimmy's Place
0408	1	Julius Meinl Café
0409	1	Jurin Japanese Restaurant
0410	1	Jury's
0411	1	Karma
0412	1	Karyn's Fresh Corner
0413	1	Ken Kee Restaurant
0414	1	King Crab Tavern & Seafood Grill
0415	1	Kinzie Chophouse
0416	1	Kitsch'n on Roscoe
0417	1	Klay Oven
0418	1	Korean Seoulfood Café
0419	1	L'Anne
0420	1	La Casa de Isaac
0421	1	La Chicanita Mexican Restaurant
0422	1	La Cocina
0423	1	La Cocina de Frida
0424	1	La Crêperie
0425	1	La Fonda Latino
0426	1	LA VILLA RESTAURANT & BANQUETS
0427	1	Lalo's
0428	1	Lan's China Bistro
0429	1	Landmark Inn
0430	1	Lao Beijing
0431	1	Las Tablas
0432	1	Lavazza Company
0433	1	Le Bouchon
0434	1	Le Titi de Paris
0435	1	Lem's BBQ
0436	1	Leo's Coney Island
0437	1	Level Nightclub
0438	1	Liberty Restaurant the
0439	1	Lillie's Q
0440	1	Lino's Ristorante & Pizza
0441	1	Lips Asian Bistro
0442	1	LM
0443	1	Lockwood
0444	1	Longman & Eagle
0445	1	Lou Malnati's Pizzeria
0446	1	Loving Hut, The
0447	1	Lucky Platter the
0448	1	LuLu's Dim Sum & Then Sum
0449	1	LuxBar
0450	1	MA & I
0451	1	Mambo Italiano
0452	1	MANA Food Bar
0453	1	Maya Del Sol
0454	1	Mee Mah Chinese Restaurant
0455	1	Meiji
0456	1	Meli Cafe & Juice Bar
0457	1	Merlo la Salumeria
0458	1	Mesón Sabika
0459	1	Michael
0460	1	Mickey Finn's Brewery
0461	1	Milan Chat & Sweets
0462	1	Mity Nice Grill
0463	1	Mizu Yakitori & Sushi Lounge
0464	1	MONASTERO'S RISTORANTE & BANQUETS
0465	1	Monica's Mexican Restaurant
0466	1	Moonshine
0467	1	Moretti's
0468	1	Morseland
0469	1	Mrs. Murphy & Sons Irish Bistro
0470	1	Mt. Everest Restaurant
0471	1	My Pie Pizza
0472	1	Mythos
0473	1	Nacional 27
0474	1	Nan's Inc
0475	1	Nella Pizzeria Napoletana
0476	1	Nesh Mediterranean Grill
0477	1	O'hagan's Johnny
0478	1	Oliveti's Italian Ristorante
0479	1	Orange
0480	1	Otom
0481	1	Palm, The
0482	1	Pane Caldo
0483	1	Paprikash Hungarian Restaurant
0484	1	Paradise Pup
0485	1	Parkers' Restaurant & Bar
0486	1	Pars Cove Restaurant
0487	1	Pearl's Place
0488	1	Pelago Ristorante
0489	1	People Lounge
0490	1	Pepe's Mexican Restaurant
0491	1	Philly G's
0492	1	Pho Xua
0493	1	Piccolo Mondo
0494	1	Piccolo Sogno
0495	1	Piece
0496	1	Pine Yard
0497	1	Pinstripes
0498	1	Pita Grill
0499	1	Pizzeria Uno
0500	1	116 Crown
0501	1	2 Hopewell
0502	1	Abate Apizza & Seafood Restaurant
0503	1	Abigails Grill & Wine Bar
0504	1	Abis
0505	1	Acqua
0506	1	Akasaka
0507	1	Altnaveigh Inn
0508	1	Anthony's Jack's Woodfire Grille
0509	1	Apizzo
0510	1	Applebee's Neighborhood Grill & Bar
0511	1	Armando's
0512	1	Ash Creek Saloon
0513	1	Aspen Garden
0514	1	Atlantic Meat Market
0515	1	Ay! Salsa
0516	1	Bambou Asian Tapas & Bar
0517	1	Beijing Restaurants
0518	1	Besito
0519	1	Bespoke
0520	1	Biagio's Osteria
0521	1	Blackstones Steakhouse
0522	1	Blue Lemon
0523	1	Blue Pearl
0524	1	Bombay
0525	1	Bombay Olive
0526	1	Boom Restaurant
0527	1	Brasitas
0528	1	BRENNAN'S RESTAURANT
0529	1	Brewhouse
0530	1	Bricco
0531	1	Bridge House
0532	1	Brie & Bleu
0533	1	Bru Room at BAR
0534	1	Bugaboo Creek Steak House
0535	1	Cafe Allegre
0536	1	Carmen Anthony Fishhouse
0537	1	Casa Mia Restaurant
0538	1	Cava Wine Bar & Restaurant
0539	1	Cedars
0540	1	Chestnut Grille at the Bee & Thistle Inn
0541	1	Chili Chicken
0542	1	Ching's Kitchen
0543	1	Christopher Martins
0544	1	Chuck's Steak House
0545	1	Circle Diner Restaurant
0546	1	City Steam Brewery Cafe
0547	1	Cocoa
0548	1	Coffee An' Donut Shop
0549	1	Cold Stone Creamery
0550	1	Constantine's
0551	1	Costa Brava
0552	1	Cristy's Luncheonette
0553	1	Cuckoo's Nest
0554	1	DaCapo's Italiano Ristorante
0555	1	Dev's On Bank St
0556	1	Dolly Madison Inn & Restaurant
0557	1	Down the Hatch Restaurant
0558	1	Duffy's Tavern
0559	1	Duo
0560	1	Eli Cannon's
0561	1	Elm Street Oyster House
0562	1	Eos Greek Cuisine
0563	1	Evergreens
0564	1	Feng Asian Bistro
0565	1	Ferrante
0566	1	Fifty Coins
0567	1	Firebox
0568	1	Flanders Fish Market & Restaurant
0569	1	Foe, An American Bistro
0570	1	Galangal Southeast Asia Cuisine
0571	1	Gates
0572	1	Ginger Man
0573	1	Giovanni's
0574	1	Gold Roc Diner
0575	1	Greenwich Prime Meats
0576	1	Gusto Restaurante
0577	1	Hard Rock Cafe
0578	1	Hawthorne Inn
0579	1	Home Plate Deli
0580	1	Hope Pizza Restaurant
0581	1	Hot Basil Thai Café
0582	1	House of Chao
0583	1	It's Only Natural
0584	1	J P's Country Cupboard
0585	1	Jean-Louis
0586	1	Jeff's Cuisine
0587	1	Joe's American Bar & Grill
0588	1	JOEY'S SEAFOOD RESTAURANT
0589	1	Johnny Rockets
0590	1	Jule's Mediterranean Cuisine
0591	1	Kari
0592	1	Kashmir Indian Kitchen
0593	1	King & I
0594	1	Kira Sushi II
0595	1	Kona Grill
0596	1	La Piccolina
0597	1	Lady Luck
0598	1	Lena's Westside Deli
0599	1	Lime
0600	1	Litchfield Salt Water Grille
0601	1	Little Mark's Big BBQ
0602	1	Little Pub
0603	1	Longwood Restaurant
0604	1	Lotus Thai Restaurant & Bar
0605	1	Madonia
0606	1	Mangia Mangia Pizza & Restaurant
0607	1	Market Restaurant
0608	1	Marty's Seafood Restaurant
0609	1	Match
0610	1	Matsu Sushi
0611	1	Mavi
0612	1	Max Fish
0613	1	Michael's Trattoria
0614	1	Miso
0615	1	Modern Apizza
0616	1	Abacus
0617	1	Afghan Grill
0618	1	Al Biernat's
0619	1	Andrea's Restaurant
0620	1	Bella Bar & Restaurant
0621	1	Bellini's
0622	1	Berryhill Baja Grill
0623	1	Bob's Steak & Chop House
0624	1	Bolsa
0625	1	Brinker International
0626	1	Café Pacific
0627	1	California Pizza Kitchen
0628	1	Carrabba's Italian Grill
0629	1	Cava
0630	1	Central 214
0631	1	Chic from Barcelona
0632	1	City Café
0633	1	Cosmic Café
0634	1	Crú Wine Bar
0635	1	Daddy Jack's Wood Grill
0636	1	Del Frisco's Double Eagle Steak House
0637	1	Deli News
0638	1	Dragonfly
0639	1	Dream Café
0640	1	Fernando's Mexican Cuisine
0641	1	Hector's on Henderson
0642	1	Hibiscus
0643	1	Highland Park Cafeteria
0644	1	Highland Park Pharmacy
0645	1	Howard Wang's China Grill
0646	1	Hully & Mo
0647	1	Jack's Burger House
0648	1	Jade Garden Chinese Restaurant
0649	1	Kalachandji's Palace & Restaurant
0650	1	Kenichi
0651	1	Kona Grill
0652	1	Landmark, The
0653	1	Landry's Seafood House
0654	1	Lee Harvey's
0655	1	Libertine Bar
0656	1	Maguire's
0657	1	Mercury Grill
0658	1	Monica's Aca y Alla
0659	1	Neighborhood Services
0660	1	Newport's Seafood
0661	1	Nick & Sam's Grill
0662	1	Nobu Dallas
0663	1	Original Market Diner
0664	1	Outback Steakhouse
0665	1	P.F. Chang's China Bistro
0666	1	Paul's Porterhouse Steak & Seafood
0667	1	Pepe & Mito's Mexican Café
0668	1	Purple Cow Diner
0669	1	Pyramid Restaurant & Bar
0670	1	Rise N° 1
0671	1	Romano's Macaroni Grill
0672	1	Sammy's Bar-B-Q
0673	1	Screen Door
0674	1	Silver Fox Steakhouse
0675	1	Snookie's Bar & Grill
0676	1	Angus Grill Brazilian Steakhouse
0677	1	Antica Osteria
0678	1	Backstreet Café
0679	1	Bistro Lancaster
0680	1	Bistro Le Cep
0681	1	Bistro Provence
0682	1	Blue Fish House
0683	1	Bombay Brasserie
0684	1	Brady's Landing Restaurant
0685	1	Brasserie Max & Julie
0686	1	Brennan's
0687	1	Brisa Cocina Mexicana
0688	1	Café Caspian
0689	1	Cantina Laredo
0690	1	Capital Grille, The
0691	1	Cava Bistro
0692	1	China Garden
0693	1	Christie's Seafood & Steaks Restaurant
0694	1	Chuy's
0695	1	Ciao Bello
0696	1	Cova
0697	1	Cyclone Anaya's
0698	1	Daily Grill
0699	1	Daily Review Café
0700	1	Dessert Gallery Bakery & Café
0701	1	Dharma Café
0702	1	Eatzi's
0703	1	El Imperial Mexican Restaurant
0704	1	Field of Greens
0705	1	Fish, The
0706	1	Gigi's Asian Bistro & Dumpling Bar
0707	1	Hobbit Cafe
0708	1	Indika
0709	1	J Alexander's Houston
0710	1	Katz's Deli
0711	1	Kenny & Ziggy's New York Delicatessen
0712	1	Kona Grill
0713	1	Korea Garden Grille
0714	1	Laurier Café & Wine
0715	1	Little Bigs
0716	1	LITTLE BITTY BURGER BARN
0717	1	Luling City Market
0718	1	Lyndon's Pit Bar-B-Q
0719	1	Lynn's Steakhouse
0720	1	Magnolia Bar & Grill
0721	1	Mai's Restaurant
0722	1	Mary'z Mediterranean Cuisine
0723	1	Massa's Restaurant
0724	1	Michelangelo's
0725	1	Mingalone Italian Bar & Grill
0726	1	Mission Burritos
0727	1	Nelore Churrascaria
0728	1	New York Pizzeria
0729	1	Nielsen's Delicatessen
0730	1	Noé
0731	1	One's A Meal
0732	1	Papa Joe's Bbq
0733	1	Pasha
0734	1	Patrenella's
0735	1	Perry's Steakhouse & Grille
0736	1	Pronto Cucinino
0737	1	Quattro
0738	1	Rattan Pan-Asian Bistro
0739	1	Remington, The
0740	1	Ruchi's Taqueria
0741	1	Saltgrass Steak House
0742	1	Sambuca
0743	1	Sasaki
0744	1	Segari's
0745	1	'Wichcraft
0746	1	America
0747	1	American Food Factory
0748	1	Bamboo Bistro
0749	1	Bay Side Buffet
0750	1	Benihana
0751	1	Buca di Beppo
0752	1	Burger Bar
0753	1	Cafe Martorano
0754	1	Carrabba's Italian Grill
0755	1	Casa Don Juan
0756	1	Chart House
0757	1	Chili's Grill & Bar
0758	1	China Grill
0759	1	Circo
0760	1	Dal Toro
0761	1	Del Frisco's Double Eagle Steak House
0762	1	Delmonico Steakhouse
0763	1	Egg & I
0764	1	Eiffel Tower
0765	1	Enoteca San Marco
0766	1	Feast, The
0767	1	Fleming's Prime Steakhouse & Wine Bar
0768	1	French Market Buffet
0769	1	Garduño's
0770	1	Gina's Bistro
0771	1	Goat Post Tropical Grill
0772	1	Gordon Biersch
0773	1	Grape Street Café
0774	1	HASH HOUSE
0775	1	Hash House A Go Go
0776	1	Hugo's Cellar
0777	1	Hyakumi
0778	1	Isla
0779	1	Japonais
0780	1	Jimmy Buffett's Margaritaville
0781	1	John Cutter
0782	1	Julian Serrano
0783	1	Kabuki
0784	1	Khotan
0785	1	Kobe Sushi Biestro
0786	1	Koi
0787	1	La Focaccia
0788	1	Lawry's The Prime Rib
0789	1	Le Village Buffet
0790	1	Lemongrass
0791	1	Lorenzo's Italian Bistro
0792	1	Makino
0793	1	Market Grille Cafe
0794	1	Memphis Championship Barbecue
0795	1	Metro Pizza
0796	1	Morton's The Steakhouse
0797	1	Naked Fish's
0798	1	Nine Fine Irishmen
0799	1	Nobu
0800	1	Noodle Shop
0801	1	Nove Italiano
0802	1	Omelet House
0803	1	Pasta Mia West
0804	1	Peppermill
0805	1	Picasso
0806	1	Pie Town Pizza
0807	1	Pink's Hot Dogs
0808	1	Pinot Brasserie
0809	1	Ra Sushi
0810	1	Raku
0811	1	Rare 120°
0812	1	Romano's Macaroni Grill
0813	1	Rosemary's
0814	1	Roy's
0815	1	Sam Woo BBQ
0816	1	Samosa Factory
0817	1	Shanghai Lilly
0818	1	21 Main
0819	1	42 Woodcleft
0820	1	7 Eleven Food Stores
0821	1	Aki Japanese Cuisine
0822	1	Alias Smith & Jones Restrnt
0823	1	Allison's Amalfi Risorante
0824	1	Amarelle
0825	1	American Roadside Burgers
0826	1	Anna's Pizza of E Northport
0827	1	Anthony's Pizzeria & Cafe
0828	1	Antonette's
0829	1	Aqua Blue Restaurant & Bar
0830	1	Argyle Grill & Tavern
0831	1	Armadillo Grille
0832	1	Athena Greek Restrnt
0833	1	B.K. Sweeney's Uptown Grille
0834	1	Babette's
0835	1	Baja Fresh Mexican Grill
0836	1	Baldwin Coach Diner
0837	1	Bamboo Restaurant & Sushi Lounge
0838	1	Before the Bridge Restaurant
0839	1	Bellcrest Kosher Deli & Restaurant
0840	1	Bellport, The
0841	1	Bennett's Sushi Lounge
0842	1	Big Bear Pizzelli
0843	1	Bigelow's
0844	1	Blackbirds' Grille
0845	1	Blond
0846	1	Blue Angel Diner
0847	1	Blue Moon
0848	1	Boccacini's
0849	1	Borrelli's Italian Restaurant Cafe & Pizzeria
0850	1	Branchinelli's
0851	1	Brian Scotts
0852	1	Bridgehampton Candy Kitchen
0853	1	Broadway Beanery
0854	1	Brook House
0855	1	Bruce's Restrnt & Bakery
0856	1	Buckram Stables Cafe
0857	1	Buoy One
0858	1	Cafe Dolce Vita
0859	1	Caffe Barocco
0860	1	Campari
0861	1	Cannon's Black Thorn
0862	1	Capriccio Family Style Restaurant
0863	1	Carousel
0864	1	Carrabba's Italian Grill
0865	1	Casa Luis
0866	1	Center Coffee Shop
0867	1	Cheeburger Cheeburger
0868	1	Chez Kama
0869	1	Chicken Coupe the
0870	1	Chipotle
0871	1	Cho-Sen Island
0872	1	Chop Shop
0873	1	Christopher's Pizzeria Italian Restaurant
0874	1	Ciao Bella
0875	1	Cinelli's Trattoria & Grill
0876	1	Cirella's at Saks Fifth Avenue
0877	1	City Cellar Wine Bar & Grill
0878	1	Claudio's
0879	1	Coach Grill & Tavern
0880	1	Da Nicola Restaurant
0881	1	Dee Angelo's Pleasant Ave. Café
0882	1	Deli King
0883	1	Demi's Place
0884	1	Denny's
0885	1	Dick & Dora's Restaurant
0886	1	Dish
0887	1	Diya
0888	1	Dodici
0889	1	Dominos Pizza
0890	1	Don Ricardo's Restrnt
0891	1	Driver's Seat
0892	1	E. B. Elliot’s
0893	1	Elaine's Asian Bistro & Grill
0894	1	Elicious Ice Cream
0895	1	Ephesus Med Cuisine
0896	1	Epiphany
0897	1	F.H. Riley's
0898	1	Famous Dave's
0899	1	Fax-Chix
0900	1	Fishbar on the Lake
0901	1	Fortune Wheel
0902	1	Franina Ristorante
0903	1	Funcho's Fajita Grill
0904	1	Gallo Tropical of Patchogue
0905	1	Gino's Pizza
0906	1	Ginos Pizzeria
0907	1	Good Taste Buffet Inc
0908	1	Graffiti
0909	1	Grill Point
0910	1	Grill Room
0911	1	Ground Round
0912	1	H.R. Singleton's
0913	1	Hana Japanese Restrnt
0914	1	Harbor Crab
0915	1	Harbor-Q
0916	1	House of Dosas
0917	1	Hudson & McCoy
0918	1	Il Mulino New York
0919	1	Il Villagio Trattoria
0920	1	Inatome Japanese Steak House & Seafood
0921	1	Indian Taj
0922	1	Ivy Cottage
0923	1	Jeff's Seafood & Galley
0924	1	Kawasaki Japanese Steakhouse
0925	1	Kitchen A Trattoria
0926	1	Kotobuki
0927	1	Kumo Sushi
0928	1	La Focaccia
0929	1	La Nonna Bella Ristorante
0930	1	La Panchita
0931	1	La Piazza
0932	1	La Piccola Liguria
0933	1	La Scala Restnt & Pizzeria
0934	1	Lawan Authentic Thai Rstrnt
0935	1	Lawson Delicatessen
0936	1	Lia's Pizza
0937	1	Lighthouse Restrnt Diner
0938	1	Lily Flanagans Pub
0939	1	Los Compadres
0940	1	Love Lane Kitchen
0941	1	Luso
0942	1	Mangia Bene Restaurante and Pizzeria
0943	1	Mangoes Cafe Inc
0944	1	Manhasset Delicatessen
0945	1	Marsala Pizzeria Restaurant
0946	1	Maxxels
0947	1	McQuades
0948	1	Medford Pastaria
0949	1	Mercato Kitchen & Cocktails
0950	1	Meritage
