restaurant	tripadvisor	cuisine
0287	1	Cuisines: American
0288	0	<NULL>
0289	1	Cuisines: Barbecue
0290	1	Cuisines: Steakhouse
0291	1	Cuisines: Barbecue
0292	1	Cuisines: French, Continental
0293	1	Cuisines: Bakery
0294	0	<NULL>
0295	1	Cuisines: American
0296	1	Cuisines: American
0297	1	Cuisines: Thai, Chinese, Cambodian, Vietnamese, Asian
0298	1	Cuisines: Mexican
0299	1	Cuisines: Continental, American
0300	1	Cuisines: Italian
0301	1	Cuisines: Italian
0302	1	Cuisines: American, Bar, Eclectic
0303	1	Cuisines: Eclectic
0304	1	Cuisines: American, Bagels, Bakery, Café, Coffee Shop, Diner, Sandwiches
0305	1	Cuisines: Chinese
0306	1	Cuisines: Pizza
0307	1	Cuisines: Hamburgers, American, Seafood
0308	1	Cuisines: Thai
0309	1	Cuisines: Italian
0310	0	<NULL>
0311	1	Cuisines: Italian
0312	1	Cuisines: Italian
0313	0	<NULL>
0314	0	<NULL>
0315	1	Cuisines: Thai
0316	1	Cuisines: Italian
0317	1	Cuisines: Thai, Asian
0318	1	Cuisines: Greek
0319	1	Cuisines: Japanese
0320	1	Cuisines: Hamburgers, American
0321	0	<NULL>
0322	1	Cuisines: Asian
0323	1	Cuisines: Bakery, Californian, Italian, Pizza
0324	1	Cuisines: Italian
0325	1	Cuisines: Italian
0326	1	Cuisines: Mexican
0327	1	Cuisines: Pizza, Italian
0328	1	Cuisines: Italian, Californian
0329	1	Cuisines: Asian, Burmese
0330	1	Cuisines: Pizza
0331	1	Cuisines: Mexican
0332	1	Cuisines: Jamaican
0333	1	Cuisines: Asian fusion, Healthy
0334	1	Cuisines: Mexican
0335	1	Cuisines: Barbecue
0336	1	Cuisines: Chinese, Dim Sum
0337	1	Cuisines: Sandwiches
0338	1	Cuisines: Italian
0339	1	Cuisines: Bakery
0340	1	Cuisines: French
0341	1	Cuisines: Pizza
0342	1	Cuisines: American
0343	1	Cuisines: Pizza
0344	1	Cuisines: Pub
0345	1	Cuisines: American, Barbecue, Mexican, Southwestern
0346	1	Cuisines: Italian
0347	0	<NULL>
0348	1	Cuisines: American, Continental
0349	1	Cuisines: American, Italian, Seafood
0350	1	Cuisines: American, Seafood
0351	1	Cuisines: Italian, Pizza
0352	1	Cuisines: American, Asian, Contemporary, Seafood, Vegetarian
0353	1	Cuisines: Ethiopian, African
0354	1	Cuisines: Coffee Shop
0355	1	Cuisines: American, British, Irish
0356	1	Cuisines: Pizza, Italian
0357	1	Cuisines: American, Mediterranean
0358	1	Cuisines: American, Dessert, Italian
0359	1	Cuisines: American, Seafood
0360	1	Cuisines: American, Barbecue, Diner
0361	1	Cuisines: Fast Food, Delicatessen, Bagels
0362	0	<NULL>
0363	1	Cuisines: Italian, Pizza
0364	1	Cuisines: American, Mexican, Pizza, Sandwiches, South American, Steakhouse
0365	1	Cuisines: Italian
0366	1	Cuisines: Tapas, Organic
0367	1	Cuisines: Sushi, Japanese
0368	1	Cuisines: French
0369	1	Cuisines: Chinese
0370	1	Cuisines: Barbecue
0371	0	<NULL>
0372	0	<NULL>
0373	1	Cuisines: Delicatessen
0374	1	Cuisines: Pizza
0375	1	Cuisines: British
0376	1	Cuisines: Japanese
0377	0	<NULL>
0378	0	<NULL>
0379	0	<NULL>
0380	1	Cuisines: Pizza, Greek
0381	1	Cuisines: Chinese
0382	1	Cuisines: Kosher
0383	0	<NULL>
0384	1	Cuisines: Bakery
0385	1	Cuisines: Chicken Wings
0386	1	Cuisines: American, Continental
0387	1	Cuisines: Japanese
0388	1	Cuisines: Steakhouse
0389	1	Cuisines: American
0390	1	Cuisines: Ice Cream, Dessert
0391	1	Cuisines: Fusion, Sushi
0392	1	Cuisines: Pizza
0393	1	Cuisines: Seafood
0394	1	Cuisines: American, Seafood
0395	1	Cuisines: American, Seafood
0396	1	Cuisines: Japanese
0397	1	Cuisines: Thai, Vietnamese
0398	1	Cuisines: Japanese
0399	1	Cuisines: Mexican, Fast Food
0400	1	Cuisines: Japanese
0401	1	Cuisines: Steakhouse
0402	1	Cuisines: Chinese
0403	1	Cuisines: American
0404	1	Cuisines: American
0405	1	Cuisines: Seafood, Japanese
0406	1	Cuisines: American
0407	1	Cuisines: Greek, Middle Eastern, Pizza, Vegan, Vegetarian
0408	1	Cuisines: Seafood, American, Bakery, Contemporary, Delicatessen, Eclectic, Greek, International, Japanese, Middle Eastern, Sushi
0409	1	Cuisines: American, Barbecue, Diner, Family Fare
0410	1	Cuisines: Jamaican
0411	1	Cuisines: Hamburgers, Family Fare, American
0412	1	Cuisines: Tapas
0413	1	Cuisines: Italian
0414	1	Cuisines: French
0415	1	Cuisines: Seafood
0416	1	Cuisines: Mexican
0417	0	<NULL>
0418	1	Cuisines: Greek
0419	0	<NULL>
0420	1	Cuisines: Mexican
0421	1	Cuisines: Barbecue, Seafood, American, Steakhouse
0422	1	Cuisines: Seafood, Steakhouse, American
0423	1	Cuisines: American, Contemporary, Mediterranean, Southwestern
0424	1	Cuisines: Asian, Seafood, Dessert, American, Contemporary, Eclectic, International
0425	1	Cuisines: American
0426	1	Cuisines: Cajun & Creole, American
0427	1	Cuisines: Mexican
0428	1	Cuisines: American, Dessert
0429	1	Cuisines: Mexican, American, Vegetarian
0430	1	Cuisines: Fast Food
0431	1	Cuisines: American
0432	1	Cuisines: Italian
0433	0	<NULL>
0434	1	Cuisines: German
0435	0	<NULL>
0436	1	Cuisines: Chinese
0437	1	Cuisines: Japanese
0438	1	Cuisines: American
0439	1	Cuisines: American
0440	1	Cuisines: Mexican
0441	1	Cuisines: American
0442	1	Cuisines: Indian
0443	0	<NULL>
0444	1	Cuisines: European
0445	1	Cuisines: Asian, Mexican, Sushi, Thai
0446	0	<NULL>
0447	0	<NULL>
0448	1	Cuisines: American
0449	0	<NULL>
0450	0	<NULL>
0451	1	Cuisines: Chinese
0452	1	Cuisines: French
0453	1	Cuisines: Thai
0454	1	Cuisines: Italian
0455	0	<NULL>
0456	1	Cuisines: Mexican
0457	1	Cuisines: Italian, Pizza, American, Seafood, Steakhouse
0458	1	Cuisines: Italian, Steakhouse
0459	1	Cuisines: Japanese
0460	1	Cuisines: Hamburgers
0461	1	Cuisines: American, Mediterranean
0462	1	Cuisines: American
0463	0	<NULL>
0464	1	Cuisines: Chinese, Asian
0465	1	Cuisines: Persian
0466	1	Cuisines: Thai
0467	0	<NULL>
0468	1	Cuisines: American
0469	1	Cuisines: French, Dessert
0470	0	<NULL>
0471	1	Cuisines: Italian
0472	1	Cuisines: Pizza
0473	0	<NULL>
0474	1	Cuisines: Thai
0475	1	Cuisines: Contemporary
0476	1	Cuisines: Greek, Turkish
0477	0	<NULL>
0478	1	Cuisines: Asian
0479	0	<NULL>
0480	1	Cuisines: Seafood
0481	1	Cuisines: American, Barbecue
0482	0	<NULL>
0483	1	Cuisines: Italian
0484	0	<NULL>
0485	1	Cuisines: Mexican
0486	0	<NULL>
0487	1	Cuisines: Pizza
0488	1	Cuisines: Asian
0489	1	Cuisines: American, Coffee Shop, Diner
0490	1	Cuisines: Mexican
0491	1	Cuisines: Pizza
0492	1	Cuisines: Mexican
0493	1	Cuisines: Pizza, American, Delicatessen
0494	1	Cuisines: Italian
0495	1	Cuisines: American
0496	1	Cuisines: American, British, Irish
0497	1	Cuisines: American, Contemporary
0498	1	Cuisines: Italian
0499	1	Cuisines: Thai
0500	1	Cuisines: American, Seafood, Steakhouse
0501	1	Cuisines: American
0502	0	<NULL>
0503	1	Cuisines: American
0504	0	<NULL>
0505	1	Cuisines: Japanese
0506	1	Cuisines: Sushi, Asian
0507	1	Cuisines: Italian
0508	0	<NULL>
0509	1	Cuisines: American, Eclectic, International, Seafood, Thai, Vegan, Vegetarian
0510	0	<NULL>
0511	1	Cuisines: Japanese, Sushi
0512	1	Cuisines: American, Dessert, Ice Cream
0513	1	Cuisines: Mexican
0514	1	Cuisines: Mexican
0515	1	Cuisines: American, French
0516	1	Cuisines: Pizza, Pizza & Pasta
0517	1	Cuisines: American
0518	1	Cuisines: Latin, American, Italian, Contemporary, French, Seafood
0519	1	Cuisines: Ethiopian, Vegan, Vegetarian
0520	1	Cuisines: American
0521	1	Cuisines: Coffee Shop, Bakery
0522	1	Cuisines: Asian, Chinese, Japanese, Korean, Pacific Rim
0523	1	Cuisines: Japanese, Sushi
0524	1	Cuisines: American
0525	1	Cuisines: American, Seafood
0526	1	Cuisines: French
0527	1	Cuisines: Seafood
0528	1	Cuisines: Dessert
0529	1	Cuisines: Dessert
0530	1	Cuisines: Japanese, Sushi
0531	0	<NULL>
0532	1	Cuisines: Thai
0533	1	Cuisines: Italian
0534	0	<NULL>
0535	1	Cuisines: Seafood, American, Contemporary, Oyster Bar
0536	1	Cuisines: Colombian, Latin, South American
0537	0	<NULL>
0538	1	Cuisines: American
0539	1	Cuisines: French
0540	1	Cuisines: Bakery, Coffee Shop, Contemporary, Diner
0541	1	Cuisines: Contemporary, French
0542	1	Cuisines: Soups, Bakery, Delicatessen
0543	1	Cuisines: American, Barbecue
0544	1	Cuisines: American, French
0545	1	Cuisines: American, Seafood, Asian
0546	1	Cuisines: Steakhouse, American
0547	1	Cuisines: American, Coffee Shop, Dessert, Diner, Ice Cream
0548	1	Cuisines: Sushi, Japanese
0549	1	Cuisines: American, Mediterranean
0550	1	Cuisines: American, Italian
0551	1	Cuisines: Sushi, Thai
0552	1	Cuisines: American, Eclectic, International
0553	1	Cuisines: Japanese, Sushi
0554	1	Cuisines: American, Steakhouse
0555	1	Cuisines: Asian, Californian
0556	1	Cuisines: Mexican
0557	1	Cuisines: American, Steakhouse
0558	1	Cuisines: Mexican
0559	1	Cuisines: American
0560	1	Cuisines: American, Californian, Contemporary
0561	1	Cuisines: Italian
0562	1	Cuisines: Pizza, Italian
0563	1	Cuisines: American, Californian, Contemporary, Seafood
0564	1	Cuisines: Burmese, Delicatessen
0565	1	Cuisines: American, Seafood
0566	1	Cuisines: Bakery
0567	1	Cuisines: Latin
0568	1	Cuisines: Chinese
0569	1	Cuisines: Coffee Shop
0570	1	Cuisines: Sushi, Japanese
0571	1	Cuisines: American
0572	1	Cuisines: Seafood, Sushi, Japanese
0573	0	<NULL>
0574	1	Cuisines: Seafood
0575	1	Cuisines: Japanese, Sushi
0576	1	Cuisines: Hamburgers
0577	1	Cuisines: American, Mediterranean, Seafood
0578	1	Cuisines: Californian, American
0579	1	Cuisines: Pizza, Italian
0580	1	Cuisines: Italian, Pizza
0581	0	<NULL>
0582	1	Cuisines: Pasta, Pizza, Pizza & Pasta
0583	1	Cuisines: Coffee Shop, Bakery
0584	1	Cuisines: French, Seafood
0585	1	Cuisines: French
0586	1	Cuisines: Italian
0587	1	Cuisines: Mediterranean, Mexican
0588	1	Cuisines: Italian
0589	0	<NULL>
0590	1	Cuisines: Steakhouse
0591	1	Cuisines: American, Delicatessen, Hamburgers
0592	1	Cuisines: Chinese
0593	0	<NULL>
0594	1	Cuisines: Italian
0595	1	Cuisines: Japanese, Sushi
0596	1	Cuisines: American, Californian, Contemporary
0597	1	Cuisines: American, Seafood
0598	1	Cuisines: Mediterranean, Spanish, Tapas, Vegetarian
0599	1	Cuisines: American, Sandwiches
0600	0	<NULL>
0601	1	Cuisines: Fast Food, Hamburgers
0602	1	Cuisines: American
0603	1	Cuisines: Japanese, Sushi
0604	1	Cuisines: Indian, Vegetarian
0605	1	Cuisines: American, Contemporary, Mediterranean, Pacific Rim
0606	1	Cuisines: Chinese, Asian, Vietnamese
0607	1	Cuisines: Hamburgers, American
0608	1	Cuisines: Bakery
0609	1	Cuisines: American, Cajun & Creole, Eclectic, Vegetarian
0610	1	Cuisines: Tapas, Spanish, Latin
0611	1	Cuisines: Japanese, Sushi
0612	1	Cuisines: Italian
0613	1	Cuisines: Italian
0614	0	<NULL>
0615	1	Cuisines: American, Barbecue, Seafood, Steakhouse
0616	0	<NULL>
0617	1	Cuisines: French
0618	0	<NULL>
0619	1	Cuisines: French
0620	1	Cuisines: Mediterranean, Greek, Moroccan, Turkish
0621	1	Cuisines: Barbecue, Italian, Seafood, Steakhouse
0622	1	Cuisines: American
0623	1	Cuisines: American, Californian, Eclectic, International, Tapas
0624	1	Cuisines: Argentinean, Caribbean, Colombian, Cuban, Ecuadorean, Latin, South American
0625	1	Cuisines: Afghan, Indian
0626	1	Cuisines: Seafood
0627	1	Cuisines: American, Cajun & Creole, Continental
0628	1	Cuisines: Seafood, Belgian
0629	1	Cuisines: Asian, French, American, Contemporary, Continental
0630	1	Cuisines: American, Contemporary, French, Japanese, Seafood
0631	1	Cuisines: Spanish, Tapas
0632	1	Cuisines: Thai, Vegetarian, Vietnamese
0633	1	Cuisines: Japanese
0634	1	Cuisines: American, Seafood, Soups
0635	1	Cuisines: American, Barbecue, Seafood, Steakhouse
0636	1	Cuisines: Italian
0637	1	Cuisines: American, Italian
0638	0	<NULL>
0639	1	Cuisines: American, French, Italian, Mediterranean
0640	1	Cuisines: Colombian, Latin, South American, Venezuelan
0641	0	<NULL>
0642	0	<NULL>
0643	1	Cuisines: American, Hawaiian
0644	1	Cuisines: Chinese
0645	1	Cuisines: Chinese
0646	1	Cuisines: Mexican
0647	1	Cuisines: Pizza
0648	0	<NULL>
0649	1	Cuisines: Japanese
0650	1	Cuisines: American
0651	1	Cuisines: Italian
0652	1	Cuisines: Bakery
0653	0	<NULL>
0654	1	Cuisines: Thai
0655	1	Cuisines: American, Bakery, Café
0656	0	<NULL>
0657	1	Cuisines: Wine Bar
0658	1	Cuisines: Pizza, Italian
0659	1	Cuisines: Spanish
0660	1	Cuisines: American
0661	1	Cuisines: British, Irish
0662	1	Cuisines: Seafood, Greek, Mediterranean
0663	1	Cuisines: Ethiopian
0664	1	Cuisines: Japanese, Sushi
0665	1	Cuisines: Mexican
0666	1	Cuisines: French
0667	1	Cuisines: Steakhouse, Sushi, American, Barbecue, Contemporary, Seafood
0668	1	Cuisines: American
0669	1	Cuisines: American
0670	1	Cuisines: Pizza
0671	1	Cuisines: Family Fare, American, Coffee Shop, Delicatessen, Diner
0672	1	Cuisines: Steakhouse, American, Barbecue, Seafood
0673	1	Cuisines: Italian
0674	1	Cuisines: American, Family Fare, Hamburgers
0675	1	Cuisines: Seafood, American, Barbecue, Steakhouse
0676	1	Cuisines: French
0677	1	Cuisines: Mexican
0678	1	Cuisines: American
0679	1	Cuisines: Steakhouse, American
0680	1	Cuisines: American, Vegetarian
0681	1	Cuisines: Seafood, American, French
0682	1	Cuisines: Southwestern, American
0683	1	Cuisines: Greek, Mediterranean
0684	1	Cuisines: Seafood, American, Contemporary, Eclectic, International
0685	1	Cuisines: Japanese, Sushi
0686	1	Cuisines: Sushi, Japanese, Korean, Asian
0687	1	Cuisines: Italian
0688	1	Cuisines: Dessert, Fast Food, American, Delicatessen, Diner
0689	1	Cuisines: Seafood, American, Hamburgers, Steakhouse
0690	1	Cuisines: Mexican
0691	1	Cuisines: Coffee Shop, Dessert, American, Delicatessen
0692	1	Cuisines: Chinese
0693	1	Cuisines: Italian
0694	1	Cuisines: Delicatessen, American, Family Fare
0695	1	Cuisines: French
0696	1	Cuisines: Seafood
0697	1	Cuisines: American
0698	1	Cuisines: Vietnamese
0699	1	Cuisines: American
0700	1	Cuisines: Family Fare, Barbecue, Fast Food, Italian, Pizza
0701	1	Cuisines: Chinese, Vietnamese
0702	1	Cuisines: Caribbean
0703	1	Cuisines: American
0704	1	Cuisines: Italian
0705	0	<NULL>
0706	1	Cuisines: Italian
0707	1	Cuisines: French, American
0708	1	Cuisines: American
0709	1	Cuisines: American
0710	1	Cuisines: Contemporary
0711	0	<NULL>
0712	1	Cuisines: American
0713	1	Cuisines: Coffee Shop, Eclectic, Southwestern
0714	1	Cuisines: Pizza, Bar, Pub, Sandwiches, Seafood, Wine Bar, Hot Dogs, American
0715	0	<NULL>
0716	1	Cuisines: Californian, American, Greek, Coffee Shop, Diner
0717	1	Cuisines: Thai
0718	1	Cuisines: Italian
0719	0	<NULL>
0720	1	Cuisines: Mexican, Pizza, Californian
0721	1	Cuisines: Seafood, Steakhouse
0722	1	Cuisines: American, Seafood
0723	1	Cuisines: Mexican
0724	1	Cuisines: Italian
0725	1	Cuisines: Steakhouse
0726	1	Cuisines: American
0727	1	Cuisines: Japanese
0728	1	Cuisines: Asian, Chinese
0729	1	Cuisines: American, Vegetarian
0730	1	Cuisines: American
0731	1	Cuisines: Thai
0732	1	Cuisines: Mediterranean
0733	1	Cuisines: American
0734	0	<NULL>
0735	0	<NULL>
0736	1	Cuisines: Vegan, Vegetarian
0737	1	Cuisines: Bakery, French
0738	1	Cuisines: Italian
0739	1	Cuisines: Italian
0740	1	Cuisines: American
0741	1	Cuisines: American, Contemporary, European, French
0742	1	Cuisines: Eclectic
0743	1	Cuisines: Pizza, Italian, American, Barbecue, Seafood, Steakhouse
0744	1	Cuisines: Italian
0745	1	Cuisines: American
0746	1	Cuisines: American, Diner
0747	1	Cuisines: American
0748	1	Cuisines: Vegetarian
0749	1	Cuisines: Mediterranean, Tapas
0750	1	Cuisines: American
0751	1	Cuisines: American, Mexican, Southwestern
0752	1	Cuisines: Hamburgers
0753	1	Cuisines: Coffee Shop, Vegetarian
0754	1	Cuisines: Seafood
0755	1	Cuisines: American
0756	1	Cuisines: Chinese, Asian, Family Fare
0757	1	Cuisines: Italian
0758	1	Cuisines: Steakhouse
0759	1	Cuisines: American, Seafood
0760	1	Cuisines: French
0761	1	Cuisines: Bakery, Coffee Shop, Dessert, Diner
0762	1	Cuisines: Pizza
0763	1	Cuisines: Italian, Seafood
0764	1	Cuisines: American
0765	1	Cuisines: Lebanese, Mediterranean
0766	1	Cuisines: French
0767	1	Cuisines: Japanese
0768	1	Cuisines: Asian
0769	0	<NULL>
0770	1	Cuisines: American, Seafood, Steakhouse
0771	1	Cuisines: Sandwiches, Soups, Ice Cream, Delicatessen, Dessert
0772	1	Cuisines: Turkish
0773	1	Cuisines: Indian
0774	1	Cuisines: French
0775	1	Cuisines: Italian
0776	1	Cuisines: American
0777	1	Cuisines: Pizza, Italian
0778	1	Cuisines: American
0779	1	Cuisines: Family Fare
0780	1	Cuisines: American
