restaurant	frommers	cuisine
0422	1	Greek
0423	1	Modern English, Pub Fare
0424	1	Steakhouse
0425	1	Thai
0426	1	Seafood
0427	1	Northwest
0428	1	Northwest
0429	1	Seafood, American
0430	1	Steaks, Seafood
0431	1	Eclectic
0432	1	Seafood
0433	1	Contemporary Bistro
0434	1	Asian, International
0435	1	Barbeque, Pub Fare
0436	1	French Tapas
0437	1	California
0438	1	Italian
0439	1	American, Ice Cream
0440	1	American, Pacific Rim
0441	1	Donuts, Lunch
0442	1	Italian
0443	1	International
0444	1	Seafood
0445	1	Seafood
0446	1	French
0447	1	American
0448	1	Steak, Seafood
0449	1	American
0450	1	BISTRO
0451	1	BREAKFAST
0452	1	Italian
0453	1	Barbeque
0454	1	Seafood
0455	1	Eclectic
0456	1	American
0457	1	Seafood, Steaks, Chops
0458	1	American
0459	1	Caribbean
0460	1	Italian
0461	1	New Orleans
0462	1	African
0463	1	Seafood
0464	1	International
0465	1	Seafood
0466	1	American
0467	1	Seafood
0468	1	Mississippi Delta
0469	1	African
0470	1	Chinese
0471	1	Northern Italian
0472	1	Southern Italian
0473	1	American
0474	1	Japanese
0475	1	Cuban
0476	1	Northern Italian
0477	1	Pacific Rim
0478	1	Thai
0479	1	Tapas, Mediterranean
0480	1	Steaks, Seafood, Chops
0481	1	International
0482	1	Seafood
0483	1	Bakery
0484	1	New American
0485	1	New American
0486	1	Steak, Italian
0487	1	Italian
0488	1	Mexican, Latin American
0489	1	Seafood
0490	1	Italian
0491	1	Northern Italian
0492	1	Asian
0493	1	Mexican
0494	1	Steakhouse
0495	1	Classic French
0496	1	Pizza
0497	1	FRENCH, MEDITERRANEAN
0498	1	Caribbean
0499	1	Seafood
0500	1	Steak, Seafood
0501	1	Seafood
0502	1	Contemporary Global
0503	1	European, Continental
0504	1	Regional American
0505	1	Italian
0506	1	Contemporary, Eclectic
0507	1	American
0508	1	Contemporary American
0509	1	Country French
0510	1	California Grill
0511	1	Southwestern
0512	1	Italian
0513	1	International
0514	1	Seafood, Steak, Greek
0515	1	Diner
0516	1	Upscale Deli
0517	1	American
0518	1	Modern Cuban
0519	1	Contemporary Tapas
0520	1	French
0521	1	Modern Indian
0522	1	Asian Fusion
0523	1	Steak
0524	1	French
0525	1	Traditional American
0526	1	Continental
0527	1	Mexican
0528	1	American Modern
0529	1	Continental
0530	1	International
0531	1	American, Continental
0532	1	Modern American
0533	1	Contemporary American
0534	1	French
0535	1	Mexican
0536	1	American
0537	1	Italian
0538	1	Belgian
0539	1	Japanese, Fusion
0540	1	Indian
0541	1	Italian
0542	1	Modern Italian
0543	1	French
0544	1	Italian
0545	1	Southern Italian
0546	1	American, French
0547	1	Continental
0548	1	Cantonese, Shanghai
0549	1	Mediterranean
0550	1	Steak
0551	1	Italian
0552	1	Italian
0553	1	Vietnamese
0554	1	American, International
0555	1	American
0556	1	American, Eclectic
0557	1	Israeli
0558	1	Mexican
0559	1	American
0560	1	Barbecue
0561	1	MODERN STEAKHOUSE
0562	1	NEW AMERICAN
0563	1	New Mexican
0564	1	Mexican
0565	1	Barbecue
0566	1	AMERICAN
0567	1	Pizza
0568	1	Mexican
0569	1	New American
0570	1	New American
0571	1	Pizza
0572	1	Mexican
0573	1	Bakery, Sandwiches
0574	1	New American
0575	1	Southwest, Eclectic
0576	1	Deli
0577	1	American
0578	1	Sandwiches, Salads
0579	1	Venetian Italian
0580	1	French
0581	1	Southwestern
0582	1	Nuevo Latino
0583	1	Continental, Irish
0584	1	Fusion
0585	1	Seafood
0586	1	Seafood
0587	1	Thai
0588	1	Northwest
0589	1	Breakfast, Lunch
0590	1	Pizza
0591	1	CONTEMPORARY GRILL
0592	1	CHOWDER, SEAFOOD
0593	1	ECLECTIC, NEW AMERICAN
0594	1	Irish
0595	1	ECLECTIC, TAKEOUT
0596	1	Peruvian
0597	1	French
0598	1	French, Italian
0599	1	American, Sandwiches
0600	1	Tex-Mex
0601	1	Chinese
0602	1	Regional Italian
0603	1	Regional Italian, Modern European
0604	1	Mediterranean
0605	1	Seafood
0606	1	Seafood
0607	1	Middle Eastern
0608	1	American
0609	1	Italian
0610	1	Thai
0611	1	Southern
0612	1	Vietnamese
0613	1	Mediterranean, Seafood
0614	1	Spanish
0615	1	Thai
0616	1	Mediterranean
0617	1	Spanish
0618	1	Bistro, Wine Bar
0619	1	Seafood
0620	1	New American, French
0621	1	Tavern Fare
0622	1	Continental
0623	1	Northwest
0624	1	American
0625	1	American, Pub Fare
0626	1	Southwestern, Steakhouse, Seafood
0627	1	Asian
0628	1	Italian
0629	1	American Bistro
0630	1	New American
0631	1	Eclectic
0632	1	Seafood, Barbeque
0633	1	New American
0634	1	Northern Italian
0635	1	Mediterranean Fusion, Italian
0636	1	American
0637	1	Seafood
0638	1	International
0639	1	Seafood
0640	1	Steak, Seafood
0641	1	Seafood
0642	1	International
0643	1	Californian, Asian
0644	1	International
0645	1	Steaks
0646	1	Asian
0647	1	Californian
0648	1	American, International
0649	1	Breakfast, Ice Cream
0650	1	International
0651	1	French
0652	1	Brewpub
0653	1	Thai
0654	1	French
0655	1	American
0656	1	American
0657	1	Eclectic
0658	1	International
0659	1	Northen Italian
0660	1	American
0661	1	Brazilian, International
0662	1	American
0663	1	Southern
0664	1	International
0665	1	American
0666	1	Microwbrewery
0667	1	World Cuisine
0668	1	Mediterranean, New American
0669	1	Steaks, American
0670	1	Italian
0671	1	Soda Fountain, Regional American
0672	1	American
0673	1	New Mexican
0674	1	Bakery, Cafe
0675	1	Seafood, Steak
0676	1	Seafood, Steak
0677	1	Bistro
0678	1	American Grill
0679	1	Mediterranean
0680	1	International
0681	1	Burgers
0682	1	American Regional
0683	1	Bistro French
0684	1	New American
0685	1	Contemporary American
0686	1	American
0687	1	New American
0688	1	Fast Food
0689	1	American, Continental
0690	1	Mexican
0691	1	CONTEMPORARY AMERICAN
0692	1	Mexican
0693	1	Steaks, CHOPS
0694	1	Tex-Mex
0695	1	Steaks, Seafood
0696	1	Mexican
0697	1	Mexican
0698	1	Italian
0699	1	New American
0700	1	American
0701	1	American, Burgers
0702	1	Greek
0703	1	Southwestern
0704	1	American
0705	1	Mexican, Tex-mex
0706	1	New American
0707	1	New American
0708	1	American, Steaks
0709	1	Tex-mex
0710	1	American
0711	1	American, Seafood
0712	1	Tex-mex
0713	1	German, Deli
0714	1	American
0715	1	Breakfast, Light Fare
0716	1	Californian
0717	1	Italian
0718	1	Mexican
0719	1	Mexican
0720	1	Mexican
0721	1	French
0722	1	American
0723	1	Italian
0724	1	Mexican
0725	1	Californian
0726	1	Californian, Italian
0727	1	American
0728	1	Californian
0729	1	Californian, Mediterranean
0730	1	Californian
0731	1	Italian, Mediterranean
0732	1	Asian Fusion, Pacific Rim
0733	1	Sushi
0734	1	American
0735	1	Californian, Seafood
0736	1	Sushi, Seafood
0737	1	French
0738	1	New American
0739	1	Asian, California
0740	1	Moroccan
0741	1	Thai
0742	1	American
0743	1	Italian
0744	1	Spanish, Basque Tapas
0745	1	Chinese
0746	1	Burmese
0747	1	Italian
0748	1	Caribbean
0749	1	American
0750	1	Southern Indian
0751	1	American, Breakfast
0752	1	Italian
0753	1	Steakhouse
0754	1	Seafood
0755	1	Belgian
0756	1	Chinese, Dim Sum
0757	1	Italian, Pizza
0758	1	Japanese
0759	1	Chinese
0760	1	Italian
0761	1	Thai
0762	1	Italian
0763	1	French
0764	1	Italian
0765	1	French
0766	1	Mediterranean
0767	1	Persian, Middle Eastern
0768	1	American
0769	1	Vegan
0770	1	American
0771	1	American
0772	1	Italian, Pizza
0773	1	Italian, Pizza
0774	1	Chinese, Dim Sum
0775	1	American
0776	1	Basque
0777	1	California, French, Mediterranean
0778	1	California
0779	1	Italian
0780	1	French
0781	1	American
0782	1	American
0783	1	Italian
0784	1	American
0785	1	Singaporean
0786	1	Seafood
0787	1	Seafood
0788	1	Japanese, Sushi
0789	1	Chinese
0790	1	American
0791	1	Italian
0792	1	Seafood
0793	1	American Brasserie
0794	1	Eclectic
0795	1	Barbeque
0796	1	American
0797	1	Barbeque
0798	1	Steakhouse, Seafood, Italian
0799	1	American, Seafood
0800	1	American
0801	1	British
0802	1	Seafood
0803	1	American
0804	1	American
0805	1	Seafood
0806	1	American
0807	1	American
0808	1	Seafood, Steak
0809	1	California
0810	1	Provincial Szechuan
0811	1	Crepes, Eclectic
0812	1	French
0813	1	Creative Southwestern, Native American
0814	1	Contemporary Italian, Pizza
0815	1	Creative Southwestern, Mexican
0816	1	Creative Chinese
0817	1	Regional American, Barbecue, Cajun
0818	1	Spanish
0819	1	International
0820	1	Continental
0821	1	Northern Italian
0822	1	Creative Southwestern
0823	1	Mexican, Seafood
0824	1	New American
0825	1	New American, Continental
0826	1	American, Deli, New Mexican/Greek
0827	1	New American, Steak, Seafood
0828	1	Steak, Seafood
0829	1	New American
0830	1	New American
0831	1	New Mexican
0832	1	Northern Italian
0833	1	Pizza, Italian
0834	1	Steaks, Seafood
0835	1	International, American
0836	1	American, Danish
0837	1	International
0838	1	International
0839	1	American, Diner
0840	1	Eclectic
0841	1	Seafood
0842	1	Seafood
0843	1	American, Pub Fare
0844	1	Seafood
0845	1	Italian
0846	1	Amish, American
0847	1	Eclectic
0848	1	Italian
0849	1	Sushi, Japanese
0850	1	International
0851	1	New Southern
0852	1	Cajun, Creole
0853	1	Northern Italian
0854	1	American
0855	1	Thai
0856	1	American, Low Country
0857	1	American
0858	1	Seafood, Southern
0859	1	Modern Southern
0860	1	American
0861	1	American
0862	1	Seafood
0863	1	Seafood
0864	1	Italian
0865	1	Seafood
0866	1	French
0867	1	French
0868	1	Pan-Asian, Northwest
0869	1	Late-Night, Steak
0870	1	Mexican
0871	1	Chinese
0872	1	Japanese
0873	1	Italian
0874	1	Seafood
0875	1	French
0876	1	American
0877	1	American Regional, International
0878	1	Seafood
0879	1	Pan-Asian
0880	1	Northwest, Mediterranean
0881	1	Caribbean
0882	1	Pizza
0883	1	American
0884	1	New American
0885	1	Seafood
0886	1	Northwest
0887	1	Northwest, Vegetarian
0888	1	Japanese
0889	1	Vietnamese
0890	1	Thai
0891	1	American Regional, Late-Night
0892	1	American
0893	1	American, French
0894	1	Italian
0895	1	Pan-Asian
0896	1	Northwest
0897	1	Mexican
0898	1	Southwestern
0899	1	New American, Southwestern
0900	1	New American
0901	1	American
0902	1	Southwestern, International
0903	1	Italian, Deli
0904	1	Contemporary American
0905	1	Cajun
0906	1	Seafood, Steaks, Burgers
0907	1	Eclectic
0908	1	Mexican, Pizza
0909	1	Italian
0910	1	Traditional American
0911	1	New Mexican
0912	1	Pizza, American
0913	1	Eclectic
0914	1	French, International
0915	1	Tuscan
0916	1	Continental, Northern Italian
0917	1	American, Italian
0918	1	Wine Bar
0919	1	Seafood
0920	1	Brew Pub, Pizza
0921	1	American
0922	1	Deli, Gormet Takeout
0923	1	Sandwiches, Salads
0924	1	International
0925	1	International
0926	1	International
0927	1	New American
0928	1	New Mexican
0929	1	STEAK, WILD GAME
0930	1	New American
0931	1	Steaks, Seafood
0932	1	American
0933	1	American
0934	1	Seafood
0935	1	Seafood
0936	1	Seafood, Sushi
0937	1	Seafood, Steaks
0938	1	Seafood, Floribbean
0939	1	Tapas
0940	1	Asian, Middle Eastern, American
0941	1	Southern
0942	1	American
0943	1	ECLECTIC
0944	1	Italian
0945	1	International
0946	1	New American
0947	1	PUB FARE, CONTINENTAL
0948	1	Pub Fare, BREWERY
0949	1	American
0950	1	Seafood
0951	1	American, Florida Regional
0952	1	Continental
0953	1	American
0954	1	Irish, Pub Fare
0955	1	Barbecue
0956	1	Italian
0957	1	Traditional French
0958	1	Steakhouse
0959	1	Spanish
0960	1	Contemporary American
0961	1	Vietnamese
0962	1	Barbecue
0963	1	Cafe, International
0964	1	American, Cafe
0965	1	International, Mediterranean
0966	1	International, New American
0967	1	Mexican
0968	1	French, Spanish Fusion
0969	1	New American
0970	1	New Mexican
0971	1	American, International, Mediterranean/Steak/Seafood
0972	1	Continental, Steak, Seafood
0973	1	Asian
0974	1	American
0975	1	Creative American
0976	1	Mexican
0977	1	Northern Italian
0978	1	New American
0979	1	Contemporary French
0980	1	Contemporary New England
0981	1	Greek, American
0982	1	American
0983	1	Sandwiches
0984	1	Mexican, Italian, American
0985	1	Middle Eastern
0986	1	Sweets, Take Out
0987	1	New Mexican, American
0988	1	Mexican
0989	1	New American, Continental
0990	1	French, American
0991	1	Mexican
0992	1	Seafood
0993	1	Salads, Sandwiches
0994	1	Peruvian, Latin American
0995	1	Sonoran Mexican
0996	1	Steakhouse
0997	1	International
0998	1	Southwestern
0999	1	Seafood
1000	1	French
1001	1	New American
1002	1	Steakhouse, Seafood
1003	1	Nuevo Latino
1004	1	Steakhouse
1005	1	Italian
1006	1	New American
1007	1	Regional American
1008	1	Regional American
1009	1	Italian
1010	1	Northern Italian
1011	1	Mediterranean, Pizza
1012	1	Chinese
1013	1	NEW AMERICAN
1014	1	Country French
1015	1	Mexican
1016	1	Cafe
1017	1	American
1018	1	AMERICAN
1019	1	Pig
1020	1	International
1021	1	American
1022	1	Italian
1023	1	Seafood, Steaks
1024	1	American, Continental
1025	1	Northwest
1026	1	Southern
1027	1	Belgian
1028	1	French Bistro
1029	1	Asian Fusion
1030	1	Italian
1031	1	American
1032	1	Contemporary Latin American
1033	1	Steak
1034	1	American
1035	1	American
1036	1	American
1037	1	American, Southern
1038	1	Ethiopian
1039	1	Burgers
1040	1	Seafood
1041	1	Indian
1042	1	Spanish
1043	1	Seafood
1044	1	Austrian
1045	1	Ethiopian
1046	1	Italian
1047	1	Barbecue
1048	1	New American
1049	1	New American, French
1050	1	Seafood
1051	1	New American
1052	1	Italian
1053	1	Italian
1054	1	Indian
1055	1	American
1056	1	Japanese
1057	1	American
1058	1	American
1059	1	American
1060	1	Asian Fusion, American
1061	1	Northern Italian
1062	1	American, Southern
1063	1	Greek, Turkish, Middle Eastern
1064	1	Latin, Asian Fusion
1065	1	American
1066	1	Sweets
1067	1	French, Regional, Eclectic
1068	1	French, American
1069	1	Continental, Cajun
1070	1	Seafood
1071	1	French, American
1072	1	Early American
1073	1	Creative American
1074	1	Traditional Southern
1075	1	Barbecue
1076	1	Colonial
1077	1	Deli
1078	1	Seafood
1079	1	Seafood
1080	1	American
1081	1	American
1082	1	Southern, International
1083	1	American, Seafood
1084	1	Mediterranean
1085	1	Diner
1086	1	Pub Fare
1087	1	Eclectic
1088	1	New American, Southwestern
1089	1	American, Continental
1090	1	Continental
1091	1	Contemporary American
1092	1	New American, Steak
1093	1	NEW AMERICAN
1094	1	Northwest
1095	1	American
1096	1	New American
1097	1	Seafood
1098	1	American, Northwest
1099	1	NORTHWEST
1100	1	Italian
1101	1	Northwest
1102	1	Italian
1103	1	Italian, Continental
1104	1	American, Native American
1105	1	Northwest, Italian
1106	1	New England
1107	1	Mediterranean
1108	1	American
1109	1	International
1110	1	Breakfast, Sandwiches, Salads
1111	1	Mediterranean, Northwest
1112	1	American, Seafood
1113	1	Eclectic
1114	1	Diner
1115	1	Island Cuisine
1116	1	French-Vietnamese, Sandwiches & Bakery
1117	1	Casual Gourmet
1118	1	Mediterranean, Italian
1119	1	Hawaii Regional
1120	1	French-Asian
1121	1	Seafood, Steak
1122	1	Pacific Rim
1123	1	Pacific Rim, Seafood
1124	1	American
1125	1	Eclectic
1126	1	Mediterranean, Latin American, Island
1127	1	Pacific Rim Fusion, Sushi bar
1128	1	Continental
1129	1	American, Seafood
1130	1	American, Hawaiian
1131	1	Eclectic, Local
1132	1	Mexican
1133	1	Japanese
1134	1	Saimin, Noodles
1135	1	Sushi
1136	1	American, Buffet
1137	1	Steak, Seafood
1138	1	Steak, Seafood
1139	1	Eclectic
1140	1	International
1141	1	American
1142	1	Mexican
1143	1	Seafood, International
1144	1	Seafood
1145	1	Burgers, Sandwiches
1146	1	Soda Fountain
1147	1	American, Seafood
1148	1	Pizza
1149	1	American
1150	1	American, Hawaiian
1151	1	Steak, Seafood
1152	1	Continental, Pacific Rim
1153	1	American
1154	1	American
1155	1	American
1156	1	Coffeehouse
1157	1	Steak, Seafood
1158	1	American
1159	1	Mediterranean, Southern Italian
1160	1	Continental, Pacific Rim, Italian
1161	1	Middle Eastern
1162	1	Mexican
1163	1	American
1164	1	Steak, Seafood
1165	1	Japanese
1166	1	Euro-Asian
1167	1	Shrimp
1168	1	Thai, Vietnamese, Chinese
1169	1	Hawaii Regional
1170	1	Local
1171	1	Thai, American
1172	1	American
1173	1	Eclectic
1174	1	Asian
1175	1	Pizza, Subs
1176	1	Local
1177	1	Coffeehouse
1178	1	Seafood
1179	1	Deli, Bistro
1180	1	Northwest, International
1181	1	AMERICAN, ITALIAN
1182	1	French Bistro
1183	1	American
1184	1	Eclectic Diner
1185	1	Italian
1186	1	DINER
1187	1	New American
1188	1	Ice Cream
1189	1	Ice Cream
1190	1	Fudge
1191	1	Steak, Seafood
1192	1	New American
1193	1	Seafood
1194	1	Deli
1195	1	French, American
1196	1	International
1197	1	International
1198	1	Steak, Seafood
1199	1	American
1200	1	Steak, Seafood
1201	1	Crepes, Mediterranean, Indian
1202	1	American, Mexican
1203	1	Italian
1204	1	Hawaii Regional, Seafood
1205	1	Pacific Rim
1206	1	Seafood, Sushi
1207	1	American, Grill
1208	1	Steaks, Seafood
1209	1	Seafood
1210	1	Italian
1211	1	Eclectic
1212	1	American
1213	1	Seafood
1214	1	Gourmet Deli, Cafe
1215	1	Mexican
1216	1	Local, Euro-Asian
1217	1	Contemporary Pacific Rim
1218	1	Italian, Mediterranean
1219	1	Pizza, Italian
1220	1	Seafood, Hawaiian-Mediterranean
1221	1	Euro-Asian
1222	1	Noodles, Plate Lunches
1223	1	Pacific Rim, Sushi
1224	1	Pizza
1225	1	Hawaiian, California, Pacific Regional
1226	1	American
1227	1	Coffeehouse
1228	1	Polynesian
1229	1	Vegetarian
1230	1	American, Local
1231	1	Coffee Shop
1232	1	Deli
1233	1	French Bistro
1234	1	Regional American
1235	1	Produce
1236	1	Ethnic Eclectic
1237	1	New American
1238	1	Tapas
1239	1	Continental
1240	1	New American
1241	1	New American, French
1242	1	Global Bistro
1243	1	Seafood
1244	1	Seafood
1245	1	American
1246	1	Sandwiches
1247	1	American
1248	1	New American
1249	1	American
1250	1	Sweets
1251	1	American
1252	1	Euro-Island
1253	1	Japanese, Sushi Bar
1254	1	Pizza, Spaghetti
1255	1	Italian
1256	1	Italian
