restaurant	pickarestaurant	address
0112	2	&nbsp;6061 Forest Lane	&nbsp;Dallas, TX 75230
0113	2	&nbsp;2540 Glenda Lane	&nbsp;Dallas, TX 75229
0114	2	&nbsp;6412 Lemmon Avenue	&nbsp;Dallas, TX 75209
0115	2	&nbsp;8625 North Stemmons Freeway	&nbsp;Dallas, TX 75247
0116	2	&nbsp;4330 Lemmon Avenue	&nbsp;Dallas, TX 75219
0117	2	&nbsp;2202 Inwood Road	&nbsp;Dallas, TX 75235
0118	2	&nbsp;8080 North Central Expressway	&nbsp;Dallas, TX 75206
0119	2	&nbsp;325 North Saint Paul Street #P5	&nbsp;Dallas, TX 75201
0120	2	&nbsp;12130 Inwood Road	&nbsp;Dallas, TX 75244
0121	2	&nbsp;1150 Empire Central Place #104	&nbsp;Dallas, TX 75247
0122	2	&nbsp;3424 Sunnyvale Street	&nbsp;Dallas, TX 75216
0123	2	&nbsp;9609 Plano Road	&nbsp;Dallas, TX 75238
0124	2	&nbsp;8092 Ferguson Road	&nbsp;Dallas, TX 75228
0125	2	&nbsp;4801 Belt Line Road	&nbsp;Dallas, TX 75240
0126	2	&nbsp;3128 Forest Lane #320	&nbsp;Dallas, TX 75234
0127	2	&nbsp;10709 Audelia Road	&nbsp;Dallas, TX 75238
0128	2	&nbsp;14114 Dallas Parkway	&nbsp;Dallas, TX 75240
0129	2	&nbsp;3330 Oak Lawn Avenue	&nbsp;Dallas, TX 75219
0130	2	&nbsp;4811 Broadway Street	&nbsp;Dallas, TX 75248
0131	2	&nbsp;234 Casa Linda Plaza	&nbsp;Dallas, TX 75218
0132	2	&nbsp;14152 Marsh Lane	&nbsp;Dallas, TX 75234
0133	2	&nbsp;9341 635 Lbj Freeway	&nbsp;Dallas, TX 75243
0134	2	&nbsp;14902 Preston Road	&nbsp;Dallas, TX 75240
0135	2	&nbsp;12660 Centre F Hawn Freeway	&nbsp;Dallas, TX 75253
0136	2	&nbsp;3610 Belt Line Road	&nbsp;Dallas, TX
0137	2	&nbsp;318 Cadiz Street #244	&nbsp;Dallas, TX 75207
0138	2	&nbsp;5500 Greenville Avenue	&nbsp;Dallas, TX 75206
0139	2	&nbsp;4154 North Central Expressway	&nbsp;Dallas, TX 75204
0140	2	&nbsp;710 Fort Worth Avenue	&nbsp;Dallas, TX 75208
0141	2	&nbsp;5100 Belt Line Road #740	&nbsp;Dallas, TX 75240
0142	2	&nbsp;9480 Webb Chapel Road	&nbsp;Dallas, TX 75220
0143	2	&nbsp;1402 Corinth Street	&nbsp;Dallas, TX 75215
0144	2	&nbsp;2935 Elm Street	&nbsp;Dallas, TX 75226
0145	2	&nbsp;11404 Shiloh Road	&nbsp;Dallas, TX 75228
0146	2	&nbsp;14774 Lasater Road	&nbsp;Dallas, TX 75253
0147	2	&nbsp;9049 Vantage Point Drive	&nbsp;Dallas, TX 75243
0148	2	&nbsp;3721 Forest Lane	&nbsp;Dallas, TX 75244
0149	2	&nbsp;1389 Crampton Street	&nbsp;Dallas, TX 75207
0150	2	&nbsp;2406 North Fitzhugh Avenue	&nbsp;Dallas, TX 75204
0151	2	&nbsp;8111 Manderville Lane #1923	&nbsp;Dallas, TX 75231
0152	2	&nbsp;5012 West Park	&nbsp;Dallas, TX 75093
0153	2	&nbsp;1700 Pacific Avenue	&nbsp;Dallas, TX 75201
0154	2	&nbsp;1900 Pacific Avenue #201	&nbsp;Dallas, TX 75201
0155	2	&nbsp;4615 Greenville Avenue	&nbsp;Dallas, TX 75206
0156	2	&nbsp;1520 Main Street	&nbsp;Dallas, TX 75201
0157	2	&nbsp;2807 Carpenter Avenue	&nbsp;Dallas, TX 75215
0158	2	&nbsp;5100 Belt Line Road #256	&nbsp;Dallas, TX 75240
0159	2	&nbsp;10540 Spangler Road	&nbsp;Dallas, TX
0160	2	&nbsp;2704 Worthington Street	&nbsp;Dallas, TX 75204
0161	2	&nbsp;4400 Belt Line Road	&nbsp;Dallas, TX 75244
0162	2	&nbsp;3810 Inwood Road	&nbsp;Dallas, TX 75209
0163	2	&nbsp;1590 635 Lbj Freeway	&nbsp;Dallas, TX 75234
0164	2	&nbsp;2805 Main Street	&nbsp;Dallas, TX
0165	2	&nbsp;2907 West NW Hwy	&nbsp;Dallas, TX 75220
0166	2	&nbsp;32 Highland Park Village	&nbsp;Dallas, TX 75205
0167	2	&nbsp;2431 Shorecrest Drive	&nbsp;Dallas, TX 75235
0168	2	&nbsp;6090 Campbell Road	&nbsp;Dallas, TX
0169	2	&nbsp;4001 West Wheatland Road	&nbsp;Dallas, TX 75237
0170	2	&nbsp;307 Jefferson Davis Center	&nbsp;Dallas, TX 75211
0171	2	&nbsp;10455 North Central Expressway	&nbsp;Dallas, TX 75231
0172	2	&nbsp;600 North Pearl Street	&nbsp;Dallas, TX 75201
0173	2	&nbsp;6130 Greenville Avenue	&nbsp;Dallas, TX 75206
0174	2	&nbsp;720 East Jefferson Boulevard	&nbsp;Dallas, TX 75203
0175	2	&nbsp;10212 East NW Hwy	&nbsp;Dallas, TX 75238
0176	2	&nbsp;1201 Elm Street #Ll8	&nbsp;Dallas, TX 75270
0177	2	&nbsp;7839 Park Lane	&nbsp;Dallas, TX 75225
0178	2	&nbsp;10649 Harry Hines Boulevard	&nbsp;Dallas, TX 75220
0179	2	&nbsp;436 West Jefferson Boulevard	&nbsp;Dallas, TX 75208
0180	2	&nbsp;4902 East Grand Avenue	&nbsp;Dallas, TX 75223
0181	2	&nbsp;3401 Saint Francis Avenue	&nbsp;Dallas, TX 75228
0182	2	&nbsp;9458 Marsh Lane	&nbsp;Dallas, TX 75220
0183	2	&nbsp;2500 Victory Avenue	&nbsp;Dallas, TX 75219
0184	2	&nbsp;5750 East Lovers Lane	&nbsp;Dallas, TX 75206
0185	2	&nbsp;10428 Lombardy Lane	&nbsp;Dallas, TX 75220
0186	2	&nbsp;723 South Central Expressway	&nbsp;Dallas, TX 75201
0187	2	&nbsp;18349 Dallas Parkway	&nbsp;Dallas, TX 75287
0188	2	&nbsp;3520 Oak Lawn Avenue	&nbsp;Dallas, TX 75219
0189	2	&nbsp;9330 Lbj Freeway	&nbsp;Dallas, TX
0190	2	&nbsp;1607 Regal Row	&nbsp;Dallas, TX 75247
0191	2	&nbsp;2777 North Stemmons Freeway #157	&nbsp;Dallas, TX 75207
0192	2	&nbsp;320 Regal Row #120	&nbsp;Dallas, TX 75247
0193	2	&nbsp;8828 North Stemmons Freeway #141	&nbsp;Dallas, TX 75247
0194	2	&nbsp;4499 Valley View Lane	&nbsp;Dallas, TX 75244
0195	2	&nbsp;436 West Illinois Avenue	&nbsp;Dallas, TX
0196	2	&nbsp;13020 Preston Road	&nbsp;Dallas, TX
0197	2	&nbsp;10853 Harry Hines Boulevard	&nbsp;Dallas, TX 75220
0198	2	&nbsp;2550 River Lane #404	&nbsp;Dallas, TX 75237
0199	2	&nbsp;3431 West Camp Wisdom Road	&nbsp;Dallas, TX
0200	2	&nbsp;127 West Jefferson Boulevard	&nbsp;Dallas, TX 75208
0201	2	&nbsp;11331 East NW Hwy	&nbsp;Dallas, TX
0202	2	&nbsp;6380 Lbj #186	&nbsp;Dallas, TX 75240
0203	2	&nbsp;1310 North Jim Miller Road	&nbsp;Dallas, TX 75217
0204	2	&nbsp;7455 South Westmoreland Road	&nbsp;Dallas, TX 75237
0205	2	&nbsp;3705 West Clarendon Drive	&nbsp;Dallas, TX 75211
0206	2	&nbsp;7324 Gaston Avenue	&nbsp;Dallas, TX 75214
0207	2	&nbsp;8411 Preston Road	&nbsp;Dallas, TX 75225
0208	2	&nbsp;3662 West Camp Wisdom Road #2021	&nbsp;Dallas, TX 75237
0209	2	&nbsp;2409 North Henderson Avenue	&nbsp;Dallas, TX 75206
0210	2	&nbsp;2560 Royal	&nbsp;Dallas, TX 75229
0211	2	&nbsp;5934 Royal Lane #707	&nbsp;Dallas, TX 75230
0212	2	&nbsp;1717 North Akard Street	&nbsp;Dallas, TX 75201
0213	2	&nbsp;500 North Akard Street #220	&nbsp;Dallas, TX 75201
0214	2	&nbsp;4822 Gaston Avenue	&nbsp;Dallas, TX 75246
0215	2	&nbsp;2900 Greenville Avenue	&nbsp;Dallas, TX 75206
0216	2	&nbsp;10825 Composite Drive	&nbsp;Dallas, TX
0217	2	&nbsp;2550 Southwell Road	&nbsp;Dallas, TX 75229
0218	2	&nbsp;5600 West Lovers Lane	&nbsp;Dallas, TX 75209
0219	2	&nbsp;3438 Samuell Boulevard	&nbsp;Dallas, TX
0220	2	&nbsp;18900 Dallas Parkway	&nbsp;Dallas, TX 75287
0221	2	&nbsp;18484 Preston Road	&nbsp;Dallas, TX 75252
0222	2	&nbsp;13350 Dallas Parkway	&nbsp;Dallas, TX 75240
0223	2	&nbsp;5050 Quorum Drive #500	&nbsp;Dallas, TX 75240
0224	2	&nbsp;1530 Main Street #109	&nbsp;Dallas, TX 75201
0225	2	&nbsp;2816 Elm Street	&nbsp;Dallas, TX 75226
0226	2	&nbsp;4141 Matilda Street	&nbsp;Dallas, TX 75206
0227	2	&nbsp;4002 Belt Line Road #100	&nbsp;Dallas, TX 75244
0228	2	&nbsp;5151 Belt Line Road #102	&nbsp;Dallas, TX 75240
0229	2	&nbsp;5920 Belt Line Road	&nbsp;Dallas, TX 75240
0230	2	&nbsp;3217 Villanova Street	&nbsp;Dallas, TX 75225
0231	2	&nbsp;212 Continental Avenue	&nbsp;Dallas, TX 75207
0232	2	&nbsp;2439 West Ledbetter Drive	&nbsp;Dallas, TX 75233
0233	2	&nbsp;3120 West NW Hwy	&nbsp;Dallas, TX 75220
0234	2	&nbsp;3308 West Davis Street	&nbsp;Dallas, TX 75211
0235	2	&nbsp;1924 Greenville Avenue	&nbsp;Dallas, TX 75206
0236	2	&nbsp;9540 Lake June Road	&nbsp;Dallas, TX 75217
0237	2	&nbsp;1623 Main Street	&nbsp;Dallas, TX 75201
0238	2	&nbsp;1917 Greenville Avenue	&nbsp;Dallas, TX 75206
0239	2	&nbsp;2215 Oates Drive #B	&nbsp;Dallas, TX 75228
0240	2	&nbsp;19304 Preston Road	&nbsp;Dallas, TX 75252
0241	2	&nbsp;1907 North Henderson Avenue	&nbsp;Dallas, TX 75206
0242	2	&nbsp;4353 Gannon Lane	&nbsp;Dallas, TX 75237
0243	2	&nbsp;428 South Hampton Road	&nbsp;Dallas, TX 75208
0244	2	&nbsp;2025 South Beckley Avenue	&nbsp;Dallas, TX 75224
0245	2	&nbsp;5100 Belt Line Road #748	&nbsp;Dallas, TX 75240
0246	2	&nbsp;207 West Illinois Avenue	&nbsp;Dallas, TX 75224
0247	2	&nbsp;2107 North Henderson Avenue	&nbsp;Dallas, TX 75206
0248	2	&nbsp;6326 C F Hawn Freeway	&nbsp;Dallas, TX 75217
0249	2	&nbsp;8104 Lake June Road	&nbsp;Dallas, TX 75217
0250	2	&nbsp;7742 Forest Lane	&nbsp;Dallas, TX 75230
0251	2	&nbsp;1475 West Mockingbird Lane	&nbsp;Dallas, TX 75247
0252	2	&nbsp;110 West Davis Street	&nbsp;Dallas, TX 75208
0253	2	&nbsp;600 North Pearl Street	&nbsp;Dallas, TX
0254	2	&nbsp;2906 North Henderson	&nbsp;Dallas, TX 75206
0255	2	&nbsp;941 Central Expy.	&nbsp;Dallas, TX 75201
0256	2	&nbsp;1033 Denton Drive	&nbsp;Dallas, TX 75220
0257	2	&nbsp;9090 Skillman Street	&nbsp;Dallas, TX 75243
0258	2	&nbsp;7807 Lake June Road	&nbsp;Dallas, TX 75217
0259	2	&nbsp;6886 Shadybrook Lane	&nbsp;Dallas, TX 75231
0260	2	&nbsp;642 West Davis Street	&nbsp;Dallas, TX 75208
0261	2	&nbsp;9820 Kingsley Road	&nbsp;Dallas, TX 75238
0262	2	&nbsp;3210 West Illinois Avenue	&nbsp;Dallas, TX 75211
0263	2	&nbsp;12475 East NW Hwy	&nbsp;Dallas, TX 75228
0264	2	&nbsp;10233 East NW Hwy	&nbsp;Dallas, TX 75238
0265	2	&nbsp;8939 Skillman Street	&nbsp;Dallas, TX 75243
0266	2	&nbsp;3699 Mckinney Avenue	&nbsp;Dallas, TX 75204
0267	2	&nbsp;5575 North Jim Miller Road	&nbsp;Dallas, TX 75228
0268	2	&nbsp;8411 Preston Road	&nbsp;Dallas, TX
0269	2	&nbsp;7402 Greenville Avenue #230	&nbsp;Dallas, TX 75231
0270	2	&nbsp;18918 Midway Road	&nbsp;Dallas, TX 75287
0271	2	&nbsp;6971 Arapaho Road	&nbsp;Dallas, TX 75248
0272	2	&nbsp;1607 Main Street	&nbsp;Dallas, TX 75201
0273	2	&nbsp;17194 Preston Road	&nbsp;Dallas, TX 75248
0274	2	&nbsp;11500 Jupiter Road #104	&nbsp;Dallas, TX 75218
0275	2	&nbsp;3320 West Davis Street	&nbsp;Dallas, TX 75211
0276	2	&nbsp;10233 East NW Hwy Suite 502A	&nbsp;Dallas, TX 75238
0277	2	&nbsp;5621 West Lovers Lane	&nbsp;Dallas, TX 75209
0278	2	&nbsp;7324 Gaston Avenue	&nbsp;Dallas, TX 75214
0279	2	&nbsp;3923 Lemmon Avenue	&nbsp;Dallas, TX 75219
0280	2	&nbsp;6090 Campbell Rd., #124	&nbsp;Dallas, TX 75248
0281	2	&nbsp;10207 North Central Expressway	&nbsp;Dallas, TX 75231
0282	2	&nbsp;7879 Spring Valley Road #115	&nbsp;Dallas, TX 75240
0283	2	&nbsp;2018 Greenville Avenue	&nbsp;Dallas, TX 75206
0284	2	&nbsp;10201 Plano Road	&nbsp;Dallas, TX 75238
0285	2	&nbsp;Be-Que - 1807 Gould Street	&nbsp;Dallas, TX
0286	2	&nbsp;2404 North Washington Avenue	&nbsp;Dallas, TX 75204
0287	2	&nbsp;4228 West Camp Wisdom Road	&nbsp;Dallas, TX 75237
0288	2	&nbsp;17390 Preston Road #250	&nbsp;Dallas, TX 75252
0289	2	&nbsp;3423 West Camp Wisdom Road	&nbsp;Dallas, TX 75237
0290	2	&nbsp;4520 Frankford Road	&nbsp;Dallas, TX 75287
0291	2	&nbsp;330 West Davis Street	&nbsp;Dallas, TX 75208
0292	2	&nbsp;7402 Greenville Avenue #102	&nbsp;Dallas, TX 75231
0293	2	&nbsp;16775 Addison Road #133	&nbsp;Dallas, TX 75248
0294	2	&nbsp;4201 Spring Valley Road #100	&nbsp;Dallas, TX 75244
0295	2	&nbsp;1011 South Akard Street	&nbsp;Dallas, TX 75215
0296	2	&nbsp;2715 Elm Street	&nbsp;Dallas, TX 75226
0297	2	&nbsp;1810 Skillman Street	&nbsp;Dallas, TX 75206
0298	2	&nbsp;4434 Main Street	&nbsp;Dallas, TX 75226
0299	2	&nbsp;13350 Dallas Parkway Suite 3600	&nbsp;Dallas, TX 75240
0300	2	&nbsp;7522 Campbell Road Suite 106	&nbsp;Dallas, TX 75248
0301	2	&nbsp;19251 Preston Road	&nbsp;Dallas, TX 75252
0302	2	&nbsp;1009 Northpark Center	&nbsp;Dallas, TX 75225
0303	2	&nbsp;17390 Preston Road, #263	&nbsp;Dallas, TX TX
0304	2	&nbsp;The Westin Galleria	&nbsp;Dallas, TX 75240
0305	2	&nbsp;111 South Hall Street	&nbsp;Dallas, TX 75226
0306	2	&nbsp;208 Valley View Mall	&nbsp;Dallas, TX 75240
0307	2	&nbsp;3128 Forest Lane	&nbsp;Dallas, TX 75234
0308	2	&nbsp;325 Centre Street	&nbsp;Dallas, TX 75208
0309	2	&nbsp;400 West Davis Street	&nbsp;Dallas, TX 75208
0310	2	&nbsp;3699 Mckinney Avenue	&nbsp;Dallas, TX 75204
0311	2	&nbsp;4446 Lovers Lane	&nbsp;Dallas, TX 75225
0312	2	&nbsp;8420 Preston Center Plaza Drive	&nbsp;Dallas, TX
0313	2	&nbsp;10260 Ferguson Road	&nbsp;Dallas, TX 75228
0314	2	&nbsp;2425 West Kiest Boulevard	&nbsp;Dallas, TX 75233
0315	2	&nbsp;1528 Conner Drive	&nbsp;Dallas, TX 75217
0316	2	&nbsp;3130 Lemmon Avenue	&nbsp;Dallas, TX 75204
0317	2	&nbsp;10645 Ferguson Road	&nbsp;Dallas, TX 75228
0318	2	&nbsp;8424 Park Lane	&nbsp;Dallas, TX 75231
0319	2	&nbsp;10864 Audelia Road #9464	&nbsp;Dallas, TX 75238
0320	2	&nbsp;2931 Commerce Street	&nbsp;Dallas, TX 75226
0321	2	&nbsp;Any Place	&nbsp;Dallas, TX
0322	2	&nbsp;4140 Lemmon Ave., #134	&nbsp;Dallas, TX 75219
0323	2	&nbsp;5100 Belt Line Road #900	&nbsp;Dallas, TX 75240
0324	2	&nbsp;6826 Greenville	&nbsp;Dallas, TX 75231
0325	2	&nbsp;2800 Routh St., #165	&nbsp;Dallas, TX 75201
0326	2	&nbsp;2612 Commerce	&nbsp;Dallas, TX 75226
0327	2	&nbsp;Terminal A Gate 21	&nbsp;Dallas, TX 75261
0328	2	&nbsp;2900 Walnut Hill Lane	&nbsp;Dallas, TX 75229
0329	2	&nbsp;2900 Walnut Hill Lane #314	&nbsp;Dallas, TX 75229
0330	2	&nbsp;7709 Inwood	&nbsp;Dallas, TX 75209
0331	2	&nbsp;2470 Walnut Hill Lane	&nbsp;Dallas, TX 75229
0332	2	&nbsp;9090 Skillman Street	&nbsp;Dallas, TX 75243
0333	2	&nbsp;2995 L B J Freeway	&nbsp;Dallas, TX
0334	2	&nbsp;12835 Preston Road	&nbsp;Dallas, TX 75230
0335	2	&nbsp;14941 Midway Road	&nbsp;Dallas, TX 75244
0336	2	&nbsp;700 North Pearl Street #G146	&nbsp;Dallas, TX 75201
0337	2	&nbsp;2625 Floyd Street	&nbsp;Dallas, TX 75204
0338	2	&nbsp;13340 Dallas Pky	&nbsp;Dallas, TX
0339	2	&nbsp;3030 635 Lbj Freeway	&nbsp;Dallas, TX 75234
0340	2	&nbsp;2829 West NW Hwy	&nbsp;Dallas, TX 75220
0341	2	&nbsp;300 Crescent Court #350	&nbsp;Dallas, TX 75201
0342	2	&nbsp;5501 635 Lbj Freeway	&nbsp;Dallas, TX 75240
0343	2	&nbsp;2120 North Saint Augustine Drive	&nbsp;Dallas, TX 75227
0344	2	&nbsp;3227 Mckinney Avenue	&nbsp;Dallas, TX 75204
0345	2	&nbsp;3317 South Oakland Avenue	&nbsp;Dallas, TX 75215
0346	2	&nbsp;4302 Bryan Street	&nbsp;Dallas, TX 75204
0347	2	&nbsp;6522 East NW Hwy	&nbsp;Dallas, TX 75231
0348	2	&nbsp;10342 Ferguson Road	&nbsp;Dallas, TX 75228
0349	2	&nbsp;3662 West Camp Wisdom Road	&nbsp;Dallas, TX 75237
0350	2	&nbsp;2946 West NW Hwy	&nbsp;Dallas, TX 75220
0351	2	&nbsp;5528 Alpha Road	&nbsp;Dallas, TX 75240
0352	2	&nbsp;3519 Greenville Avenue	&nbsp;Dallas, TX 75206
0353	2	&nbsp;1820 West Mockingbird Lane	&nbsp;Dallas, TX 75235
0354	2	&nbsp;13031 Coit Road	&nbsp;Dallas, TX 75240
