restaurant	usdiners	name
0212	1	Baba's
0213	1	Babil Kabob House
0214	1	Babylon
0215	1	Baja Fresh Mexican Grill
0216	1	Barnaby's South Bend
0217	1	Barley's Brewhaus
0218	1	Barley's Brewhaus
0219	1	Baskin-Robbins
0220	1	Baskin-Robbins
0221	1	Beijing Bistro
0222	1	Bluegrass Brewing Company
0223	1	Barleycorn's
0224	1	Bacco Restaurant
0225	1	Back Yard Burgers
0226	1	B. Good
0227	1	Bacco
0228	1	Bahama Breeze
0229	1	Bailey's Pub & Grille
0230	1	B & B Liquor Store & Sub Shop
0231	1	B D's Mongolian Barbeque
0232	1	B D's Mongolian Barbeque
0233	1	Baja Sol Tortilla Grill
0234	1	B.T. Bones
0235	1	Back Yard Burgers
0236	1	Back Yard Burgers
0237	1	Baskin-Robbins
0238	1	Bert & Ernie's Catering
0239	1	Bajio Mexican Grill
0240	1	Burger King
0241	1	Baskin-Robbins
0242	1	Baskin-Robbins
0243	1	B&B Cafe and Grill
0244	1	Baskin-Robbins
0245	1	Bertucci's
0246	1	Bickford's of New England
0247	1	Bacari Grill
0248	1	Bagel Smashery
0249	1	Banana Leaf Asian Cuisine
0250	1	Blimpie Subs & Sandwiches
0251	1	Blue Corn Cafe & Brewery
0252	1	Bertha Miranda's Mexican Rstnt
0253	1	Bighorn Bar and Grill
0254	1	Butterfields Restaurant
0255	1	B C Restaurant
0256	1	B Cup
0257	1	Betty's Fine Food and Spirits
0258	1	Bailey's Pizza and Chicken
0259	1	Bailey's Pub & Grille
0260	1	Bourbon Street Cafe
0261	1	Bourbon Street Cafe
0262	1	Back Yard Burgers
0263	1	Bad Brad's B-B-Q
0264	1	Baja Fresh Mexican Grill
0265	1	Baja Fresh Mexican Grill
0266	1	Baja Fresh Mexican Grill
0267	1	Baja Fresh Mexican Grill
0268	1	Billy's Troy Hill Bistro
0269	1	Baby Face's
0270	1	Baskin-Robbins
0271	1	Becky's Real B.B.Q.
0272	1	Blue Grotto
0273	1	Baan Sawan Thai Bistro
0274	1	Back Yard Burgers
0275	1	Bailey's Sports Grille
0276	1	Black Hills Bagels
0277	1	Breadsmith
0278	1	Buffalo Wild Wings Grill & Bar
0279	1	B B Codys Back at the Ranch
0280	1	B-S Cafe
0281	1	Beef O'brady's
0282	1	Bombay Brasserie
0283	1	B & D Burgers
0284	1	Bad Ass Coffee Co.
0285	1	Baja Cantina
0286	1	Bajio
0287	1	Bove's Restaurant
0288	1	Bistro Europa
0289	1	Baja Fresh Mexican Grill
0290	1	Benihana
0291	1	Backstreet Cafe
0292	1	Badger Bowl
0293	1	Bamboo House
0294	1	Boston Beanery Restaurant
0295	1	Bob Evans Restaurant
0296	1	Buffalo Wild Wings
0297	1	Big City Burrito
0298	1	Billy's Giant Hamburgers
0299	1	B-Q Corral
0300	1	Chuck E. Cheese's
0301	1	Cafe Palm Breeze
0302	1	Canteen
0303	1	Carol's Main Street Cafe
0304	1	Cafe Blue
0305	1	Cellar the Cuisine Francaise
0306	1	Centro Cocina Mexicana
0307	1	Cole Valley Cafe
0308	1	C O Jones Mexican
0309	1	Cafe Allegre
0310	1	Cafe Madrid
0311	1	Caffe Bottega
0312	1	Cactus Cantina
0313	1	Celsius Restaurant
0314	1	Cafe L' Europe
0315	1	Courtney's Continental Cuisine
0316	1	Coco Loco Cuban & Caribbean
0317	1	Cactus Jacks Mexican Grill & Cantina
0318	1	Cafe Hanalei
0319	1	Cold Stone Creamery
0320	1	Coconuts Island Style Grill & Bar
0321	1	Cafe Ole Restaurant & Cantina
0322	1	Calle Verde Taqueria
0323	1	Carl's Jr.
0324	1	C & G Restaurant
0325	1	C. W. Napkin
0326	1	Cafe Django
0327	1	Carino's Italian Grill
0328	1	Camille's Sidwalk Cafe
0329	1	Carino's Italian Grill
0330	1	Cafe Killmanjaro
0331	1	California Pizza Kitchen
0332	1	Captain D's Seafood
0333	1	Cafe Americain
0334	1	Cafe Beignet
0335	1	Cafe D'cappuccino
0336	1	Cafe Degas
0337	1	Chef Chow's House
0338	1	Cactus Club Restaurant & Bar
0339	1	Café Polonia
0340	1	Cacique
0341	1	Cafe Deluxe
0342	1	Cafe Hon
0343	1	Cafe Manet
0344	1	Cafe Normandie Restaurant
0345	1	Cafe Miranda
0346	1	Caiola's Restaurant
0347	1	Camden Deli
0348	1	Captain Mike's
0349	1	Ch Lang Mai Thai Restaurant
0350	1	Cheung Lee Express
0351	1	Cafe Presto
0352	1	Cafe Apanaire
0353	1	Captain D's Seafood
0354	1	Captain's Catch
0355	1	Checkers Drive-in Restaurant
0356	1	Cracker Barrel Old Country Store
0357	1	Cafe on the Square
0358	1	Cafe Pasta
0359	1	Carino's Italian Grill
0360	1	Carrabba's
0361	1	Cascio's Steak House
0362	1	Carrabba's
0363	1	Chick-Fil-A
0364	1	Cacia's Bakery
0365	1	Cafe Arabica
0366	1	Carl's Jr.
0367	1	Cattlemen's Steak House
0368	1	China Diner
0369	1	Cafe Ba Ba Reeba!
0370	1	Captain Tony's Pizza & Pasta
0371	1	Cabana Jacks
0372	1	Cabin
0373	1	Cafe Bargoos
0374	1	Carino's Italian Grill
0375	1	Cafe Allegro
0376	1	Cafe Du Berry
0377	1	Cafe Soriah
0378	1	City Grange
0379	1	C J Mc Gee's
0380	1	Café Estelle
0381	1	Cafe Nuovo
0382	1	Camille's Roman Garden
0383	1	Capital Grille
0384	1	Carrabba's
0385	1	Carlos Cafe Cuban Restaurant
0386	1	Cafe & Then Some
0387	1	Carino's Italian Grill
0388	1	Cold Stone Creamery
0389	1	Cafe Miaroma
0390	1	Crapitto's
0391	1	Cadillac Mexican Restaurant
0392	1	Corner Cafe
0393	1	Cafe El Lago
0394	1	Cafe Rio
0395	1	Cafe Rio
0396	1	Cactus Pete's
0397	1	Crocs
0398	1	Cafe Flora
0399	1	C'est Si Bon
0400	1	Cactus Restaurant
0401	1	Carnevor
0402	1	Cafe El Sol
0403	1	Daruma
0404	1	Dash Deli
0405	1	Deano's Breaktime
0406	1	Del Ranch Bar and Grill
0407	1	D'vine Wine Bar
0408	1	Daphne's Greek Cafe
0409	1	Daphne's Greek Cafe
0410	1	Deemo's American Grill
0411	1	Da Lian Restaurant
0412	1	Da Vinci Ristorante
0413	1	Dad's Hot Dogs
0414	1	Dagabi
0415	1	Daphne's Greek Cafe
0416	1	Darcy's Bistro
0417	1	Dark Horse
0418	1	Dakota's
0419	1	Dish + Drinks
0420	1	Del Merei Grill
0421	1	Delhi Club
0422	1	D'stefano's Pizza & Pasta
0423	1	Dairy Queen
0424	1	Dairy Queen
0425	1	D'angelo Sandwich Shops
0426	1	Daddy D'z
0427	1	Daily Grind
0428	1	Daily Grind
0429	1	Daiquiri Island
0430	1	D.K Steak House
0431	1	Denny's
0432	1	David Paul's Lahaina Grill
0433	1	Dubuque Family Restaurant
0434	1	Da Pineapple Grill
0435	1	Del Taco
0436	1	Depot Grill
0437	1	Donnie Mac's
0438	1	Dragonfly Mandarin
0439	1	Dairy Queen
0440	1	Damon's Grill
0441	1	Dats
0442	1	Dawson's
0443	1	Denny's
0444	1	Dairy Queen
0445	1	Dagwood's Sandwich Shoppe
0446	1	D'angelo Inc
0447	1	D'angelo Sandwich Shops
0448	1	Daily Grill
0449	1	Dairy Queen
0450	1	Dairy Queen
0451	1	Dairy Queen
0452	1	Davinci's Eatery
0453	1	Dore's Cafe & Market
0454	1	D Coy Duck's
0455	1	Da Francesco
0456	1	Daedoardo's
0457	1	Dairy Queen
0458	1	D'amico & Sons
0459	1	D'bronx
0460	1	Dagwood's Sandwich Shoppe
0461	1	Dairy Queen
0462	1	Del Taco
0463	1	Denny's
0464	1	D J's
0465	1	Duane's House of Pizza
0466	1	Dairy Bar
0467	1	Dairy Queen
0468	1	Dave & Buster's
0469	1	Delice European Bakery & Cafe
0470	1	Dj's Dugout
0471	1	Dinkers Bar&Grill
0472	1	Dunkin' Donuts
0473	1	Darby Field Inn
0474	1	D & D Wings N Ribs
0475	1	D B Coopers
0476	1	Dairy Queen
0477	1	Denny's
0478	1	Dion's Pizza
0479	1	Dion's Pizza
0480	1	Dion's Pizza
0481	1	Dandelion Deli & Catering
0482	1	Daniel Boulud Brasserie
0483	1	Del Taco
0484	1	D & R Restaurant
0485	1	D J Houdek's
0486	1	D'amico Foods
0487	1	D'arcy Mcgee's Irish Pub
0488	1	D6
0489	1	Dairy Queen
0490	1	Dairy Queen
0491	1	Delta Cafe
0492	1	D.F.
0493	1	Devil's Alley
0494	1	Daddypops
0495	1	Dairy Cottage
0496	1	Davenport's
0497	1	Davenport's Restaurant
0498	1	Denny's
0499	1	D's Wings
0500	1	D J's Drive Inn
0501	1	Dippin' Dots
0502	1	D & T Catfish Market & Cafe
0503	1	D & T Pub
0504	1	D'wine Restaurant
0505	1	Daily Grill
0506	1	Dairy Queen
0507	1	Del Taco
0508	1	Del Taco
0509	1	Del Taco
0510	1	Dunkin' Donuts
0511	1	Dan's Diner
0512	1	Daihachi Japanese Restaurant
0513	1	Daily Grind
0514	1	Daniel's Broiler
0515	1	Dairy Bar
0516	1	Dairy Queen
0517	1	David's Jamaican Cuisine
0518	1	Daily Grind
0519	1	Denny's
0520	1	Driftwood
0521	1	Dairy Land Drive In
0522	1	Dairy Queen
0523	1	Dairy Queen
0524	1	E-Mo Restaurant
0525	1	E D's Sandwich & Pizza Shop
0526	1	Ed & Kay's Restaurant
0527	1	El Zarape
0528	1	Eatza Pizza
0529	1	Eatza Pizza
0530	1	Eccomi Italian Restaurant
0531	1	Earl's Restaurant
0532	1	Einstein Bros
0533	1	El Alamo
0534	1	East Melange
0535	1	Elbow Room
0536	1	Eastern Carryout
0537	1	Evening Star Cafe
0538	1	E R Bradley's Saloon
0539	1	Echo Restaurant
0540	1	Eddie's Bar & Grill
0541	1	East Lake Diner
0542	1	Eadie's Kitchen & Market
0543	1	Earwax Cafe
0544	1	Edesia's
0545	1	El Caporal
0546	1	El Nopal Mexican Cuisine
0547	1	El Nopalito
0548	1	El Rey
0549	1	El Chico
0550	1	El Portal
0551	1	Elizabeth's
0552	1	Emeril's Delmonico
0553	1	Emeril's Restaurant
0554	1	East Asia
0555	1	East Coast Grill
0556	1	East Coast Grill & Raw Bar
0557	1	Eastern Standard
0558	1	E J's Landing Seafood Rstrnt
0559	1	Eastern Corner
0560	1	Eddie's Market
0561	1	E J's Cafe
0562	1	East Wind Inn
0563	1	East Garden
0564	1	Einstein Bros
0565	1	Eau Bistro & Cafe
0566	1	Eden Alley
0567	1	Einstein Bros
0568	1	Eatza Pizza
0569	1	Eldorado Steak House
0570	1	Eat Shop
0571	1	East 74 Family Restaurant
0572	1	East Coast Chinese Food Exp
0573	1	East Coast Wings
0574	1	Eagle Eye Tours
0575	1	E K Management Co
0576	1	East of Suez
0577	1	E & V Restaurant
0578	1	Egan & Sons
0579	1	El Borracho Restaurant & Cantina
0580	1	Edo Japan
0581	1	E.U., The
0582	1	Earth Nyc
0583	1	East Side Cafe
0584	1	Eat N' Park
0585	1	Eat'n Park Restaurants
0586	1	Earl's Rib Palace
0587	1	Elephant Bar Restaurant
0588	1	El Palmero Taqueria Cafe
0589	1	El Taco Loco
0590	1	Estia
0591	1	Eat N' Park
0592	1	Eleven Forty Nine Restaurant
0593	1	East Bay Crab Shack
0594	1	Eggroll Chen
0595	1	El Maguey
0596	1	El Cancun Restaurant
0597	1	El Mezcal
0598	1	E & D Dining Inc
0599	1	E L Ranchito
0600	1	Eaker's Cafe
0601	1	E Z's Restaurant
0602	1	Eats Mesquite Grill
0603	1	Eggspectation
0604	1	East Chateau
0605	1	East Villa Restaurant
0606	1	Eastern
0607	1	Eastern Carryout
0608	1	El Sarape
0609	1	El Mariachi Mexican Restaurant
0610	1	Eat'n Park Restaurants
0611	1	Fairview Restaurant
0612	1	Firehouse Subs
0613	1	Famous Ray's Pizza
0614	1	Fresh Choice
0615	1	Fado Irish Pub
0616	1	Falafel King
0617	1	Falafel King Restaurant
0618	1	Fazoli's
0619	1	Five Guys Famous Burgers
0620	1	Famous Dave's
0621	1	Fiesta Atlantic
0622	1	Faccia Luna
0623	1	Farrah Olivia
0624	1	Fox's Pizza Den
0625	1	Fox's Pizza Den
0626	1	Fox's Pizza Den
0627	1	Fox's Pizza Den
0628	1	Fire of Brazil
0629	1	Famous Dave's
0630	1	Fazoli's
0631	1	Fusion Asian Grill
0632	1	Five O'clock Steakhouse
0633	1	Fajita Grill
0634	1	Famous Dave's
0635	1	Famous Dave's
0636	1	Famous Dave's
0637	1	Fiddler's Hearth
0638	1	Famous Dave's
0639	1	Fiorella's Jack Stack Barbeque
0640	1	First Watch
0641	1	First Watch Gourmet Hams
0642	1	Famous Dave's
0643	1	Famous Dave's
0644	1	Fiesta Mexicana #2
0645	1	Fox's Pizza Den
0646	1	Fox's Pizza Den
0647	1	Fat Greg's Pizza & Pasta
0648	1	Fatburger
0649	1	Famous Dave's
0650	1	Front Room
0651	1	Falcon Restaurant
0652	1	F G Famous Coney Island
0653	1	Falafel King
0654	1	Fall Creek Restaurant
0655	1	Falsetta's Casa Nova
0656	1	Famous Dav's
0657	1	Fox's Pizza Den
0658	1	Fox's Pizza Den
0659	1	Fall Creek Steak & Catfish House
0660	1	Fat Mama's Tamales
0661	1	Famous Dave's
0662	1	Famous Dave's
0663	1	Figaro's Pizza
0664	1	Fox's Pizza Den
0665	1	Fox's Pizza Den
0666	1	Fox's Pizza Den
0667	1	Five Guys Famous Burgers
0668	1	Famous Dave's
0669	1	Fleming's
0670	1	Florence's Restaurant
0671	1	Fascino
0672	1	Family Buffet King
0673	1	Federici's Pizzeria
0674	1	Felice Restaurant & Bar
0675	1	Femmina Italian Grill
0676	1	Fox and Hound
0677	1	Frontier Restaurant
0678	1	Furr's
0679	1	Flamingo Dining
0680	1	Flowing Tide Pub
0681	1	Flame Fine Chinese Dining
0682	1	Fazoli's
0683	1	Fleming's Prime Steakhouse & Wine Bar
0684	1	Fox's Pizza Den
0685	1	F Line Bagels
0686	1	F&B Gudt Food
0687	1	F.I.S.H.
0688	1	Figaro's Pizza
0689	1	Flavors Restaurants Inc
0690	1	Fox and Hound
0691	1	Fuddruckers
0692	1	Figaro's Pizza
0693	1	Firehouse Pizza Shop Ii
0694	1	Frank & John's Italian Family Restaurant & Pizzeri
0695	1	Fox's Pizza Den
0696	1	Fatz Cafe
0697	1	Fatz Cafe
0698	1	Fazoli's
0699	1	Firehouse Subs
0700	1	Foodworks Riverside
0701	1	Five Guys Famous Burgers
0702	1	Fadi's Grill
0703	1	Fado Irish Pub
0704	1	Figaro's Pizza
0705	1	Fleming's Prime Steakhouse
0706	1	Famous Dave's
0707	1	Fazoli's
0708	1	Fazoli's
0709	1	Farrelli's Pizza & Pool Co
0710	1	Fatburger
0711	1	Falbo Bros Pizzeria
0712	1	Ferrante's Restaurant
0713	1	Fox's Pizza Den
0714	1	Gambardella's
0715	1	Golden Corral
0716	1	Goal Post Bar-B-Q
0717	1	Golden Corral
0718	1	Granny's Grill & Bar B. Que
0719	1	Grapevine Restaurant
0720	1	Gallagher's
0721	1	Garcia's
0722	1	Garcia's Mexican Restaurant
0723	1	Gaesorn Thai Restaurant
0724	1	Gaffey Street Diner
0725	1	Gaja
0726	1	Galletto Bar and Grill
0727	1	Global Chili
0728	1	Gateway of India
0729	1	Georgia Brown's Restaurant
0730	1	Ghana Cafe
0731	1	Geisha Sushi Bar & Lounge
0732	1	Genji Japanese Restaurant
0733	1	Gamiels Restaurant
0734	1	Garden City Cafe
0735	1	Galanga
0736	1	Gallagher's
0737	1	Gameworks
0738	1	Garcia's
0739	1	Golden Dragon
0740	1	Gallery Restaurant
0741	1	Granite City Food & Brewery
0742	1	Great American Cookies
0743	1	Great American Cookies
0744	1	Golden Corral
0745	1	Golden Corral
0746	1	Grape Escape
0747	1	Garfield's Restaurant & Pub
0748	1	Garrett Kosin Damons Inc
0749	1	Garozzo's
0750	1	Gella's Diner
0751	1	Go Chicken Go
0752	1	Garzelli's Grinder & Pizza Co.
0753	1	Golden Corral
0754	1	Golden Corral
0755	1	Gattuso's
0756	1	Golden Corral
0757	1	Golden Corral
0758	1	Garden of Eden Cafe
0759	1	Gallery
0760	1	Ginza Town Japanese Cuisine
0761	1	Great Impasta
0762	1	Great Lost Bear
0763	1	Garofalo's Restaurant
0764	1	G W Allen
0765	1	G. Willies
0766	1	Gaia Coffee House
0767	1	G-Allen's Restaurant & Sports Bar
0768	1	Galactic Pizza
0769	1	Good Earth
0770	1	Gino's Ristorante
0771	1	G & D Pizza - Steak
0772	1	Gambino's Pizza
0773	1	Gameday Sports Grill
0774	1	Garfield's Restaurant & Pub
0775	1	Golden Corral
0776	1	Great American Cookies
0777	1	Golden Corral
0778	1	Gallatin Gourmet Deli
0779	1	Garfield's Restaurant & Pub
0780	1	Garner Ale House
0781	1	Giant Panda
0782	1	Gackle Tastee Freez
0783	1	Golden Corral
0784	1	Granite City Food & Brewery
0785	1	Green Gateau
0786	1	Guaca Maya
0787	1	Gauchos Churrascaria
0788	1	Galley Hatch Restaurant
0789	1	Gaucho Steak
0790	1	Gazelle Cafe and Grille
0791	1	Gecko's Bar & Tapas
0792	1	Grandma Hattie's Restaurant
0793	1	Gordon Biersch Brewing Co
0794	1	Gaby
0795	1	Galaxy Diner
0796	1	Gamekeeper's Taverne
0797	1	Garzelli's Grinder & Pizza Co.
0798	1	Galileo Bar
0799	1	Garfield's Restaurant & Pub
0800	1	Gloria Jean's Coffees
0801	1	Golden Corral
0802	1	G-G's Restaurant
0803	1	Glenwood Restaurant
0804	1	Gold Dragon
0805	1	Gali's Gyro & Grill
0806	1	Garfield's Restaurant & Pub
0807	1	Gardner's Wharf Seafood
0808	1	Governor Francis Inn
0809	1	Galley Restaurant
0810	1	Gaulart & Maliclet French Cafe
0811	1	Gervais & Vine
0812	1	Guadalajara Mexican Restaurant
0813	1	Glen-Gene Deli
0814	1	Golden Corral
0815	1	Gondolier Pizza
0816	1	Gondolier Pizza
0817	1	Great American Cookies
0818	1	Gambino's Pizza
0819	1	Garden Spot
0820	1	Gandolfo's
0821	1	Gandolfo's Deli
0822	1	Garlic John's
0823	1	Geranio Ristorante
0824	1	Genji Japanese Restaurant
0825	1	Gillie's Confectionary
0826	1	Galanga Thai Cuisine
0827	1	Galo De Oro
0828	1	Good Neighbor
0829	1	Gordon Biersch
0830	1	Grill House
0831	1	Gastons
0832	1	Genghis Khan Mongolian Restaurant
0833	1	George's Chop House
0834	1	Garfield's
0835	1	Glory Days Grill
0836	1	Golden Corral
0837	1	Gannett Grill
0838	1	Golden Corral Family Steak Hse
0839	1	Hamburger Haven
0840	1	Hangar on the Wharf
0841	1	Hamburger Heaven
0842	1	Hooter's
0843	1	Herman's Ribhouse
0844	1	Hooter's
0845	1	Haagen Dazs
0846	1	Haagen Dazs
0847	1	Hackers Bar & Grille
0848	1	Hamburger Mary's
0849	1	Hamburger Hamlet
0850	1	Hana Japan Steakhouse
0851	1	House of Blues
0852	1	Hapa Sushi Grill
0853	1	Heidi's Brooklyn Deli
0854	1	Habana
0855	1	Hardware City Tavern
0856	1	Holly Hill Deli
0857	1	Haandi
0858	1	Hamburger Hamlet
0859	1	Haagen Dazs
0860	1	H J Wings & Things
0861	1	H J Wings & Things
0862	1	Hooter's
0863	1	Harrison Hollow Brew House
0864	1	Harry's in Hyde Park
0865	1	Harry's Parkcenter
0866	1	Heart Mind & Soul
0867	1	Hackney's
0868	1	Hai Yen
0869	1	Harold's Chicken Shack
0870	1	Honkers Restaurant
0871	1	Harry's Uptown Supper Club
0872	1	Hayward's Pit Bar-B-Que
0873	1	Hibachi Hut
0874	1	Havell
0875	1	Hoggy's
0876	1	Harrington's Cafe
0877	1	Heavenly Ham
0878	1	Herbsaint
0879	1	Haley House Bakery
0880	1	Halfway Cafe
0881	1	Han Dynasty Restaurant
0882	1	Hamburger Hamlet
0883	1	Haagen Dazs
0884	1	Haandi Indian Cusine
0885	1	Hanami
0886	1	Homestead
0887	1	Hansel & Gretel Restaurant
0888	1	Historic Holly Hotel
0889	1	Hershey's Steak & Seafood
0890	1	Haagen Dazs
0891	1	Ham Place Coney Island
0892	1	Hardee's
0893	1	Harvey's Bar & Grill
0894	1	Hell’S Kitchen
0895	1	Hooters
0896	1	H K's
0897	1	Halls Ferry Inn
0898	1	Hard Rock Cafe
0899	1	High Noon Cafe
0900	1	Hale's Lake House
0901	1	Hanging Five Family Restaurant
0902	1	H B's Drive In
0903	1	Happy Joe's
0904	1	Hong Kong Restaurant
0905	1	Hacienda Dining
0906	1	Hardee's
0907	1	Hanover Street Chophouse
0908	1	Hooters
0909	1	Hampton Falls Inn
0910	1	Highfields at Eagle Mountain House
0911	1	Haagen Dazs
0912	1	Haagen Dazs
0913	1	Hardee's
0914	1	Hash House a Go Go
0915	1	H2O Seafood Grill
0916	1	Haagen Dazs
0917	1	Hideaway Pizza
0918	1	Haagen Dazs
0919	1	Hadfield's Seafood
0920	1	Hank's Place
0921	1	Happy Garden
0922	1	Harbourside Lobstermania
0923	1	Haruki Restaurant
0924	1	Hanks Seafood Restaurant
0925	1	Harbor Inn Seafood
0926	1	Hardee's
0927	1	Hooky Jacks & Phatty Mcgee's
0928	1	Hooter's
0929	1	Habana
0930	1	Happy Sushi
0931	1	Himalayan Kitchen
0932	1	Hong Kong Cafe
0933	1	Hunter's an American Grill
0934	1	Halvorson's Upstreet Cafe
0935	1	Hank's Oyster Bar
0936	1	Hale's Ales Brewery & Pub
0937	1	Harvest Vine, The
0938	1	Herfy's
0939	1	Hi-Spot Cafe
