restaurant	zagat	address
2000	2000	5848	4123
0000	3	4183 Roswell Rd. NE	(Interlochen Dr.)	Atlanta, GA 30342
0071	3	300 Marietta St.	(Baker St.)	Atlanta, GA 30313
0072	5	TWELVE Centennial Park	|	400 W. Peachtree St. NW	(Ivan Allen Blvd.)	Atlanta, GA 30308
0073	5	Peachtree Battle Shopping Ctr.	|	2355 Peachtree Rd. NE	(Peachtree Battle Ave.)	Atlanta, GA 30305
0074	5	Two Buckhead Plaza	|	3050 Peachtree Rd. NW	(W. Paces Ferry Rd.)	Atlanta, GA 30305
0075	3	879 Ralph David Abernathy Blvd. SW	(Dunn St.)	Atlanta, GA 30310
0076	3	1144 Crescent Ave. NE	(14th St.)	Atlanta, GA 30309
0077	3	1051 W. Peachtree St. NE	(11th St.)	Atlanta, GA 30309
0078	3	5920 Roswell Rd. NE	(Hammond Dr.)	Atlanta, GA 30328
0079	3	1117 W. 36th St.	(bet. Falls Rd. & Hickory Ave.)	Baltimore, MD 21211
0080	3	823 N. Charles St.	(bet. Madison & Read Sts.)	Baltimore, MD 21201
0081	3	1019 E. Lombard St.	(Exeter St.)	Baltimore, MD 21202
0082	5	Belvedere Square Mkt.	|	529 E. Belvedere Ave.	(York Rd.)	Baltimore, MD 21212
0083	3	1501 Bolton St.	(Mosher St.)	Baltimore, MD 21217
0084	3	734 S. Broadway	(Lancaster St.)	Baltimore, MD 21231
0085	3	1621 Aliceanna St.	(bet. Bethel St. & B'way)	Baltimore, MD 21231
0086	2	2701 Boston St	Baltimore, MD 21224
0087	3	438 E. Belvedere Ave.	(York Rd.)	Baltimore, MD 21212
0088	3	410 S. High St.	(Eastern Ave.)	Baltimore, MD 21202
0089	3	601 E Fort Ave	(Jackson)	Baltimore, MD 21230
0090	3	316 N. Charles St.	(Saratoga St.)	Baltimore, MD 21201
0091	3	1444 Light St.	(Fort Ave.)	Baltimore, MD 21230
0092	3	236 S. High St.	(bet. Fawn & Stiles Sts.)	Baltimore, MD 21202
0093	3	217 S. High St.	(Stiles St.)	Baltimore, MD 21202
0094	2	631 S Broadway	Baltimore, MD 21231
0095	3	911 W. 36th St.	(Roland Ave.)	Baltimore, MD 21211
0096	5	Harborplace Pratt Street Pavilion	|	201 E. Pratt St.	(South St.)	Baltimore, MD 21202
0097	2	6526 Holabird Ave	Baltimore, MD 21224
0098	2	133 W North Ave	Baltimore, MD 21201
0099	3	904 N. Charles St.	(Read St.)	Baltimore, MD 21201
0100	3	3845 Falls Rd.	(41st St.)	Baltimore, MD 21211
0101	3	100 W. University Pkwy.	(Canterbury Rd.)	Baltimore, MD 21210
0102	2	319 York Rd	Baltimore, MD 21204
0103	3	29 Newbury St.	(bet. Arlington & Berkeley Sts.)	Boston, MA 02116
0104	2	35 Batterymarch St	Boston, MA 02109
0105	3	2 School St.	(Washington St.)	Marblehead, MA 01945
0106	2	148 Granite St	Quincy, MA 02169
0107	3	793 Boylston St.	(Fairfield St.)	Boston, MA 02116
0108	2	64 Pleasant St	Malden, MA 02148
0109	3	27 Grove St.	(bet. Central & Spring Sts.)	Wellesley, MA 02482
0110	2	9 Cummings Park	Woburn, MA 01801
0111	3	433 Columbus Ave.	(bet. Braddock Park & Holyoke St.)	Boston, MA 02116
0112	2	890 Broadway	Saugus, MA 01906
0113	2	1437 Hancock St	Quincy, MA 02169
0114	2	400 Highland Ave	Salem, MA 01970
0115	5	Faneuil Hall	|	101 S. Market St.	(Merchants Row)	Boston, MA 02109
0116	3	761 Beacon St.	(Langley Rd.)	Newton, MA 02459
0117	3	569 Tremont St.	(Clarendon St.)	Boston, MA 02118
0118	2	134 Massachusetts Ave	Arlington, MA 02474
0119	2	30 Leonard St	Belmont, MA 02478
0120	5	Mandarin Oriental	|	776 Boylston St.	(Fairfield St.)	Boston, MA 02199
0121	3	555 Talbot Ave.	(Ashmont St.)	Dorchester, MA 02124
0122	3	50 Hampshire St.	(Webster Ave.)	Cambridge, MA 02139
0123	3	44 Border St.	(Summer St.)	Cohasset, MA 02025
0124	5	Seaport Hotel	|	1 Seaport Ln.	(bet. Congress St. & Northern Ave.)	Boston, MA 02210
0125	3	550 Tremont St.	(Waltham St.)	Boston, MA 02116
0126	3	1952 Beacon St.	(Chestnut Hill Ave.)	Brighton, MA 02135
0127	3	167 Massachusetts Ave.	(Belvidere St.)	Boston, MA 02115
0128	2	76 Haven St	Reading, MA 01867
0129	3	80½ Pearl St.	(bet. Auburn & William Sts.)	Cambridge, MA 02139
0130	2	141 Front St	Marblehead, MA 01945
0131	2	400 Tradecenter Ste 1800	Woburn, MA 01801
0132	5	The Brewery	|	284 Amory St.	(Boylston St.)	Jamaica Plain, MA 02130
0133	2	288 Hanover St	Boston, MA 02113
0134	3	933 Hingham St.	(Commerce Rd.)	Rockland, MA 02370
0135	3	533 Commonwealth Ave.	(Brookline Ave.)	Boston, MA 02215
0136	2	322 Revere Beach Blvd	Revere, MA 02151
0137	3	26 Charles St.	(Beacon St.)	Boston, MA 02114
0138	3	882 Highland Ave.	(West St.)	Needham, MA 02494
0139	5	Faneuil Hall Mktpl.	|	1 Faneuil Hall Mktpl.	(bet. N. Market & S. Market Sts.)	Boston, MA 02109
0140	3	37 Davis Sq.	(College Ave.)	Somerville, MA 02144
0141	5	Colonnade Hotel	|	120 Huntington Ave.	(W. Newton St.)	Boston, MA 02116
0142	3	241 Hanover St.	(bet. Cross & Richmond Sts.)	Boston, MA 02113
0143	3	386 Market St.	(Washington St.)	Brighton, MA 02135
0144	3	305 Washington St.	(Harvard Sq.)	Brookline, MA 02445
0145	2	65 Newbury St	Danvers, MA 01923
0146	3	52A Brattle St.	(Hilliard St.)	Cambridge, MA 02138
0147	3	40 Brattle St.	(Church St.)	Cambridge, MA 02138
0148	5	Taj Boston	|	15 Arlington St.	(Newbury St.)	Boston, MA 02116
0149	3	10 Wayside Rd.	(Cambridge St.)	Burlington, MA 01803
0150	2	355 Main St	Reading, MA 01867
0151	3	279 Linden St.	(Kingsbury St.)	Wellesley, MA 02482
0152	5	Harvard Sq.	|	40 Brattle St.	(Church St.)	Cambridge, MA 02138
0153	3	669A Centre St.	(bet. Burroughs & Myrtle Sts.)	Jamaica Plain, MA 02130
0154	2	404 Boston Providence Tp	Norwood, MA 02062
0155	3	83 Essex St.	(bet. Chauncy & Oxford Sts.)	Boston, MA 02111
0156	5	Natick Collection	|	1245 Worcester St.	(Speen St.)	Natick, MA 01760
0157	3	230 Harvard St.	(Webster St.)	Brookline, MA 02446
0158	3	371 Union St.	(Park St.)	Rockland, MA 02370
0159	3	237 Quincy Ave.	(bet. Circuit & Faxon Park Rds.)	Quincy, MA 02169
0160	2	27 Converse Pl	Winchester, MA 01890
0161	5	Eliot Hotel	|	370A Commonwealth Ave.	(Mass. Ave.)	Boston, MA 02215
0162	3	284 Washington St.	(Harvard St.)	Brookline, MA 02445
0163	3	20 North Rd.	(Rte. 62)	Bedford, MA 01730
0164	2	20 North Rd Ste 1	Bedford, MA 01730
0165	3	415 Washington St.	(Beacon St.)	Somerville, MA 02143
0166	2	1236 Dorchester Ave	Dorchester, MA 02125
0167	3	60-64 Mt. Auburn St.	(Main St.)	Watertown, MA 02472
0168	3	955 Boylston St.	(Mass. Ave.)	Boston, MA 02115
0169	2	235 Hull St	Cohasset, MA 02025
0170	3	246 Elm St.	(Chester St.)	Somerville, MA 02144
0171	2	987 Main St	Waltham, MA 02451
0172	3	401 Harvard St.	(Naples Rd.)	Brookline, MA 02446
0173	3	348 Congress St.	(bet. Farnsworth St. & Thomson Pl.)	Boston, MA 02210
0174	2	255 State St Lbby	Boston, MA 02109
0175	3	700 Harrison Ave.	(bet. E. Brookline & E. Canton Sts.)	Boston, MA 02118
0176	2	216 Sumner St	Newton Center, MA 02459
0177	2	218 Speen St	Natick, MA 01760
0178	2	40 Walkers Brook Dr	Reading, MA 01867
0179	2	1430 Highland Ave	Needham, MA 02492
0180	5	The Cellar	|	991 Massachusetts Ave.	(Dana St.)	Cambridge, MA 02138
0181	3	560 Harrison Ave.	(Waltham St.)	Boston, MA 02118
0182	3	355 Hanover St.	(bet. Fleet & Prince Sts.)	Boston, MA 02113
0183	3	28 Kingston St.	(bet. Bedford & Summer Sts.)	Boston, MA 02111
0184	3	26 Congress St.	(Derby St.)	Salem, MA 01970
0185	2	71 Elm St	Watertown, MA 02472
0186	3	1 N. Beacon St.	(Cambridge St.)	Allston, MA 02134
0187	2	89 Winthrop St	Cambridge, MA 02138
0188	3	37 Bowdoin St.	(bet. Beacon & Cambridge Sts.)	Boston, MA 02114
0189	3	1248-1250 Cambridge St.	(Prospect St.)	Cambridge, MA 02139
0190	2	15 Dunster St	Cambridge, MA 02138
0191	3	150 Highland Ave.	(Central St.)	Somerville, MA 02143
0192	3	855 Broadway/Rte. 1	(Lynn Fells Pkwy.)	Saugus, MA 01906
0193	3	1735 Centre St.	(Manthorne Rd.)	West Roxbury, MA 02132
0194	3	592 Tremont St.	(Dartmouth St.)	Boston, MA 02118
0195	5	Teele Sq.	|	235 Holland St.	(Broadway)	Somerville, MA 02144
0196	3	50 Leonard St.	(Moore St.)	Belmont, MA 02478
0197	2	1001 Massachusetts Ave	Cambridge, MA 02138
0198	3	49 Temple Pl.	(bet. Tremont & Washington Sts.)	Boston, MA 02111
0199	2	177 Massachusetts Ave	Lexington, MA 02420
0200	5	Ritz-Carlton Boston Common	|	10 Avery St.	(Tremont St.)	Boston, MA 02111
0201	3	256 Elm St.	(Davis Sq.)	Somerville, MA 02144
0202	3	131 Sherman St.	(bet. Rindge Ave. & Walden St.)	Cambridge, MA 02140
0203	2	1234 Soldiers Field Rd	Brighton, MA 02135
0204	3	10 Langley Rd.	(Centre St.)	Newton, MA 02459
0205	3	1030 Commonwealth Ave.	(Babcock St.)	Brookline, MA 02215
0206	3	444 Massachusetts Ave.	(Medford St.)	Arlington, MA 02474
0207	5	Kings Bowling Alley	|	50 Dalton St.	(Scotia St.)	Boston, MA 02115
0208	3	25 Kingston St.	(bet. Bedford & Summer Sts.)	Boston, MA 02111
0209	3	948 Broadway/Rte. 1	(Main St.)	Saugus, MA 01906
0210	3	86 Cambridge St.	(Arlington Rd.)	Burlington, MA 01803
0211	2	181 Nantasket Ave	Hull, MA 02045
0212	3	112 Salem St.	(bet. Cooper & Prince Sts.)	Boston, MA 02113
0213	2	1070 N Main St	Randolph, MA 02368
0214	3	97 Mt. Vernon St.	(Cedar St.)	Boston, MA 02108
0215	2	901 Main St	Woburn, MA 01801
0216	2	417 Salem St	Medford, MA 02155
0217	3	20 University Rd.	(Eliot St.)	Cambridge, MA 02138
0218	3	1666 Massachusetts Ave.	(bet. Grant St. & Wallis Ct.)	Lexington, MA 02420
0219	3	190 North St.	(Richmond St.)	Boston, MA 02113
0220	2	903 Boylston St	Boston, MA 02115
0221	3	102 Broad St.	(Wharf St.)	Boston, MA 02110
0222	3	1391 Washington St.	(bet. Elm St. & Mass. Tpke.)	West Newton, MA 02465
0223	3	3 Winter Pl.	(bet. Tremont & Washington Sts.)	Boston, MA 02108
0224	3	92 Hampshire St.	(Windsor St.)	Cambridge, MA 02141
0225	3	226 Hanover St.	(Richmond St.)	Boston, MA 02113
0226	2	320 Center St	Randolph, MA 02368
0227	3	15 State St.	(bet. Front & Washington Sts.)	Marblehead, MA 01945
0228	3	52 Temple Pl.	(bet. Tremont & Washington Sts.)	Boston, MA 02111
0229	3	10 Bosworth St.	(Tremont St.)	Boston, MA 02108
0230	3	233A Elm St.	(Grove St.)	Somerville, MA 02144
0231	5	Needham Ctr.	|	990 Great Plain Ave.	(Chestnut St.)	Needham, MA 02492
0232	2	109 Savin Hill Ave	Dorchester, MA 02125
0233	5	Natick Collection	|	1245 Worcester St.	(Speen St.)	Natick, MA 01760
0234	3	1124 Cambridge St.	(bet. Elm & Norfolk Sts.)	Cambridge, MA 02139
0235	2	1282 Worcester St	Natick, MA 01760
0236	5	World Trade Center East	|	Two Seaport Ln.	(bet. Congress St. & Northern Ave.)	Boston, MA 02210
0237	3	693 Massachusetts Ave.	(bet. Central & Water Sts.)	Arlington, MA 02476
0238	3	228 Broadway	(Clark St.)	Cambridge, MA 02139
0239	3	455 Totten Pond Rd.	(3rd Ave.)	Waltham, MA 02451
0240	3	63-65 Galen St.	(Aldrich Rd.)	Watertown, MA 02472
0241	3	417 Hanover St.	(bet. Harris & Salutation Sts.)	Boston, MA 02113
0242	2	530 Main St	Medfield, MA 02052
0243	3	16 Mazzeo Dr.	(West St.)	Randolph, MA 02368
0244	3	40 Court St.	(Tremont St.)	Boston, MA 02108
0245	3	612 Hammond St.	(Boylston St.)	Chestnut Hill, MA 02467
0246	3	6 Cypress St.	(Washington St.)	Brookline, MA 2445
0247	3	102 Oxford St.	(Crescent St.)	Cambridge, MA 02138
0248	2	487 Cambridge St	Allston, MA 02134
0249	2	158 Boston Ave	Somerville, MA 02144
0250	3	468 Commonwealth Ave.	(W. Charlesgate)	Boston, MA 02215
0251	2	908 Main St	Woburn, MA 01801
0252	2	1856 Centre St	West Roxbury, MA 02132
0253	3	257 North St.	(Lewis St.)	Boston, MA 02113
0254	3	888A Morton St.	(Evans St.)	Mattapan, MA 02126
0255	5	Arsenal Mall	|	485 Arsenal St., 2	(Elm St.)	Watertown, MA 02472
0256	3	4515 Washington St.	(Beech St.)	Roslindale, MA 02131
0257	3	384 Boylston St.	(bet. Arlington & Berkeley Sts.)	Boston, MA 02116
0258	2	RR 1 Box Old	Danvers, MA 01923
0259	3	560 Tremont St.	(Clarendon St.)	Boston, MA 02118
0260	5	Marina Bay	|	305 Victory Rd.	(Miwra Haul Rd.)	North Quincy, MA 2171
0261	2	70 Union Sq	Somerville, MA 02143
0262	2	2 Oliver St	Boston, MA 02109
0263	5	Burlington Mall	|	75 Middlesex Tpke.	(I-95, exit 32B)	Burlington, MA 01803
0264	2	209 Mystic Ave	Medford, MA 02155
0265	2	50 Worcester Rd	Framingham, MA 01702
0266	3	1222 Washington St.	(Perry St.)	Boston, MA 02118
0267	3	2556 W. Fullerton Ave.	(Rockwell St.)	Chicago, IL 60647
0268	3	545 N. Milwaukee Ave.	(Lake St.)	Libertyville, IL 60048
0269	3	3134 N. Lincoln Ave.	(bet. Barry & Belmont Aves.)	Chicago, IL 60657
0270	2	6358 W Irving Park Rd	Chicago, IL 60634
0271	3	2171 N. Milwaukee Ave.	(Talman Ave.)	Chicago, IL 60647
0272	3	3332 N. Broadway St.	(bet. Aldine Ave. & Buckingham Pl.)	Chicago, IL 60657
0273	2	3115 N Lincoln Ave	Chicago, IL 60657
0274	3	614 W. Diversey Pkwy.	(Clark St.)	Chicago, IL 60614
0275	3	1723 N. Halsted St.	(bet. North Ave. & Willow St.)	Chicago, IL 60614
0276	3	13 N. Cass Ave.	(Burlington Ave.)	Westmont, IL 60559
0277	3	4559 S Halsted St	(and 47th)	Chicago, IL 60609
0278	5	American Girl Place, Water Tower Place Mall	|	835 N. Michigan Ave.	(bet. Chestnut & Pearson Sts.)	Chicago, IL 60611
0279	2	2221 N Lincoln Ave	Chicago, IL 60614
0280	3	4156 N. Kedzie Ave.	(bet. Irving Park Rd. & Montrose Ave.)	Chicago, IL 60618
0281	2	12 E Cedar St	Chicago, IL 60611
0282	2	38 S Weber Rd	Romeoville, IL 60446
0283	5	Hotel Burnham	|	1 W. Washington St.	(State St.)	Chicago, IL 60602
0284	5	Peninsula Hotel	|	108 E. Superior St.	(bet. Michigan Ave. & Rush St.)	Chicago, IL 60611
0285	2	4569 N Elston Ave	Chicago, IL 60630
0286	3	3107 N. Broadway St.	(Belmont Ave.)	Chicago, IL 60657
0287	3	1669 Algonquin Rd.	(Golf Rd.)	Rolling Meadows, IL 60008
0288	2	7585 S Madison St	Burr Ridge, IL 60527
0289	5	The Elysian	|	11 E. Walton St.	(bet. Rush & State Sts.)	Chicago, IL 60611
0290	2	1004 W Golf Rd	Hoffman Estates, IL 60179
0291	3	121 W. Front St.	(bet. Hale & Main Sts.)	Wheaton, IL 60187
0292	2	1510 E Hintz Rd	Arlington Heights, IL 60004
0293	5	Foundry Shopping Ctr.	|	700 W. Northwest Hwy.	(Hart Rd.)	Barrington, IL 60010
0294	2	232 E Main St	Barrington, IL 60010
0295	2	1899 2nd St Unit 101	Highland Park, IL 60035
0296	3	52 W. Illinois St.	(Dearborn St.)	Chicago, IL 60654
0297	5	O'Hare Int'l Airport	|	Concourse C	(I-190)	Chicago, IL 60666
0298	2	635 N State St	Chicago, IL 60654
0299	2	6352 N Oakley Ave	Chicago, IL 60659
0300	2	410 W State St	Geneva, IL 60134
0301	5	Doubletree Hotel Chicago-Arlington Heights	|	75 W. Algonquin Rd.	(Arlington Heights Rd.)	Arlington Heights, IL 60005
0302	2	8734 S Stony Island Ave	Chicago, IL 60617
0303	3	1265 N. Milwaukee Ave.	(bet. Ashland Ave. & Paulina St.)	Chicago, IL 60622
0304	2	1636 Old Deerfield Rd	Highland Park, IL 60035
0305	3	2916 Central St.	(Lincolnwood Dr.)	Evanston, IL 60201
0306	2	2600 Navy Blvd	Glenview, IL 60026
0307	3	1381 W. Hubbard St.	(Noble St.)	Chicago, IL 60642
0308	3	4111 N. Lincoln Ave.	(bet. Belle Plaine & Warner Aves.)	Chicago, IL 60618
0309	3	3651 N. Southport Ave.	(Waveland Ave.)	Chicago, IL 60613
0310	3	1421 W. Chicago Ave.	(bet. Bishop & Noble Sts.)	Chicago, IL 60642
0311	3	430 N. Main St.	(Duane St.)	Glen Ellyn, IL 60137
0312	3	2252 N. Western Ave.	(bet. Belden Ave. & Lyndale St.)	Chicago, IL 60647
0313	3	5527 Milwaukee Ave.	(bet. Bryn Mawr & Catalpa Aves.)	Chicago, IL 60630
0314	3	1954 W. North Ave.	(Damen Ave.)	Chicago, IL 60622
0315	5	Hilton Suites	|	198 E. Delaware Pl.	(Mies van Der Rohe Way)	Chicago, IL 60611
0316	3	6731 N. Northwest Hwy.	(Oshkosh Ave.)	Chicago, IL 60631
0317	5	Wyndham Chicago	|	633 N. St. Clair St.	(Ontario St.)	Chicago, IL 60611
0318	2	12307 S Harlem Ave	Palos Heights, IL 60463
0319	3	4343 N. Lincoln Ave.	(bet. Montrose & Pensacola Aves.)	Chicago, IL 60618
0320	2	1800 Ogden Ave	Lisle, IL 60532
0321	3	1119 W. Taylor St.	(May St.)	Chicago, IL 60607
0322	3	2018 W. Chicago Ave.	(bet. Damen & Hoyne Aves.)	Chicago, IL 60622
0323	2	226 Peterson Rd	Libertyville, IL 60048
0324	2	3152 N Broadway St	Chicago, IL 60657
0325	2	6030 Route 132nd	Gurnee, IL 60031
0326	2	6214 N Western Ave	Chicago, IL 60659
0327	2	4200 N Lincoln Ave	Chicago, IL 60618
0328	5	theWit Hotel	|	201 N. State St.	(Lake St.)	Chicago, IL 60601
0329	2	1783 Saint Johns Ave	Highland Park, IL 60035
0330	5	CityGate Ctr.	|	2020 Calamos Ct.	(Westings Ave.)	Naperville, IL 60563
0331	5	Lake Point Tower	|	505 N. Lake Shore Dr., 70th fl.	(Navy Pier)	Chicago, IL 60611
0332	5	Northbrook Court Shopping Ctr.	|	2000 Northbrook Ct.	(bet. Lake Cook Rd. & Northbrook Court Dr.)	Northbrook, IL 60062
0333	2	781 N Milwaukee Ave	Wheeling, IL 60090
0334	3	6740 Route 53	(Rt 53 just North of Hobson)	Woodridge, IL 60517
0335	3	760 Sheridan Rd	(elm place)	Highwood, IL 60040
0336	3	2045 N. Damen Ave.	(bet. Dickens & McLean Aves.)	Chicago, IL 60647
0337	3	300 W. Hubbard St.	(Franklin St.)	Chicago, IL 60654
0338	2	5707 N Central Ave	Chicago, IL 60646
0339	3	3423 N. Southport Ave.	(bet. Newport Ave. & Roscoe St.)	Chicago, IL 60657
0340	2	1615 N Wells St	Chicago, IL 60614
0341	3	410 Sheridan Rd.	(bet. Walker & Webster Aves.)	Highwood, IL 60040
0342	3	546 N. Wells St.	(Ohio St.)	Chicago, IL 60654
0343	3	7016 W. Cermak Rd.	(bet. Home & Wenonah Aves.)	Berwyn, IL 60402
0344	2	2350 Lehigh Ave	Glenview, IL 60026
0345	3	1114 W. Armitage Ave.	(Seminary Ave.)	Chicago, IL 60614
0346	3	228 Green Bay Rd.	(Rte. 22)	Highwood, IL 60040
0347	3	4004 N. Southport Ave.	(Irving Park Rd.)	Chicago, IL 60613
0348	3	5840 W. Roosevelt Rd.	(bet. Mayfield & Monitor Aves.)	Chicago, IL 60644
0349	3	39 E. Chicago Ave.	(Wabash Ave.)	Chicago, IL 60611
0350	2	315 N Dearborn St	Chicago, IL 60654
0351	3	1512 Sherman Ave.	(bet. Grove & Lake Sts.)	Evanston, IL 60201
0352	3	2600 N. Clark St.	(Wrightwood Ave.)	Chicago, IL 60614
0353	2	1831 Tower Dr	Glenview, IL 60026
0354	2	3829 N Broadway St	Chicago, IL 60613
0355	3	1112 S. Wabash Ave.	(11th St.)	Chicago, IL 60605
0356	3	2238 S. Wentworth Ave.	(Cermak Rd.)	Chicago, IL 60616
0357	3	517 S. State St.	(Congress Pkwy.)	Chicago, IL 60605
0358	2	224 E Ontario St	Chicago, IL 60611
0359	3	840 N. Wabash Ave.	(Chestnut St.)	Chicago, IL 60611
0360	3	15657 S. Harlem Ave.	(bet. 156th & 157th Sts.)	Orland Park, IL 60462
0361	2	15100 La Grange RD	Orland Park, IL 60462
