restaurant	fodors	name
0095	1	Tonto Bar &amp; Grill at Rancho Manana
0096	1	Zinc Bistro
0097	1	The Bisbee Grille
0098	1	Gathering Grounds
0099	1	Palatiano's
0100	1	Wagon Wheel Saloon
0101	1	Arizona Inn Restaurant
0102	1	Athens
0103	1	B Line
0104	1	Beyond Bread
0105	1	Bluefin Seafood Bistro
0106	1	Cup Caf&eacute;
0107	1	Gold
0108	1	Hungry Fox
0109	1	Mi Nidito
0110	1	Molina's Midway
0111	1	Montana Avenue
0112	1	Tubac Deli &amp; Coffee Co.
0113	1	Vivace
0114	1	Wildflower Grill
0115	1	Zemam
0116	1	Ang&egrave;le
0117	1	Bistro Don Giovanni
0118	1	Glen Ellen Inn Oyster Grill &amp; Martini Bar
0119	1	La Casa
0120	1	LaSalette
0121	1	Martini House
0122	1	Sunflower Caff&eacute;
0123	1	Furnace Creek Inn Dining Room
0124	1	Toll Road Restaurant
0125	1	Azzara's
0126	1	Blue Angel Caf&eacute;
0127	1	Coyote Grill
0128	1	FiftyFifty Brewing Company
0129	1	Fire Sign Caf&eacute;
0130	1	Fireside Pizza Company
0131	1	Frederick's
0132	1	Freshies
0133	1	Jason's Beachside Grille
0134	1	Kalani's
0135	1	Lanza's
0136	1	Le Bistro
0137	1	Orchid's Thai
0138	1	Scusa!
0139	1	T's Rotisserie
0140	1	All India Cafe
0141	1	Ammo
0142	1	Anisette Brasserie
0143	1	Art's Delicatessen
0144	1	Asanebo
0145	1	Beso
0146	1	BLT Steak
0147	1	Border Grill
0148	1	Ca' Brea
0149	1	Ca' del Sole
0150	1	Canter's
0151	1	Cha Cha Cha
0152	1	Craft Los Angeles
0153	1	The Dining Room
0154	1	El Cholo
0155	1	Encounter
0156	1	Fogo de Ch&atilde;o
0157	1	Gordon Ramsay at The London
0158	1	Grace
0159	1	Gyenari
0160	1	Honey's Kettle Fried Chicken
0161	1	JiRaffe
0162	1	Lake Spring Shanghai Restaurant
0163	1	LAMILL Coffee Boutique
0164	1	Lilly's French Caf&eacute; &amp; Bar
0165	1	The Lobster
0166	1	Mandarette
0167	1	Matsuhisa
0168	1	Mrs. Knott's Chicken Dinner Restaurant
0169	1	Musso &amp; Frank Grill
0170	1	Napa Rose
0171	1	Nick &amp; Stef's Steakhouse
0172	1	Nobu Malibu
0173	1	Ocean Star
0174	1	Ortolan
0175	1	Palate Food + Wine
0176	1	Parkway Grill
0177	1	Pecorino
0178	1	Pie 'N Burger
0179	1	Saddle Peak Lodge
0180	1	Spago Beverly Hills
0181	1	Tanzore
0182	1	Trattoria Farfalla
0183	1	Trattoria Tre Venezie
0184	1	Typhoon
0185	1	Valentino
0186	1	vermont
0187	1	Versailles
0188	1	Vibrato Grill, Jazz, etc.
0189	1	Vincenti
0190	1	XIV
0191	1	Anton and Michel
0192	1	Bittersweet Bistro
0193	1	Caf&eacute; Lumiere
0194	1	Casanova
0195	1	Fandango
0196	1	Fifi's Bistro Caf&eacute;
0197	1	Fishwife
0198	1	Flying Fish Grill
0199	1	Gabriella Caf&eacute;
0200	1	Joe Rombi's
0201	1	Old Monterey Caf&eacute;
0202	1	Peppers Mexicali Cafe
0203	1	Shadowbrook
0204	1	Soif
0205	1	Will's Fargo
0206	1	Caf&eacute; Zinc &amp; Market
0207	1	Caffe Panini
0208	1	The Cannery
0209	1	Duke's
0210	1	L'Hirondelle
0211	1	Lou's Red Oak BBQ
0212	1	Pacific Whey Cafe &amp; Baking Company
0213	1	Plum's Caf&eacute;
0214	1	The Ramos House Cafe
0215	1	Sage on the Coast
0216	1	Sapphire Laguna
0217	1	Taco Mesa
0218	1	Caf&eacute; des Beaux Arts
0219	1	Cuistot
0220	1	El Mirasol
0221	1	The Falls Steak House
0222	1	Native Foods
0223	1	Pappy &amp; Harriet's Pioneertown Palace
0224	1	Peabody's Caf&eacute; Bar &amp; Coffee
0225	1	Purple Palm
0226	1	Tyler's
0227	1	Bistro 33
0228	1	Le Bilig French Caf&eacute;
0229	1	Rio City Caf&eacute;
0230	1	South Pine Cafe
0231	1	Villa Venezia Restaurant
0232	1	1500 Ocean
0233	1	Andres' Restaurant
0234	1	The Argyle Restaurant and Lounge
0235	1	Athens Market Taverna
0236	1	Baily's
0237	1	Baja Betty's
0238	1	Busalacchi's Ristorante
0239	1	Caf&eacute; Champagne
0240	1	Cafe Chloe
0241	1	China Max
0242	1	Cucina Urbana
0243	1	Dish
0244	1	El Agave
0245	1	El Zarape
0246	1	Farm House Cafe
0247	1	The Field
0248	1	Fish Market
0249	1	Gringo's Cantina
0250	1	Harbor Fish &amp; Chips
0251	1	Hob Nob Hill
0252	1	Hodad's
0253	1	House of Blues
0254	1	Indigo Grill
0255	1	Jasmine
0256	1	Julian Grille
0257	1	Kaiserhof
0258	1	Karen Krasne's Extraordinary Desserts
0259	1	Ki's Restaurant
0260	1	King's Fish House
0261	1	Lake Cuyamaca Restaurant
0262	1	Lanna
0263	1	Le Bambou
0264	1	The Linkery
0265	1	Lou &amp; Mickey's
0266	1	Mille Fleurs
0267	1	Mistral
0268	1	Monsoon
0269	1	Mother's Kitchen
0270	1	Neighborhood
0271	1	Oceanaire Seafood Room
0272	1	Princess Pub &amp; Grille
0273	1	Rainwater's on Kettner
0274	1	Restaurante Romesco
0275	1	Rimel's Rotisserie
0276	1	Roppongi Restaurant and Sushi Bar
0277	1	Sambuca Italian Bistro
0278	1	The Tin Fish
0279	1	Truluck's
0280	1	The Venetian
0281	1	Vincent's on Grand
0282	1	Wynola Pizza Express
0283	1	Zocalo Grill
0284	1	A16
0285	1	Ame
0286	1	Antica Trattoria
0287	1	Bodega Bistro
0288	1	Boulevard
0289	1	Charanga
0290	1	Coi
0291	1	Dragonfly
0292	1	Farina
0293	1	Great Eastern
0294	1	L'Osteria del Forno
0295	1	Lim&oacute;n
0296	1	Maki
0297	1	Mijita Cocina Mexicana
0298	1	One Market
0299	1	Perbacco
0300	1	Piperade
0301	1	Plouf
0302	1	Poleng Lounge
0303	1	Ritz-Carlton Dining Room
0304	1	Rose's Caf&eacute;
0305	1	Salt House
0306	1	San Tung
0307	1	South food + winebar
0308	1	Suppenk&uuml;che
0309	1	Terzo
0310	1	Thep Phanom
0311	1	Ton Kiang
0312	1	Yoshi's
0313	1	Azu
0314	1	Bistro Laurent
0315	1	Boccali's
0316	1	Brothers Restaurant at Mattei's Tavern
0317	1	Busy Bee Cafe
0318	1	Elements
0319	1	Jonathan's at Peirano's
0320	1	Nepenthe
0321	1	Olio e Limone
0322	1	Roy
0323	1	Trattoria Grappolo
0324	1	Windows on the Water
0325	1	Bovine Bakery
0326	1	Cetrella
0327	1	Chez Shea
0328	1	Christophe
0329	1	Guaymas
0330	1	L'Amyx Tea Bar
0331	1	Paradise Bay
0332	1	Poggio
0333	1	Rooney's
0334	1	Sand Dollar
0335	1	Sushi Ran
0336	1	Tomales Bay Foods
0337	1	The Branding Iron
0338	1	Caf&eacute; 225
0339	1	DeAngelo's
0340	1	Hero's Sports Lounge &amp; Pizza Co.
0341	1	Rosewood Bar &amp; Grill
0342	1	Tahoe Joe's
0343	1	Tresetti's World Caffe
0344	1	5th Street Steakhouse
0345	1	Feedbag Grill
0346	1	La Grange Caf&eacute;
0347	1	Lilys
0348	1	Maria and Walker's Mexican Restaurant
0349	1	Mazatlan Grill
0350	1	Michael's Restaurant
0351	1	Moon's
0352	1	Seven Suns Coffee and Cafe
0353	1	Evergreen International
0354	1	Law's Oak Glen Coffee Shop
0355	1	Mandoline Bistro
0356	1	Pomona Valley Mining Company
0357	1	Tutti Mangia Italian Grill
0358	1	Peggy Sue's 50s Diner
0359	1	Seasons Restaurant
0360	1	Shugrue's
0361	1	The Boonville General Store
0362	1	Franny's Cup and Saucer
0363	1	Ledford House
0364	1	Tioga Gas Mart &amp; Whoa Nelli Deli
0365	1	Food Court at Yosemite Lodge
0366	1	Lodgepole Market and Snack Bar
0367	1	Pavillion Buffet
0368	1	Wolverton Barbecue
0369	1	The Bayou
0370	1	Butch's Lobster Bar
0371	1	Florinda's
0372	1	Hickory House Ribs
0373	1	L'Hostaria
0374	1	Pi&ntilde;ons
0375	1	SIX89
0376	1	Toppers
0377	1	Wienerstube Restaurant
0378	1	Efrain's
0379	1	Eye Opener
0380	1	Flagstaff House
0381	1	Frasca Food and Wine
0382	1	Gold Hill Inn
0383	1	Kasa Japanese Grill
0384	1	Suehiro
0385	1	Treppeda's
0386	1	Brother's BBQ
0387	1	Caf&eacute; Brazil
0388	1	Capital Grille
0389	1	Cork House
0390	1	Domo
0391	1	Elway's
0392	1	Jack 'n' Grill
0393	1	Jax Fish House
0394	1	La Fondue
0395	1	Little India
0396	1	Mizuna
0397	1	Palm Restaurant
0398	1	Pasquini's Pizzeria
0399	1	Prima
0400	1	Wynkoop Brewing Co.
0401	1	Metate Room
0402	1	White Buffalo Grille
0403	1	Woody's Wood Fired Pizza
0404	1	Bear's Den
0405	1	Estes Park Brewery
0406	1	Malt Shop
0407	1	Mama Rose's
0408	1	Poppy's Pizza &amp; Grill
0409	1	Sweet Basilico Caf&eacute;
0410	1	B &amp; E Filling Station
0411	1	Carlos Bistro
0412	1	Casa del Sol
0413	1	El Caporal
0414	1	La Casita Patio Cafe
0415	1	Merlino's Belvedere
0416	1	Milagro's Coffeehouse
0417	1	Penrose Room at the Broadmoor
0418	1	Antares
0419	1	Pablo's Pizza
0420	1	The Winery
0421	1	Alpenglow Stube
0422	1	Dillon Dam Brewery
0423	1	Keystone Ranch
0424	1	Quandry Grille
0425	1	Ski Tip Lodge
0426	1	Baked in Telluride
0427	1	The Bean
0428	1	Cazwellas
0429	1	Dolores River Brewery
0430	1	Gunnison Brewery
0431	1	Ol' Miner Steakhouse
0432	1	Olde Schoolhouse Cafe &amp; Saloon
0433	1	Slogar
0434	1	Teocalli Tamale
0435	1	Beano's Cabin
0436	1	Game Creek Club
0437	1	Larkspur
0438	1	Minturn Country Club
0439	1	Spago
0440	1	Sweet Basil
0441	1	Terra Bistro
0442	1	Toscanini
0443	1	First and Last Tavern
0444	1	Restaurant du Village
0445	1	River Tavern and Wine Bar
0446	1	Louis' Lunch
0447	1	Dressing Room
0448	1	Restaurant Jean-Louis
0449	1	Stonehenge Restaurant
0450	1	Good News Caf&eacute;
0451	1	Mayflower Inn
0452	1	Pastorale
0453	1	Village Restaurant
0454	1	The Harvest
0455	1	2941 Restaurant
0456	1	Bardia's New Orleans Caf&eacute;
0457	1	Bistro Fran&ccedil;ais
0458	1	Bistrot Lepic
0459	1	Caf&eacute; Atl&aacute;ntico
0460	1	Cashion's Eat Place
0461	1	Caucus Room
0462	1	Commonwealth
0463	1	Five Guys
0464	1	Fyve Restaurant Lounge
0465	1	G Street Food
0466	1	Good Stuff Eatery
0467	1	Heritage India
0468	1	Hook
0469	1	Inn at Little Washington
0470	1	Kramerbooks &amp; Afterwords
0471	1	Lebanese Taverna
0472	1	Malaysia Kopitiam
0473	1	Marcel's
0474	1	Marvin
0475	1	Masa 14
0476	1	Mie n Yu
0477	1	Miss Saigon
0478	1	Morton's of Chicago
0479	1	New Heights
0480	1	Nora
0481	1	Occidental Grill
0482	1	Olives
0483	1	Posto
0484	1	Ray's Hell-Burger
0485	1	Tabard Inn
0486	1	Taberna del Alabardero
0487	1	Westend Bistro by Eric Ripert
0488	1	Zaytinya
0489	1	Zola
0490	1	Cafe Maxx
0491	1	Canyon Southwest Cafe
0492	1	Floridian
0493	1	Georgia Pig
0494	1	Giorgio's Grill
0495	1	Hi-Life Cafe
0496	1	Jaxson's Ice Cream Parlor &amp; Restaurant
0497	1	Lester's Diner
0498	1	Nikki Marina Hollywood Restaurant &amp; Bar
0499	1	Old Heidelberg Restaurant &amp; Deli
0500	1	Shula's on the Beach
0501	1	Tortilleria Mexicana
0502	1	Trina
0503	1	Tropical Acres
0504	1	Big Pink
0505	1	Casa Tua
0506	1	The Forge
0507	1	Havana Harry's
0508	1	Las Culebrinas
0509	1	Nemo
0510	1	News Caf&eacute;
0511	1	Pascal's on Ponce
0512	1	Perricone's Marketplace and Caf&eacute;
0513	1	Roasters 'N Toasters
0514	1	Tim&oacute;
0515	1	Tuscan Steak
0516	1	Versailles
0517	1	95 Cordova
0518	1	Al's Pizza
0519	1	bb's
0520	1	Burrito Gallery
0521	1	Collage
0522	1	European Street Cafe
0523	1	Gene's Steak House
0524	1	Leonardo's by the Slice
0525	1	Mango Tree Restaurant
0526	1	McK's Tavern
0527	1	Melting Pot
0528	1	O.C. White's Seafood &amp; Spirits
0529	1	Ocean 60
0530	1	Salt
0531	1	Sticky Fingers
0532	1	Sticky Fingers
0533	1	Tidbits
0534	1	Amura
0535	1	Antonio's
0536	1	B-Line Diner
0537	1	Briarpatch Restaurant &amp; Ice Cream Parlor
0538	1	Caf&eacute; Tu Tu Tango
0539	1	Christini's
0540	1	Columbia Restaurant
0541	1	Hemisphere
0542	1	HUE
0543	1	K Restaurant &amp; Wine Bar
0544	1	Le Coq au Vin
0545	1	Luma on Park
0546	1	MoonFish
0547	1	The Ravenous Pig
0548	1	Samba Room
0549	1	Seito Celebration
0550	1	Taverna Opa
0551	1	Timpano Italian Chophouse
0552	1	Bice Ristorante
0553	1	Blue Anchor
0554	1	Capt. Hiram's Restaurant
0555	1	Chez Jean-Pierre
0556	1	Conchy Joe's
0557	1	Courtine's
0558	1	Food Shack
0559	1	Hamburger Heaven
0560	1	Havana
0561	1	Il Bellagio
0562	1	La Tre
0563	1	Spoto's
0564	1	Station House
0565	1	Ta-bo&oacute;
0566	1	Truluck's
0567	1	Uncle Tai's
0568	1	Capri Restaurant
0569	1	Captain's Restaurant and Seafood Market
0570	1	Havana Cafe
0571	1	NicaMex
0572	1	Rosita's Restaurante
0573	1	Ballyhoo's
0574	1	El Siboney
0575	1	The Fish House
0576	1	Good Food Conspiracy
0577	1	Green Turtle Inn
0578	1	Half Shell Raw Bar
0579	1	Herbie's
0580	1	Kaiy&oacute;
0581	1	Lobo's Mixed Grill
0582	1	Mangia Mangia
0583	1	Mrs. Mac's Kitchen
0584	1	No Name Pub
0585	1	Pisces
0586	1	Seven Fish
0587	1	Turtle Kraals
0588	1	Uncle's Restaurant
0589	1	Aura
0590	1	Bert's Bar &amp; Grill
0591	1	Biddle's Restaurant &amp; Piano Bar
0592	1	Bistro 41
0593	1	Bubble Room
0594	1	Cibo
0595	1	Matanzas Inn
0596	1	Olio on Naples Bay
0597	1	Over Easy Caf&eacute;
0598	1	The Pla.k.a
0599	1	Rumrunners
0600	1	Sale e Pepe
0601	1	Siam Hut
0602	1	Angler's
0603	1	Billy's Steamed Seafood Restaurant, Oyster Bar, and Crab House
0604	1	Boars Head
0605	1	Boss Oyster
0606	1	Capt. Anderson's
0607	1	Decent Pizza
0608	1	Global Grill
0609	1	Rag Tyme Grille
0610	1	Staff's
0611	1	Bella's Italian Cafe
0612	1	Bijou Caf&eacute;
0613	1	Caf&eacute; L'Europe
0614	1	Euphemia Haye
0615	1	Hurricane Seafood Restaurant
0616	1	Redwoods
0617	1	Salt Rock Grill
0618	1	TooJay's
0619	1	TooJay's
0620	1	Yoder's
0621	1	Mama Della's
0622	1	NASCAR Sports Grille
0623	1	Tchoup Chop
0624	1	Artist Point
0625	1	Boma
0626	1	Chef Mickey's
0627	1	Citricos
0628	1	Wolfgang Puck
0629	1	Aria
0630	1	Babette's Cafe
0631	1	Caf&eacute; Elan
0632	1	Canoe
0633	1	City Grill
0634	1	Colonnade Restaurant
0635	1	Dogwood
0636	1	The Earl
0637	1	Eclipse di Luna
0638	1	Flying Biscuit
0639	1	Horseradish Grill
0640	1	JCT Kitchen &amp; Bar
0641	1	La Grotta Ristorante Italiano
0642	1	MF Sushibar
0643	1	Sotto Sotto
0644	1	Straits
0645	1	Sugo Restaurant and Tapas
0646	1	Tamarind Seed
0647	1	Taqueria los Hermanos
0648	1	Veni Vidi Vici
0649	1	Villa Christina
0650	1	Zocalo
0651	1	The Grit
0652	1	Harry Bissett's
0653	1	Ye Olde Colonial Restaurant
0654	1	Glen-Ella Springs Inn &amp; Meeting Place
0655	1	Serenity Garden Caf&eacute;
0656	1	Blowin' Smoke BBQ
0657	1	Elizabeth on 37th
0658	1	The Lady &amp; Sons
0659	1	Noble Fare
0660	1	Liam's Restaurant
0661	1	Mom and Dad's Italian Restaurant
0662	1	Courtyard at Crane
0663	1	Grand Dining Room
0664	1	Mudcat Charlie's
0665	1	Okefenokee Restaurant
0666	1	The Rah Bar
0667	1	SeaJay's Waterfront Caf&eacute; &amp; Pub
0668	1	Adriana's
0669	1	Ba-Le
0670	1	Bears' Coffee
0671	1	Blane's Drive-In
0672	1	Brown's Beach House at the Fairmont Orchid Hawaii
0673	1	Bubba Gump Shrimp Company
0674	1	Caf&eacute; 100
0675	1	Caf&eacute; Pesto
0676	1	Coast Grille at Hapuna Beach Prince Hotel
0677	1	The Coffee Shack
0678	1	Fish Hopper
0679	1	Grand Palace Chinese Restaurant
0680	1	The Grill at the Fairmont Orchid Hawaii
0681	1	Huli Sue's BBQ and Grill
0682	1	Kai at the Sheraton Keauhou Bay
0683	1	Kawaihae Harbor Grill &amp; Seafood Bar
0684	1	Keei Caf&eacute;
0685	1	Luquin's Mexican Restaurant
0686	1	Merriman's
0687	1	Merriman's Market Caf&eacute;
0688	1	O's Bistro
0689	1	Pahuia at the Four Seasons Resort Hualalai
0690	1	Pancho &amp; Lefty's
0691	1	Peaberry &amp; Galette
0692	1	Reuben's Mexican Restaurant
0693	1	Roy's Waikoloa Bar &amp; Grill
0694	1	The Seaside Restaurant and Aqua Farm
0695	1	Solimene's
0696	1	Sushi Rock
0697	1	Thai Thai Restaurant
0698	1	Uncle Billy's
0699	1	3660 on the Rise
0700	1	Aaron's Atop the Ala Moana
0701	1	Akasaka
0702	1	Alan Wong's Pineapple Room
0703	1	Antonio's New York Pizzeria
0704	1	Baci Bistro
0705	1	Cafe Laufer
0706	1	Chiang Mai
0707	1	Cinnamon's Restaurant
0708	1	Dixie Grill
0709	1	Downtown @ the HiSam
0710	1	E &amp; O Trading Co.
0711	1	Formaggio
0712	1	Green Door
0713	1	Kincaid's Fish, Chop &amp; Chowder House
0714	1	L&amp;L Drive Inn
0715	1	Legend Seafood Restaurant
0716	1	Mei Sum Chinese Dim Sum Restaurant
0717	1	Michel's at the Colony Surf
0718	1	Mondo Gelato
0719	1	Nick's Fishmarket
0720	1	Nico's at Pier 38
0721	1	Ninnikuya, the Garlic Restaurant
0722	1	Nobu
0723	1	Orchids
0724	1	Pavilion Cafe
0725	1	Sam Choy's Diamond Head
0726	1	Sarento's Top of the "I"
0727	1	Singha Thai Cuisine
0728	1	Ted's Bakery
0729	1	Teddy's Bigger Burgers
0730	1	Tiki's Grill and Bar
0731	1	To Chau
0732	1	Todai Restaurant Waikiki
0733	1	town
0734	1	Beach House
0735	1	Bull Shed
0736	1	Dani's Restaurant
0737	1	Duke's Canoe Club
0738	1	The Grove Caf&eacute; at Waimea Brewing Company
0739	1	Hamura Saimin
0740	1	Mema Thai Chinese Cuisine
0741	1	Pizzetta
0742	1	Plantation Gardens
0743	1	Poipu Tropical Burgers
0744	1	Postcards Caf&eacute;
0745	1	Scotty's Beachside BBQ
0746	1	Wrangler's Steakhouse
0747	1	The Dining Room
0748	1	A.K.'s Caf&eacute;
0749	1	Cafe O'Lei
0750	1	Casanova Italian Restaurant &amp; Deli
0751	1	Cilantro
0752	1	Ferraro's Bar e Ristorante
0753	1	Fiesta Time
0754	1	The Gazebo Restaurant
0755	1	Humuhumunukunukuapuaa
0756	1	Jacques North Shore
0757	1	Joe's
0758	1	Ko
0759	1	Koho Grill and Bar
0760	1	Lahaina Coolers
0761	1	Makawao Steak House
0762	1	Marco's Grill &amp; Deli
0763	1	Milagro's
0764	1	Nick's Fishmarket Maui
0765	1	OnO
0766	1	PacificO
0767	1	Sansei Seafood Restaurant &amp; Sushi Bar
0768	1	Sea House Restaurant
0769	1	Seascape Maalaea
0770	1	Thailand Cuisine
0771	1	Waterfront Restaurant
0772	1	Kanemitsu Bakery and Restaurant
0773	1	Oviedo's
0774	1	Army and Lou's
0775	1	Avec
0776	1	Billy Goat Tavern
0777	1	Brasserie Jo
0778	1	Cafe Iberico
0779	1	Caf&eacute; Selmarie
0780	1	Charlie Trotter's
0781	1	Chicago Brauhaus
0782	1	Crofton on Wells
0783	1	Cyrano's Bistrot Wine Bar &amp; Cabaret
0784	1	De Cero Taqueria
0785	1	Everest
0786	1	Frontera Grill
0787	1	Gene and Georgetti
0788	1	Green Zebra
0789	1	Heaven on Seven
0790	1	Hot Doug's
0791	1	HotChocolate Restaurant and Dessert Bar
0792	1	Ina's
0793	1	Keefer's
0794	1	L20
0795	1	La Sardine
0796	1	Lao Sze Chuan
0797	1	Le Bouchon
0798	1	March&eacute;
0799	1	Mercat a la Planxa
0800	1	mk
0801	1	Morton's, The Steakhouse
0802	1	Moto
0803	1	Nacional 27
0804	1	North Pond
0805	1	Opera
0806	1	Pizzeria Due
0807	1	Salpic&oacute;n
0808	1	Scoozi!
0809	1	Signature Lounge
0810	1	Smoque BBQ
0811	1	Spacca Napoli Pizzeria
0812	1	Turquoise Restaurant and Caf&eacute;
0813	1	Twin Anchors Restaurant &amp; Tavern
0814	1	Urban Belly
0815	1	Vermilion
0816	1	Vivo
0817	1	West Town Tavern
0818	1	Yoshi's Caf&eacute;
0819	1	Lilly's
0820	1	Angelo Brocato's
0821	1	Clancy's
0822	1	Clementine's Belgian Bistrot
0823	1	Commander's Palace
0824	1	Crabby Jack's
0825	1	Dakota
0826	1	El Gato Negro
0827	1	Fiorella's Caf&eacute;
0828	1	Franky &amp; Johnny's
0829	1	Galatoire's
0830	1	GW Fins
0831	1	Herbsaint
0832	1	Jacques-Imo's Cafe
0833	1	La Cr&ecirc;pe Nanou
0834	1	La Petite Grocery
0835	1	Lilette
0836	1	Mr. B's Bistro
0837	1	Muriel's Jackson Square
0838	1	ONE
0839	1	Parkway Bakery &amp; Tavern
0840	1	Praline Connection
0841	1	Ralph's on the Park
0842	1	Rio Mar
0843	1	Tommy's Cuisine
0844	1	W&nbsp;Le Meritage
0845	1	Wolfe's
0846	1	The Cabin
0847	1	Caf&eacute; des Amis
0848	1	Carriage House Restaurant
0849	1	Hebert's Specialty Meats
0850	1	Pamplona Tapas Bar
0851	1	Prejean's
0852	1	T-Coon's Caf&eacute;
0853	1	Tsunami
0854	1	Abel's Lobster Pound
0855	1	Bass Cocina de Tapeo
0856	1	Burning Tree
0857	1	Caf&eacute; 2/Eat-A-Pita
0858	1	Carmen Verandah
0859	1	Geddy's
0860	1	Guinness &amp; Porcelli's
0861	1	Little Notch Pizzeria
0862	1	Seafood Ketch
0863	1	Lily's
0864	1	Anchor Inn Restaurant
0865	1	China Rose
0866	1	Dolphin Chowder House
0867	1	King Eider's Pub &amp; Restaurant
0868	1	Mae's Caf&eacute; &amp; Bakery
0869	1	McSeagull's
0870	1	Miller's Lobster Company
0871	1	Moody's Diner
0872	1	Red's Eats
0873	1	Salt Bay Caf&eacute;
0874	1	Scarlet Begonias
0875	1	Sea Dog Brew Pub
0876	1	Solo Bistro
0877	1	Starlight Caf&eacute;
0878	1	Wild Oats Bakery
0879	1	Amalfi on the Water
0880	1	Atlantica
0881	1	Bay Wrap
0882	1	Chez Michel
0883	1	Darby's Restaurant and Pub
0884	1	Dockside Family Restaurant
0885	1	Ephemere Cafe
0886	1	Landings Restaurant &amp; Marina
0887	1	The Lobster Bar
0888	1	Marcel's
0889	1	Nicky's Cruisin' Diner
0890	1	Rhumb Line
0891	1	Thistle's
0892	1	Weathervane Seafood Restaurant
0893	1	Whale's Tooth Pub &amp; Restaurant
0894	1	Bintliff's Restaurant
0895	1	Dockside Restaurant
0896	1	Foster's Downeast Clambake
0897	1	Grissini
0898	1	Harbor Porches
0899	1	Joseph's by the Sea
0900	1	The Landmark
0901	1	Lodge Restaurant at Spring Hill
0902	1	Maine Diner
0903	1	White Barn Inn
0904	1	Gilbert's Chowder House
0905	1	Harraseeket Lunch &amp; Lobster Co.
0906	1	Lobster Shack
0907	1	44 Degrees North Restaurant &amp; Pub
0908	1	Blue Bird Ranch
0909	1	Eastport Chowder House
0910	1	Solos
0911	1	Uncle Kippy's Restaurant
0912	1	El Toro Bravo
0913	1	Abacrombie
0914	1	Babalu Grill
0915	1	Baltimore Pho
0916	1	Blue Agave
0917	1	Blue Moon Dining House
0918	1	The Brass Elephant
0919	1	Cinghiale
0920	1	Gertrude's
0921	1	The Helmand
0922	1	La Tavola
0923	1	Louisiana
0924	1	Obrycki's Crab House
0925	1	Red Maple
0926	1	Tapabar
0927	1	Tapas Teatro
0928	1	Cornish Manor
