restaurant	zagat	cuisine
0450	1	Thai
0451	1	Italian Southern
0452	1	Eclectic / Int'l, Vegetarian
0453	1	Nuevo Latino
0454	1	Chinese
0455	1	Sushi
0456	1	American
0457	1	Italian Northern
0458	1	Tapas
0459	1	French (New)
0460	1	Pub Food
0461	1	Indian
0462	1	American (Traditional)
0463	1	Sushi, Yakitori / Poultry
0464	1	Italian
0465	1	Mexican
0466	1	American (New)
0467	1	Italian
0468	1	Eclectic / Int'l
0469	1	Irish, Pub Food
0470	1	Indian, Nepalese
0471	1	Pizza
0472	1	Greek
0473	1	Nuevo Latino
0474	1	Chinese
0475	1	Italian, Pizza
0476	1	Mediterranean
0477	1	Irish
0478	1	Italian
0479	1	Coffeeshop / Diner, Eclectic / Int'l
0480	1	American (New)
0481	1	Steakhouse
0482	1	Italian Northern
0483	1	Hungarian
0484	1	American (Traditional)
0485	1	American (New), Pizza
0486	1	Persian / Iranian
0487	1	Soul Food
0488	1	Italian, Seafood
0489	1	Tapas
0490	1	Mexican
0491	1	Italian
0492	1	Chinese, Vietnamese
0493	1	European Fusion
0494	1	Italian
0495	1	Pizza
0496	1	Mandarin, Sichuan
0497	1	American (Traditional), Italian
0498	1	Lebanese
0499	1	Pizza
0500	1	Eclectic / Int'l, Small Plates
0501	1	American (New)
0502	1	Italian
0503	1	American
0504	1	Sushi
0505	1	Mediterranean, Pizza
0506	1	Sushi
0507	1	Continental
0508	1	American (New)
0509	1	Pizza
0510	1	Pub Food
0511	1	Italian
0512	1	American (Traditional)
0513	1	Eclectic / Int'l
0514	1	Deli
0515	1	Pan-Latin
0516	1	Pan-Asian
0517	1	Chinese
0518	1	Mexican
0519	1	American (New)
0520	1	Italian Southern
0521	1	Steakhouse
0522	1	American (New)
0523	1	American (New), Fondue
0524	1	Indian
0525	1	American, Indian
0526	1	American (New)
0527	1	Pan-Latin
0528	1	American
0529	1	American (Traditional), Pub Food
0530	1	Italian
0531	1	French: Seafood
0532	1	French
0533	1	Pizza, Pub Food
0534	1	Steakhouse
0535	1	Italian
0536	1	Seafood
0537	1	Italian
0538	1	Italian Northern
0539	1	Steakhouse
0540	1	American (New)
0541	1	Chinese, Indian
0542	1	Pan-Asian
0543	1	Continental
0544	1	Mexican, Steakhouse
0545	1	American
0546	1	American (New)
0547	1	American (New)
0548	1	Coffeeshop / Diner
0549	1	Dessert
0550	1	American New England
0551	1	Mediterranean
0552	1	American
0553	1	Cajun, Mexican
0554	1	Italian
0555	1	Mediterranean
0556	1	American
0557	1	American
0558	1	American
0559	1	European, Japanese
0560	1	American (Traditional), Pub Food
0561	1	Seafood
0562	1	Greek
0563	1	American (Traditional)
0564	1	Pan-Asian, Sushi
0565	1	Italian
0566	1	American (Traditional)
0567	1	American (New)
0568	1	Seafood
0569	1	American (New)
0570	1	Thai
0571	1	Californian, Mediterranean
0572	1	American (Traditional)
0573	1	Steakhouse
0574	1	Coffeeshop / Diner
0575	1	Deli
0576	1	Italian
0577	1	American (Traditional)
0578	1	American (Traditional)
0579	1	Deli
0580	1	Pizza
0581	1	Thai
0582	1	Chinese
0583	1	Health Food, Macrobiotic, Vegan
0584	1	American
0585	1	French
0586	1	Barbecue, Southern
0587	1	American (Traditional)
0588	1	Seafood
0589	1	American (Traditional), Hamburgers
0590	1	Turkish
0591	1	Malaysian
0592	1	Indian
0593	1	Thai
0594	1	Japanese
0595	1	American (Traditional), Sushi
0596	1	Italian
0597	1	American (New), Pub Food
0598	1	Deli
0599	1	Health Food, Vegetarian
0600	1	Seafood
0601	1	Barbecue
0602	1	Pub Food
0603	1	American (New)
0604	1	Thai
0605	1	Mediterranean
0606	1	Pizza
0607	1	American (New)
0608	1	Seafood
0609	1	American (New)
0610	1	Japanese
0611	1	Mediterranean
0612	1	Seafood
0613	1	Italian Northern
0614	1	Japanese
0615	1	Pizza
0616	1	Eclectic / Int'l
0617	1	Afghan
0618	1	Steakhouse
0619	1	Italian
0620	1	American (New)
0621	1	Italian
0622	1	Mexican
0623	1	Steakhouse
0624	1	American (New)
0625	1	Eclectic / Int'l
0626	1	Seafood
0627	1	Pizza
0628	1	Italian
0629	1	Eclectic / Int'l
0630	1	American (New)
0631	1	Catalan
0632	1	American (New)
0633	1	Eclectic / Int'l, Health Food, Vegetarian
0634	1	American (New)
0635	1	Mediterranean
0636	1	Steakhouse
0637	1	American (Traditional), Deli, Kosher/Kosher-Style
0638	1	American (New)
0639	1	American (Traditional), Health Food
0640	1	Mexican
0641	1	American (New)
0642	1	American (New)
0643	1	American (Traditional), Coffeeshop / Diner
0644	1	American (Traditional), Ice Cream
0645	1	Mandarin
0646	1	American (Traditional)
0647	1	Hamburgers
0648	1	Chinese
0649	1	Indian, Vegetarian
0650	1	Pan-Asian, Sushi
0651	1	American (New), Hawaiian
0652	1	American (New)
0653	1	Seafood
0654	1	Hamburgers
0655	1	Pub Food
0656	1	American (Traditional)
0657	1	American (New)
0658	1	Mexican
0659	1	American (New)
0660	1	Seafood
0661	1	American (Traditional)
0662	1	Sushi
0663	1	Coffeeshop / Diner
0664	1	Steakhouse
0665	1	Mandarin
0666	1	Steakhouse
0667	1	Mexican
0668	1	American (Traditional), Coffeeshop / Diner, Ice Cream
0669	1	American (New)
0670	1	French
0671	1	Italian
0672	1	Barbecue
0673	1	Southern
0674	1	Steakhouse
0675	1	American
0676	1	Steakhouse
0677	1	Italian Northern, Italian Southern
0678	1	American (New)
0679	1	American (New)
0680	1	French (Bistro)
0681	1	French (Bistro)
0682	1	French: Seafood
0683	1	Indian
0684	1	Seafood
0685	1	French
0686	1	Creole, Southwestern
0687	1	Mexican
0688	1	Persian
0689	1	Mexican
0690	1	Steakhouse
0691	1	American (New)
0692	1	Chinese
0693	1	French: Seafood
0694	1	Tex-Mex
0695	1	Italian
0696	1	American (New), Small Plates
0697	1	Tex-Mex
0698	1	American (New)
0699	1	American (Traditional)
0700	1	American (Traditional), Dessert
0701	1	Eclectic / Int'l
0702	1	American
0703	1	Mexican
0704	1	Vegetarian
0705	1	Sushi
0706	1	Pan-Asian
0707	1	Eclectic / Int'l, Vegetarian
0708	1	Indian
0709	1	American
0710	1	Deli, Jewish
0711	1	Deli, Jewish
0712	1	American (New), Hawaiian
0713	1	Korean
0714	1	American (New)
0715	1	Hamburgers
0716	1	Hamburgers
0717	1	Barbecue
0718	1	Barbecue
0719	1	Seafood, Steakhouse
0720	1	Cajun, Seafood
0721	1	Vietnamese
0722	1	Mediterranean, Middle Eastern
0723	1	Seafood
0724	1	Italian
0725	1	Italian
0726	1	Tex-Mex
0727	1	Brazilian, Steakhouse
0728	1	Pizza
0729	1	Deli
0730	1	American (New)
0731	1	Greek
0732	1	Barbecue
0733	1	Turkish
0734	1	Italian
0735	1	Steakhouse
0736	1	Italian
0737	1	Italian Northern, Italian Southern
0738	1	Pan-Asian
0739	1	American (New)
0740	1	Mexican
0741	1	American (Traditional)
0742	1	Eclectic / Int'l, Small Plates
0743	1	Sushi
0744	1	Seafood, Steakhouse
0745	1	Sandwiches
0746	1	American (Traditional)
0747	1	American
0748	1	Vietnamese
0749	1	Eclectic / Int'l
0750	1	Teppanyaki
0751	1	Italian
0752	1	Hamburgers
0753	1	Italian
0754	1	Italian
0755	1	Mexican
0756	1	Seafood
0757	1	American (Traditional), Tex-Mex
0758	1	Asian
0759	1	Tuscan
0760	1	Italian
0761	1	Steakhouse
0762	1	Steakhouse
0763	1	American (Traditional)
0764	1	French
0765	1	Italian, Small Plates
0766	1	Eclectic / Int'l
0767	1	Steakhouse
0768	1	Eclectic / Int'l
0769	1	Mexican, Southwestern
0770	1	Italian
0771	1	Jamaican
0772	1	American (Traditional)
0773	1	Italian, Small Plates
0774	1	American
0775	1	American
0776	1	Continental
0777	1	Sushi, Teppanyaki
0778	1	Mexican
0779	1	Japanese
0780	1	American (Traditional)
0781	1	American
0782	1	Small Plates, Tapas
0783	1	Japanese
0784	1	Asian, Small Plates
0785	1	Asian
0786	1	Japanese
0787	1	Italian
0788	1	Steakhouse
0789	1	French
0790	1	Thai
0791	1	Italian
0792	1	Seafood, Sushi
0793	1	Greek, Mediterranean
0794	1	Barbecue
0795	1	Pizza
0796	1	Seafood, Steakhouse
0797	1	Sushi
0798	1	Irish, Pub Food
0799	1	Sushi
0800	1	Chinese, Noodle Shop
0801	1	Italian
0802	1	Coffeeshop / Diner
0803	1	Italian Northern
0804	1	Coffeeshop / Diner
0805	1	French (New)
0806	1	Pizza
0807	1	Hot Dogs
0808	1	French (Bistro)
0809	1	Sushi
0810	1	Japanese, Small Plates
0811	1	Steakhouse
0812	1	Italian
0813	1	American (New), Small Plates
0814	1	Hawaiian
0815	1	Chinese
0816	1	Indian
0817	1	Cantonese, Sichuan
0818	1	Steakhouse
0819	1	American (New)
0820	1	Deli
0821	1	Japanese
0822	1	Continental
0823	1	Italian, Mediterranean
0824	1	American (New)
0825	1	Hamburgers
0826	1	Pizza
0827	1	Pizza
0828	1	Italian
0829	1	American
0830	1	American (New)
0831	1	Tex-Mex
0832	1	Greek
0833	1	American (Traditional)
0834	1	Eclectic / Int'l, Health Food
0835	1	Mexican
0836	1	American
0837	1	Pan-Asian, Sushi
0838	1	Seafood
0839	1	Jewish
0840	1	American (New), Continental
0841	1	Japanese, Small Plates
0842	1	Deli
0843	1	New England, Seafood
0844	1	Cajun, Southern
0845	1	American (New)
0846	1	Greek
0847	1	Italian, Pizza
0848	1	Pizza
0849	1	Italian
0850	1	Pizza
0851	1	American (New)
0852	1	American (Traditional), Coffeeshop / Diner, Dessert
0853	1	American (New), Coffeehouse, Dessert
0854	1	American (Traditional)
0855	1	American
0856	1	American (Traditional), Hamburgers
0857	1	Seafood
0858	1	Pizza
0859	1	Italian
0860	1	Italian
0861	1	Irish
0862	1	Italian Northern
0863	1	Izakaya, Small Plates, Sushi
0864	1	Italian
0865	1	Spanish
0866	1	Coffeehouse
0867	1	Hamburgers
0868	1	Continental, Japanese
0869	1	Barbecue
0870	1	Mexican
0871	1	Asian, Kosher/Kosher-Style
0872	1	American, Seafood, Steakhouse
0873	1	Pizza
0874	1	Sicilian
0875	1	Italian
0876	1	American (New), Eclectic / Int'l, Pizza
0877	1	American (New)
0878	1	American (Traditional), Continental, Seafood
0879	1	American (New)
0880	1	Italian
0881	1	Italian
0882	1	Deli, Kosher/Kosher-Style
0883	1	Coffeeshop / Diner
0884	1	American
0885	1	American (Traditional)
0886	1	American (New)
0887	1	Indian
0888	1	Italian
0889	1	Pizza
0890	1	Mexican
0891	1	American (Traditional)
0892	1	American (New)
0893	1	Pan-Asian
0894	1	Dessert
0895	1	Turkish
0896	1	Italian
0897	1	American, Continental
0898	1	Barbecue
0899	1	Pan-Latin
0900	1	Seafood
0901	1	Dim Sum
0902	1	Italian
0903	1	Mexican
0904	1	Colombian
0905	1	Pizza
0906	1	Italian
0907	1	Chinese
0908	1	American (New)
0909	1	Israeli
0910	1	American (New)
0911	1	Tongue
0912	1	American (Traditional)
0913	1	Japanese
0914	1	Seafood
0915	1	Barbecue
0916	1	Indian, Vegetarian
0917	1	Seafood
0918	1	Italian Northern
0919	1	Italian
0920	1	Japanese
0921	1	Indian
0922	1	American (Traditional)
0923	1	Seafood
0924	1	Japanese
0925	1	Italian
0926	1	Sushi
0927	1	Sushi
0928	1	Italian
0929	1	Italian
0930	1	Mexican, Spanish
0931	1	Italian, Pizza
0932	1	Italian Northern
0933	1	Pizza
0934	1	Thai
0935	1	Deli
0936	1	Pizza
0937	1	American (Traditional)
0938	1	Irish
0939	1	Mexican
0940	1	American (New)
0941	1	Portuguese
0942	1	Pizza
0943	1	Mexican
0944	1	Deli
0945	1	Italian
0946	1	American (New), Eclectic / Int'l
0947	1	Pub Food
0948	1	Italian
0949	1	Italian
0950	1	American (New), Pan-Asian
0951	1	Mexican
0952	1	Mexican
0953	1	Seafood, Steakhouse
0954	1	American (New)
0955	1	American (Traditional), Coffeeshop / Diner
0956	1	Pizza
0957	1	Italian
0958	1	Sushi
0959	1	American (New), Eclectic / Int'l
0960	1	Italian, Mediterranean
0961	1	American (New), Small Plates
0962	1	Italian
0963	1	American (Traditional), Hamburgers, Pub Food
0964	1	French
0965	1	Continental, German
0966	1	Seafood, Steakhouse
0967	1	American (Regional)
0968	1	American (Traditional), Coffeeshop / Diner
0969	1	Chinese
0970	1	Seafood
0971	1	Californian
0972	1	Steakhouse
0973	1	Californian
0974	1	American (New)
0975	1	Californian, French, Small Plates
0976	1	Mexican
0977	1	Mexican
0978	1	Mexican
0979	1	Brazilian, Steakhouse
0980	1	Japanese
0981	1	Pakistani
0982	1	Mexican
0983	1	Italian
0984	1	Greek
0985	1	Mexican
0986	1	Hawaiian
0987	1	Japanese
0988	1	Pizza
0989	1	Coffeehouse
0990	1	Indian
0991	1	Californian
0992	1	Californian
0993	1	Italian
0994	1	French (Bistro)
0995	1	Armenian
0996	1	Indian
0997	1	Mexican
0998	1	Coffeehouse
0999	1	Salvadoran
1000	1	Italian
1001	1	Eastern European, Mediterranean
1002	1	Steakhouse
1003	1	American
1004	1	Japanese, Noodle Shop
1005	1	Asian Fusion, Cuban
1006	1	Persian / Iranian
1007	1	Irish, Pub Food
1008	1	Japanese
1009	1	Barbecue
1010	1	Asian Fusion
1011	1	Italian
1012	1	Mexican
1013	1	Chinese
1014	1	Chinese
1015	1	Sushi
1016	1	Tapas
1017	1	Eclectic / Int'l
1018	1	Hamburgers
1019	1	American (New)
1020	1	French, Swiss
1021	1	French (New)
1022	1	Italian
1023	1	Korean
1024	1	Barbecue
1025	1	American (New)
1026	1	Californian
1027	1	French (Bistro)
1028	1	American (Traditional)
1029	1	American (Traditional)
1030	1	Steakhouse, Teppanyaki
1031	1	Pan-Latin
1032	1	Pizza
1033	1	Steakhouse
1034	1	Continental
1035	1	French (Bistro)
1036	1	American (Traditional)
1037	1	American
1038	1	American (New)
1039	1	American (Traditional)
1040	1	Cajun, Seafood, Vietnamese
1041	1	Spanish
1042	1	Indian
1043	1	Indian
1044	1	Indian
1045	1	Japanese
1046	1	Barbecue
1047	1	Thai
1048	1	Sushi
1049	1	Chicken
1050	1	Italian
1051	1	American (New)
1052	1	Californian, Continental
1053	1	Continental
1054	1	French (Brasserie)
1055	1	Italian
1056	1	Deli
1057	1	Italian, Pizza
1058	1	American
1059	1	Italian Southern
1060	1	American (Traditional)
1061	1	American (Traditional)
1062	1	Hamburgers, Middle Eastern
1063	1	Barbecue
1064	1	American
1065	1	Mexican
1066	1	American (Traditional), Coffeeshop / Diner
1067	1	Coffeehouse
1068	1	French (Bistro)
1069	1	Greek
1070	1	Californian, Dessert
1071	1	Mediterranean
1072	1	Californian
1073	1	French (Bistro)
1074	1	Sushi
1075	1	Eclectic / Int'l
1076	1	Italian
1077	1	Japanese
1078	1	Italian
1079	1	Italian
1080	1	Southwestern
1081	1	Asian Fusion
1082	1	Mediterranean
1083	1	French (Bistro)
1084	1	American (Traditional)
1085	1	Pizza
1086	1	Italian
1087	1	Californian, Eclectic / Int'l
1088	1	Mexican
1089	1	Italian
1090	1	Italian
1091	1	Italian, Sandwiches
1092	1	Italian
1093	1	Lebanese
1094	1	Middle Eastern
1095	1	Mexican
1096	1	Coffeehouse
1097	1	Persian / Iranian
1098	1	Hamburgers
1099	1	American (New), Californian
1100	1	American
1101	1	American (Traditional), Californian
1102	1	Thai
1103	1	Seafood, Steakhouse
1104	1	Italian, Pizza
1105	1	Californian
1106	1	American
1107	1	Mexican
1108	1	Californian, Cantonese
1109	1	Korean Barbecue
1110	1	Chinese
1111	1	Indian
1112	1	Californian, Italian Northern
1113	1	Cajun
1114	1	American (Traditional)
1115	1	Californian, Italian
1116	1	Coffeehouse
1117	1	Californian, Italian
1118	1	American (Traditional)
1119	1	Hamburgers
1120	1	Seafood
1121	1	Vietnamese
1122	1	Sushi
1123	1	Crêpes
1124	1	Californian
1125	1	Japanese Western / Spaghetti
1126	1	Californian
1127	1	American (New)
1128	1	Hamburgers
1129	1	Italian Southern
1130	1	Japanese
1131	1	Continental
1132	1	Italian
1133	1	Mediterranean
1134	1	Pizza
1135	1	Mexican
1136	1	Persian
1137	1	Seafood
1138	1	Eclectic / Int'l
1139	1	Chinese
1140	1	Mexican
1141	1	Eclectic / Int'l
1142	1	Italian
1143	1	Chinese
1144	1	Indian
1145	1	Eclectic / Int'l
1146	1	Californian
1147	1	American (Traditional)
1148	1	Italian Northern
1149	1	Mexican
1150	1	Cuban
1151	1	Argentinean
1152	1	Mexican
1153	1	Mexican
1154	1	Chicken
1155	1	Mexican
1156	1	American (Traditional)
1157	1	American (Traditional), Gastropub
1158	1	Californian
1159	1	Italian
1160	1	Deli
1161	1	Persian / Iranian
1162	1	Eclectic / Int'l
1163	1	Vegetarian
1164	1	Peruvian
1165	1	Irish
1166	1	American (New)
1167	1	American
1168	1	Seafood
1169	1	Indian
1170	1	Italian
1171	1	Seafood, Steakhouse
1172	1	Chinese
1173	1	Austrian (Modern), Californian
1174	1	Asian Fusion
1175	1	Chinese
1176	1	American (Traditional)
1177	1	Mexican
1178	1	French
1179	1	French (Bistro), Provence
1180	1	Italian
1181	1	Deli
1182	1	Lebanese, Mediterranean
1183	1	Japanese
1184	1	Brazilian, Italian
