restaurant	pickarestaurant	phone
0107	1	214-747-2490
0108	1	972-248-1435
0109	1	214-339-7669
0110	1	214-661-5356
0111	1	214-994-9048
0112	1	972-404-1852
0113	1	972-247-2610
0114	1	214-352-2752
0115	1	214-634-5278
0116	1	214-443-1891
0117	1	214-357-7120
0118	1	214-891-8844
0119	1	214-979-0102
0120	1	972-980-4262
0121	1	214-905-0511
0122	1	214-374-9412
0123	1	214-342-5393
0124	1	214-321-4766
0125	1	972-387-2900
0126	1	972-243-6322
0127	1	214-349-7035
0128	1	972-726-0077
0129	1	214-219-0369
0130	1	972-866-6707
0131	1	214-327-9266
0132	1	972-243-3443
0133	1	972-231-4335
0134	1	972-720-1505
0135	1	972-557-1800
0136	1	214-241-1880
0137	1	214-426-4156
0138	1	214-987-2290
0139	1	214-823-0397
0140	1	214-748-3839
0141	1	972-774-9966
0142	1	214-366-2600
0143	1	214-637-5565
0144	1	214-741-1901
0145	1	972-279-7924
0146	1	972-557-7721
0147	1	972-783-0397
0148	1	972-241-8585
0149	1	214-630-3136
0150	1	214-821-0731
0151	1	214-987-1348
0152	1	972-931-8898
0153	1	214-969-7363
0154	1	214-880-7490
0155	1	214-265-9105
0156	1	214-760-9990
0157	1	214-428-2203
0158	1	972-385-6468
0159	1	214-692-5861
0160	1	214-871-0808
0161	1	972-788-4400
0162	1	214-402-9450
0163	1	972-869-4300
0164	1	214-747-OPEN
0165	1	214-358-4111
0166	1	214-219-6161
0167	1	214-654-9114
0168	1	214-248-8861
0169	1	972-709-4685
0170	1	214-942-6967
0171	1	214-360-0700
0172	1	214-922-0406
0173	1	214-369-5955
0174	1	214-942-0017
0175	1	214-221-7171
0176	1	214-761-1662
0177	1	214-692-1299
0178	1	214-350-7300
0179	1	214-946-8925
0180	1	214-823-1131
0181	1	214-328-4343
0182	1	214-358-2800
0183	1	214-941-0540
0184	1	214-234-7000
0185	1	214-358-1912
0186	1	214-669-0364
0187	1	972-447-9616
0188	1	214-521-4700
0189	1	214-699-9788
0190	1	214-689-9858
0191	1	214-634-0180
0192	1	214-951-7333
0193	1	214-638-0903
0194	1	972-385-9000
0195	1	214-946-4252
0196	1	214-239-6868
0197	1	214-357-8583
0198	1	214-330-1447
0199	1	214-296-0751
0200	1	214-946-1610
0201	1	214-503-8181
0202	1	972-490-8855
0203	1	214-398-6145
0204	1	972-298-0289
0205	1	214-333-9622
0206	1	214-319-9776
0207	1	214-987-3291
0208	1	972-572-1668
0209	1	214-821-0822
0210	1	972-406-0087
0211	1	214-692-5497
0212	1	214-720-5249
0213	1	214-740-2400
0214	1	214-823-0687
0215	1	214-827-7700
0216	1	214-351-3261
0217	1	972-484-9779
0218	1	214-352-2277
0219	1	214-828-0645
0220	1	972-380-5004
0221	1	972-985-8899
0222	1	972-503-0400
0223	1	972-701-9955
0224	1	214-748-6700
0225	1	214-651-7744
0226	1	214-821-6465
0227	1	972-991-8181
0228	1	972-980-1545
0229	1	972-503-7999
0230	1	214-526-3002
0231	1	214-741-7478
0232	1	214-623-0592
0233	1	214-357-9491
0234	1	214-333-4504
0235	1	214-821-9891
0236	1	214-398-6929
0237	1	214-752-0855
0238	1	214-827-5455
0239	1	214-320-3602
0240	1	972-599-0973
0241	1	214-827-5949
0242	1	972-296-6000
0243	1	214-943-5338
0244	1	214-942-5089
0245	1	972-385-7827
0246	1	214-941-7338
0247	1	214-827-1850
0248	1	214-398-8999
0249	1	214-391-9933
0250	1	214-750-4719
0251	1	214-630-7999
0252	1	214-943-8610
0253	1	214-720-7779
0254	1	214-828-2400
0255	1	972758-0919
0256	1	214-654-9144
0257	1	214-349-1833
0258	1	214-391-1740
0259	1	214-265-0311
0260	1	214-946-6330
0261	1	214-349-1139
0262	1	214-331-4600
0263	1	214-328-1876
0264	1	214-503-0388
0265	1	214-341-9799
0266	1	214-521-3669
0267	1	214-381-9776
0268	1	214-368-4303
0269	1	214-369-9822
0270	1	972-267-9180
0271	1	972-960-9755
0272	1	214-651-8944
0273	1	972-250-9295
0274	1	214-319-7999
0275	1	214-467-3690
0276	1	214-341-6665
0277	1	214-357-6997
0278	1	214-320-9494
0279	1	214-522-3770
0280	1	972-248-8861
0281	1	214-739-3436
0282	1	972-385-3287
0283	1	214-821-7666
0284	1	214-340-0787
0285	1	214-421-1538
0286	1	214-821-4866
0287	1	972-298-5343
0288	1	972-931-5667
0289	1	972-296-7612
0290	1	972-818-8787
0291	1	214-941-1177
0292	1	214-987-2333
0293	1	972-931-7544
0294	1	972-490-4003
0295	1	214-421-1083
0296	1	214-748-7666
0297	1	214-821-9463
0298	1	214-826-5417
0299	1	972-788-8485
0300	1	972-381-7177
0301	1	972-250-9295
0302	1	214-361-1508
0303	1	972-733-1222
0304	1	972-759-BASS
0305	1	214-747-6936
0306	1	972-490-7802
0307	1	972-247-9021
0308	1	214-941-2145
0309	1	214-944-5483
0310	1	214-522-9866
0311	1	214-373-0325
0312	1	214-369-2300
0313	1	214-327-9944
0314	1	214-337-3337
0315	1	214-391-3956
0316	1	214-526-4664
0317	1	214-327-4344
0318	1	214-692-7981
0319	1	214-343-9464
0320	1	214-651-9533
0321	1	214-444-0841
0322	1	214-461-0119
0323	1	972-386-5824
0324	1	214-363-4506
0325	1	214-720-7515
0326	1	214-744-2287
0327	1	972-574-6260
0328	1	214-350-7879
0329	1	214-350-2432
0330	1	214-351-0094
0331	1	214-351-5383
0332	1	214-503-6007
0333	1	214-484-7601
0334	1	972-726-9002
0335	1	972-385-0970
0336	1	214-871-7477
0337	1	214-823-0072
0338	1	214-934-9494
0339	1	972-241-3636
0340	1	214-351-4858
0341	1	214-754-0414
0342	1	972-239-8039
0343	1	972-289-9000
0344	1	214-520-6000
0345	1	214-428-6775
0346	1	214-821-4542
0347	1	214-368-3828
0348	1	214-324-4051
0349	1	972-709-7472
0350	1	214-351-5545
0351	1	972-233-7717
0352	1	214-828-2244
0353	1	214-630-5822
0354	1	972-239-8067
0355	1	214-631-8225
0356	1	214-575-4994
0357	1	214-747-8001
0358	1	972-503-6888
0359	1	214-631-4757
0360	1	972-733-1500
0361	1	972-733-0223
0362	1	214-219-9908
0363	1	214-871-8837
0364	1	214-701-9600
0365	1	214-350-6135
0366	1	972-385-9911
0367	1	214-352-8688
0368	1	214-653-1338
0369	1	214-343-2855
0370	1	972-716-0699
0371	1	972-690-1095
0372	1	214-528-2700
0373	1	214-372-6952
0374	1	214-391-9612
0375	1	214-521-0969
0376	1	214-631-9278
0377	1	214-358-5011
0378	1	214-752-8701
0379	1	214-350-6519
0380	1	214-220-9992
0381	1	972-224-3292
0382	1	972-931-9688
0383	1	972-233-9389
0384	1	214-871-3337
0385	1	214-349-4299
0386	1	214-343-4361
0387	1	214-948-4746
0388	1	972-556-0083
0389	1	972-709-9276
0390	1	214-421-7700
0391	1	972-231-0475
0392	1	972-329-6444
0393	1	214-352-9024
0394	1	214-339-4388
0395	1	972-239-7450
0396	1	214-565-1511
0397	1	214-373-3462
0398	1	214-361-6225
0399	1	214-381-5157
0400	1	214-398-5323
0401	1	214-528-8700
0402	1	214-692-0401
0403	1	214-902-9580
0404	1	214-948-7905
0405	1	972-224-6995
0406	1	214-630-9098
0407	1	214-748-2368
0408	1	214-349-9199
0409	1	214-398-2889
0410	1	214-522-1199
0411	1	214-343-1960
0412	1	214-827-6040
0413	1	214-350-8254
0414	1	214-750-0382
0415	1	214-931-6517
0416	1	214-343-6670
0417	1	972-296-9464
0418	1	214-363-0044
0419	1	972-705-9464
0420	1	214-631-3050
0421	1	214-526-1188
0422	1	214-371-4136
0423	1	214-634-2320
0424	1	972-788-2022
0425	1	214-521-9654
0426	1	214-241-0843
0427	1	214-320-3310
0428	1	214-220-0074
0429	1	214-823-2329
0430	1	214-739-3430
0431	1	214-275-4181
0432	1	214-320-0033
0433	1	214-330-4228
0434	1	214-520-5959
0435	1	214-428-5708
0436	1	214-372-3711
0437	1	214-824-1744
0438	1	214-528-7028
0439	1	214-522-1980
0440	1	972-233-9630
0441	1	214-341-5445
0442	1	214-874-9966
0443	1	214-428-6755
0444	1	214-378-5000
0445	1	972-437-1716
0446	1	214-398-2340
0447	1	214-943-8831
0448	1	214-946-8646
0449	1	214-467-5177
0450	1	972-490-3960
0451	1	214-343-0248
0452	1	214-357-2488
0453	1	972-980-4211
0454	1	214-265-1610
0455	1	214-942-2287
0456	1	972-991-9444
0457	1	214-948-9439
0458	1	214-821-4741
0459	1	214-350-3234
0460	1	214-321-3774
0461	1	214-637-2417
0462	1	214-748-4077
0463	1	972-296-0065
0464	1	214-521-5821
0465	1	214-631-0000
0466	1	214-739-3065
0467	1	214-370-0800
0468	1	214-363-5959
0469	1	214-953-3115
0470	1	972-574-6116
0471	1	214-747-2730
0472	1	214-821-2100
0473	1	214-823-8797
0474	1	214-826-6229
0475	1	214-826-7788
0476	1	214-741-2244
0477	1	214-902-9500
0478	1	214-956-8282
0479	1	972-231-4321
0480	1	214-741-2626
0481	1	214-350-0303
0482	1	214-426-2855
0483	1	214-696-8366
0484	1	214-739-1335
0485	1	214-520-1555
0486	1	972-404-4727
0487	1	214-233-0380
0488	1	214-369-6466
0489	1	214-358-5274
0490	1	972-574-5640
0491	1	214-553-0444
0492	1	972-298-7973
0493	1	214-241-2939
0494	1	214-739-3661
0495	1	214-296-8818
0496	1	214-954-1511
0497	1	214-319-0055
0498	1	214-739-2424
0499	1	214-388-2334
0500	1	214-821-7742
0501	1	972-248-1569
0502	1	214-357-0056
0503	1	214-330-4303
0504	1	214-391-0724
0505	1	214-428-9111
0506	1	972-931-6517
0507	1	972-386-7931
0508	1	214-361-2255
0509	1	214-740-1600
0510	1	214-821-1085
0511	1	972-291-9799
0512	1	214-752-6276
0513	1	214-388-2292
0514	1	214-553-1188
0515	1	214-887-3602
0516	1	972-216-5747
0517	1	214-351-5681
0518	1	214-426-5409
0519	1	214-352-3343
0520	1	940-459-2910
0521	1	214-841-9091
0522	1	972-866-0011
0523	1	214-777-6539
0524	1	214-631-2222
0525	1	214-696-0288
0526	1	214-521-8780
0527	1	972-980-2898
0528	1	214-630-9240
0529	1	214-367-8888
0530	1	214-361-0220
0531	1	214-375-3736
0532	1	972-385-1854
0533	1	972-308-8488
0534	1	214-943-4535
0535	1	972-907-2220
0536	1	214-221-2772
0537	1	214-752-5888
0538	1	972-239-8060
0539	1	214-821-1333
0540	1	469-335-0345
0541	1	214-565-1017
0542	1	214-946-1431
0543	1	214-528-9400
0544	1	214-398-1954
0545	1	214-363-9836
0546	1	214-744-1555
0547	1	214-750-0128
0548	1	214-243-8025
0549	1	214-361-8833
0550	1	214-740-1952
0551	1	972-252-0909
0552	1	214-956-7700
0553	1	214-468-8200
0554	1	214-526-2181
0555	1	214-761-9008
0556	1	214-696-6030
0557	1	214-373-0082
0558	1	214-520-2700
0559	1	214-219-8724
0560	1	972-279-3774
0561	1	214-428-7427
0562	1	214-375-2150
0563	1	214-823-5111
0564	1	214-426-0457
0565	1	214-350-9445
0566	1	214-720-2216
0567	1	972-386-5757
0568	1	972-270-4404
0569	1	214-368-5131
0570	1	972-248-9858
0571	1	214-939-9900
0572	1	214-559-0325
0573	1	972-991-8824
0574	1	972-233-2239
0575	1	972-247-8309
0576	1	214-335-2234
0577	1	972-490-3551
0578	1	972-380-0085
0579	1	214-320-2267
0580	1	214-661-8354
0581	1	972-267-6570
0582	1	214-855-0110
0583	1	214-749-4766
0584	1	214-324-1800
0585	1	214-358-0612
0586	1	214-720-2227
0587	1	214-526-3331
0588	1	214-754-8070
0589	1	972-686-3327
0590	1	214-891-8121
0591	1	214-979-9000
0592	1	214-745-1350
0593	1	214-979-0051
0594	1	214-904-8150
0595	1	214-372-1510
0596	1	214-821-6900
0597	1	469-374-9904
0598	1	214-821-6900
0599	1	972-307-1678
0600	1	214-631-6818
0601	1	214-239-1991
0602	1	214-665-4757
0603	1	214-350-7709
0604	1	214-426-0036
0605	1	214-350-4156
0606	1	972-780-9951
0607	1	214-630-8616
0608	1	214-680-8094
0609	1	214-661-5738
0610	1	214-421-9867
0611	1	214-349-2600
0612	1	214-388-4485
0613	1	972-866-8260
0614	1	214-761-9355
0615	1	972-726-8771
0616	1	214-375-4422
0617	1	214-319-6916
0618	1	214-891-0231
0619	1	214-337-7272
0620	1	214-943-3633
0621	1	214-565-1025
0622	1	214-372-0777
0623	1	972-286-8910
0624	1	972-221-3312
0625	1	214-565-1410
0626	1	214-337-0968
0627	1	972-818-1400
0628	1	214-521-7300
0629	1	214-357-4200
0630	1	214-522-0800
0631	1	214-939-2345
0632	1	972-980-9917
0633	1	214-342-0393
0634	1	214-220-2022
0635	1	214-368-9000
0636	1	214-351-9989
0637	1	214-526-5315
0638	1	214-528-0555
0639	1	972-701-0166
0640	1	972-484-7163
0641	1	214-333-0813
0642	1	214-373-7900
0643	1	214-358-2432
0644	1	972-385-9988
0645	1	972-490-0500
0646	1	214-426-4139
0647	1	972-931-3019
0648	1	972-270-9060
0649	1	972-248-7709
0650	1	972-385-1551
0651	1	214-328-7696
0652	1	972-788-2494
0653	1	214-696-6464
0654	1	214-871-3240
0655	1	214-340-5232
0656	1	214-357-4500
0657	1	214-741-0809
0658	1	214-855-5190
0659	1	214-528-6510
0660	1	214-371-0360
0661	1	972-307-7272
0662	1	214-948-8484
0663	1	214-979-0084
0664	1	214-654-0112
0665	1	214-939-0202
0666	1	214-350-8070
0667	1	972-447-9191
0668	1	214-520-9261
0669	1	214-378-8686
0670	1	214-333-0420
0671	1	214-233-8347
0672	1	214-828-2228
0673	1	214-631-4755
0674	1	972-458-1040
0675	1	214-333-2339
0676	1	214-220-1202
0677	1	214-821-4552
0678	1	214-553-9888
0679	1	214-661-2800
0680	1	214-692-6161
0681	1	214-823-8086
0682	1	214-368-4981
0683	1	214-826-9409
0684	1	214-905-1205
0685	1	214-745-5525
0686	1	214-905-9508
0687	1	214-550-9500
0688	1	214-740-4001
0689	1	972-447-9099
0690	1	214-350-8646
0691	1	214-368-1661
0692	1	214-744-3696
0693	1	214-943-7681
0694	1	806-246-3347
0695	1	214-887-8833
0696	1	214-357-9588
0697	1	214-750-0330
0698	1	214-651-8200
0699	1	214-744-3414
0700	1	214-655-1444
0701	1	214-324-1988
0702	1	972-241-2171
0703	1	214-521-2244
0704	1	972-564-0336
0705	1	214-350-8368
0706	1	214-821-8200
0707	1	214-620-0477
0708	1	214-350-1032
0709	1	214-575-3188
0710	1	214-828-1133
0711	1	214-747-3535
0712	1	214-343-0995
0713	1	806-733-2913
0714	1	214-369-8880
0715	1	214-826-7690
0716	1	214-637-2233
0717	1	214-637-3513
0718	1	214-999-8932
0719	1	214-320-0426
0720	1	469-533-6666
0721	1	214-526-9488
0722	1	214-352-8320
0723	1	214-948-3345
0724	1	214-948-8800
0725	1	361-564-3300
0726	1	214-623-0069
0727	1	972-235-3251
0728	1	972-588-7900
0729	1	972-934-0900
0730	1	972-437-9494
0731	1	214-350-0007
0732	1	214-565-1125
0733	1	214-321-9300
0734	1	972-386-7200
0735	1	214-324-5394
0736	1	214-330-4883
0737	1	214-333-2371
0738	1	214-653-1668
0739	1	214-691-7511
0740	1	214-741-3030
0741	1	806-998-4850
0742	1	214-630-5758
0743	1	972-307-1200
0744	1	214-357-4500
0745	1	214-821-8890
0746	1	214-826-2721
0747	1	972-392-3354
0748	1	972-223-4421
0749	1	972-733-3354
0750	1	214-742-2114
0751	1	972-701-5159
0752	1	214-969-7233
0753	1	972-991-7093
0754	1	214-373-3283
0755	1	214-327-4411
0756	1	972-267-3283
0757	1	972-851-3474
0758	1	972-497-9822
0759	1	972-732-0099
0760	1	214-904-9551
0761	1	972-910-8484
0762	1	214-526-6001
0763	1	214-349-9335
0764	1	214-350-3095
0765	1	214-824-1269
0766	1	214-327-8039
0767	1	214-692-0873
0768	1	972-296-4733
0769	1	214-891-9979
0770	1	972-247-2277
0771	1	214-333-0507
0772	1	972-458-8001
0773	1	214-871-0650
0774	1	214-871-2606
0775	1	214-887-1599
0776	1	214-841-9111
0777	1	214-363-5279
0778	1	214-827-7655
0779	1	972-458-9307
0780	1	214-372-1441
0781	1	972-680-1990
0782	1	214-943-8888
0783	1	214-565-8410
0784	1	214-823-3790
0785	1	469-688-5613
0786	1	214-349-6682
0787	1	214-327-6173
0788	1	214-891-9401
0789	1	214-349-3815
0790	1	214-742-1740
0791	1	214-688-1588
0792	1	214-366-0101
0793	1	214-521-8919
0794	1	214-522-6624
0795	1	214-521-0200
0796	1	214-391-8353
0797	1	214-391-0429
0798	1	214-941-4615
0799	1	214-953-4343
0800	1	214-941-4451
0801	1	214-827-8245
0802	1	214-821-5785
0803	1	214-821-0951
0804	1	214-750-7600
0805	1	972-306-3935
0806	1	214-381-6144
0807	1	214-742-2200
0808	1	214-827-1499
0809	1	214-691-9036
0810	1	214-353-0277
0811	1	214-752-5287
0812	1	214-979-2696
0813	1	214-381-4362
0814	1	214-340-9798
0815	1	214-841-6579
0816	1	214-381-5870
0817	1	214-370-3477
0818	1	214-386-7279
0819	1	972-701-0018
0820	1	214-823-4131
0821	1	972-385-0161
0822	1	972-288-9661
0823	1	214-827-1813
0824	1	214-337-0096
0825	1	214-350-1022
0826	1	214-521-6157
0827	1	214-351-6023
0828	1	972-934-7001
0829	1	214-368-7101
0830	1	214-331-8378
0831	1	214-977-9214
0832	1	972-732-6281
0833	1	214-573-7650
0834	1	214-826-7701
0835	1	214-653-1166
0836	1	214-841-9990
0837	1	214-941-4042
0838	1	972-233-3648
0839	1	214-565-7811
0840	1	214-369-7600
0841	1	214-634-9989
0842	1	972-248-3287
0843	1	214-223-4605
0844	1	214-742-5362
0845	1	214-741-1423
0846	1	214-742-7500
0847	1	214-826-7320
0848	1	214-823-3650
0849	1	214-219-2215
0850	1	214-327-8363
0851	1	214-526-6365
0852	1	214-980-4400
0853	1	214-565-9828
0854	1	214-826-2383
0855	1	214-363-4445
0856	1	214-265-8808
0857	1	214-228-2929
0858	1	214-739-1800
0859	1	214-821-7021
0860	1	214-360-0999
0861	1	214-526-4782
0862	1	214-528-2099
0863	1	214-691-8930
0864	1	214-943-1767
0865	1	214-378-9640
0866	1	214-458-7888
0867	1	214-752-0040
0868	1	214-220-3177
0869	1	214-421-2228
0870	1	214-320-9285
0871	1	214-630-9949
0872	1	214-823-3887
0873	1	214-351-5580
0874	1	214-631-1344
0875	1	214-634-0664
0876	1	214-366-2028
0877	1	214-351-3104
0878	1	214-352-9049
0879	1	972-224-0225
0880	1	214-265-0530
0881	1	972-557-5659
0882	1	214-350-1133
0883	1	214-428-1551
0884	1	214-350-0616
0885	1	214-265-8848
0886	1	800-543-4300
0887	1	214-741-2626
0888	1	214-824-3255
0889	1	972-851-2021
0890	1	214-343-1897
0891	1	214-943-3595
0892	1	214-670-6322
0893	1	214-742-6200
0894	1	214-720-0225
0895	1	214-521-4730
0896	1	214-630-5544
0897	1	972-774-9518
0898	1	214-526-0401
0899	1	214-329-0897
0900	1	972-690-1074
0901	1	214-553-0740
0902	1	214-467-4567
0903	1	972-934-8150
0904	1	214-351-4592
0905	1	214-946-4161
0906	1	214-631-4101
0907	1	214-821-4487
0908	1	214-827-5828
0909	1	972-458-8300
0910	1	214-352-8759
0911	1	972-490-6530
0912	1	214-739-2756
0913	1	214-358-8633
0914	1	214-368-1209
0915	1	214-691-2355
0916	1	214-528-8584
0917	1	972-235-4831
0918	1	214-352-8373
0919	1	214-421-3051
0920	1	972-248-9496
0921	1	214-941-7060
0922	1	214-337-8133
0923	1	214-352-6874
0924	1	214-275-6119
0925	1	214-220-0315
0926	1	972-241-6881
0927	1	214-369-2010
0928	1	214-941-8432
0929	1	214-748-1520
0930	1	972-444-9594
0931	1	214-748-6981
0932	1	972-458-0009
0933	1	972-481-9846
0934	1	214-520-6705
0935	1	214-599-9563
0936	1	214-521-0183
0937	1	214-520-6888
0938	1	214-467-1167
0939	1	214-428-5018
0940	1	214-426-4144
0941	1	214-520-7300
0942	1	214-748-1200
0943	1	214-823-0718
0944	1	214-821-5701
0945	1	214-696-0800
0946	1	214-965-0084
0947	1	972-243-6385
0948	1	214-887-3000
0949	1	972-690-1707
0950	1	214-428-1413
0951	1	214-353-9197
0952	1	214-747-3474
0953	1	214-391-0403
0954	1	214-348-6699
0955	1	972-644-4965
0956	1	214-691-4488
0957	1	972-247-7775
0958	1	972-661-5662
0959	1	214-565-1655
0960	1	972-574-0609
0961	1	972-490-8700
0962	1	972-484-3236
0963	1	214-761-6408
0964	1	972-484-4954
0965	1	214-905-3800
0966	1	214-750-4520
0967	1	972-574-9632
0968	1	214-233-5300
0969	1	214-741-2233
0970	1	214-392-1033
0971	1	214-326-3259
0972	1	214-744-0707
0973	1	214-559-2303
0974	1	214-634-2056
0975	1	214-871-2233
0976	1	214-752-7373
0977	1	214-720-2229
0978	1	972-248-4006
0979	1	214-340-7246
0980	1	214-752-6851
0981	1	214-691-1383
0982	1	214-321-9315
0983	1	214-363-7487
0984	1	214-827-6618
0985	1	214-559-3757
0986	1	214-939-0360
0987	1	214-352-2752
0988	1	214-363-5111
0989	1	214-749-1068
0990	1	214-712-7144
0991	1	214-739-3909
0992	1	972-267-0570
0993	1	214-824-4745
0994	1	214-381-9107
0995	1	214-956-7941
0996	1	214-987-3877
0997	1	972-889-9911
0998	1	214-855-5088
0999	1	214-350-6983
1000	1	214-221-3354
1001	1	214-750-6625
1002	1	214-824-1390
1003	1	214-219-1944
1004	1	214-357-1531
1005	1	214-965-0333
1006	1	214-391-6739
1007	1	214-428-2200
1008	1	214-880-7460
1009	1	214-821-6431
1010	1	214-761-9837
1011	1	972-851-0750
1012	1	972-566-6112
1013	1	214-342-3688
1014	1	214-942-7400
1015	1	972-243-7588
1016	1	214-698-3020
1017	1	214-824-9053
1018	1	214-428-4111
1019	1	214-744-3663
1020	1	214-522-0505
1021	1	214-426-3974
1022	1	214-742-4663
1023	1	972-487-0115
1024	1	972-980-1431
1025	1	214-528-9644
1026	1	214-428-9335
1027	1	972-991-0008
1028	1	972-231-3455
1029	1	214-349-2233
1030	1	972-235-9700
1031	1	214-630-0223
1032	1	214-381-3945
1033	1	214-351-5021
1034	1	972-231-5088
1035	1	214-969-7611
1036	1	214-823-1719
1037	1	214-358-5599
1038	1	214-941-1222
1039	1	214-327-1588
1040	1	972-481-7755
1041	1	214-369-4578
1042	1	214-428-9842
1043	1	214-855-5330
1044	1	972-392-9464
1045	1	214-965-0707
1046	1	972-248-7970
1047	1	214-827-5990
1048	1	214-366-1606
1049	1	214-828-2388
1050	1	214-943-2312
1051	1	972-620-0800
1052	1	214-823-5517
1053	1	214-426-0752
1054	1	214-351-1426
1055	1	214-688-9906
1056	1	214-522-3500
1057	1	214-741-6339
1058	1	214-637-4613
1059	1	972-918-9598
1060	1	214-346-9932
1061	1	972-233-1880
1062	1	972-243-4901
1063	1	972-239-6426
1064	1	817-410-6426
1065	1	214-741-2277
1066	1	972-980-8877
1067	1	214-526-8181
1068	1	214-559-0101
1069	1	214-747-3306
1070	1	972-233-5858
1071	1	214-333-4148
1072	1	214-855-6278
1073	1	972-503-2274
1074	1	972-557-3638
1075	1	214-350-0900
1076	1	214-943-3330
1077	1	214-363-6122
1078	1	214-826-3060
1079	1	214-740-1985
1080	1	972-432-0954
1081	1	214-946-6736
1082	1	972-644-5922
1083	1	972-910-9006
1084	1	972-378-9292
1085	1	214-352-5274
1086	1	214-827-1114
1087	1	214-428-0355
1088	1	214-370-3665
1089	1	214-634-8850
1090	1	214-428-5644
1091	1	214-748-7711
1092	1	214-665-8961
1093	1	972-713-0123
1094	1	972-298-6644
1095	1	214-709-7123
1096	1	214-337-3079
1097	1	214-483-3718
1098	1	214-480-9390
1099	1	214-827-4355
1100	1	214-458-8001
1101	1	214-467-3881
1102	1	972-490-4405
1103	1	214-330-0327
1104	1	214-381-4343
1105	1	972-574-3818
1106	1	214-691-3888
1107	1	214-330-4873
1108	1	972-644-5287
1109	1	214-320-1990
1110	1	214-387-5220
1111	1	972-991-4296
1112	1	214-748-4222
1113	1	214-654-0104
1114	1	214-634-1575
1115	1	214-634-1576
1116	1	972-233-5952
1117	1	214-651-7830
1118	1	214-660-9950
1119	1	214-741-2122
1120	1	214-827-6800
1121	1	214-946-0763
1122	1	214-357-5566
1123	1	972-228-4834
1124	1	214-826-3888
1125	1	972-931-7742
1126	1	214-698-1010
1127	1	214-741-9592
1128	1	214-426-3596
1129	1	972-944-3400
1130	1	214-428-2669
1131	1	214-741-6262
1132	1	214-361-8120
1133	1	214-638-4141
1134	1	972-458-9889
1135	1	214-565-4303
1136	1	214-953-0330
1137	1	214-969-5403
1138	1	972-735-7881
1139	1	214-358-0054
1140	1	214-428-0957
1141	1	214-823-0731
1142	1	214-750-9883
1143	1	214-688-1047
1144	1	214-327-8833
1145	1	214-252-7000
1146	1	214-761-0052
1147	1	214-720-4141
1148	1	214-369-6200
1149	1	214-871-7222
1150	1	214-741-6911,-ext-20
1151	1	214-651-8988
1152	1	214-521-3070
1153	1	214-567-6241
1154	1	214-371-2741
1155	1	214-821-8850
1156	1	214-821-4292
1157	1	972-669-8515
1158	1	972-572-7115
1159	1	214-350-5402
1160	1	972-716-0970
1161	1	214-348-0146
