restaurant	usdiners	cuisine
0104	1	Others/Others
0105	1	Others/Others
0106	1	Others/Others
0107	1	Others/Others
0108	1	Others/Others
0109	1	Others/Others
0110	1	Greek/American
0111	1	Others/Others
0112	1	Pizza
0113	1	American/American
0114	1	Others/Others
0115	1	American/American
0116	1	Others/Others
0117	1	American/American
0118	1	Others/Others
0119	1	Others/Others
0120	1	Others/Others
0121	1	Others/Others
0122	1	Others/Others
0123	1	Others/Others
0124	1	Others/Others
0125	1	Others/Others
0126	1	Others/Others
0127	1	Others/Others
0128	1	American/American
0129	1	American/American
0130	1	American/American
0131	1	Others/Others
0132	1	Others/Others
0133	1	Others/Others
0134	1	Others/Others
0135	1	African/American
0136	1	Others/Others
0137	1	American/American
0138	1	Italian/Mediterranean
0139	1	Others/Others
0140	1	Italian/Italian
0141	1	Italian/Sandwiches
0142	1	Others/Others
0143	1	Others/Others
0144	1	Others/Others
0145	1	Others/Others
0146	1	Others/Others
0147	1	Others/Others
0148	1	Others/Others
0149	1	Others/Others
0150	1	Others/Others
0151	1	Other/Soups
0152	1	Others/Others
0153	1	Others/Others
0154	1	Others/Others
0155	1	Others/Others
0156	1	Others/Others
0157	1	Italian/Italian
0158	1	Others/Others
0159	1	Others/Others
0160	1	American/American
0161	1	American/American
0162	1	French/French
0163	1	Others/Others
0164	1	Others/Others
0165	1	American/American
0166	1	Others/Others
0167	1	Others/Others
0168	1	Others/Others
0169	1	Others/Others
0170	1	Others/Others
0171	1	American/American
0172	1	American/American
0173	1	American/American
0174	1	American/American
0175	1	American/American
0176	1	American/American
0177	1	American/American
0178	1	BBQ/Sandwiches
0179	1	American/American
0180	1	Others/Others
0181	1	Others/Others
0182	1	Others/Others
0183	1	Others/Others
0184	1	Californian/American
0185	1	Seafood/American (Traditional)
0186	1	French/Mediterranean
0187	1	Others/Others
0188	1	Others/Others
0189	1	Others/Others
0190	1	Others/Others
0191	1	Italian
0192	1	Latin/Mexican
0193	1	American/American
0194	1	Coffeehouses/Coffeehouses
0195	1	American/American
0196	1	Others/Others
0197	1	Others/Others
0198	1	Others/Others
0199	1	Others/Others
0200	1	American/American
0201	1	Others/Others
0202	1	Others/Others
0203	1	Pacific Rim/Pacific Rim
0204	1	Others/Others
0205	1	American/American
0206	1	Others/Others
0207	1	Pizza/Pizza
0208	1	Others/Others
0209	1	Others/Others
0210	1	Others/Others
0211	1	Sandwiches/Vietnamese
0212	1	Others/Others
0213	1	Middle Eastern
0214	1	Middle Eastern
0215	1	Others/Others
0216	1	Others/Others
0217	1	American/American
0218	1	American/American
0219	1	Others/Others
0220	1	Others/Others
0221	1	Others/Others
0222	1	American/American
0223	1	American/American
0224	1	American/American
0225	1	Others/Others
0226	1	Hamburgers/Burgers
0227	1	Italian/Italian
0228	1	Others/Others
0229	1	Others/Others
0230	1	Others/Others
0231	1	American/American
0232	1	American/American
0233	1	Mexican/American
0234	1	Others/Others
0235	1	Others/Others
0236	1	Others/Others
0237	1	Others/Others
0238	1	American/American
0239	1	Mexican/Mexican
0240	1	Hamburgers/Fast Food
0241	1	Others/Others
0242	1	Others/Others
0243	1	Others/Others
0244	1	Others/Others
0245	1	Others/Others
0246	1	Others/Others
0247	1	American/American
0248	1	Others/Others
0249	1	Others/Others
0250	1	Others/Others
0251	1	American/American
0252	1	Mexican/Mexican
0253	1	Bar Grill/Bar Grill
0254	1	American/American
0255	1	Others/Others
0256	1	Coffeehouses/Sandwiches
0257	1	Pizza/Pizza
0258	1	Others/Others
0259	1	Others/Others
0260	1	American/American
0261	1	American/American
0262	1	Others/Others
0263	1	American/American
0264	1	Others/Others
0265	1	Others/Others
0266	1	Others/Others
0267	1	Others/Others
0268	1	American/American
0269	1	Others/Others
0270	1	Others/Others
0271	1	Others/Others
0272	1	American/American
0273	1	Others/Others
0274	1	Others/Others
0275	1	American/American
0276	1	Others/Others
0277	1	Others/Others
0278	1	Others/Others
0279	1	American/American
0280	1	American/American
0281	1	Others/Others
0282	1	Indian/American
0283	1	American/American
0284	1	Others/Others
0285	1	Mexican/Mexican
0286	1	Others/Others
0287	1	American/American
0288	1	European/German
0289	1	Others/Others
0290	1	Japanese/Sushi
0291	1	Others/Others
0292	1	Others/Others
0293	1	American/American
0294	1	Bar Menu/American
0295	1	Breakfast/Country
0296	1	Chicken/American
0297	1	Others/Others
0298	1	American/American
0299	1	American/American
0300	1	Others/Others
0301	1	American/American
0302	1	American/American
0303	1	Others/Others
0304	1	Others/Others
0305	1	French/International
0306	1	Mexican/Mexican
0307	1	Coffee Shop/Bagels
0308	1	Mexican/Mexican
0309	1	Italian/Italian
0310	1	Others/Others
0311	1	American Contemporar/Gelato
0312	1	Mexican/Mexican
0313	1	Mediterranean/French
0314	1	International/French
0315	1	Continental/Other
0316	1	Cuban/Caterer
0317	1	Others/Others
0318	1	American/American
0319	1	Others/Others
0320	1	Hawaiian/Seafood
0321	1	Mexican/Mexican
0322	1	Others/Others
0323	1	Others/Others
0324	1	Sandwiches/American (Traditional)
0325	1	Others/Others
0326	1	Others/Others
0327	1	Others/Others
0328	1	Others/Others
0329	1	Others/Others
0330	1	American/American
0331	1	Others/Others
0332	1	Others/Others
0333	1	Others/Others
0334	1	Cajun/Cajun
0335	1	American/American
0336	1	American/American
0337	1	Chinese/Chinese
0338	1	Mexican/Southwestern
0339	1	Polish/Polish
0340	1	Mexican/Spanish
0341	1	American/American (Traditional)
0342	1	American/American
0343	1	American/American
0344	1	American/American
0345	1	American/American
0346	1	Others/Others
0347	1	Deli/Deli
0348	1	American/American
0349	1	Others/Others
0350	1	Others/Others
0351	1	Others/Others
0352	1	Others/Others
0353	1	Others/Others
0354	1	Others/Others
0355	1	Others/Others
0356	1	Others/Others
0357	1	American/American
0358	1	American/American
0359	1	Others/Others
0360	1	Others/Others
0361	1	Steak House/Steak House
0362	1	Others/Others
0363	1	Others/Others
0364	1	Others/Others
0365	1	Others/Others
0366	1	Others/Others
0367	1	Steak House/Steak House
0368	1	Chinese/Chinese
0369	1	Tapas/Tapas
0370	1	Pizza/Pizza
0371	1	Others/Others
0372	1	American/American
0373	1	Others/Others
0374	1	Others/Others
0375	1	American/American
0376	1	American/American
0377	1	American/American
0378	1	Regional/Comfort Foods
0379	1	American/Bar Food
0380	1	Coffeehouses/Sandwiches
0381	1	American/American
0382	1	American/American
0383	1	American/American
0384	1	Others/Others
0385	1	Cuban/Cuban
0386	1	Others/Others
0387	1	Others/Others
0388	1	Others/Others
0389	1	Others/Others
0390	1	Italian/Italian
0391	1	Mexican/Mexican
0392	1	American/American
0393	1	Others/Others
0394	1	Others/Others
0395	1	Others/Others
0396	1	American/American
0397	1	Seafood/Mediterranean
0398	1	Healthy/Vegetarian
0399	1	Others/Others
0400	1	American/American
0401	1	Steak House/Small Plates
0402	1	American/American
0403	1	American/American
0404	1	Deli/Deli
0405	1	Others/Others
0406	1	Others/Others
0407	1	Others/Others
0408	1	Others/Others
0409	1	Others/Others
0410	1	Others/Others
0411	1	Others/Others
0412	1	Italian/Seafood
0413	1	American/American
0414	1	American/American
0415	1	Others/Others
0416	1	Others/Others
0417	1	American/American
0418	1	American/American
0419	1	American/American
0420	1	American/Southern & Soul
0421	1	Indian
0422	1	Pizza/Pizza
0423	1	American/American
0424	1	American/American
0425	1	Others/Others
0426	1	American/American
0427	1	Others/Others
0428	1	Others/Others
0429	1	Others/Others
0430	1	Steak House/Steak House
0431	1	Others/Others
0432	1	American/American
0433	1	American/American
0434	1	Others/Others
0435	1	Others/Others
0436	1	American/American
0437	1	Others/Others
0438	1	Chinese/Asia
0439	1	Others/Others
0440	1	Others/Others
0441	1	Others/Others
0442	1	Others/Others
0443	1	Others/Others
0444	1	Others/Others
0445	1	Others/Others
0446	1	American/American
0447	1	Others/Others
0448	1	Others/Others
0449	1	Others/Others
0450	1	Others/Others
0451	1	Others/Others
0452	1	American/American
0453	1	Others/Others
0454	1	American/American
0455	1	Others/Others
0456	1	American/American
0457	1	Others/Others
0458	1	American/American
0459	1	Others/Others
0460	1	Others/Others
0461	1	Others/Others
0462	1	Others/Others
0463	1	Others/Others
0464	1	American/American
0465	1	Others/Others
0466	1	American/American
0467	1	American/American
0468	1	Others/Others
0469	1	Others/Others
0470	1	Others/Others
0471	1	American/American
0472	1	Others/Others
0473	1	American/American
0474	1	American/American
0475	1	American/American
0476	1	Others/Others
0477	1	Others/Others
0478	1	Others/Others
0479	1	Others/Others
0480	1	Others/Others
0481	1	Vegetarian/American
0482	1	French/French
0483	1	Others/Others
0484	1	Others/Others
0485	1	American/American
0486	1	Others/Others
0487	1	Others/Others
0488	1	Irish/Bar Food
0489	1	Others/Others
0490	1	Others/Others
0491	1	American/American
0492	1	Others/Others
0493	1	American/BBQ
0494	1	American/American
0495	1	American
0496	1	Others/Others
0497	1	American/American
0498	1	Others/Others
0499	1	American/American
0500	1	American/American
0501	1	Others/Others
0502	1	American/American
0503	1	American/American
0504	1	American/American
0505	1	Others/Others
0506	1	Others/Others
0507	1	Others/Others
0508	1	Others/Others
0509	1	Others/Others
0510	1	Others/Others
0511	1	American/American
0512	1	Others/Others
0513	1	Others/Others
0514	1	Steak House/Seafood
0515	1	Others/Others
0516	1	Others/Others
0517	1	Others/Others
0518	1	Others/Others
0519	1	Others/Others
0520	1	American/American
0521	1	American/American
0522	1	American/American
0523	1	American/American
0524	1	American/American
0525	1	Pizza/Pizza
0526	1	American/American
0527	1	Others/Others
0528	1	Others/Others
0529	1	Others/Others
0530	1	Others/Others
0531	1	Others/Others
0532	1	Others/Others
0533	1	Others/Others
0534	1	Others/Others
0535	1	American/American
0536	1	Chinese/American
0537	1	American/American
0538	1	Bar Food/American (Traditional)
0539	1	Asia/Sushi
0540	1	Others/Others
0541	1	Others/Others
0542	1	Sandwiches/Soups
0543	1	Vegetarian/American
0544	1	Others/Others
0545	1	Others/Others
0546	1	Others/Others
0547	1	American/American
0548	1	Others/Others
0549	1	Others/Others
0550	1	Others/Others
0551	1	Coffeeshop / Diner/Southern
0552	1	Creole/Creole
0553	1	American/American
0554	1	Asia/American
0555	1	Seafood/Southwestern
0556	1	Others/Others
0557	1	American/American
0558	1	Seafood/Seafood
0559	1	Others/Others
0560	1	Others/Others
0561	1	American/American
0562	1	American/American
0563	1	Others/Others
0564	1	Others/Others
0565	1	Others/Others
0566	1	American/American
0567	1	Others/Others
0568	1	Others/Others
0569	1	Others/Others
0570	1	American/American
0571	1	American/American
0572	1	Others/Others
0573	1	Others/Others
0574	1	American/American
0575	1	American/American
0576	1	American/American
0577	1	American/American
0578	1	Irish/Irish
0579	1	Mexican/Mexican
0580	1	Others/Others
0581	1	European/Eastern European
0582	1	Indian
0583	1	American/American
0584	1	Others/Others
0585	1	American/American
0586	1	Others/Others
0587	1	Others/Others
0588	1	American/American
0589	1	Others/Others
0590	1	Greek/Mediterranean
0591	1	Others/Others
0592	1	Others/Others
0593	1	American/American
0594	1	American/American
0595	1	Others/Others
0596	1	American/American
0597	1	Others/Others
0598	1	American/American
0599	1	American/American
0600	1	American/American
0601	1	American/American
0602	1	American/American
0603	1	American/Breakfast/Lunch
0604	1	Asia/Chinese
0605	1	American/American
0606	1	Others/Others
0607	1	American/American
0608	1	Others/Others
0609	1	Others/Others
0610	1	American/American
0611	1	American/American
0612	1	Others/Others
0613	1	Others/Others
0614	1	Healthy/Buffet
0615	1	Others/Others
0616	1	American/American
0617	1	American/American
0618	1	Others/Others
0619	1	Hamburgers/American
0620	1	Others/Others
0621	1	Others/Others
0622	1	Italian/Pizza
0623	1	American/French
0624	1	Italian/Pizza
0625	1	Italian/Pizza
0626	1	Italian/Pizza
0627	1	Italian/Pizza
0628	1	Brazilian/Steak House
0629	1	Others/Others
0630	1	Others/Others
0631	1	Others/Others
0632	1	Steak House/Seafood
0633	1	Others/Others
0634	1	Others/Others
0635	1	Others/Others
0636	1	Others/Others
0637	1	Others/Others
0638	1	Others/Others
0639	1	American/American
0640	1	Others/Others
0641	1	American/American
0642	1	Others/Others
0643	1	Others/Others
0644	1	Others/Others
0645	1	Italian/Pizza
0646	1	Italian/Pizza
0647	1	Others/Others
0648	1	Others/Others
0649	1	Others/Others
0650	1	Others/Others
0651	1	American/American
0652	1	American/American
0653	1	Others/Others
0654	1	Italian/Italian
0655	1	Others/Others
0656	1	BBQ
0657	1	Italian/Pizza
0658	1	Italian/Pizza
0659	1	Others/Others
0660	1	American/American
0661	1	Others/Others
0662	1	Others/Others
0663	1	Italian/Pizza
0664	1	Italian/Pizza
0665	1	Italian/Pizza
0666	1	Italian/Pizza
0667	1	Hamburgers/American
0668	1	Others/Others
0669	1	Others/Others
0670	1	American/American
0671	1	Italian/Other
0672	1	Others/Others
0673	1	Others/Others
0674	1	Others/Others
0675	1	Others/Others
0676	1	Others/Others
0677	1	American/American
0678	1	Others/Others
0679	1	American/American
0680	1	American/Irish
0681	1	Chinese/Chinese
0682	1	Others/Others
0683	1	Steak House/Steak House
0684	1	Italian/Pizza
0685	1	Bagels
0686	1	Hot Dogs/Sandwiches
0687	1	Mediterranean/Seafood
0688	1	Italian/Pizza
0689	1	American/American
0690	1	Others/Others
0691	1	Others/Others
0692	1	Italian/Pizza
0693	1	Others/Others
0694	1	Others/Others
0695	1	Italian/Pizza
0696	1	Others/Others
0697	1	Others/Others
0698	1	Others/Others
0699	1	Others/Others
0700	1	Others/Others
0701	1	Hamburgers/American
0702	1	Others/Others
0703	1	Irish/Irish
0704	1	Italian/Pizza
0705	1	Steak House/Seafood
0706	1	Others/Others
0707	1	Others/Others
0708	1	Others/Others
0709	1	Pizza/Pizza
0710	1	Others/Others
0711	1	Others/Others
0712	1	Others/Others
0713	1	Italian/Pizza
0714	1	Others/Others
0715	1	Others/Others
0716	1	Others/Others
0717	1	Others/Others
0718	1	Others/Others
0719	1	American/American
0720	1	Others/Others
0721	1	Others/Others
0722	1	Mexican/Mexican
0723	1	Others/Others
0724	1	Coffee/Deserts/American (Traditional)
0725	1	Japanese
0726	1	Brazilian/Italian
0727	1	Others/Others
0728	1	Indian/Indian
0729	1	Southern/Southern
0730	1	African/Vegetarian
0731	1	Sushi/Sushi
0732	1	Japanese/Sushi
0733	1	American/American
0734	1	American/American
0735	1	Sushi/Sushi
0736	1	Others/Others
0737	1	American
0738	1	Others/Others
0739	1	Cantonese/Szechuan
0740	1	American/American
0741	1	Others/Others
0742	1	Others/Others
0743	1	Others/Others
0744	1	Others/Others
0745	1	Others/Others
0746	1	Others/Others
0747	1	Others/Others
0748	1	American/American
0749	1	Others/Others
0750	1	Others/Others
0751	1	Others/Others
0752	1	Others/Others
0753	1	Others/Others
0754	1	Others/Others
0755	1	Others/Others
0756	1	Others/Others
0757	1	Others/Others
0758	1	Others/Others
0759	1	Pan-Latin/Pan-Latin
0760	1	Others/Others
0761	1	American/American
0762	1	American/American
0763	1	Italian/American
0764	1	American/American
0765	1	Others/Others
0766	1	American/American
0767	1	Others/Others
0768	1	Others/Others
0769	1	American/American
0770	1	Italian/Other
0771	1	Others/Others
0772	1	Others/Others
0773	1	Others/Others
0774	1	American/American
0775	1	Others/Others
0776	1	Others/Others
0777	1	Others/Others
0778	1	Deli/Deli
0779	1	American/American
0780	1	Others/Others
0781	1	Chinese/Chinese
0782	1	American/American
0783	1	Others/Others
0784	1	Others/Others
0785	1	American/American
0786	1	American/American
0787	1	Others/Others
0788	1	American/Seafood
0789	1	Others/Others
0790	1	Others/Others
0791	1	Others/Others
0792	1	American/American
0793	1	American/American
0794	1	French
0795	1	Others/Others
0796	1	American/American
0797	1	Others/Others
0798	1	Others/Others
0799	1	American/American
0800	1	Others/Others
0801	1	Others/Others
0802	1	American/American
0803	1	American/American
0804	1	American/American
0805	1	Others/Others
0806	1	American/American
0807	1	Others/Others
0808	1	American/American
0809	1	American/American
0810	1	French/French
0811	1	Others/Others
0812	1	Mexican/Mexican
0813	1	Deli/Deli
0814	1	Others/Others
0815	1	Pizza/Pizza
0816	1	Others/Others
0817	1	Others/Others
0818	1	Others/Others
0819	1	American/American
0820	1	Others/Others
0821	1	Others/Others
0822	1	American/American
0823	1	Italian/International
0824	1	Japanese/Japanese
0825	1	American/American
0826	1	Thai/Thai
0827	1	American/American
0828	1	Others/Others
0829	1	American/Pub Food
0830	1	Others/Others
0831	1	Others/Others
0832	1	American/American
0833	1	Others/Others
0834	1	American/American
0835	1	Others/Others
0836	1	Others/Others
0837	1	American/Pizza
0838	1	American/American
0839	1	American/American
0840	1	American/American
0841	1	Others/Others
0842	1	American/American
0843	1	American/American
0844	1	American/American
0845	1	Others/Others
0846	1	Others/Others
0847	1	Others/Others
0848	1	Others/Others
0849	1	American/Burgers
0850	1	Japanese/Steak House
0851	1	Southern/Creole
0852	1	Others/Others
0853	1	Others/Others
0854	1	Cuban/Nuevo Latino
0855	1	Others/Others
0856	1	Others/Others
0857	1	Indian
0858	1	American/Burgers
0859	1	Others/Others
0860	1	Others/Others
0861	1	Others/Others
0862	1	American/American
0863	1	American/American
0864	1	Others/Others
0865	1	Others/Others
0866	1	Others/Others
0867	1	American/American
0868	1	Mandarin/Vietnamese
0869	1	Others/Others
0870	1	Others/Others
0871	1	American/American
0872	1	American/American
0873	1	Japanese/Japanese
0874	1	Others/Others
0875	1	Others/Others
0876	1	Others/Others
0877	1	Others/Others
0878	1	American/American
0879	1	Sandwiches/Desserts & Bakeries
0880	1	Others/Others
0881	1	American/American
0882	1	American/Hamburgers
0883	1	Others/Others
0884	1	Indian/Indian
0885	1	Asia/Japanese,
0886	1	American/American
0887	1	American/American
0888	1	American/French
0889	1	Steak House/Seafood
0890	1	Others/Others
0891	1	American/American
0892	1	Others/Others
0893	1	Others/Others
0894	1	American/American (Traditional)
0895	1	Others/Others
0896	1	American/American
0897	1	American/American
0898	1	Others/Others
0899	1	American/American
0900	1	American/American
0901	1	American/American
0902	1	American/American
0903	1	Others/Others
0904	1	Chinese/American
0905	1	American/American
0906	1	American/American
0907	1	Others/Others
0908	1	Others/Others
0909	1	Breakfast/American
0910	1	American/American
0911	1	Others/Others
0912	1	Others/Others
0913	1	American/American
0914	1	American/American (Traditional)
0915	1	American/American
0916	1	Others/Others
0917	1	Others/Others
0918	1	Others/Others
0919	1	Others/Others
0920	1	American/American
0921	1	Chinese/American
0922	1	Others/Others
0923	1	American/American
0924	1	Others/Others
0925	1	Others/Others
0926	1	Others/Others
0927	1	Others/Others
0928	1	American/American
0929	1	Cuban/Cuban
0930	1	Others/Others
0931	1	Others/Others
0932	1	Others/Others
0933	1	Others/Others
0934	1	American/American
0935	1	American/Seafood
0936	1	Pub Food/Pub Food
0937	1	Basque/Tapas
0938	1	Others/Others
0939	1	American/American
0940	1	Others/Others
0941	1	Others/Others
0942	1	American/American
0943	1	American/American
0944	1	American/American
0945	1	American/American
0946	1	Others/Others
0947	1	Others/Others
0948	1	Others/Others
0949	1	Others/Others
0950	1	Others/Others
0951	1	Others/Others
0952	1	Others/Others
0953	1	Others/Others
0954	1	Others/Others
0955	1	American/American
0956	1	Italian
0957	1	American/American
0958	1	American/American
0959	1	Seafood/American
0960	1	Others/Others
0961	1	Others/Others
0962	1	Others/Others
0963	1	Others/Others
0964	1	Others/Others
0965	1	Others/Others
0966	1	American/American
0967	1	Others/Others
0968	1	American/American
0969	1	American/American
0970	1	Others/Others
0971	1	Others/Others
0972	1	Others/Others
0973	1	Others/Others
0974	1	Others/Others
0975	1	Others/Others
0976	1	Mexican/Mexican
0977	1	Others/Others
0978	1	Pizza/Pizza
0979	1	Others/Others
0980	1	Others/Others
0981	1	Others/Others
0982	1	Others/Others
0983	1	Others/Others
0984	1	Others/Others
0985	1	Others/Others
0986	1	Others/Others
0987	1	Japanese/Japanese
0988	1	Others/Others
0989	1	Others/Others
0990	1	Others/Others
0991	1	Others/Others
0992	1	Others/Others
0993	1	Others/Others
0994	1	Others/Others
0995	1	Others/Others
0996	1	Others/Others
0997	1	Others/Others
0998	1	Others/Others
0999	1	Others/Others
1000	1	Others/Others
1001	1	Japanese/Teppanyaki
1002	1	Others/Others
1003	1	Others/Others
1004	1	Others/Others
1005	1	Others/Others
1006	1	Others/Others
1007	1	Others/Others
1008	1	Others/Others
1009	1	Others/Others
1010	1	Indian/Indian
1011	1	Others/Others
1012	1	American/American
1013	1	Others/Others
1014	1	Italian Northern/Italian Southern
1015	1	Others/Others
1016	1	Others/Others
1017	1	Breakfast/American
1018	1	Others/Others
1019	1	Others/Others
1020	1	Others/Others
1021	1	Pacific Northwest (A/Seafood
1022	1	Others/Others
1023	1	Others/Others
1024	1	American/American
1025	1	American/American
1026	1	Others/Others
1027	1	Others/Others
1028	1	Others/Others
1029	1	Others/Others
1030	1	American/American
1031	1	Others/Others
1032	1	American/American
1033	1	Chinese/Chinese
1034	1	American/Burgers
1035	1	Mexican/Burgers
1036	1	American/American
1037	1	Others/Others
1038	1	American/American
1039	1	American/American
1040	1	Others/Others
1041	1	Seafood/Seafood
1042	1	American/Continental
1043	1	Bar Food
1044	1	American/American
1045	1	Others/Others
1046	1	American/American
1047	1	Others/Others
1048	1	Others/Others
1049	1	American/American
1050	1	Others/Others
1051	1	American/American
1052	1	Others/Others
1053	1	Others/Others
1054	1	Others/Others
1055	1	Others/Others
1056	1	American/American
1057	1	Others/Others
1058	1	Others/Others
1059	1	Sports Bar/Tavern
1060	1	Others/Others
1061	1	Others/Others
1062	1	Others/Others
1063	1	Other/Other
1064	1	Others/Others
1065	1	Steak House/Steak House
1066	1	Others/Others
1067	1	American/American
1068	1	American/American
1069	1	American/American
1070	1	American/American
1071	1	Others/Others
1072	1	Others/Others
1073	1	Others/Others
1074	1	American/American
1075	1	Others/Others
1076	1	Others/Others
1077	1	American/American
1078	1	American/American
1079	1	Others/Others
1080	1	American/American
1081	1	American/American
1082	1	American/American
1083	1	Others/Others
1084	1	Others/Others
1085	1	American/American
1086	1	American/American
1087	1	American/American
1088	1	American/American
1089	1	American/American
1090	1	American/American
1091	1	Others/Others
1092	1	Others/Others
1093	1	Others/Others
1094	1	Latin
1095	1	Others/Others
1096	1	American/American
1097	1	American/American
1098	1	American/American
1099	1	American/American
1100	1	Pizza/Pizza
1101	1	American/American
1102	1	Others/Others
1103	1	Others/Others
1104	1	Deli/Sandwiches
1105	1	American/American
1106	1	Others/Others
1107	1	Others/Others
1108	1	Others/Others
1109	1	Others/Others
1110	1	Others/Others
1111	1	Others/Others
1112	1	Others/Others
1113	1	Others/Others
1114	1	Mexican/Mexican
1115	1	American/American
1116	1	Others/Others
1117	1	Others/Others
1118	1	Indian/Indian
1119	1	American/American
1120	1	Others/Others
1121	1	Others/Others
1122	1	Others/Others
1123	1	Others/Others
1124	1	American/American
1125	1	Others/Others
1126	1	American/American
1127	1	American/American
1128	1	Others/Others
1129	1	Others/Others
1130	1	Others/Others
1131	1	Others/Others
1132	1	Others/Others
1133	1	American/American
1134	1	Others/Others
1135	1	Others/Others
1136	1	Afghan/Caterer
1137	1	Japanese/Sushi
1138	1	French/French
1139	1	Others/Others
1140	1	Others/Others
1141	1	Others/Others
1142	1	Indian/Other
1143	1	American/American
1144	1	Others/Others
1145	1	American/American
1146	1	German/American
1147	1	Japanese/Japanese
1148	1	Others/Others
1149	1	American/American
1150	1	American/American
1151	1	American/American
1152	1	Others/Others
1153	1	Others/Others
1154	1	American/American
1155	1	Chicken/Fast Food
1156	1	Others/Others
1157	1	Others/Others
1158	1	American/American
1159	1	Others/Others
1160	1	American/American
1161	1	Others/Others
1162	1	Indian
1163	1	Sushi/Sushi
1164	1	Sushi/Sushi
1165	1	American/American
1166	1	Others/Others
1167	1	American/American
1168	1	Cajun/Cajun
1169	1	Others/Others
1170	1	Others/Others
1171	1	Sukiyaki / Shabu-Sha/Sukiyaki / Shabu-Shabu
1172	1	Others/Others
1173	1	Tapas/Mediterranean
1174	1	Others/Others
1175	1	Others/Others
1176	1	Others/Others
1177	1	Others/Others
1178	1	Others/Others
1179	1	American/American
1180	1	American/American
1181	1	American/American
1182	1	Others/Others
1183	1	Others/Others
1184	1	Others/Others
1185	1	Others/Others
1186	1	Others/Others
1187	1	Others/Others
1188	1	American/American
1189	1	American/American
1190	1	American/American
1191	1	American/American
1192	1	Others/Others
1193	1	American/American
1194	1	Others/Others
1195	1	American/American
1196	1	Others/Others
1197	1	Others/Others
1198	1	Steak House/Steak House
1199	1	Others/Others
1200	1	Japanese/Sushi
1201	1	Indian/Pakistani
1202	1	Chinese/Chinese
1203	1	Afghan/Afghan
1204	1	Deli/Deli
1205	1	Others/Others
1206	1	American/American
1207	1	Deli/Sandwiches
1208	1	Others/Others
1209	1	Others/Others
1210	1	Steak House/Steak House
1211	1	Others/Others
1212	1	American/American
1213	1	Others/Others
1214	1	Afghan/Vegetarian
1215	1	Others/Others
1216	1	Indian
1217	1	American/American
1218	1	Others/Others
1219	1	American/American
1220	1	Japanese/American
1221	1	American/American
1222	1	Others/Others
1223	1	Others/Others
1224	1	Others/Others
1225	1	Others/Others
1226	1	Steak House/Steak House
1227	1	Others/Others
1228	1	Others/Others
1229	1	American/American
1230	1	American/American
1231	1	Chicken/American
1232	1	Chicken/American
1233	1	American/American
1234	1	Others/Others
1235	1	American/American
1236	1	Others/Others
1237	1	Others/Others
1238	1	Others/Others
1239	1	Others/Others
1240	1	American/American
1241	1	Others/Others
1242	1	American/American
1243	1	Chicken/American
1244	1	Chicken/American
1245	1	Others/Others
