restaurant	restaurantica	name
0147	1	Moe's Southwest Grill
0148	1	Ruby Tuesday
0149	1	Ruby Tuesday
0150	1	Rusty Hook Restaurant
0151	1	Street's Seafood
0152	1	The Daily Grind
0153	1	Rock Springs Diner
0154	1	Shirley's Restaurant
0155	1	West End Cafe
0156	1	Big Al's Bar-B-Q & Pizza
0157	1	K K's Cafe
0158	1	Bright Star Restaurant
0159	1	Captain D's Seafood Restaurants
0160	1	China Wok
0161	1	Cracker Barrel Old Country Store
0162	1	El Ranchero
0163	1	Fish Market Restaurant
0164	1	Richard's Bar BQ & Grill
0165	1	Carl's Restaurant
0166	1	China Express
0167	1	David's Catfish House
0168	1	George's Old Time Bar-B-Que
0169	1	Hunan Chinese Restaurant
0170	1	The Fish Market Restaurant
0171	1	Zapopan Mexican Restaurant
0172	1	Captain D's
0173	1	Donna's Calera Cafe
0174	1	Go Fish
0175	1	Tin Top
0176	1	Pruett's Sunset House Restaurant
0177	1	Bar-B-Que Place & More
0178	1	Dee's Restaurant
0179	1	Dari-Delite
0180	1	Hong Kong Taste
0181	1	China Star
0182	1	Clara's Country Cafe
0183	1	China House
0184	1	American Cafe
0185	1	Grill
0186	1	La Flor. De Guerrero
0187	1	Carlton's Italian
0188	1	Check Advance
0189	1	Country Cafe
0190	1	Cracker Barrel Old Country Store
0191	1	Home Plate Cafe
0192	1	S'Moore Restaurant
0193	1	Southside Cafe
0194	1	The Cove at Blue Creek
0195	1	Mariachi Mexican Restaurant
0196	1	The Diner
0197	1	Two Sisters Orient Express
0198	1	Kravers Seafood Restaurant
0199	1	Miss. D's Restaurant & Lounge
0200	1	New South China
0201	1	New South China
0202	1	JW Steakhouse
0203	1	Applebee's Neighborhood Grill
0204	1	Captain D's Seafood Restaurant
0205	1	La Gran Fiesta Mexican Restaurant
0206	1	Napoleon's
0207	1	New Orleans Bar & Grill
0208	1	Applebee's Neighborhood Grill
0209	1	Golden Corral Family Steak House
0210	1	Longhorn Steakhouse
0211	1	Guthries
0212	1	Cotton's Alabama Barbecue
0213	1	The Pub
0214	1	The Sunflower Cafe'
0215	1	German Schnitzel Haus
0216	1	Tuscany's Olde World Dining
0217	1	Waffle House
0218	1	Grand Star
0219	1	Hotts Delie
0220	1	L A's Bar-B-Que
0221	1	Bailey's Steak & Seafood Restaurant
0222	1	Waffle House
0223	1	The Cajun Corner
0224	1	Atkins Bar-B-Que
0225	1	Jay C's Grill
0226	1	South Fork Restaurant
0227	1	Cotton Patch
0228	1	Jalisco Mexican Restaurant
0229	1	Beacon The Restaurant
0230	1	Black Angus Restaurant
0231	1	Waffle House
0232	1	Chongwah Express
0233	1	Glory's Family Dining
0234	1	Sonny's Backstreet Bar & GRLL
0235	1	Original Ben's Jr
0236	1	Guys Gumbo Shack
0237	1	Old Bay Steamer
0238	1	Randy's Bar & Grill
0239	1	Wintzell's Oyster House
0240	1	Lisas Barbarque
0241	1	Triangle Grill
0242	1	Charles' Cafeteria & Grill
0243	1	McGraws Coffee House
0244	1	Chick-Fil-A
0245	1	Texas Roadhouse
0246	1	Bunyan's Bar-B-Que
0247	1	Bayou Blue
0248	1	Mellow Mushroom
0249	1	Taste of New Orleans
0250	1	Vallarta Mexican Restaurant
0251	1	Sonic Restaurant
0252	1	Archie's
0253	1	Ryan's Family Steak House
0254	1	JT's Fish House
0255	1	Bar-B-Que Place
0256	1	Zaxby's
0257	1	Golden Rule BBQ
0258	1	White House At Cooper's Landing
0259	1	Jalisco Mexican Restaurante
0260	1	Doodles Muffulettas Po-Boys & More
0261	1	Outback Steakhouse
0262	1	Faye's Famous Franks
0263	1	Home Field Sports Grill
0264	1	Ryan's Family Steak House
0265	1	Villa Fiesta
0266	1	Logan's Roadhouse
0267	1	Top O The River
0268	1	Las Jaras Mexican Grill
0269	1	Cracker Barrel Old Country Store
0270	1	Max's Cafeteria
0271	1	Habaneros Mexican Grill
0272	1	City Oyster Bar
0273	1	Larry's Real Pit Bar-B-Q
0274	1	Price's Diner
0275	1	Souther Manor Gifts & Cafe
0276	1	The Porky Barn
0277	1	Shoney's Restaurant
0278	1	Bates House of Turkey
0279	1	China Town
0280	1	Cracker Barrel Old Country Store
0281	1	Happy Palace
0282	1	Old World Bakery and Pizza
0283	1	Sweet Peppers Deli
0284	1	King Neptune's Seafood Restaurant
0285	1	Applebee's Neighborhood Grill
0286	1	Crawmama's Steaks & Seafood
0287	1	Top O' The River
0288	1	Waffle House The Unit 1372
0289	1	Cheers Pub & Grill
0290	1	Dixie Den
0291	1	Haleyville Diner
0292	1	Jack's Family Restaurant
0293	1	Casadores
0294	1	Anthony's
0295	1	Breakfast Grille
0296	1	China Gourmet
0297	1	Eastside Grill
0298	1	La Estancia
0299	1	Oh Bryans Family Steakhouse
0300	1	Huddle House
0301	1	Ivey's On Main
0302	1	Luna's Bar B Que
0303	1	Lupe's Mexican Restaurant
0304	1	Porky Hollow BBQ
0305	1	Mister Henry's Neighborhood Restaurant
0306	1	OH Bryan's Family Steak House
0307	1	Smokey Holler Cafe
0308	1	Southern Hickory Barbecue
0309	1	Floyd Barbeque
0310	1	best wings
0311	1	Jazz Factory
0312	1	Maters
0313	1	The Bakery Cafe
0314	1	Chelsey's Family Restaurant
0315	1	Doshia's
0316	1	Nolasco's Mexican & American
0317	1	Struts
0318	1	The Coop DeVille
0319	1	Village Inn
0320	1	Captain D's Seafood
0321	1	Los Cabos Mexician Restaurant
0322	1	P J's Restaurant
0323	1	Phoenix Chinese Restaurant
0324	1	Brews Brothers
0325	1	Capt. D's Seafood Restaurant
0326	1	Cajun Cafe
0327	1	Pepper's Laceys Spring Diner
0328	1	B And J Family Restaurant
0329	1	Jumbo China Buffet
0330	1	Aunt Ann's Restaurant
0331	1	Key West Grill
0332	1	Newt's Food Machine
0333	1	Sarajay's
0334	1	Sonnys
0335	1	Golden Gate Chinese Restaurant
0336	1	Montana Saloon & Grill
0337	1	Waffle House
0338	1	Huddle House
0339	1	Jack's Family Restaurant
0340	1	Casa Blanca
0341	1	Guadalajara Mexican Restaurants
0342	1	Iveys Restaurant
0343	1	King Buffet
0344	1	China King
0345	1	Grand Buffet
0346	1	Sally's Seafood To Go
0347	1	Chris & Carla's Catering & Heavenly Ribs To Go
0348	1	David's Catfish House
0349	1	Wanda's Kountry Kitchen
0350	1	Food's South
0351	1	Huddle House
0352	1	Main Street Diner
0353	1	Radley's Fountain Grill
0354	1	China Garden
0355	1	Double Play Sports Grill
0356	1	Mr Taco
0357	1	Lunde's
0358	1	Martin's Restaurant
0359	1	BoneFish Grill
0360	1	Garrett's
0361	1	Applebee's Neighborhood Grill
0362	1	Cool Beans At The Cafe D'Art
0363	1	Western Sirloin Steakhouse
0364	1	Ranch House
0365	1	S & R Catfish
0366	1	157 Deli & Ice Cream Store
0367	1	Rick Lannings Barbecue
0368	1	River Rd. Cafe
0369	1	Captain D's Seafood Restaurants
0370	1	The Garden Gate Cafe
0371	1	Shoney's Restaurants
0372	1	Something Fishy
0373	1	The Brown Bag
0374	1	Waffle House
0375	1	Jalapeno's Bar & Grill 2
0376	1	el Portal
0377	1	Giovannis
0378	1	Whispering Oaks Bed & Breakfast Restaurant
0379	1	O'Charley's
0380	1	Cracker Barrel Old Country Store
0381	1	Golden Corral Steaks Buffet & Bakery
0382	1	Cottage Cafe
0383	1	White House Restaurant
0384	1	Hooks & Horns
0385	1	Bentons
0386	1	Cafe 84
0387	1	Md's Coffee House
0388	1	Bubba's Seafood House
0389	1	Calypso Joe's Caribbean Grille
0390	1	Back Porch
0391	1	Cafe Beignets of Alabama
0392	1	Cafe'grazie
0393	1	Monterrey's Mexican Grill
0394	1	Brad's Bar-B-Que
0395	1	Fuji Japanese Cuisine
0396	1	Red Lobster Restaurants
0397	1	Cracker Barrel Old Country Store
0398	1	801 Franklin
0399	1	C J's Family Restaurant
0400	1	Captain D's Seafood Restaurants
0401	1	Capt. D's Seafood Restaurant
0402	1	Lee's China Buffet
0403	1	Royal Waffle King
0404	1	Chick-Fil-A
0405	1	Cock Of The Walk
0406	1	2 Pesos Mexican Cafe
0407	1	Applebee's Neighborhood Grill & Bar
0408	1	Cafe Trentuno
0409	1	Guadalajara Jalisco
0410	1	Shields Old Time BBQ
0411	1	Sammies Touch & Go Restaurant
0412	1	Waffle House
0413	1	13th Street Bar-Be-Que
0414	1	Cafe 431
0415	1	Cattlemans Prime Steakhouse
0416	1	China Garden
0417	1	China Luck
0418	1	Cottage Inn
0419	1	Jack's
0420	1	Steak-Out
0421	1	The Legends At Capitol Hill
0422	1	Pas'ghettis Italian Restaurant
0423	1	Western Sizzlin Steak House
0424	1	Captain D's
0425	1	Happy Trails
0426	1	Huddle House of Roanoke
0427	1	New China
0428	1	Country Cuisine & BBQ
0429	1	Fiesta Mexicana
0430	1	Jimmie's Crossroads Cafe
0431	1	Mama Holden's Restaurant
0432	1	Sisters Cafe
0433	1	Dot's
0434	1	J Rodgers BBQ
0435	1	Catfish Junction
0436	1	Barnhill's
0437	1	Los Tresamigos
0438	1	Huddle House
0439	1	Western Sizzlin Restaurant
0440	1	Kim San
0441	1	Liberty Restaurant
0442	1	Lite Side
0443	1	Roseberry Bar & Grill
0444	1	Lannie's Bar-B-Q
0445	1	Mr Waffle
0446	1	Alston Diner
0447	1	Bunyan's Bar-B-Que
0448	1	Cafe Jubilee
0449	1	Ed's Seafood Shed
0450	1	Santa Fe Fajita Co
0451	1	Cheryl's Cafe & Market
0452	1	David's Catfish House
0453	1	Gary's Diner
0454	1	Olive Garden Italian Restaurant
0455	1	Local Color
0456	1	Maurine's
0457	1	Omelet Shoppe
0458	1	Smiley's Cafe
0459	1	Yi Cuisine
0460	1	Jered's On Main
0461	1	La Costa Mexican Restaurant
0462	1	Mama Ree's Restaurant
0463	1	J R's Sports Bar & Grill
0464	1	Kathys Stampede Steakhouse
0465	1	Margarita's
0466	1	Mary's Place
0467	1	Matehuala Mexican Restaurant
0468	1	Shack BBQ
0469	1	Tals Place
0470	1	Taylor's Restaurant
0471	1	Borderline Cafe
0472	1	Time To Eat
0473	1	T J's Smokehouse Grill
0474	1	Canton Restaurant
0475	1	Asian Wok
0476	1	Garden
0477	1	People's Corner
0478	1	The Grill
0479	1	Los Pericos
0480	1	Crowco
0481	1	Half Shell Oyster Bar & Grill
0482	1	Brittany's
0483	1	Tamburro's Bella Notte
0484	1	Waffle House
0485	1	Woody's Barbecue
0486	1	Loros Mexican Restaurant
0487	1	Red Lantern Chinese Food
0488	1	Los Tarascos
0489	1	Chuck's Catfish House
0490	1	Chang's Chinese Restaurant
0491	1	Cafe' Venice
0492	1	Claunch Cafe
0493	1	Hogs & Heifers
0494	1	Loco Lupe's Mexican
0495	1	Ragazza Italiano
0496	1	Sue's Chic
0497	1	Zen House Chinese Restaurant
0498	1	Waffle House
0499	1	Waffle House
0500	1	559 Market Place
0501	1	Chuck's Bar-B-Q
0502	1	Coyotez Bar & Grill
0503	1	Cooper's Place
0504	1	Doss Restaurant
0505	1	Jack's
0506	1	Knotheads
0507	1	Maria's Wings Billiards
0508	1	Hog Rock Bar-B-Q
0509	1	Our Place Cafe
0510	1	Aroma Cafe & Coffee Bar
0511	1	Cedar Landing
0512	1	Hillbilly's
0513	1	Huatulco Mexican Restaurant
0514	1	Mandarin House
0515	1	Sugar Shack BBQ
0516	1	Cjs On The Square
0517	1	Wiederkehr Wine Cellars
0518	1	Kregs Catfish
0519	1	Herb's
0520	1	Norma & Rosie Country Kitchen
0521	1	Yarborough Landing Village
0522	1	Boyers Catfish House
0523	1	Cimarron Restaurant
0524	1	Clyde's Chuckwagon Restaurant
0525	1	El Acapulco
0526	1	Hardy Malt Shoppe
0527	1	Meacham's Restaurant
0528	1	Fat Daddy's Bar-B-Que
0529	1	Atkins International Cafe
0530	1	Beverlys Family Diner
0531	1	Bryant's Restaurant
0532	1	Butch's Raging Bull Restaurant
0533	1	Rubys Diner
0534	1	Elizabeth's Restaurant & Catering
0535	1	The Italian Grill
0536	1	Corrine's Scenic View
0537	1	The Grill
0538	1	Roper's Restaurant
0539	1	The Grill
0540	1	Anderson's Restaurant
0541	1	Daylight Donuts
0542	1	Celtic Grill
0543	1	Chen's Garden
0544	1	Duffer's Cafe
0545	1	Colton's Steak House & Grill
0546	1	Benton Family Restaurant
0547	1	Bo's Bar-B-Q
0548	1	Gilley's Catfish & Steak House
0549	1	Crumpet Tea Room Express
0550	1	Lin's Garden Chinese Restaurant
0551	1	Smokin'joe's Ribhouse
0552	1	Doe's Eat Place
0553	1	Lucky Dragon Cafe
0554	1	Two Weird Guys
0555	1	El Escondido
0556	1	Skinny's Diner
0557	1	The Kream Castle
0558	1	Westside Cafe
0559	1	El Acapulco Mexican Restaurant
0560	1	Cotton Club
0561	1	Freight House Cafe
0562	1	Ike's Place
0563	1	Great Wall
0564	1	Taste Of Heritage
0565	1	Waffle House
0566	1	Moon Pie Cafe
0567	1	Funtastic
0568	1	Jane's Kitchen
0569	1	Don Quixote's Calico Kitchen
0570	1	Leatherwood Restaurant
0571	1	White House Cafe
0572	1	Hickory Hut
0573	1	Chinese Panda Restaurant
0574	1	Fajitahill Diner
0575	1	Garden Restaurant
0576	1	Grannys Home Cookin
0577	1	St John Cafe
0578	1	Pasta Grill
0579	1	Woodard's Family Restaurant
0580	1	Helen's Kitchen
0581	1	China Town
0582	1	Payton Creek Catfish House
0583	1	Marketplace Grill
0584	1	New China Restaurant
0585	1	Andy's Restaurant
0586	1	Catfish Express
0587	1	Chen & Chen Chinese Restaurant
0588	1	Crossett Cafe
0589	1	Savannah Court
0590	1	Western Sizzlin Restaurant
0591	1	Vicki's Diner
0592	1	Savanah's Riverfront Cafe
0593	1	Palace Restaurant
0594	1	The Ranch House Cafe
0595	1	San Miguel Smoke Barn & Grill
0596	1	De Queen Super Steaks
0597	1	Las Tres. Fronteras
0598	1	Sahara Family Restaurant
0599	1	The Willows
0600	1	Fairwinds Restaurant
0601	1	Huddle House
0602	1	Papa Gary's Diner
0603	1	Uncle Dean's Catfish & Such
0604	1	Catfish Kitchen
0605	1	Diner
0606	1	Ethels Kitchen
0607	1	House of Lee Restaurant
0608	1	Papa Gs
0609	1	Ryan's Family Steak House
0610	1	Catfish Corner
0611	1	Chick -A-Dilly
0612	1	Blue Front Tavern
0613	1	The Buffet
0614	1	Smokehouse Cafe
0615	1	Jalapenos Tex-Mexican Grill
0616	1	Devito's Restaurant
0617	1	Pied Piper Pub & Inn
0618	1	Railway Dining
0619	1	Rosie's Funnel Cake Factory
0620	1	Golden Dragon
0621	1	The Golf Club Valley View
0622	1	Curt's Place
0623	1	Catfish Hole
0624	1	Logan's Roadhouse
0625	1	Boi De Ouro
0626	1	Mexico Viejo
0627	1	Racha Restaurant
0628	1	Sodie's Fountain & Grill
0629	1	Diego's Fresh Mexican
0630	1	Razorback Restaurant
0631	1	Smokey's Restaurant
0632	1	Don Jose
0633	1	Dragon China
0634	1	Granny's Country Diner
0635	1	Oscars
0636	1	Phillips Fish Market
0637	1	Taliano's Italian Restaurant
0638	1	Randalla's
0639	1	La Huerta
0640	1	Blazin Burrito
0641	1	Taco Mayo
0642	1	Red Lobster Restaurant
0643	1	The Main Cafe
0644	1	Green Cow
0645	1	Wagon Wheel Restaurant
0646	1	Alices Diner
0647	1	Bulldog Diner
0648	1	Country Kitchen
0649	1	Gurdon Grill
0650	1	Southfork Truck Stop
0651	1	Cal.'s Place
0652	1	Sawyers Steak House
0653	1	Chick-a-roo Cafe
0654	1	Beach Club BBQ
0655	1	Hardy Cafe
0656	1	Kelly Wright Restaurant
0657	1	Log Cabin Cafe
0658	1	Neighborhood Diner
0659	1	Diamond Head Chinese Restaurant
0660	1	El Acapulco
0661	1	China Delight
0662	1	Cravin Cajan Cafe
0663	1	Mack's Fish House
0664	1	Michael's Italian Restaurant
0665	1	Smoke House Restaurant
0666	1	Nicole's Restaurant
0667	1	Roadkill Grill
0668	1	Amigo Juan Mexican Cafe
0669	1	Andy's Restaurants
0670	1	Catfish King Restaurant
0671	1	Cherry's Olde Tyme Soda Fountain
0672	1	City Bakery & Dining Bar
0673	1	McClard's Bar-B-Q
0674	1	Rolando's Restaurante
0675	1	Cheese Corner Deli
0676	1	Applebee's Neighborhood Grill & Bar
0677	1	19th Hole Restaurant & Lounge
0678	1	Cafe Avatar
0679	1	Last Chance Lakeside Cafe
0680	1	Mary Lee's Restaurant
0681	1	The Crooked Hook Catfish Restaurant
0682	1	U S Sub & Grill
0683	1	Ap's Seafood Cove
0684	1	C Js Country Market
0685	1	Capt. D's Seafood Restaurants
0686	1	Boardwalk Cafe
0687	1	Cracker Barrel Old Country Store
0688	1	Colton's Steak House & Grill
0689	1	El'acapulco Mexican Restaurant
0690	1	Sweet Shop
0691	1	Tina's Seafood Buffet
0692	1	Bennigan's Restaurant
0693	1	Chili's Bar & Grill
0694	1	Classics Bar & Grill
0695	1	Doe's Restaurant
0696	1	Edamame Restaurant
0697	1	Lakeside Cafe Louisiana Louisiana Style
0698	1	Lakeside Cajun Queen
0699	1	Lake Country
0700	1	Ole Tyme Pies
0701	1	Izzy's
0702	1	Bruno's Little Italy
0703	1	Corky's Ribs & Barbecue
0704	1	Ozark Mountain Smoke House
0705	1	Furlow Dairy Bar
0706	1	Nichols Bar-B-Que
0707	1	Pruett's Bar-B-Que & Catfish
0708	1	Tidwell's Dairy Bar
0709	1	Hickory Hawg Restaurant
0710	1	Jiu Xin Chinese Restaurant
0711	1	Lafonda
0712	1	The Clothes Line Coin Laundry
0713	1	Bayou Bistro
0714	1	Chen Chen
0715	1	Chick-A-Dilly
0716	1	Evie's
0717	1	Fillin Station
0718	1	The Brick House Diner
0719	1	Chile Peppers Tex-Mexican Grill
0720	1	J R's Dairy Bar
0721	1	Ashley's
0722	1	Cleo's Restaurant
0723	1	Jones Barbecue Diner
0724	1	Cowboys B B Q
0725	1	Iron Skillet Restaurant
0726	1	RichMarc Development
0727	1	Ricky's Pit Bar-B-Que
0728	1	Papa Poblanos
0729	1	Raspberry Manor Bed and Breakfast
0730	1	Skyline Cafe
0731	1	Suree's Oriental Restaurant
0732	1	The Smokehouse Grill
0733	1	Grumpy's Cafe
0734	1	Fortune Cookie
0735	1	Ameca Mexican Restaurant
0736	1	BS Quick Stop
0737	1	Capt.'s Table
0738	1	Atkinson's Blue Diamond Cafe and Ice Cream Parlor
0739	1	Cedar Lounge
0740	1	Mcdermott's Grill
0741	1	Chinese Palace Restaurant
0742	1	Sean's Restaurant & Catering
0743	1	Chelsea's
0744	1	Andy's Restaurant
0745	1	Back Forty
0746	1	Joshua's Ozark Restaurant
0747	1	Old Fashioned Soda Fountain
0748	1	P J's Rainbow Cafe
0749	1	Puttin' On the Ritz
0750	1	Skillet Restaurant
0751	1	H B's Italian Eatery
0752	1	Hometown Diner
0753	1	Starz Family Restaurant
0754	1	Bridge Cafe
0755	1	Hungry Man Restaurants
0756	1	Oliver's Catfish
0757	1	Hong Kong Inn
0758	1	Whole Hog Cafe
0759	1	Outback Steakhouse
0760	1	Mi Pueblo
0761	1	Cotton Inn Restaurant
0762	1	Dawson's Bar-B-Q
0763	1	Hole In The Wall
0764	1	Cajuns Bar
0765	1	Dari Delite
0766	1	Mi Casita
0767	1	Brick Oven Pizza
0768	1	Hunan Chinese Restaurant
0769	1	Great Expectations Coffee
0770	1	el Parian
0771	1	Ethel's Cafe
0772	1	A Taste of Italy
0773	1	China King
0774	1	Anne's Country Cafe
0775	1	1020 Restaurant
0776	1	Bogard's
0777	1	Taco Casa
0778	1	Brown's Delta Bar-B-Q
0779	1	Brenda's Sale Barn Cafe
0780	1	China King Buffet
0781	1	Fabulous 50's Diner
0782	1	Queen House
0783	1	Corral
0784	1	Mama Max's Diner
0785	1	B & B Bar-B-Gue
0786	1	Broadway Cafe
0787	1	Chili's Grill & Bar
0788	1	Abuelo's Mexican Food Embassy
0789	1	Applebee's Neighborhood Grill
0790	1	Taco Villa North
0791	1	Tran's Oriental Palace
0792	1	Waffle House
0793	1	Bullock's Midway Market & Restaurant
0794	1	Cody's Cafe
0795	1	Midway Market & Restaurant
0796	1	Porky's Restaurant
0797	1	Sharons Diner
0798	1	Letty's Filipino Restaurant
0799	1	Bobby's Family Restaurant
0800	1	Dixie Cafe
0801	1	Catherine's Family Restaurant
0802	1	Daisy Queen
0803	1	Hunan Restaurant
0804	1	J & J's Place
0805	1	Ole Feed House
0806	1	La Hacienda De Los Reyes
0807	1	La Huerta
0808	1	Minervas
0809	1	New China Restaurant
0810	1	Side Street Cafe & Grill
0811	1	Napolis Italian Restaurant
0812	1	Fratelli's Wood-Fired Pizzeria
0813	1	Sunset Saloon
0814	1	John's Cajun Chicken and Seafood
0815	1	La Costa Salvadorean & Mexican Grill
0816	1	Country Village Catfish
0817	1	Layne's Country Village
0818	1	Parker's
0819	1	Sonic of Star City
0820	1	Charlotte's Cafe
0821	1	Arlanders Wofford Restaurant
0822	1	Big Banjo of Stuttgart
0823	1	La Petite Cajun Bistro
0824	1	Couchs Log Cabin Bar-B-Que
0825	1	Great Wall Chinese Restaurant
0826	1	Jerry's Steakhouse
0827	1	Main Street Cafe
0828	1	Mickeys Quickie
0829	1	Waffle House
0830	1	Waffle House Unit 342
0831	1	Ellorito Mexican Restaurant
0832	1	Packsaddle Depot Restaurant
0833	1	Joanie's Downtown Diner
0834	1	Judy's 71 Diner
0835	1	China Express
0836	1	Don's Steakhouse
0837	1	Arnold Farms
0838	1	Lynn's Restaurant
0839	1	Molly's Diner
0840	1	Catering By The Smokehouse
0841	1	West Side Auto Sales
0842	1	August Moon Chinese Restaurant
0843	1	B & S Wholesale
0844	1	Neighbors Deli & Sandwich Shop
0845	1	Oriental Buffet
0846	1	Bonanza Family Restaurant
0847	1	Margaritas Mexican Restaurant & Cantina
0848	1	Churchill Coffee Cup Cafe
0849	1	George's Place
0850	1	Kibb's Bar-B-Que
0851	1	Moore's Bar-B-Q
0852	1	Terry's Restaurant
0853	1	The Country Kitchen
0854	1	Ameca Mexican Restaurant
0855	1	Kelly's Restaurant
0856	1	Little Village Cafe
0857	1	Prime Time Buffet
0858	1	El Acapulco Mexican Restaurant
0859	1	Pugsy's Place
0860	1	Senor Sancho's
0861	1	X-Y Cafe
0862	1	Golden China
0863	1	Golden West Restaurant
0864	1	Hacker's Grill
0865	1	Heavenly's Ice Cream & Deli
0866	1	Jake's O Mine
0867	1	Cucina Tagliani
0868	1	Cafe Zamora
0869	1	Red Robin America's Gourmet
0870	1	Bamboo Palace Buffet
0871	1	Chubbys
0872	1	Eighty-Six Cafe
0873	1	Beijing Restaurant
0874	1	Gallenano's
0875	1	Bisbee Breakfast Club
0876	1	Betos Mexican Food
0877	1	Big Sky Cafe
0878	1	Kid Chilleens Bad Association BBQ
0879	1	Byler's Amish Kitchen
0880	1	Sheep Camp
0881	1	La Placita Cafe
0882	1	Captain's Fish & Chips
0883	1	Colianno's Italian Restaurant
0884	1	Los Portales
0885	1	Denny's
0886	1	Ming House
0887	1	Rio Verde Restaurant
0888	1	Storyteller's Steakhouse
0889	1	Verde Cafe
0890	1	Yaqui's Taqueria
0891	1	Cantina Del Pedregal
0892	1	Latilla Restaurant
0893	1	Pia's European Market Cafe
0894	1	Sundial Cafe
