book	borders	publication_date
0193	1	June 22, 2010
0194	1	July 02, 2009
0195	1	June 21, 2009
0196	1	September 30, 2009
0197	1	June 01, 2010
0198	1	June 01, 2010
0199	1	April 10, 2008
0200	1	December 01, 2009
0201	1	June 01, 2004
0202	1	May 25, 2010
0203	1	July 02, 2009
0204	1	May 18, 2010
0205	1	April 21, 2009
0206	1	May 13, 2008
0207	1	November 24, 2009
0208	1	May 18, 2010
0209	1	December 27, 2005
0210	1	June 01, 2010
0211	1	August 01, 1997
0212	1	January 30, 2005
0213	1	October 01, 1992
0214	1	November 30, 2004
0215	1	October 01, 2009
0216	1	August 04, 2009
0217	1	February 15, 2009
0218	1	September 01, 2000
0219	1	June 30, 2004
0220	1	December 15, 2005
0221	1	August 19, 2009
0222	1	January 30, 1999
0223	1	September 01, 2000
0224	1	April 02, 2007
0225	1	July 06, 2010
0226	1	January 26, 2010
0227	1	June 29, 2010
0228	1	June 01, 2001
0229	1	February 26, 2009
0230	1	May 01, 2007
0231	1	December 01, 1991
0232	1	November 01, 2009
0233	1	April 01, 1991
0234	1	May 25, 2010
0235	1	June 02, 2009
0236	1	January 01, 2006
0237	1	June 01, 2006
0238	1	November 01, 2000
0239	1	April 27, 2010
0240	1	June 01, 2010
0241	1	September 08, 2009
0242	1	June 08, 2010
0243	1	April 05, 2007
0244	1	May 01, 2006
0245	1	February 03, 2010
0246	1	March 09, 2010
0247	1	June 22, 2010
0248	1	October 27, 2009
0249	1	July 05, 2004
0250	1	June 29, 2010
0251	1	March 01, 2008
0252	1	September 01, 2003
0253	1	May 01, 1987
0254	1	March 01, 2005
0255	1	January 01, 2003
0256	1	May 01, 2004
0257	1	February 09, 2009
0258	1	March 01, 1997
0259	1	April 01, 1996
0260	1	May 01, 2001
0261	1	March 27, 2008
0262	1	April 06, 2010
0263	1	August 25, 2009
0264	1	April 06, 2010
0265	1	July 01, 1989
0266	1	January 01, 2003
0267	1	September 01, 1998
0268	1	June 29, 2010
0269	1	March 10, 2009
0270	1	April 11, 2006
0271	1	April 24, 2007
0272	1	June 01, 2010
0273	1	May 25, 2010
0274	1	July 06, 2010
0275	1	July 08, 2009
0276	1	March 25, 2008
0277	1	April 06, 2010
0278	1	September 15, 1996
0279	1	November 30, 2009
0280	1	April 01, 1998
0281	1	October 01, 1992
0282	1	September 01, 1993
0283	1	May 01, 1994
0284	1	October 28, 2009
0285	1	October 25, 2004
0286	1	August 01, 1999
0287	1	June 29, 2010
0288	1	March 01, 1994
0289	1	November 01, 2000
0290	1	April 27, 2004
0291	1	March 01, 1995
0292	1	April 01, 2008
0293	1	May 21, 2010
0294	1	April 01, 2009
0295	1	August 01, 2008
0296	1	November 17, 2009
0297	1	January 01, 2003
0298	1	May 28, 2008
0299	1	June 09, 2009
0300	1	June 30, 2004
0301	1	June 01, 2010
0302	1	June 09, 2009
0303	1	August 06, 2009
0304	1	February 07, 2006
0305	1	February 01, 1996
0306	1	April 02, 2009
0307	1	September 01, 2001
0308	1	August 01, 2005
0309	1	February 05, 2008
0310	1	June 02, 2009
0311	1	April 27, 2010
0312	1	March 09, 2010
0313	1	May 13, 2008
0314	1	September 01, 2009
0315	1	June 29, 2010
0316	1	April 21, 2010
0317	1	April 20, 2010
0318	1	January 13, 2009
0319	1	May 18, 2010
0320	1	August 18, 2009
0321	1	October 06, 2009
0322	1	March 05, 2009
0323	1	August 01, 1994
0324	1	April 27, 2010
0325	1	April 01, 2007
0326	1	May 17, 2005
0327	1	June 10, 2009
0328	1	March 02, 2010
0329	1	April 06, 2010
0330	1	June 15, 2010
0331	1	April 27, 2010
0332	1	April 27, 2010
0333	1	April 07, 2009
0334	1	March 04, 2008
0335	1	December 23, 2009
0336	1	October 05, 2009
0337	1	October 27, 2009
0338	1	February 10, 2009
0339	1	March 01, 2001
0340	1	June 14, 2010
0341	1	August 05, 2004
0342	1	March 01, 2000
0343	1	April 20, 2010
0344	1	April 07, 2009
0345	1	March 02, 2009
0346	1	March 02, 2009
0347	1	October 17, 2006
0348	1	August 01, 1996
0349	1	June 16, 2010
0350	1	September 01, 1998
0351	1	May 25, 2010
0352	1	June 22, 2010
0353	1	July 02, 2009
0354	1	May 01, 1997
0355	1	September 01, 2009
0356	1	May 01, 2007
0357	1	May 11, 2010
0358	1	March 23, 2010
0359	1	May 19, 2009
0360	1	May 19, 2009
0361	1	May 19, 2009
0362	1	March 09, 2010
0363	1	July 01, 2005
0364	1	March 30, 2010
0365	1	August 01, 1992
0366	1	February 08, 2005
0367	1	March 01, 2005
0368	1	December 01, 2003
0369	1	January 09, 2007
0370	1	March 01, 2004
0371	1	February 09, 2009
0372	1	February 09, 2009
0373	1	July 06, 2010
0374	1	September 10, 2009
0375	1	September 01, 2002
0376	1	September 23, 2008
0377	1	November 30, 2009
0378	1	September 23, 2008
0379	1	May 25, 2010
0380	1	May 25, 2010
0381	1	April 27, 2010
0382	1	November 01, 1998
0383	1	May 01, 2003
0384	1	August 18, 2009
0385	1	July 01, 2005
0386	1	August 24, 2009
0387	1	February 26, 2009
0388	1	May 01, 2002
0389	1	February 22, 2011
0390	1	June 21, 2009
0391	1	May 04, 2010
0392	1	June 01, 2009
0393	1	October 30, 2007
0394	1	April 27, 2010
0395	1	September 30, 2006
0396	1	October 09, 1998
0397	1	April 01, 2005
0398	1	November 01, 2005
0399	1	June 15, 2010
0400	1	June 18, 2010
0401	1	May 26, 2009
0402	1	March 03, 2009
0403	1	April 26, 2009
0404	1	March 09, 2010
0405	1	April 28, 2009
0406	1	May 15, 2009
0407	1	May 17, 2010
0408	1	April 13, 2010
0409	1	May 02, 2010
0410	1	June 29, 2010
0411	1	November 23, 2009
0412	1	October 01, 1999
0413	1	February 01, 2003
0414	1	February 27, 2006
0415	1	May 01, 2002
0416	1	January 01, 1993
0417	1	January 12, 2010
0418	1	April 07, 2009
0419	1	February 04, 2008
0420	1	April 06, 2010
0421	1	June 09, 2009
0422	1	May 25, 2010
0423	1	December 03, 2009
0424	1	February 26, 2009
0425	1	April 05, 2010
0426	1	May 04, 2010
0427	1	June 22, 2010
0428	1	December 15, 2009
0429	1	September 07, 2006
0430	1	July 01, 2009
0431	1	July 01, 2009
0432	1	May 01, 2004
0433	1	August 19, 2008
0434	1	August 21, 2007
0435	1	August 01, 2008
0436	1	April 28, 2009
0437	1	June 24, 2008
0438	1	January 01, 1992
0439	1	October 01, 2001
0440	1	April 04, 2006
0441	1	June 21, 2009
0442	1	July 01, 2000
0443	1	November 11, 2008
0444	1	March 07, 2006
0445	1	January 01, 1989
0446	1	August 01, 2008
0447	1	April 01, 1988
0448	1	August 01, 1994
0449	1	August 01, 1982
0450	1	June 16, 2005
0451	1	November 04, 2008
0452	1	February 01, 2010
0453	1	April 12, 2010
0454	1	November 13, 2008
0455	1	April 26, 2010
0456	1	April 22, 2008
0457	1	January 01, 1999
0458	1	October 01, 2009
0459	1	May 01, 1996
0460	1	August 01, 2001
0461	1	May 31, 2006
0462	1	August 30, 2009
0463	1	August 30, 2005
0464	1	December 28, 2009
0465	1	March 15, 2007
0466	1	June 09, 2010
0467	1	April 13, 2010
0468	1	June 01, 2003
0469	1	April 28, 2009
0470	1	January 01, 2008
0471	1	June 08, 2010
0472	1	May 23, 2006
0473	1	February 26, 2009
0474	1	February 16, 2006
0475	1	July 25, 2006
0476	1	March 16, 2009
0477	1	June 01, 2009
0478	1	August 01, 1993
0479	1	June 15, 2010
0480	1	August 01, 1996
0481	1	January 01, 2000
0482	1	April 21, 2005
0483	1	October 01, 1995
0484	1	January 01, 1986
0485	1	May 21, 2010
0486	1	June 02, 2009
0487	1	April 27, 2010
0488	1	January 01, 2002
0489	1	June 21, 2009
0490	1	February 27, 2007
0491	1	April 27, 2004
0492	1	May 11, 2008
0493	1	February 01, 1997
0494	1	August 04, 2008
0495	1	October 01, 1998
0496	1	March 23, 2010
0497	1	June 02, 2009
0498	1	October 01, 2001
0499	1	February 26, 2009
0500	1	August 01, 1990
0501	1	July 27, 2009
0502	1	June 15, 2010
0503	1	September 01, 1998
0504	1	February 01, 1998
0505	1	February 26, 2009
0506	1	October 01, 1996
0507	1	June 29, 2010
0508	1	November 01, 1997
0509	1	December 31, 2004
0510	1	September 01, 2000
0511	1	May 19, 2009
0512	1	June 22, 2010
0513	1	May 05, 2009
0514	1	February 26, 2009
0515	1	April 01, 2005
0516	1	May 11, 2010
0517	1	May 01, 2001
0518	1	August 21, 2007
0519	1	March 01, 1960
0520	1	May 04, 2010
0521	1	May 25, 2010
0522	1	August 01, 2009
0523	1	May 15, 2008
0524	1	May 15, 2008
0525	1	May 01, 2010
0526	1	May 01, 2008
0527	1	May 04, 2010
0528	1	March 08, 2011
0529	1	August 04, 2009
0530	1	May 31, 2004
0531	1	September 01, 1950
0532	1	July 01, 1988
0533	1	June 01, 2004
0534	1	July 15, 2008
0535	1	December 15, 2002
0536	1	January 01, 1992
0537	1	August 16, 2010
0538	1	April 27, 2010
0539	1	June 15, 2006
0540	1	June 29, 2010
0541	1	October 28, 2008
0542	1	August 04, 2009
0543	1	May 29, 2007
0544	1	February 23, 2010
0545	1	June 01, 1997
0546	1	June 22, 2009
0547	1	June 06, 2006
0548	1	May 19, 2000
0549	1	July 27, 2010
0550	1	September 01, 1993
0551	1	March 01, 2007
0552	1	April 01, 2008
0553	1	November 01, 1994
0554	1	September 01, 1994
0555	1	April 01, 2007
0556	1	August 01, 2008
0557	1	September 14, 2010
0558	1	December 08, 2008
0559	1	December 01, 1999
0560	1	April 01, 2008
0561	1	April 14, 2000
0562	1	January 06, 2009
0563	1	April 01, 2009
0564	1	September 24, 2007
0565	1	October 01, 1999
0566	1	August 01, 1990
0567	1	June 22, 2010
0568	1	June 22, 2010
0569	1	May 11, 2010
0570	1	June 01, 1998
0571	1	March 01, 1999
0572	1	June 10, 2009
0573	1	May 01, 2002
0574	1	May 11, 2010
0575	1	March 24, 2009
0576	1	August 03, 2010
0577	1	April 30, 1992
0578	1	May 01, 2001
0579	1	November 01, 2001
0580	1	June 29, 2010
0581	1	November 17, 2009
0582	1	January 13, 2009
0583	1	May 01, 2010
0584	1	May 05, 2009
0585	1	February 01, 1998
0586	1	October 01, 1999
0587	1	October 01, 1996
0588	1	August 01, 2006
0589	1	April 27, 2010
0590	1	September 08, 2009
0591	1	September 08, 2009
0592	1	June 01, 2010
0593	1	May 25, 2010
0594	1	March 03, 2009
0595	1	January 05, 2010
0596	1	November 30, 2009
0597	1	November 04, 2009
0598	1	May 02, 2005
0599	1	September 25, 2007
0600	1	March 01, 2004
0601	1	May 01, 2002
0602	1	April 27, 2010
0603	1	June 25, 2009
0604	1	December 21, 2009
0605	1	February 26, 2009
0606	1	July 28, 2009
0607	1	April 23, 2009
0608	1	August 04, 2009
0609	1	April 07, 2009
0610	1	June 08, 2010
0611	1	December 23, 2008
0612	1	April 26, 2009
0613	1	August 16, 2007
0614	1	April 01, 2008
0615	1	September 01, 2003
0616	1	September 01, 2007
0617	1	February 26, 2009
0618	1	November 24, 2009
0619	1	April 28, 2009
0620	1	September 01, 1987
0621	1	June 14, 2010
0622	1	August 10, 2009
0623	1	October 01, 1998
0624	1	March 14, 2006
0625	1	May 06, 2008
0626	1	July 01, 2002
0627	1	November 16, 2009
0628	1	June 22, 2010
0629	1	October 13, 2009
0630	1	June 01, 1997
0631	1	June 15, 2010
0632	1	July 01, 2010
0633	1	May 01, 1999
0634	1	April 01, 2008
0635	1	July 09, 2008
0636	1	September 01, 2003
0637	1	June 15, 2010
0638	1	February 23, 2010
0639	1	March 31, 2009
0640	1	June 22, 2010
0641	1	March 01, 2010
0642	1	October 01, 2004
0643	1	November 01, 2003
0644	1	June 01, 2004
0645	1	July 01, 2003
0646	1	August 19, 2009
0647	1	April 01, 2008
0648	1	December 14, 2009
0649	1	December 14, 2009
0650	1	April 01, 1999
0651	1	June 08, 2010
0652	1	June 08, 2010
0653	1	June 22, 2010
0654	1	April 26, 2009
0655	1	October 01, 2009
0656	1	June 01, 1991
0657	1	February 28, 2007
0658	1	April 28, 2006
0659	1	March 05, 2009
0660	1	June 01, 2005
0661	1	August 15, 1994
0662	1	June 01, 1990
0663	1	October 01, 1999
0664	1	June 01, 1957
0665	1	September 01, 1998
0666	1	March 10, 2009
0667	1	February 01, 2001
0668	1	May 01, 2001
0669	1	April 27, 2010
0670	1	May 11, 2010
0671	1	September 30, 2005
0672	1	June 17, 2008
0673	1	June 14, 2004
0674	1	July 20, 2010
0675	1	February 10, 2009
0676	1	October 07, 2008
0677	1	February 16, 2010
0678	1	April 28, 2009
0679	1	April 01, 2009
0680	1	October 29, 2002
0681	1	April 01, 2010
0682	1	October 28, 2008
0683	1	February 26, 2009
0684	1	January 03, 2006
0685	1	May 01, 2002
0686	1	December 01, 2003
0687	1	May 01, 2002
0688	1	May 19, 2009
0689	1	March 19, 2009
0690	1	April 20, 2010
0691	1	January 01, 2009
0692	1	November 10, 2009
0693	1	March 01, 2003
0694	1	October 27, 2009
0695	1	October 03, 2006
0696	1	November 01, 2005
0697	1	June 10, 2010
0698	1	January 12, 2010
0699	1	February 03, 2009
0700	1	May 01, 2008
0701	1	April 13, 2010
0702	1	April 13, 2010
0703	1	May 14, 2009
0704	1	October 01, 2000
0705	1	November 13, 2006
0706	1	March 01, 2001
0707	1	May 01, 2004
0708	1	May 25, 2010
0709	1	October 31, 2009
0710	1	June 25, 2009
0711	1	March 29, 2005
0712	1	June 15, 2010
0713	1	August 01, 2004
0714	1	May 15, 2007
0715	1	May 15, 2007
0716	1	June 01, 2010
0717	1	July 31, 2001
0718	1	June 28, 2005
0719	1	September 26, 2006
0720	1	September 27, 2005
0721	1	June 23, 2009
0722	1	March 24, 2009
0723	1	May 27, 2008
0724	1	May 18, 2010
0725	1	April 20, 2006
0726	1	January 05, 2010
0727	1	August 25, 2009
0728	1	August 25, 2009
0729	1	August 25, 2009
0730	1	April 17, 2007
0731	1	March 11, 2008
0732	1	March 01, 2003
0733	1	May 01, 2002
0734	1	April 27, 2010
0735	1	July 14, 2009
0736	1	September 26, 2006
0737	1	March 21, 2010
0738	1	March 01, 2007
0739	1	April 11, 2006
0740	1	April 23, 2009
0741	1	February 03, 2009
0742	1	February 03, 2009
0743	1	April 21, 2009
0744	1	April 26, 2009
0745	1	May 25, 2010
0746	1	March 01, 2002
0747	1	July 09, 2009
0748	1	April 17, 2008
0749	1	May 26, 2009
0750	1	June 14, 2009
0751	1	April 19, 2005
0752	1	August 01, 2004
0753	1	November 24, 2009
0754	1	April 14, 2009
0755	1	June 08, 2010
0756	1	August 01, 2007
0757	1	April 18, 2010
0758	1	June 01, 2010
0759	1	February 02, 2010
0760	1	May 10, 2006
0761	1	September 26, 2006
0762	1	September 01, 2002
0763	1	March 09, 2010
0764	1	May 04, 2010
0765	1	February 02, 2010
0766	1	November 18, 2008
0767	1	May 23, 2006
0768	1	April 27, 2010
0769	1	September 01, 2003
0770	1	July 01, 2010
0771	1	April 20, 2010
0772	1	December 23, 2008
0773	1	May 25, 2010
0774	1	May 01, 2002
0775	1	April 05, 2007
0776	1	September 01, 1995
0777	1	November 01, 2010
0778	1	May 19, 2009
0779	1	May 01, 2010
0780	1	May 30, 2006
0781	1	June 01, 2007
0782	1	February 01, 2007
0783	1	February 16, 2006
0784	1	March 01, 2002
0785	1	September 01, 2006
0786	1	November 01, 1995
0787	1	May 01, 1999
0788	1	March 01, 2000
0789	1	January 05, 2010
0790	1	April 01, 2004
0791	1	December 30, 2008
0792	1	May 08, 2007
0793	1	April 06, 2010
0794	1	October 01, 1999
0795	1	April 01, 2000
0796	1	June 15, 2010
0797	1	February 01, 1999
0798	1	April 01, 1995
0799	1	June 01, 2000
0800	1	February 01, 2003
0801	1	November 01, 2007
0802	1	May 01, 2010
0803	1	May 30, 2006
0804	1	February 12, 2008
0805	1	October 13, 2009
0806	1	June 21, 2010
0807	1	October 01, 1999
0808	1	October 30, 2007
0809	1	August 19, 2009
0810	1	November 08, 2005
0811	1	May 04, 2010
0812	1	February 05, 2008
0813	1	June 01, 2009
0814	1	February 01, 2002
0815	1	April 27, 2010
0816	1	November 01, 2007
0817	1	November 01, 2005
0818	1	May 15, 2004
0819	1	January 01, 2004
0820	1	April 27, 2010
0821	1	May 04, 2010
0822	1	February 01, 1997
0823	1	May 01, 1989
0824	1	April 01, 2008
0825	1	June 22, 2010
0826	1	July 01, 2003
0827	1	January 01, 2008
0828	1	June 29, 2010
0829	1	April 01, 1997
0830	1	September 01, 2007
0831	1	June 01, 2008
0832	1	November 01, 1992
0833	1	June 16, 2005
0834	1	February 01, 2009
0835	1	May 15, 2008
0836	1	December 01, 2004
0837	1	December 26, 2001
0838	1	April 01, 2004
0839	1	September 07, 2010
0840	1	August 30, 2009
0841	1	July 01, 2003
0842	1	March 01, 1987
0843	1	September 28, 2006
0844	1	April 01, 2009
0845	1	April 20, 2010
0846	1	June 10, 2009
0847	1	May 01, 2006
0848	1	June 01, 2010
0849	1	May 20, 2005
0850	1	May 19, 2009
0851	1	October 01, 1997
0852	1	October 01, 1995
0853	1	September 22, 2009
0854	1	September 01, 2002
0855	1	June 29, 2010
0856	1	June 28, 2005
0857	1	February 21, 2006
0858	1	October 05, 2009
0859	1	September 22, 2009
0860	1	May 25, 2010
0861	1	May 11, 2010
0862	1	August 01, 2004
0863	1	September 01, 2003
0864	1	November 03, 2009
0865	1	May 15, 2007
0866	1	September 04, 2007
0867	1	October 01, 2007
0868	1	January 06, 2009
0869	1	November 30, 2009
0870	1	September 01, 1998
0871	1	September 01, 2004
0872	1	June 01, 1977
0873	1	November 02, 2006
0874	1	November 30, 2009
0875	1	October 27, 2009
0876	1	March 23, 2010
0877	1	April 28, 2009
0878	1	April 07, 2009
0879	1	March 25, 2008
0880	1	June 08, 2010
0881	1	October 15, 2008
0882	1	January 01, 2001
0883	1	October 01, 2001
0884	1	August 24, 2010
0885	1	October 06, 2009
0886	1	May 04, 2010
0887	1	March 15, 2005
0888	1	February 02, 2010
0889	1	July 15, 1998
0890	1	June 21, 2009
0891	1	December 23, 2009
0892	1	October 01, 1993
0893	1	February 01, 1990
0894	1	November 30, 2009
0895	1	November 24, 2009
0896	1	April 28, 2009
0897	1	March 01, 2000
0898	1	October 01, 2003
0899	1	April 24, 2007
0900	1	May 04, 2010
0901	1	April 01, 1994
0902	1	November 01, 2006
0903	1	June 29, 2010
0904	1	May 25, 2010
0905	1	July 19, 2005
0906	1	April 01, 1990
0907	1	August 25, 2009
0908	1	September 12, 2006
0909	1	May 18, 2010
0910	1	December 21, 2010
0911	1	May 19, 2009
0912	1	April 13, 2010
0913	1	July 07, 2009
0914	1	June 01, 2008
0915	1	November 24, 2009
0916	1	May 25, 2010
0917	1	April 20, 2010
0918	1	April 30, 2008
0919	1	February 26, 2009
0920	1	May 27, 2008
0921	1	June 01, 1998
0922	1	April 26, 2009
0923	1	February 02, 2010
0924	1	June 24, 2008
0925	1	November 30, 2009
0926	1	September 26, 2006
0927	1	July 01, 2010
0928	1	June 17, 2010
0929	1	November 01, 1996
0930	1	June 15, 2010
0931	1	August 22, 2006
0932	1	October 11, 2005
0933	1	August 01, 1997
0934	1	April 18, 2010
0935	1	September 01, 1992
0936	1	September 22, 2009
0937	1	October 27, 2009
0938	1	April 06, 2010
0939	1	January 10, 2008
0940	1	February 26, 2009
0941	1	May 19, 2009
0942	1	May 15, 2007
0943	1	April 28, 2010
0944	1	May 01, 2006
0945	1	April 06, 2010
0946	1	May 26, 2009
0947	1	July 06, 2010
0948	1	May 06, 2008
0949	1	October 01, 2007
0950	1	January 05, 2010
0951	1	August 11, 2009
0952	1	August 25, 2009
0953	1	April 26, 2009
0954	1	January 01, 2010
0955	1	June 15, 2010
0956	1	October 01, 2008
0957	1	October 08, 2007
0958	1	October 30, 2008
0959	1	January 01, 2003
0960	1	June 01, 2006
0961	1	January 05, 2010
0962	1	February 03, 2010
0963	1	October 01, 1992
0964	1	October 01, 1997
0965	1	March 01, 2005
0966	1	June 14, 2009
0967	1	February 26, 2009
0968	1	May 01, 2010
0969	1	September 08, 2009
0970	1	November 01, 1996
0971	1	July 08, 2009
0972	1	October 05, 2007
0973	1	October 01, 2004
0974	1	October 01, 2003
0975	1	November 24, 2009
0976	1	June 10, 2010
0977	1	April 26, 2009
0978	1	June 23, 2009
0979	1	January 26, 2010
0980	1	May 26, 2009
0981	1	September 01, 1998
0982	1	April 27, 2010
0983	1	July 01, 2010
0984	1	December 02, 2003
0985	1	June 29, 2010
0986	1	August 01, 2001
0987	1	January 01, 1994
0988	1	October 16, 2009
0989	1	October 01, 2009
0990	1	July 08, 2009
0991	1	October 08, 2008
0992	1	April 26, 2005
0993	1	February 01, 2004
0994	1	October 24, 2006
0995	1	November 25, 2008
0996	1	November 26, 2008
0997	1	October 24, 2006
0998	1	March 30, 2010
0999	1	August 04, 2009
1000	1	June 01, 2005
1001	1	May 25, 2010
1002	1	October 19, 1999
1003	1	August 18, 2009
1004	1	June 01, 1977
1005	1	October 13, 2009
1006	1	May 10, 2010
1007	1	October 13, 2009
1008	1	July 06, 2010
1009	1	October 01, 1994
1010	1	May 01, 1996
1011	1	November 20, 2009
1012	1	September 01, 2002
1013	1	August 01, 2001
1014	1	June 15, 2010
1015	1	June 01, 2010
1016	1	June 08, 2010
1017	1	August 01, 2001
1018	1	November 04, 2008
1019	1	September 01, 2009
1020	1	May 01, 2006
1021	1	January 05, 2010
1022	1	June 15, 2006
1023	1	July 01, 1999
1024	1	January 01, 1994
1025	1	May 01, 1999
1026	1	August 08, 2006
1027	1	April 01, 2003
1028	1	September 01, 1998
1029	1	May 22, 2007
1030	1	March 23, 2009
1031	1	April 08, 2008
1032	1	June 16, 2010
1033	1	October 25, 1999
1034	1	June 01, 1995
1035	1	April 07, 2005
1036	1	December 22, 2009
1037	1	November 01, 1982
1038	1	December 01, 1989
1039	1	May 04, 2010
1040	1	March 01, 2005
1041	1	July 13, 2010
1042	1	November 01, 2005
1043	1	September 01, 2002
1044	1	October 25, 2004
1045	1	August 11, 2009
1046	1	November 01, 1995
1047	1	June 15, 2008
1048	1	September 01, 1996
1049	1	July 01, 2008
1050	1	July 02, 2009
1051	1	May 01, 2008
1052	1	June 01, 2008
1053	1	December 01, 2003
1054	1	January 01, 2010
1055	1	July 21, 2010
1056	1	August 23, 2005
1057	1	August 23, 2005
1058	1	November 30, 2005
1059	1	July 21, 2005
1060	1	February 16, 2006
1061	1	March 23, 2010
1062	1	April 22, 2008
1063	1	May 01, 2000
1064	1	May 18, 2009
1065	1	March 22, 2010
1066	1	August 31, 2009
1067	1	April 13, 2010
1068	1	August 31, 2009
1069	1	May 01, 2008
1070	1	October 01, 2001
1071	1	October 01, 1999
1072	1	June 01, 1961
1073	1	May 31, 2010
