book	borders	author
0159	1	Scott Turow
0160	1	Scott Turow
0161	1	Jodi Picoult
0162	1	Steve Dublanica
0163	1	Nicholas Sparks
0164	1	Nicholas Sparks
0165	1	Nicholas Sparks
0166	1	Chinua Achebe
0167	1	Elizabeth Strout
0168	1	Khaled Hosseini
0169	1	Francis Chan
0170	1	Dan Brown
0171	1	Dan Brown
0172	1	Warren Fahy
0173	1	Jon Krakauer
0174	1	Jon Krakauer
0175	1	Liaquat Ahamed
0176	1	Troy Denning
0177	1	Troy Denning
0178	1	David McCullough
0179	1	David McCullough
0180	1	David McCullough
0181	1	David McCullough
0182	1	Karen Kingsbury
0183	1	Karen Kingsbury
0184	1	Maggie Stiefvater
0185	1	Melody Thomas
0186	1	Mitch Albom
0187	1	Mitch Albom
0188	1	Sophie Hannah
0189	1	Susan Wiggs
0190	1	Michael Scott
0191	1	Christopher McDougall
0192	1	Christopher McDougall
0193	1	Margaret Truman
0194	1	Margaret Truman
0195	1	Alice Sebold
0196	1	Alice Sebold
0197	1	Erin Hunter
0198	1	Erin Hunter
0199	2	Randy Pausch	Jeffrey Zaslow
0200	1	Charlaine Harris
0201	1	Emily Giffin
0202	1	Sherrilyn Kenyon
0203	1	Cassandra Clare
0204	1	Phyllis Reynolds Naylor
0205	1	Emily Giffin
0206	1	Emily Giffin
0207	1	Emily Giffin
0208	1	Carlos Ruiz Zafón
0209	1	Anonymous
0210	1	Daisy Meadows
0211	1	Nathaniel Hawthorne
0212	1	Nathaniel Hawthorne
0213	1	Nathaniel Hawthorne
0214	2	Nathaniel Hawthorne	John Stephen Martin
0215	1	Nathaniel Hawthorne
0216	1	Nathaniel Hawthorne
0217	2	Nathaniel Hawthorne	Cindy Weinstein
0218	1	Nathaniel Hawthorne
0219	1	Nathaniel Hawthorne
0220	1	Nathaniel Hawthorne
0221	1	Nathaniel Hawthorne
0222	1	Nathaniel Hawthorne
0223	1	Robert Greene
0224	1	Robert Greene
0225	1	Victoria Laurie
0226	1	David Grann
0227	1	Laura Griffin
0228	1	David Sedaris
0229	1	James Patterson
0230	2	P. C. Cast	Kristin Cast
0231	1	Kurt Vonnegut
0232	1	Uwem Akpan
0233	1	Sandra Cisneros
0234	1	Clive Cussler
0235	2	Clive Cussler	Paul Kemprecos
0236	1	Zora Neale Hurston
0237	1	Zora Neale Hurston
0238	1	Zora Neale Hurston
0239	2	Jillian Michaels	Mariska van Aalst
0240	2	Nicholas D. Kristof	Sheryl WuDunn
0241	2	Nicholas D. Kristof	Sheryl WuDunn
0242	1	Heather McDonald
0243	1	Judy Blume
0244	2	Don Piper	Cecil Murphey
0245	1	Rebecca Skloot
0246	1	Alexander McCall Smith
0247	1	Linda Castillo
0248	1	Nora Roberts
0249	1	Audrey Niffenegger
0250	1	Barry Eisler
0251	1	Mark Twain
0252	1	Mark Twain
0253	1	Mark Twain
0254	1	Mark Twain
0255	1	Mark Twain
0256	1	Mark Twain
0257	3	Mark Twain	Hyeondo Park	Adam Sexton
0258	1	Mark Twain
0259	1	Mark Twain
0260	1	Mark Twain
0261	1	Mark Twain
0262	1	Richelle Mead
0263	1	Richelle Mead
0264	1	Richelle Mead
0265	1	Ken Kesey
0266	1	Ken Kesey
0267	1	Valorie Schaefer
0268	1	K. E. Mills
0269	2	P. C. Cast	Kristin Cast
0270	1	Michael Pollan
0271	1	Michael Pollan
0272	1	John Lescroart
0273	1	Nora Roberts
0274	1	Christopher Pike
0275	1	Cassandra Clare
0276	1	Cassandra Clare
0277	1	Gordon Korman
0278	1	Bill Martin Jr.
0279	1	Alyson Noël
0280	1	Lewis Carroll
0281	1	Lewis Carroll
0282	1	Lewis Carroll
0283	1	Charlotte Brontë
0284	1	Charlotte Brontë
0285	1	Emily Brontë
0286	1	Charlotte Brontë
0287	1	Emily Brontë
0288	1	Charlotte Brontë
0289	1	Charlotte Brontë
0290	1	Emily Brontë
0291	1	Charlotte Brontë
0292	1	Charlotte Brontë
0293	3	Charlotte Brontë	Karin Jacobsen	Mary Ellen Snodgrass
0294	1	Emily Brontë
0295	1	Emily Brontë
0296	1	Emily Brontë
0297	1	Emily Brontë
0298	1	Emily Brontë
0299	1	Emily Brontë
0300	1	Charlotte Brontë
0301	1	Matsuri Hino
0302	1	Alyson Noël
0303	1	Rebecca Wells
0304	1	James McBride
0305	1	James McBride
0306	1	Gayle Forman
0307	1	J. K. Rowling
0308	1	Betty Smith
0309	1	Betty Smith
0310	1	Nic Sheff
0311	1	Simone Elkeles
0312	1	Thomas E. Sniegoski
0313	1	Trenton Lee Stewart
0314	1	Pseudonymous Bosch
0315	1	Maya Rodale
0316	1	David Baldacci
0317	1	David Baldacci
0318	1	Carl Hiaasen
0319	1	Ally Carter
0320	1	Joseph J. Ellis
0321	1	R. A. Salvatore
0322	1	Roger Lancelyn Green
0323	1	Debbie Macomber
0324	1	P. C. Cast
0325	1	Simone Elkeles
0326	1	Ernest J. Gaines
0327	1	Ernest J. Gaines
0328	1	Seth Grahame-Smith
0329	1	Seth Grahame-Smith
0330	2	Sam Kashner	Nancy Schoenberger
0331	1	Candace Bushnell
0332	1	Candace Bushnell
0333	1	Mary Higgins Clark
0334	2	P. C. Cast	Kristin Cast
0335	2	P. C. Cast	Kristin Cast
0336	2	Dorling Kindersley Publishing Staff	Simon Beecroft
0337	1	Ellen Hopkins
0338	1	Kate DiCamillo
0339	1	Kate DiCamillo
0340	1	Kate DiCamillo
0341	1	Kate DiCamillo
0342	1	Kate DiCamillo
0343	1	Claire Cook
0344	2	Jillian Michaels	Mariska van Aalst
0345	1	Merrill Markoe
0346	1	Merrill Markoe
0347	1	Ernest Hemingway
0348	1	Diana Gabaldon
0349	1	Diana Gabaldon
0350	1	Diana Gabaldon
0351	1	Gena Showalter
0352	1	Jane O&#039;Connor
0353	1	Jon Krakauer
0354	1	Jon Krakauer
0355	1	Sue Grafton
0356	1	Ned Vizzini
0357	1	Gil McNeil
0358	1	Lee Child
0359	1	Lee Child
0360	1	Lee Child
0361	1	Lee Child
0362	1	Sophie Kinsella
0363	1	Eric Schlosser
0364	1	Emily Giffin
0365	1	Kate Chopin
0366	1	Scott Westerfeld
0367	1	Scott Westerfeld
0368	1	Jerry Spinelli
0369	1	Jerry Spinelli
0370	1	Jerry Spinelli
0371	1	Dan Simmons
0372	1	Dan Simmons
0373	1	Kendra Wilkinson
0374	1	Cherie Priest
0375	1	J. K. Rowling
0376	2	P. C. Cast	Kristin Cast
0377	2	P. C. Cast	Kristin Cast
0378	2	P. C. Cast	Kristin Cast
0379	1	Danielle Steel
0380	1	Debbie Macomber
0381	1	Matthew B. Crawford
0382	1	Nancy O&#039;Hara
0383	1	Jeanne DuPrau
0384	1	Jeanne DuPrau
0385	1	Franklin Foer
0386	1	Brent Weeks
0387	1	Brent Weeks
0388	1	George R. R. Martin
0389	1	George R. R. Martin
0390	1	George R. R. Martin
0391	1	Mary Pope Osborne
0392	1	Sarah Ockler
0393	2	Ron Hall	Denver Moore
0394	1	Dan Ariely
0395	1	Amy Tan
0396	1	Stephen R. Covey
0397	1	Nicholas Sparks
0398	1	James Patterson
0399	1	Jane Green
0400	1	Inder Sidhu
0401	1	Michael Scott
0402	1	Olen Steinhauer
0403	1	Jodi Picoult
0404	1	Lisi Harrison
0405	1	Nora Roberts
0406	1	Nora Roberts
0407	1	Newt Gingrich
0408	1	Diane Mott Davidson
0409	1	Erin Hunter
0410	1	Eileen Dreyer
0411	1	Ernest Hemingway
0412	1	Ernest Hemingway
0413	1	Barbara Park
0414	2	James Patterson	Andrew Gross
0415	1	Geraldine Brooks
0416	1	Mary Pope Osborne
0417	1	Random House Disney Staff
0418	2	James Patterson	Maxine Paetro
0419	2	James Patterson	Maxine Paetro
0420	1	Katherine Howe
0421	1	Katherine Howe
0422	1	Julia Quinn
0423	1	Dave Ramsey
0424	1	Jerry Spinelli
0425	1	Doug Lemov
0426	1	John Sandford
0427	1	Alan Dean Foster
0428	1	Timothy Ferriss
0429	1	Julie Powell
0430	1	Julie Powell
0431	1	Julie Powell
0432	1	Sarah Dessen
0433	1	Nick Bruel
0434	1	Ellen Hopkins
0435	1	Ellen Hopkins
0436	1	Michael Scott
0437	1	Michael Scott
0438	1	J. R. R. Tolkien
0439	1	Jim Collins
0440	1	Jonathan Safran Foer
0441	1	James Patterson
0442	1	James Patterson
0443	1	Orson Scott Card
0444	1	Fyodor Dostoevsky
0445	1	Fyodor Dostoevsky
0446	1	Fyodor Dostoevsky
0447	1	Fyodor Dostoevsky
0448	1	Fyodor Dostoevsky
0449	1	Fyodor Dostoevsky
0450	2	Fyodor Dostoevsky	Alex Jennings
0451	1	John Flanagan
0452	2	James Patterson	Michael Ledwidge
0453	2	James Patterson	Michael Ledwidge
0454	1	Niall Ferguson
0455	1	McNally Rand
0456	1	Stuart Woods
0457	1	Charles Dickens
0458	1	Charles Dickens
0459	1	Charles Dickens
0460	1	Charles Dickens
0461	1	Charles Dickens
0462	1	Charles Dickens
0463	1	Hermann Hesse
0464	1	Hesse, Hermann
0465	1	Lauren Myracle
0466	1	Michael Koryta
0467	1	Amy Dickinson
0468	1	Kathryn Lasky
0469	1	Michael Pollan
0470	1	Michael Pollan
0471	1	Princeton Review Staff
0472	1	Barbara Park
0473	2	James Patterson	Maxine Paetro
0474	1	Anthony Horowitz
0475	1	Anthony Horowitz
0476	1	Barbara Park
0477	1	Jennifer McMahon
0478	1	Mary Pope Osborne
0479	1	Mary Pope Osborne
0480	1	Ayn Rand
0481	1	Ayn Rand
0482	1	Ayn Rand
0483	1	Dave Pelzer
0484	1	Alexandre Dumas
0485	2	Alexandre Dumas	James L. Roberts
0486	1	Alexandre Dumas
0487	1	Alexandre Dumas
0488	1	Alexandre Dumas
0489	1	Alexandre Dumas
0490	1	Alexandre Dumas
0491	1	Alexandre Dumas
0492	1	Alexandre Dumas
0493	1	Alexandre Dumas
0494	1	Alexandre Dumas
0495	1	Alexandre Dumas
0496	1	Kelley Armstrong
0497	2	James Patterson	Andrew Gross
0498	1	James Patterson
0499	1	James Patterson
0500	1	Beverly Cleary
0501	1	James Patterson
0502	1	James Patterson
0503	1	Spencer Johnson
0504	1	Nicholas Sparks
0505	1	Nicholas Sparks
0506	1	Nicholas Sparks
0507	1	Kate Douglas
0508	1	James Patterson
0509	1	Agatha Christie
0510	1	Agatha Christie
0511	2	Douglas Preston	Lincoln Child
0512	1	Allison Brennan
0513	1	Nicholas Sparks
0514	1	Nicholas Sparks
0515	1	Nicholas Sparks
0516	1	Nick Bruel
0517	1	Jean Craighead George
0518	1	Natalie Babbitt
0519	1	Dr. Seuss
0520	2	Mike Bender	Doug Chernack
0521	1	Christie Golden
0522	1	Patrick Carman
0523	1	David Benioff
0524	1	David Benioff
0525	1	Dorling Kindersley Publishing Staff
0526	1	Melissa Marr
0527	2	Teresa Giudice	Heather MacLean
0528	1	Rebecca Stead
0529	2	W. E. B. Griffin	William E. Butterworth IV
0530	1	Leo Tolstoy
0531	1	Leo Tolstoy
0532	1	Leo Tolstoy
0533	1	Leo Tolstoy
0534	1	Leo Tolstoy
0535	2	Leo Tolstoy	SparkNotes Staff
0536	1	Leo Tolstoy
0537	2	James Patterson	Liza Marklund
0538	1	Wes Moore
0539	1	John Flanagan
0540	1	Gav Thorpe
0541	1	Kate DiCamillo
0542	1	Christopher Pike
0543	1	Janet Evanovich
0544	1	Julia Hoban
0545	1	Mary Wollstonecraft Shelley
0546	1	Mary Wollstonecraft Shelley
0547	1	Mary Wollstonecraft Shelley
0548	2	Mary Wollstonecraft Shelley	Shelley Mary
0549	1	Mary Wollstonecraft Shelley
0550	1	Mary Wollstonecraft Shelley
0551	1	Mary Wollstonecraft Shelley
0552	1	Mary Wollstonecraft Shelley
0553	1	Mary Wollstonecraft Shelley
0554	1	Mary Wollstonecraft Shelley
0555	1	Mary Wollstonecraft Shelley
0556	1	Mary Wollstonecraft Shelley
0557	1	Mary Wollstonecraft Shelley
0558	1	Mary Wollstonecraft Shelley
0559	3	Mary Wollstonecraft Shelley	David Lorne MacDonald	Kathleen Scherf
0560	1	Mary Wollstonecraft Shelley
0561	1	Mary Wollstonecraft Shelley
0562	1	Mary Wollstonecraft Shelley
0563	1	Nicholas Sparks
0564	1	Nicholas Sparks
0565	1	Maya Angelou
0566	1	Beverly Cleary
0567	1	Alan Goldsher
0568	1	Alan Goldsher
0569	1	Bill Madden
0570	1	Barbara Park
0571	1	George R. R. Martin
0572	1	George R. R. Martin
0573	1	George R. R. Martin
0574	1	Doug Stanton
0575	1	Cassandra Clare
0576	1	Cassandra Clare
0577	3	Roger Fisher	William L. Ury	Bruce M. Patton
0578	1	Nathaniel Philbrick
0579	1	James Patterson
0580	1	Kasey MacKenzie
0581	1	Janice Y. K. Lee
0582	1	Janice Y. K. Lee
0583	1	Cornelia Funke
0584	1	Leonard Mlodinow
0585	1	Andrew Clements
0586	1	Andrew Clements
0587	1	Wilson Rawls
0588	1	Melody Beattie
0589	2	Pierdomenico Baccalario	Leah Janeczko
0590	2	Pierdomenico Baccalario	Leah Janeczko
0591	1	Pierdomenico Baccalario
0592	1	Daniel Woodrell
0593	1	James Lee Burke
0594	1	Molly Wizenberg
0595	1	Kristin Hannah
0596	1	Kristin Hannah
0597	1	Christopher Paul Curtis
0598	1	Francine Rivers
0599	1	James Patterson
0600	1	Sarah Dessen
0601	1	Sarah Dessen
0602	1	Rachel Caine
0603	1	Douglas Preston
0604	1	Brent Weeks
0605	1	Brent Weeks
0606	2	Dean Koontz	Ed Gorman
0607	1	James Patterson
0608	1	James Patterson
0609	1	Mary Pope Osborne
0610	1	Kate Brian
0611	1	Lisa McMann
0612	1	Lisa McMann
0613	1	Roald Dahl
0614	1	George Selden
0615	1	Nicholas Sparks
0616	1	Nicholas Sparks
0617	1	Nicholas Sparks
0618	1	J. R. Ward
0619	1	J. R. Ward
0620	1	John Kennedy Toole
0621	1	Jacqueline Carey
0622	1	Karen Miller
0623	1	Dale Carnegie
0624	1	Kazuo Ishiguro
0625	1	Katherine Applegate
0626	1	Nicholas Sparks
0627	1	James Patterson
0628	1	Lisa Lillien
0629	1	Becca Fitzpatrick
0630	1	Ellen Raskin
0631	1	Mary Pope Osborne
0632	1	Julia James
0633	1	Barbara Park
0634	1	Ayaan Hirsi Ali
0635	1	Liane Onish
0636	1	Michael Pollan
0637	1	Harriet Evans
0638	1	Harlan Coben
0639	1	Harlan Coben
0640	1	Sam Wasson
0641	1	Tom Angleberger
0642	1	James Patterson
0643	1	James Patterson
0644	1	Jon Krakauer
0645	1	Jon Krakauer
0646	1	Jon Krakauer
0647	2	James Patterson	Michael Ledwidge
0648	2	James Patterson	Gabrielle Charbonnet
0649	2	James Patterson	Gabrielle Charbonnet
0650	1	E. B. White
0651	1	Meg Cabot
0652	1	Meg Cabot
0653	1	Madeleine Wickham
0654	1	Charles Dickens
0655	1	Charles Dickens
0656	1	Charles Dickens
0657	1	Charles Dickens
0658	1	Charles Dickens
0659	1	Charles Dickens
0660	1	Charles Dickens
0661	1	Charles Dickens
0662	1	Charles Dickens
0663	1	Charles Dickens
0664	1	Dr. Seuss
0665	1	Margaret Peterson Haddix
0666	2	Clive Cussler	Jack Du Brul
0667	1	C. S. Lewis
0668	1	Barbara Park
0669	1	Jane O&#039;Connor
0670	1	Carl Hiaasen
0671	1	Carl Hiaasen
0672	1	Janet Evanovich
0673	1	Daniel Keyes
0674	2	Janet Evanovich	Alex Evanovich
0675	1	Lisa McMann
0676	1	Ken Follett
0677	2	Chip Heath	Dan Heath
0678	2	James Patterson	Howard Roughan
0679	1	Daisy Meadows
0680	1	Brad Thor
0681	2	James Patterson	Hal Friedman
0682	1	Nelson DeMille
0683	1	Nelson DeMille
0684	1	Lee Child
0685	1	Jerry Spinelli
0686	1	Jerry Spinelli
0687	1	Jerry Spinelli
0688	1	Lee Child
0689	1	Laurie Halse Anderson
0690	1	David Liss
0691	1	Kelly Corrigan
0692	3	Lucy Rosen	HarperCollins Publishers Ltd. Staff	Susan Hill
0693	1	Arthur Miller
0694	1	Anna Godbersen
0695	1	Jay Allison
0696	1	Richard Adams
0697	1	Chicago Tribune Staff
0698	1	Heather Brewer
0699	1	Patricia Briggs
0700	3	Barbara Kingsolver	Steven L. Hopp	Camille Kingsolver
0701	2	Sherri Browning Erwin	Charlotte Brontë
0702	1	Charlotte Brontë
0703	1	Sue Bentley
0704	1	James Patterson
0705	1	James Patterson
0706	1	James Patterson
0707	1	Jeanne DuPrau
0708	1	Elin Hilderbrand
0709	1	Allan Borushek
0710	1	Laurie Viera Rigler
0711	1	Pearl S. Buck
0712	1	Pat Benatar
0713	1	David Mitchell
0714	1	Emily Giffin
0715	1	Emily Giffin
0716	1	Tite Kubo
0717	2	Robert Greene	Joost Elffers
0718	1	Jim Butcher
0719	1	John Berendt
0720	1	John Berendt
0721	1	Eoin Colfer
0722	1	Brandon Mull
0723	1	Daniel G. Amen
0724	1	Julia Gregson
0725	1	S. E. Hinton
0726	1	Laurie Halse Anderson
0727	1	Tracy Kidder
0728	1	Tracy Kidder
0729	1	Tracy Kidder
0730	2	James Patterson	Maxine Paetro
0731	1	Alexander McCall Smith
0732	1	George R. R. Martin
0733	1	George R. R. Martin
0734	1	Steve Martini
0735	1	Steve Martini
0736	1	James Patterson
0737	1	Lisa Genova
0738	1	Nicholas Sparks
0739	1	Nicholas Sparks
0740	1	Nicholas Sparks
0741	2	Joe Torre	Tom Verducci
0742	2	Joe Torre	Tom Verducci
0743	1	Pam Lewis
0744	1	Pam Lewis
0745	1	Keri Arthur
0746	2	Henry Cloud	John Townsend
0747	1	Jacqueline Carey
0748	2	Roger Price	Leonard Stern
0749	1	Tana French
0750	1	Mary Pope Osborne
0751	1	Douglas Adams
0752	1	Douglas Adams
0753	1	Michael Crichton
0754	1	Liz Vaccariello
0755	1	Elizabeth Lowell
0756	1	Lee Child
0757	1	Lisa McMann
0758	1	Kim Vogel Sawyer
0759	1	Masashi Kishimoto
0760	1	Tom Standage
0761	1	Markus Zusak
0762	1	Jim Butcher
0763	2	Jason Fried	David Heinemeier Hansson
0764	1	Anita Shreve
0765	1	Laurell K. Hamilton
0766	1	L. J. Smith
0767	1	Dan Brown
0768	1	Susan Mallery
0769	1	Neil Gaiman
0770	1	Annie West
0771	1	Elizabeth George
0772	1	N. D. Wilson
0773	1	Robyn Carr
0774	1	Ben Mikaelsen
0775	1	Judy Blume
0776	1	Barbara Park
0777	1	Jeff Kinney
0778	1	Lee Child
0779	2	Kathryn Lasky	Kathryn Huang
0780	1	Kim Edwards
0781	2	Immaculée Ilibagiza	Steve Erwin
0782	1	Jim Butcher
0783	1	Anthony Horowitz
0784	2	George Beard	Harold Hutchins
0785	1	Don Kilby
0786	1	Jack Kerouac
0787	1	Jack Kerouac
0788	1	Mark Z. Danielewski
0789	2	Don Miguel Ruiz	Don Jose Ruiz
0790	1	Anthony Horowitz
0791	2	David Zinczenko	Matt Goulding
0792	1	Toni Morrison
0793	1	Michael Grant
0794	1	James Patterson
0795	1	James Patterson
0796	1	Mary Pope Osborne
0797	1	Dav Pilkey
0798	1	James Patterson
0799	1	Antoine de Saint-Exupéry
0800	1	Christopher Moore
0801	1	Christopher Moore
0802	1	Mira Grant
0803	1	Sun-Tzu
0804	1	Sun Tzu
0805	1	Sun Tzu
0806	2	Tom Butler-Bowdon	Sun Tzu
0807	1	Stephen King
0808	1	George R. R. Martin
0809	1	George R. R. Martin
0810	1	George R. R. Martin
0811	2	Margaret Weis	Tracy Hickman
0812	1	Jim Butcher
0813	1	Denise Fields
0814	1	Sherrilyn Kenyon
0815	2	Marley Brant	Sherrilyn Kenyon
0816	1	Lee Child
0817	1	Lee Child
0818	1	Dan Brown
0819	1	Dan Brown
0820	1	Ian Stewart
0821	1	Random House Disney Staff
0822	1	Mildred D. Taylor
0823	2	John Gardner	John E. Gardner
0824	1	Patrick Rothfuss
0825	1	Alyxandra Harvey
0826	1	Stephen King
0827	1	Geraldine Brooks
0828	1	Hiro Fujiwara
0829	1	Bram Stoker
0830	1	Bram Stoker
0831	1	Bram Stoker
0832	1	Bram Stoker
0833	2	Bram Stoker	Richard Grant
0834	1	Bram Stoker
0835	1	Bram Stoker
0836	1	Bram Stoker
0837	2	Bram Stoker	John P. Riquelme
0838	1	Bram Stoker
0839	1	Bram Stoker
0840	1	Bram Stoker
0841	1	Bram Stoker
0842	1	Bram Stoker
0843	1	Bram Stoker
0844	1	Bram Stoker
0845	1	Alexander McCall Smith
0846	1	Anne Lamott
0847	1	James Patterson
0848	1	Dan Ariely
0849	1	Frederick Douglass
0850	1	Raymond Khoury
0851	1	Christopher Paul Curtis
0852	1	Christopher Paul Curtis
0853	1	Christopher Paul Curtis
0854	1	Garrison Keillor
0855	1	Louis L&#039;Amour
0856	1	Lisa See
0857	1	Lisa See
0858	1	Lisa See
0859	1	Richard N. Bolles
0860	1	Cressida Cowell
0861	1	Frank Berrios
0862	1	Tracy Kidder
0863	1	Tracy Kidder
0864	1	Jim Butcher
0865	1	Gabrielle Zevin
0866	2	Howard Dully	Charles Fleming
0867	2	Howard Dully	Charles Fleming
0868	1	Janet Evanovich
0869	1	Janet Evanovich
0870	1	Terry Goodkind
0871	1	Bill Bryson
0872	1	Munro Leaf
0873	2	Roger Price	Leonard Stern
0874	1	Paul Auster
0875	1	Paul Auster
0876	1	Christopher Moore
0877	2	Mary Pope Osborne	Magic Tree Osborne
0878	1	Mary Pope Osborne
0879	1	Mary Pope Osborne
0880	1	Princeton Review Staff
0881	1	Andrew Doughty
0882	1	Barbara Park
0883	1	Barbara Park
0884	1	James Dashner
0885	1	James Dashner
0886	2	John Eldredge	Stasi Eldredge
0887	2	John Eldredge	Stasi Eldredge
0888	2	Kelly Cutrone	Meredith Bryan
0889	1	Janet Evanovich
0890	1	John L. Parker
0891	1	Erin Hunter
0892	1	Robert Jordan
0893	1	Robert Jordan
0894	1	Robert Jordan
0895	11	Tobias S. Buckell	B. K. Evenson	Jonathan Goff	Kevin Grace	Tessa Kum	Robt McLees	Eric Nylund	Frank O&#039;Connor	Erich Raab	Karen Traviss	Fred Van Lente
0896	2	Arthur Agatston	Joseph Signorile
0897	1	Jerry Spinelli
0898	1	Bonnie Worth
0899	1	Nathaniel Philbrick
0900	2	Mario Lopez	Jimmy Pena
0901	1	Rudolfo A. Anaya
0902	1	Jim Butcher
0903	1	Ivan Doig
0904	1	Jeanne Kalogridis
0905	1	Vince Flynn
0906	1	John Irving
0907	1	Jeff Lindsay
0908	1	Jeff Lindsay
0909	2	Laura Ling	Lisa Ling
0910	1	Ellen Hopkins
0911	1	Brad Thor
0912	1	Lisa Mantchev
0913	1	Lisa Mantchev
0914	1	Erin Hunter
0915	1	William R. Forstchen
0916	1	Sharon Sala
0917	1	Ellen Galinsky
0918	1	Donald Miller
0919	1	Jeanne Birdsall
0920	2	Nick Eliopulos	Random House Editors
0921	1	Bret Easton Ellis
0922	1	Vince Flynn
0923	1	Victoria Forester
0924	1	Victoria Forester
0925	1	Victoria Forester
0926	1	Doris Kearns Goodwin
0927	1	Daisy Meadows
0928	2	Emily Brontë	Lynda Rich Spiegel
0929	1	Mary Pope Osborne
0930	1	Mary Pope Osborne
0931	1	Vince Flynn
0932	1	Vince Flynn
0933	1	Terry Goodkind
