book	barnesandnoble	publisher
0165	1	Publisher: HarperCollins Publishers
0166	1	Publisher: Little, Brown & Company
0167	1	Publisher: Penguin Group (USA)
0168	1	Publisher: HarperCollins Publishers
0169	1	Publisher: Penguin Group (USA) Incorporated
0170	1	Publisher: Simon & Schuster Adult Publishing Group
0171	1	Publisher: Penguin Group (USA) Incorporated
0172	1	Publisher: Barnes & Noble
0173	1	Publisher: Barnes & Noble
0174	1	Publisher: DK Publishing, Inc.
0175	1	Publisher: WND Books, Incorporated
0176	1	Publisher: Barnes & Noble
0177	1	Publisher: Hyperion Books for Children
0178	1	Publisher: Simon & Schuster Children's Publishing
0179	1	Publisher: Holt, Henry & Company, Inc.
0180	1	Publisher: HarperCollins Publishers
0181	1	Publisher: Shadow Mountain Publishing
0182	1	Publisher: Hyperion
0183	1	Publisher: Hyperion
0184	1	Publisher: Random House Children's Books
0185	1	Publisher: Penguin Group (USA)
0186	1	Publisher: St. Martin's Press
0187	1	Publisher: St. Martin's Press
0188	1	Publisher: HarperCollins Publishers
0189	1	Publisher: Nelson, Thomas, Inc.
0190	1	Publisher: St. Martin's Press
0191	1	Publisher: Abrams, Harry N., Inc.
0192	1	Publisher: St. Martin's Press
0193	1	Publisher: Random House Children's Books
0194	1	Publisher: St. Martin's Press
0195	1	Publisher: Tin House Books
0196	1	Publisher: Faber and Faber
0197	1	Publisher: Little, Brown & Company
0198	1	Publisher: Penguin Group (USA)
0199	1	Publisher: Grand Central Publishing
0200	1	Publisher: Random House Children's Books
0201	1	Publisher: Random House Children's Books
0202	1	Publisher: St. Martin's Press
0203	1	Publisher: Little, Brown & Company
0204	1	Publisher: Harvest House Publishers
0205	1	Publisher: Penguin Group (USA)
0206	1	Publisher: Square Fish
0207	1	Publisher: Virtualbookworm.com Publishing, Incorporated
0208	1	Publisher: Simon & Schuster Adult Publishing Group
0209	1	Publisher: HarperCollins Publishers
0210	1	Publisher: Bethany House Publishers
0211	1	Publisher: Hay House, Inc.
0212	1	Publisher: Rodale Press, Inc.
0213	1	Publisher: Grand Central Publishing
0214	1	Publisher: Penguin Group (USA)
0215	1	Publisher: Scholastic, Inc.
0216	1	Publisher: HarperCollins Publishers
0217	1	Publisher: Norton, W. W. & Company, Inc.
0218	1	Publisher: Robert Kennedy Publishing
0219	1	Publisher: Hay House, Inc.
0220	1	Publisher: Little, Brown Books for Young Readers
0221	1	Publisher: Little, Brown Young Readers
0222	1	Publisher: Grand Central Publishing
0223	1	Publisher: Simon & Schuster Children's Publishing
0224	1	Publisher: Penguin Group (USA)
0225	1	Publisher: Hachette Book Group
0226	1	Publisher: Penguin Group (USA)
0227	1	Publisher: Knopf Doubleday Publishing Group
0228	1	Publisher: Scholastic, Inc.
0229	1	Publisher: HarperCollins Publishers
0230	1	Publisher: Scholastic, Inc.
0231	1	Publisher: Penguin Group (USA)
0232	1	Publisher: Penguin Group (USA)
0233	1	Publisher: Nelson, Thomas, Inc.
0234	1	Publisher: Penguin Group (USA)
0235	1	Publisher: Simon & Schuster Adult Publishing Group
0236	1	Publisher: HarperCollins Publishers
0237	1	Publisher: HarperCollins Publishers
0238	1	Publisher: Penguin Group (USA)
0239	1	Publisher: Abrams, Harry N., Inc.
0240	1	Publisher: Random House Publishing Group
0241	1	Publisher: Key Porter Books
0242	1	Publisher: Hyperion
0243	1	Publisher: Hay House, Inc.
0244	1	Publisher: CCA and B, LLC
0245	1	Publisher: Barnes & Noble
0246	1	Publisher: Simon & Schuster Adult Publishing Group
0247	1	Publisher: Knopf Doubleday Publishing Group
0248	1	Publisher: HarperCollins Publishers
0249	1	Publisher: St. Martin's Press
0250	1	Publisher: St. Martin's Press
0251	1	Publisher: Penguin Group (USA) Incorporated
0252	1	Publisher: Random House Publishing Group
0253	1	Publisher: Little, Brown & Company
0254	1	Publisher: Penguin Group (USA) Incorporated
0255	1	Publisher: HarperCollins Publishers
0256	1	Publisher: Penguin Group (USA) Incorporated
0257	1	Publisher: Penguin Group (USA)
0258	1	Publisher: Simon & Schuster Adult Publishing Group
0259	1	Publisher: HarperCollins Publishers
0260	1	Publisher: Hyperion Books for Children
0261	1	Publisher: Simon & Schuster Children's Publishing
0262	1	Publisher: Barnes & Noble
0263	1	Publisher: Penguin Group (USA)
0264	1	Publisher: Knopf Doubleday Publishing Group
0265	1	Publisher: Simon & Schuster Adult Publishing Group
0266	1	Publisher: St. Martin's Press
0267	1	Publisher: Random House Publishing Group
0268	1	Publisher: Penguin Group (USA)
0269	1	Publisher: Doherty, Tom Associates, LLC
0270	1	Publisher: Crown Publishing Group
0271	1	Publisher: Barnes & Noble
0272	1	Publisher: Penguin Group (USA)
0273	1	Publisher: Penguin Group (USA)
0274	1	Publisher: Penguin Group (USA)
0275	1	Publisher: Penguin Group (USA) Incorporated
0276	1	Publisher: Scribner
0277	1	Publisher: Antimicrobial Therapy, Incorporated
0278	1	Publisher: HarperCollins Publishers
0279	1	Publisher: Random House Children's Books
0280	1	Publisher: Random House Information Group
0281	1	Publisher: Crown Publishing Group
0282	1	Publisher: Little, Brown Books for Young Readers
0283	1	Publisher: Triumph Books
0284	1	Publisher: HarperCollins Publishers
0285	1	Publisher: Barnes & Noble
0286	1	Publisher: Little, Brown Books for Young Readers
0287	1	Publisher: St. Martin's Press
0288	1	Publisher: HarperCollins Publishers
0289	1	Publisher: Random House Children's Books
0290	1	Publisher: Nelson Publishing & Marketing
0291	1	Publisher: Penguin Group (USA)
0292	1	Publisher: Rodale Press, Inc.
0293	1	Publisher: Random House Publishing Group
0294	1	Publisher: Carson-Dellosa Publishing Company, Incorporated
0295	1	Publisher: St. Martin's Press
0296	1	Publisher: Simon & Schuster Adult Publishing Group
0297	1	Publisher: Idea & Design Works, LLC
0298	1	Publisher: Doherty, Tom Associates, LLC
0299	1	Publisher: St. Martin's Press
0300	1	Publisher: Simon & Schuster Adult Publishing Group
0301	1	Publisher: Nelson, Thomas, Inc.
0302	1	Publisher: Penguin Group (USA)
0303	1	Publisher: HarperCollins Publishers
0304	1	Publisher: Penguin Group (USA)
0305	1	Publisher: Chef John Folse & Company
0306	1	Publisher: HarperCollins Publishers
0307	1	Publisher: HarperCollins Publishers
0308	1	Publisher: Simon & Schuster Adult Publishing Group
0309	1	Publisher: Hyperion Books for Children
0310	1	Publisher: Knopf Doubleday Publishing Group
0311	1	Publisher: Nelson, Thomas, Inc.
0312	1	Publisher: HarperCollins Publishers
0313	1	Publisher: Gallup Press
0314	1	Publisher: Grand Central Publishing
0315	1	Publisher: Simon & Schuster Children's Publishing
0316	1	Publisher: Scholastic, Inc.
0317	1	Publisher: Penguin Group (USA)
0318	1	Publisher: Little, Brown Books for Young Readers
0319	1	Publisher: Random House Publishing Group
0320	1	Publisher: Simon & Schuster Adult Publishing Group
0321	1	Publisher: Random House Publishing Group
0322	1	Publisher: Simon & Schuster Adult Publishing Group
0323	1	Publisher: Doherty, Tom Associates, LLC
0324	1	Publisher: Penguin Group (USA)
0325	1	Publisher: Norton, W. W. & Company, Inc.
0326	1	Publisher: Hay House, Inc.
0327	1	Publisher: Little, Brown & Company
0328	1	Publisher: Penguin Group (USA)
0329	1	Publisher: HarperCollins Publishers
0330	1	Publisher: Random House Publishing Group
0331	1	Publisher: Grand Central Publishing
0332	1	Publisher: Knopf Doubleday Publishing Group
0333	1	Publisher: Little, Brown Books for Young Readers
0334	1	Publisher: Hazelden Publishing
0335	1	Publisher: Wheatmark
0336	1	Publisher: Simon & Schuster Adult Publishing Group
0337	1	Publisher: Mira
0338	1	Publisher: Semiotexte/Smart Art
0339	1	Publisher: Random House Children's Books
0340	1	Publisher: Penguin Group (USA)
0341	1	Publisher: HarperCollins Publishers
0342	1	Publisher: Knopf Doubleday Publishing Group
0343	1	Publisher: Harlequin
0344	1	Publisher: Simon & Schuster Adult Publishing Group
0345	1	Publisher: Kensington Publishing Corporation
0346	1	Publisher: Random House Publishing Group
0347	1	Publisher: St. Martin's Press
0348	1	Publisher: St. Martin's Press
0349	1	Publisher: Mira
0350	1	Publisher: Random House Publishing Group
0351	1	Publisher: Random House Publishing Group
0352	1	Publisher: Crown Publishing Group
0353	1	Publisher: Simon & Schuster Children's Publishing
0354	1	Publisher: Random House Children's Books
0355	1	Publisher: Grand Central Publishing
0356	1	Publisher: Penguin Group (USA)
0357	1	Publisher: Penguin Group (USA)
0358	1	Publisher: Mira
0359	1	Publisher: North River Press Publishing Corporation, The
0360	1	Publisher: Houghton Mifflin Harcourt
0361	1	Publisher: HarperCollins Publishers
0362	1	Publisher: Vision
0363	1	Publisher: Harlequin
0364	1	Publisher: Abbeville Press, Incorporated
0365	1	Publisher: Penguin Group (USA) Incorporated
0366	1	Publisher: Mira
0367	1	Publisher: St. Martin's Press
0368	1	Publisher: HarperCollins Publishers
0369	1	Publisher: HarperCollins Publishers
0370	1	Publisher: Knopf Doubleday Publishing Group
0371	1	Publisher: Hyperion/Miramax Kid
0372	1	Publisher: HarperCollins Publishers
0373	1	Publisher: Grand Central Publishing
0374	1	Publisher: HarperCollins Publishers
0375	1	Publisher: Little, Brown & Company
0376	1	Publisher: Crown Publishing Group
0377	1	Publisher: HarperCollins Publishers
0378	1	Publisher: Penguin Group (USA) Incorporated
0379	1	Publisher: Doherty, Tom Associates, LLC
0380	1	Publisher: Grand Central Publishing
0381	1	Publisher: Sterling Publishing
0382	1	Publisher: Random House Publishing Group
0383	1	Publisher: Knopf Doubleday Publishing Group
0384	1	Publisher: Simon & Schuster Adult Publishing Group
0385	1	Publisher: Running Press Book Publishers
0386	1	Publisher: Tyndale House Publishers
0387	1	Publisher: Knopf Doubleday Publishing Group
0388	1	Publisher: Bloomsbury USA
0389	1	Publisher: Hyperion Books for Children
0390	1	Publisher: Penguin Group (USA)
0391	1	Publisher: Penguin Group (USA)
0392	1	Publisher: Penguin Group (USA)
0393	1	Publisher: Random House Publishing Group
0394	1	Publisher: Penguin Group (USA)
0395	1	Publisher: Scholastic, Inc.
0396	1	Publisher: Little, Brown Books for Young Readers
0397	1	Publisher: Grand Central Publishing
0398	1	Publisher: Threshold Editions
0399	1	Publisher: Simon & Schuster Adult Publishing Group
0400	1	Publisher: Grand Central Publishing
0401	1	Publisher: Broadway Books
0402	1	Publisher: HarperCollins Publishers
0403	1	Publisher: HarperCollins Publishers
0404	1	Publisher: HarperCollins Publishers
0405	1	Publisher: Kensington Publishing Corporation
0406	1	Publisher: Little, Brown Books for Young Readers
0407	1	Publisher: Ellora's Cave Publishing, Incorporated
0408	1	Publisher: Knopf Doubleday Publishing Group
0409	1	Publisher: Random House Children's Books
0410	1	Publisher: Minotaur Books
0411	1	Publisher: Association for Supervision & Curriculum Development
0412	1	Publisher: Simon & Schuster Adult Publishing Group
0413	1	Publisher: Hay House, Inc.
0414	1	Publisher: Hawksflight & Assoc Inc
0415	1	Publisher: Workman Publishing Company, Inc.
0416	1	Publisher: Penguin Group (USA) Incorporated
0417	1	Publisher: HarperCollins Publishers
0418	1	Publisher: Farrar, Straus and Giroux
0419	1	Publisher: HarperCollins Publishers
0420	1	Publisher: American Girl Publishing
0421	1	Publisher: Penguin Group (USA)
0422	1	Publisher: Penguin Group (USA)
0423	1	Publisher: Harlequin
0424	1	Publisher: Random House Information Group
0425	1	Publisher: Simon & Schuster Children's Publishing
0426	1	Publisher: HarperCollins Publishers
0427	1	Publisher: Penguin Group (USA) Incorporated
0428	1	Publisher: Simon & Schuster Adult Publishing Group
0429	1	Publisher: Llewellyn Worldwide, LTD.
0430	1	Publisher: Square Fish
0431	1	Publisher: Houghton Mifflin Harcourt
0432	1	Publisher: Mira
0433	1	Publisher: Random House Publishing Group
0434	1	Publisher: Knopf Doubleday Publishing Group
0435	1	Publisher: Bloomsbury USA
0436	1	Publisher: McGraw-Hill Companies, The
0437	1	Publisher: Amber-Allen Publishing
0438	1	Publisher: Grand Central Publishing
0439	1	Publisher: Wiley, John & Sons, Incorporated
0440	1	Publisher: Knopf Doubleday Publishing Group
0441	1	Publisher: Random House Children's Books
0442	1	Publisher: Perfection Learning
0443	1	Publisher: Simon & Schuster Adult Publishing Group
0444	1	Publisher: St. Martin's Press
0445	1	Publisher: Penguin Group (USA)
0446	1	Publisher: HarperCollins Publishers
0447	1	Publisher: Wiley, John & Sons, Incorporated
0448	1	Publisher: Amy Einhorn Books
0449	1	Publisher: Crown Publishing Group
0450	1	Publisher: Scholastic, Inc.
0451	1	Publisher: Random House Publishing Group
0452	1	Publisher: Random House Publishing Group
0453	1	Publisher: Simon & Schuster Adult Publishing Group
0454	1	Publisher: Wiley, John & Sons, Incorporated
0455	1	Publisher: HarperCollins Publishers
0456	1	Publisher: Faith Words
0457	1	Publisher: Simon & Schuster Children's Publishing
0458	1	Publisher: Penguin Group (USA)
0459	1	Publisher: Random House Publishing Group
0460	1	Publisher: Baker Publishing Group
0461	1	Publisher: Penguin Group (USA)
0462	1	Publisher: Hyperion Books for Children
0463	1	Publisher: Barnes & Noble
0464	1	Publisher: Carson-Dellosa Publishing Company, Incorporated
0465	1	Publisher: Stenhouse Publishers
0466	1	Publisher: Penguin Group (USA) Incorporated
0467	1	Publisher: Houghton Mifflin Harcourt
0468	1	Publisher: Rodale Press, Inc.
0469	1	Publisher: Penguin Group (USA)
0470	1	Publisher: Penguin Group (USA)
0471	1	Publisher: Sourcebooks, Incorporated
0472	1	Publisher: Kaplan Publishing
0473	1	Publisher: Houghton Mifflin Harcourt
0474	1	Publisher: Penguin Group (USA) Incorporated
0475	1	Publisher: Simon & Schuster Children's Publishing
0476	1	Publisher: Penguin Group (USA)
0477	1	Publisher: Random House Publishing Group
0478	1	Publisher: HarperCollins Publishers
0479	1	Publisher: Barnes & Noble
0480	1	Publisher: Hyperion Books for Children
0481	1	Publisher: Random House Children's Books
0482	1	Publisher: Mira
0483	1	Publisher: Little, Brown & Company
0484	1	Publisher: Grand Central Publishing
0485	1	Publisher: National Center for Constitutional Studies
0486	1	Publisher: Mira
0487	1	Publisher: HarperCollins Publishers
0488	1	Publisher: Penguin Group (USA)
0489	1	Publisher: Weinstein Books
0490	1	Publisher: Random House Publishing Group
0491	1	Publisher: HarperCollins Publishers
0492	1	Publisher: Simon & Schuster Children's Publishing
0493	1	Publisher: Lisburn Press
0494	1	Publisher: Simon & Schuster Adult Publishing Group
0495	1	Publisher: Wiley, John & Sons, Incorporated
0496	1	Publisher: Penguin Group (USA)
0497	1	Publisher: Penguin Group (USA)
0498	1	Publisher: Little, Brown Books for Young Readers
0499	1	Publisher: Simon & Schuster Children's Publishing
0500	1	Publisher: Barnes & Noble
0501	1	Publisher: Random House Publishing Group
0502	1	Publisher: Wiley, John & Sons, Incorporated
0503	1	Publisher: Little, Brown Books for Young Readers
0504	1	Publisher: Penguin Group (USA)
0505	1	Publisher: Chronicle Books LLC
0506	1	Publisher: Rodale Press, Inc.
0507	1	Publisher: Simon & Schuster Children's Publishing
0508	1	Publisher: Wiley, John & Sons, Incorporated
0509	1	Publisher: Rodale Press, Inc.
0510	1	Publisher: Weinstein Books
0511	1	Publisher: Microsoft Press
0512	1	Publisher: Grove/Atlantic, Inc.
0513	1	Publisher: Penguin Group (USA) Incorporated
0514	1	Publisher: Penguin Group (USA)
0515	1	Publisher: Simon & Schuster Adult Publishing Group
0516	1	Publisher: Harlequin
0517	1	Publisher: Simon & Schuster Children's Publishing
0518	1	Publisher: Crown Publishing Group
0519	1	Publisher: Simon & Schuster Adult Publishing Group
0520	1	Publisher: Random House Publishing Group
0521	1	Publisher: Scholastic, Inc.
0522	1	Publisher: Penguin Group (USA)
0523	1	Publisher: Barnes & Noble
0524	1	Publisher: Penguin Group (USA)
0525	1	Publisher: McGraw-Hill Companies, The
0526	1	Publisher: Carson-Dellosa Publishing Company, Incorporated
0527	1	Publisher: Little, Brown Books for Young Readers
0528	1	Publisher: Random House Publishing Group
0529	1	Publisher: Simon & Schuster Children's Publishing
0530	1	Publisher: Houghton Mifflin Harcourt
0531	1	Publisher: Broadway Books
0532	1	Publisher: Totality Books
0533	1	Publisher: Random House Children's Books
0534	1	Publisher: Kensington Publishing Corporation
0535	1	Publisher: Knopf Doubleday Publishing Group
0536	1	Publisher: Penguin Group (USA)
0537	1	Publisher: Picador
0538	1	Publisher: Penguin Group (USA)
0539	1	Publisher: Silhouette
0540	1	Publisher: Random House Children's Books
0541	1	Publisher: American Psychological Association
0542	1	Publisher: Random House Children's Books
0543	1	Publisher: Broadway Books
0544	1	Publisher: Simon & Schuster Adult Publishing Group
0545	1	Publisher: Association for Supervision & Curriculum Development
0546	1	Publisher: EgmontUSA
0547	1	Publisher: Penguin Group (USA)
0548	1	Publisher: Simon & Schuster Adult Publishing Group
0549	1	Publisher: Free Press, The
0550	1	Publisher: McSweeney's Publishing
0551	1	Publisher: Penguin Group (USA)
0552	1	Publisher: Thomson West
0553	1	Publisher: Random House Children's Books
0554	1	Publisher: Penguin Group (USA)
0555	1	Publisher: Simon & Schuster Adult Publishing Group
0556	1	Publisher: St. Martin's Press
0557	1	Publisher: Zondervan
0558	1	Publisher: Simon & Schuster Children's Publishing
0559	1	Publisher: Knopf Publishing Group
0560	1	Publisher: Penguin Group (USA)
0561	1	Publisher: Penguin Group (USA)
0562	1	Publisher: Voice
0563	1	Publisher: Academy for Future Science
0564	1	Publisher: Wizards of the Coast
0565	1	Publisher: Avalon Publishing Group
0566	1	Publisher: Norton, W. W. & Company, Inc.
0567	1	Publisher: Square Fish
0568	1	Publisher: HarperCollins Publishers
0569	1	Publisher: Classic Business Bookshelf
0570	1	Publisher: Simon & Schuster Adult Publishing Group
0571	1	Publisher: Wilder Publications
0572	1	Publisher: HarperCollins Publishers
0573	1	Publisher: Random House Publishing Group
0574	1	Publisher: Knopf Doubleday Publishing Group
0575	1	Publisher: Association of American Medical Colleges
0576	1	Publisher: Penguin Group (USA) Incorporated
0577	1	Publisher: Penguin Group (USA)
0578	1	Publisher: Doherty, Tom Associates, LLC
0579	1	Publisher: Silhouette
0580	1	Publisher: Reality Zone
0581	1	Publisher: HarperCollins Publishers
0582	1	Publisher: HarperCollins Publishers
0583	1	Publisher: HarperCollins Publishers
0584	1	Publisher: Penguin Group (USA) Incorporated
0585	1	Publisher: Penguin Group (USA)
0586	1	Publisher: Mira
0587	1	Publisher: Simon & Schuster Adult Publishing Group
0588	1	Publisher: Simon & Schuster Adult Publishing Group
0589	1	Publisher: Random House Publishing Group
0590	1	Publisher: Simon & Schuster Children's Publishing
0591	1	Publisher: Penguin Group (USA)
0592	1	Publisher: Wiley, John & Sons, Incorporated
0593	1	Publisher: Little, Brown & Company
0594	1	Publisher: Cook, David C.
0595	1	Publisher: St. Martin's Press
0596	1	Publisher: Shadow Mountain Publishing
0597	1	Publisher: Houghton Mifflin Harcourt
0598	1	Publisher: Nutritional Excellence
0599	1	Publisher: Baker Publishing Group
0600	1	Publisher: Random House Adult Trade Publishing Group
0601	1	Publisher: HarperCollins Publishers
0602	1	Publisher: Penguin Group (USA) Incorporated
0603	1	Publisher: PublicAffairs
0604	1	Publisher: Scholastic, Inc.
0605	1	Publisher: St. Martin's Press
0606	1	Publisher: Little, Brown & Company
0607	1	Publisher: Random House Children's Books
0608	1	Publisher: HarperCollins Publishers
0609	1	Publisher: Hay House, Inc.
0610	1	Publisher: Grand Central Publishing
0611	1	Publisher: Chef John Folse & Company
0612	1	Publisher: Penguin Group (USA)
0613	1	Publisher: Penguin Group (USA)
0614	1	Publisher: Simon & Schuster Adult Publishing Group
0615	1	Publisher: HarperCollins Publishers
0616	1	Publisher: Penguin Group (USA)
0617	1	Publisher: Knopf Doubleday Publishing Group
0618	1	Publisher: Houghton Mifflin Harcourt
0619	1	Publisher: Harvard Business Press
0620	1	Publisher: Penguin Group (USA)
0621	1	Publisher: Barnes & Noble
0622	1	Publisher: Crown Publishing Group
0623	1	Publisher: Barnes & Noble
0624	1	Publisher: Simon & Schuster Adult Publishing Group
0625	1	Publisher: Sterling Publishing
0626	1	Publisher: St. Martin's Press
0627	1	Publisher: Knopf Doubleday Publishing Group
0628	1	Publisher: Simon & Schuster Adult Publishing Group
0629	1	Publisher: Rodale Press, Inc.
0630	1	Publisher: Penguin Group (USA) Incorporated
0631	1	Publisher: Elsevier Health Sciences
0632	1	Publisher: St. Martin's Press
0633	1	Publisher: Kensington Publishing Corporation
0634	1	Publisher: Penguin Group (USA)
0635	1	Publisher: Tickle Kitty Press
0636	1	Publisher: Penguin Group (USA)
0637	1	Publisher: Penguin Group (USA)
0638	1	Publisher: Oni Press
