book	borders	publisher
0279	1	St. Martin&#039;s Press
0280	1	Penguin Group (USA) Incorporated
0281	1	Knopf Doubleday Publishing Group
0282	1	HarperCollins Publishers
0283	1	Random House Publishing Group
0284	1	Random House Adult Trade Publishing Group
0285	1	Barnes &amp; Noble, Incorporated
0286	1	Broadview Press
0287	1	Bbc Audiobooks Amer
0288	1	Blackstone Audio Inc
0289	1	Random House Publishing Group
0290	1	Simon &amp; Schuster
0291	1	Penguin Group (USA) Incorporated
0292	1	Tantor Media, Incorporated
0293	1	Wiley, John &amp; Sons, Incorporated
0294	1	Barron&#039;s Educational Series, Incorporated
0295	1	Tantor Media Inc
0296	1	Random House
0297	1	Penguin Group (USA) Incorporated
0298	1	Random House
0299	1	Random House Adult Trade Publishing Group
0300	1	Kessinger Publishing, LLC
0301	1	Viz Media
0302	1	St Martins Pr
0303	1	HarperCollins Publishers
0304	1	Penguin Group (USA) Incorporated
0305	1	Penguin Group (USA) Incorporated
0306	1	Penguin Group (USA) Incorporated
0307	1	Scholastic, Incorporated
0308	1	Blackstone Audio Inc
0309	1	Harperaudio
0310	1	Simon &amp; Schuster Children&#039;s Publishing
0311	1	Walker &amp; Company
0312	1	Simon &amp; Schuster Children&#039;s Publishing
0313	1	Listening Library
0314	1	Little, Brown Books for Young Readers
0315	1	HarperCollins Publishers
0316	1	Grand Central Publishing
0317	1	Grand Central Publishing
0318	1	Random House Children&#039;s Books
0319	1	Hyperion Books for Children
0320	1	Knopf Publishing Group
0321	1	Wizards of the Coast
0322	1	Penguin Group (USA) Incorporated
0323	1	HarperCollins Publishers
0324	1	St. Martin&#039;s Press
0325	1	Llewellyn Publications
0326	1	Random House
0327	1	Knopf Publishing Group
0328	1	Grand Central Publishing
0329	1	Hachette Audio
0330	1	HarperCollins Publishers
0331	1	HarperCollins Publishers
0332	1	Harpercollins Childrens
0333	1	Simon &amp; Schuster
0334	1	St. Martin&#039;s Press
0335	1	St. Martin&#039;s Press
0336	1	Dorling Kindersley Publishing, Incorporated
0337	1	Simon &amp; Schuster Children&#039;s Publishing
0338	1	Candlewick Press
0339	1	San Val, Incorporated
0340	1	Candlewick Press
0341	1	Candlewick Press
0342	1	Candlewick Press
0343	1	Hyperion Press
0344	1	Crown Publishing Group
0345	1	Tantor Media Inc
0346	1	Tantor Media Inc
0347	1	Simon &amp; Schuster
0348	1	Random House Publishing Group
0349	1	Dell Publishing
0350	1	Random House Publishing Group
0351	1	Harlequin Enterprises, Limited
0352	1	HarperCollins Publishers
0353	1	Random House, Incorporated
0354	1	Random House Publishing Group
0355	1	Borders Group Inc
0356	1	Miramax Books
0357	1	Hyperion Press
0358	1	Random House Publishing Group
0359	1	Random House
0360	1	Random House Large Print
0361	1	Random House Publishing Group
0362	1	Random House Publishing Group
0363	1	HarperCollins Publishers
0364	1	St Martins Pr
0365	1	Random House Publishing Group
0366	1	Simon &amp; Schuster Children&#039;s Publishing
0367	1	San Val, Incorporated
0368	1	San Val, Incorporated
0369	1	Listening Library
0370	1	Santillana USA Publishing Company, Incorporated
0371	1	Little Brown &amp; Company
0372	1	Little Brown &amp; Company
0373	1	Simon &amp; Schuster
0374	1	Doherty, Tom Associates, LLC
0375	1	Scholastic, Incorporated
0376	1	St. Martin&#039;s Press
0377	1	St. Martin&#039;s Press
0378	1	Macmillan Audio
0379	1	Random House Publishing Group
0380	1	Harlequin Enterprises, Limited
0381	1	Penguin Group (USA) Incorporated
0382	1	Broadway Books
0383	1	Random House Children&#039;s Books
0384	1	Random House Children&#039;s Books
0385	1	HarperCollins Publishers
0386	1	Tantor Media Inc
0387	1	Little Brown &amp; Company
0388	1	Random House Publishing Group
0389	1	Random House Publishing Group
0390	1	Bantam Books
0391	1	Disney Press
0392	1	Little, Brown Books for Young Readers
0393	1	Thomas Nelson Inc
0394	1	HarperCollins Publishers
0395	1	Penguin Group (USA) Incorporated
0396	1	Simon &amp; Schuster
0397	1	Hachette Audio
0398	1	Hachette Audio
0399	1	Penguin Group (USA) Incorporated
0400	1	FT Press
0401	1	Random House Children&#039;s Books
0402	1	St. Martin&#039;s Press
0403	1	Simon &amp; Schuster
0404	1	Little, Brown Books for Young Readers
0405	1	Penguin Group (USA) Incorporated
0406	1	Thorndike Press
0407	1	Regnery Publishing, Incorporated, An Eagle Publish
0408	1	HarperCollins Publishers
0409	1	HarperCollins Publishers
0410	1	Grand Central Publishing
0411	1	Simon &amp; Schuster
0412	1	San Val, Incorporated
0413	1	Random House Children&#039;s Books
0414	1	Hachette Audio
0415	1	Penguin Group (USA) Incorporated
0416	1	Random House Children&#039;s Books
0417	1	Random House Children&#039;s Books
0418	1	Grand Central Publishing
0419	1	Little Brown &amp; Company
0420	1	Hyperion Press
0421	1	Hyperion Press
0422	1	HarperCollins Publishers
0423	1	Nelson, Thomas Incorporated
0424	1	Little, Brown Books for Young Readers
0425	1	Wiley, John &amp; Sons, Incorporated
0426	1	Penguin Group (USA) Incorporated
0427	1	Random House Publishing Group
0428	1	Crown Publishing Group
0429	1	Little Brown &amp; Company
0430	1	Little Brown &amp; Company
0431	1	Hachette Audio
0432	1	Penguin Group (USA) Incorporated
0433	1	Roaring Brook Press
0434	1	Simon &amp; Schuster Children&#039;s Publishing
0435	1	Workman Pub Co
0436	1	Random House Children&#039;s Books
0437	1	Random House Children&#039;s Books
0438	1	Random House Publishing Group
0439	1	HarperCollins Publishers
0440	1	Houghton Mifflin Harcourt Publishing Company
0441	1	Little Brown &amp; Company
0442	1	Grand Central Publishing
0443	1	Macmillan Audio
0444	1	Penguin Group (USA) Incorporated
0445	1	Norton, W. W. &amp; Company, Incorporated
0446	1	Oxford University Press, Incorporated
0447	1	McGraw-Hill Higher Education
0448	1	Random House Publishing Group
0449	1	Buccaneer Books, Incorporated
0450	1	Penguin Group USA
0451	1	Penguin Group (USA) Incorporated
0452	1	Little Brown &amp; Company
0453	1	Little Brown &amp; Company
0454	1	Penguin Group (USA) Incorporated
0455	1	Rand McNally
0456	1	Amer Book Co
0457	1	Norton, W. W. &amp; Company, Incorporated
0458	1	CRW Publishing, Limited
0459	1	Naxos of America, Incorporated
0460	1	Dover Publications, Incorporated
0461	1	Consortium Book Sales &amp; Distribution
0462	1	Book Sales, Incorporated
0463	1	El Paso Norte Press
0464	1	Tantor Media Inc
0465	1	Penguin Group (USA) Incorporated
0466	1	Little Brown &amp; Company
0467	1	Hyperion Press
0468	1	Scholastic, Incorporated
0469	1	Penguin Group (USA) Incorporated
0470	1	Penguin Group (USA) Incorporated
0471	1	Random House Information Group
0472	1	Random House Children&#039;s Books
0473	1	Little Brown &amp; Company
0474	1	Penguin Group (USA) Incorporated
0475	1	Listening Library
0476	1	Random House Children&#039;s Books
0477	1	HarperCollins Publishers
0478	1	Random House Children&#039;s Books
0479	1	Random House Children&#039;s Books
0480	1	Penguin Group (USA) Incorporated
0481	1	Blackstone Audio Inc
0482	1	Penguin Group (USA) Incorporated
0483	1	Health Communications, Incorporated
0484	1	Random House Publishing Group
0485	1	Wiley, John &amp; Sons, Incorporated
0486	1	Knopf Doubleday Publishing Group
0487	1	Doherty, Tom Associates, LLC
0488	1	Penguin Group (USA) Incorporated
0489	1	Bantam Books
0490	1	Dover Publications, Incorporated
0491	1	Simon &amp; Schuster
0492	1	Oxford University Press, Incorporated
0493	1	Blackstone Audio Inc
0494	1	Tantor Media, Incorporated
0495	1	Doherty, Tom Associates, LLC
0496	1	HarperCollins Publishers
0497	1	Little Brown &amp; Company
0498	1	Grand Central Publishing
0499	1	Little Brown &amp; Company
0500	1	HarperCollins Publishers
0501	1	Little Brown &amp; Company
0502	1	Hachette Audio
0503	1	Penguin Group (USA) Incorporated
0504	1	Grand Central Publishing
0505	1	Grand Central Publishing
0506	1	Grand Central Publishing
0507	1	Kensington Publishing Corporation
0508	1	Grand Central Publishing
0509	1	Bbc Audiobooks Amer
0510	1	Buccaneer Books, Incorporated
0511	1	Grand Central Publishing
0512	1	Random House Publishing Group
0513	1	Random House Large Print
0514	1	Grand Central Publishing
0515	1	Grand Central Publishing
0516	1	Square Fish
0517	1	Penguin Group (USA) Incorporated
0518	1	Square Fish
0519	1	Random House Children&#039;s Books
0520	1	Crown Publishing Group
0521	1	Random House Publishing Group
0522	1	Scholastic, Incorporated
0523	1	Penguin Group (USA) Incorporated
0524	1	Penguin Group USA
0525	1	Dorling Kindersley Publishing, Incorporated
0526	1	HarperCollins Publishers
0527	1	Hyperion Press
0528	1	Random House Children&#039;s Books
0529	1	Penguin Group (USA) Incorporated
0530	1	Penguin Group (USA) Incorporated
0531	1	McGraw-Hill Higher Education
0532	1	Random House Publishing Group
0533	1	Blackstone Audio Inc
0534	1	Oxford University Press, Incorporated
0535	1	Spark Publishing Group
0536	1	Knopf Doubleday Publishing Group
0537	1	Little Brown &amp; Company
0538	1	Spiegel &amp; Grau
0539	1	Penguin Group (USA) Incorporated
0540	1	Simon &amp; Schuster
0541	1	Candlewick Press
0542	1	Simon &amp; Schuster Children&#039;s Publishing
0543	1	St. Martin&#039;s Press
0544	1	Penguin Group (USA) Incorporated
0545	1	Random House Publishing Group
0546	1	Dover Publications, Incorporated
0547	1	Plaza &amp; Janes Editories, S.A.
0548	1	Palgrave Macmillan
0549	1	Steerforth Press
0550	1	Random House Children&#039;s Books
0551	1	Bloomsbury Publishing Plc
0552	1	Barron&#039;s Educational Series, Incorporated
0553	1	Penguin Group (USA) Incorporated
0554	1	Doherty, Tom Associates, LLC
0555	1	Cocytus Press
0556	1	Edimat Libros, S. A.
0557	1	Universe Publishing
0558	1	Classical Comics
0559	1	Broadview Press
0560	1	Barron&#039;s Educational Series, Incorporated
0561	1	Bedford/ Saint Martin&#039;s
0562	1	Papercutz
0563	1	Hachette Audio
0564	1	Hachette Audio
0565	1	San Val, Incorporated
0566	1	HarperCollins Publishers
0567	1	Blackstone Audio Inc
0568	1	Simon &amp; Schuster
0569	1	HarperCollins Publishers
0570	1	Random House Children&#039;s Books
0571	1	Random House Publishing Group
0572	1	Bantam Books
0573	1	Random House Publishing Group
0574	1	Simon &amp; Schuster
0575	1	Simon &amp; Schuster Childrens
0576	1	Simon &amp; Schuster Children&#039;s Publishing
0577	1	Houghton Mifflin Harcourt Trade &amp; Reference Publis
0578	1	Penguin Group (USA) Incorporated
0579	1	Hachette Audio
0580	1	Penguin Group (USA) Incorporated
0581	1	Penguin Group (USA) Incorporated
0582	1	Penguin Group (USA) Incorporated
0583	1	Scholastic, Incorporated
0584	1	Knopf Doubleday Publishing Group
0585	1	Simon &amp; Schuster Children&#039;s Publishing
0586	1	San Val, Incorporated
0587	1	Random House Children&#039;s Books
0588	1	Hazelden Publishing &amp; Educational Services
0589	1	Random House, Incorporated
0590	1	Random House, Incorporated
0591	1	Random House, Incorporated
0592	1	Little Brown &amp; Company
0593	1	Simon &amp; Schuster
0594	1	Simon &amp; Schuster
0595	1	St. Martin&#039;s Press
0596	1	St. Martin&#039;s Press
0597	1	Random House Children&#039;s Books
0598	1	Doubleday Religious Publishing Grou, The
0599	1	Grand Central Publishing
0600	1	Penguin Group (USA) Incorporated
0601	1	Penguin Group (USA) Incorporated
0602	1	Penguin Group (USA) Incorporated
0603	1	Grand Central Publishing
0604	1	Tantor Media Inc
0605	1	Little Brown &amp; Company
0606	1	Random House Publishing Group
0607	1	Little Brown &amp; Company
0608	1	Hachette Audio
0609	1	Random House Children&#039;s Books
0610	1	Simon &amp; Schuster Children&#039;s Publishing
0611	1	Simon &amp; Schuster Children&#039;s Publishing
0612	1	Simon &amp; Schuster Children&#039;s Publishing
0613	1	Penguin Group (USA) Incorporated
0614	1	Square Fish
0615	1	Hachette Audio
0616	1	Grand Central Publishing
0617	1	Grand Central Publishing
0618	1	Penguin Group (USA) Incorporated
0619	1	Penguin Group (USA) Incorporated
0620	1	Grove/ Atlantic, Incorporated
0621	1	Tantor Media Inc
0622	1	Little Brown &amp; Company
0623	1	Simon &amp; Schuster
0624	1	Knopf Doubleday Publishing Group
0625	1	Simon &amp; Schuster Children&#039;s Publishing
0626	1	Random House Large Print
0627	1	Little Brown &amp; Company
0628	1	St. Martin&#039;s Press
0629	1	Simon &amp; Schuster Children&#039;s Publishing
0630	1	Penguin Group (USA) Incorporated
0631	1	Random House Children&#039;s Books
0632	1	Harlequin Enterprises, Limited
0633	1	Random House Children&#039;s Books
0634	1	Simon &amp; Schuster
0635	1	Workman Publishing Company, Incorporated
0636	1	Grove/ Atlantic, Incorporated
0637	1	Simon &amp; Schuster
0638	1	Thorndike Press
0639	1	Penguin Group (USA) Incorporated
0640	1	HarperCollins Publishers
0641	1	Abrams
0642	1	Grand Central Publishing
0643	1	Hachette Audio
0644	1	Knopf Doubleday Publishing Group
0645	1	Doubleday Religious Publishing Grou, The
0646	1	Knopf Publishing Group
0647	1	Hachette Audio
0648	1	Little Brown &amp; Company
0649	1	Little Brown &amp; Company
0650	1	HarperCollins Publishers
0651	1	HarperCollins Publishers
0652	1	HarperCollins Publishers
0653	1	St. Martin&#039;s Press
0654	1	Simon &amp; Schuster
0655	1	CRW Publishing, Limited
0656	1	Steck-Vaughn
0657	1	Penguin Group (USA) Incorporated
0658	1	Bbc Audiobooks Amer
0659	1	Penguin Group (USA) Incorporated
0660	1	Blackstone Audio Inc
0661	1	Perfection Learning Corporation
0662	1	Blackstone Audio Inc
0663	1	San Val, Incorporated
0664	1	Random House Children&#039;s Books
0665	1	Simon &amp; Schuster Children&#039;s Publishing
0666	1	Penguin Group (USA) Incorporated
0667	1	HarperCollins Publishers
0668	1	Random House Children&#039;s Books
0669	1	HarperCollins Publishers
0670	1	Random House Children&#039;s Books
0671	1	Random House Children&#039;s Books
0672	1	Random House Large Print
0673	1	Houghton Mifflin Harcourt Trade &amp; Reference Publis
0674	1	Dark Horse Comics
0675	1	Simon &amp; Schuster Children&#039;s Publishing
0676	1	Penguin Group (USA) Incorporated
0677	1	Knopf Doubleday Publishing Group
0678	1	Grand Central Publishing
0679	1	Scholastic, Incorporated
0680	1	Simon &amp; Schuster
0681	1	Little, Brown Books for Young Readers
0682	1	Grand Central Publishing
0683	1	Grand Central Publishing
0684	1	Penguin Group (USA) Incorporated
0685	1	HarperCollins Publishers
0686	1	San Val, Incorporated
0687	1	HarperCollins Publishers
0688	1	Random House Publishing Group
0689	1	Penguin Group (USA) Incorporated
0690	1	Random House Publishing Group
0691	1	Amer Book Co
0692	1	HarperCollins Publishers
0693	1	Penguin Group (USA) Incorporated
0694	1	HarperCollins Publishers
0695	1	Holt, Henry &amp; Company
0696	1	Simon &amp; Schuster
0697	1	Triumph Books
0698	1	Penguin Group (USA) Incorporated
0699	1	Penguin Group (USA) Incorporated
0700	1	HarperCollins Publishers
0701	1	Simon &amp; Schuster
0702	1	Blackstone Audio Inc
0703	1	Penguin Group (USA) Incorporated
0704	1	Grand Central Publishing
0705	1	Hachette Audio
0706	1	San Val, Incorporated
0707	1	Random House Children&#039;s Books
0708	1	St. Martin&#039;s Press
0709	1	Family Health Publications
0710	1	Penguin Group (USA) Incorporated
0711	1	Simon &amp; Schuster
0712	1	HarperCollins Publishers
0713	1	Random House Publishing Group
0714	1	St. Martin&#039;s Press
0715	1	St Martins Pr
0716	1	Viz Media
0717	1	Workman Pub Co
0718	1	Penguin Group (USA) Incorporated
0719	1	Penguin Group (USA) Incorporated
0720	1	Random House
0721	1	Hyperion Press
0722	1	Simon &amp; Schuster Children&#039;s Publishing
0723	1	Random House
0724	1	Simon &amp; Schuster
0725	1	Penguin Group (USA) Incorporated
0726	1	Simon &amp; Schuster Children&#039;s Publishing
0727	1	Random House Publishing Group
0728	1	Random House
0729	1	Random House, Incorporated
0730	1	Grand Central Publishing
0731	1	Knopf Doubleday Publishing Group
0732	1	Random House Publishing Group
0733	1	Random House Publishing Group
0734	1	HarperCollins Publishers
0735	1	HarperCollins Publishers
0736	1	Grand Central Publishing
0737	1	Simon &amp; Schuster
0738	1	Grand Central Publishing
0739	1	Grand Central Publishing
0740	1	Grand Central Publishing
0741	1	Random House
0742	1	Knopf Doubleday Publishing Group
0743	1	Simon &amp; Schuster
0744	1	Simon &amp; Schuster
0745	1	Random House Publishing Group
0746	1	Zondervan
0747	1	Grand Central Publishing
0748	1	Penguin Group (USA) Incorporated
0749	1	Penguin Group (USA) Incorporated
0750	1	Random House Children&#039;s Books
0751	1	Random House
0752	1	Crown Publishing Group
0753	1	HarperCollins Publishers
0754	1	Rodale Press, Incorporated
0755	1	HarperCollins Publishers
0756	1	Penguin Group (USA) Incorporated
0757	1	Simon &amp; Schuster Children&#039;s Publishing
0758	1	Bethany House Publishers
0759	1	Viz Media
0760	1	Walker &amp; Company
0761	1	Listening Library
0762	1	Penguin Group (USA) Incorporated
0763	1	Crown Publishing Group
0764	1	Little Brown &amp; Company
0765	1	Penguin Group (USA) Incorporated
0766	1	Simon &amp; Schuster Children&#039;s Publishing
0767	1	Simon &amp; Schuster
0768	1	Harlequin Enterprises, Limited
0769	1	HarperCollins Publishers
0770	1	Harlequin Enterprises, Limited
0771	1	HarperCollins Publishers
0772	1	Random House, Incorporated
0773	1	Harlequin Enterprises, Limited
0774	1	HarperCollins Publishers
0775	1	Penguin Group (USA) Incorporated
0776	1	Random House Children&#039;s Books
0777	1	Harry Abrams
0778	1	Random House Publishing Group
0779	1	Scholastic, Incorporated
0780	1	Penguin Group (USA) Incorporated
0781	1	Hay House, Incorporated
0782	1	Penguin Group (USA) Incorporated
0783	1	Penguin Group (USA) Incorporated
0784	1	Scholastic, Incorporated
0785	1	Kids Can Press, Limited
0786	1	Blackstone Audio Inc
0787	1	Penguin Group (USA) Incorporated
0788	1	Knopf Doubleday Publishing Group
0789	1	Amber-Allen Publishing, Incorporated
0790	1	Penguin Group (USA) Incorporated
0791	1	Rodale Press, Incorporated
0792	1	Knopf Doubleday Publishing Group
0793	1	HarperCollins Publishers
0794	1	Grand Central Publishing
0795	1	Grand Central Publishing
0796	1	Random House Children&#039;s Books
0797	1	Scholastic, Incorporated
0798	1	Grand Central Publishing
0799	1	Houghton Mifflin Harcourt Trade &amp; Reference Publis
0800	1	HarperCollins Publishers
0801	1	HarperCollins Publishers
0802	1	Little Brown &amp; Company
0803	1	Penguin Group (USA) Incorporated
