book	booksamillion	publisher
0928	1	: iUniverse
0929	1	: Penguin Press
0930	1	: Wellness Central
0931	1	: St. Martin's Press
0932	1	: Integrity Publishers
0933	1	: Merriam-Webster
0934	1	: Tyndale House Publishers
0935	1	: Tyndale House Publishers
0936	1	: Island
0937	1	: Cartwheel Books
0938	1	: HarperTrophy
0939	1	: Harlequin Books
0940	1	: Zondervan
0941	1	: Zonderkidz
0942	1	: Kaplan Publishing
0943	1	: Jove Books
0944	1	: Knopf Publishing Group
0945	1	: Berkley
0946	1	: Atheneum Books
0947	1	: Treasure House
0948	1	: Sterling
0949	1	: Harvard Business School Press
0950	1	: Washington Square Press
0951	1	: Vintage Books USA
0952	1	: Thomas Nelson Publishers
0953	1	: Gallup Press
0954	1	: Little Brown and Company
0955	1	: HarperCollins
0956	1	: Berkley Trade Pub
0957	1	: Random House Audio
0958	1	: Mariner Books
0959	1	: Washington Square Press
0960	1	: Riverhead Books
0961	1	: Simon Pulse
0962	1	: Graphia Books
0963	1	: Putnam Adult
0964	1	: Simon & Schuster Audio
0965	1	: Ballantine Books
0966	1	: Klutz
0967	1	: Broadway Business
0968	1	: Jove Books
0969	1	: Penguin Group USA
0970	1	: Harvest Books
0971	1	: Warner Books
0972	1	: Random House (NY)
0973	1	: Mira Books
0974	1	: Tor Books
0975	1	: Pantheon Books
0976	1	: St. Martin's Press
0977	1	: Little, Brown Young Readers
