book	barnesandnoble	isbn_13
0258	1	9781439101193
0259	1	9780061246265
0260	1	9780786819881
0261	1	9781416979180
0262	1	9780760703014
0263	1	9780399250569
0264	1	9780307268198
0265	1	9781437679489
0266	1	9780312379827
0267	1	9780553807219
0268	1	9780525951612
0269	1	9780765317681
0270	1	9780307465351
0271	1	9781593080341
0272	1	9780515147605
0273	1	9780451225726
0274	1	9780448425009
0275	1	9780441008537
0276	1	9780641937057
0277	1	9781930808591
0278	1	9780060652937
0279	1	9780440439882
0280	1	9780375429224
0281	1	9780609805794
0282	1	9780316067966
0283	1	9781600785283
0284	1	9780060652920
0285	1	9781593082475
0286	1	9780316002875
0287	1	9780312321192
0288	1	9780061720802
0289	1	9780375862168
0290	1	9780978507510
0291	1	9780515147902
0292	1	9781605295497
0293	1	9780449213940
0294	1	9781594417276
0295	1	9780312606121
0296	1	9781439102817
0297	1	9781616878597
0298	1	9781615545780
0299	1	9781615544882
0300	1	9781416585855
0301	1	9780785214250
0302	1	9780670021604
0303	1	9780060245863
0304	1	9780803734616
0305	1	9780970445711
0306	1	9781615578368
0307	1	9780061779725
0308	1	9781439100110
0309	1	9781423124849
0310	1	9780385532457
0311	1	9780849921391
0312	1	9780688014292
0313	1	9781595620033
0314	1	9780446504126
0315	1	9781416950073
0316	1	9780545102728
0317	1	9781595141989
0318	1	9780316045520
0319	1	9781616791094
0320	1	9781439128299
0321	1	9780553807240
0322	1	9780743246262
0323	1	9781615571314
0324	1	9780399155963
0325	1	9780393065671
0326	1	9781615596409
0327	1	9780316118088
0328	1	9780641858628
0329	1	9780060542092
0330	1	9780553805543
0331	1	9780446615860
0332	1	9780307277695
0333	1	9780316154277
0334	1	9780894864025
0335	1	9781604943443
0336	1	9781416571735
0337	1	9780778327998
0338	1	9781584350804
0339	1	9780375838828
0340	1	9780451191151
0341	1	9780064407311
0342	1	9780385490818
0343	1	9780373774517
0344	1	9781416563693
0345	1	9781420106862
0346	1	9780440217565
0347	1	9780312947040
0348	1	9781594865756
0349	1	9780778327493
0350	1	9780553295009
0351	1	9780812968064
0352	1	9780307405104
0353	1	9781416974475
0354	1	9780553494105
0355	1	9780446556828
0356	1	9780425166802
0357	1	9780143115007
0358	1	9780778327684
0359	1	9780884271789
0360	1	9780618829255
0361	1	9780061350962
0362	1	9780446556996
0363	1	9780373775224
0364	1	9780789205384
0365	1	9780515134476
0366	1	9780778327677
0367	1	9780312360283
0368	1	9780064405171
0369	1	9780061244087
0370	1	9781615559176
0371	1	9780786856862
0372	1	9780061825934
0373	1	9780446546126
0374	1	9780061452550
0375	1	9780316666343
0376	1	9780307453372
0377	1	9781615586035
0378	1	9781615594504
0379	1	9781615571338
0380	1	9780446547475
0381	1	9781402765711
0382	1	9780385343305
0383	1	9780307379054
0384	1	9781416565154
0385	1	9780762434329
0386	1	9781414318639
0387	1	9780385521383
0388	1	9781599903422
0389	1	9780786818709
0390	1	9780399142550
0391	1	9780441017690
0392	1	9780670451494
0393	1	9780345511768
0394	1	9780399156205
0395	1	9780545040600
0396	1	9780316053181
0397	1	9780446580243
0398	1	9781416595014
0399	1	9781416130277
0400	1	9780446195515
0401	1	9780767927000
0402	1	9780061449093
0403	1	9780061728303
0404	1	9780064442701
0405	1	9781601622563
0406	1	9780316036733
0407	1	9781419954627
0408	1	9780307277473
0409	1	9780394820378
0410	1	9780312642365
0411	1	9781416600350
0412	1	9781439167519
0413	1	9781401908973
0414	1	9781615582549
0415	1	9780761149439
0416	1	9780142437339
0417	1	9780061448980
0418	1	9780374525644
0419	1	9780061348143
0420	1	9781584855286
0421	1	9780451229717
0422	1	9780142404034
0423	1	9780373774524
0424	1	9780375429538
0425	1	9781416989400
0426	1	9780064441551
0427	1	9780515134469
0428	1	9780743453981
0429	1	9780738710181
0430	1	9780312369811
0431	1	9780152062682
0432	1	9780778327547
0433	1	9780553591729
0434	1	9780385522267
0435	1	9781596917019
0436	1	9780071453394
0437	1	9781878424686
0438	1	9781599951966
0439	1	9780470423547
0440	1	9780385528047
0441	1	9780394823379
0442	1	9780756914103
0443	1	9781439165393
0444	1	9780312545529
0445	1	9780399156267
0446	1	9780061778766
0447	1	9780470624357
0448	1	9780399156519
0449	1	9780307450586
0450	1	9780545128285
0451	1	9781615520275
0452	1	9780553805260
0453	1	9781437647433
0454	1	9780764578656
0455	1	9780061655951
0456	1	9781615597413
0457	1	9781416975861
0458	1	9780525948926
0459	1	9780345471178
0460	1	9780800759490
0461	1	9780140384512
0462	1	9781423107088
0463	1	9781593080099
0464	1	9781594417313
0465	1	9781571107220
0466	1	9780441010516
0467	1	9780547237602
0468	1	9781594865954
0469	1	9780425234907
0470	1	9780452295834
0471	1	9781402219016
0472	1	9781607142706
0473	1	9780395401460
0474	1	9780451459879
0475	1	9780689710681
0476	1	9780451169532
0477	1	9780345441133
0478	1	9780380773381
0479	1	9781593080068
0480	1	9781423105169
0481	1	9780679824251
0482	1	9780778327561
0483	1	9780316113694
0484	1	9780446401265
0485	1	9780880800013
0486	1	9780778326571
0487	1	9780380709564
0488	1	9780515142815
0489	1	9781602860971
0490	1	9781400069262
0491	1	9780061856433
0492	1	9781416950059
0493	1	9780578041476
0494	1	9781439180914
0495	1	9780764524837
0496	1	9780399155987
0497	1	9780670021673
0498	1	9780316078160
0499	1	9781416980087
0500	1	9780760778661
0501	1	9780345511560
0502	1	9780470540862
0503	1	9780316114257
0504	1	9780641951947
0505	1	9781616804657
0506	1	9781605295183
0507	1	9780689832130
0508	1	9780470599327
0509	1	9781594862922
0510	1	9781602861114
0511	1	9780735627086
0512	1	9780802119421
0513	1	9780142403709
0514	1	9781594483493
0515	1	9781416500186
0516	1	9780373774319
0517	1	9781416914631
0518	1	9781400082773
0519	1	9780743499576
0520	1	9780553386301
0521	1	9780545123273
0522	1	9780425224243
0523	1	9781593080075
0524	1	9780515134445
0525	1	9780071451994
0526	1	9781594417283
0527	1	9780316106542
0528	1	9780345472328
0529	1	9780689835681
0530	1	9780152061548
0531	1	9780767908184
0532	1	9780976018629
0533	1	9780679824244
0534	1	9780758210234
0535	1	9781400078776
0536	1	9780425214701
0537	1	9780312425074
0538	1	9780140186390
0539	1	9780373654871
0540	1	9780679883388
0541	1	9781591473145
0542	1	9780375815164
0543	1	9780307591197
0544	1	9780671646783
0545	1	9780871205049
0546	1	9781606840573
0547	1	9780399251641
0548	1	9781439107942
0549	1	9780641922169
0550	1	9781934781630
0551	1	9780425234228
0552	1	9780314199492
0553	1	9780394800936
0554	1	9780803731561
0555	1	9781416573012
0556	1	9781615545797
0557	1	9780310318965
0558	1	9781416948957
0559	1	9780307269867
0560	1	9780670062409
0561	1	9780670019632
0562	1	9781401323356
0563	1	9780960345038
0564	1	9780786952335
0565	1	9781568584492
0566	1	9780393061024
0567	1	9780312380038
0568	1	9780060883287
0569	1	9781608429981
0570	1	9781416545361
0571	1	9781604592689
0572	1	9781615543786
0573	1	9780553589399
0574	1	9781400031573
0575	1	9781577540939
0576	1	9781595141972
0577	1	9781595141750
0578	1	9780812504323
0579	1	9780373285907
0580	1	9780912986395
0581	1	9780061477935
0582	1	9780061214677
0583	1	9780061138027
0584	1	9780399533747
0585	1	9780451222350
0586	1	9780778327745
0587	1	9781439153611
0588	1	9781416509882
0589	1	9780345495006
0590	1	9781416960607
0591	1	9780451457813
0592	1	9780470372272
0593	1	9780316168816
0594	1	9781434767950
0595	1	9781615545605
0596	1	9781606411490
0597	1	9780547248042
0598	1	9780979966712
0599	1	9780800719029
0600	1	9781615554287
0601	1	9780061969843
0602	1	9781616804558
0603	1	9781437653755
0604	1	9780545010221
0605	1	9780312578107
0606	1	9780316042796
0607	1	9780375823114
0608	1	9780061953774
0609	1	9781401927097
0610	1	9781615596263
0611	1	9780970445759
0612	1	9780525951278
0613	1	9780670020713
0614	1	9781416588382
0615	1	9780688123161
0616	1	9780425234358
0617	1	9780385523929
0618	1	9780547152448
0619	1	9780875847474
0620	1	9780399156281
0621	1	9781435114906
0622	1	9780307460288
0623	1	9780760783962
0624	1	9781416541196
0625	1	9781402773938
0626	1	9780312934361
0627	1	9780307278449
0628	1	9781416542230
0629	1	9781605297828
0630	1	9780140288520
0631	1	9780323066518
0632	1	9780312934330
0633	1	9780821779392
0634	1	9780451412768
0635	1	9780970661128
0636	1	9781592405329
0637	1	9780441017966
0638	1	9781932664126
0639	1	9781416516934
0640	1	9780064440592
0641	1	9780767917186
0642	1	9780446581684
0643	1	9780060574215
0644	1	9780415958622
0645	1	9781932664089
0646	1	9781416547037
0647	1	9780142409060
0648	1	9780943015446
0649	1	9780609804360
0650	1	9780618249060
0651	1	9780679721130
0652	1	9780375429347
0653	1	9780451218049
0654	1	9781615594580
0655	1	9781416032434
0656	1	9781416914204
0657	1	9781439153024
0658	1	9780316004091
0659	1	9780375827358
0660	1	9781615559237
0661	1	9781616843526
0662	1	9780375842252
0663	1	9780758228659
0664	1	9781594202391
0665	1	9781615544868
0666	1	9781615545049
0667	1	9780618968411
0668	1	9780061715174
0669	1	9781887169660
0670	1	9781593083618
0671	1	9781615523566
0672	1	9780760778685
0673	1	9780060586751
0674	1	9781593083328
0675	1	9780785264194
0676	1	9780641939020
0677	1	9780805091595
0678	1	9781416572367
0679	1	9781615594511
0680	1	9781616794873
0681	1	9781885167606
0682	1	9780307378187
0683	1	9781616790035
0684	1	9781615545971
0685	1	9781616794750
0686	1	9780738212777
0687	1	9781593083564
0688	1	9781563637483
0689	1	9780312199432
0690	1	9780439064873
0691	1	9781893858558
0692	1	9781419951374
0693	1	9781593080273
0694	1	9780982594414
0695	1	9780316043137
0696	1	9780375806162
0697	1	9780373774609
0698	1	9781451578157
0699	1	9780785289098
0700	1	9780515144314
0701	1	9780140389661
0702	1	9781420100518
0703	1	9781416547075
0704	1	9780446618311
0705	1	9780470037379
0706	1	9780817463007
0707	1	9781439135730
0708	1	9780515147773
0709	1	9780553384420
0710	1	9780446199278
0711	1	9780316012836
0712	1	9780425193372
0713	1	9780937611012
0714	1	9780060892135
0715	1	9780060892197
0716	1	9781419954658
0717	1	9780440243311
0718	1	9780590417013
0719	1	9781423114116
0720	1	9780894860126
0721	1	9781616823900
0722	1	9780061962233
0723	1	9780061628344
0724	1	9780399155208
0725	1	9780307155108
0726	1	9780312533779
0727	1	9780226104034
0728	1	9781616880965
0729	1	9781591843085
0730	1	9781615545988
0731	1	9781439172957
0732	1	9781606521076
0733	1	9780743410618
0734	1	9780061626319
0735	1	9780786837465
0736	1	9780385514385
0737	1	9780805090567
0738	1	9781412727136
0739	1	9780446520805
0740	1	9780439668187
0741	1	9780545143455
0742	1	9781400063840
0743	1	9780061537936
0744	1	9781593155544
0745	1	9781592333998
0746	1	9780515147926
0747	1	9781400096794
0748	1	9780380778553
0749	1	9780316016636
0750	1	9780316024495
0751	1	9781616802363
0752	1	9781416586586
0753	1	9780156334600
0754	1	9780440244271
0755	1	9780671011376
0756	1	9780060837563
0757	1	9780553593440
0758	1	9780307474841
0759	1	9780446618694
0760	1	9780143037149
0761	1	9781586638443
0762	1	9780803615762
0763	1	9780810995499
0764	1	9780380805600
0765	1	9781419552212
0766	1	9780060891541
0767	1	9780767931571
0768	1	9780778326991
0769	1	9780142414330
0770	1	9780743226721
0771	1	9780689806988
0772	1	9780446613354
0773	1	9781934964101
0774	1	9780142406113
0775	1	9780375429156
0776	1	9780446564236
0777	1	9780373774494
0778	1	9780756655303
0779	1	9781435119215
0780	1	9781615594993
0781	1	9780307269942
0782	1	9781414326818
0783	1	9780670021789
0784	1	9780226320540
0785	1	9780307449450
0786	1	9781435107496
0787	1	9781606410424
0788	1	9781400068579
0789	1	9781616889913
0790	1	9780785135760
0791	1	9781935071839
0792	1	9781591843122
0793	1	9781615581696
0794	1	9780307461865
0795	1	9780060542139
0796	1	9780399208539
0797	1	9780061905858
0798	1	9780375831003
0799	1	9781400060771
0800	1	9781439139325
0801	1	9780618953158
0802	1	9780811865661
0803	1	9780446401197
0804	1	9780553591163
0805	1	9780446610223
0806	1	9781593082017
0807	1	9780060858803
0808	1	9780618485222
0809	1	9781401309572
0810	1	9780395978382
0811	1	9780778327608
0812	1	9780778328872
0813	1	9780446615624
0814	1	9780312565312
0815	1	9780376020598
0816	1	9781580401807
0817	1	9780312942328
0818	1	9780345410054
0819	1	9780778327400
0820	1	9780312938833
0821	1	9781593082130
0822	1	9781416972198
0823	1	9780312947064
0824	1	9780312997199
0825	1	9781590513965
0826	1	9781935597025
0827	1	9780064471046
0828	1	9780451205360
0829	1	9780316776967
0830	1	9780618918249
0831	1	9780071446525
0832	1	9781423114109
0833	1	9781416583295
0834	1	9780446547383
0835	1	9781934633311
0836	1	9780446545099
0837	1	9780470463161
0838	1	9781615544165
0839	1	9780061243585
0840	1	9781579622091
0841	1	9781402242229
0842	1	9781616850166
0843	1	9781405457460
0844	1	9781615526147
0845	1	9780061728402
0846	1	9781579651268
0847	1	9780399215926
0848	1	9781615609512
0849	1	9781616080389
0850	1	9780061966729
0851	1	9780061684388
0852	1	9780307272584
0853	1	9780545142991
0854	1	9781400068678
0855	1	9780696224034
0856	1	9780786953905
0857	1	9780767931946
0858	1	9780061431609
0859	1	9781616877163
0860	1	9780446563598
0861	1	9781591843016
0862	1	9781616791209
0863	1	9780805082739
0864	1	9780323067843
0865	1	9781439148969
0866	1	9781615609291
0867	1	9781588167507
0868	1	9780762109951
0869	1	9781616806347
0870	1	9781416566113
0871	1	9780385738354
0872	1	9780142501559
0873	1	9781416974505
0874	1	9780316114370
0875	1	9780312349509
0876	1	9781416597452
0877	1	9781607060765
0878	1	9780316087360
0879	1	9780399531651
0880	1	9780767913737
0881	1	9780375828256
0882	1	9780446613262
0883	1	9781416549147
0884	1	9780394826202
0885	1	9780874477566
0886	1	9780553277579
0887	1	9780765365439
0888	1	9781416059516
0889	1	9780761521365
0890	1	9780142437308
0891	1	9780375429163
0892	1	9780769636979
0893	1	9780316075657
0894	1	9780060512637
0895	1	9780142001431
0896	1	9780425232422
0897	1	9781427991904
0898	1	9781402767647
0899	1	9781616797003
0900	1	9781414300559
0901	1	9780307268396
0902	1	9780446547598
0903	1	9781439125663
0904	1	9780307269188
0905	1	9780307336804
0906	1	9780394818238
0907	1	9780805395914
0908	1	9781615602315
0909	1	9781615546114
0910	1	9780060248024
0911	1	9780470279496
0912	1	9780545086158
0913	1	9780641645310
0914	1	9781400049356
0915	1	9781615513574
0916	1	9781600850219
0917	1	9780718001315
0918	1	9780399234163
0919	1	9781439102398
0920	1	9780679875970
0921	1	9780446557856
0922	1	9780609610664
0923	1	9781616847012
0924	1	9780312600150
0925	1	9781439109120
0926	1	9780762440603
0927	1	9781580082686
0928	1	9781615583218
0929	1	9781593083847
0930	1	9780778329626
0931	1	9780440993711
0932	1	9780194740098
0933	1	9781419959301
0934	1	9780345509055
0935	1	9780385479561
0936	1	9780316087384
0937	1	9780061236075
0938	1	9780451458445
0939	1	9780451229618
0940	1	9780425163719
0941	1	9780761512196
0942	1	9780307278425
0943	1	9780061284441
0944	1	9780142410240
0945	1	9780440241904
0946	1	9780061795145
0947	1	9781892989048
0948	1	9781572244139
0949	1	9780451229373
0950	1	9780441012688
0951	1	9780345487551
0952	1	9780446605403
0953	1	9780689710551
0954	1	9780142410257
0955	1	9780307385901
0956	1	9780977326402
0957	1	9780786951444
0958	1	9780446608817
0959	1	9780786816583
0960	1	9780920236161
0961	1	9780440238492
0962	1	9781593080457
0963	1	9781400066643
0964	1	9780393064742
0965	1	9780785229186
0966	1	9780061660092
0967	1	9780811865807
0968	1	9780641952494
0969	1	9781401922375
0970	1	9780961392147
0971	1	9781616802448
0972	1	9781593083816
0973	1	9781401323783
0974	1	9780312587482
0975	1	9780385517478
0976	1	9780061473678
0977	1	9780385523653
0978	1	9780061886577
0979	1	9781615539758
0980	1	9780316089517
0981	1	9780310708254
0982	1	9780811857826
0983	1	9780345505101
0984	1	9780802119476
0985	1	9781615597352
0986	1	9780061452055
0987	1	9781416979173
0988	1	9781400043460
0989	1	9780399156526
0990	1	9780743249270
0991	1	9780425157626
0992	1	9780742515178
0993	1	9781437626261
0994	1	9780553577129
0995	1	9780439845090
0996	1	9781594132667
0997	1	9780064440134
0998	1	9781401925925
0999	1	9780441172719
1000	1	9780375429385
1001	1	9781427798336
1002	1	9780142405789
1003	1	9780307381675
1004	1	9781615535361
1005	1	9780785273226
1006	1	9780425232095
1007	1	9780765316554
1008	1	9780802130204
1009	1	9780743477116
1010	1	9780440225454
1011	1	9780312948559
1012	1	9780373285952
1013	1	9780142401095
1014	1	9780452296251
1015	1	9780778326984
1016	1	9780738203072
1017	1	9780061998492
1018	1	9780760781142
1019	1	9780743235389
1020	1	9781594202766
1021	1	9780787995317
1022	1	9781615602360
1023	1	9781401324070
1024	1	9781615595082
1025	1	9780441011674
1026	1	9781439159927
1027	1	9780425236598
1028	1	9780446549196
1029	1	9780786819072
1030	1	9780385528962
1031	1	9780071636087
1032	1	9780307165480
1033	1	9780470086322
1034	1	9780399156403
1035	1	9780345434852
1036	1	9780071626149
1037	1	9781439128657
1038	1	9780312360252
1039	1	9780756656348
1040	1	9780061804090
1041	1	9781572305632
1042	1	9780385344135
1043	1	9781591843177
1044	1	9780142402535
1045	1	9780689717383
1046	1	9780803621329
1047	1	9781421533056
1048	1	9780071633383
1049	1	9780758227188
1050	1	9780743223133
1051	1	9780440416630
1052	1	9781593854454
1053	1	9781419950308
1054	1	9780470447116
1055	1	9780441013401
1056	1	9780425205815
1057	1	9780684853949
1058	1	9780061834776
1059	1	9788023833843
1060	1	9781616845377
1061	1	9780141325286
1062	1	9780778327530
1063	1	9780452281325
1064	1	9780060580865
1065	1	9780812973464
1066	1	9780061857805
1067	1	9781599982717
1068	1	9780486434223
1069	1	9781569244531
1070	1	9780641995965
1071	1	9781615594979
1072	1	9781587613449
1073	1	9781439112878
1074	1	9780756659820
1075	1	9781595547064
1076	1	9780723258049
1077	1	9781615554355
1078	1	9781439148983
1079	1	9781616800147
1080	1	9781615515486
1081	1	9780671493189
1082	1	9780375811005
1083	1	9781423106869
1084	1	9780385077255
1085	1	9780373803156
1086	1	9780312380687
1087	1	9780451229274
1088	1	9780316043120
1089	1	9780803734609
1090	1	9780060753948
1091	1	9780152579951
1092	1	9781416953586
1093	1	9781615525041
1094	1	9780061235900
1095	1	9780743246583
1096	1	9780061791574
1097	1	9781616791179
1098	1	9780525951384
1099	1	9780061336980
1100	1	9780758220370
1101	1	9780312608705
1102	1	9780553278224
1103	1	9780425216590
1104	1	9780763618988
1105	1	9780064400565
1106	1	9780470449752
1107	1	9780321680709
1108	1	9780375836671
1109	1	9780312942311
1110	1	9780547258553
1111	1	9780140309577
1112	1	9781416505037
1113	1	9780446199551
1114	1	9780440235392
1115	1	9780982266700
1116	1	9780641921261
1117	1	9781599866147
1118	1	9781593080778
1119	1	9780143115625
1120	1	9780425232033
1121	1	9780425168134
1122	1	9780136035992
1123	1	9780553272581
1124	1	9781616879990
1125	1	9780316085298
1126	1	9780380730407
1127	1	9780641912092
1128	1	9781435101289
1129	1	9780525951490
1130	1	9780641958373
1131	1	9781615566709
1132	1	9780439680035
1133	1	9780060871581
1134	1	9780061924606
1135	1	9781615513925
1136	1	9781426204456
1137	1	9781609050085
1138	1	9780399156380
1139	1	9781615582105
1140	1	9781581170917
1141	1	9781580089982
1142	1	9780641984549
1143	1	9781615608966
1144	1	9780811874830
1145	1	9780375828669
1146	1	9781616790264
1147	1	9781552100516
1148	1	9780307406330
1149	1	9781616794514
1150	1	9780743269742
1151	1	9780060245603
1152	1	9780764567049
1153	1	9781416126386
1154	1	9781616791278
1155	1	9780446198981
1156	1	9781411404885
1157	1	9780307405869
1158	1	9780425233351
1159	1	9780684803357
1160	1	9780425226414
1161	1	9780470523988
1162	1	9780061852053
1163	1	9781401917500
1164	1	9780323057479
1165	1	9780769636962
1166	1	9780451229724
1167	1	9780979470394
1168	1	9780061370472
1169	1	9780671631987
1170	1	9780440235507
1171	1	9780373803170
1172	1	9780307383204
1173	1	9780439916257
1174	1	9780143036555
1175	1	9780061149818
1176	1	9780965260312
1177	1	9780888994165
1178	1	9780446691437
1179	1	9780425179611
1180	1	9780440418511
1181	1	9781616878665
1182	1	9781593081997
1183	1	9780316236539
1184	1	9780670011179
1185	1	9780061853982
1186	1	9780385522274
1187	1	9781429218870
1188	1	9780916856014
1189	1	9781615542284
1190	1	9781401907822
1191	1	9780066211046
1192	1	9781422125007
1193	1	9780385343855
1194	1	9780441012794
1195	1	9781615559138
1196	1	9780061344626
1197	1	9780316040495
1198	1	9780307463128
1199	1	9780399254345
1200	1	9780399213014
1201	1	9780760793091
1202	1	9781616802288
1203	1	9780316006989
1204	1	9781616849399
1205	1	9780373774050
1206	1	9780316040099
1207	1	9780399155819
1208	1	9781400067947
1209	1	9781439117972
1210	1	9780446611084
1211	1	9781439156735
1212	1	9781598802900
1213	1	9781400033423
1214	1	9780452287891
1215	1	9780142411735
1216	1	9781594483066
1217	1	9781419553226
1218	1	9780805210316
1219	1	9780528355349
1220	1	9780440239123
1221	1	9780425176306
1222	1	9780373775101
1223	1	9780393333060
1224	1	9781435110830
1225	1	9780064400404
1226	1	9780425231456
1227	1	9780446699976
1228	1	9780060578787
1229	1	9780142409893
1230	1	9780375855726
1231	1	9780874774245
1232	1	9781414334134
1233	1	9780425215906
1234	1	9780812981315
1235	1	9780375806117
1236	1	9781594417320
1237	1	9780470106716
1238	1	9780786852628
1239	1	9781551667195
1240	1	9780061944185
1241	1	9781615592418
1242	1	9781561454907
1243	1	9781402766510
1244	1	9781433668234
1245	1	9781587201837
1246	1	9780439635721
1247	1	9780743294294
1248	1	9781883360252
1249	1	9780691144788
1250	1	9780764557347
1251	1	9781423111443
1252	1	9780441014941
1253	1	9781400044528
1254	1	9781400065806
1255	1	9780670011100
1256	1	9781439158906
1257	1	9781615582358
1258	1	9780756654412
1259	1	9780670021482
1260	1	9780767902052
1261	1	9780547195575
1262	1	9781616851941
1263	1	9781594202353
1264	1	9781401323479
1265	1	9780345512185
1266	1	9781439182895
1267	1	9781439147733
