book	waterstones	publication_date
0315	1	03/12/2010
0316	1	04/10/2010
0317	1	04/10/2010
0318	1	30/09/1999
0319	1	16/10/2003
0320	1	06/09/2007
0321	1	04/06/2007
0322	1	20/04/2009
0323	1	18/10/2010
0324	1	15/05/2010
0325	1	01/11/2010
0326	1	05/07/2007
0327	1	30/09/2010
0328	1	10/01/1991
0329	1	20/01/2011
0330	1	09/10/2008
0331	1	28/10/2010
0332	1	28/08/2009
0333	1	24/09/2010
0334	1	07/10/2010
0335	1	06/05/2010
0336	1	30/09/2010
0337	1	07/07/2008
0338	1	07/08/2008
0339	1	06/10/2003
0340	1	20/01/2011
0341	1	07/03/2002
0342	1	03/06/2010
0343	1	01/09/2008
0344	1	05/07/2007
0345	1	07/10/2010
0346	1	08/04/2010
0347	1	07/10/2010
0348	1	06/09/2010
0349	1	07/09/2006
0350	1	04/10/2010
0351	1	04/10/2010
0352	1	04/03/2010
0353	1	07/10/2010
0354	1	01/10/2007
0355	1	29/10/2010
0356	1	01/06/2004
0357	1	01/09/2008
0358	1	15/10/2009
0359	1	01/10/2007
0360	1	29/10/1999
0361	1	02/12/2010
0362	1	14/01/2010
0363	1	20/10/2009
0364	1	01/07/2004
0365	1	03/12/2007
0366	1	01/11/2003
0367	1	08/07/2010
0368	1	05/11/1992
0369	1	12/11/2010
0370	1	29/10/2010
0371	1	01/05/2009
0372	1	29/01/2009
0373	1	27/05/2010
0374	1	06/01/2010
0375	1	01/07/2004
0376	1	07/04/2011
0377	1	22/02/2011
0378	1	25/02/2011
0379	1	02/02/2011
0380	1	03/01/2011
0381	1	12/08/2009
0382	1	24/04/2009
0383	1	15/07/2010
0384	1	22/10/2004
0385	1	01/10/2010
0386	1	09/02/2005
0387	1	24/09/2010
0388	1	05/08/2010
0389	1	09/12/2010
0390	1	05/10/2010
0391	1	02/03/2009
0392	1	08/10/2009
0393	1	11/02/2010
0394	1	03/07/2003
0395	1	04/06/2009
0396	1	02/06/2008
0397	1	01/10/2009
0398	1	24/09/2004
0399	1	29/04/2010
0400	1	28/07/2010
0401	1	03/08/2004
0402	1	24/09/2010
0403	1	07/01/2010
0404	1	07/09/2009
0405	1	14/10/2010
0406	1	16/09/1993
0407	1	01/12/2010
0408	1	19/08/2010
0409	1	30/12/2009
0410	1	11/01/2011
0411	1	26/01/2011
0412	1	01/11/2003
0413	1	03/03/2011
0414	1	06/01/2011
0415	1	28/01/2011
0416	1	28/12/2010
0417	1	11/10/2010
0418	1	25/09/2009
0419	1	25/01/2011
0420	1	13/02/2011
0421	1	01/12/2009
0422	1	26/01/2011
0423	1	08/02/2011
0424	1	28/01/2011
0425	1	29/10/2010
0426	1	17/12/2010
0427	1	05/11/2007
0428	1	24/04/2009
0429	1	15/12/2010
0430	1	07/12/2010
0431	1	24/09/2007
0432	1	02/10/2009
0433	1	27/01/2010
0434	1	19/06/2008
0435	1	29/04/2010
0436	1	03/09/2007
0437	1	16/04/2009
0438	1	26/11/2010
0439	1	05/03/2011
0440	1	18/10/2010
0441	1	06/08/2008
0442	1	20/01/2011
0443	1	17/09/2009
0444	1	16/09/2009
0445	1	11/06/2007
0446	1	10/11/2009
0447	1	14/01/2011
0448	1	04/03/1999
0449	1	01/06/2010
0450	1	28/04/2008
0451	1	15/10/2010
0452	1	14/09/2010
0453	1	19/12/2006
0454	1	10/06/2009
0455	1	08/09/2008
0456	1	30/11/2009
0457	1	02/02/2009
0458	1	28/08/2009
0459	1	29/10/2010
0460	1	12/10/2009
0461	1	25/03/2010
0462	1	06/09/2010
0463	1	01/02/2011
0464	1	01/02/2011
0465	1	24/03/2011
0466	1	29/06/2010
0467	1	10/01/2007
0468	1	01/09/2009
0469	1	31/03/2004
0470	1	28/06/2010
0471	1	31/10/2008
0472	1	13/09/2010
0473	1	03/08/2009
0474	1	09/11/2010
0475	1	28/06/2010
0476	1	29/07/2010
0477	1	23/09/2009
0478	1	20/11/2008
0479	1	30/07/2010
0480	1	01/02/2010
0481	1	31/05/2010
0482	1	10/01/2007
0483	1	20/11/2009
0484	1	03/10/2003
0485	1	01/10/2010
0486	1	31/03/2010
0487	1	15/03/2010
0488	1	19/10/2009
0489	1	23/09/2009
0490	1	01/01/2010
0491	1	15/06/2009
0492	1	10/12/2009
0493	1	22/12/2009
0494	1	19/11/2009
0495	1	10/10/2003
0496	1	25/09/2009
0497	1	07/12/2007
0498	1	26/11/2010
0499	1	29/12/2008
0500	1	08/02/2010
0501	1	01/07/2009
0502	1	15/12/2009
0503	1	28/10/2009
0504	1	01/11/2010
0505	1	09/12/2008
0506	1	15/02/2007
0507	1	01/04/2008
0508	1	15/07/2010
0509	1	16/12/2009
0510	1	15/08/2009
0511	1	17/01/2007
0512	1	20/06/2008
0513	1	28/07/2010
0514	1	09/03/2010
0515	1	31/01/2007
0516	1	15/06/2009
0517	1	03/09/2009
0518	1	09/02/2011
0519	1	28/01/2011
0520	1	28/03/2011
0521	1	15/05/2008
0522	1	17/11/2009
0523	1	31/03/2006
0524	1	21/09/2009
0525	1	20/11/2009
0526	1	25/05/2007
0527	1	10/11/2008
0528	1	29/05/2007
0529	1	13/02/2003
0530	1	06/06/2008
0531	1	29/07/2008
0532	1	24/07/2009
0533	1	28/05/2010
0534	1	27/10/2010
0535	1	12/11/2009
0536	1	28/07/2010
0537	1	24/06/2010
0538	1	23/09/2009
0539	1	29/11/2010
0540	1	06/10/2008
0541	1	09/05/2008
0542	1	29/08/2007
0543	1	16/01/2009
0544	1	01/09/2007
0545	1	04/11/2008
0546	1	03/05/2007
0547	1	28/09/2007
0548	1	10/10/2008
0549	1	25/01/2008
0550	1	02/09/2010
0551	1	09/06/2008
0552	1	24/07/2008
0553	1	09/07/2009
0554	1	29/07/2010
0555	1	03/09/2009
0556	1	11/11/2010
0557	1	14/10/2010
0558	1	30/08/2010
0559	1	14/10/2010
0560	1	27/01/2011
0561	1	24/06/2010
0562	1	16/03/2007
0563	1	20/01/2011
0564	1	17/02/2011
0565	1	18/02/2010
0566	1	22/07/2010
0567	1	17/02/2011
0568	1	11/11/2010
0569	1	01/10/2010
0570	1	30/09/2010
0571	1	03/02/2011
0572	1	29/04/1993
0573	1	15/01/2007
0574	1	03/02/2000
0575	1	02/04/2001
0576	1	29/10/2004
0577	1	06/12/2004
0578	1	24/06/2010
0579	1	01/04/2004
0580	1	18/03/2010
0581	1	03/03/2003
0582	1	20/01/2011
0583	1	17/02/2011
0584	1	01/04/2005
0585	1	14/10/2010
0586	1	18/02/2010
0587	1	26/02/2009
0588	1	09/04/2007
0589	1	20/01/2011
0590	1	06/01/2011
0591	1	07/05/2009
0592	1	20/01/2011
0593	1	06/01/2011
0594	1	14/06/2007
0595	1	09/10/2008
0596	1	13/05/2010
0597	1	14/10/2010
0598	1	04/12/2009
0599	1	28/10/2010
0600	1	22/07/2010
0601	1	01/11/1999
0602	1	13/05/2010
0603	1	14/03/2003
0604	1	27/01/2011
0605	1	30/09/2010
0606	1	28/10/2010
0607	1	02/01/2007
0608	1	06/01/2011
0609	1	03/03/2011
0610	1	03/03/2011
0611	1	25/08/2011
0612	1	29/04/2010
0613	1	07/10/2010
0614	1	05/01/2009
0615	1	03/09/1998
0616	1	31/07/2008
0617	1	01/04/2010
0618	1	06/08/2009
0619	1	06/03/2008
0620	1	07/04/2011
0621	1	03/03/2011
0622	1	31/03/2011
0623	1	04/02/2011
0624	1	06/03/2008
0625	1	11/06/2009
0626	1	30/09/2010
0627	1	31/01/1998
0628	1	29/04/2005
0629	1	01/07/2010
0630	1	16/09/2010
0631	1	13/10/2005
0632	1	26/12/2009
0633	1	02/04/2009
0634	1	02/04/2009
0635	1	07/08/2008
0636	1	04/06/2001
0637	1	01/11/2008
0638	1	04/06/2009
0639	1	25/11/2010
0640	1	28/10/2010
0641	1	13/06/2005
0642	1	25/02/2008
0643	1	01/09/1997
0644	1	05/02/2009
0645	1	15/05/1998
0646	1	25/06/2009
0647	1	28/05/2009
0648	1	05/08/2010
0649	1	06/09/2002
0650	1	06/09/2010
0651	1	09/08/2010
0652	1	02/08/2007
0653	1	14/10/2010
0654	1	15/04/2004
0655	1	04/01/2011
0656	1	15/02/2011
0657	1	26/06/2008
0658	1	30/09/1999
0659	1	06/02/2006
0660	1	21/04/2011
0661	1	01/02/2011
0662	1	30/09/1999
0663	1	04/06/2007
0664	1	28/03/1996
0665	1	15/05/2007
0666	1	01/05/2010
0667	1	04/02/2010
0668	1	03/03/2005
0669	1	07/01/2010
0670	1	08/05/1997
0671	1	01/10/2003
0672	1	28/06/2007
0673	1	01/10/2008
0674	1	09/05/1996
0675	1	27/05/2010
0676	1	11/10/2010
0677	1	12/05/2006
0678	1	08/02/2006
0679	1	01/10/2008
0680	1	14/07/2010
0681	1	30/07/2001
0682	1	28/05/2010
0683	1	18/09/2008
0684	1	29/01/2010
0685	1	26/02/2010
0686	1	01/10/2006
0687	1	26/02/2010
0688	1	05/02/2008
0689	1	24/02/2011
0690	1	28/03/2011
0691	1	27/07/2009
0692	1	18/03/2010
0693	1	12/05/2008
0694	1	14/08/2007
0695	1	26/03/2010
0696	1	06/08/2009
0697	1	03/07/2003
0698	1	30/04/1997
0699	1	02/08/2004
0700	1	28/09/2007
0701	1	01/08/2006
0702	1	08/01/2004
0703	1	08/10/2009
0704	1	28/04/2010
0705	1	31/05/2007
0706	1	09/04/2008
0707	1	29/04/2010
0708	1	10/04/2000
0709	1	24/08/2006
0710	1	20/07/2010
0711	1	06/08/2009
0712	1	30/04/2003
0713	1	01/11/2007
0714	1	21/09/2006
0715	1	30/06/2006
0716	1	17/12/2010
0717	1	26/06/2009
0718	1	31/03/2005
0719	1	26/03/2010
0720	1	31/03/2007
0721	1	07/04/2005
0722	1	09/04/2009
0723	1	01/09/2009
0724	1	01/05/2006
0725	1	07/10/2004
0726	1	30/07/2009
0727	1	15/11/2007
0728	1	01/04/2009
0729	1	01/07/2007
0730	1	26/02/2010
0731	1	15/09/2008
0732	1	03/06/2010
0733	1	03/11/2006
0734	1	01/04/2003
0735	1	26/03/2010
0736	1	01/10/2010
0737	0	<NULL>
0738	1	14/10/2004
0739	1	18/11/2005
0740	1	03/06/2010
0741	1	03/01/2008
0742	1	22/05/2009
0743	1	29/08/2003
0744	1	03/08/2010
0745	1	19/02/2010
0746	1	26/03/2010
0747	1	31/10/2010
0748	1	02/09/2010
0749	1	02/09/2010
0750	1	04/03/2010
0751	1	28/10/2010
0752	1	23/09/2010
0753	1	07/10/2010
0754	1	30/09/2010
0755	1	06/08/2010
0756	1	25/11/2010
0757	1	11/11/2010
0758	1	22/04/2010
0759	1	16/09/2010
0760	1	16/09/2010
0761	1	20/01/2011
0762	1	07/01/2010
0763	1	01/04/2010
0764	1	06/01/2011
0765	1	27/05/2010
0766	1	19/08/2010
0767	1	01/09/1999
0768	1	06/01/2011
0769	1	06/01/2011
0770	1	26/12/2010
0771	1	24/06/2010
0772	1	05/08/2010
0773	1	18/07/1994
0774	1	07/06/2004
0775	1	08/07/2010
0776	1	05/11/2010
0777	1	11/11/2010
0778	1	06/01/2011
0779	1	02/07/2007
0780	1	11/11/2010
0781	1	06/01/2011
0782	1	07/10/2010
0783	1	14/10/2010
0784	1	14/10/2010
0785	1	11/11/2010
0786	1	05/10/2005
0787	1	03/02/2011
0788	1	06/09/1999
0789	1	28/10/2010
0790	1	06/01/2011
0791	1	07/10/2010
0792	1	01/08/2010
0793	1	31/07/1997
0794	1	03/08/2009
0795	1	30/09/2010
0796	1	14/09/2009
0797	1	07/09/2009
0798	1	28/10/2010
0799	1	11/11/2010
0800	1	01/04/2010
0801	1	17/03/2011
0802	1	07/09/2000
0803	1	11/11/2010
0804	1	21/02/2005
0805	1	22/02/2011
0806	1	01/11/2007
0807	1	15/01/2007
0808	1	06/01/2011
0809	1	17/05/2001
0810	1	22/04/2010
0811	1	01/02/2007
0812	1	05/01/2010
0813	1	06/05/2010
0814	1	04/10/2010
0815	1	08/07/2010
0816	1	08/11/2007
0817	1	01/08/2006
0818	1	26/05/2000
0819	1	03/03/2008
0820	1	30/11/2010
0821	1	12/11/2007
0822	1	01/05/2007
0823	1	04/03/2011
0824	1	06/01/2011
0825	1	02/09/2010
0826	1	07/10/2010
0827	1	22/07/2010
0828	1	30/01/2003
0829	1	10/02/2011
0830	1	11/11/2010
0831	1	08/07/2010
0832	1	17/07/2008
0833	1	20/01/2011
0834	1	13/03/2010
0835	1	29/04/1985
0836	1	23/09/2010
0837	1	02/10/2008
0838	1	25/11/2010
0839	1	04/03/2010
0840	1	05/03/2007
0841	1	22/06/2010
0842	1	26/11/2010
0843	1	20/05/2010
0844	1	24/09/2010
0845	1	30/09/2010
0846	1	06/09/2010
0847	1	07/10/2010
0848	1	01/09/2009
0849	1	30/09/2010
0850	1	14/10/2010
0851	1	06/09/2010
0852	1	01/10/2010
0853	1	14/10/2010
0854	1	01/10/2010
0855	1	02/11/2006
0856	1	28/09/2010
0857	1	06/07/2006
0858	1	03/11/2008
0859	1	15/07/2004
0860	1	05/06/2003
0861	1	05/04/2010
0862	1	02/07/2009
0863	1	07/10/2010
0864	1	05/06/2003
0865	1	30/06/2001
0866	1	02/08/2010
0867	1	01/03/2010
0868	1	07/10/2010
0869	1	27/08/2010
0870	1	01/08/2007
0871	1	04/10/2007
0872	1	07/09/2006
0873	1	01/10/2010
0874	1	20/03/2008
0875	1	03/04/2006
0876	1	03/09/2009
0877	1	06/01/2011
0878	1	06/10/2008
0879	1	02/10/2003
0880	1	16/04/2009
0881	1	01/09/2010
0882	1	06/10/2008
0883	1	23/07/2009
0884	1	14/10/2010
0885	1	15/06/2004
0886	1	03/09/2009
0887	1	12/10/1989
0888	1	15/08/2007
0889	1	06/10/2008
0890	1	06/01/2011
0891	1	07/10/2010
0892	1	15/02/2008
0893	1	16/09/2010
0894	1	02/10/2008
0895	1	05/06/2003
0896	1	14/07/2010
0897	1	16/10/2008
0898	1	25/03/2010
0899	1	16/09/2010
0900	1	15/11/2010
0901	1	26/04/2002
0902	1	04/09/2008
0903	1	08/01/2011
0904	1	02/08/2010
0905	1	10/05/2001
0906	1	07/05/2010
0907	1	15/10/2007
0908	1	02/02/2006
0909	1	29/10/2010
0910	1	01/03/2010
0911	1	03/09/2007
0912	1	19/05/2008
0913	1	30/12/2009
0914	1	01/10/2008
0915	1	19/08/2010
0916	1	23/09/1999
0917	1	01/08/2010
0918	1	01/02/2010
0919	1	15/03/2010
0920	1	01/02/2007
0921	1	16/03/2007
0922	1	23/09/2010
0923	1	14/07/2005
0924	1	20/11/2009
0925	1	17/02/2010
0926	1	01/11/2009
0927	1	07/01/2010
0928	1	30/09/2010
0929	1	30/10/2009
0930	1	01/10/2008
0931	1	16/03/2009
0932	1	30/09/2010
0933	1	04/01/2011
0934	1	04/12/2006
0935	1	20/12/2010
0936	1	02/11/2010
0937	1	07/10/2010
0938	1	13/05/2010
0939	1	16/12/2010
0940	1	01/05/2010
0941	1	01/04/2006
0942	1	01/11/2007
0943	1	06/12/2010
0944	1	30/12/2000
0945	1	30/09/2010
0946	1	01/01/2009
0947	1	30/09/2010
0948	1	07/01/2011
0949	1	08/11/1999
0950	1	28/10/2010
0951	1	20/01/2011
0952	1	03/02/2011
0953	1	03/01/2011
0954	1	31/01/2011
0955	1	14/10/2010
0956	1	31/10/2002
0957	1	18/10/2010
0958	1	19/08/2010
0959	1	01/03/2011
0960	1	09/02/2011
0961	1	05/02/1998
0962	1	24/08/2001
0963	1	01/07/2010
0964	1	07/01/2010
0965	1	03/03/2003
0966	1	17/09/2010
0967	1	05/02/2009
0968	1	01/04/2003
0969	1	02/01/2009
0970	1	07/04/2011
0971	1	13/11/2008
0972	1	13/06/2007
0973	1	09/09/2010
0974	1	06/12/2010
0975	1	21/10/2010
0976	1	24/01/2002
0977	1	01/06/2008
0978	1	12/09/1996
0979	1	02/06/2008
0980	1	07/09/2001
0981	1	27/05/2010
0982	1	23/09/2009
0983	1	29/01/2004
0984	1	02/01/2003
0985	1	15/08/2007
0986	1	06/11/2008
0987	1	30/04/2009
0988	1	13/05/2010
0989	1	02/06/2008
0990	1	03/03/2008
0991	1	26/07/2006
0992	1	28/04/2010
0993	1	20/01/2011
0994	1	21/02/2011
0995	1	06/01/2011
0996	1	03/02/2011
0997	1	01/01/2011
0998	1	07/04/2011
0999	1	30/07/2009
1000	1	01/01/2011
1001	1	26/08/2004
1002	1	29/01/2009
1003	1	15/07/2006
1004	1	28/07/2005
1005	1	08/11/2007
1006	1	21/08/2009
1007	1	10/08/2007
1008	1	25/09/2009
1009	1	06/04/2006
1010	1	04/07/2005
1011	1	30/09/2009
1012	1	18/03/2010
1013	1	23/06/1994
1014	1	22/09/2010
1015	1	30/09/2005
1016	1	03/03/2008
1017	1	08/01/2009
1018	1	01/08/2005
1019	1	24/09/2009
1020	1	11/01/2002
1021	1	01/01/2010
1022	1	29/10/2010
1023	1	07/01/2010
1024	1	19/01/2006
1025	1	06/12/2005
1026	1	27/10/2005
1027	1	21/04/2005
1028	1	01/04/2010
1029	1	30/08/2010
1030	1	16/09/2010
1031	1	16/09/2010
1032	1	03/06/2010
1033	1	07/10/2010
1034	1	01/10/2010
1035	1	29/04/2004
1036	1	03/01/1998
1037	1	06/05/2010
1038	1	28/10/2010
1039	1	03/12/2010
1040	1	18/03/2010
1041	1	02/06/2008
1042	1	15/07/2010
1043	1	10/06/2004
1044	1	06/08/2009
1045	1	02/12/2010
1046	1	06/10/2008
1047	1	06/09/2007
1048	1	25/02/2011
1049	1	13/10/2010
1050	1	01/09/2010
1051	1	04/10/2007
1052	1	01/09/2005
1053	1	01/10/2010
1054	1	15/04/2005
1055	1	21/06/2012
1056	1	01/11/2010
1057	1	02/03/2006
1058	1	17/09/2010
1059	1	07/10/2010
1060	1	05/10/2001
1061	1	02/07/2010
1062	1	02/10/2003
1063	1	27/05/2010
1064	1	01/07/2010
1065	1	01/08/2010
1066	1	07/10/2010
1067	1	01/04/2011
1068	1	29/04/2010
1069	1	01/01/2011
1070	1	31/01/2011
1071	1	02/04/2007
1072	1	01/09/2010
1073	1	27/09/2001
1074	1	20/09/2007
1075	1	27/09/2010
1076	1	01/05/2008
1077	1	29/07/2010
1078	1	19/03/2009
1079	1	22/11/2007
1080	1	05/02/2010
1081	1	25/11/1999
1082	1	27/03/2006
1083	1	27/05/2010
1084	1	05/02/2007
1085	1	17/05/2010
1086	1	28/06/2007
1087	1	22/01/2009
1088	1	07/01/2010
1089	1	31/07/1997
1090	1	31/03/2010
1091	1	06/08/2009
1092	1	31/10/2010
1093	1	04/11/2010
1094	1	25/02/2010
1095	1	15/04/2010
1096	1	06/05/2010
1097	1	03/05/2007
1098	1	06/03/2008
1099	1	16/09/2010
1100	1	15/04/2010
1101	1	01/01/2010
1102	1	19/03/2009
1103	1	20/09/2010
1104	1	05/07/2007
1105	1	01/10/2010
1106	1	31/08/2001
1107	1	07/10/2010
1108	1	04/11/2010
1109	1	03/04/2008
1110	1	30/09/2010
1111	1	15/09/2010
1112	1	25/11/2008
1113	1	02/09/2010
1114	1	05/08/2010
1115	1	04/08/2008
1116	1	29/10/2009
1117	1	25/03/2011
1118	1	04/11/2002
1119	1	04/05/2004
1120	1	01/09/2008
1121	1	02/09/2010
1122	1	30/09/2010
1123	1	26/09/2008
1124	1	07/01/2010
1125	1	06/09/2010
1126	1	02/10/2006
1127	1	03/11/2008
1128	1	05/03/2009
1129	1	07/07/2008
1130	1	06/04/2009
1131	1	07/09/2010
1132	1	02/04/2007
1133	1	05/02/2009
1134	1	09/02/2011
1135	1	28/05/2009
1136	1	20/03/2006
1137	1	01/11/2010
1138	1	06/02/2006
1139	1	07/02/2005
1140	1	21/05/1999
1141	1	19/10/2010
1142	1	24/09/2010
1143	1	14/10/2010
1144	1	06/08/2009
1145	1	02/06/2008
1146	1	02/03/2010
1147	1	01/09/2003
1148	1	16/06/2006
1149	1	14/10/2010
1150	1	11/10/2002
1151	1	01/07/2010
1152	1	22/10/2010
1153	1	02/07/2010
1154	1	27/08/2010
1155	1	05/11/2007
1156	1	18/06/2004
1157	1	01/02/2010
1158	1	28/10/2010
1159	1	01/04/2002
1160	1	14/10/2009
1161	1	04/10/2010
1162	1	01/03/2011
