book	abebooks	publication_date
0798	1	2008
0799	1	1998
0800	1	2006
0801	1	2002
0802	1	1993
0803	1	1987
0804	1	1994
0805	1	2002
0806	1	2001
0807	1	2005
0808	1	2002
0809	1	1969
0810	1	2007
0811	1	1985
0812	1	2008
0813	1	1975
0814	1	1978
0815	1	1984
0816	1	1996
0817	1	1999
0818	1	2000
0819	1	1978
0820	1	2004
0821	1	1980
0822	1	1991
0823	1	1991
0824	1	1985
0825	1	1989
0826	1	1996
0827	1	2001
0828	1	1995
0829	1	2005
0830	1	1991
0831	1	1997
0832	1	2006
0833	1	2006
0834	1	1990
0835	1	1983
0836	1	1997
0837	1	2002
0838	1	2003
0839	1	2004
0840	1	1999
0841	1	2004
0842	1	2002
0843	1	1995
0844	1	2001
0845	1	2006
0846	1	1990
0847	1	1998
0848	1	1975
0849	1	1999
0850	1	2002
0851	1	1999
0852	1	1991
0853	1	1995
0854	1	1986
0855	1	1959
0856	1	1980
0857	1	1999
0858	1	1985
0859	1	1992
0860	1	2001
0861	1	2004
0862	1	2000
0863	1	1982
0864	1	1989
0865	1	2001
0866	1	2006
0867	1	2002
0868	1	2002
0869	1	2004
0870	1	1983
0871	1	1990
0872	1	1999
0873	1	2001
0874	1	1983
0875	1	2002
0876	1	2002
0877	1	2008
0878	1	2004
0879	1	1980
0880	1	1992
0881	1	1998
0882	1	2005
0883	1	1991
0884	1	1976
0885	1	1994
0886	1	1992
0887	1	1989
0888	1	2008
0889	1	2004
0890	1	2008
0891	1	2006
0892	1	1999
0893	1	1990
0894	1	2004
0895	1	1991
0896	1	2002
0897	1	1995
0898	1	1995
0899	1	1995
0900	1	2006
0901	1	2000
0902	1	1995
0903	1	2005
0904	1	2003
0905	1	2003
0906	1	2004
0907	1	2002
0908	1	1996
0909	1	1995
0910	1	1989
0911	1	1992
0912	1	1988
0913	1	2006
0914	1	1989
0915	1	2008
0916	1	2001
0917	1	1999
0918	1	1997
0919	1	1992
0920	1	1990
0921	1	1997
0922	1	1998
0923	1	2005
0924	1	2003
0925	1	1996
0926	1	1993
0927	1	2001
0928	1	1970
0929	1	1999
0930	1	2008
0931	1	1983
0932	1	1997
0933	1	2008
0934	1	1992
0935	1	2001
0936	1	1991
0937	1	1997
0938	1	1999
0939	1	1999
0940	1	1999
0941	1	1989
0942	1	1994
0943	1	1996
0944	1	1984
0945	1	1999
0946	1	1992
0947	1	2004
0948	1	1997
0949	1	2002
0950	1	2003
0951	1	2008
0952	1	1977
0953	1	1978
0954	1	1979
0955	1	1975
0956	1	1997
0957	1	1989
0958	1	2004
0959	1	1992
0960	1	1996
0961	1	2004
0962	1	1990
0963	1	1991
0964	1	1995
0965	1	1998
0966	1	2003
0967	1	1991
0968	1	2004
0969	1	1975
0970	1	2003
0971	1	2002
0972	1	2003
0973	1	2005
0974	1	1972
0975	1	2001
0976	1	2008
0977	1	1999
0978	1	1989
0979	1	1993
0980	1	1996
0981	1	1973
0982	1	1980
0983	1	1987
0984	1	1994
0985	1	1988
0986	1	1978
0987	1	1997
0988	1	1971
0989	1	1984
0990	1	1977
0991	1	1998
0992	1	1973
0993	1	1958
0994	1	1997
0995	1	1984
0996	0	<NULL>
0997	1	1989
0998	1	1971
0999	1	1996
1000	1	1991
1001	1	1970
1002	1	1996
1003	1	1997
1004	1	1971
1005	1	2006
1006	1	1997
1007	1	1991
1008	1	1980
1009	1	1988
1010	1	1977
1011	1	1990
1012	1	1984
1013	1	1970
1014	1	2006
1015	1	2008
1016	1	1990
1017	1	2002
1018	1	1996
1019	1	2004
1020	1	2005
1021	1	1992
1022	1	1999
1023	1	2004
1024	1	1997
1025	1	1987
1026	1	1999
1027	1	2008
1028	1	1990
1029	1	1991
1030	1	2008
1031	1	2001
1032	1	2006
1033	1	2000
1034	1	1997
1035	1	1980
1036	1	1990
1037	1	2001
1038	1	1976
1039	1	1987
1040	1	1994
1041	1	1996
1042	1	1989
1043	1	2008
1044	1	1987
1045	1	2004
1046	1	1995
1047	1	1986
1048	1	1988
1049	1	1995
1050	1	1989
1051	1	1970
1052	1	1987
1053	1	1988
1054	1	1980
1055	1	1985
1056	1	2008
1057	1	2005
1058	1	2005
1059	1	2006
1060	1	1989
1061	1	1991
1062	1	1976
1063	1	1989
1064	1	1988
1065	1	1991
1066	1	1991
1067	1	1996
1068	1	1981
1069	1	1987
1070	1	1973
1071	1	1985
1072	1	2002
1073	1	1977
1074	1	1995
1075	1	1990
1076	1	1987
1077	1	1994
1078	1	2005
1079	1	2000
1080	1	1993
1081	1	2003
1082	1	2001
1083	1	2003
1084	1	2008
1085	1	1983
1086	1	2002
1087	1	1974
1088	1	1996
1089	1	2006
1090	1	1992
1091	1	2002
1092	1	2003
1093	1	2007
1094	1	2003
1095	1	2004
1096	1	1978
1097	1	1987
1098	1	1995
1099	1	1979
1100	1	1980
1101	1	1990
1102	1	1995
1103	1	1983
1104	1	1982
1105	1	1977
1106	1	1984
1107	1	1987
1108	1	1977
1109	1	1988
1110	1	1989
1111	1	1984
1112	1	1988
1113	0	<NULL>
1114	1	1998
1115	1	1997
1116	1	1987
1117	1	1987
1118	1	1981
1119	1	1988
1120	1	2007
1121	1	1971
1122	1	1990
1123	1	1977
1124	1	1991
1125	1	1992
1126	1	2005
1127	1	2000
1128	1	2004
1129	1	2007
1130	1	1999
1131	1	2007
1132	1	2005
1133	1	1997
1134	1	2004
1135	1	1995
1136	1	1994
1137	1	1999
1138	1	2002
1139	1	2005
1140	1	2000
1141	1	2005
1142	1	2005
1143	1	2008
1144	1	2002
1145	1	1998
1146	1	2008
1147	1	2007
1148	1	2005
1149	1	1981
1150	1	1998
1151	1	2002
1152	1	1981
1153	1	2004
1154	1	2008
1155	1	1996
1156	1	2002
1157	1	1996
1158	1	1979
1159	1	1986
1160	1	1980
1161	1	1998
1162	1	2003
1163	1	1983
1164	1	1978
1165	1	1995
1166	1	1998
1167	1	1977
1168	1	1979
1169	1	2004
1170	1	1973
1171	1	1979
1172	1	1991
1173	1	2008
1174	1	1999
1175	1	1990
1176	1	1997
1177	1	1994
1178	1	1993
1179	1	1999
1180	1	1992
1181	1	1995
1182	1	1992
1183	1	1989
1184	1	1991
1185	1	1996
1186	1	1990
1187	1	1992
1188	1	1983
1189	1	1988
1190	1	1984
1191	1	1989
1192	1	2006
1193	1	1981
1194	1	1987
1195	1	2001
1196	1	1999
1197	1	1995
1198	1	1990
1199	1	2001
1200	1	1995
1201	1	1997
1202	1	1990
1203	1	1990
1204	1	1997
1205	1	2004
1206	1	1991
1207	1	2006
1208	1	1994
1209	1	2008
1210	1	1980
1211	1	2000
1212	1	1972
1213	1	2004
1214	1	1998
1215	1	1973
1216	1	1974
1217	1	2008
1218	1	1981
1219	1	2002
1220	1	1988
1221	1	1995
1222	1	2002
1223	1	2003
1224	1	1991
1225	1	1996
1226	1	1997
1227	1	2002
1228	1	2008
1229	1	2004
1230	1	2007
1231	1	2000
1232	1	2003
1233	1	2004
1234	1	1999
1235	1	1999
1236	1	2000
1237	1	2008
1238	1	2007
1239	1	1983
1240	1	1996
1241	1	1986
1242	1	1985
1243	1	1992
1244	1	1998
1245	1	1981
1246	1	1994
1247	1	1995
1248	1	1989
1249	1	1992
1250	1	1997
1251	1	1997
1252	1	1989
1253	1	1997
1254	1	1993
1255	1	2008
1256	1	1995
1257	1	1977
1258	1	2006
1259	1	1997
1260	1	2006
1261	1	1997
1262	1	2002
1263	1	1992
1264	1	2004
1265	1	2007
1266	1	1974
1267	1	1995
1268	1	2003
1269	1	1998
1270	1	1977
1271	1	2006
1272	1	1998
1273	1	1978
1274	1	2000
1275	1	1987
1276	1	1980
1277	1	1992
1278	1	2000
1279	1	2006
1280	1	1981
1281	1	1970
1282	1	1991
1283	1	1982
1284	1	1998
1285	1	1981
1286	1	1984
1287	1	1999
1288	1	2003
1289	1	2004
1290	1	2008
1291	1	1991
1292	1	2006
1293	1	1992
1294	1	1989
1295	1	1994
1296	1	2000
1297	1	2000
1298	1	2005
1299	1	2002
1300	1	1998
1301	1	1999
1302	1	1978
1303	1	1985
1304	1	2002
1305	1	2004
1306	1	1999
1307	1	2005
1308	1	2000
1309	1	2002
1310	1	2007
1311	1	2002
1312	1	1983
1313	1	1995
1314	1	1991
1315	1	1985
1316	1	1973
1317	1	1975
1318	1	1991
1319	1	2002
1320	1	2003
1321	1	2003
1322	1	2002
1323	1	2003
1324	1	2001
1325	1	2002
1326	1	2008
1327	1	2001
1328	1	2008
1329	1	1998
1330	1	1995
1331	1	1999
1332	1	2004
1333	1	2000
1334	1	1998
1335	1	2002
1336	1	1999
1337	1	2004
1338	1	2007
1339	1	2000
1340	1	2006
1341	1	1998
1342	1	2006
1343	1	2002
1344	1	2003
1345	1	2007
1346	1	2008
1347	1	1998
1348	1	2006
1349	1	1995
1350	1	1993
1351	1	2000
1352	1	2004
1353	1	2001
1354	1	1996
1355	1	1998
1356	1	1997
1357	1	1994
1358	1	2001
1359	1	2000
1360	1	2004
1361	1	2000
1362	1	2007
1363	1	2008
1364	1	2003
1365	1	1995
1366	1	2002
1367	1	2001
1368	1	1996
1369	1	1995
1370	1	2006
1371	1	2001
1372	1	2003
1373	1	1996
1374	1	1993
1375	1	2006
1376	1	2003
1377	1	2000
1378	1	2001
1379	1	2007
1380	1	1995
1381	1	2008
1382	1	2001
1383	1	2002
1384	1	2002
1385	1	2006
1386	1	1996
1387	1	2004
1388	1	2008
1389	1	2002
1390	1	1996
1391	1	1994
1392	1	1986
1393	1	1997
1394	1	2007
1395	1	1994
1396	1	2005
1397	1	2004
1398	1	2002
1399	1	2008
1400	1	2008
1401	1	2003
1402	1	2002
1403	1	2003
1404	1	2006
1405	1	2000
1406	1	2008
1407	1	2006
1408	1	2008
1409	1	2004
1410	1	2008
1411	1	2008
1412	1	2003
1413	1	2001
1414	1	2001
1415	1	2000
1416	1	2002
1417	1	2005
1418	1	1998
1419	1	2000
1420	1	2004
1421	1	2002
1422	1	2008
1423	1	2002
1424	1	2001
1425	1	2003
1426	1	2002
1427	1	1996
1428	1	1997
1429	1	1997
1430	1	2001
1431	1	2005
1432	1	1998
1433	1	2002
1434	1	2005
1435	1	2001
1436	1	2001
1437	1	2001
1438	1	2004
1439	1	1997
1440	1	2002
1441	1	2002
1442	1	1996
1443	1	2005
1444	1	1998
1445	1	1998
1446	1	1996
1447	1	2006
1448	1	1996
1449	1	2001
1450	1	2002
1451	1	1999
1452	1	2004
1453	1	2003
1454	1	2005
1455	1	1997
1456	1	1996
1457	1	1995
1458	1	1998
1459	1	1996
1460	1	2006
1461	1	1998
1462	1	2000
1463	1	2002
1464	1	2000
1465	1	1997
1466	1	1995
1467	1	1996
1468	1	1995
1469	1	1974
1470	1	2002
1471	1	1990
1472	1	1994
1473	1	1989
1474	1	2000
1475	1	1993
1476	1	1996
1477	1	1996
1478	1	2003
1479	1	1988
1480	1	1991
1481	1	1998
1482	1	1995
1483	1	1991
1484	1	1991
1485	1	2005
1486	1	1994
1487	1	1989
1488	1	1993
1489	1	1992
1490	1	1993
1491	1	1994
1492	1	1988
1493	1	2000
1494	1	2001
1495	1	2008
1496	1	2006
1497	1	2007
1498	1	2008
1499	1	2006
1500	1	2008
1501	1	2008
1502	1	1999
1503	1	2005
1504	1	2004
1505	1	1998
1506	1	2000
1507	1	2007
1508	1	2004
1509	1	2005
1510	1	2005
1511	1	2003
1512	1	2003
1513	1	2002
1514	1	2008
1515	1	2005
1516	1	2002
1517	1	2008
1518	1	2005
1519	1	2003
1520	1	2007
1521	1	2004
1522	1	2005
1523	1	2002
1524	1	2003
1525	1	2005
1526	1	2008
1527	1	2005
1528	1	2003
1529	1	2004
1530	1	2006
1531	1	2002
1532	1	2004
1533	1	1998
1534	1	2003
1535	1	2000
1536	1	2003
1537	1	2000
1538	1	2000
1539	1	1992
1540	1	1995
1541	1	1986
1542	1	2003
1543	1	1998
1544	1	2005
1545	1	2003
1546	1	2004
1547	1	1990
1548	1	2001
1549	1	2001
1550	1	1985
1551	1	1997
1552	1	1995
1553	1	2008
1554	1	1994
1555	1	1995
1556	1	1994
1557	1	1990
1558	1	1968
1559	1	1991
1560	1	1996
1561	1	1989
1562	1	1989
1563	1	1988
1564	1	1986
1565	1	1988
1566	1	1992
1567	1	1994
1568	1	1983
1569	0	<NULL>
1570	1	1981
1571	1	1992
1572	1	1981
1573	1	1990
1574	1	1987
1575	1	1971
1576	1	1993
1577	1	1984
1578	1	1986
1579	1	1984
1580	1	1991
1581	1	1987
1582	1	2003
1583	1	1992
1584	1	1988
1585	1	2002
1586	1	1979
1587	1	1974
1588	1	1999
1589	1	1981
1590	1	2000
1591	1	1987
1592	1	1988
1593	1	1985
1594	1	1983
1595	1	1997
1596	1	1990
1597	1	1983
1598	1	2005
1599	1	1992
1600	1	1984
1601	1	1972
1602	1	1988
1603	1	1991
1604	1	1977
1605	1	1989
1606	1	1992
1607	1	2005
1608	1	1983
1609	1	1993
1610	1	1992
1611	1	2002
1612	1	1976
1613	1	1982
1614	1	1993
1615	1	2002
1616	1	1997
1617	1	1988
1618	1	1973
1619	1	1995
1620	1	1987
1621	1	2008
1622	1	1989
1623	1	1982
1624	1	2003
1625	1	1984
1626	1	1988
1627	1	1986
1628	1	2002
1629	1	1992
1630	1	1976
1631	1	2000
1632	1	1982
1633	1	1990
1634	1	1981
1635	1	1996
1636	1	1986
1637	1	1991
1638	1	1992
1639	1	1992
1640	1	1991
1641	1	1997
1642	1	2006
1643	1	1993
1644	1	2003
1645	1	1988
1646	1	1978
1647	1	2003
1648	1	1992
1649	1	1995
1650	1	1988
1651	1	1983
1652	1	1998
1653	1	1992
1654	1	1977
1655	1	1994
1656	1	1970
1657	1	1996
1658	1	1987
1659	1	1992
1660	1	1988
1661	1	1988
1662	1	1977
1663	1	1976
1664	1	1995
1665	1	2001
1666	1	1980
1667	1	1996
1668	1	1992
1669	1	1994
1670	1	2003
1671	1	1991
1672	1	2003
1673	1	1995
1674	1	1989
1675	1	1978
1676	1	1976
1677	1	1996
1678	1	2002
1679	1	1975
1680	1	1996
1681	1	2000
1682	1	1991
1683	1	1985
1684	1	2001
1685	1	1998
1686	1	1979
1687	1	2001
1688	1	1996
1689	1	1997
1690	1	2008
1691	1	2008
1692	1	1997
1693	1	1978
1694	1	1982
1695	1	2001
1696	1	2003
1697	1	1991
1698	1	2003
1699	1	2002
1700	1	2001
1701	1	1979
1702	1	1978
1703	1	1993
1704	1	2003
1705	1	1995
1706	1	2002
1707	1	1979
1708	1	1978
1709	1	2005
1710	1	1994
1711	1	2005
1712	1	1978
1713	1	1990
1714	1	1992
1715	1	1993
1716	1	1983
1717	1	2006
1718	1	1999
1719	1	1993
1720	1	1998
1721	1	2001
1722	1	2006
1723	1	1985
1724	1	2000
1725	1	1994
1726	1	2008
1727	1	1970
1728	1	1991
1729	1	2004
1730	1	1978
1731	1	1976
1732	1	1991
1733	1	1976
1734	1	1999
1735	1	1996
1736	1	1978
1737	1	1974
1738	1	2003
1739	1	2005
1740	1	2000
1741	1	1983
1742	1	2007
