book	bookdepository	publisher
0182	1	Simon &amp; Schuster
0183	1	Simon &amp; Schuster
0184	1	Elsevier Health Sciences
0185	1	Bloomsbury Publishing PLC
0186	1	Bloomsbury Publishing PLC
0187	1	Walker Books Ltd
0188	1	Penguin Books Ltd
0189	1	Hay House Inc
0190	1	DC Comics
0191	1	HarperCollins Publishers Inc
0192	1	Lonely Planet Publications Ltd
0193	1	Headline Publishing Group
0194	1	David &amp; Charles
0195	1	Scholastic Paperbacks
0196	1	Harlequin
0197	1	Murdoch Books
0198	0	<NULL>
0199	1	Hyperion Books
0200	1	Anchor Books
0201	1	ABRAMS
0202	1	Penguin Putnam Inc
0203	1	Bantam Doubleday Dell Publishing Group Inc
0204	1	Vintage Books USA
0205	1	Penguin Books Ltd
0206	1	Cornerstone
0207	1	CCV
0208	1	HarperCollins Publishers Inc
0209	1	Avon Books
0210	1	Oni Press,US
0211	1	Random House Children&#039;s Books
0212	1	Wordsworth Editions Ltd
0213	1	Constable and Robinson
0214	1	Hyperion Books
0215	1	St. Martin&#039;s Griffin
0216	1	Pan Macmillan (Digital)
0217	1	Pan Macmillan
0218	1	Europa Editions
0219	1	Ebury Press
0220	1	Simon &amp; Schuster Audio
0221	1	HarperCollins
0222	0	<NULL>
0223	1	David C Cook Publishing Company
0224	1	Atlantic Books
0225	1	Atlantic Books
0226	1	Pearson Education Limited
0227	1	Crown Publishing Group (NY)
0228	1	Pan Macmillan
0229	1	Moleskine srl
0230	1	Large Print Press
0231	1	Amphoto Books
0232	1	Caedmon
0233	1	Penguin Books Ltd
0234	1	Penguin Books Ltd
0235	1	Crown Publishing Group (NY)
0236	1	Houghton Mifflin Harcourt (HMH)
0237	1	Pan Macmillan
0238	1	Hodder &amp; Stoughton General Division
0239	1	Nicholas Brealey Publishing
0240	1	HarperCollins Publishers Inc
0241	1	Berkley
0242	1	Cengage Learning EMEA
0243	1	Wordsworth Editions Ltd
0244	1	Simon &amp; Schuster Ltd
0245	1	Simon &amp; Schuster Ltd
0246	1	Ebury Press
0247	1	HarperCollins Publishers Inc
0248	1	Scholastic Paperbacks
0249	1	Random House USA Inc
0250	1	Scholastic Press
0251	1	F&amp;W Publications Inc
0252	1	Zondervan
0253	1	Simon &amp; Schuster
0254	1	Pan Macmillan
0255	1	HarperCollins Publishers Inc
0256	1	Rodale Press
0257	1	Gotham Books
0258	1	Focal Press
0259	1	Globe Pequot Press
0260	1	Random House Audio
0261	1	Ballantine Books
0262	1	Shambhala Publications Inc
0263	1	Image Comics
0264	1	Modern Language Assn of Amer
0265	1	NavPress
0266	1	Bloomsbury Publishing Plc
0267	1	Harvard University Press
0268	1	Bloomsbury Publishing PLC
0269	1	Free Press
0270	1	Razorbill
0271	1	Dutton Books
0272	1	Algonquin Books of Chapel Hill
0273	1	Washington Square Press
0274	1	Ecco
0275	1	Spiegel &amp; Grau
0276	1	Back Bay Books
0277	1	Hachette Book Group USA
0278	1	Alfred A. Knopf Books for Young Readers
0279	1	Elsevier Health Sciences
0280	1	Random House USA Inc
0281	1	Pearson Education (US)
0282	0	<NULL>
0283	1	Penguin Books Ltd
0284	1	Elsevier Australia
0285	1	Penguin Books
0286	1	Hardie Grant Books
0287	1	Bloomsbury Publishing PLC
0288	1	Bantam Doubleday Dell Publishing Group Inc
0289	1	Random House Audio
0290	1	Bantam Doubleday Dell Publishing Group Inc
0291	1	Thames &amp; Hudson Ltd
0292	1	Penguin Putnam Inc
0293	1	Random House USA Inc
0294	1	HarperCollins Publishers Inc
0295	1	Scribner Book Company
0296	1	Hachette Audio
0297	1	Macmillan USA
0298	1	Doubleday Books
0299	1	Walker Books Ltd
0300	1	Taylor &amp; Francis Ltd
0301	1	Tantor Media, Inc
0302	1	Random House (Digital)
0303	1	PENGUIN Group (USA) Inc.
0304	1	Penguin Books
0305	1	Dial Books
0306	1	Penguin Group USA
0307	1	Penguin Books Ltd
0308	1	Random House USA Inc
0309	1	Penguin Books Ltd
0310	1	Penguin Books Ltd
0311	1	Penguin Books Ltd
0312	1	Penguin Books Ltd
0313	1	Penguin Books Ltd
0314	1	CCV
0315	1	Ebury Press
0316	1	HarperAudio
0317	1	HarperCollins Publishers Inc
0318	1	ReganBooks
0319	1	Harper
0320	1	HarperCollins Publishers
0321	1	HarperCollins Publishers
0322	1	Brookings Institution
0323	1	Kodansha International Ltd
0324	1	Oxford University Press
0325	1	Oni Press,US
0326	1	McSweeney&#039;s Books
0327	1	Chelsea Green Publishing Co
0328	1	Thorndike Press
0329	1	Little, Brown Book Group
0330	1	ACP Publishing Pty Ltd
0331	1	Saint Martin&#039;s Press Inc.
0332	1	MacMillan Audio
0333	1	Little, Brown Book Group
0334	1	Audio Renaissance, Div of Holtzbrink Publishers
0335	1	Little, Brown Book Group
0336	1	Laurence King Publishing
0337	1	F&amp;W Publications Inc
0338	1	Griffin Publishing
0339	1	Pan Macmillan
0340	1	HarperCollins Publishers Inc
0341	1	Grove Press
0342	1	Granta Books
0343	1	Saint Martin&#039;s Press Inc.
0344	1	Ebury Press
0345	1	Little, Brown Book Group
0346	1	Ace Books
0347	1	David &amp; Charles
0348	1	Stewart, Tabori &amp; Chang Inc
0349	1	Hyperion Books
0350	1	Dutton Books
0351	1	Gallup Press
0352	1	Gallup Press
0353	1	Melbourne University Press
0354	1	Harpercollins Childrens Books
0355	1	Harpercollins
0356	1	Hachette Children&#039;s Books
0357	1	Oxmoor House, Incorporated
0358	1	Free Press
0359	1	Chronicle Books
0360	1	New Holland Publishers Ltd
0361	1	Hyperion Books
0362	1	Transworld Publishers Ltd
0363	0	<NULL>
0364	1	HarperTorch
0365	1	Bloomsbury Publishing PLC
0366	1	Bloomsbury Publishing PLC
0367	1	Bloomsbury Publishing PLC
0368	1	Elsevier Health Sciences
0369	1	Hodder Education
0370	1	Three Rivers Press
0371	1	Penguin Putnam Inc
0372	1	CCV
0373	1	Oxford University Press
0374	1	Chronicle Books
0375	1	Stewart, Tabori &amp; Chang Inc
0376	1	Chronicle Books
0377	1	Cornerstone
0378	1	Simon &amp; Schuster Ltd
0379	1	Chronicle Books
0380	1	Outreach Inc
0381	1	Marvel Comics
0382	1	Marvel Comics
0383	1	Mira Books
0384	1	Mira Books
0385	1	Hachette Children&#039;s Books
0386	1	Pan Macmillan
0387	1	Elsevier Health Sciences
0388	1	Random House USA Inc
0389	1	Orion Publishing Co
0390	1	Penguin Putnam Inc
0391	1	Audio Verlag Der GmbH
0392	1	Penguin Books Ltd
0393	1	Orion Publishing Co
0394	1	Bantam Doubleday Dell Publishing Group Inc
0395	1	Digireads.com
0396	1	Penguin Putnam Inc
0397	1	Signet Book
0398	1	NAL Jam Books
0399	1	Penguin Putnam Inc
0400	1	New American Library
0401	1	Elsevier Health Sciences
0402	1	Bantam Doubleday Dell Publishing Group Inc
0403	1	Ace Books
0404	1	Penguin Books Ltd
0405	1	Putnam Adult
0406	1	Little Brown and Company
0407	1	Orion Publishing Co
0408	1	WW Norton &amp; Co
0409	1	Perfection Learning
0410	1	Little, Brown Book Group
0411	1	Hodder &amp; Stoughton General Division
0412	1	Open University Press
0413	1	Pan Macmillan
0414	1	Random House Publishing Group
0415	1	Pan Macmillan
0416	1	Ballantine Books
0417	1	Book Publishing Company
0418	1	Pan Macmillan
0419	1	Pearson Education (US)
0420	1	Little, Brown &amp; Company
0421	1	Saint Martin&#039;s Press Inc.
0422	1	Crown Archetype
0423	1	HarperCollins Publishers
0424	1	Delacorte Press Books for Young Readers
0425	1	Speak
0426	1	Pan Macmillan
0427	1	Penguin Books Ltd
0428	1	Penguin Books Ltd
0429	1	Penguin Books Ltd
0430	1	HarperCollins Publishers
0431	1	Pearson Education (US)
0432	1	Bellevue Literary Press
0433	1	CCV
0434	1	Penguin Books Ltd
0435	1	HarperCollins Publishers Inc
0436	1	HarperCollins Publishers Inc
0437	1	Simon &amp; Schuster
0438	1	It Books
0439	1	Blackstone Audiobooks
0440	1	Razorbill
0441	1	HarperCollins
0442	1	New World Library
0443	1	New World Library
0444	1	New World Library
0445	1	Harper Teen
0446	1	John Murray General Publishing Division
0447	1	Candlewick Press (MA)
0448	1	WW Norton &amp; Co
0449	1	Owl Books (NY)
0450	1	Avon Books
0451	1	Harpercollins
0452	1	HarperCollins Publishers
0453	1	HarperCollins Publishers
0454	1	Authentic Media
0455	1	Little, Brown Book Group
0456	1	Penguin Books Ltd
0457	1	Rowman &amp; Littlefield
0458	1	VeloPress
0459	1	Methuen Publishing Ltd
0460	1	Autism Asperger Publishing Co,US
0461	1	Future Horizons Incorporated
0462	1	Random House USA Inc
0463	1	Little, Brown Young Readers
0464	1	Murdoch Books
0465	1	Scholastic US
0466	1	Viz Media
0467	1	Little, Brown Book Group
0468	1	Little, Brown &amp; Company
0469	1	Merrell Publishers Ltd
0470	1	Audio Renaissance, Div of Holtzbrink Publishers
0471	1	Wordsworth Editions Ltd
0472	1	Naxos AudioBooks
0473	1	Overlook Press
0474	1	Hay House Inc
0475	1	Berrett-Koehler
0476	1	Vintage Books USA
0477	1	Random House USA Inc
0478	1	Canongate Books Ltd
0479	1	Vintage Books USA
0480	1	Pan Macmillan
0481	1	Quadrille Publishing Ltd
0482	1	Simon &amp; Schuster Children&#039;s Publishing
0483	1	Simon &amp; Schuster Ltd
0484	1	Blackstone Audiobooks
0485	0	<NULL>
0486	1	Quercus Publishing Plc
0487	1	Quercus Publishing Plc
0488	1	Quercus Publishing Plc
0489	1	John Hunt Publishing
0490	1	Apple Press
0491	1	Apple Press
0492	1	Search Press Ltd
0493	1	David &amp; Charles
0494	1	Poisoned Pen Press
0495	1	Penguin Books Ltd
0496	1	Chronicle Books
0497	1	Lonely Planet Publications Ltd
0498	1	Lonely Planet Publications Ltd
0499	1	Murdoch Books
0500	1	Image Comics
0501	1	Cartoon Books,US
0502	1	Penguin Books Ltd
0503	1	Avery Publishing Group Inc.,U.S.
0504	1	Simon &amp; Schuster Ltd
0505	1	Ebury Press
0506	1	Chronicle Books
0507	1	Chronicle Books
0508	1	Lark Books,U.S.
0509	1	Paizo Publishing, LLC
0510	1	Experiment
0511	1	Left to Write Press
0512	1	Ryland, Peters &amp; Small Ltd
0513	1	Riverhead Hardcover
0514	1	Simon &amp; Schuster Audio
0515	1	Chelsea House Publishers
0516	1	Guilford Publications
0517	1	Guilford Publications
0518	1	Guilford Publications
0519	1	Guilford Publications
0520	1	North Atlantic Books,U.S.
0521	1	Hay House Inc
0522	1	Our Sunday Visitor Inc.,U.S.
0523	1	Houghton Mifflin Harcourt (HMH)
0524	1	Martingale &amp; Company
0525	1	That Patchwork Place
0526	1	Princeton Architectural Press
0527	1	AVA Publishing SA
0528	1	Simon &amp; Schuster
0529	1	Hodder &amp; Stoughton Childrens Division
0530	1	Hachette Children&#039;s Books
0531	1	Simon &amp; Schuster
0532	1	Pocket Books
0533	1	Berkley
0534	1	HarperCollins Publishers Inc
0535	1	Pocket Books
0536	1	Simon &amp; Schuster
0537	1	Gallery Press
0538	1	Citadel Press
0539	1	Farrar Straus Giroux
0540	1	Simon &amp; Schuster
0541	1	Simon &amp; Schuster
0542	1	Hachette Filipacchi Media
0543	1	Pan Macmillan (Digital)
0544	1	Ballantine Books
0545	1	Simon + Schuster UK
0546	1	Simon &amp; Schuster Audio
0547	1	Pocket Star Books
0548	1	Large Print Press
0549	1	Orion Publishing Co
0550	1	Lonely Planet Publications Ltd
0551	1	HarperCollins Publishers
0552	1	Hyperion E-Books
0553	1	Hyperion Books
0554	1	DC Comics
0555	1	Image Comics
0556	1	Titan Books Ltd
0557	1	DC Comics
0558	1	Spiegel &amp; Grau
0559	1	Ebury Press
0560	1	Anomalos Publishing
0561	1	WW Norton &amp; Co
0562	1	Pear Press
0563	1	Artisan
0564	1	Lars Muller Publishers
0565	1	One Club for Art &amp; Copy Inc.,U.S.
0566	1	Whitford Press,U.S.
0567	1	Black Belt Communications
0568	1	Black Belt Communications
0569	1	Contemporary Books Inc
0570	1	Self-Realization Fellowship,U.S.
0571	1	Digireads.com
0572	1	Digireads.com
0573	1	Self-Realization Fellowship,U.S.
0574	1	Self-Realization Fellowship,U.S.
0575	1	Tor Books
0576	1	Llewellyn Publications,U.S.
0577	1	Griffin Publishing
0578	1	Wizards of the Coast
0579	1	Wizards of the Coast
0580	1	Chicago Review Press
0581	1	Mira Books
0582	1	Mira Books
0583	1	Mira Books
0584	1	Mira Books
0585	1	Mira Books
0586	1	Random House Publishing Group
0587	1	Jones and Bartlett Publishers, Inc
0588	1	Prima Games
0589	1	Workman Publishing
0590	1	Simon &amp; Schuster Ltd
0591	1	Headline Publishing Group
0592	1	CCV
0593	1	Human Kinetics Publishers
0594	1	Oxford University Press
0595	1	Ebury Press
0596	1	Hodder &amp; Stoughton General Division
0597	1	David &amp; Charles
0598	1	David &amp; Charles
0599	1	David &amp; Charles
0600	0	<NULL>
0601	1	Penguin Books Ltd
0602	0	<NULL>
0603	1	HarperCollins Publishers
0604	1	Penguin Putnam Inc
0605	1	Random House USA Inc
0606	1	Oxford University Press
0607	1	Faber and Faber
0608	1	Canongate Books Ltd
0609	1	Kensington Publishing Corporation
0610	1	Kensington Publishing
0611	1	Bantam
0612	1	Tantor Media, Inc
0613	1	Bantam
0614	1	Bantam Doubleday Dell Publishing Group Inc
0615	1	Random House Children&#039;s Books
0616	1	Random House Children&#039;s Books
0617	1	Random House Children&#039;s Books
0618	1	Tantor Media, Inc
0619	1	Mariner Books
0620	1	HarperCollins Publishers
0621	1	Pan Macmillan
0622	1	Pan Macmillan
0623	1	Little Brown and Company
0624	1	Phaidon Press Ltd
0625	1	Book Publishing Company
0626	1	Avery Publishing Group
0627	1	Aurum Press Ltd
0628	1	Pan Macmillan
0629	1	Bantam
0630	1	Yale University Press
0631	1	Bloomsbury Publishing PLC
0632	1	Candlewick Press (MA)
0633	1	Scholastic US
0634	1	The University Press Group Ltd
0635	1	Bantam Doubleday Dell Publishing Group Inc
0636	1	Penguin Putnam Inc
0637	1	Brilliance Corporation
0638	1	Penguin Putnam Inc
0639	1	Netherlands Architecture Institute (NAi Uitgevers/Publishers)
0640	1	Oxford University Press (Digital)
0641	1	The Perseus Books Group
0642	1	Verso Books
0643	1	Simon &amp; Schuster Ltd
0644	1	Roc
0645	1	Roc
0646	1	Tor Books
0647	1	Penguin Putnam Inc
0648	1	Signet Book
0649	1	Pocket Books
0650	1	Penguin Putnam Inc
0651	1	Signet Book
0652	1	Vintage Books USA
0653	1	Hachette Audio
0654	1	Grand Central Publishing
0655	1	Warner Books
0656	1	Warner Vision
0657	0	<NULL>
0658	1	HighBridge Audio
0659	1	Griffin Publishing
0660	1	Ace Books
0661	1	Ace Books
0662	1	Dell Books
0663	0	<NULL>
0664	0	<NULL>
0665	1	Dell Publishing
0666	1	Dell Publishing Company
0667	1	Bantam Doubleday Dell Publishing Group Inc
0668	1	Random House
0669	1	Dell Publishing Company
0670	1	Dell
0671	1	Bantam Doubleday Dell Publishing Group Inc
0672	1	HarperCollins Publishers Inc
0673	1	Penguin Putnam Inc
0674	1	Berkley
0675	1	Penguin Putnam Inc
0676	1	Methuen Publishing Ltd
0677	1	CCV
0678	1	CCV
0679	1	WW Norton &amp; Co
0680	1	Avon Books
0681	1	Delacorte Press Books for Young Readers
0682	1	Random House Children&#039;s Books
0683	1	Random House Books for Young Readers
0684	1	Random House Books for Young Readers
0685	1	Random House USA Inc
0686	1	Random House USA Inc
0687	1	Random House USA Inc
0688	1	Farrar, Straus &amp; Giroux Inc
0689	1	Farrar, Straus &amp; Giroux Inc
0690	1	Beacon Press
0691	1	www.bnpublishing.com
0692	1	Harlequin Mills &amp; Boon
0693	1	Silhouette Books
0694	1	Eos
0695	1	Cornerstone
0696	1	Cornerstone
0697	1	Delta
0698	1	Ballantine Books
0699	1	Ballantine Books
0700	1	Ballantine Books
0701	1	Random House USA Inc
0702	1	Hodder &amp; Stoughton General Division
0703	1	Back Bay Books
0704	1	Celestial Arts
0705	1	Pan Macmillan
0706	1	Pearson Education (US)
0707	1	Peachpit Press
0708	1	New Riders Publishing
0709	1	Elsevier Science &amp; Technology
0710	1	Little, Brown Book Group
0711	1	Little Brown and Company
0712	1	Berkley
0713	1	Bedford Books
0714	1	Henry Holt &amp; Company
0715	1	Zondervan
0716	1	Thomas Nelson Publishers
0717	1	Zondervan
0718	1	Zondervan
0719	1	Zondervan
0720	1	Three Rivers Press (CA)
0721	1	Random House Audio
0722	1	John Wiley and Sons Ltd
0723	1	Pearson Education Limited
0724	1	Pan Macmillan
0725	1	Ignatius Press
0726	1	Continuum International Publishing Group Ltd.
0727	1	Penguin Press
0728	1	Penguin Books Ltd
0729	1	Random House USA Inc
0730	1	Puffin Books
0731	1	Puffin Books
0732	1	Random House Children&#039;s Books
0733	1	Penguin Books Ltd
0734	1	Little, Brown Books for Young Readers
0735	1	Random House USA Inc
0736	1	Faber and Faber
0737	1	Penguin Books Ltd
0738	1	Penguin Books Ltd
0739	1	William Morrow &amp; Company
0740	1	Penguin Books Ltd
0741	1	Penguin Books Ltd
0742	1	Penguin Books Ltd
0743	1	Tantor Media, Inc
0744	1	Penguin Books Ltd
0745	1	Quercus Publishing Plc
0746	1	Harper Paperbacks
0747	1	Arrow Books Ltd
0748	1	Ebury Press
0749	1	Simon &amp; Schuster
0750	1	McGraw-Hill Education - Europe
0751	1	HarperCollins Publishers Inc
0752	1	The University Press Group Ltd
0753	1	Oxford University Press Inc
0754	1	St. Martin&#039;s Press
0755	1	Random House Children&#039;s Books
0756	1	HarperCollins Publishers Inc
0757	1	Ecco
0758	1	Pan Macmillan
0759	1	Picador USA
0760	1	HarperCollins Publishers
0761	1	HarperCollins Publishers
0762	1	HarperCollins Publishers
0763	1	Rockport Publishers Inc.
0764	1	Moleskine srl
0765	1	Moleskine srl
0766	1	Steidl Publishers
0767	1	Taschen GmbH
0768	1	Distribooks Inc
0769	1	Editions 84
0770	1	Marvel Comics
0771	1	Rodale Press
0772	1	DeVorss &amp; Co ,U.S.
0773	1	Peace Hill Press
0774	1	Jessica Kingsley Publishers
0775	1	Future Horizons Incorporated
0776	1	Old Street Publishing
0777	1	Soho Press
0778	1	Stacey International
0779	1	Penguin Books Ltd
0780	1	Grub Street
0781	1	Floris Books
0782	1	Amber-Allen Publishing,U.S.
0783	1	Sterling Epicure
0784	1	Wordsworth Editions Ltd
0785	1	Pan Macmillan
0786	1	Wildside Press
0787	1	Wordsworth Editions Ltd
0788	1	Wordsworth Editions Ltd
0789	1	Random House USA Inc
0790	1	Wordsworth Editions Ltd
0791	1	Razorbill
0792	1	Cornerstone
0793	1	Listening Library
0794	1	CSA WORD
0795	1	Filiquarian Publishing
0796	1	Random House Audio
0797	1	Knopf Publishing Group
0798	1	Potter Style
0799	1	Moody Press,U.S.
0800	1	Cornerstone
0801	1	Harper Perennial
0802	1	Random House USA Inc
0803	1	Random House USA Inc
0804	1	Simon &amp; Schuster Ltd
0805	1	Farrar Straus Giroux
0806	1	Quercus Publishing Plc
0807	1	Houghton Mifflin Harcourt (HMH)
0808	1	Quercus Publishing Plc
0809	1	Quercus Publishing Plc
0810	1	John Wiley and Sons Ltd
0811	1	John Wiley and Sons Ltd
0812	1	Floris Books
0813	1	Doubleday Books
0814	1	Riverhead Hardcover
0815	0	<NULL>
0816	1	Simon &amp; Schuster
0817	1	Pocket Books
0818	1	Touchstone Books
0819	1	Simon &amp; Schuster Ltd
0820	1	Simon &amp; Schuster Ltd
0821	1	HarperCollins Publishers
0822	1	HarperCollins Publishers
0823	1	Profile Books Ltd
0824	1	Penguin Books Ltd
0825	1	Titan Books Ltd
0826	1	DC Comics
0827	1	powerHouse Books,U.S.
0828	1	Games Workshop
0829	1	Black Library
0830	1	PM Press
0831	1	Daw Books
0832	1	Daw Books
0833	1	HarperCollins Publishers
0834	1	Random House USA Inc
0835	1	HarperCollins
0836	1	Faber and Faber
0837	1	Wordsworth Editions Ltd
0838	1	Olympia Press
0839	1	Random House Trade
0840	1	Brilliance Corporation
0841	1	Random House Trade
0842	1	Random House Publishing Group
0843	1	Murdoch Books
0844	1	The Five Mile Press Pty Ltd
0845	1	Lonely Planet Publications Ltd
0846	1	Lonely Planet Publications Ltd
0847	1	Lonely Planet Publications Ltd
0848	1	Lonely Planet Publications Ltd
0849	1	Lonely Planet Publications Ltd
0850	1	Lonely Planet Publications Ltd
0851	1	Lonely Planet Publications Ltd
0852	1	Lonely Planet Publications Ltd
0853	1	Lonely Planet Publications Ltd
0854	1	Edimat Libros
0855	1	Human Kinetics Publishers
0856	1	Rodale Press
0857	1	Storey Publishing LLC
0858	1	David &amp; Charles
0859	1	Guilford Publications
0860	1	Ebury Press
0861	1	Kalmbach Publishing Company
0862	1	Idea &amp; Design Works
0863	1	Idea &amp; Design Works
0864	1	Titan Books Ltd
0865	1	NTC Publishing Group,U.S.
0866	1	Dark Horse Comics,U.S.
0867	1	Dark Horse Comics,U.S.
0868	1	St. Martin&#039;s Griffin
0869	1	Ave Maria Press
0870	1	No Starch Press,US
0871	1	Scholastic US
0872	1	No Starch Press,US
0873	1	Shambhala Publications Inc
0874	1	Shambhala Publications Inc
0875	1	Yale University Press
0876	1	Scholastic US
0877	1	Harvard Business School Publishing
0878	1	Random House Inc
0879	1	Plural Publishing
0880	1	Jeremy P. Tarcher
0881	1	F&amp;W Publications Inc
0882	1	Pan Macmillan
0883	1	Stewart, Tabori &amp; Chang Inc
0884	1	MIT Press Ltd
0885	1	HarperCollins Publishers Inc
0886	1	New Holland Publishers Ltd
0887	1	Ten Speed Press
0888	1	Fireside
0889	1	The Perseus Books Group
0890	1	Springer-Verlag New York Inc.
0891	1	Penguin Putnam Inc
0892	1	New Harbinger Publications,U.S.
0893	1	Ulysses Press
0894	1	JR Books Ltd
0895	1	Anova Books
0896	1	Digital Manga
0897	1	Digital Manga
0898	1	Digital Manga
0899	1	Send The Light
0900	1	Martingale &amp; Company
0901	1	Little, Brown &amp; Company
0902	1	Little, Brown &amp; Company
0903	1	North Atlantic Books,U.S.
0904	1	Harlequin
0905	1	Bantam Doubleday Dell Publishing Group Inc
0906	1	Harper Teen
0907	1	Hachette Children&#039;s Books
0908	1	Hodder &amp; Stoughton General Division
