book	deepdiscount	publication_date
0148	1	08/01/2003
0149	1	01/01/1989
0150	1	06/26/2007
0151	1	02/03/2009
0152	1	05/25/2010
0153	1	05/11/2010
0154	1	11/21/2009
0155	1	08/30/2009
0156	1	01/01/1995
0157	1	06/01/1998
0158	1	03/20/2007
0159	1	01/26/2010
0160	1	09/12/2006
0161	1	05/01/2008
0162	1	03/01/2003
0163	1	05/01/2002
0164	1	11/06/2007
0165	1	01/06/2009
0166	1	05/01/1999
0167	1	04/08/2008
0168	1	07/01/2004
0169	1	02/01/2002
0170	1	02/18/2009
0171	1	08/26/2008
0172	1	04/14/2001
0173	1	10/25/2005
0174	1	09/01/2007
0175	1	11/01/1986
0176	1	03/01/2005
0177	1	07/01/2002
0178	1	03/27/2007
0179	1	03/26/2008
0180	1	03/01/2000
0181	1	06/22/2010
0182	1	01/01/2002
0183	1	03/01/2001
0184	1	03/01/1994
0185	1	01/01/1995
0186	1	09/30/2009
0187	1	03/01/2002
0188	1	11/01/1992
0189	1	09/15/2004
0190	1	09/02/2009
0191	1	04/01/2003
0192	1	09/16/2008
0193	1	05/01/2002
0194	1	08/01/1995
0195	1	09/29/2009
0196	1	11/18/2008
0197	1	09/30/2009
0198	1	03/01/2008
0199	1	01/01/2008
0200	1	08/11/2009
0201	1	06/01/2010
0202	1	01/12/2010
0203	1	01/11/1999
0204	1	02/23/2010
0205	1	10/01/1997
0206	1	10/30/2007
0207	1	03/25/2008
0208	1	04/01/2004
0209	1	08/01/2003
0210	1	04/01/1997
0211	1	01/27/2009
0212	1	09/01/2006
0213	1	10/27/2009
0214	1	01/01/2008
0215	1	10/27/2009
0216	1	06/01/1997
0217	1	07/01/1989
0218	1	07/01/2003
0219	1	10/14/2008
0220	1	09/01/2009
0221	1	11/01/1993
0222	1	08/21/2007
0223	1	01/08/2008
0224	1	09/14/2007
0225	1	05/13/2010
0226	1	07/01/2004
0227	1	09/01/1995
0228	1	11/01/2009
0229	1	11/01/1996
0230	1	10/08/2007
0231	1	09/01/2000
0232	1	02/26/2008
0233	1	02/05/2010
0234	1	07/06/2010
0235	1	02/23/2010
0236	1	09/01/2007
0237	1	05/30/2006
0238	1	04/28/2006
0239	1	07/01/1995
0240	1	08/31/2009
0241	1	03/05/2007
0242	1	10/01/2001
0243	1	04/30/2005
0244	1	08/18/2004
0245	1	08/28/2007
0246	1	05/25/2010
0247	1	06/01/2010
0248	1	09/01/2009
0249	1	06/01/2010
0250	1	10/20/2009
0251	1	02/01/2010
0252	1	03/04/2008
0253	1	11/06/2007
0254	1	04/08/2008
0255	1	08/07/2007
0256	1	10/01/1999
0257	1	09/01/2009
0258	1	09/01/2007
0259	1	08/20/2009
0260	1	06/01/2009
0261	1	09/28/2004
0262	1	05/01/2003
0263	1	11/01/2007
0264	1	10/01/2003
0265	1	08/04/2009
0266	1	07/01/2007
0267	1	12/23/1996
0268	1	01/01/1991
0269	1	01/01/2004
0270	1	06/03/2008
0271	1	12/26/2005
0272	1	07/01/2010
0273	1	05/01/2002
0274	1	09/09/2008
0275	1	05/01/2004
0276	1	05/04/2010
0277	1	12/01/2008
0278	1	04/28/2009
0279	1	03/23/2010
0280	1	10/01/2007
0281	1	01/01/2009
0282	1	03/01/1996
0283	1	06/01/2010
0284	1	02/01/2001
0285	1	11/30/1999
0286	1	04/14/2009
0287	1	11/01/2007
0288	1	08/25/2009
0289	1	08/28/2007
0290	1	10/01/2002
0291	1	01/21/2010
0292	1	08/01/2008
0293	1	06/10/2008
0294	1	09/08/2009
0295	1	08/19/2008
0296	1	02/01/2010
0297	1	05/05/2009
0298	1	09/01/2004
0299	1	04/01/1989
0300	1	08/01/2003
0301	1	09/08/2009
0302	1	04/01/2000
0303	1	10/01/2003
0304	1	09/08/2009
0305	1	03/23/2010
0306	1	11/04/2008
0307	1	01/01/2009
0308	1	10/04/2004
0309	1	08/26/2009
0310	1	03/01/1990
0311	1	01/02/2007
0312	1	12/01/2007
0313	1	10/15/2002
0314	1	02/10/2010
0315	1	01/07/2011
0316	1	07/01/2003
0317	1	10/01/1995
0318	1	10/11/2005
0319	1	04/18/2006
0320	1	08/04/2009
0321	1	06/19/2000
0322	1	05/04/2010
0323	1	05/01/2000
0324	1	04/01/1998
0325	1	01/01/2004
0326	1	01/26/2010
0327	1	09/05/2006
0328	1	08/04/2009
0329	1	05/01/2004
0330	1	04/01/2006
0331	1	05/18/2010
0332	1	12/01/2009
0333	1	06/01/2003
0334	1	06/06/2006
0335	1	12/15/2008
0336	1	08/11/2009
0337	1	08/02/2005
0338	1	05/01/1998
0339	1	04/21/2008
0340	1	10/02/2003
0341	1	04/22/2008
0342	1	01/01/2003
0343	1	05/01/1989
0344	1	08/28/2006
0345	1	12/29/2009
0346	1	07/01/1991
0347	1	08/05/2009
0348	1	12/01/2003
0349	1	01/01/2000
0350	1	01/05/2010
0351	1	01/15/2009
0352	1	03/23/1998
0353	1	10/27/2005
0354	1	08/13/2008
0355	1	05/02/2006
0356	1	10/13/2009
0357	1	03/07/2007
0358	1	07/27/2010
0359	1	04/17/2007
0360	1	09/01/1989
0361	1	06/22/2010
0362	1	01/15/2008
0363	1	01/01/1970
0364	1	10/01/2004
0365	1	05/02/2005
0366	1	03/01/2003
0367	1	07/17/2007
0368	1	03/01/2005
0369	1	02/01/2004
0370	1	02/09/2010
0371	1	12/01/1996
0372	1	05/22/2007
0373	1	10/13/2009
0374	1	12/01/1997
0375	1	09/12/2006
0376	1	05/01/1995
0377	1	09/16/2008
0378	1	10/01/1998
0379	1	05/01/2007
0380	1	07/26/2008
0381	1	12/01/2007
0382	1	08/01/2004
0383	1	09/01/2001
0384	1	10/01/2005
0385	1	01/01/2000
0386	1	04/01/2004
0387	1	04/18/2005
0388	1	06/01/1997
0389	1	01/03/2006
0390	1	02/01/2006
0391	1	07/01/2004
0392	1	11/01/2002
0393	1	12/01/2002
0394	1	08/01/2002
0395	1	07/01/1999
0396	1	09/15/2009
0397	1	10/28/2009
0398	1	08/15/2001
0399	1	05/02/2006
0400	1	06/01/1998
0401	1	03/31/2005
0402	1	02/10/2009
0403	1	08/01/2007
0404	1	05/12/2009
0405	1	07/27/2010
0406	1	04/30/2007
0407	1	12/10/2005
0408	1	05/01/1999
0409	1	02/01/1999
0410	1	03/27/2007
0411	1	09/20/2007
0412	1	07/21/2009
0413	1	02/02/2010
0414	1	02/28/2004
0415	1	01/25/2007
0416	1	02/23/2010
0417	1	05/01/1993
0418	1	06/12/2006
0419	1	11/24/2009
0420	1	02/01/2008
0421	1	01/02/2008
0422	1	07/01/2003
0423	1	09/22/2009
0424	1	04/22/2009
0425	1	11/29/2005
0426	1	06/29/2010
0427	1	01/01/2006
0428	1	01/01/2008
0429	1	02/09/2010
0430	1	05/01/1998
0431	1	05/01/2005
0432	1	06/01/2010
0433	1	12/01/2009
0434	1	10/01/2000
0435	1	11/01/1990
0436	1	04/06/2010
0437	1	07/01/1996
0438	1	10/01/1995
0439	1	08/01/1988
0440	1	11/03/2009
0441	1	05/06/2008
0442	1	10/01/1999
0443	1	03/01/2000
0444	1	06/03/2008
0445	1	10/01/2006
0446	1	01/01/2006
0447	1	10/01/1996
0448	1	03/07/2006
0449	1	03/01/2006
0450	1	06/22/2009
0451	1	12/04/2009
0452	1	05/30/2006
0453	1	07/01/2002
0454	1	03/01/2009
0455	1	11/01/2006
0456	1	10/25/2005
0457	1	06/15/2007
0458	1	08/01/2005
0459	1	04/29/2008
0460	1	03/15/2007
0461	1	09/29/2009
0462	1	12/01/1993
0463	1	04/29/2008
0464	1	08/01/1997
0465	1	04/27/2010
0466	1	02/03/2009
0467	1	07/01/1995
0468	1	06/15/2007
0469	1	01/01/2008
0470	1	05/01/2002
0471	1	04/29/2008
0472	1	08/01/1997
0473	1	06/01/1965
0474	1	06/01/2004
0475	1	02/02/2010
0476	1	04/01/2007
0477	1	12/29/2009
0478	1	06/01/2004
0479	1	06/06/1996
0480	1	04/30/2005
0481	1	07/15/2008
0482	1	01/12/2010
0483	1	12/29/2009
0484	1	04/11/2007
0485	1	10/01/2007
0486	1	10/19/2009
0487	1	08/30/2005
0488	1	03/04/2008
0489	1	04/01/2010
0490	1	10/01/2008
0491	1	12/01/1998
0492	1	12/01/1991
0493	1	04/01/2007
0494	1	09/01/2008
0495	1	11/25/2008
0496	1	05/01/2002
0497	1	01/12/2010
0498	1	04/07/2004
0499	1	11/24/2009
0500	1	11/30/2005
0501	1	04/01/2002
0502	1	09/22/2009
0503	1	06/01/1999
0504	1	02/02/2010
0505	1	09/01/1973
0506	1	03/01/2001
0507	1	05/23/2006
0508	1	04/30/2010
0509	1	04/01/2004
0510	1	11/25/2009
0511	1	02/01/2006
0512	1	06/02/2009
0513	1	04/01/2008
0514	1	03/01/2010
0515	1	05/26/2009
0516	1	02/01/2007
0517	1	10/01/1978
0518	1	07/01/1995
0519	1	05/23/2006
0520	1	07/01/2003
0521	1	11/30/2007
0522	1	04/27/2010
0523	1	08/01/2009
0524	1	08/01/2008
0525	1	10/31/2006
0526	1	04/05/2004
0527	1	03/10/2010
0528	1	01/26/2010
0529	1	08/05/2008
0530	1	09/01/2003
0531	1	04/01/1997
0532	1	01/01/2009
0533	1	07/12/2006
0534	1	05/01/2001
0535	1	06/30/2007
0536	1	12/01/2007
0537	1	03/30/2010
0538	1	05/01/2001
0539	1	12/29/2009
0540	1	07/02/2008
0541	1	06/03/2008
0542	1	02/01/1984
0543	1	12/06/2007
0544	1	04/01/2006
0545	1	03/02/2009
0546	1	09/01/2009
0547	1	04/06/2006
0548	1	07/12/2004
0549	1	01/01/2007
0550	1	08/01/1996
0551	1	11/29/2006
0552	1	03/01/1990
0553	1	06/22/2010
0554	1	05/27/2008
0555	1	05/01/2010
0556	1	09/01/1993
0557	1	11/28/2008
0558	1	06/26/2007
0559	1	07/01/1997
0560	1	11/10/2009
0561	1	05/01/2002
0562	1	06/01/1989
0563	1	02/01/2002
0564	1	07/01/2001
0565	1	07/15/2010
0566	1	02/05/2008
0567	1	07/01/2008
0568	1	12/01/2000
0569	1	09/01/2000
0570	1	09/01/1992
0571	1	01/18/2007
0572	1	01/01/1999
0573	1	04/01/1980
0574	1	04/06/2010
0575	1	05/04/2010
0576	1	05/04/2010
0577	1	10/31/2006
0578	1	01/27/2009
0579	1	09/26/2006
0580	1	10/01/2000
0581	1	01/01/2001
0582	1	01/15/2009
0583	1	09/30/2008
0584	1	06/01/1997
0585	1	12/29/2009
0586	1	06/01/2008
0587	1	06/02/2009
0588	1	11/01/1995
0589	1	04/15/2000
0590	1	07/01/2000
0591	1	06/01/2010
0592	1	03/13/2007
0593	1	07/01/2005
0594	1	05/25/2010
0595	1	11/02/2004
0596	1	05/01/2010
0597	1	12/01/2002
0598	1	06/29/2010
0599	1	10/15/2003
0600	1	11/03/2009
0601	1	01/28/2009
0602	1	04/01/1994
0603	1	09/25/2002
0604	1	08/01/1998
0605	1	12/11/2007
0606	1	01/31/2007
0607	1	03/22/2001
0608	1	07/01/1982
0609	1	03/17/2010
0610	1	03/01/2009
0611	1	11/12/2009
0612	1	06/15/2010
0613	1	01/01/1998
0614	1	11/01/1998
0615	1	12/22/2009
0616	1	09/29/2009
0617	1	06/01/2004
0618	1	08/29/2006
0619	1	04/07/2009
0620	1	10/15/2009
0621	1	11/01/1996
0622	1	04/01/2002
0623	1	11/01/1999
0624	1	04/01/2003
0625	1	11/09/2004
0626	1	04/30/2009
0627	1	02/06/2009
0628	1	07/01/2002
0629	1	06/26/2007
0630	1	01/01/2000
0631	1	03/01/2001
0632	1	04/01/2007
0633	1	07/01/1985
0634	1	01/01/2006
0635	1	09/01/1996
0636	1	03/15/2007
0637	1	12/02/2008
0638	1	12/04/2004
0639	1	05/30/2010
0640	1	04/01/2006
0641	1	01/02/2007
0642	1	02/28/2005
0643	1	05/18/2010
0644	1	10/01/1995
0645	1	04/01/2004
0646	1	04/10/2007
0647	1	03/18/2009
0648	1	12/15/2008
0649	1	02/01/2010
0650	1	12/01/1996
0651	1	07/01/2010
0652	1	01/01/2010
0653	1	05/04/2009
0654	1	11/01/1994
0655	1	06/30/2009
0656	1	07/01/2006
0657	1	07/05/2006
0658	1	02/01/2002
0659	1	04/01/2001
0660	1	03/02/2010
0661	1	08/10/2009
0662	1	06/20/2005
0663	1	01/15/2007
0664	1	02/02/2010
0665	1	08/01/2001
0666	1	04/07/2009
0667	1	04/01/2006
0668	1	04/01/1999
0669	1	02/18/2008
0670	1	06/22/2010
0671	1	03/01/2010
0672	1	05/01/2002
0673	1	06/29/2010
0674	1	10/16/2007
0675	1	10/01/2004
0676	1	04/10/2007
0677	1	11/10/2005
0678	1	09/01/2009
0679	1	09/01/1990
0680	1	10/01/1999
0681	1	02/28/2010
0682	1	11/01/2007
0683	1	11/16/2009
0684	1	05/05/2009
0685	1	08/31/2009
0686	1	08/01/1999
0687	1	01/01/1983
0688	1	05/01/1999
0689	1	09/04/2007
0690	1	09/19/2006
0691	1	05/18/2010
0692	1	10/01/2009
0693	1	01/24/2006
0694	1	02/02/2010
0695	1	04/01/2007
0696	1	07/11/2004
0697	1	10/01/2009
0698	1	06/01/1998
0699	1	12/15/2008
0700	1	02/28/2006
0701	1	02/01/2010
0702	1	01/01/1999
0703	1	05/01/1995
0704	1	12/01/1983
0705	1	04/08/2008
0706	1	01/24/2007
0707	1	09/15/2007
0708	1	02/01/1999
0709	1	07/01/2008
0710	1	10/30/2004
0711	1	06/03/2008
0712	1	07/05/2007
0713	1	03/01/2009
0714	1	01/06/2009
0715	1	03/01/2001
0716	1	06/01/1991
0717	1	11/01/2005
0718	1	06/15/2009
0719	1	09/08/2009
0720	1	10/27/2009
0721	1	12/01/2009
0722	1	08/01/2009
0723	1	06/01/2008
0724	1	04/22/2008
0725	1	06/01/1962
0726	1	03/18/2008
0727	1	11/01/2007
0728	1	11/24/2009
0729	1	11/12/2005
0730	1	04/27/2010
0731	1	12/01/2000
0732	1	05/01/1999
0733	1	09/15/2004
0734	1	02/02/2010
0735	1	09/01/2007
0736	1	06/10/2008
0737	1	06/30/2010
0738	1	02/01/2007
0739	1	09/01/2009
0740	1	12/01/1990
0741	1	04/28/2008
0742	1	02/25/2009
0743	1	07/03/2007
0744	1	10/01/1995
0745	1	03/26/2009
0746	1	06/01/1983
0747	1	01/04/2010
0748	1	03/31/2006
0749	1	03/06/2006
0750	1	03/10/2009
0751	1	11/03/2009
0752	1	03/01/2006
0753	1	03/01/2009
0754	1	09/01/2004
0755	1	10/01/1996
0756	1	03/31/2009
0757	1	08/01/2001
0758	1	01/01/2002
0759	1	04/01/2009
0760	1	05/25/2009
0761	1	04/13/2009
0762	1	05/31/2006
0763	1	09/01/1999
0764	1	10/01/2009
0765	1	02/01/2002
0766	1	04/28/2008
0767	1	04/01/1987
0768	1	05/29/2007
0769	1	08/17/2010
0770	1	11/26/2008
0771	1	04/30/2010
0772	1	01/01/2000
0773	1	02/01/2006
0774	1	06/15/2009
0775	1	01/18/2010
0776	1	08/05/2008
0777	1	08/21/2006
0778	1	11/01/1989
0779	1	02/01/2009
0780	1	11/01/2008
0781	1	01/01/1992
0782	1	03/09/2005
0783	1	03/01/2000
0784	1	01/01/2007
0785	1	10/01/2008
0786	1	08/03/2009
0787	1	09/29/2008
0788	1	11/10/2008
0789	1	04/15/2007
0790	1	07/01/2000
0791	1	02/01/2003
0792	1	12/26/2007
0793	1	11/30/2007
0794	1	06/04/1998
0795	1	04/06/2009
0796	1	05/27/2008
0797	1	07/01/2008
0798	1	07/11/2010
0799	1	01/01/2009
0800	1	10/13/2009
0801	1	06/01/1977
0802	1	01/31/2006
0803	1	12/01/1991
0804	1	09/01/2006
0805	1	08/08/2005
0806	1	06/15/2010
0807	1	05/01/2009
0808	1	02/28/2009
0809	1	02/01/2009
0810	1	10/31/2007
0811	1	06/01/2008
0812	1	12/27/2005
0813	1	11/01/2008
0814	1	04/13/2009
0815	1	09/01/1997
0816	1	03/01/2003
0817	1	03/30/2009
0818	1	01/01/2009
0819	1	06/01/2008
0820	1	03/25/2009
0821	1	06/08/2010
0822	1	12/01/1991
0823	1	11/03/2008
0824	1	12/30/2001
0825	1	08/15/2006
0826	1	04/01/1995
0827	1	12/30/2008
0828	1	02/15/2007
0829	1	06/02/2008
0830	1	08/17/2010
0831	1	01/01/2010
0832	1	05/12/2009
0833	1	02/01/2007
0834	1	07/01/2004
0835	1	05/10/2007
0836	1	09/01/2005
0837	1	03/01/2006
0838	1	11/01/2002
0839	1	05/01/2006
0840	1	07/01/2001
0841	1	05/15/2009
0842	1	11/01/2009
0843	1	07/01/1995
0844	1	03/27/2007
0845	1	04/27/2009
0846	1	08/01/2004
0847	1	09/01/2009
0848	1	03/15/2009
0849	1	02/01/1992
0850	1	01/06/2009
0851	1	06/01/1992
0852	1	10/05/2004
0853	1	06/01/2000
0854	1	10/30/2007
0855	1	03/01/2004
0856	1	10/22/2008
0857	1	09/12/2006
0858	1	01/01/2009
0859	1	03/01/2009
0860	1	10/29/2007
0861	1	12/01/2009
0862	1	02/01/2006
0863	1	09/01/1991
0864	1	11/24/2009
0865	1	09/25/2009
0866	1	09/25/2007
0867	1	09/17/2008
0868	1	11/01/2000
0869	1	10/01/1990
0870	1	04/30/2010
0871	1	08/05/1999
0872	1	05/02/2005
0873	1	07/24/2008
0874	1	08/17/2009
0875	1	10/01/2007
0876	1	01/31/2008
0877	1	11/30/2008
0878	1	06/01/2008
0879	1	04/30/2009
0880	1	03/18/2008
0881	1	09/01/1991
0882	1	03/13/2007
0883	1	09/02/2008
0884	1	08/01/2000
0885	1	05/01/2009
0886	1	12/15/2008
0887	1	06/01/2004
0888	1	08/08/2005
0889	1	06/23/2006
0890	1	10/10/2009
0891	1	11/07/2006
0892	1	02/01/1977
0893	1	10/01/2008
0894	1	02/28/2006
0895	1	06/24/2008
0896	1	11/01/2007
0897	1	09/01/2007
0898	1	11/30/2009
0899	1	10/12/2009
0900	1	07/01/2007
0901	1	09/01/2007
0902	1	04/23/2004
0903	1	03/18/2009
0904	1	06/24/2008
0905	1	10/01/1991
0906	1	05/01/2010
0907	1	04/07/2005
0908	1	10/01/1996
0909	1	08/01/2003
0910	1	08/01/2001
0911	1	07/01/2006
0912	1	05/22/2000
0913	1	09/12/2006
0914	1	08/15/1982
0915	1	03/01/2010
0916	1	05/27/2008
0917	1	04/01/2009
0918	1	03/01/2008
0919	1	02/01/2003
0920	1	08/31/2009
0921	1	09/01/2007
0922	1	01/02/2009
0923	1	08/01/2002
0924	1	02/20/2009
0925	1	06/01/2003
0926	1	10/01/1999
0927	1	09/01/1997
0928	1	05/01/2007
0929	1	12/01/2007
0930	1	10/24/2006
0931	1	08/01/1990
0932	1	05/01/2002
0933	1	04/01/2004
0934	1	12/01/2006
0935	1	01/07/2009
0936	1	03/01/1999
0937	1	08/01/2006
0938	1	04/12/2010
0939	1	05/25/2010
0940	1	12/12/2006
0941	1	01/04/2005
0942	1	04/21/2008
0943	1	10/13/2009
0944	1	10/15/2008
0945	1	09/01/1997
0946	1	12/01/2000
0947	1	10/27/2009
0948	1	10/15/2005
0949	1	01/18/2010
0950	1	08/01/2000
0951	1	10/03/2007
0952	1	01/15/2010
0953	1	04/14/2009
0954	1	08/01/2008
0955	1	02/01/1992
0956	1	02/01/2009
0957	1	10/01/2009
0958	1	09/01/2010
0959	1	01/30/2004
0960	1	04/01/1998
0961	1	04/23/2007
0962	1	06/15/2009
0963	1	09/30/2006
0964	1	12/15/1998
0965	1	03/31/2006
0966	1	10/30/2008
0967	1	03/01/1994
0968	1	10/01/1998
0969	1	03/03/2009
0970	1	06/30/2008
0971	1	07/27/2009
0972	1	08/05/2005
0973	1	01/01/2008
0974	1	10/19/2009
0975	1	11/01/2008
0976	1	09/01/2002
0977	1	10/19/2008
0978	1	09/01/2009
0979	1	01/01/2003
0980	1	12/07/2009
0981	1	03/01/2007
0982	1	05/01/2006
0983	1	09/01/2010
0984	1	10/01/1991
0985	1	10/20/2008
0986	1	09/01/1995
0987	1	04/02/2008
0988	1	02/02/2010
0989	1	06/01/2004
0990	1	01/22/2008
0991	1	01/30/2008
0992	1	08/01/1999
0993	1	08/28/2006
0994	1	04/20/2010
0995	1	01/01/1995
0996	1	01/03/2010
0997	1	12/15/2008
0998	1	03/01/2010
0999	1	05/01/2004
1000	1	09/20/2005
1001	1	04/30/2005
1002	1	09/01/2009
1003	1	07/06/2006
1004	1	04/30/2009
1005	1	05/15/2009
1006	1	05/21/2008
1007	1	11/30/2009
1008	1	06/01/2009
1009	1	10/01/2006
1010	1	11/01/2006
1011	1	09/07/2009
1012	1	02/01/1991
1013	1	03/26/2007
1014	1	02/10/2009
1015	1	08/15/2008
1016	1	05/09/2006
1017	1	09/17/2008
1018	1	06/09/2005
1019	1	08/01/1992
1020	1	06/01/2000
1021	1	10/01/2009
1022	1	05/15/2007
1023	1	01/26/2009
1024	1	06/09/2009
1025	1	08/01/2000
1026	1	08/01/2009
1027	1	09/25/2007
1028	1	09/01/2009
1029	1	07/30/2009
1030	1	03/31/2009
1031	1	10/01/2006
1032	1	05/01/2010
1033	1	03/01/2001
1034	1	09/01/2004
1035	1	10/22/2004
1036	1	02/07/2006
1037	1	06/14/2010
1038	1	02/15/1993
1039	1	08/22/2006
1040	1	08/01/1997
1041	1	09/30/2006
1042	1	09/15/2005
1043	1	11/03/2008
1044	1	11/17/2008
1045	1	04/03/2006
1046	1	05/01/2007
1047	1	10/01/2007
1048	1	06/02/2009
1049	1	06/10/2008
1050	1	11/08/2005
1051	1	03/01/2003
1052	1	08/13/2009
1053	1	03/01/2005
1054	1	12/30/2009
1055	1	05/01/2000
1056	1	10/01/2000
1057	1	04/01/2008
1058	1	10/01/2000
1059	1	02/01/1985
1060	1	05/14/2008
1061	1	11/01/2003
1062	1	04/27/2010
1063	1	08/15/2008
1064	1	02/28/2004
1065	1	03/28/2009
1066	1	09/01/1991
1067	1	05/13/2008
1068	1	11/01/2002
1069	1	07/01/2006
1070	1	01/04/2010
1071	1	10/01/2007
1072	1	02/08/2010
1073	1	10/01/2002
1074	1	09/01/2007
1075	1	04/15/2009
1076	1	01/01/2006
1077	1	06/01/2005
1078	1	04/01/2005
1079	1	02/20/2010
1080	1	02/23/2009
1081	1	02/01/2009
1082	1	10/01/1998
1083	1	12/01/2002
1084	1	03/06/2010
1085	1	09/01/1996
1086	1	10/13/2008
1087	1	02/23/2010
1088	1	01/01/2010
1089	1	01/01/2010
1090	1	09/29/2009
1091	1	04/01/2001
1092	1	04/28/2008
1093	1	05/16/2006
1094	1	01/23/2006
1095	1	01/01/2010
1096	1	05/05/1997
1097	1	08/01/2009
1098	1	07/01/2004
1099	1	01/19/2010
1100	1	08/01/2009
1101	1	12/26/2007
1102	1	03/10/2006
1103	1	09/26/2006
1104	1	05/30/2010
1105	1	12/01/2009
1106	1	07/01/2008
1107	1	11/01/2004
1108	1	11/10/2009
1109	1	05/01/1972
1110	1	12/15/2007
1111	1	03/12/2007
1112	1	12/01/2008
1113	1	10/01/2003
1114	1	06/15/2008
1115	1	03/01/2002
1116	1	07/01/2003
1117	1	09/30/2009
1118	1	03/31/2008
1119	1	08/11/2008
1120	1	11/01/2008
1121	1	08/01/2002
1122	1	07/06/2010
1123	1	11/15/2005
1124	1	04/01/1998
1125	1	12/01/2009
1126	1	01/11/2005
1127	1	10/01/2004
1128	1	11/15/2007
1129	1	09/01/1997
1130	1	09/08/2009
1131	1	04/30/2006
1132	1	05/01/2008
1133	1	03/01/2010
1134	1	03/30/2005
1135	1	09/24/2007
1136	1	09/01/2007
1137	1	12/01/2005
1138	1	09/30/1998
1139	1	10/26/2008
1140	1	05/05/2009
1141	1	12/29/2009
1142	1	06/30/2008
1143	1	03/01/1999
1144	1	04/28/2006
1145	1	05/15/2008
1146	1	05/10/2010
1147	1	08/01/1995
1148	1	07/30/2007
1149	1	07/15/2005
1150	1	04/28/2006
1151	1	09/08/2009
1152	1	02/01/1995
1153	1	09/30/2005
1154	1	01/02/2009
1155	1	11/03/2009
1156	1	04/01/2004
1157	1	12/18/2006
1158	1	11/29/2005
1159	1	09/30/2009
1160	1	10/03/2008
1161	1	09/01/1982
1162	1	05/25/2010
