book	abebooks	publisher
0092	1	Grand Central Pub
0093	1	Orion Pub Co
0094	0	<NULL>
0095	1	Fleming H Revell Co
0096	1	Univ of California Pr
0097	0	<NULL>
0098	1	Harpercollins
0099	1	Simon & Schuster
0100	1	Thomas Nelson Inc
0101	1	Public Affairs
0102	0	<NULL>
0103	1	Random House Inc
0104	1	Penguin Books Canada, Limited
0105	0	<NULL>
0106	1	Dell Pub Co
0107	1	Farrar Straus & Giroux
0108	1	Little Brown & Co
0109	1	Arcade Pub
0110	1	Sounds True
0111	1	Harpercollins
0112	1	Harpercollins
0113	1	Graywolf Press
0114	1	Silhouette
0115	0	<NULL>
0116	1	Adams Media Corp
0117	1	Zondervan
0118	1	Progressive Pr
0119	1	Henry Holt & Co
0120	1	Self Realization Fellowship Pub
0121	1	United States Inst of Peace Pr
0122	1	Hampton Roads Pub Co Inc
0123	1	Turner Pub
0124	1	Aha Process Inc
0125	1	Harpercollins
0126	1	Gold Leaf Pr
0127	1	St Martins Pr
0128	1	Prentice Hall
0129	1	Amherst H Wilder Foundation
0130	1	Little Brown & Co
0131	1	Authorhouse
0132	1	Penguin Pr
0133	1	Rhinos Pr
0134	1	Little Brown & Co
0135	1	Harvill Pr
0136	1	Amer Educational Research Assn
0137	0	<NULL>
0138	1	Riverhead Books
0139	1	Little Brown & Co
0140	1	Betterway Books
0141	1	Navpress Pub Group
0142	1	Regal Books
0143	1	Atria Books
0144	1	John Wiley & Sons Inc
0145	1	Atria Books
0146	1	John Wiley & Sons Inc
0147	1	Prima Pub
0148	1	Doubleday
0149	1	Ivy Books
0150	1	Signet
0151	1	Basic Books
0152	1	Plume
0153	1	Alfred a Knopf Inc
0154	1	Free Pr
0155	1	Putnam Pub Group
0156	1	Random House Inc
0157	1	Random House Inc
0158	1	Image Books
0159	1	Henry Holt & Co
0160	1	Grand Central Pub
0161	1	Random House Inc
0162	1	Hodder & Stoughton
0163	1	Zondervan
0164	1	Zondervan
0165	1	Little Brown & Co
0166	1	Scribner
0167	1	Viking Pr
0168	1	Worth Pub
0169	1	Tor Books
0170	1	South-Western Pub
0171	1	Simon & Schuster
0172	0	<NULL>
0173	1	Simon & Schuster
0174	1	Bantam Books
0175	1	Lothian Books
0176	1	Minotaur Books
0177	1	Viking Pr
0178	1	Pocket Books
0179	1	Vintage Books
0180	1	Simon & Schuster
0181	1	Ballantine Books
0182	1	Perennial
0183	1	Alfred a Knopf Inc
0184	1	Univ of Chicago Pr
0185	1	Farrar Straus & Giroux
0186	1	Harpercollins
0187	1	Perennial
0188	1	Tor Books
0189	1	Harper San Francisco
0190	1	Random House Inc
0191	1	Random House Inc
0192	1	Harpercollins
0193	1	Penguin Books Canada, Limited
0194	1	Ballantine Books
0195	1	Little Brown & Co
0196	1	Little Brown & Co
0197	1	Academic Pr
0198	0	<NULL>
0199	1	Harcourt
0200	1	Oxford Univ Pr
0201	1	Prentice Hall
0202	1	Oxford Univ Pr on Demand
0203	1	Clarendon Pr
0204	1	Parallax Pr
0205	1	Oxford Univ Pr
0206	1	Berrett-Koehler Pub
0207	1	Chatto & Windus
0208	1	Penguin Group USA
0209	1	Penguin Books Canada, Limited
0210	1	Puffin
0211	1	Penguin Group USA
0212	1	Canongate Pub Ltd
0213	0	<NULL>
0214	0	<NULL>
0215	1	Da Capo Pr
0216	1	Oxford Univ Pr
0217	1	Avon Books
0218	1	Harcourt
0219	1	Penguin Group USA
0220	1	Viking Pr
0221	1	Council Oaks Distribution
0222	1	Hampton Roads Pub Co Inc
0223	0	<NULL>
0224	1	Ten Speed Pr
0225	1	New Pr
0226	1	Scroll Pub Co
0227	1	Amer Diabetes Assn
0228	1	Adams Media Corp
0229	1	Sage Pubns
0230	1	Simon & Schuster
0231	1	Sunbelt Pubns
0232	1	Adams Media Corp
0233	1	Riverhead Books
0234	1	Alyson Pubns
0235	1	Paradox Pub
0236	1	Portable Pr
0237	1	Shambhala Pubns
0238	1	Univ of Minnesota Pr
0239	1	Random House Inc
0240	1	Devorss & Co
0241	1	Eerdmans Pub Co
0242	1	Syracuse Univ Pr
0243	1	Tab Books
0244	1	Bridge Logos Fndtn
0245	1	Hyperion Books
0246	1	Henry Holt & Co
0247	1	Multnomah Pub
0248	1	Nash Pub
0249	1	W B Saunders Co
0250	1	Atlantic Monthly Pr
0251	1	Henry Holt & Co
0252	1	Atlantic Monthly Pr
0253	1	Harry N Abrams Inc
0254	1	Regal Books
0255	1	Pocket Books
0256	1	Pocket Books
0257	1	Summit Books
0258	0	<NULL>
0259	1	Alfred a Knopf Inc
0260	1	Random House Inc
0261	1	Atria Books
0262	1	Touchstone Books
0263	1	Scribner
0264	1	Random House Inc
0265	1	Fireside
0266	1	Simon & Schuster
0267	0	<NULL>
0268	1	Sandpiper
0269	1	John Wiley & Sons Inc
0270	1	Faber & Faber
0271	0	<NULL>
0272	1	Viking Pr
0273	1	W W Norton & Co Inc
0274	1	Jove Pubns
0275	1	Univ of California Pr on Demand
0276	1	W W Norton & Co Inc
0277	1	Alfred a Knopf Inc
0278	1	Bantam Books
0279	1	Dutton Childrens Books
0280	1	W W Norton & Co Inc
0281	1	Harmony Books
0282	1	Doubleday
0283	1	Jove Pubns
0284	1	Dover Pubns
0285	1	Spectra
0286	1	Delacorte Pr
0287	0	<NULL>
0288	1	Jove Pubns
0289	1	Mariner Books
0290	1	Houghton Mifflin
0291	1	Doubleday
0292	1	Random House Inc
0293	1	Bantam Books
0294	1	Doubleday
0295	1	Avon Books
0296	1	Avon Books
0297	1	Penguin Books Canada, Limited
0298	1	Putnam Pub Group
0299	1	Putnam Pub Group
0300	1	Houghton Mifflin Harcourt
0301	1	John Wiley & Sons Inc
0302	1	Avon Books
0303	1	Doubleday
0304	1	Harpercollins
0305	1	Dell Pub Co
0306	0	<NULL>
0307	1	Dell Pub Co
0308	1	Regan Books
0309	1	Harpercollins
0310	1	Macmillan Pub Co
0311	1	Joanna Cotler Books
0312	1	HarperCollins Publishers Canada, Limited
0313	1	William Morrow & Co
0314	1	Atheneum
0315	1	HarperCollins Publishers Canada, Limited
0316	1	Perennial
0317	1	Harpercollins
0318	1	Perennial
0319	1	Harpercollins
0320	1	Harpercollins
0321	1	Avon Books
0322	1	HarperCollins Publishers Canada, Limited
0323	1	Fourth Estate
0324	0	<NULL>
0325	1	HarperCollins Publishers Canada, Limited
0326	1	Perennial
0327	1	Free Pr
0328	1	Harpercollins
0329	1	HarperCollins Publishers Canada, Limited
0330	1	Harper San Francisco
0331	1	Oxford Univ Pr
0332	1	Univ of Chicago Pr
0333	1	Oxford Univ Pr
0334	1	William Morrow & Co
0335	1	Harpercollins
0336	1	Indiana Univ Pr
0337	1	Harper Torch
0338	1	Harpercollins
0339	1	Financial Times Management
0340	1	Oxford Univ Pr on Demand
0341	1	Jonathan Cape
0342	1	Harpercollins
0343	1	Oxford Univ Pr
0344	1	Penguin Books Canada, Limited
0345	1	Thomson Custom Pub
0346	1	Harcourt College Pub
0347	1	Penguin Group USA
0348	0	<NULL>
0349	1	Puffin
0350	1	Penguin Group USA
0351	1	Viking Pr
0352	0	<NULL>
0353	1	Arkana
0354	1	Oxford Univ Pr
0355	1	Harvest Books
0356	1	Penguin Books Canada, Limited
0357	1	Harvest Books
0358	1	Penguin Group USA
0359	1	Puffin
0360	0	<NULL>
0361	1	Harcourt
0362	1	Palgrave Macmillan
0363	0	<NULL>
0364	1	Picador
0365	1	Oxford Univ Pr
0366	1	Viking Pr
0367	1	Mariner Books
0368	1	Penguin Books Canada, Limited
0369	1	Harvard Univ Pr
0370	1	Little Brown & Co
0371	1	Little Brown & Co
0372	0	<NULL>
0373	1	Little Brown & Co
0374	1	Minotaur Books
0375	1	St Martins Pr
0376	1	Pantheon Books
0377	1	Pocket Books
0378	1	Bobbs-Merrill
0379	1	Pocket Books
0380	1	Knopf Canada
0381	1	Pocket Books
0382	1	Tor Books
0383	1	Pocket Books
0384	1	Bedford/st Martins
0385	1	Little Brown & Co
0386	1	Griffin
0387	1	Pocket Books
0388	1	Little Brown & Co
0389	1	Back Bay Books
0390	1	Bedford/st Martins
0391	1	Little Brown & Co
0392	1	Simon & Schuster
0393	1	Little Brown & Co
0394	1	Little Brown & Co
0395	1	St Martins Pr
0396	1	Pocket Books
0397	1	Little Brown & Co
0398	1	Picador USA
0399	1	St Martins Pr
0400	1	Random House Inc
0401	1	Simon & Schuster
0402	1	Little Brown & Co
0403	1	HarperCollins Publishers Canada, Limited
0404	1	Viking Pr
0405	0	<NULL>
0406	1	Harmony Books
0407	1	Baen Books
0408	1	Oreilly & Associates Inc
0409	1	Bantam Dell Pub Group
0410	1	Viking Pr
0411	0	<NULL>
0412	1	Aladdin Paperbacks
0413	1	Fanfare
0414	1	Bantam Dell Pub Group
0415	1	Bantam Dell Pub Group
0416	1	Viking Pr
0417	1	HarperCollins Publishers Canada, Limited
0418	1	Bantam Books
0419	1	Blackwell Pub
0420	1	Viking Pr
0421	0	<NULL>
0422	1	Simon and Schuster
0423	1	Clarkson Potter
0424	1	Viking Pr
0425	1	Concordia Pub House
0426	1	Bantam Books
0427	0	<NULL>
0428	1	Dutton Childrens Books
0429	1	E P Dutton
0430	1	Dover Pubns
0431	1	E P Dutton
0432	1	John Wiley & Sons Inc
0433	1	Bantam Books
0434	1	Bantam Dell Pub Group
0435	1	Dover Pubns
0436	1	Spectra
0437	0	<NULL>
0438	1	Dover Pubns
0439	1	Bantam Books
0440	1	Harmony Books
0441	1	Harmony Books
0442	1	Dover Pubns
0443	1	Bantam Dell Pub Group
0444	1	Onyx Books
0445	1	Warner Books Inc
0446	1	Basic Books
0447	1	Basic Books
0448	1	Warner Books Inc
0449	1	Warner Books Inc
0450	1	Young Yearling
0451	1	Van Nostrand Reinhold
0452	1	Plume
0453	1	Faithwords
0454	1	Dent
0455	1	Signet
0456	1	Vision
0457	1	Basic Books
0458	1	Fawcett Books
0459	1	Basic Books
0460	1	Fawcett Books
0461	1	Grand Central Pub
0462	1	Basic Books
0463	1	Walk Worthy Pr
0464	1	Alfred a Knopf Inc
0465	1	W W Norton & Co Inc
0466	1	Random House Inc
0467	1	Houghton Mifflin Harcourt
0468	1	Houghton Mifflin
0469	1	Random House Inc
0470	1	Houghton Mifflin Harcourt
0471	1	Random House Inc
0472	1	Houghton Mifflin Harcourt
0473	1	Random House Inc
0474	1	Mariner Books
0475	1	Random House Inc
0476	1	McDougal Littell/Houghton Mifflin
0477	1	Routledge
0478	1	Alfred a Knopf Inc
0479	1	W W Norton & Co Inc
0480	1	W W Norton & Co Inc
0481	1	W W Norton & Co Inc
0482	1	Alfred a Knopf Inc
0483	1	Berkley Pub Group
0484	1	Delacorte Pr
0485	1	Avon Books
0486	1	Doubleday Canada, Limited
0487	1	W W Norton & Co Inc
0488	1	Harpercollins
0489	1	Doubleday
0490	1	Bantam Books of Canada Ltd
0491	1	W W Norton & Co Inc
0492	1	W W Norton & Co Inc
0493	1	Delta
0494	1	Doubleday
0495	1	Doubleday
0496	1	Avon Books
0497	1	Doubleday
0498	1	Springer Verlag
0499	1	W W Norton & Co Inc
0500	0	<NULL>
0501	1	W W Norton & Co Inc
0502	1	Doubleday of Canada
0503	1	W W Norton & Co Inc
0504	1	Doubleday
0505	1	Doubleday
0506	1	Alfred a Knopf Inc
0507	1	Polygon
0508	1	Random House Inc
0509	1	Monacelli Pr
0510	1	I B Tauris & Co Ltd
0511	1	High Plains Pub Co
0512	1	Alfred a Knopf Inc
0513	1	Salamandra Publicacions Y Edicions
0514	1	Pantheon Books
0515	1	Frog Ltd
0516	1	Alfred a Knopf Inc
0517	1	Prometheus Nemesis Book Co
0518	1	Amer Society of Addiction Medicine
0519	1	MIT Verlag
0520	1	Lark Books
0521	1	Alfred a Knopf Inc
0522	1	Open City Books
0523	1	Alfred a Knopf Inc
0524	0	<NULL>
0525	1	Farrar Straus & Giroux
0526	1	Amer Univ in Cairo Pr
0527	1	Redleaf Pr
0528	1	Library of America
0529	0	<NULL>
0530	1	Whitaker House
0531	1	Crossway Books
0532	1	North Light Books
0533	1	Ryland Peters & Small
0534	0	<NULL>
0535	1	Inner Traditions
0536	1	Lonely Planet
0537	1	Boydell Pr
0538	1	Ten Speed Pr
0539	1	Jewish Lights Pub
0540	1	Poisoned Pen Pr
0541	1	Regnery Pub
0542	1	Cassell
0543	0	<NULL>
0544	1	Navpress Pub Group
0545	1	Portable Pr
0546	1	Portable Pr
0547	1	Anchor Books
0548	1	Harvest House Pub
0549	1	New Pr
0550	1	Hampton Roads Pub Co Inc
0551	1	Greystone Books
0552	1	Algonquin Books
0553	1	Vine Books
0554	1	Multnomah Pub
0555	1	Sage Pubns
0556	1	New Pr
0557	1	Welcome Enterprises
0558	1	Touchstone Books
0559	1	Hampton Roads Pub Co Inc
0560	1	Hampton Roads Pub Co Inc
0561	1	Random House Inc
0562	1	Ignatius Pr
0563	1	Foundation for Inner Peace
0564	1	Turnkey Pr
0565	1	Amer Diabetes Assn
0566	1	Shepherd Books
0567	1	Parentmagic Inc
0568	0	<NULL>
0569	1	Writers Digest Books
0570	1	A & W Pub
0571	1	David Icke Books
0572	1	Reader's Digest Association
0573	1	Barricade Books Inc
0574	1	Stillpoint Pub
0575	1	Univ of Wisconsin Pr
0576	1	Cheng & Tsui Co
0577	1	Hobby House Pr Inc
0578	1	Devorss & Co
0579	1	Harvest House Pub
0580	1	North Light Books
0581	1	Harvard Business School Pr
0582	1	Amer Psychiatric Pub Inc
0583	1	Orbis Books
0584	1	Rodale Pr
0585	1	Red Wheel/Weiser
0586	1	Atlantic Monthly Pr
0587	1	Atlantic Monthly Pr
0588	1	W Pub Group
0589	1	Whitaker House
0590	1	Brunner-Routledge
0591	1	Wilshire Book Co
0592	1	David R Godine Pub
0593	1	Tyndale House Pub
0594	1	Paulist Pr
0595	1	Brookings Inst Pr
0596	1	Southern Illinois Univ Pr
0597	1	Watson-Guptill Pubns
0598	0	<NULL>
0599	1	Watson-Guptill Pubns
0600	1	Watson-Guptill Pubns
0601	1	W Pub Group
0602	1	Henry Holt & Co
0603	1	Owl Books
0604	1	Louisiana State Univ Pr
0605	0	<NULL>
0606	1	Thomas Nelson Inc
0607	1	Univ of Oklahoma Pr
0608	1	Schocken Books
0609	1	Univ of North Carolina Pr
0610	1	Barrons Educational Series Inc
0611	1	Kregel Pubns
0612	1	Thomas Nelson Inc
0613	1	Henry Holt & Co
0614	1	Beacon Pr
0615	1	Amacom Books
0616	1	Cornell Univ Pr
0617	1	Broadway Books
0618	1	Broadway Books
0619	1	Bethany House Pub
0620	1	Tor Books
0621	1	Dk Pub
0622	1	Bantam Dell Pub Group
0623	1	Fleming H Revell Co
0624	1	Bison Books
0625	1	McClelland & Stewart
0626	1	Johns Hopkins Univ Pr
0627	1	Basic Books
0628	1	McClelland & Stewart
0629	1	Revell
0630	1	J. Murray
0631	1	Free Pr
0632	0	<NULL>
0633	1	Atheneum
0634	1	J. Murray
0635	0	<NULL>
0636	1	Eagle Brook
0637	1	Simon & Schuster Merchandise &
0638	1	Scribner
0639	0	<NULL>
0640	1	William Morrow & Co
0641	1	William Morrow & Co
0642	1	Dk Pub
0643	1	Princeton Univ Pr
0644	0	<NULL>
0645	1	Llewellyn Worldwide Ltd
0646	1	Princeton Univ Pr
0647	1	William Morrow & Co
0648	1	Random House Inc
0649	1	Farrar Straus & Giroux
0650	1	Scribner
0651	1	Villard Books
0652	1	Scribner
0653	1	Scribner
0654	1	Vintage Books
0655	1	Farrar Straus & Giroux
0656	1	David McKay Co
0657	1	Alfred a Knopf Inc
0658	1	Alfred a Knopf Inc
0659	1	Farrar Straus & Giroux
0660	1	Scribner
0661	1	Scribner
0662	1	Random House Inc
0663	1	Scribner
0664	1	Modern Library
0665	1	Random House of Canada, Limited
0666	1	Alfred a Knopf Inc
0667	1	Random House Inc
0668	1	Simon & Schuster
0669	1	Scribner
0670	1	Vintage Books
0671	1	Atheneum
0672	1	Simon & Schuster
0673	1	Prentice Hall
0674	1	Ballantine Books
0675	0	<NULL>
0676	1	Ballantine Books
0677	1	Ballantine Books
0678	1	Ballantine Books
0679	1	Prentice Hall
0680	0	<NULL>
0681	1	Ballantine Books
0682	1	Ballantine Books
0683	1	Ballantine Books
0684	1	Presidio Pr
0685	0	<NULL>
0686	1	Penguin Books Canada, Limited
0687	0	<NULL>
0688	1	McGraw-Hill
0689	1	Harpercollins
0690	1	Henry Holt & Co
0691	1	St Martins Pr
0692	1	St Martins Pr
0693	1	Alfred a Knopf Inc
0694	1	Harper San Francisco
0695	1	Harpercollins
0696	1	Vintage Books
0697	1	Harpercollins Pub Ltd
0698	1	St Martins Pr
0699	1	HarperCollins Publishers Canada, Limited
0700	1	Harpercollins
0701	1	Yale Univ Pr
0702	1	Harpercollins
0703	1	Olympic Marketing Corp
0704	1	Yale Univ Pr
0705	1	Alfred a Knopf Inc
0706	1	HarperCollins Publishers Canada, Limited
0707	1	Yale Univ Pr
0708	1	HarperCollins Publishers Canada, Limited
0709	1	Harpercollins
0710	1	Yale Univ Pr
0711	1	HarperCollins Publishers Canada, Limited
0712	1	St Martins Pr
0713	1	Univ of Texas Pr
0714	1	Yale Univ Pr
0715	1	Yale Univ Pr
0716	1	Collins
0717	1	St Martins Pr
0718	1	Harpercollins
0719	1	Weidenfeld and Nicolson
0720	1	St Martins Pr
0721	1	Harper San Francisco
0722	1	HarperCollins Publishers Canada, Limited
0723	1	HarperCollins Publishers Canada, Limited
0724	1	HarperCollins Publishers Canada, Limited
0725	1	HarperCollins Publishers Canada, Limited
0726	1	HarperCollins Publishers Canada, Limited
0727	1	HarperCollins Publishers Canada, Limited
0728	1	HarperCollins Publishers Canada, Limited
0729	1	Perennial
0730	1	HarperCollins Publishers Canada, Limited
0731	1	HarperCollins Publishers Canada, Limited
0732	0	<NULL>
0733	0	<NULL>
0734	1	HarperCollins Publishers Canada, Limited
0735	1	Collier Books
0736	1	Macmillan General Reference
0737	1	Macmillan Pub Co
0738	0	<NULL>
0739	1	HarperCollins Publishers Canada, Limited
0740	1	HarperCollins Publishers Canada, Limited
0741	0	<NULL>
0742	1	Harpercollins Pub Ltd
0743	1	Macmillan Pub Co
0744	1	HarperCollins Publishers Canada, Limited
0745	1	Perennial
0746	1	Collier Books
0747	1	HarperCollins Publishers Canada, Limited
0748	1	HarperCollins Publishers Australia
0749	1	Macmillan Pub Co
0750	1	Avon Books
0751	1	Harpercollins
0752	1	Harpercollins
0753	1	Harper Resource
0754	1	Avon Books
0755	1	Perennial
0756	1	Avon Books
0757	1	Avon Books
0758	1	Harpercollins
0759	0	<NULL>
0760	1	Harper San Francisco
0761	1	Collins
0762	1	Harper San Francisco
0763	1	Regan Books
0764	1	Avon Books
0765	1	Harpercollins
0766	1	Eminent Lives
0767	1	Free Pr
0768	1	Harpercollins
0769	1	Harpercollins Childrens Books
0770	1	Harpercollins
0771	1	Free Pr
0772	1	Regan Books
0773	1	Free Pr
0774	1	Harpercollins
0775	1	Harpercollins College Div
0776	1	Free Pr
0777	1	Greenwillow
0778	1	G. Allen & Unwin
0779	1	Regan Books
0780	1	McGraw-Hill
0781	1	Harpercollins
0782	1	Harper & Row
0783	1	Harpercollins
0784	1	Harpercollins Childrens Books
0785	1	Harpercollins
0786	1	Collins
0787	1	Harper San Francisco
0788	1	Harper & Row
0789	1	McGraw-Hill
0790	1	Univ of Chicago Pr
0791	1	McGraw-Hill
0792	1	Harper & Row
0793	1	McGraw-Hill
0794	1	Univ of Chicago Pr
0795	1	Trophy Pr
0796	1	Univ of Chicago Pr
0797	1	Univ of Chicago Pr
0798	1	William Morrow & Co
0799	1	Harper San Francisco
0800	1	Univ of Chicago Pr
0801	1	Harper San Francisco
0802	1	Harpercollins
0803	1	McGraw-Hill
0804	1	Harper San Francisco
0805	1	Oxford Univ Pr
0806	1	Allyn & Bacon
0807	1	Oxford Univ Pr
0808	1	Oxford Univ Pr
0809	1	Univ of Chicago Pr
0810	1	Oxford Univ Pr
0811	1	Cape
0812	1	Oxford Univ Pr
0813	1	Clarendon Press
0814	1	Oxford Univ Pr on Demand
0815	1	J. Cape
0816	1	Oxford Univ Pr
0817	1	Addison-Wesley
0818	1	Allyn & Bacon
0819	1	Shoe String Pr Inc
0820	1	Allyn & Bacon
0821	1	Jonathan Cape
0822	1	Archon Books
0823	1	Oxford Univ Pr
0824	1	Oxford Univ Pr
0825	1	J. Cape
0826	0	<NULL>
0827	1	Oxford Univ Pr
0828	1	Oxford Univ Pr
0829	1	Oxford Univ Pr
0830	1	Oxford Univ Pr on Demand
0831	1	Oxford Univ Pr
0832	1	Oxford Univ Pr
0833	1	Oxford Univ Pr
0834	1	Oxford University Press
0835	1	Oxford Univ Pr on Demand
0836	1	Oxford Univ Pr on Demand
0837	1	Oxford Univ Pr
0838	1	Oxford Univ Pr
0839	1	Oxford Univ Pr
0840	1	Oxford Univ Pr on Demand
0841	1	Oxford Univ Pr
0842	1	Oxford Univ Pr
0843	1	Clarendon Pr
0844	1	Oxford Univ Pr on Demand
0845	1	Oxford Univ Pr
0846	1	Oxford Univ Pr
0847	1	Oxford Univ Pr
0848	1	Oxford Univ Pr
0849	1	Harcourt Childrens Books
0850	1	Oxford Univ Pr
0851	1	H B/Holt/Saunders
0852	1	Harcourt Childrens Books
0853	1	Harcourt
0854	1	Oxford Univ Pr
0855	1	Oxford Univ Pr
0856	1	Oxford Univ Pr
0857	1	Oxford University Press
0858	1	Harcourt
0859	1	Harcourt
0860	1	Penguin Books Canada, Limited
0861	0	<NULL>
0862	1	Harcourt
0863	1	Harcourt
0864	1	Puffin
0865	1	Penguin Books Canada, Limited
0866	1	Penguin Group Australia
0867	1	Penguin Group USA
0868	0	<NULL>
0869	1	Harcourt
0870	1	Puffin
0871	0	<NULL>
0872	1	Penguin Group USA
0873	1	Penguin Group USA
0874	1	Penguin Group USA
0875	1	Harcourt
0876	0	<NULL>
0877	0	<NULL>
0878	1	Prentice Hall
0879	1	Prentice Hall
0880	1	Penguin Group USA
0881	1	Penguin Group USA
0882	1	Prentice Hall
0883	1	Penguin Group USA
0884	1	Prentice Hall
0885	1	Penguin USA
0886	1	Penguin Books Canada, Limited
0887	1	Pearson Prentice Hall
0888	1	Prentice Hall
0889	0	<NULL>
0890	1	Prentice Hall
0891	1	Ft Pr
0892	1	Penguin Group USA
0893	1	Penguin Group USA
0894	1	Signet
0895	1	Onyx Books
0896	1	Academic Pr
0897	1	Signet
0898	1	Signet
0899	0	<NULL>
0900	1	Signet
0901	1	Signet
0902	1	Signet
0903	0	<NULL>
0904	0	<NULL>
0905	0	<NULL>
0906	0	<NULL>
0907	1	Prentice Hall
0908	1	Grand Central Pub
0909	1	Crest
0910	1	Fawcett Books
0911	1	Warner Books Inc
0912	1	Warner Books Inc
0913	1	Grand Central Pub
0914	1	Grand Central Pub
0915	1	Grand Central Pub
0916	1	Business Plus
0917	1	Grand Central Pub
0918	1	Grand Central Pub
0919	1	Grand Central Pub
0920	1	Fawcett Books
0921	1	Warner Books Inc
0922	1	Grand Central Pub
0923	0	<NULL>
0924	1	Vision
0925	1	Fawcett Books
0926	1	Mysterious Pr
0927	1	Dell Island Books
0928	1	E. & S. Livingstone
0929	1	Laurel Leaf
0930	1	Forever
0931	0	<NULL>
0932	1	Dell Pub Co
0933	1	Ace Books
0934	1	Dell Pub Co
0935	1	Dell Pub Co
0936	1	Grand Central Pub
0937	1	Van Nostrand Reinhold
0938	1	Dell Pub Co
0939	1	Dell Pub Co
0940	1	Yearling Books
0941	1	Warner Books Inc
0942	1	Grand Central Pub
0943	1	Dell Pub Co
0944	1	Ace Books
0945	1	Dell Pub Co
0946	1	Laurel Leaf
0947	0	<NULL>
0948	1	Berkley Pub Group
0949	1	Prime Crime
0950	1	Scholastic
0951	1	Berkley Pub Group
0952	1	Delacorte Press
0953	1	Dell Pub Co
0954	1	Delacorte Press/Seymour Lawrence
0955	1	Heinemann
0956	1	Laurel Leaf
0957	1	Routledge
0958	1	Scholastic Paperbacks
0959	1	Secker and Warburg
0960	1	Berkley Pub Group
0961	1	Routledge
0962	1	Routledge
0963	1	Putnam Pub Group
0964	1	Routledge
0965	1	Methuen Drama
0966	1	Putnam Pub Group
0967	1	Putnam Pub Group
0968	1	Putnam Pub Group
0969	1	Arno Pr
0970	1	Philomel Books
0971	1	Putnam Pub Group
0972	1	Putnam Pub Group
0973	1	Putnam Pub Group
0974	1	Putnam Pub Group
0975	1	Putnam Pub Group
0976	1	Putnam Pub Group
0977	1	Putnam Pub Group
0978	1	Philomel Books
0979	1	Putnam Pub Group
0980	1	Putnam Pub Group
0981	1	Random House Childrens Books
0982	1	Putnam Pub Group
0983	1	Houghton Mifflin
0984	1	Clarion Books
0985	0	<NULL>
0986	1	Random House Childrens Books
0987	1	Mariner Books
0988	1	Dodd, Mead
0989	1	Sandpiper
0990	1	Houghton Mifflin Harcourt
0991	1	Mariner Books
0992	1	Houghton Mifflin Harcourt
0993	1	Houghton Mifflin Harcourt
0994	1	Mariner Books
0995	1	Alfred a Knopf Inc
0996	1	Alfred a Knopf Inc
0997	1	Bantam Books
0998	0	<NULL>
0999	1	Bantam Dell Pub Group
1000	1	Skylark
1001	1	Random House Inc
1002	1	Bantam Dell Pub Group
