book	amazon	publication_date
0416	1	BiblioBazaar (July 13, 2007)
0417	1	The Johns Hopkins University Press; 3rd edition (January 15, 1999)
0418	1	Ballantine Books; X edition (April 8, 2008)
0419	1	Ballantine Books; Later Printing edition (2008)
0420	1	Headline (May 13, 2010)
0421	1	Scribner; First Edition edition (March 10, 2006)
0422	1	Signet; 1st Printing edition (June 3, 2008)
0423	1	Headline Book Publishing (April 2, 2002)
0424	1	Avon Books (January 1, 1981)
0425	1	Back Bay Books (September 14, 1998)
0426	1	Signet; 1ST edition (June 1, 1969)
0427	1	Rebound By Sagebrush; Rebound edition (August 1, 1999)
0428	1	Dell Publishing; 15th THUS edition (September 8, 1998)
0429	1	Mira (May 25, 2010)
0430	1	Viking Adult; First Edition edition (January 8, 2009)
0431	1	Free Press; 1St Edition edition (September 22, 2009)
0432	1	Free Press (August 24, 2010)
0433	1	Vintage (October 23, 1989)
0434	1	Random House Inc (T); 1st edition (May 1971)
0435	1	Vintage (February 12, 1972)
0436	1	Forge Books; 1st edition (March 17, 2009)
0437	1	Plume (December 27, 2005)
0438	1	PUFFIN (2010)
0439	1	Bantam; First Edition first Printing edition (June 9, 2009)
0440	1	Harper Collins Omes (2009)
0441	1	Thomas Nelson; Rev Exp edition (May 4, 2010)
0442	1	Ballantine Books; 17th edition (May 28, 1996)
0443	1	Ballantine Books; 2nd THUS edition (June 12, 1975)
0444	1	Tantor Media; Unabridged,MP3 - Unabridged CD edition (July 12, 2010)
0445	1	Amulet Books (January 13, 2009)
0446	1	New Riders Press; 1 edition (January 4, 2008)
0447	1	Schwarz Press (February 22, 2008)
0448	1	St. Martin's Griffin; 1 edition (June 22, 2010)
0449	1	Scribner; First Edition edition (January 10, 1996)
0450	1	Penguin Books Ltd; Repack edition (November 28, 1996)
0451	1	Workman Publishing Company (1996)
0452	1	Free Press; 1 edition (April 22, 2008)
0453	1	BenBella Books (April 14, 2009)
0454	1	The MIT Press (October 30, 2009)
0455	1	Running Press (December 27, 2005)
0456	1	El And�n (March 2008)
0457	1	Alliance Publishing; 1st Edition: 10 9 8 7 6 5 4 3 2 1 edition (April 10, 2007)
0458	1	BiblioBazaar (November 27, 2006)
0459	1	St. Martin's Press; 1 edition (June 22, 2010)
0460	1	Ecco; Reprint edition (September 8, 2009)
0461	1	Delacorte Books for Young Readers; First Edition edition (June 24, 2008)
0462	1	General Books LLC (March 6, 2010)
0463	1	Pan Publishing (August 2004)
0464	1	William Morrow; First Edition edition (July 14, 2009)
0465	1	Amulet Books; Third Edition edition (April 1, 2007)
0466	1	Penguin (Non-Classics) (May 1, 2001)
0467	1	Viking Adult; Later Printing edition (May 4, 2000)
0468	1	Washington Square Press (May 23, 2006)
0469	1	Berkley (September 26, 2006)
0470	1	HarperCollins; Revised edition (November 13, 2001)
0471	1	Roc Hardcover; 1st Hardcover Ed edition (July 1, 2008)
0472	1	Wellness Central; Har/DVD edition (September 10, 2009)
0473	1	Tantor Media; Unabridged,MP3 - Unabridged CD edition (June 16, 2010)
0474	1	Ballantine Books (June 1, 2010)
0475	1	Random House Audio; Unabridged edition (November 3, 2009)
0476	1	Skyhorse Publishing (March 8, 2010)
0477	1	Atlantic Monthly Press (August 20, 2002)
0478	1	Thomas Nelson; 1 edition (May 2, 2005)
0479	1	American Media International; Unabridged edition (November 25, 2005)
0480	1	Abrams (January 1, 2009)
0481	1	San Val (May 2003)
0482	1	Rodale Books; 1 edition (December 30, 2008)
0483	1	Macmillan Audio; Unabridged edition (September 5, 2006)
0484	1	Fireside (March 30, 2004)
0485	1	Broadway Business; 1 edition (June 15, 2010)
0486	1	Random House (October 27, 2009)
0487	1	Random House Large Print; Lrg edition (October 27, 2009)
0488	1	Tantor Media; Unabridged edition (January 26, 2009)
0489	1	Grand Central Publishing (May 1, 1998)
0490	1	Simon & Schuster (November 10, 2000)
0491	1	Dutton Adult; First Edition edition (August 6, 2009)
0492	1	Penguin Press HC, The (June 10, 2010)
0493	1	St. Martin's Griffin; 1ST edition (March 4, 2008)
0494	1	Bolinda Publishing; Unabridged edition (December 31, 2008)
0495	1	Oxford University Press, USA; 3 edition (May 18, 2006)
0496	1	HarperChildrensAudio (May 29, 2007)
0497	1	Penguin Books Australia (September 1, 2008)
0498	1	Tarcher (March 10, 2003)
0499	1	Vintage; Trade Paperback Edition edition (June 29, 1993)
0500	1	Threshold Editions; Original edition (March 9, 2010)
0501	1	Hardie Grant Books (November 1, 2010)
0502	1	Broadway Business; 1 edition (February 22, 2005)
0503	1	Recorded Books (August 2005)
0504	1	Vintage; 1 edition (March 2, 2010)
0505	1	St. Martin's Press (September 29, 2009)
0506	1	St. Martin's Griffin (October 2, 2007)
0507	1	Vintage (June 1, 2010)
0508	1	Vintage (June 23, 2009)
0509	1	Vintage; 1 edition (March 23, 2010)
0510	1	Random House Audio; Unabridged edition (June 23, 2009)
0511	1	Maclehose Press Quercus; First American Edition edition (January 2009)
0512	1	Blackstone Audio, Inc.; Unabridged library edition (July 1, 2010)
0513	1	Bantam (December 27, 2005)
0514	1	Bantam; First Thus edition (April 29, 2003)
0515	1	Island Books; First Thus edition (October 9, 2001)
0516	1	Revell; Original edition (April 1, 2010)
0517	1	Revell; Original edition (April 1, 2010)
0518	1	Revell; Original edition (February 1, 2009)
0519	1	Random House Audio; Abridged edition (June 26, 2007)
0520	1	Zondervan (January 1, 2006)
0521	1	Walker Books; Walker Large Print edition (January 15, 2008)
0522	1	Center Street (August 1, 2007)
0523	1	Paw Prints; Reprint edition (August 11, 2008)
0524	1	Northstar Audio Books Inc (a) (June 1989)
0525	1	Bethany House Publishers; 2nd edition
0526	1	Bethany House; Repack edition (February 1, 2005)
0527	1	Blackstone Audiobooks; Unabridged edition (April 2005)
0528	1	Penguin Classics Hardcover; Exclusive to Waterstones ed edition (October 27, 2009)
0529	1	Oxford University Press, USA; Revised edition (April 29, 2004)
0530	1	For Dummies (July 31, 2006)
0531	1	Grand Central Publishing (January 2002)
0532	1	Grand Central Publishing (June 8, 2010)
0533	1	Ace; Reprint edition (March 31, 2009)
0534	1	Putnam Adult (September 21, 2010)
