book	deepdiscount	publisher
0156	1	Avon Books
0157	1	Cinco Puntos Pr
0158	1	Watson-Guptill Pubns
0159	1	Harpercollins
0160	1	For Dummies
0161	1	EOS
0162	1	Penguin Group USA
0163	1	Pinnacle Books
0164	1	Course Technology PTR
0165	1	Hyperion
0166	1	Amber-Allen Pub
0167	1	Vintage Books
0168	1	Innovative Kids
0169	1	Tor Books
0170	1	Dark Horse Comics
0171	1	Prentice Hall Pr
0172	1	Golden Books
0173	1	Random House Children's Books
0174	1	Perennial
0175	1	Little Simon
0176	1	Berkley Pub. Group
0177	1	MIRA Books
0178	1	Ballantine Books
0179	1	Phaidon Inc Ltd
0180	1	Hay House, Inc.
0181	1	Tor Books
0182	1	Dragonfly
0183	1	Aberdeen Home Repair
0184	1	Berkley Pub. Group
0185	1	Ivy Books
0186	1	Compendium Inc
0187	1	Simon & Schuster
0188	1	Jove Pubns
0189	1	Ig Pub
0190	1	Thomas Nelson Inc
0191	1	Breakaway Books
0192	1	Tor Books
0193	1	Viking Children's Books
0194	1	Bantam Books
0195	1	Three Rivers Pr
0196	1	Little, Brown & Co
0197	1	Chronicle Books LLC
0198	1	Sourcebooks Casablanca
0199	1	Lund Books
0200	1	Vintage Books
0201	1	Sleeping Bear Pr
0202	1	Idea & Design Works Llc
0203	1	Workman Pub Co
0204	1	Del Rey
0205	1	Johnson Books
0206	1	Hardcase Crime
0207	1	Ace Books
0208	1	Hay House Audio
0209	1	Dogwise Pub
0210	1	Alfred Pub Co
0211	1	Random House Children's Books
0212	1	W W Norton & Co Inc
0213	1	St Martin's Pr
0214	1	Zondervan
0215	1	Bantam Books
0216	1	Little, Brown & Co
0217	1	Dell Pub Co
0218	1	Bantam Books
0219	1	St Martin's Pr
0220	1	Little, Brown & Co
0221	1	Ballantine Books
0222	1	Square Fish
0223	1	TOKYOPOP
0224	1	Robert Rose Inc
0225	1	Portfolio
0226	1	Penguin Group USA
0227	1	Fawcett Books
0228	1	Enigma Books
0229	1	Random House Children's Books
0230	1	Harcourt
0231	1	Zondervan
0232	1	Games Workshop Ltd
0233	1	Ballantine Books
0234	1	Dial Pr
0235	1	Grand Central Pub
0236	1	Childrens Pr
0237	1	Griffin
0238	1	Viz
0239	1	Scribner
0240	1	Oxford Univ Pr
0241	1	Running Pr Book Pub
0242	1	Bantam Books
0243	1	Ellie Herman Books
0244	1	Viz
0245	1	Brilliance Audio
0246	1	Harpercollins
0247	1	Viz
0248	1	Oxford Univ Pr
0249	1	Viz
0250	1	William Morrow & Co
0251	1	MIRA Books
0252	1	Tom Doherty Assoc Llc
0253	1	Thomas Nelson Inc
0254	1	Brilliance Audio
0255	1	Viz
0256	1	Grand Central Pub
0257	1	Berkley Pub. Group
0258	1	HarperEntertainment
0259	1	Dutton Children's Books
0260	1	Univ of Wisconsin Pr
0261	1	Melville House Pub
0262	1	Adams Media Corp
0263	1	Prima Games
0264	1	Viking Pr
0265	1	St Martin's Pr
0266	1	Harpercollins
0267	1	Basic Books
0268	1	Bantam Books
0269	1	Sandpiper
0270	1	Clarkson Potter
0271	1	Running Pr Book Pub
0272	1	McSweeneys Books
0273	1	Ace Books
0274	1	Vintage Books
0275	1	Laurel Leaf
0276	1	Viz
0277	1	Clymer Pubns
0278	1	Random House, Inc.
0279	1	Simon Spotlight Entertainment
0280	1	Orbit
0281	1	Ivp Books
0282	1	Philomel Books
0283	1	Viz
0284	1	Piggy Toes Pr
0285	1	Golden Books
0286	1	St Martin's Pr
0287	1	Grand Central Pub
0288	1	Leisure Books
0289	1	Ballantine Books
0290	1	Cumberland House
0291	1	Razorbill
0292	1	O'Reilly & Associates, Inc.
0293	1	For Dummies
0294	1	Bbc Audiobooks Amer
0295	1	Henry Holt Books for Young Readers
0296	1	Scholastic Paperbacks
0297	1	Games Workshop Ltd
0298	1	Sandpiper
0299	1	Laurel Leaf
0300	1	Trophy Pr
0301	1	Alfred a Knopf Inc
0302	1	Sandpiper
0303	1	Bantam Books
0304	1	W W Norton & Co Inc
0305	1	Puffin
0306	1	Minotaur Books
0307	1	Hay House, Inc.
0308	1	St Martin's Pr
0309	1	Udon Entertainment Corp
0310	1	William Morrow Cookbooks
0311	1	Zebra Books
0312	1	Zebra Books
0313	1	Washington Square Pr
0314	1	Oxford Univ Pr
0315	1	McGraw-Hill
0316	1	Signet
0317	1	Viking Children's Books
0318	1	Random House, Inc.
0319	1	Picador USA
0320	1	Yen Pr
0321	1	Cliff Notes
0322	1	Dial Pr
0323	1	Griffin
0324	1	Vintage Books
0325	1	Harperaudio
0326	1	Vintage Books
0327	1	Signet
0328	1	Forge
0329	1	Graphia
0330	1	Regan Books
0331	1	Pocket Books
0332	1	TOKYOPOP
0333	1	Fawcett Books
0334	1	Mtv Books
0335	1	Good Life Pr
0336	1	William Morrow & Co
0337	1	Free Pr
0338	1	Viking Children's Books
0339	1	Howell Book House
0340	1	Houghton Mifflin
0341	1	Laurel Leaf
0342	1	Teton New Media
0343	1	Univ of North Carolina Pr
0344	1	Sterling Pub Co, Inc.
0345	1	Thomas Nelson Inc
0346	1	Mysterious Pr
0347	1	Grand Central Pub
0348	1	Broadway Books
0349	1	Dutton Children's Books
0350	1	Viz
0351	1	Hay House, Inc.
0352	1	Harcourt Children's Books
0353	1	Grand Central Pub
0354	1	McGraw-Hill
0355	1	Fireside
0356	1	Simon & Schuster
0357	1	Cmx
0358	1	Spectra
0359	1	Pocket Books
0360	1	Mariner Books
0361	1	Bantam Dell Pub Group
0362	1	Artigo Pub Intl Llc
0363	1	Random House Children's Books
0364	1	Hyperion
0365	1	Haynes Pubns
0366	1	Hay House, Inc.
0367	1	Free Pr
0368	1	Palgrave Macmillan
0369	1	Grand Central Pub
0370	1	Viz
0371	1	Grand Central Pub
0372	1	Random House Children's Books
0373	1	Rizzoli Intl Pubns
0374	1	Pocket Books
0375	1	Viz
0376	1	Palmer Pletsch Pub
0377	1	Kingfisher
0378	1	Epoca Editorial
0379	1	Scholastic
0380	1	New River Pr
0381	1	Silhouette
0382	1	Citadel Pr
0383	1	Lushena Books
0384	1	HarperBusiness
0385	1	Penguin Group USA
0386	1	Puffin
0387	1	Workman Pub Co
0388	1	Signet
0389	1	Aladdin Paperbacks
0390	1	Baron/Barclay Bridge Supplies
0391	1	Jove Pubns
0392	1	Bookstein Pub
0393	1	Bantam Books
0394	1	Harpercollins
0395	1	Puffin
0396	1	Griffin
0397	1	Black Dog & Leventhal Pub
0398	1	For Dummies
0399	1	Henry Holt & Co
0400	1	Bantam Books
0401	1	Teri Woods Pub
0402	1	Poppy
0403	1	Parragon Inc
0404	1	Rodale Pr
0405	1	Bantam Books
0406	1	Pegasus Books
0407	1	Blue Snake Books
0408	1	Jewish Lights Pub
0409	1	Times Books
0410	1	Ace Books
0411	1	Netcomics
0412	1	Vertigo
0413	1	Random House, Inc.
0414	1	Corystevens Pub Inc
0415	1	Our Sunday Visitor
0416	1	Seal Pr
0417	1	G Schirmer Inc
0418	1	Running Pr Book Pub
0419	1	Pocket Books
0420	1	Cool Springs Pr
0421	1	St Martin's Pr
0422	1	Tor Books
0423	1	Pocket Books
0424	1	Digital Manga Pub
0425	1	Del Rey
0426	1	Avon Books
0427	1	Dc Comics
0428	1	Osote Pub
0429	1	Vertigo
0430	1	Vintage Books
0431	1	Perennial
0432	1	Viz
0433	1	Boom! Studios
0434	1	Bantam Books
0435	1	Trophy Pr
0436	1	Roc
0437	1	Ballantine Books
0438	1	Pocket Books
0439	1	William Morrow & Co
0440	1	Sterling Pub Co, Inc.
0441	1	Berkley Pub. Group
0442	1	Tor Books
0443	1	Crosley-Griffith Pub Co Inc
0444	1	Harmony Books
0445	1	W W Norton & Co Inc
0446	1	Miramax
0447	1	Ballantine Books
0448	1	Viz
0449	1	Berkley Pub. Group
0450	1	Cliff Notes
0451	1	Random House, Inc.
0452	1	St Martin's Pr
0453	1	Random House, Inc.
0454	1	Cartwheel Books
0455	1	Barron's Educational Series Inc.
0456	1	Bantam Books
0457	1	Tyndale House Pub
0458	1	Berkley Pub. Group
0459	1	Jove Pubns
0460	1	Udon Entertainment Corp
0461	1	Del Rey
0462	1	Music Sales Corp. [distributor]
0463	1	Kingfisher
0464	1	Berkley Pub. Group
0465	1	Cmx
0466	1	Viz
0467	1	Berkley Pub. Group
0468	1	Punto de Lectura
0469	1	Zondervan
0470	1	Louisiana State Univ Pr
0471	1	Houghton Mifflin Harcourt
0472	1	Random House Children's Books
0473	1	Random House Children's Books
0474	1	HarperResource
0475	1	Three Rivers Pr
0476	1	HarperTorch
0477	1	Jove Pubns
0478	1	Viz
0479	1	Basic Books
0480	1	McGraw-Hill
0481	1	Vintage Books
0482	1	Viz
0483	1	Avon Books
0484	1	FaithWords
0485	1	Univ Pr of Mississippi
0486	1	W W Norton & Co Inc
0487	1	Back Bay Books
0488	1	Viz
0489	1	Black Cat
0490	1	Good Books
0491	1	Alfred Pub Co
0492	1	Adventures Unlimited Pr
0493	1	Bethany House Pub
0494	1	Netcomics
0495	1	Simon & Schuster
0496	1	Leisure Books
0497	1	Random House Children's Books
0498	1	Univ of Wisconsin Pr
0499	1	Bantam Books
0500	1	Harpercollins
0501	1	Watson-Guptill Pubns
0502	1	Harpercollins
0503	1	Dell Pub Co
0504	1	Square Fish
0505	1	Random House Children's Books
0506	1	Chronicle Books LLC
0507	1	Pocket Books
0508	1	Udon Entertainment Corp
0509	1	Sams
0510	1	Paizo Pub Llc
0511	1	Hal Leonard Corp
0512	1	William Morrow & Co
0513	1	Harper Trophy
0514	1	Frommer
0515	1	Griffin
0516	1	Collins
0517	1	Puffin
0518	1	Laurel Leaf
0519	1	Thomas Nelson Inc
0520	1	Southern Illinois Univ Pr
0521	1	Routledge
0522	1	MIRA Books
0523	1	Silver Dolphin
0524	1	Dafina
0525	1	Hardcase Crime
0526	1	Headline Book Pub Ltd
0527	1	Dark Horse Comics
0528	1	Lucas Books
0529	1	Berkley Pub. Group
0530	1	Joanna Cotler Books
0531	1	Alfred Pub Co
0532	1	Collins Business
0533	1	For Dummies
0534	1	Penguin Group USA
0535	1	Concordia Pub. House
0536	1	Bantam Books
0537	1	Clarkson Potter
0538	1	Perennial
0539	1	Broadway Books
0540	1	Gibbs Smith
0541	1	Simon Spotlight Entertainment
0542	1	Ballantine Books
0543	1	Hal Leonard Corp
0544	1	HarperSanFrancisco
0545	1	Wellness Central
0546	1	Harperteen
0547	1	Viking Children's Books
0548	1	John Wiley & Sons Inc.
0549	1	Usborne Pub Ltd
0550	1	Alfred a Knopf Inc
0551	1	Northwestern Univ Pr
0552	1	Fawcett Books
0553	1	Dell Pub Co
0554	1	Digital Manga Pub
0555	1	Workman Pub Co
0556	1	Aladdin Paperbacks
0557	1	Hampton Roads Pub Co Inc
0558	1	Random House Children's Books
0559	1	Tor Books
0560	1	Bloomsbury Pub Plc USA
0561	1	Source Book Pubns
0562	1	Bantam Classic & Loveswept
0563	1	New Amer Library
0564	1	Mariner Books
0565	1	Thomas Nelson Inc
0566	1	Signet
0567	1	Tor Science Fiction
0568	1	Harper Prism
0569	1	Penguin Group USA
0570	1	HarperCollins Children's Books
0571	1	Speak
0572	1	Berkley Pub. Group
0573	1	Alfred Pub Co
0574	1	Viz
0575	1	Wizards of the Coast
0576	1	Atria Books
0577	1	Pocket Books
0578	1	Love Spell
0579	1	Simon & Schuster
0580	1	Pocket Books
0581	1	Plume
0582	1	Harvest House Pub
0583	1	St Martin's Pr
0584	1	Bantam Classic & Loveswept
0585	1	Pocket Star
0586	1	Zoetic
0587	1	Viz
0588	1	Anchor Books
0589	1	Storey Books
0590	1	Dramatists Play Service
0591	1	Harpercollins
0592	1	Wendy Lamb Books
0593	1	Perennial
0594	1	St Martin's Pr
0595	1	Bulfinch Pr
0596	1	Soft Skull Pr
0597	1	TOKYOPOP
0598	1	TOKYOPOP
0599	1	Mariner Books
0600	1	TOKYOPOP
0601	1	Dark Horse Comics
0602	1	Ballantine Books
0603	1	Sunburst
0604	1	Bantam Books
0605	1	Viz
0606	1	Dark Horse Comics
0607	1	Houghton Mifflin Harcourt
0608	1	William Morrow & Co
0609	1	Marvel Enterprises
0610	1	Harperluxe
0611	1	McGraw-Hill
0612	1	Bantam Dell Pub Group
0613	1	Jove Pubns
0614	1	Back Bay Books
0615	1	Little Simon
0616	1	Thomas Dunne Books
0617	1	Harpercollins
0618	1	The Princeton Review
0619	1	Viz
0620	1	Puffin
0621	1	Puffin
0622	1	Innovative Kids
0623	1	Warner Bros Pubns
0624	1	Avon Books
0625	1	Free Pr
0626	1	Ignatius Pr
0627	1	Indiana Univ Pr
0628	1	Free Pr
0629	1	Tor Science Fiction
0630	1	Bantam Books
0631	1	Harcourt Children's Books
0632	1	HarperTorch
0633	1	Hal Leonard Corp
0634	1	Perennial
0635	1	Scholastic
0636	1	Scheidegger Und Spiess Ag Verlag
0637	1	Zebra Books
0638	1	Pinnacle Books
0639	1	TOKYOPOP
0640	1	Avon Books
0641	1	Center st
0642	1	Marvel Enterprises
0643	1	It Books
0644	1	Thomas Nelson Inc
0645	1	Thomas Nelson Inc
0646	1	Alfred a Knopf Inc
0647	1	Kitty Pr
0648	1	B & H Espanol
0649	1	Hqn Books
0650	1	Bantam Books
0651	1	Little, Brown & Co
0652	1	Zondervan
0653	1	For Dummies
0654	1	Pocket Books
0655	1	Amer Society of Mechanical
0656	1	Andrews McMeel Pub
0657	1	Yen Pr
0658	1	Harpercollins
0659	1	Fleming H. Revell Co
0660	1	Ballantine Books
0661	1	For Dummies
0662	1	Surrey Books
0663	1	Yug
0664	1	Viz
0665	1	Harpercollins
0666	1	Sterling Pub Co, Inc.
0667	1	Avon Books
0668	1	Tor Books
0669	1	Clarion Books
0670	1	Delacorte Pr
0671	1	MIRA Books
0672	1	Sequoia, Pub
0673	1	Random House, Inc.
0674	1	Viz
0675	1	Random House Children's Books
0676	1	Viz
0677	1	Westbow Pr
0678	1	Grand Central Pub
0679	1	Penguin Group USA
0680	1	Bt Bound
0681	1	Steidl / Edition7L
0682	1	Avon Books
0683	1	Dk Pub
0684	1	Berkley Pub. Group
0685	1	Krause Pubns Inc
0686	1	Doral Pub
0687	1	Avon Books
0688	1	Plume
0689	1	Vintage Books
0690	1	Griffin
0691	1	Reader's Digest
0692	1	HarperCollins Children's Books
0693	1	Random House Children's Books
0694	1	Viz
0695	1	Forever
0696	1	Yale Univ Pr
0697	1	Breckling Pr
0698	1	Stone Bridge Pr
0699	1	M Evans & Co
0700	1	Baen Books
0701	1	Fleming H. Revell Co
0702	1	Doral Pub
0703	1	Harpercollins
0704	1	Avery Pub. Group
0705	1	TOKYOPOP
0706	1	Raven Tree Pr Llc
0707	1	Mason Crest
0708	1	Random House Uk Ltd
0709	1	Graphic Planet
0710	1	Second Story Pr
0711	1	Sybex Inc.
0712	1	Dutton Children's Books
0713	1	Schiffer Pub Ltd
0714	1	St Martin's Pr
0715	1	Cambridge Univ Pr
0716	1	Free Spirit Pub
0717	1	W W Norton & Co Inc
0718	1	That Patchwork Place
0719	1	Wrox Pr Inc
0720	1	Europa Editions Inc
0721	1	Soundprints
0722	1	Amulet Books
0723	1	Springer-Verlag New York Inc
0724	1	Hyperion Books
0725	1	HarperCollins Children's Books
0726	1	Osprey Pub Co
0727	1	Chicago Review Pr
0728	1	Corwin Pr
0729	1	Palgrave Macmillan
0730	1	MIRA Books
0731	1	Hippocrene Books
0732	1	Univ of Wisconsin Pr
0733	1	Palgrave Macmillan
0734	1	Sally Milner Pub
0735	1	Mason Crest
0736	1	Thomas Nelson Inc
0737	1	Blackwell Pub
0738	1	Harpercollins
0739	1	Jump Math
0740	1	Henry Holt & Co
0741	1	Bbc Pubns
0742	1	Marvel Enterprises
0743	1	Overlook Pr
0744	1	HarperCollins Children's Books
0745	1	Routledge
0746	1	Grosset & Dunlap
0747	1	Continuum Intl Pub Group
0748	1	Marquette Univ Pr
0749	1	Mit Pr
0750	1	Free Pr
0751	1	St Martin's Pr
0752	1	Persea Books
0753	1	Albert Whitman & Co
0754	1	Little Brown Uk
0755	1	Mariner Books
0756	1	World Scientific Pub Co Inc
0757	1	Hippocrene Books
0758	1	O'Reilly & Associates, Inc.
0759	1	Palgrave Macmillan
0760	1	Periplus Editions
0761	1	Empresa Activa
0762	1	Continuum Intl Pub Group
0763	1	Ebury Pr
0764	1	St Lynns Pr
0765	1	Aslan Pub
0766	1	Kenilworth Pr
0767	1	H.J. Kramer
0768	1	Perigee
0769	1	Bold Strokes Books
0770	1	Overlook Pr
0771	1	Apple-wood Books
0772	1	Anchor Books
0773	1	Little, Brown & Co
0774	1	That Patchwork Place
0775	1	Dk Pub
0776	1	Thomas Nelson Inc
0777	1	BMJ Books
0778	1	Prometheus Books
0779	1	Search Pr Ltd
0780	1	Brilliance Audio
0781	1	Henry Holt & Co
0782	1	Second Story Pr
0783	1	Franklin Watts
0784	1	B & H Books
0785	1	Quarry Books
0786	1	Tyndale House Pub
0787	1	For Dummies
0788	1	John Wiley & Sons Inc.
0789	1	Wilderness Pr
0790	1	Quail Ridge Pr
0791	1	Bard
0792	1	Immedium
0793	1	Cambridge Univ Pr
0794	1	Laurel Leaf
0795	1	John Wiley & Sons Inc.
0796	1	Penguin Group USA
0797	1	Enslow Elementary
0798	1	Continuum Intl Pub Group
0799	1	Avon Books
0800	1	St Martin's Pr
0801	1	Pelican Pub Co Inc
0802	1	Webster's New World
0803	1	Del§ta
0804	1	HarperFestival
0805	1	John Wiley & Sons Inc.
0806	1	Univ of North Carolina Pr
0807	1	North-South Books
0808	1	Latin Amer Literary Review Pr
0809	1	Detroit Inst of Arts
0810	1	Destiny Image Pub
0811	1	Regal Books
0812	1	Natl Geographic Soc Childrens books
0813	1	Brilliance Audio Lib Edn
0814	1	John Wiley & Sons Inc.
0815	1	Duke Univ Pr
0816	1	Gem Guides Book Co
0817	1	Leisure Arts
0818	1	Univ Pr of Mississippi
0819	1	Heinemann-Raintree
0820	1	Timber Pr
0821	1	Thomas Dunne Books
0822	1	Abbeville Pr
0823	1	Brilliance Audio Lib Edn
0824	1	Aslan Pub
0825	1	Cool Springs Pr
0826	1	Lion Pub
0827	1	John Wiley & Sons Inc.
0828	1	Corwin Pr
0829	1	John Wiley & Sons Inc.
0830	1	Bold Strokes Books
0831	1	Abdo Pub Co
0832	1	Yen Pr
0833	1	F.A. Davis Co
0834	1	Perennial
0835	1	Overlook Pr
0836	1	Open Univ Pr
0837	1	Little, Brown & Co
0838	1	Harpercollins
0839	1	Annick Pr
0840	1	Dk Pub
0841	1	Blue Marlin Pubns
0842	1	Scholastic Paperbacks
0843	1	Ace Books
0844	1	Del Rey
0845	1	Jossey-Bass Inc Pub
0846	1	Bloomsbury Pub Plc USA
0847	1	Jump Math
0848	1	Palgrave Macmillan
0849	1	Henry Holt & Co
0850	1	Riverhead Books
0851	1	Tyndale House Pub
0852	1	Harry N. Abrams, Inc.
0853	1	Hohm Pr
0854	1	Second Story Pr
0855	1	Harry N. Abrams, Inc.
0856	1	Ediciones B
0857	1	Delacorte Pr
0858	1	Rockport Pub
0859	1	Bison Books
0860	1	Tapestry Pr
0861	1	Sterling Pub Co, Inc.
0862	1	Gemstone Pub
0863	1	Prometheus Books
0864	1	Hardcase Crime
0865	1	St Augustine Pr Inc
0866	1	Three Rivers Pr
0867	1	Corwin Pr
0868	1	Rio Nuevo Pub
0869	1	Univ of Nevada Pr
0870	1	Histoire & collections
0871	1	Sage Pubns
0872	1	John Wiley & Sons Inc.
0873	1	Routledge
0874	1	Arcadia Pub
0875	1	Little, Brown & Co
0876	1	Isle Pr
0877	1	Routledge
0878	1	Chicago Review Pr
0879	1	Plural Pub Inc
0880	1	TOKYOPOP
0881	1	Thames & Hudson
0882	1	Imagination Studio
0883	1	Corwin Pr
0884	1	Univ of Nevada Pr
0885	1	Crowood Pr
0886	1	H.F. Ullmann
0887	1	Broadway Books
0888	1	John Wiley & Sons Inc.
0889	1	John Wiley & Sons Inc.
0890	1	Colourstory Pty Ltd
0891	1	Pocket Books
0892	1	Random House, Inc.
0893	1	TOKYOPOP
0894	1	Thieme Medical Pub
0895	1	Penguin Group USA
0896	1	Paulist Pr
0897	1	Chicago Review Pr
0898	1	Steidl / Edition7L
0899	1	Peachpit Pr
0900	1	Heinemann-Raintree
0901	1	Cider Mill Pr Book Pub Llc
0902	1	Twomorrows Pub
0903	1	Paizo Pub Llc
0904	1	Bloomsbury USA
0905	1	Albert Whitman & Co
0906	1	MIRA Books
0907	1	Little Brown Uk
0908	1	Mariner Books
0909	1	Random House, Inc.
0910	1	Hippocrene Books
0911	1	Jones & Bartlett Pub
0912	1	For Dummies
0913	1	Three Rivers Pr
0914	1	W.H. Freeman & Co
0915	1	Boyds Mills Pr
0916	1	Bloomsbury USA
0917	1	Pemberley Pr
0918	1	Barefoot Books
0919	1	Charlesbridge Pub Inc
0920	1	For Dummies
0921	1	Mason Crest
0922	1	Routledge
0923	1	O'Reilly & Associates, Inc.
0924	1	Routledge
0925	1	Usborne Pub Ltd
0926	1	Bt Bound
0927	1	Duke Univ Pr
0928	1	Lippincott Williams & Wilkins
0929	1	Lyle Stuart
0930	1	Atria Books
0931	1	Indiana Univ Pr
0932	1	Hippocrene Books
0933	1	Broadview Pr
0934	1	Continuum Intl Pub Group
0935	1	Timber Pr
0936	1	Three Rivers Pr
0937	1	Berkley Pub. Group
0938	1	Univ of Missouri Pr
0939	1	Tauris Parke Paperbacks
0940	1	Palgrave Macmillan
0941	1	Urban Books
0942	1	Oxford Univ Pr
0943	1	Listening Library
0944	1	Brilliance Audio Lib Edn
0945	1	Mulberry Books
0946	1	Univ of Wisconsin Pr
0947	1	Prima Games
0948	1	Ebury Pr
0949	1	Dk Pub
0950	1	Allyn & Bacon
0951	1	Destino
0952	1	Guilford Pubn
0953	1	Key Porter Books
0954	1	Tantor Media Inc
0955	1	H.J. Kramer
0956	1	Lonely Planet
0957	1	Hqn Books
0958	1	Benchmark Books
0959	1	Davies Inc
0960	1	Forge
0961	1	Whitman Pub Llc
0962	1	Palgrave Macmillan
0963	1	Cato Inst
0964	1	Arcadia Pub
0965	1	Open Univ Pr
0966	1	Mason Crest
0967	1	Andrews McMeel Pub
0968	1	Anchor Books
0969	1	Berkley Pub. Group
0970	1	Chartwell Books
0971	1	That Patchwork Place
0972	1	Peachpit Pr
0973	1	Compass Point Books
0974	1	Univ of California Pr
0975	1	Tantor Media Inc
0976	1	Texere
0977	1	W W Norton & Co Inc
0978	1	Gardners Books
0979	1	Fleming H. Revell Co
0980	1	Dk Pub
0981	1	Dial Books for Young Readers
0982	1	Avon Books
0983	1	Benchmark Books
0984	1	Bantam Books
0985	1	Visual
0986	1	Yale Univ Pr
0987	1	AMACOM Books
0988	1	Sterling Pub Co, Inc.
0989	1	One World
0990	1	Da Capo Pr
0991	1	Routledge
0992	1	Millbrook Pr
0993	1	New World Library
0994	1	Brilliance Audio
0995	1	Vintage Books
0996	1	Amer Univ in Cairo Pr
0997	1	Minos Tercer Milenio
0998	1	Madison Press Books
0999	1	Harry N. Abrams, Inc.
1000	1	Waterbrook Pr
1001	1	Andrews McMeel Pub
1002	1	Benchmark Books
1003	1	State Univ of New York Pr
1004	1	Copernicus Books
1005	1	Routledge
1006	1	Storey Books
1007	1	Lorenz Books
1008	1	Quarry Books
1009	1	Coffee House Pr
1010	1	Reaktion Books
1011	1	Motorbooks Intl
1012	1	Prometheus Books
1013	1	Thames & Hudson
1014	1	LA Factoria De Ideas
1015	1	Calvary Pr
1016	1	Aladdin Paperbacks
1017	1	Corwin Pr
1018	1	Hodder Arnold
1019	1	Simon Pulse
