book	waterstones	publisher
0100	1	Headline Book Publishing
0101	1	Penguin Books Ltd
0102	1	Weidenfeld & Nicolson
0103	1	Mainstream Publishing
0104	1	Simon & Schuster
0105	1	A & C Black Publishers Ltd
0106	1	Adlard Coles Nautical
0107	1	A & C Black Publishers Ltd
0108	1	Milo Books
0109	1	McFarland & Co Inc
0110	1	Summersdale Publishers
0111	1	Raceform Ltd
0112	1	J.A.Allen & Co Ltd
0113	1	Random House Books
0114	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0115	1	Headline Book Publishing
0116	1	Short Books Ltd
0117	1	Pan Books
0118	1	Mainstream Publishing
0119	1	Aurum Press Ltd
0120	1	HarperCollins Entertainment
0121	1	Bloomsbury Publishing PLC
0122	1	Weidenfeld & Nicolson
0123	1	Canongate Books Ltd
0124	1	Penguin Books Ltd
0125	1	Malnoue Publications
0126	1	Time Out Guides
0127	1	Which? Books
0128	1	Jonglez
0129	1	Cassell Illustrated
0130	1	Ebury Press
0131	1	Workman Publishing
0132	1	Lonely Planet Publications
0133	1	Times Books
0134	1	Harden&#39;s Limited
0135	1	Chatto & Windus
0136	1	Lonely Planet Publications
0137	1	Time Out Group Ltd
0138	1	Alastair Sawday Publishing
0139	1	Pitkin Unichrome Ltd
0140	1	Sphere
0141	1	Eye Books
0142	1	Dorling Kindersley Publishers Ltd
0143	1	Berlitz Publishing
0144	1	Dubliner Media Ltd
0145	1	Lonely Planet Publications
0146	1	Dorling Kindersley Publishers Ltd
0147	1	Piatkus Books
0148	1	John Wiley & Sons Ltd
0149	1	Antique Collectors&#39; Club Ltd
0150	1	Ebury Press
0151	1	Dorling Kindersley Publishers Ltd
0152	1	Berlitz Publishing
0153	1	Black Swan
0154	1	Dorling Kindersley Publishers Ltd
0155	1	Black Swan
0156	1	Lonely Planet Publications
0157	1	Dorling Kindersley Publishers Ltd
0158	1	Lonely Planet Publications
0159	1	Automobile Association
0160	1	Moleskine srl
0161	1	Time Out Group Ltd
0162	1	Thames & Hudson Ltd
0163	1	Dorling Kindersley Publishers Ltd
0164	1	Automobile Association
0165	1	Dorling Kindersley Publishers Ltd
0166	1	Dorling Kindersley Publishers Ltd
0167	1	Lonely Planet Publications
0168	1	Cavallini & Company
0169	1	Lonely Planet Publications
0170	1	ALD Design & Print
0171	1	Financial Times Prentice Hall
0172	1	Northumbria University Press
0173	1	Vintage
0174	1	Nicholas Brealey Publishing
0175	1	Faber and Faber
0176	1	Trinity Mirror North West and North Wales
0177	1	Lonely Planet Publications
0178	1	Rough Guides Ltd
0179	1	Geographers&#39; A-Z Map Co Ltd
0180	1	Penguin Books Ltd
0181	1	Time Out Group Ltd
0182	1	HarperTrue
0183	1	Berlitz Publishing
0184	1	Berlitz Publishing
0185	1	W Foulsham & Co Ltd
0186	1	Dorling Kindersley Publishers Ltd
0187	1	Ebury Press
0188	1	Dorling Kindersley Publishers Ltd
0189	1	Geographers&#39; A-Z Map Co Ltd
0190	1	APA Publications Pte Ltd
0191	1	Little, Brown
0192	1	Abacus
0193	1	Routledge
0194	1	John Blake Publishing Ltd
0195	1	Geographers&#39; A-Z Map Co Ltd
0196	1	Lonely Planet Publications
0197	1	Lonely Planet Publications
0198	1	Ordnance Survey
0199	1	Rough Guides Ltd
0200	1	Sphere
0201	1	Dorling Kindersley Publishers Ltd
0202	1	Dorling Kindersley Publishers Ltd
0203	1	Penguin Books Ltd
0204	1	Lonely Planet Publications
0205	1	Graf Editions
0206	1	Vintage
0207	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0208	1	Rough Guides Ltd
0209	1	Philip&#39;s
0210	1	Time Out Group Ltd
0211	1	Universe Publishing
0212	1	Vintage
0213	1	Berlitz Publishing
0214	1	Prentice-Hall
0215	1	Princeton Architectural Press
0216	1	Jordan Publishing Ltd
0217	1	Brightword Publishing
0218	1	Infinite Ideas Limited
0219	1	Springer-Verlag New York Inc.
0220	1	Oxford University Press
0221	1	John Wiley & Sons Ltd
0222	1	Sterling
0223	1	Capstone Publishing Ltd
0224	1	Longman
0225	1	Pearson Education Limited
0226	1	Hal Leonard Corporation
0227	1	Bloomsbury Professional
0228	1	Prentice-Hall
0229	1	Prentice Hall Business
0230	1	Prentice Hall Business
0231	1	Virgin Books
0232	1	Penguin Books Ltd
0233	1	HarperCollins
0234	1	Penguin Books Ltd
0235	1	Constable
0236	1	John Wiley & Sons Ltd
0237	1	Financial Times Prentice Hall
0238	1	Bottom End Publishing
0239	1	Corgi Books
0240	1	Sweet & Maxwell
0241	1	Pan Books
0242	1	Oxford University Press
0243	1	Oxford University Press
0244	1	Financial Times Prentice Hall
0245	1	Oxford University Press
0246	1	Earthscan Ltd
0247	1	Which? Books
0248	1	ATOM
0249	1	ATOM
0250	1	Aurora
0251	1	Puffin Books
0252	1	Macmillan Children&#39;s Books
0253	1	Macmillan Children&#39;s Books
0254	1	HarperCollins Children&#39;s Books
0255	1	Scholastic
0256	1	Macmillan Children&#39;s Books
0257	1	Puffin Books
0258	1	Oxford University Press
0259	1	Macmillan Children&#39;s Books
0260	1	Walker Books Ltd
0261	1	Templar Publishing
0262	1	Allison & Busby
0263	1	Macmillan Children&#39;s Books
0264	1	Orchard Books
0265	1	ATOM
0266	1	Walker Books Ltd
0267	1	Scholastic
0268	1	Corgi Childrens
0269	1	Pedigree Books Ltd
0270	1	New Holland Publishers Ltd
0271	1	Macmillan Children&#39;s Books
0272	1	Orchard Books
0273	1	Thames & Hudson Ltd
0274	1	Puffin Books
0275	1	Puffin Books
0276	1	Sunbird
0277	1	Scholastic
0278	1	Sunbird
0279	1	Girls Gone By
0280	1	Scholastic US
0281	1	Simon & Schuster Childrens Books
0282	1	David Fickling Books
0283	1	Egmont Books Ltd
0284	1	Simon & Schuster Children&#39;s
0285	1	Templar Publishing
0286	1	Hodder Children&#39;s Books
0287	1	Usborne Publishing Ltd
0288	1	HarperCollins Children&#39;s Books
0289	1	HarperCollins Children&#39;s Books
0290	1	Puffin Books
0291	1	Hodder Children&#39;s Books
0292	1	HarperCollins Children&#39;s Books
0293	1	Simon & Schuster Childrens Books
0294	1	HarperCollins Children&#39;s Books
0295	1	Hodder Children&#39;s Books
0296	1	HarperCollins Children&#39;s Books
0297	1	Puffin Books
0298	1	Puffin Books
0299	1	Puffin Books
0300	1	ATOM
0301	1	ATOM
0302	1	Stripes Publishing, an imprint of Magi Publications
0303	1	Peachpit Press Publications
0304	1	Walker Books Ltd
0305	1	Orchard Books
0306	1	Templar Publishing
0307	1	Walker Books Ltd
0308	1	Stripes Publishing, an imprint of Magi Publications
0309	1	Puffin Books
0310	1	Orchard Books
0311	1	Macmillan Children&#39;s Books
0312	1	ATOM
0313	1	Walker Books Ltd
0314	1	Oxford University Press
0315	1	Macmillan Children&#39;s Books
0316	1	Allison & Busby
0317	1	Scholastic
0318	1	Puffin Books
0319	1	Running Press Miniature Editions
0320	1	Puffin Books
0321	1	Walker Books Ltd
0322	1	Tangent Books
0323	1	IPC Media - Focus Network
0324	1	Colin Baxter Photography Ltd
0325	1	Bloomsbury Publishing PLC
0326	1	Orchard Books
0327	1	HarperCollins Children&#39;s Books
0328	1	Mammoth
0329	1	Faber Children&#39;s Books
0330	1	Yearling (imprint of Random House Children&#39;s Books)
0331	1	Puffin Books
0332	1	Usborne Publishing Ltd
0333	1	Usborne Publishing Ltd
0334	1	Ladybird Books Ltd
0335	1	Sunbird
0336	1	HarperCollins Children&#39;s Books
0337	1	Egmont Books Ltd
0338	1	Running Press,U.S.
0339	1	HarperCollins Children&#39;s Books
0340	1	Dorling Kindersley Publishers Ltd
0341	1	Puffin Books
0342	1	Puffin Books
0343	1	Egmont Books Ltd
0344	1	Orchard Books
0345	1	Loft Publications
0346	1	Sterling
0347	1	Canongate Books Ltd
0348	1	Hamlyn
0349	1	Image Comics
0350	1	Portico
0351	1	Summersdale Publishers
0352	1	Fourth Estate Ltd
0353	1	Self Made Hero, a division of Metro Media Ltd
0354	1	Viz Media, Subs. of Shogakukan Inc
0355	1	Titan Books Ltd
0356	1	Viz Media, Subs. of Shogakukan Inc
0357	1	Viz Media, Subs. of Shogakukan Inc
0358	1	Simon & Schuster Ltd
0359	1	Viz Media, Subs. of Shogakukan Inc
0360	1	Titan Books Ltd
0361	1	Jonathan Cape Ltd
0362	1	Tokyopop Press Inc
0363	1	Viz Media, Subs. of Shogakukan Inc
0364	1	Viz Media, Subs. of Shogakukan Inc
0365	1	Viz Media, Subs. of Shogakukan Inc
0366	1	Viz Media, Subs. of Shogakukan Inc
0367	1	Viz Media, Subs. of Shogakukan Inc
0368	1	Sphere
0369	1	John Wiley & Sons Ltd
0370	1	Prentice-Hall
0371	1	Dorling Kindersley Publishers Ltd
0372	1	Panini Books
0373	1	Jonathan Cape Ltd
0374	1	Image Comics
0375	1	Viz Media, Subs. of Shogakukan Inc
0376	1	Arrow Books Ltd
0377	1	Idea & Design Works
0378	1	Titan Books Ltd
0379	1	Marvel Comics
0380	1	Saint Martin&#39;s Griffin,U.S.
0381	1	Image Comics
0382	1	Titan Books Ltd
0383	1	Panini Books
0384	1	Titan Books Ltd
0385	1	Knockabout Comics
0386	1	Dark Horse Comics,U.S.
0387	1	Titan Books Ltd
0388	1	Self Made Hero, a division of Metro Media Ltd
0389	1	Viz Media, Subs. of Shogakukan Inc
0390	1	Titan Books Ltd
0391	1	Viz Media, Subs. of Shogakukan Inc
0392	1	Dennis Publishing
0393	1	Tokyopop Press Inc
0394	1	Rider & Co
0395	1	Yen Press
0396	1	Viz Media, Subs. of Shogakukan Inc
0397	1	Hodder & Stoughton Ltd
0398	1	Titan Books Ltd
0399	1	Viz Media, Subs. of Shogakukan Inc
0400	1	Marvel Comics
0401	1	Tokyopop Press Inc
0402	1	Titan Books Ltd
0403	1	Viz Media, Subs. of Shogakukan Inc
0404	1	Viz Media, Subs. of Shogakukan Inc
0405	1	2000 AD Graphic Novels
0406	1	Titan Books Ltd
0407	1	Marvel Comics
0408	1	Frances Lincoln Publishers Ltd
0409	1	Panini Books
0410	1	Tokyopop Press Inc
0411	1	Marvel Comics
0412	1	Viz Media, Subs. of Shogakukan Inc
0413	1	Viz Media, Subs. of Shogakukan Inc
0414	1	Tor/Seven Seas
0415	1	Titan Books Ltd
0416	1	Digital Manga
0417	1	Thames & Hudson Ltd
0418	1	Titan Books Ltd
0419	1	Idea & Design Works
0420	1	Fantagraphics
0421	1	Titan Books Ltd
0422	1	Marvel Comics
0423	1	Tokyopop Press Inc
0424	1	Titan Books Ltd
0425	1	Titan Books Ltd
0426	1	Titan Books Ltd
0427	1	Viz Media, Subs. of Shogakukan Inc
0428	1	Titan Books Ltd
0429	1	Yen Press
0430	1	Yen Press
0431	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0432	1	Titan Books Ltd
0433	1	Marvel Comics
0434	1	Self Made Hero, a division of Metro Media Ltd
0435	1	Palgrave Macmillan
0436	1	Viz Media, Subs. of Shogakukan Inc
0437	1	Yen Press
0438	1	Titan Books Ltd
0439	1	Quadrille Publishing Ltd
0440	1	Thames & Hudson Ltd
0441	1	Prestel
0442	1	Brady Games
0443	1	John Wiley & Sons Ltd
0444	1	John Wiley & Sons Ltd
0445	1	Ilex
0446	1	Prentice-Hall
0447	1	Prentice-Hall
0448	1	Oxford Paperbacks
0449	1	APress
0450	1	In Easy Steps Limited
0451	1	Sams Publishing
0452	1	Brady Publishing
0453	1	Prentice Hall
0454	1	Prentice-Hall
0455	1	Ilex
0456	1	In Easy Steps Limited
0457	1	In Easy Steps Limited
0458	1	Phaidon Press Ltd
0459	1	Titan Books Ltd
0460	1	Thames & Hudson Ltd
0461	1	Taschen GmbH
0462	1	Pavilion Books
0463	1	John Wiley & Sons Ltd
0464	1	John Wiley & Sons Ltd
0465	1	PublicAffairs,U.S.
0466	1	Prentice-Hall
0467	1	John Wiley & Sons Ltd
0468	1	Rough Guides Ltd
0469	1	Sams Publishing
0470	1	Que Corporation,U.S.
0471	1	In Easy Steps Limited
0472	1	In Easy Steps Limited
0473	1	Rough Guides Ltd
0474	1	Brady Publishing
0475	1	Adobe Press,U.S.
0476	1	Prentice-Hall
0477	1	Microsoft Press,U.S.
0478	1	Prentice-Hall
0479	1	David & Charles
0480	1	Rough Guides Ltd
0481	1	John Wiley & Sons Ltd
0482	1	John Wiley & Sons Inc
0483	1	O&#39;Reilly Media, Inc, USA
0484	1	Hungry Minds Inc,U.S.
0485	1	John Wiley & Sons Ltd
0486	1	Phaidon Press Ltd
0487	1	Thames & Hudson Ltd
0488	1	Pavilion Books
0489	1	Peachpit Press Publications
0490	1	Osborne/McGraw-Hill
0491	1	Prentice-Hall
0492	1	Sams Publishing
0493	1	John Wiley & Sons Ltd
0494	1	John Wiley & Sons Ltd
0495	1	Hungry Minds Inc,U.S.
0496	1	Teach Yourself Books
0497	1	John Wiley & Sons Ltd
0498	1	John Wiley & Sons Ltd
0499	1	Addison-Wesley Educational Publishers Inc
0500	1	In Easy Steps Limited
0501	1	Heinemann
0502	1	Focal Press
0503	1	Prentice-Hall
0504	1	Open University Press
0505	1	Prentice-Hall
0506	1	Computer Step
0507	1	Folens Publishers UK
0508	1	Harriman House Publishing
0509	1	Friends of Ed
0510	1	Bernard Babani Publishing
0511	1	Microsoft Press,U.S.
0512	1	John Wiley & Sons Ltd
0513	1	Focal Press
0514	1	Piggyback Interactive
0515	1	Microsoft Press,U.S.
0516	1	In Easy Steps Limited
0517	1	J H Haynes & Co Ltd
0518	1	powerHouse Books,U.S.
0519	1	North Light Books
0520	1	Thames & Hudson Ltd
0521	1	Miller&#39;s Publications
0522	1	Peachpit Press Publications
0523	1	John Wiley & Sons Inc
0524	1	Hodder Gibson
0525	1	John Wiley & Sons Ltd
0526	1	Sams Publishing
0527	1	Adobe Press,U.S.
0528	1	John Wiley & Sons Ltd
0529	1	Oxford University Press
0530	1	John Wiley & Sons Inc
0531	1	Adobe Press,U.S.
0532	1	O&#39;Reilly Media, Inc, USA
0533	1	Prentice-Hall
0534	1	John Wiley & Sons Ltd
0535	1	Ammonite Press
0536	1	Sams Publishing
0537	1	Prentice-Hall
0538	1	John Wiley & Sons Ltd
0539	1	Peachpit Press Publications
0540	1	Focal Press
0541	1	John Wiley & Sons Ltd
0542	1	Cisco Press
0543	1	O&#39;Reilly Media, Inc, USA
0544	1	Rotovision
0545	1	Focal Press
0546	1	Prentice-Hall
0547	1	Computer Step
0548	1	Wiley-Blackwell (an imprint of John Wiley & Sons Ltd)
0549	1	John Wiley & Sons Ltd
0550	1	Portobello Books Ltd
0551	1	Steidl Verlag
0552	1	Quercus Publishing Plc
0553	1	Quercus Publishing Plc
0554	1	Quercus Publishing Plc
0555	1	Vintage
0556	1	Corgi Books
0557	1	Pan Books
0558	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0559	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0560	1	Robinson Publishing
0561	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0562	1	Pan Books
0563	1	Sphere
0564	1	Sphere
0565	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0566	1	Abacus
0567	1	Piatkus Books
0568	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0569	1	Corvus
0570	1	Constable
0571	1	Sphere
0572	1	Penguin Books Ltd
0573	1	Headline Review
0574	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0575	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0576	1	Taschen GmbH
0577	1	Thames & Hudson Ltd
0578	1	Frances Lincoln Publishers Ltd
0579	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0580	1	Sphere
0581	1	Harper
0582	1	John Murray Publishers Ltd
0583	1	Penguin Books Ltd
0584	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0585	1	AVON, a division of HarperCollins Publishers Ltd
0586	1	Sphere
0587	1	Arrow Books Ltd
0588	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0589	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0590	1	Simon & Schuster Ltd
0591	1	Vintage
0592	1	Sphere
0593	1	Quercus Publishing Plc
0594	1	Headline Book Publishing
0595	1	Vintage
0596	1	Arrow Books Ltd
0597	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0598	1	Pan Books
0599	1	Little, Brown
0600	1	Hodder & Stoughton Ltd
0601	1	HarperCollins Publishers Ltd
0602	1	Hodder & Stoughton Ltd
0603	1	Blake Publishing
0604	1	Robinson Publishing
0605	1	Taschen GmbH
0606	1	MacLehose Press
0607	1	Harper
0608	1	Bantam Press
0609	1	HarperCollins Publishers Ltd
0610	1	Headline Book Publishing
0611	1	Robinson Publishing
0612	1	Robinson Publishing
0613	1	Vintage
0614	1	Harper
0615	1	Vintage
0616	1	Penguin Books Ltd
0617	1	Century
0618	1	Mainstream Publishing
0619	1	Penguin Classics
0620	1	Piatkus Books
0621	1	Arrow Books Ltd
0622	1	Harper
0623	1	Macmillan
0624	1	Penguin Classics
0625	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0626	1	Robinson Publishing
0627	1	Arrow Books Ltd
0628	1	Taschen GmbH
0629	1	Carlton Books Ltd
0630	1	Tate Publishing
0631	1	Robinson Publishing
0632	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
0633	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0634	1	Harper
0635	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0636	1	Harper
0637	1	Headline Book Publishing
0638	1	Mainstream Publishing
0639	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0640	1	White&#39;s Books Ltd
0641	1	Abacus
0642	1	Corgi Books
0643	1	Virago Press Ltd
0644	1	Hodder Paperback
0645	1	Corgi Books
0646	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0647	1	Headline Book Publishing
0648	1	Piatkus Books
0649	1	Pan Books
0650	1	Allison & Busby
0651	1	Hodder Paperback
0652	1	Mainstream Publishing
0653	1	Jonathan Cape Ltd
0654	1	Cambridge University Press
0655	1	Learning Matters Ltd
0656	1	Trotman Publishing
0657	1	Penguin Books Ltd
0658	1	Penguin Books Ltd
0659	1	BBC Active
0660	1	Learning Matters Ltd
0661	1	Jossey Bass Wiley
0662	1	Penguin Books Ltd
0663	1	Collins
0664	1	Penguin Books Ltd
0665	1	BBC Active
0666	1	McGraw-Hill Contemporary
0667	1	Network Continuum Education
0668	1	Cambridge University Press
0669	1	Square Peg
0670	1	Oxford University Press
0671	1	McGraw-Hill Contemporary
0672	1	Nelson Thornes Ltd
0673	1	Berlitz Publishing
0674	1	Cambridge University Press
0675	1	Weidenfeld & Nicolson
0676	1	Thames & Hudson Ltd
0677	1	John Wiley & Sons Inc
0678	1	BBC Active
0679	1	Berlitz Publishing
0680	1	Palgrave Macmillan
0681	1	Crown House Publishing
0682	1	Philip Allan Updates
0683	1	Pearson Education Limited
0684	1	Teach Yourself Books
0685	1	Teach Yourself Books
0686	1	McGraw-Hill Contemporary
0687	1	Teach Yourself Books
0688	1	McGraw-Hill Contemporary
0689	1	Penguin
0690	1	Prentice-Hall
0691	1	BBC Active
0692	1	Collins
0693	1	BBC Active
0694	1	BBC Active
0695	1	Teach Yourself Books
0696	1	Prentice-Hall
0697	1	Dorling Kindersley Publishers Ltd
0698	1	Phaidon Press Ltd
0699	1	Collins
0700	1	David & Charles
0701	1	Kodansha International Ltd
0702	1	Cambridge University Press
0703	1	Longman
0704	1	Pearson Longman
0705	1	Oxford University Press
0706	1	John Wiley & Sons Ltd
0707	1	Collins
0708	1	Hungry Minds Inc,U.S.
0709	1	Oxford University Press
0710	1	SAGE Publications Ltd
0711	1	Prentice-Hall
0712	1	Teach Yourself Books
0713	1	McGraw-Hill Contemporary
0714	1	Cambridge University Press
0715	1	Hodder Education
0716	1	Heinemann
0717	1	Hodder Arnold
0718	1	Macmillan Education
0719	1	Teach Yourself Books
0720	1	Kodansha International Ltd
0721	1	Dorling Kindersley Publishers Ltd
0722	1	Continuum International Publishing Group Ltd.
0723	1	Search Press Ltd
0724	1	McGraw-Hill Contemporary
0725	1	Oxford University Press
0726	1	Palgrave Macmillan
0727	1	Bilingual Books Inc.,U.S.
0728	1	McGraw-Hill Contemporary
0729	1	McGraw-Hill Contemporary
0730	1	Teach Yourself Books
0731	1	Learning Matters Ltd
0732	1	Collins
0733	1	Palgrave Macmillan
0734	1	W Foulsham & Co Ltd
0735	1	Teach Yourself Books
0736	1	McGraw-Hill Contemporary
0737	1	Editions Flammarion
0738	1	Cambridge University Press
0739	1	Piatkus Books
0740	1	Collins
0741	1	Berlitz Publishing
0742	1	Chambers
0743	1	Barron&#39;s Educational Series
0744	1	Kogan Page Ltd
0745	1	Crown House Publishing
0746	1	Teach Yourself Books
0747	1	The Bluecoat Press
0748	1	Vintage
0749	1	Piatkus Books
0750	1	Fourth Estate Ltd
0751	1	Century
0752	1	Fourth Estate Ltd
0753	1	Canongate Books Ltd
0754	1	HarperCollins Publishers Ltd
0755	1	Picador
0756	1	Penguin Books Ltd
0757	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0758	1	Faber and Faber
0759	1	Bantam Press
0760	1	Viking
0761	1	Century
0762	1	Vintage
0763	1	Vintage
0764	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0765	1	Penguin Books Ltd
0766	1	Black Swan
0767	1	Aperture
0768	1	Harper
0769	1	Vintage
0770	1	Penguin Books Ltd
0771	1	Arrow Books Ltd
0772	1	Bantam Books (Transworld Publishers a division of the Random House Group)
0773	1	Vintage
0774	1	Bloomsbury Publishing PLC
0775	1	Black Swan
0776	1	Pan Books
0777	1	Century
0778	1	Hodder Paperback
0779	1	Fourth Estate Ltd
0780	1	Doubleday
0781	1	Arrow Books Ltd
0782	1	Vintage Classics
0783	1	Hodder & Stoughton Ltd
0784	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0785	1	Transworld Ireland
0786	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
0787	1	Headline Book Publishing
0788	1	Thorsons
0789	1	Quercus Publishing Plc
0790	1	Penguin Books Ltd
0791	1	Vintage Classics
0792	1	Corvus
0793	1	Penguin Classics
0794	1	Thames & Hudson Ltd
0795	1	Taschen GmbH
0796	1	Thames & Hudson Ltd
0797	1	Granta Books
0798	0	<NULL>
0799	1	AVON, a division of HarperCollins Publishers Ltd
0800	0	<NULL>
0801	1	Century
0802	1	Penguin Classics
0803	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0804	1	Sceptre
0805	1	Hodder & Stoughton Ltd
0806	1	Sphere
0807	1	HarperPerennial
0808	1	Black Swan
0809	1	Vintage
0810	1	Abacus
0811	1	Black Swan
0812	1	Virago Press Ltd
0813	1	Abacus
0814	1	Picador
0815	1	Doubleday
0816	1	Everyman&#39;s Library
0817	1	Taschen GmbH
0818	1	Taschen GmbH
0819	1	Carlton Books Ltd
0820	1	Spink & Son Ltd
0821	1	Thames & Hudson Ltd
0822	1	Harper
0823	1	Mantle
0824	1	Headline Review
0825	1	Arrow Books Ltd
0826	1	Vintage Classics
0827	1	Century
0828	1	Penguin Classics
0829	1	Vintage
0830	1	Penguin Books Ltd
0831	1	Michael Joseph Ltd
0832	1	Hodder & Stoughton Ltd
0833	1	HarperCollins Publishers Ltd
0834	1	Atlantic Books
0835	1	Faber and Faber
0836	1	Fourth Estate Ltd
0837	1	Arrow Books Ltd
0838	1	Fig Tree
0839	1	Vintage
0840	1	Fourth Estate Ltd
0841	1	Phaidon Press Ltd
0842	1	David & Charles
0843	1	Saraband
0844	1	Titan Books Ltd
0845	1	Yale University Press
0846	1	Mitchell Beazley
0847	1	Weidenfeld & Nicolson
0848	1	Parragon Book Service Ltd
0849	1	Collins
0850	1	Kyle Cathie
0851	1	Conran Octopus Ltd
0852	1	Quadrille Publishing Ltd
0853	1	Michael Joseph Ltd
0854	1	Murdoch Books
0855	1	Penguin Books Ltd
0856	1	Birlinn Ltd
0857	1	BBC Books
0858	1	Hamlyn
0859	1	BBC Books
0860	1	BBC Books
0861	1	Houghton Mifflin
0862	1	Penguin Books Ltd
0863	1	BBC Books
0864	1	BBC Books
0865	1	Phaidon Press Ltd
0866	1	Mitchell Beazley
0867	1	Hamlyn
0868	1	BBC Books
0869	1	Spring Hill
0870	1	Ryland, Peters & Small Ltd
0871	1	BBC Books
0872	1	BBC Books
0873	1	Absolute Press
0874	1	BBC Books
0875	1	Fourth Estate Ltd
0876	1	Michael Joseph Ltd
0877	1	Simon & Schuster Ltd
0878	1	Hamlyn
0879	1	Ebury Press
0880	1	Right Way
0881	1	Parragon Book Service Ltd
0882	1	Collins
0883	1	BBC Books
0884	1	Ryland, Peters & Small Ltd
