book	deepdiscount	isbn_13
0236	1	9780531187692
0237	1	9780312324902
0238	1	9781421501123
0239	1	9780684801544
0240	1	9780199539130
0241	1	9780762429417
0242	1	9780553584721
0243	1	9780976518105
0244	1	9781591164371
0245	1	9781423333401
0246	1	9780061987380
0247	1	9781421534671
0248	1	9780195392289
0249	1	9781421527543
0250	1	9780060889579
0251	1	9780778329022
0252	1	9780765319647
0253	1	9780785219132
0254	1	9781423363651
0255	1	9781421510446
0256	1	9780446675154
0257	1	9780425230176
0258	1	9780061237898
0259	1	9780525420774
0260	1	9780299230241
0261	1	9780974960906
0262	1	9781580628556
0263	1	9780761554080
0264	1	9780670032624
0265	1	9780312994464
0266	1	9780061340321
0267	1	9780465016907
0268	1	9780553289312
0269	1	9780152051600
0270	1	9780307394668
0271	1	9780762424931
0272	1	9781934781531
0273	1	9780441009305
0274	1	9780307277992
0275	1	9780440238577
0276	1	9781421534640
0277	1	9781599692616
0278	1	9781400067541
0279	1	9781416599111
0280	1	9780316067812
0281	1	9780830834129
0282	1	9780399229435
0283	1	9781421533070
0284	1	9781581170917
0285	1	9781582380353
0286	1	9780312385187
0287	1	9780446195188
0288	1	9780843963168
0289	1	9780345499394
0290	1	9781581822984
0291	1	9781595142733
0292	1	9780596520861
0293	1	9780470243800
0294	1	9781602837294
0295	1	9780805081985
0296	1	9780439436595
0297	1	9781844166961
0298	1	9780152052607
0299	1	9780440940005
0300	1	9780060097929
0301	1	9780307268969
0302	1	9780152026141
0303	1	9780553583618
0304	1	9780393068573
0305	1	9780142414330
0306	1	9780312945350
0307	1	9781401918668
0308	1	9780312304355
0309	1	9781897376829
0310	1	9780060160104
0311	1	9780821779354
0312	1	9781420104318
0313	1	9780743451772
0314	1	9780195395341
0315	1	9780071637886
0316	1	9780451209481
0317	1	9780670861941
0318	1	9780812975291
0319	1	9780312425845
0320	1	9780759531260
0321	1	9780764586019
0322	1	9780385344074
0323	1	9780312263744
0324	1	9780679781370
0325	1	9780060584825
0326	1	9780307739582
0327	1	9780451219336
0328	1	9780765318626
0329	1	9780152051280
0330	1	9780060834159
0331	1	9781416586586
0332	1	9781427817785
0333	1	9780345427588
0334	1	9781416503460
0335	1	9781904871378
0336	1	9780061960581
0337	1	9780743228381
0338	1	9780670877782
0339	1	9780470241844
0340	1	9780618109418
0341	1	9780440422624
0342	1	9781893441170
0343	1	9780807842423
0344	1	9781402737633
0345	1	9781595548221
0346	1	9780446400107
0347	1	9780446564748
0348	1	9780767911108
0349	1	9780525463269
0350	1	9781421534428
0351	1	9781401921606
0352	1	9780395900239
0353	1	9780446695626
0354	1	9780071508643
0355	1	9780743277112
0356	1	9780743583510
0357	1	9781401211349
0358	1	9780553808001
0359	1	9781416505488
0360	1	9780156787338
0361	1	9780385342469
0362	1	9783909596164
0363	1	9780394800752
0364	1	9780786809271
0365	1	9781563925634
0366	1	9781401900496
0367	1	9781416542742
0368	1	9780312239510
0369	1	9780446613842
0370	1	9781421529950
0371	1	9780446672993
0372	1	9780375839702
0373	1	9780847832200
0374	1	9780671023379
0375	1	9781421507484
0376	1	9780935278408
0377	1	9780753462539
0378	1	9789706270634
0379	1	9780439929646
0380	1	9781891724152
0381	1	9780373248674
0382	1	9780806525785
0383	1	9781930097308
0384	1	9780060567187
0385	1	9780140282030
0386	1	9780142401118
0387	1	9780761138280
0388	1	9780451169518
0389	1	9781416914051
0390	1	9780939460878
0391	1	9780515137200
0392	1	9780966064544
0393	1	9780553584899
0394	1	9780061020612
0395	1	9780141304663
0396	1	9780312595616
0397	1	9781579126384
0398	1	9780764553790
0399	1	9780805080513
0400	1	9780553576450
0401	1	9780967224961
0402	1	9780316006811
0403	1	9781405495301
0404	1	9781605298610
0405	1	9780553591347
0406	1	9781933648279
0407	1	9781583941294
0408	1	9781580230223
0409	1	9780812931228
0410	1	9780441014910
0411	1	9781600092107
0412	1	9781401222918
0413	1	9780812980530
0414	1	9780942893007
0415	1	9781592762699
0416	1	9781580053150
0417	1	9780793525447
0418	1	9780762424016
0419	1	9781439150351
0420	1	9781591863991
0421	1	9780312946067
0422	1	9780765305220
0423	1	9781416586654
0424	1	9781569706121
0425	1	9780345481740
0426	1	9780061795176
0427	1	9781401209278
0428	1	9781893858527
0429	1	9781401225728
0430	1	9780679785897
0431	1	9780060555597
0432	1	9781421534657
0433	1	9781934506998
0434	1	9780553582925
0435	1	9780064403825
0436	1	9780451463173
0437	1	9780345407276
0438	1	9780671880606
0439	1	9780688064174
0440	1	9781402762079
0441	1	9780425223185
0442	1	9780312868857
0443	1	9780929589060
0444	1	9780307408884
0445	1	9780393329018
0446	1	9780786818617
0447	1	9780345402882
0448	1	9781421503219
0449	1	9780425206188
0450	1	9780470448557
0451	1	9780812973990
0452	1	9780312992620
0453	1	9780375760372
0454	1	9780545090247
0455	1	9780764134289
0456	1	9780553588552
0457	1	9780842382694
0458	1	9780425199862
0459	1	9780515144611
0460	1	9780973865226
0461	1	9780345513397
0462	1	9780825625565
0463	1	9780753462140
0464	1	9780425158630
0465	1	9781401226107
0466	1	9781421526157
0467	1	9780425148297
0468	1	9788466368605
0469	1	9780310278085
0470	1	9780807127995
0471	1	9780618531196
0472	1	9780679885566
0473	1	9780394800387
0474	1	9780060542689
0475	1	9780307405869
0476	1	9780060585631
0477	1	9780515147391
0478	1	9781591164364
0479	1	9780813330853
0480	1	9780071449823
0481	1	9780307455871
0482	1	9781421522548
0483	1	9780061712999
0484	1	9780446581011
0485	1	9781578069613
0486	1	9780393065671
0487	1	9780316010764
0488	1	9781421515113
0489	1	9780802170774
0490	1	9781561486090
0491	1	9780882849683
0492	1	9780932813145
0493	1	9780764201660
0494	1	9781600092961
0495	1	9781416915287
0496	1	9780843949940
0497	1	9780375857386
0498	1	9780299179748
0499	1	9780553591590
0500	1	9780977326402
0501	1	9780823007233
0502	1	9780061719547
0503	1	9780440508830
0504	1	9780312602383
0505	1	9780394827193
0506	1	9780811831970
0507	1	9781416521495
0508	1	9781897376690
0509	1	9780672325670
0510	1	9781601252166
0511	1	9781423409281
0512	1	9780061558238
0513	1	9780060541934
0514	1	9780470537749
0515	1	9780312386986
0516	1	9780061121760
0517	1	9780140549058
0518	1	9780553259209
0519	1	9781418505981
0520	1	9780809325528
0521	1	9780415977692
0522	1	9780778328544
0523	1	9781592239436
0524	1	9780758228390
0525	1	9780843955972
0526	1	9780755303380
0527	1	9781595824424
0528	1	9780345509055
0529	1	9780425222898
0530	1	9780060001506
0531	1	9780739004852
0532	1	9780061567544
0533	1	9780471793311
0534	1	9780140714630
0535	1	9780758613752
0536	1	9780553585476
0537	1	9780307451019
0538	1	9780380815920
0539	1	9780307591197
0540	1	9781423604631
0541	1	9781416955559
0542	1	9780345303066
0543	1	9781423453628
0544	1	9780060833015
0545	1	9780446544597
0546	1	9780061963865
0547	1	9780670061051
0548	1	9780787970819
0549	1	9780794514433
0550	1	9780679875970
0551	1	9780810120938
0552	1	9780449216415
0553	1	9780440245421
0554	1	9781569707067
0555	1	9780761159933
0556	1	9780689716690
0557	1	9781571745774
0558	1	9780375839849
0559	1	9780812538953
0560	1	9781608190645
0561	1	9781887137348
0562	1	9780553213409
0563	1	9780451205230
0564	1	9780156013864
0565	1	9781401600990
0566	1	9780451223203
0567	1	9780765351494
0568	1	9780061020667
0569	1	9780140280197
0570	1	9780064404655
0571	1	9780142407806
0572	1	9780425166802
0573	1	9780739006672
0574	1	9781421532448
0575	1	9780786954834
0576	1	9781439164617
0577	1	9781416507680
0578	1	9780505527844
0579	1	9780743270755
0580	1	9780671019556
0581	1	9780452282155
0582	1	9780736920544
0583	1	9780312949815
0584	1	9780553212471
0585	1	9781416589440
0586	1	9780973983005
0587	1	9781421530543
0588	1	9780385420174
0589	1	9781580172431
0590	1	9780822217602
0591	1	9780061336980
0592	1	9780375840890
0593	1	9780060741877
0594	1	9780312605384
0595	1	9780821228906
0596	1	9781593762728
0597	1	9781892213761
0598	1	9781427816207
0599	1	9780156028790
0600	1	9781427815804
0601	1	9781595822444
0602	1	9780345386823
0603	1	9780374444839
0604	1	9780553572988
0605	1	9781421509907
0606	1	9781593077020
0607	1	9780618120697
0608	1	9780688012670
0609	1	9780785142959
0610	1	9780061719813
0611	1	9780071623285
0612	1	9780553808018
0613	1	9780515121841
0614	1	9780316557887
0615	1	9781416995463
0616	1	9780312555139
0617	1	9780060535261
0618	1	9780375765759
0619	1	9781421528434
0620	1	9780142414866
0621	1	9780140374490
0622	1	9781584761006
0623	1	9780769275505
0624	1	9780380814800
0625	1	9780743269513
0626	1	9781586172794
0627	1	9780253220615
0628	1	9780684869773
0629	1	9780765351487
0630	1	9780553580198
0631	1	9780152022020
0632	1	9780060591816
0633	1	9780793518227
0634	1	9780060590147
0635	1	9780590623827
0636	1	9783858817044
0637	1	9781420106565
0638	1	9780786015498
0639	1	9781427812766
0640	1	9780060854096
0641	1	9780446693370
0642	1	9780785115243
0643	1	9780061857805
0644	1	9780840762078
0645	1	9781400304271
0646	1	9780375831966
0647	1	9781598833973
0648	1	9780805448894
0649	1	9780373775217
0650	1	9780553572940
0651	1	9780316038874
0652	1	9780310719038
0653	1	9780470401385
0654	1	9780671796662
0655	1	9780791802892
0656	1	9780740759987
0657	1	9788952744777
0658	1	9780380822232
0659	1	9780800717889
0660	1	9780345520906
0661	1	9780470371985
0662	1	9781572840782
0663	1	9789687149134
0664	1	9781421534480
0665	1	9780061020643
0666	1	9781402767159
0667	1	9780060591793
0668	1	9780812541717
0669	1	9780618894994
0670	1	9780385343169
0671	1	9780778327608
0672	1	9781885071330
0673	1	9781400065455
0674	1	9781421513898
0675	1	9780375830099
0676	1	9781421511603
0677	1	9780785260431
0678	1	9780446401197
0679	1	9780140143508
0680	1	9780881030198
0681	1	9783865218360
0682	1	9780061245084
0683	1	9780756653668
0684	1	9780425227992
0685	1	9781440203848
0686	1	9780944875568
0687	1	9780380851188
0688	1	9780452281325
0689	1	9780307386830
0690	1	9780312354282
0691	1	9780794419998
0692	1	9780061441646
0693	1	9780679881292
0694	1	9781421527574
0695	1	9780446618489
0696	1	9780300104660
0697	1	9781933308081
0698	1	9781880656181
0699	1	9781590771280
0700	1	9781416520528
0701	1	9780800732882
0702	1	9780944875513
0703	1	9780062731432
0704	1	9780895292148
0705	1	9781427802958
0706	1	9780972497374
0707	1	9781422202746
0708	1	9780091816797
0709	1	9781602704497
0710	1	9781896764818
0711	1	9780470277645
0712	1	9780525477891
0713	1	9780764331480
0714	1	9780312377649
0715	1	9780521589888
0716	1	9780915793334
0717	1	9780393058000
0718	1	9781564779038
0719	1	9780470477250
0720	1	9781933372891
0721	1	9781607271130
0722	1	9780810946477
0723	1	9781848000162
0724	1	9781401323189
0725	1	9780060269456
0726	1	9781846031984
0727	1	9781556526978
0728	1	9781412963602
0729	1	9780333999264
0730	1	9780778327752
0731	1	9780781808460
0732	1	9780299162344
0733	1	9781403964243
0734	1	9781863514033
0735	1	9781422203019
0736	1	9781401604127
0737	1	9781405139588
0738	1	9780060892951
0739	1	9781897120712
0740	1	9780805015287
0741	1	9781846072840
0742	1	9780785137207
0743	1	9781585679065
0744	1	9780060269890
0745	1	9780805862645
0746	1	9780448060194
0747	1	9781441186850
0748	1	9780874623116
0749	1	9780262511919
0750	1	9781416535034
0751	1	9780312381165
0752	1	9780892553211
0753	1	9780807514450
0754	1	9780316727228
0755	1	9780156004794
0756	1	9789812834874
0757	1	9780781808514
0758	1	9780596002756
0759	1	9781403964373
0760	1	9780804837408
0761	1	9788492452255
0762	1	9780826484963
0763	1	9780091865122
0764	1	9780981961507
0765	1	9780944031803
0766	1	9781905693122
0767	1	9780915811052
0768	1	9780399533501
0769	1	9781602821606
0770	1	9781590201350
0771	1	9781557090614
0772	1	9780385493000
0773	1	9780316789820
0774	1	9781564779083
0775	1	9780756658076
0776	1	9781401604189
0777	1	9781405139724
0778	1	9780879755584
0779	1	9781844483419
0780	1	9781423371083
0781	1	9780805016048
0782	1	9781896764856
0783	1	9780531159613
0784	1	9780805444841
0785	1	9781592534609
0786	1	9780842353083
0787	1	9780470277935
0788	1	9780470385494
0789	1	9780899974415
0790	1	9781893062177
0791	1	9781885167583
0792	1	9781597020114
0793	1	9780521874618
0794	1	9780440227052
0795	1	9780470403723
0796	1	9780143113591
0797	1	9780766030725
0798	1	9781441187376
0799	1	9780061234972
0800	1	9780312565862
0801	1	9780882890821
0802	1	9780471748298
0803	1	9780385313612
0804	1	9780061232176
0805	1	9780471678915
0806	1	9780807871096
0807	1	9780735822399
0808	1	9781891270239
0809	1	9780895581617
0810	1	9780768425161
0811	1	9780830745951
0812	1	9780792279372
0813	1	9781423374572
0814	1	9780470160442
0815	1	9780822319672
0816	1	9781889786162
0817	1	9781601404008
0818	1	9781604731019
0819	1	9781432907006
0820	1	9780881928662
0821	1	9780312384685
0822	1	9781558592292
0823	1	9781423373544
0824	1	9780944031834
0825	1	9781591862505
0826	1	9780745914541
0827	1	9780470777800
0828	1	9781412915489
0829	1	9780470986448
0830	1	9781602821613
0831	1	9781602705517
0832	1	9780759529397
0833	1	9780803613621
0834	1	9780060088767
0835	1	9781585679225
0836	1	9780335217021
0837	1	9780316796415
0838	1	9780061031847
0839	1	9781550379594
0840	1	9780789457288
0841	1	9780979291838
0842	1	9780545214179
0843	1	9780441002177
0844	1	9780345492067
0845	1	9780470259344
0846	1	9781582344621
0847	1	9781897120743
0848	1	9781403992475
0849	1	9780805016260
0850	1	9781594483516
0851	1	9780842305075
0852	1	9780810950450
0853	1	9780934252973
0854	1	9781897187265
0855	1	9780810948198
0856	1	9788466637817
0857	1	9780385733519
0858	1	9781592534616
0859	1	9780803218604
0860	1	9781930819566
0861	1	9781402763021
0862	1	9781888472189
0863	1	9780879756413
0864	1	9780843961232
0865	1	9781587319204
0866	1	9781400080670
0867	1	9781412964159
0868	1	9780970075017
0869	1	9780874170528
0870	1	9782915239874
0871	1	9780761908272
0872	1	9780471668268
0873	1	9780805862799
0874	1	9780738565378
0875	1	9780316021418
0876	1	9780972925884
0877	1	9780415409735
0878	1	9781556527074
0879	1	9781597562362
0880	1	9781427803207
0881	1	9780500202494
0882	1	9780739338766
0883	1	9781412963657
0884	1	9780874173628
0885	1	9781847970480
0886	1	9780841603479
0887	1	9780767915588
0888	1	9780471738060
0889	1	9780471679004
0890	1	9780980438628
0891	1	9780743489089
0892	1	9780394410500
0893	1	9781427803016
0894	1	9781588903471
0895	1	9780143113416
0896	1	9780809144914
0897	1	9781556527333
0898	1	9783865219251
0899	1	9780321647153
0900	1	9781432901790
0901	1	9781933662718
0902	1	9781893905313
0903	1	9781601250803
0904	1	9781599900063
0905	1	9780807515600
0906	1	9780778327783
0907	1	9780316729154
0908	1	9780156004817
0909	1	9780812935226
0910	1	9780781808576
0911	1	9780763741310
0912	1	9780764551963
0913	1	9780307339430
0914	1	9780716711865
0915	1	9781590786567
0916	1	9781599901022
0917	1	9780977191383
0918	1	9781846861109
0919	1	9781570914430
0920	1	9780470476376
0921	1	9781422202852
0922	1	9780415454674
0923	1	9780596002886
0924	1	9780415953009
0925	1	9780794502881
0926	1	9780881036749
0927	1	9780822319689
0928	1	9780781765268
0929	1	9780818407215
0930	1	9780743292092
0931	1	9780253205667
0932	1	9780781809047
0933	1	9781551113838
0934	1	9780826485168
0935	1	9780881928679
0936	1	9780609804131
0937	1	9780425207079
0938	1	9780826218803
0939	1	9781848851924
0940	1	9781403966025
0941	1	9780974702537
0942	1	9780340946572
0943	1	9780307582300
0944	1	9781423373759
0945	1	9780688154691
0946	1	9780299169244
0947	1	9780761563389
0948	1	9780091900816
0949	1	9780756657529
0950	1	9780321080592
0951	1	9788408047568
0952	1	9781606235294
0953	1	9781554701599
0954	1	9781400157709
0955	1	9780915811373
0956	1	9781741049152
0957	1	9780373774029
0958	1	9781608701025
0959	1	9780941022651
0960	1	9780812565355
0961	1	9780794822286
0962	1	9780230221604
0963	1	9781930865921
0964	1	9780738552804
0965	1	9780335217038
0966	1	9781422208342
0967	1	9780836242249
0968	1	9780385493628
0969	1	9780425225899
0970	1	9780785824497
0971	1	9781564779106
0972	1	9780321246615
0973	1	9780756534776
0974	1	9780520261563
0975	1	9781400109692
0976	1	9781587991493
0977	1	9780393058567
0978	1	9781906307929
0979	1	9780800758608
0980	1	9780756659165
0981	1	9780803729391
0982	1	9780060815387
0983	1	9781608700837
0984	1	9780553272116
0985	1	9780470264355
0986	1	9780300065602
0987	1	9780814409824
0988	1	9781402766633
0989	1	9780375758829
0990	1	9780786720637
0991	1	9780415365741
0992	1	9780761320920
0993	1	9781577315629
0994	1	9781441825568
0995	1	9780679757948
0996	1	9789774162459
0997	1	9786074320091
0998	1	9781897330623
0999	1	9780810948204
1000	1	9781400071432
1001	1	9780740750083
1002	1	9780761442493
1003	1	9780791467732
1004	1	9780387765648
1005	1	9780415991612
1006	1	9781603420266
1007	1	9780754818991
1008	1	9781592535132
1009	1	9781566891882
1010	1	9781861892973
1011	1	9780760330791
1012	1	9780879756451
1013	1	9780500051443
1014	1	9788498004489
1015	1	9781879737600
1016	1	9780689879135
1017	1	9781412964166
1018	1	9780340809846
1019	1	9780671751173
1020	1	9780500092927
1021	1	9780310325024
1022	1	9780743228367
1023	1	9781606232699
1024	1	9780415544818
1025	1	9780393320312
1026	1	9780778748076
1027	1	9780143112570
1028	1	9780545108768
1029	1	9781933865126
1030	1	9780262512435
1031	1	9780226306735
1032	1	9780810988903
1033	1	9781550748772
1034	1	9781885167613
1035	1	9780071441339
1036	1	9780425205709
1037	1	9781605093512
1038	1	9780152474768
1039	1	9780750666350
1040	1	9781878823212
1041	1	9780888997029
1042	1	9780813537337
1043	1	9780809145287
1044	1	9781405181822
1045	1	9780471754794
1046	1	9781853677052
1047	1	9781427807281
1048	1	9781402766923
1049	1	9781427803214
1050	1	9780385509336
1051	1	9780757994531
1052	1	9780816667697
1053	1	9780767912273
1054	1	9781606233405
1055	1	9780060275655
1056	1	9780201702255
1057	1	9780061235054
1058	1	9781577311201
1059	1	9780500200728
1060	1	9780415373265
1061	1	9781400041343
1062	1	9781400145546
1063	1	9781412963664
1064	1	9780974563701
1065	1	9780764331961
1066	1	9780140348804
1067	1	9780826495563
1068	1	9781885008206
1069	1	9781574630756
1070	1	9780809146291
1071	1	9780061430701
1072	1	9780470684153
1073	1	9780609609491
1074	1	9781600141027
1075	1	9781846342905
1076	1	9781581154153
1077	1	9780762725670
1078	1	9780060757366
1079	1	9781441811738
1080	1	9780805863628
1081	1	9780896047143
1082	1	9780938317432
1083	1	9780971049338
1084	1	9781412912563
1085	1	9780679772545
1086	1	9780470195635
1087	1	9780300164183
1088	1	9780735822412
1089	1	9780761349822
1090	1	9780515147261
1091	1	9780345428646
1092	1	9781412930079
1093	1	9781421504896
1094	1	9780787976798
1095	1	9781605621197
1096	1	9780764550355
1097	1	9783642019647
1098	1	9780736826099
1099	1	9780547255279
1100	1	9780310252900
1101	1	9780691136370
1102	1	9780321375728
1103	1	9780743497374
1104	1	9780071449052
1105	1	9780812696462
1106	1	9781580891318
1107	1	9780812935264
1108	1	9781580422291
1109	1	9780394717760
1110	1	9780763741525
1111	1	9780977090662
1112	1	9781400138845
1113	1	9781885586582
1114	1	9781584156741
1115	1	9780786927067
1116	1	9781842228388
1117	1	9780895873705
1118	1	9780830745999
1119	1	9780195369021
1120	1	9781423374633
1121	1	9780596002916
1122	1	9780745642963
1123	1	9780824829186
1124	1	9780765799937
1125	1	9781593633974
1126	1	9780375759857
1127	1	9781577314479
1128	1	9780831133474
1129	1	9780807522813
1130	1	9780345518514
1131	1	9781889786346
1132	1	9781871082906
1133	1	9781601404657
1134	1	9780312423827
1135	1	9780470061961
1136	1	9780761424284
1137	1	9780972860383
1138	1	9780805418590
1139	1	9780817355081
1140	1	9780375707292
1141	1	9780061935169
1142	1	9789707840942
1143	1	9780791442272
1144	1	9781933662046
1145	1	9780881928693
1146	1	9780826218810
1147	1	9780449704165
1148	1	9789004160989
1149	1	9781403966049
1150	1	9781931543934
1151	1	9781439109311
1152	1	9780812521269
1153	1	9780521618731
1154	1	9780415375269
1155	1	9781600595233
1156	1	9780071424622
1157	1	9780071469029
1158	1	9780345461537
1159	1	9780980006780
1160	1	9781410410184
1161	1	9780671447489
1162	1	9780143117285
1163	1	9780230006324
1164	1	9780307338549
1165	1	9781592238149
1166	1	9781843833536
1167	1	9780516278322
1168	1	9780385339667
1169	1	9781905264179
1170	1	9781594151774
1171	1	9781598201284
1172	1	9788448047795
1173	1	9781606235300
1174	1	9780745936994
1175	1	9781593851606
1176	1	9780789465207
1177	1	9780786718771
1178	1	9780743280662
1179	1	9781740596428
1180	1	9780385492676
1181	1	9780825427923
1182	1	9780310266846
1183	1	9781572930117
1184	1	9781400021123
1185	1	9789685960984
1186	1	9781556525094
1187	1	9780826414465
1188	1	9780982410035
1189	1	9781407527338
1190	1	9780142003541
1191	1	9780758216236
1192	1	9780634062858
1193	1	9781592123506
1194	1	9780310271949
1195	1	9780863418242
1196	1	9780803945838
1197	1	9780312379445
1198	1	9781602705531
1199	1	9781573244008
1200	1	9780873896986
1201	1	9781573229722
1202	1	9781579500733
1203	1	9780080964508
1204	1	9780385495240
1205	1	9781596690127
1206	1	9781566991773
1207	1	9780871319579
1208	1	9780374300043
1209	1	9781932453324
1210	1	9780878467174
1211	1	9780316985598
1212	1	9780345437105
1213	1	9780425226070
1214	1	9780060755546
1215	1	9780944142615
1216	1	9781439101117
1217	1	9780415271554
1218	1	9781597162708
1219	1	9780345485274
1220	1	9780393323337
1221	1	9780516249483
1222	1	9781591827436
1223	1	9781421500898
1224	1	9781844766642
1225	1	9781589194083
1226	1	9780425225905
1227	1	9780689712135
1228	1	9780316076401
1229	1	9780785824503
1230	1	9780520221109
1231	1	9780439756662
1232	1	9780521769198
1233	1	9780822529477
1234	1	9780385736640
1235	1	9780756658137
1236	1	9780735558564
1237	1	9780520261570
1238	1	9781400109708
1239	1	9781605045139
1240	1	9781587991509
1241	1	9780759528604
1242	1	9781550379662
1243	1	9780789457356
1244	1	9781593079055
1245	1	9781416520603
1246	1	9780070063761
1247	1	9780813191591
1248	1	9780590379809
1249	1	9781582346502
1250	1	9780762742240
1251	1	9780415552172
1252	1	9781608701230
1253	1	9780440416913
1254	1	9781608700844
1255	1	9780300121124
1256	1	9780878935345
1257	1	9781598867428
1258	1	9781596436121
1259	1	9780825634062
1260	1	9780805065312
1261	1	9780470392171
1262	1	9780441013197
1263	1	9780882823041
1264	1	9780262162456
1265	1	9780786720798
1266	1	9781578512546
1267	1	9789681649722
