book	christianbook	publisher
0151	1	Grupo Nelson
0152	1	Avon Inspire
0153	1	Casa Creacion
0154	1	Tyndale House
0155	1	Zondervan
0156	1	Hendrickson Publishers
0157	1	Multnomah Publishers, Inc.
0158	1	Augsburg Fortress
0159	1	Crossway Books & Bibles
0160	1	Crossway Books & Bibles
0161	1	Thomas Nelson
0162	1	Barbour Publishing
0163	1	Bethany House
0164	1	Inter-varsity Press
0165	1	Barbour Publishing
0166	1	Wm. B. Eerdmans Publishing Co.
0167	1	Thomas Nelson
0168	1	Bethany House
0169	1	Zondervan
0170	1	Bethany House
0171	1	Bethany House
0172	1	Moody Publishers
0173	1	Focus Publishing Incorporated
0174	1	Hendrickson Publishers
0175	1	InterVarsity Press
0176	1	Crossway Books & Bibles
0177	1	Thomas Nelson
0178	1	Thomas Nelson
0179	1	Summerside Press
0180	1	Multnomah Publishers, Inc.
0181	1	Harvest House Publishers
0182	1	Regal Books
0183	1	David C. Cook
0184	1	B & H Publishing Group
0185	1	David C. Cook
0186	1	Harvest House Publishers
0187	1	Barbour Publishing
0188	1	IVP Books
0189	1	Wm. B. Eerdmans Publishing Co.
0190	1	Kregel Publications
0191	1	David C. Cook
0192	1	Wm. B. Eerdmans Publishing Co.
0193	1	Banner Of Truth
0194	1	Tyndale House
0195	1	Moody Publishers
0196	1	Moody Publishers
0197	1	Thomas Nelson
0198	1	Harvest House Publishers
0199	1	Bethany House
0200	1	Thomas Nelson
0201	1	Gospel Light
0202	1	David C. Cook
0203	1	Tyndale House
0204	1	Thomas Nelson
0205	1	Gospel Light
0206	1	Summerside Press
0207	1	Thomas Nelson
0208	1	Willow Creek Association
0209	1	Bethany House
0210	1	Tommy Nelson
0211	1	Harvest House Publishers
0212	1	Baker
0213	1	Random House, Inc
0214	1	Moody Publishers
0215	1	Progeny Press
0216	1	Baker
0217	1	Zonderkidz
0218	1	Thomas Nelson
0219	1	Baker
0220	1	Harvest House Publishers
0221	1	Random House, Inc
0222	1	Crossway Books & Bibles
0223	1	Zondervan
0224	1	Bethany House
0225	1	Westminster John Knox Press
0226	1	Bethany House
0227	1	Youth Specialties
0228	1	Inter-varsity Press
0229	1	Bridge-logos Publishing
0230	1	IVP Connect
0231	1	Baker Books
0232	1	Steeple Hill Books
0233	1	Thomas Nelson
0234	1	Zondervan
0235	1	Thomas Nelson
0236	1	Bethlehem Books
0237	1	Crossway Books & Bibles
0238	1	Harvest House Publishers
0239	1	Crossway Books & Bibles
0240	1	Thomas Nelson
0241	1	Concordia Publishing House
0242	1	Tyndale House
0243	1	Baker Academic
0244	1	Whitaker House Publishers
0245	1	Multnomah Books
0246	1	FaithWords
0247	1	Moody Publishers
0248	1	Kregel Publications
0249	1	DayMaker Inspirational Gifts
0250	1	Bethany House
0251	1	Tommy Nelson
0252	1	Concordia Publishing House
0253	1	Zondervan
0254	1	Zondervan
0255	1	Mott Media, Llc
0256	1	David C. Cook
0257	1	Thomas Nelson
0258	1	Zondervan
0259	1	Thomas Nelson
0260	1	Regal Books
0261	1	Amg Publishers
0262	1	Kregel Publications
0263	1	NAV Press
0264	1	Bethany House
0265	1	Zondervan
0266	1	Thomas Nelson
0267	1	Summerside Press
0268	1	WaterBrook Press
0269	1	Concordia Publishing House
0270	1	Zondervan
0271	1	Thomas Nelson
0272	1	Tyndale House
0273	1	Gospel Light
0274	1	Thomas Nelson
0275	1	Inter-varsity Press
0276	1	Crossway Books & Bibles
0277	1	Baker
0278	1	Barbour Publishing
0279	1	CLC
0280	1	Harvest House Publishers
0281	1	Hendrickson Publishers
0282	1	Bethany House
0283	1	Zondervan
0284	1	Whitaker House Publishers
0285	1	B&H Academic
0286	1	B & H Publishing Group
0287	1	Zonderkidz
0288	1	Tyndale House
0289	1	Moody Publishers
0290	1	Thomas Nelson
0291	1	Thomas Nelson
0292	1	Moody Publishers
0293	1	City Christian Publishing
0294	1	Thomas Nelson
0295	1	FaithWords
0296	1	Abingdon Press
0297	1	Harvest House Publishers
0298	1	Thomas Nelson
0299	1	Tyndale House
0300	1	Bethany House
0301	1	Tyndale House
0302	1	Windblown Media
0303	1	B & H Publishing Group
0304	1	Dover Publications
0305	1	Harvest House Publishers
0306	1	Thomas Nelson
0307	1	Wm. B. Eerdmans Publishing Co.
0308	1	Alpha Usa
0309	1	Faith Library Publications
0310	1	Concordia Publishing House
0311	1	Concordia Publishing House
0312	1	Inter-varsity Press
0313	1	Harvest House Publishers
0314	1	W W Norton
0315	1	David C. Cook
0316	1	Barbour Publishing
0317	1	Crossway Books & Bibles
0318	1	Aladdin
0319	1	New Hope Publishers
0320	1	Moody Publishers
0321	1	Baker
0322	1	Zonderkidz
0323	1	Houghton-mifflin
0324	1	Harvest House Publishers
0325	1	NAV Press
0326	1	Hendrickson Publishers
0327	1	Units Unique
0328	1	Gospel Light
0329	1	Thomas Nelson
0330	1	Zonderkidz
0331	1	Zonderkidz
0332	1	Multnomah Gifts
0333	1	Hendrickson Publishers
0334	1	Baker Academic
0335	1	Thomas Nelson
0336	1	Zonderkidz
0337	1	Willow Creek Association
0338	1	Inter-varsity Press
0339	1	NAV Press
0340	1	Moody Publishers
0341	1	David C. Cook
0342	1	Moody Publishers
0343	1	Wm. B. Eerdmans Publishing Co.
0344	1	Harvest House Publishers
0345	1	Bethany House
0346	1	Thomas Nelson
0347	1	Harvest House Publishers
0348	1	Harvest House Publishers
0349	1	Steeple Hill Books
0350	1	Zondervan Youth Specialties
0351	1	Zondervan
0352	1	Willow Creek Association
0353	1	Thomas Nelson
0354	1	Thomas Nelson
0355	1	Chosen
0356	1	Thomas Nelson
0357	1	Concordia Publishing House
0358	1	Tyndale House
0359	1	Zondervan
0360	1	B & H Publishing Group
0361	1	Barbour Publishing
0362	1	Guidepost Books
0363	1	Thomas Nelson
0364	1	Thomas Nelson
0365	1	Zondervan
0366	1	Barbour Publishing
0367	1	IVP Academic
0368	1	Plume
0369	1	Thomas Nelson
0370	1	Thomas Nelson
0371	1	Dover Publications
0372	1	Zondervan
0373	1	Moody Publishers
0374	1	David C. Cook
0375	1	Bridge-logos Publishing
0376	1	Thomas Nelson
0377	1	Moody Publishers
0378	1	Revell
0379	1	Barbour Publishing
0380	1	Bethany House
0381	1	Random House, Inc
0382	1	Crossroad
0383	1	Inter-varsity Press
0384	1	Multnomah Publishers, Inc.
0385	1	Thomas Nelson
0386	1	Zondervan
0387	1	Bethany House
0388	1	Zondervan
0389	1	Standard Publishing
0390	1	Christian Liberty Press
0391	1	Multnomah Publishers, Inc.
0392	1	Kregel Publications
0393	1	Amg Publishers
0394	1	Tyndale House
0395	1	Zondervan
0396	1	HarperCollins
0397	1	Moody Publishers
0398	1	Zonderkidz
0399	1	Crossway Books & Bibles
0400	1	Thomas Nelson
0401	1	Whitaker House Publishers
0402	1	Wm. B. Eerdmans Publishing Co.
0403	1	Zondervan
0404	1	Random House, Inc
0405	1	Baker Academic
0406	1	Random House, Inc
0407	1	Baker
0408	1	Brazos Press
0409	1	Thomas Nelson
0410	1	Crossway Books & Bibles
0411	1	New Leaf Publishing Group
0412	1	Emerald Books
0413	1	Tyndale House
0414	1	Destiny Image
0415	1	Crossway Books & Bibles
0416	1	InterVarsity Press
0417	1	Baker
0418	1	Faith Library Publications
0419	1	Zonderkidz
0420	1	Zondervan
0421	1	Barbour Publishing
0422	1	Harvest House Publishers
0423	1	Random House, Inc
0424	1	Bethany House
0425	1	Harvest House Publishers
0426	1	IVP Connect
0427	1	Thomas Nelson
0428	1	B & H Publishing Group
0429	1	Crossway Books & Bibles
0430	1	Jossey-Bass
0431	1	Zondervan
0432	1	NAV Press
0433	1	B & H Publishing Group
0434	1	Inter-varsity Press
0435	1	Jossey-Bass
0436	1	Moody Publishers
0437	1	Thomas Nelson
0438	1	Harvest House Publishers
0439	1	Thomas Nelson
0440	1	Living Books
0441	1	Howard Books
0442	1	Kregel Kidzone
0443	1	David C. Cook
0444	1	Thomas Nelson
0445	1	Zondervan
0446	1	Thomas Nelson
0447	1	B & H Publishing Group
0448	1	Barbour Publishing
0449	1	Westminster John Knox Press
0450	1	Barbour Publishing
0451	1	David C. Cook
0452	1	Zondervan
0453	1	Zondervan
0454	1	Zondervan
0455	1	Zondervan
0456	1	Gospel Light
0457	1	Zondervan
0458	1	Inter-varsity Press
0459	1	Zondervan
0460	1	Howard Books
0461	1	Messianic Jewish Publishers
0462	1	Youth Specialties
0463	1	Tyndale House
0464	1	Thomas Nelson
0465	1	Whitaker House Publishers
0466	1	Thomas Nelson
0467	1	Free Press
0468	1	Wm. B. Eerdmans Publishing Co.
0469	1	Whitaker House Publishers
0470	1	Howard Books
0471	1	HarperCollins
0472	1	Monarch Books
0473	1	Charlesbridge
0474	1	Thomas Nelson
0475	1	Puffin
0476	1	Strang Communications
0477	1	Cascade Books
0478	1	Continuum International
0479	1	Houghton-mifflin
0480	1	Living Stream Ministry
0481	1	Walker Large Print
0482	1	Paulist Press
0483	1	Christian Focus Publications
0484	1	Paulist Press
0485	1	Hope Publishing House
0486	1	Kerygma Publishing
0487	1	Random House, Inc
0488	1	David C. Cook
0489	1	IVP Academic
0490	1	Pleasant Word (winepress Pub)
0491	1	Abingdon Press
0492	1	Paulist Press
0493	1	HarperOne
0494	1	Houghton-mifflin
0495	1	HarperOne
0496	1	Philomel Books
0497	1	Tyndale House
0498	1	Orbis Books
0499	1	Penguin
0500	1	Frances Lincoln Children's Books
0501	1	Houghton-mifflin
0502	1	Augsburg Fortress
0503	1	Cascade Books
0504	1	Ave Maria Press
0505	1	WaterBrook Press
0506	1	Simon & Schuster Australia
0507	1	Concordia Publishing House
0508	1	Passing The Baton International
0509	1	Abingdon Press
0510	1	Ave Maria Press
0511	1	Liturgical Press
0512	1	Evangelical Press
0513	1	HarperOne
0514	1	Ignatius Press
0515	1	Society Of Biblical Literature
0516	1	Harrison House
0517	1	Q Place (neighborhood Bible Study)
0518	1	Abingdon Press
0519	1	Winepress Publishing
0520	1	Vida
0521	1	Thomas Nelson
0522	1	Kregel Publications
0523	1	Strang Communications
0524	1	Zondervan
0525	1	HMH Books
0526	1	Wipf & Stock
0527	1	Zondervan
0528	1	Multnomah Publishers, Inc.
0529	1	Henry Holt and Co.
0530	1	Banner Of Truth
0531	1	Authentic
0532	1	Wipf & Stock
0533	1	Grosset & Dunlap
0534	1	P & R Publishing
0535	1	Westminster John Knox Press
0536	1	Xulon Press
0537	1	Xulon Press
0538	1	WinePress Publishing
0539	1	Banner Of Truth
0540	1	Xulon Press
0541	1	Augsburg Fortress
0542	1	Abingdon Press
0543	1	Cartwheel Books
0544	1	Concordia Publishing House
0545	1	Thomas Nelson
0546	1	Yorkshire Publishing
0547	1	Westminster John Knox Press
0548	1	St. Anthony Messenger Press
0549	1	DK Preschool
0550	1	WaterBrook Press
0551	1	Living Stream Ministry
0552	1	Reformation Heritage Books
0553	1	Abingdon Press
0554	1	Tate Publishing
0555	1	Xulon Press
0556	1	Day One Publications
0557	1	Calif Princeton Fulfilment
0558	1	Pleasant Word (winepress Pub)
0559	1	Abingdon Press
0560	1	Concordia Publishing House
0561	1	Wm. B. Eerdmans Publishing Co.
0562	1	Vida
0563	1	Zondervan
0564	1	Heart Spring
0565	1	A. B. Publishing
0566	1	Oxford University Press
0567	1	Penguin Classics
0568	1	Augsburg Fortress
0569	1	Puffin
0570	1	Chalice Press
0571	1	Beacon Hill Press
0572	1	HarperCollins
0573	1	Harvest House Publishers
0574	1	Thomas Nelson
0575	1	Zondervan
0576	1	Revell
0577	1	Harvest House Publishers
0578	1	Thomas Nelson
0579	1	HarperCollins
0580	1	Inter-varsity Press
0581	1	Revell
0582	1	Barbour Publishing
0583	1	B & H Publishing Group
0584	1	David C. Cook
0585	1	B & H Publishing Group
0586	1	New Leaf Publishing Group
0587	1	Lion Books
0588	1	Simon & Schuster Trade Sales
0589	1	Liturgical Press
0590	1	Pueblo
0591	1	Ideals Publications Inc
0592	1	Apologia Educational Ministries
0593	1	Michael Glazier
0594	1	Strang Communications
0595	1	Cistercian Publications Inc
0596	1	Crossroad
0597	1	Authentic US
0598	1	Paulist Press
0599	1	Kregel Publications
0600	1	Thomas Nelson
0601	1	Living Stream Ministry
0602	1	Xulon Press
0603	1	Wipf & Stock
0604	1	Xulon Press
0605	1	Destiny Image
0606	1	Wm. B. Eerdmans Publishing Co.
0607	1	Day One Publications
0608	1	Mercer Press
0609	1	Houghton Mifflin Books for Children
0610	1	Houghton-mifflin
0611	1	Pickwick Publications
0612	1	Abingdon Press
0613	1	Evangelical Press
0614	1	Kregel Publications
0615	1	Lift Every Voice
0616	1	Ave Maria Press
0617	1	Jist Publishing
0618	1	Abingdon Press
0619	1	Charisma House
0620	1	Pleasant Word (winepress Pub)
0621	1	Tyndale Kids
0622	1	Zondervan
0623	1	Penguin Classics
0624	1	Evangel Publishing House
0625	1	Augsburg Fortress
0626	1	Houghton-mifflin
0627	1	Pleasant Word (winepress Pub)
0628	1	Liturgical Press
0629	1	Fortress Press
0630	1	Crossway Books & Bibles
0631	1	Simon & Schuster Trade Sales
0632	1	Banner Of Truth
0633	1	Wiley-Blackwell
0634	1	WinePress Publishing
0635	1	Canterbury Press
0636	1	Zondervan
0637	1	Nickelodeon
0638	1	Houghton-mifflin
0639	1	Destiny Image
0640	1	New City Press
0641	1	Wm. B. Eerdmans Publishing Co.
0642	1	Augsburg Fortress
0643	1	Society Of Biblical Literature
0644	1	Charisma House
0645	1	Harvest House Publishers
0646	1	Kregel Publications
0647	1	Abingdon Press
0648	1	Houghton-mifflin
0649	1	Ignatius Press
0650	1	Basic Books
0651	1	Westminster John Knox Press
0652	1	Eisenbrauns
0653	1	Simon & Schuster Trade Sales
0654	1	Chicken Soup for the Soul
0655	1	Kregel Publications
0656	1	Free Press
0657	1	Liturgical Press
0658	1	Westminster John Knox Press
0659	1	HarperCollins
0660	1	Judson Press
0661	1	Random House, Inc
0662	1	Kregel Publications
0663	1	Summerside Press
0664	1	Candy Cane Press
0665	1	Alpha
0666	1	Paraclete Press
0667	1	Wm. B. Eerdmans Publishing Co.
0668	1	Center Point Large Print Books
0669	1	Augsburg Fortress
0670	1	Christian Focus Publications
0671	1	Banner Of Truth
0672	1	Xulon Press
0673	1	VMI Publishers LLC
0674	1	Cornell University Press
0675	1	Augsburg Fortress
0676	1	Kingfisher
0677	1	Augsburg Fortress
0678	1	Grosset & Dunlap
0679	1	William Morrow
0680	1	American Girl Publishing
0681	1	American Girl Publishing
0682	1	Collins
0683	1	Christian Focus Publications
0684	1	Thomas Nelson
0685	1	Zondervan Youth Specialties
0686	1	Zondervan
0687	1	Thomas Nelson
0688	1	Zonderkidz
0689	1	Tyndale House
0690	1	Revell
0691	1	Thomas Nelson
0692	1	Barbour Publishing
0693	1	Tyndale House
0694	1	Harvest House Publishers
0695	1	Multnomah Publishers, Inc.
0696	1	Dutton Adult
0697	1	Howard Books
0698	1	Calif Princeton Fulfilment
0699	1	Touchstone
0700	1	Evangelical Press
0701	1	Lillenas
0702	1	Judson Press
0703	1	Health Communications
0704	1	Health Communications
0705	1	Random House, Inc
0706	1	Hyperion
0707	1	Christian Large Print
0708	1	Paulist Press
0709	1	Sheed & Ward
0710	1	United Church Press
0711	1	Signet
0712	1	Living Stream Ministry
0713	1	Christian Focus
0714	1	Abingdon Press
0715	1	Thomas Nelson
0716	1	Applewood Books
0717	1	Kregel Publications
0718	1	Vida
0719	1	Mercer Press
0720	1	Whitaker House Publishers
0721	1	HarperCollins
0722	1	Dial
0723	1	Random House, Inc
0724	1	Berkley Hardcover
0725	1	Baker
0726	1	Catholic Word
0727	1	Harvest House Publishers
0728	1	Judson Press
0729	1	Christian Large Print
0730	1	Free Press
0731	1	Houghton-mifflin
0732	1	HarperOne
0733	1	Wipf & Stock
0734	1	Barbour Publishing
0735	1	Zondervan
0736	1	Thomas Nelson
0737	1	Ave Maria Press
0738	1	Ingram Book Company
0739	1	Penguin Classics
0740	1	Center Point Large Print Books
0741	1	Wipf & Stock
0742	1	Fortress Press
0743	1	Crown Financial Ministries
0744	1	Baker
0745	1	Random House, Inc
0746	1	Good Books
0747	1	Living Stream Ministry
0748	1	Stl Distribution
0749	1	Wipf & Stock
0750	1	Orbis Books
0751	1	Wipf & Stock
0752	1	Beacon Hill Press
0753	1	Crossroad
0754	1	Baker
0755	1	Christian Focus Publications
0756	1	Dutton Juvenile
0757	1	Westminster John Knox Press
0758	1	Augsburg Fortress
0759	1	Ave Maria Press
0760	1	Grosset & Dunlap
0761	1	Kingfisher
0762	1	Strang Communications
0763	1	Abingdon Press
0764	1	Westminster John Knox Press
0765	1	Standard Publishing
0766	1	Loyola Press
0767	1	Prentice Hall / Penguin Putnam
0768	1	Baker
0769	1	Nags Head Art Inc
0770	1	Westminster John Knox Press
0771	1	Wipf & Stock
0772	1	Leafwood Publishers
0773	1	Williamson Books
0774	1	Wm. B. Eerdmans Publishing Co.
0775	1	Moody Publishers
0776	1	Howard Books
0777	1	Beacon Hill Press
0778	1	Kingfisher
0779	1	Onward Books
0780	1	Oak Hills Church
0781	1	Houghton-mifflin
0782	1	Bethlehem Books
0783	1	Blackwell Publishing
0784	1	Css Publishing
0785	1	Westminster John Knox Press
0786	1	Grosset & Dunlap
0787	1	HMH Books
0788	1	Tate Publishing
0789	1	REALMS
0790	1	Zondervan
0791	1	Zondervan
0792	1	Barbour Publishing
0793	1	Bethany House
0794	1	Charisma House
0795	1	Bethany House
0796	1	Faith Library Publications
0797	1	Nelson Impact
0798	1	Moody Publishers
0799	1	Tyndale House
0800	1	Tyndale House
0801	1	Thomas Nelson
0802	1	Thomas Nelson
0803	1	David C. Cook
0804	1	Bridge-logos Publishing
0805	1	Whitaker House Publishers
0806	1	Moody Publishers
0807	1	Standard Publishing
0808	1	Harvest House Publishers
0809	1	Brazos Press
0810	1	IVP Books
0811	1	Sampson Resources
0812	1	Paulist Press
0813	1	Monarch Books
0814	1	Loyola Press
0815	1	Journeyforth
0816	1	Christian Focus Publications
0817	1	Reformed Free Publishing Assoc
0818	1	Grosset & Dunlap
0819	1	Creation House
0820	1	Simon & Schuster Trade Sales
0821	1	Applewood Books
0822	1	Newlife Book Distributors, LLC
0823	1	Christian Focus Publications
0824	1	Frances Lincoln Children's Books
0825	1	Wipf & Stock
0826	1	Houghton-mifflin
0827	1	YWAM Editorial Jucum
0828	1	Thomas Nelson
0829	1	P & R Publishing
0830	1	Baylor University Press
0831	1	Cartwheel Books
0832	1	Free Press
0833	1	Augsburg Fortress
0834	1	WaterBrook Press
0835	1	Random House, Inc
0836	1	Abingdon Press
0837	1	Cornell University Press
0838	1	Standard Publishing
0839	1	Lillenas
0840	1	Strang Communications
0841	1	Putnam Juvenile
0842	1	Collins
0843	1	Creation House
0844	1	Riverhead
0845	1	Simon & Schuster Trade Sales
0846	1	Little Brown Young Readers
0847	1	Xulon Press
0848	1	Continuum International
0849	1	Harpercollins Publishing
0850	1	Continuum International
0851	1	Loyola Press
0852	1	Vida
0853	1	Random House, Inc
0854	1	B & H Publishing Group
0855	1	Mercer Press
0856	1	Casa Creacion
0857	1	NewLife Book Distributors
0858	1	Sandpiper
0859	1	Thomas Nelson
0860	1	Creation House
0861	1	Legacy Press
0862	1	Standard Publishing
0863	1	Discovery House Publishers
0864	1	Zondervan
0865	1	Creation House
0866	1	Fortress Press
0867	1	Abingdon Press
0868	1	Guilford Press
0869	1	Fortress Press
0870	1	Kregel Publications
0871	1	Baker
0872	1	Vida
0873	1	Ave Maria Press
0874	1	Heart Spring
0875	1	Christian Classics
0876	1	John Wiley & Sons
0877	1	Grosset & Dunlap
0878	1	Kregel Publications
0879	1	DK Children
0880	1	Destiny Image
0881	1	Cascade Books
0882	1	DK Publishing Inc.
0883	1	Chalice Press
0884	1	Wm. B. Eerdmans Publishing Co.
0885	1	Houghton-mifflin
0886	1	Smyth & Helwys Publishing, Inc
0887	1	Baker
0888	1	Excel Books
0889	1	New Hope Publishers
0890	1	Wipf & Stock
0891	1	Center Point Large Print Books
0892	1	Penguin Putnam Inc.
0893	1	Whitaker House Publishers
0894	1	Houghton-mifflin
0895	1	Grosset & Dunlap
0896	1	Founders Press
0897	1	Inter-varsity Press
0898	1	Scholastic Teaching Resources
0899	1	Creation House
0900	1	Houghton-mifflin
0901	1	Paraclete Press
0902	1	P & R Publishing
0903	1	Vida
0904	1	Perigee Trade
0905	1	Zondervan
0906	1	Zondervan
0907	1	Zondervan
0908	1	Leafwood Publishers
0909	1	Christian Large Print
0910	1	Little Simon
0911	1	Xulon Press
0912	1	Random House, Inc
0913	1	Xulon Press
0914	1	Ambassador-emerald, Intl.
0915	1	Christian Focus
0916	1	B & H Publishing Group
0917	1	HarperOne
0918	1	Willow Creek Association
0919	1	Gospel Light
0920	1	Guidepost Books
0921	1	Moody Publishers
0922	1	Random House, Inc
0923	1	Zondervan
0924	1	Thomas Nelson
0925	1	David C. Cook
0926	1	Tyndale House
0927	1	Dover Publications
0928	1	Moody Publishers
0929	1	Upper Room
0930	1	Lewis & Roth
0931	1	Lewis & Roth
0932	1	Abingdon Press
0933	1	Augsburg Fortress
0934	1	HarperOne
0935	1	P & R Publishing
0936	1	Atria Books
0937	1	Nelson Books
0938	1	Westminster John Knox Press
0939	1	Kregel Publications
0940	1	Pleasant Word (winepress Pub)
0941	1	Inter-varsity Press
0942	1	Anomalos Publishing LLC
0943	1	Christian Focus Publications
0944	1	Sterling Publishing Co., Inc.
0945	1	P & R Publishing
0946	1	Cistercian Publications Inc
0947	1	Houghton-mifflin
0948	1	Christian Focus Publications
0949	1	Houghton-mifflin
0950	1	Houghton Mifflin Books for Children
0951	1	Cider Mill Press
0952	1	Reformation Heritage / Soli Deo Gloria
0953	1	Penguin Classics
0954	1	Liguori Publications
0955	1	Simon & Schuster Trade Sales
0956	1	B & H Publishing Group
0957	1	Canon Press
0958	1	IVP Books
0959	1	Viking Juvenile
0960	1	Entertainment Ministries
0961	1	Health Communications
0962	1	Day One Publications
0963	1	Little Brown & Company
0964	1	Kingfisher
0965	1	Westminster John Knox Press
0966	1	Ideals Publications Inc
0967	1	Zondervan
0968	1	Authentic USA
0969	1	Zondervan
0970	1	Simon & Schuster Trade Sales
0971	1	Chicken Soup For The Soul
0972	1	Mercer Press
0973	1	Michael Glazier
0974	1	Simon & Schuster
0975	1	Ignatius Press
0976	1	Houghton Mifflin Harcourt
0977	1	Youth Specialty
0978	1	Avon Inspire
0979	1	Overlook Press
0980	1	Ave Maria Press
0981	1	Penguin Classics
0982	1	Upper Room
0983	1	Wipf & Stock
0984	1	NYR Children's Collection
0985	1	Random House, Inc
0986	1	Strang Communications
0987	1	Vance Publications
0988	1	Charlesbridge Publishing
0989	1	Free Press
0990	1	Thomas Nelson
0991	1	Abingdon Press
0992	1	Gospel Light
0993	1	Mcdougal Publishing
0994	1	Day One Publications
0995	1	Continuum International
0996	1	Atheneum
0997	1	Houghton-mifflin
0998	1	Editorial Portavoz
0999	1	Casa Creacion
1000	1	Adams Media
1001	1	Bridge-logos Publishing
1002	1	Random House, Inc
1003	1	Xulon Press
1004	1	Day One Publications
1005	1	Abingdon Press
1006	1	Center Street
1007	1	Pleasant Word (winepress Pub)
1008	1	Authentic
1009	1	Houghton-mifflin
1010	1	HigherLife Development Services
1011	1	Thomas Nelson
1012	1	Penguin Classics
1013	1	NAV Press
1014	1	IVP Academic
1015	1	Crossway Books & Bibles
1016	1	Random House, Inc
1017	1	Grupo Nelson
1018	1	Howard Books
1019	1	Cistercian Publications Inc
1020	1	Winepress Publishing
1021	1	Thomas Nelson
1022	1	The Learning Parent
1023	1	Charlesbridge Publishing
1024	1	Wm. B. Eerdmans Publishing Co.
1025	1	Zondervan
1026	1	Price Stern Sloan
1027	1	Frederick Warne & Company
1028	1	Center Street
1029	1	Warner Press
1030	1	Casa Creacion
