book	buy	author
0235	1	P. G. Wodehouse
0236	1	Ramit Sethi
0237	1	Thomas E. Patterson
0238	1	Katie MacAlister
0239	1	Hansen Collin
0240	1	Gary/ Schultz Gianni
0241	1	John A./ Haynes Wegmann
0242	1	Diane Kress
0243	1	Ken Bible
0244	1	Ken Akamatsu
0245	1	Susan C. Thomas
0246	1	James H./ Hammill O'Keefe
0247	1	John Pitt
0248	1	John J./ Goldstein Coleman
0249	1	Brent Weeks
0250	1	Frances H. Kennedy
0251	1	Cicely Mary Barker
0252	1	Neil/ Hempel Gaiman
0253	1	Bill/ Buckingham Willingham
0254	1	David Sedaris
0255	1	Michelle West
0256	1	Rosemary Simmons
0257	1	Dominic Massa
0258	1	Richard Moore
0259	1	D. A. Saia
0260	1	Tom Woloshyn
0261	1	Greg/ Lente Pak
0262	1	Alan Weller
0263	1	Arnold/ Haney Drake
0264	1	William Whiston
0265	1	Erin/ Cechin McKenna
0266	1	Caroline Leaf
0267	1	Charlaine Harris
0268	1	Marcus Geduld
0269	1	O. Wesley Allen
0270	1	N. T. Wright
0271	1	Alphonse Chabot
0272	1	Yoshiki Nakamura
0273	1	Enfield Uk Ltd Royal Enfield Uk Ltd
0274	1	Diana Kendall
0275	1	Agathe Ravert-haevermans
0276	1	Gary Paulsen
0277	1	Linda (INT)/ Last Doeser
0278	1	William Frederick Kirk
0279	1	Greg Prato
0280	1	Federal Aviation Administration
0281	1	Paul W./ Massopust Wang
0282	1	Myke Hawke
0283	1	John S. Hockensmith
0284	1	Jeffrey Gitomer
0285	1	Graduate Management Admission Council
0286	1	Jon Gordon
0287	1	Clinton H. Smoke
0288	1	Thomas E. King
0289	1	Robert/ Sarigumba Kao
0290	1	Marvin L./ Ellenbogen Bittinger
0291	1	Curtis Sittenfeld
0292	1	Steven Holzner
0293	1	Robert/ Negron Cavalier
0294	1	Stephenie Meyer
0295	1	The Grey Dhungarvn the Grey
0296	1	Faithe Wempen
0297	1	Mike Gendron
0298	1	Arthur Conan Doyle
0299	1	Anne/ Vanags Millard
0300	1	Elizabeth (ADP) Hurchalla
0301	1	Emma King
0302	1	Kathleen Deska/ Pagana Pagana
0303	1	Lynden B. Miller
0304	1	Mina Rieur (EDT)/ Samuel Weiner
0305	1	Don Jensen
0306	1	Ronald B./ Rosenfeld Adler
0307	1	Carol/ Wallace Wallace
0308	1	H. A. Garratt
0309	1	Marjorie Priceman
0310	1	J. D. Robb
0311	1	Colleen Patrick-Goudreau
0312	1	Lifetime Television
0313	1	Carol Frederick Steele
0314	1	Dennis/ Cohen Cohen
0315	1	Jinny Beyer
0316	1	Julia Chaplin
0317	1	Pablo Vierci
0318	1	Noel Streatfeild
0319	1	Brett Harward
0320	1	Roger Von Oech
0321	1	Bob Johnson
0322	1	Jamie Edwards
0323	1	Meghan McGinley/ Perez Crowe
0324	1	Michael R. Lindeburg
0325	1	Sue Grafton
0326	1	Amy/ Kang Allen
0327	1	David M. Killoran
0328	1	William C. Kozee
0329	1	Genevieve/ Zinnes Jolliffe
0330	1	Kentaro/ Johnson Miura
0331	1	Robert McCloskey
0332	1	Magda/ Johnson Gerber
0333	1	Emily Bronte
0334	1	Guido/ Bigon Regazzoni
0335	1	Kevin Henkes
0336	1	Peter Kaminsky
0337	1	Maxine Hong Kingston
0338	1	Tetsuya/ Puzzler Magazine (EDT) Nishio
0339	1	Robert Jordan
0340	1	Margarita Artschwager Kay
0341	1	Michael/ Siegel Strassfeld
0342	1	David (EDT) Wright
0343	1	Chinua Achebe
0344	1	William Hanchett
0345	1	Dennis/ Hill Kimbro
0346	1	Mary Wollstonecraft/ Stoker Shelley
0347	1	Roland Barthes
0348	1	Jack Kerouac
0349	1	Roland/ Lavers Barthes
0350	1	Jodi Picoult
0351	0	<NULL>
0352	1	William/ Sears Sears
0353	1	Lorus/ Lorus Milne
0354	1	Matt Groening
0355	1	Carl H. Munroe
0356	1	Susan Drake
0357	1	J. K./ Dale Rowling
0358	1	Jeremy (EDT)/ Swafford Kilpatrick
0359	1	Daniel Kirschenbaum
0360	1	Jim/ Parker Hamm
0361	1	Thomas J./ Danko Stanley
0362	1	Sean Covey
0363	1	Phillip C. McGraw
0364	1	Terry Teykl
0365	1	Elliot D./ Morrison Abravanel
0366	1	Zig Ziglar
0367	1	John Marsden
0368	1	Ira/ Manning Spring
0369	1	Marcus/ James Pfister
0370	1	Inc. (EDT) Klutz
0371	1	Ron L. Engelland
0372	1	Not Available (NA)
0373	0	<NULL>
0374	1	Henrik/ McFarlane Ibsen
0375	1	Robert McCloskey
0376	1	Not Available (NA)
0377	1	Betty Crocker
0378	1	Laura/ Sherman Torres
0379	1	Anne Fadiman
0380	0	<NULL>
0381	0	<NULL>
0382	1	Denes (CRT) Agay
0383	1	Bill Hamon
0384	1	John Gray
0385	1	Ray A. D'Inverno
0386	1	Not Available (NA)
0387	1	Michael W. Covel
0388	1	Sarah Vowell
0389	1	L. D. (EDT) Kapoor
0390	1	Starr Meade
0391	1	Michael P. Spradlin
0392	1	Rick Yancey
0393	1	Kresley/ Black Cole
0394	1	Brent Slife
0395	1	Richard Phillips/ Leighton Feynman
0396	1	Roger Priddy
0397	1	Andy Stanley
0398	1	Jerry/ Baker Baker
0399	1	Robert O./ Young Young
0400	1	Maria Faustina Kowalska
0401	1	Elizabeth Haydon
0402	1	David/ Spiker Zinczenko
0403	1	Henry Beston
0404	1	Robert Boyd (EDT) Munger
0405	0	<NULL>
0406	1	Patricia Evans
0407	1	Jodi Picoult
0408	1	Jay E. Adams
0409	1	Mark L. Chambers
0410	1	American Heart Association
0411	1	Joyce Meyer
0412	1	Marie M. Clay
0413	0	<NULL>
0414	1	Arlene Cotter
0415	1	Randy C. Alcorn
0416	1	Steve W. Williams
0417	1	Ibis Fernandez
0418	1	Cheri Huber
0419	1	Vincent/ Gentry Bugliosi
0420	1	Kathleen Long Bostrom
0421	1	Paul Falcone
0422	1	Paul N. Benware
0423	1	Kessinger Publishing
0424	1	F. Scott/ Robbins Fitzgerald
0425	0	<NULL>
0426	0	<NULL>
0427	1	Larry (EDT) Better Homes and Gardens Books (EDT)/ Johnston
0428	1	Dawn Lerman
0429	1	Jordan Rubin
0430	1	Craig/ Swan Cameron
0431	1	Irwin Chusid
0432	1	Jon Weil
0433	1	Alice Hoffman
0434	1	Lilly/ Mulvaney Pulitzer
0435	1	Andrew Clements
0436	1	Tom Wheeler
0437	0	<NULL>
0438	1	Stella/ Cox Starsky
0439	1	Not Available (NA)
0440	3	Vanessa-Ann	Lael C. Furgeon	Rebecca Carter
0441	1	Robert/ Bryant De Boron
0442	1	Anne McCaffrey
0443	1	Stanley W. Johnson
0444	1	Stephen King
0445	3	John M. Braxton	William Luckey	Patricia Helland
0446	1	William/ Mowat Shakespeare
0447	2	B. E. Brodsky	B. S. Darkhovsky
0448	1	Barbara Lee Bleau
0449	2	Stefan Bergstrvm	Lotta Reberg
0450	1	Jim/ Porras Collins
0451	1	Charles M. Frye
0452	2	Stephen Miller	Robert Huber
0453	1	Donna M. Genett
0454	1	Henry Cloud
0455	1	Susan/ Smith Mattson
0456	1	Polly Shulman
0457	1	Ilana (EDT)/ Blank Weitzman
0458	1	Bev Vincent
0459	1	Charles F./ Dyer Knight
0460	1	James (EDT) Patterson
0461	1	Harold G. Cox
0462	1	Jim Johnson
0463	1	Jessica M./ Heckard Utts
0464	1	Jennie/ Henson Bishop
0465	1	Eoin Colfer
0466	1	Esther/ Hicks Hicks
0467	1	Judge Thomas Troward
0468	1	Ken Sui-Chong
0469	1	Not Available (NA)
0470	1	Agatha Christie
0471	1	Brian Germain
0472	1	Neal Thompson
0473	1	Jim/ Summit Widess
0474	1	John MacArthur
0475	1	Chris Welles Feder
0476	1	Richard D. Weaver
0477	1	Enokido Yoji
0478	1	Ginny Redington/ Collings Dawes
0479	1	John Piper
0480	1	Paul P. Enns
0481	1	Hephzibah/ Jolliffe Roskelly
0482	1	Mark R. Harrigan
0483	1	Albert C./ Reeves Perrino
0484	1	Rick Atkinson
0485	1	Jim/ Mabin McCarter
0486	1	Sandra Felton
0487	1	Diana C. Reep
0488	1	Not Available (NA)
0489	1	Patricia Cori
0490	1	Andy Andrews
0491	1	Yoshiki Nakamura
0492	1	Eric A. Meyer
0493	1	Thomas/ Apple McNamee
0494	1	Jeffrey Lindsay
0495	1	Jodi Picoult
0496	1	Diana/ Calderwood Kennedy
0497	1	Kazu Kibuishi
0498	1	Karen Delise
0499	1	Marjorie Canfield Willis
0500	1	Dan Miller
0501	1	Robert Simonsen
0502	1	Lynn V. Andrews
0503	1	Edwin H./ Treadwell Friedman
0504	1	Project Management Institute
0505	1	James/ Gross Patterson
0506	1	Robin St John
0507	1	Hikaru/ Matsumoto Hayashi
0508	1	Helen Thomas
0509	1	Todd A./ Kim Swanson
0510	1	Harold Robbins
0511	1	Leslie Parrott
0512	1	Carl Deuker
0513	1	Jay P. Green
0514	1	Jane Thielemann
0515	1	Randy J./ Buss Larsen
0516	1	Ian K. Smith
0517	1	Daniel J. Levitin
0518	1	Beverly Engel
0519	1	Alyssa Satin/ Stott Capucilli
0520	1	Michael Pollan
0521	1	Andrew J. Cherlin
0522	1	John Emory (EDT) Campbell
0523	1	John E. Girouard
0524	1	Sophie Kinsella
0525	1	Mark/ Trattler Gladwin
0526	1	Sarah Houghton
0527	1	Terrence Real
0528	1	Lloyd (CON)/ Rogers Hampton
0529	1	Garrison Keillor
0530	1	Wayne (CRT) Shorter
0531	1	Mark U. Edwards
0532	0	<NULL>
0533	2	H. Beam Piper	John J. McGuire
0534	1	Paul Rosenberg
0535	1	de Troyes/ Comfort Chretien
0536	1	Cher/ Derry Threinen-Pendarvis
0537	1	Ruth Burrows
0538	1	Karen Marie/ Bean Moning
0539	1	Phil Hellmuth
0540	1	Rod Latham
0541	1	Angela Skinner
0542	1	Kristie/ Knorr Smith
0543	1	H. C. Goldsmith
0544	1	Julie Adair King
0545	1	Marilynn E./ Moorhouse Doenges
0546	1	Kevin Trudeau
0547	1	Not Available (NA)
0548	1	G. G. Bloomer
0549	1	Wayne/ Smith Gisslen
0550	1	Donald Lewis-highcorrell
0551	1	Maurice (EDT) Ravel (COP)/ Hinson
0552	1	Charlotte J./ Wilkins Wyche
0553	1	Wayne W./ Williamson Dyer
0554	1	Adam Ding
0555	1	Greg Green
0556	1	Rose Rosetree
0557	1	Marilyn Burns
0558	1	Philip Martin McCaulay
0559	1	Joan/ Cox Preppernau
0560	1	Stacy Phillips
0561	1	William R. (EDT) Yount
0562	1	Dalmatian Press (EDT)
0563	1	H. P./ Jones Lovecraft
0564	1	Brigitte Gabriel
0565	1	Brian K. Julyan
0566	1	Kris/ Williamson Carr
0567	1	Brian (EDT) Sawyer
0568	1	DK Publishing
0569	1	Dennis J. Sporre
0570	2	Ori Brafman	Rod A. Beckstrom
0571	1	Robert Paul Weston
0572	1	Patrick McNeil
0573	1	Nancy/ Bright Moser
0574	1	Albert Payson Terhune
0575	1	William Feaver
0576	1	Byron/ Williams Katie
0577	1	Crossway Books (COR)
0578	1	Bruce Wingerd
0579	1	Wayne/ Thoennes Grudem
0580	1	Kenneth L. (EDT)/ Stek Barker
0581	1	Gordon Korman
0582	1	Rick Riordan
0583	1	Steven T./ Brooks Boyd
0584	1	Gary Dessler
0585	1	Steve/ Millner Harvey
0586	1	Napoleon Hill
0587	1	Angela/ Berry Byron
0588	1	William/ Ryan Yeoward
0589	1	Sue/ Melamed Whitney
0590	1	Mark Gungor
0591	1	Kuriakos
0592	1	Edward/ Iano Allen
0593	1	Eugene F./ Houston Brigham
0594	1	Barbara/ Stoeltie Stoeltie
0595	1	F. William Engdahl
0596	1	Donald F. Kettl
0597	1	Annie/ Street-Porter Kelly
0598	1	Robert A. Burton
0599	1	Gordon Korman
0600	1	Neill Seltzer
0601	1	Anthony DeStefano
0602	1	Margaret (EDT) Kelly
0603	1	Ronald C. White
0604	1	Richard/ Gaynor Mishaan
0605	1	Deepak Chopra
0606	1	Chava/ Leon-Guerrero Frankfort-Nachmias
0607	1	James/ Slavicsek Wyatt
0608	1	David Chambers
0609	1	Dan Bobinski
0610	1	Stephen/ Stoeker Arterburn
0611	1	Tom/ Cutting White
0612	1	E. Clyde/ Schneider Buchanan
0613	1	Colette Pitcher
0614	1	Ken Akamatsu
0615	1	Daniel Ekeroth
0616	1	John D. Carl
0617	1	Steven P. Shelov
0618	1	H. Thomas Johnson
0619	1	Emily (EDT) Schusterbauer
0620	1	Christine/ Mueller Mersch
0621	1	Henry David Thoreau
0622	1	Rhonda Byrne
0623	1	Albert/ Pons Valdman
0624	1	Jacqueline Carey
0625	1	Mary Ellis
0626	1	Jerry/ Hayball Holway
0627	1	Peter Gregory
0628	1	Armond Fields
0629	1	Joseph Victor Collins
0630	3	John J. Vincent	Erica Livingston	Nivaldo J. Tro
0631	1	Lauraine Snelling
0632	1	Jeff Bredenberg
0633	1	Ellen Finkelstein
0634	1	Martin Jacques
0635	1	Paul Taylor
0636	1	Michael/ Penske Argetsinger
0637	1	Edward T. Martin
0638	1	Thomas/ Cutler Heggen
0639	1	Helen Muller
0640	1	Alan M. (EDT)/ Houston Blankstein
0641	1	Lester Faigley
0642	0	<NULL>
0643	1	Merlin R. Carothers
0644	1	Thomas S. (EDT) Blanton
0645	1	John Ross
0646	1	Charles Williams
0647	1	Charles Bukowski
0648	1	Nick Bantock
0649	1	Norman Grubb
0650	1	Michael/ Oxenbury Rosen
0651	0	<NULL>
0652	0	<NULL>
0653	1	Peter/ Clancy Mayle
0654	1	Stephen Crane
0655	1	Flavius/ Maier Josephus
0656	1	George S. Clason
0657	1	Jack Schaefer
0658	1	Og Mandino
0659	1	W. P. Kinsella
0660	1	Bruce/ Gealt Cole
0661	1	Frank Bettger
0662	1	Deng Ming-Dao
0663	1	Don/ Laudeman Casey
0664	1	John D. MacDonald
0665	1	Roland/ Miller Barthes
0666	1	Beverly Cleary
0667	1	Jean Craighead George
0668	1	John Reynolds/ Sewall Gardiner
0669	1	Bathroom Readers' Institute
0670	1	Tom Brokaw
0671	1	Dion Fortune
0672	2	David J. Marcarthy	David J. McCarthy
0673	1	James Krenov
0674	1	Pamela Jayne
0675	1	Carol/ Fisher Beckwith
0676	1	Ethelbert W. Bullinger
0677	1	Robert (EDT)/ Ambrose Cowley
0678	1	O. Robin Sweet
0679	1	Stewart/ Farrar Farrar
0680	1	Shunryu Suzuki
0681	1	Elizabeth Haydon
0682	1	Elaine B. Johnson
0683	1	Max/ Knight Lunger
0684	1	Jessica Teich
0685	1	Gladys Hunt
0686	1	John H. Dobson
0687	1	Olivia St. Claire
0688	1	Patrick Sebranek
0689	1	Lauren Leslie
0690	1	Dave Gerr
0691	1	Anthony Weston
0692	1	Vandana Shiva
0693	1	Robert Louis/ Cordingly Stevenson
0694	1	John T. Hanou
0695	1	Sydney Banks
0696	1	Richard Laurence
0697	1	Diane Grindol
0698	1	George/ Fromm Orwell
0699	1	Lewis (TRN) Geoffrey of Monmouth/ Thorpe
0700	1	Paramahansa Yogananda
0701	1	Sherrilyn Kenyon
0702	2	Patrick C. Olds	Joynce L. Olds
0703	1	Kurt/ Nord Busiek
0704	1	Suzanne Somers
0705	1	James P./ Caher Caher
0706	1	James Matthew Barrie
0707	1	Jerry Bridges
0708	1	Mary Ann/ Westcott Hoberman
0709	1	Vincent Douglas
0710	1	Alan J. Flusser
0711	1	Maya Gottfried
0712	1	Robert M. Pirsig
0713	1	Alex Tresniowski
0714	2	Peter Gray	John Carroll
0715	1	Greg Perry
0716	1	Brian K./ Guerra Vaughan
0717	1	Ralph Waldo/ Ziff Emerson
0718	1	James Rachels
0719	1	Adele (EDT)/ Brettler Berlin
0720	1	Jay G. Foonberg
0721	1	Anne Bishop
0722	1	Ben Mezrich
0723	1	Chuck (EDT) Sher
0724	1	Kevin D./ Simon Mitnick
0725	1	Hale Dwoskin
0726	1	William F. Powell
0727	1	Ayn Rand
0728	1	Edgar Rice Burroughs
0729	1	Frank P. Baron
0730	0	<NULL>
0731	1	Geronimo Stilton
0732	1	Tess Gerritsen
0733	1	Gary R. Renard
0734	1	T. A. Barron
0735	1	Tom/ Wright Wright
0736	1	Bill McRae
0737	1	Kenneth Oppel
0738	1	Agatha Christie
0739	1	Scot McKnight
0740	1	Joseph Conrad
0741	1	Bill Nowlin
0742	1	Philippe Kruchten
0743	1	N. T. Wright
0744	1	FAA Department of Transportation
0745	1	Lauralee/ Klandorf Sherwood
0746	2	Kay Arthur	Janna Arndt
0747	1	Stedman's
0748	1	McKay Jenkins
0749	1	Floyd McClung
0750	1	George Mathieu Barnard
0751	1	Eric Pascarello
0752	1	Olympic Mountain Recue
0753	1	Christian P. Potholm
0754	1	Mary (ILT) Engelbreit
0755	1	Conny Mendez
0756	2	Kitty Dukakis	Larry Tye
0757	3	Edwin Olmstead	W. Edward Olmstead	Ed Olmstead
0758	1	Doreen Virtue
0759	1	Margaret Maron
0760	1	Charles Agar
0761	1	Napoleon Hill
0762	1	Ann Fittante
0763	1	Marsha Collier
0764	1	Daniel Kirk
0765	1	Betty Schrampfer Azar
0766	1	Jeff/ Francois Hertzberg
0767	1	Agatha Christie
0768	2	Arulkumaran Kumaraswamipillai	Sivayini Arulkumaran
0769	1	Carolyn Jarvis
0770	1	Kim Clement
0771	1	Jack/ Rogers Hagerty
0772	1	Eiji/ Tajima Otsuka
0773	1	R. Dean (EDT)/ Cebik Straw
0774	1	Barry J. (EDT) Beitzel
0775	1	Janet Wittenback
0776	1	Robert L. Nussbaum
0777	1	Monte Francis
0778	1	Marvin L./ Beecher Bittinger
0779	1	Michael Woodward
0780	1	michael A. Singer
0781	1	Marcia Darvin Spada
0782	1	Robert B. Broyles
0783	1	Lucinda Bassett
0784	1	S. L. Hinkle
0785	1	Herb Miller
0786	1	Jane Smidor/ Bastien Bastien
0787	1	Maria Jose De La/ Peris Fuente
0788	1	Dan Miller
0789	1	John F./ Hitchcock Walvoord
0790	1	Koos/ Steur Eissen
0791	1	Sue Grafton
0792	1	Lora Leigh
0793	1	Alex/ Harris Harris
0794	1	Francis Ray
0795	1	Bisco Hatori
0796	1	Jennifer Bradbury
0797	1	Chris Robinson
0798	1	Barbara M./ Newman Newman
0799	1	Jim Friedman
0800	1	Eduard Imhof
0801	1	Walter (COM) Carroll
0802	1	Cesar G. Queyquep
0803	1	Toys Alex
0804	1	Franz/ Shaw Mandl
0805	1	Donald/ Muller Caldwell
0806	2	Wayne M. Levine	Levine M. Wayne
0807	2	Bodie Thoene	Brock Thoene
0808	1	Paul A./ Llewellyn Tipler
0809	1	David J. Wallin
0810	2	John Cutnell	Kenneth W. Johnson
0811	1	Victoria Doudera
0812	1	George F./ Smith Cole
0813	1	Robert Lewis
0814	1	Mercer (ILT)/ Carson-dellosa Publishing (COR) Mayer
0815	1	Ellen Schroy
0816	1	Jo Packham
0817	1	Marthe (EDT) Lark Books (COR)/ Le Van
0818	1	E. (EDT)/ Aland Nestle
0819	1	Eric/ Gleason Cornally
0820	1	Alberts
0821	1	Patricia Schultz
0822	1	Bill Johnson
0823	1	Bill Jelen
0824	1	Richard Starkings
0825	1	Napoleon/ Stone Hill
0826	1	Kenneth Hanson
0827	1	J. D./ Gregory Vertrees
0828	1	James J./ Mason Cramer
0829	0	<NULL>
0830	1	Jodi Picoult
0831	1	Mark Grabe
0832	1	Lynn/ Borgenicht Rosen
0833	1	Ann Cato
0834	1	Pamela S./ Goodman Lewis
0835	1	John/ Rathgeber Kotter
0836	1	Alan Goldsher
0837	1	Scott McCloud
0838	1	Michael (EDT)/ Baur Baur
0839	1	Jane Archer
0840	1	Ian W. Toll
0841	1	Jim Boyce
0842	1	Robert H. Friis
0843	1	Jay/ Roth Kopelman
0844	1	Tom Wheeler
0845	1	Carol/ Messing Mccloud
0846	1	Charles M. Schulz
0847	1	Educational Testing Service
0848	1	David Knight
