book	christianbook	publication_date
0191	1	1998
0192	1	2010
0193	1	2008
0194	1	2007
0195	1	2007
0196	1	2005
0197	1	2010
0198	1	2007
0199	1	2010
0200	1	2010
0201	1	2008
0202	1	2010
0203	1	2008
0204	1	2002
0205	1	2001
0206	1	2009
0207	1	2008
0208	1	1999
0209	1	2008
0210	1	2010
0211	1	2003
0212	1	2004
0213	1	2009
0214	1	2003
0215	1	2003
0216	1	2004
0217	1	2001
0218	1	2008
0219	1	2002
0220	1	2010
0221	1	2009
0222	1	1989
0223	1	1988
0224	1	2003
0225	1	2001
0226	1	2005
0227	1	2002
0228	1	2004
0229	1	2006
0230	1	2008
0231	1	2007
0232	1	2000
0233	1	2000
0234	1	2010
0235	1	1998
0236	1	1997
0237	1	2008
0238	1	2005
0239	1	2004
0240	1	2009
0241	1	2003
0242	1	2003
0243	1	2008
0244	1	2005
0245	1	2010
0246	1	2007
0247	1	1986
0248	1	2002
0249	1	2010
0250	1	2007
0251	1	2010
0252	1	2008
0253	1	2010
0254	1	1990
0255	1	1976
0256	1	2007
0257	1	2010
0258	1	1996
0259	1	2000
0260	1	2007
0261	1	2005
0262	1	2005
0263	1	2008
0264	1	2009
0265	1	2004
0266	1	2004
0267	1	2009
0268	1	2010
0269	1	1999
0270	1	1998
0271	1	2009
0272	1	2005
0273	1	2005
0274	1	2009
0275	1	2006
0276	1	2001
0277	1	1988
0278	1	2009
0279	1	2010
0280	1	2009
0281	1	2007
0282	1	2000
0283	1	2005
0284	1	2008
0285	1	2010
0286	1	2004
0287	1	2009
0288	1	1998
0289	1	2007
0290	1	2000
0291	1	2005
0292	1	2010
0293	1	1989
0294	1	1997
0295	1	2009
0296	1	2003
0297	1	2010
0298	1	1997
0299	1	2009
0300	1	2000
0301	1	2009
0302	1	2008
0303	1	2009
0304	1	2009
0305	1	2009
0306	1	2005
0307	1	1974
0308	1	2007
0309	1	2001
0310	1	2003
0311	1	2000
0312	1	1996
0313	1	2010
0314	1	2007
0315	1	2001
0316	1	2010
0317	1	2006
0318	1	2006
0319	1	2009
0320	1	2005
0321	1	2009
0322	1	2006
0323	1	1993
0324	1	2010
0325	1	2006
0326	1	2008
0327	1	2002
0328	1	2009
0329	1	2003
0330	1	2000
0331	1	2007
0332	1	2005
0333	1	1998
0334	1	2010
0335	1	2001
0336	1	2006
0337	1	2009
0338	1	1986
0339	1	1996
0340	1	2008
0341	1	1998
0342	1	2009
0343	1	1999
0344	1	2003
0345	1	2000
0346	1	2008
0347	1	2010
0348	1	2010
0349	1	2010
0350	1	2002
0351	1	1972
0352	1	2001
0353	1	2009
0354	1	2006
0355	1	2010
0356	1	2010
0357	1	2005
0358	1	2009
0359	1	2002
0360	1	1999
0361	1	2008
0362	1	2010
0363	1	2009
0364	1	2009
0365	1	2009
0366	1	2005
0367	1	2008
0368	1	2010
0369	1	2010
0370	1	2008
0371	1	1993
0372	1	1982
0373	1	2005
0374	1	2010
0375	1	1988
0376	1	2005
0377	1	2004
0378	1	2008
0379	1	2009
0380	1	2010
0381	1	1984
0382	1	2002
0383	1	1996
0384	1	2002
0385	1	1997
0386	1	1996
0387	1	2008
0388	1	1981
0389	1	2000
0390	1	1998
0391	1	2006
0392	1	2003
0393	1	2006
0394	1	2007
0395	1	1980
0396	1	2008
0397	1	1991
0398	1	2001
0399	1	2009
0400	1	2009
0401	1	2010
0402	1	2007
0403	1	1995
0404	1	2010
0405	1	2007
0406	1	2002
0407	1	2001
0408	1	2006
0409	1	2006
0410	1	2000
0411	1	1989
0412	1	2004
0413	1	2009
0414	1	2007
0415	1	2008
0416	1	2008
0417	1	2006
0418	1	2001
0419	1	2005
0420	1	2010
0421	1	2011
0422	1	2005
0423	1	1999
0424	1	2008
0425	1	1993
0426	1	2009
0427	1	2003
0428	1	2007
0429	1	1998
0430	1	2008
0431	1	2005
0432	1	2000
0433	1	1995
0434	1	2003
0435	1	2006
0436	1	2010
0437	1	2006
0438	1	2008
0439	1	2004
0440	1	1988
0441	1	2009
0442	1	2008
0443	1	2010
0444	1	2004
0445	1	2002
0446	1	2010
0447	1	2009
0448	1	2010
0449	1	2002
0450	1	2008
0451	1	2004
0452	1	2002
0453	1	1998
0454	1	2004
0455	1	2004
0456	1	2009
0457	1	2010
0458	1	2004
0459	1	2011
0460	1	2008
0461	1	1993
0462	1	2009
0463	1	2005
0464	1	2009
0465	1	2005
0466	1	2002
0467	1	2006
0468	1	2005
0469	1	2009
0470	1	2007
0471	1	1995
0472	1	2005
0473	1	2008
0474	1	2008
0475	1	2003
0476	1	2000
0477	1	2008
0478	1	2002
0479	1	2005
0480	1	1999
0481	1	2007
0482	1	2001
0483	1	2003
0484	1	1982
0485	1	2005
0486	1	2008
0487	1	2002
0488	1	2011
0489	1	2009
0490	1	2006
0491	1	2000
0492	1	1999
0493	1	1991
0494	1	1998
0495	1	2005
0496	1	2008
0497	1	2010
0498	1	2002
0499	1	2010
0500	1	2007
0501	1	1986
0502	1	2009
0503	1	2006
0504	1	2010
0505	1	2008
0506	1	2008
0507	1	2006
0508	1	2008
0509	1	2002
0510	1	2003
0511	1	0995
0512	1	2001
0513	1	2000
0514	1	2009
0515	1	2003
0516	1	2009
0517	1	1988
0518	1	2008
0519	1	2003
0520	1	2009
0521	1	2005
0522	1	1999
0523	1	1998
0524	1	2011
0525	1	2010
0526	1	2007
0527	1	2002
0528	1	1995
0529	1	2002
0530	1	1988
0531	1	2007
0532	1	2008
0533	1	1979
0534	1	2005
0535	1	2002
0536	1	2008
0537	1	2008
0538	1	2007
0539	1	1988
0540	1	2002
0541	1	2002
0542	1	2004
0543	1	2010
0544	1	2008
0545	1	2010
0546	1	2009
0547	1	2004
0548	1	2008
0549	1	2011
0550	1	2010
0551	1	1994
0552	1	2008
0553	1	2007
0554	1	2008
0555	1	2003
0556	1	2008
0557	1	2008
0558	1	2010
0559	1	2003
0560	1	1999
0561	1	2005
0562	1	2009
0563	1	2010
0564	1	2007
0565	1	1998
0566	1	1961
0567	1	1990
0568	1	2005
0569	1	2010
0570	1	2008
0571	1	2006
0572	1	1987
0573	1	2007
0574	1	2008
0575	1	2005
0576	1	2007
0577	1	1986
0578	1	1993
0579	1	2000
0580	1	2005
0581	1	2009
0582	1	2004
0583	1	2005
0584	1	2009
0585	1	2009
0586	1	2004
0587	1	2009
0588	1	2010
0589	1	2010
0590	1	1992
0591	1	2004
0592	1	2009
0593	1	1998
0594	1	2006
0595	1	2007
0596	1	2007
0597	1	2010
0598	1	1999
0599	1	1999
0600	1	1993
0601	1	1997
0602	1	2008
0603	1	2010
0604	1	2004
0605	1	2009
0606	1	1986
0607	1	2009
0608	1	1997
0609	1	2007
0610	1	2009
0611	1	2006
0612	1	2004
0613	1	2002
0614	1	2009
0615	1	2008
0616	1	2010
0617	1	2009
0618	1	2007
0619	1	2007
0620	1	2003
0621	1	2005
0622	1	2002
0623	1	1990
0624	1	2005
0625	1	2010
0626	1	1997
0627	1	2006
0628	1	2009
0629	1	2008
0630	1	2003
0631	1	2003
0632	1	1987
0633	1	2009
0634	1	2007
0635	1	2010
0636	1	2008
0637	1	2010
0638	1	1995
0639	1	2009
0640	1	2000
0641	1	2009
0642	1	2007
0643	1	2003
0644	1	2008
0645	1	2005
0646	1	1958
0647	1	2001
0648	1	2004
0649	1	1999
0650	1	2008
0651	1	2002
0652	1	2010
0653	1	2003
0654	1	2008
0655	1	2003
0656	1	2006
0657	1	2008
0658	1	2010
0659	1	2003
0660	1	2000
0661	1	2006
0662	1	1999
0663	1	2009
0664	1	2010
0665	1	2008
0666	1	1991
0667	1	2003
0668	1	2009
0669	1	2005
0670	1	2000
0671	1	2000
0672	1	2008
0673	1	2009
0674	1	1988
0675	1	1986
0676	1	2004
0677	1	1995
0678	1	2010
0679	1	2001
0680	1	2010
0681	1	2010
0682	1	2010
0683	1	1996
0684	1	2008
0685	1	2002
0686	1	2010
0687	1	2008
0688	1	2010
0689	1	2009
0690	1	2011
0691	1	2005
0692	1	2009
0693	1	2009
0694	1	2009
0695	1	2004
0696	1	2010
0697	1	2005
0698	1	2000
0699	1	2009
0700	1	2008
0701	1	1994
0702	1	2000
0703	1	1998
0704	1	1996
0705	1	2003
0706	1	2011
0707	1	2008
0708	1	2000
0709	1	2000
0710	1	2008
0711	1	1987
0712	1	1997
0713	1	2010
0714	1	2008
0715	1	2007
0716	1	1999
0717	1	2000
0718	1	2008
0719	1	1999
0720	1	2004
0721	1	2006
0722	1	2010
0723	1	2007
0724	1	2007
0725	1	2001
0726	1	2006
0727	1	2011
0728	1	1997
0729	1	2008
0730	1	2010
0731	1	1999
0732	1	1997
0733	1	2005
0734	1	2011
0735	1	2007
0736	1	2008
0737	1	2007
0738	1	1991
0739	1	1994
0740	1	2009
0741	1	2008
0742	1	2007
0743	1	2008
0744	1	2005
0745	1	1988
0746	1	2007
0747	1	1995
0748	1	1998
0749	1	2007
0750	1	2010
0751	1	2006
0752	1	1997
0753	1	2007
0754	1	2005
0755	1	2000
0756	1	2010
0757	1	2005
0758	1	1999
0759	1	2007
0760	1	1963
0761	1	2009
0762	1	2010
0763	1	2010
0764	1	2004
0765	1	2006
0766	1	2006
0767	1	1997
0768	1	2006
0769	1	1996
0770	1	2007
0771	1	2008
0772	1	2003
0773	1	2009
0774	1	1984
0775	1	2008
0776	1	2008
0777	1	2009
0778	1	2009
0779	1	2009
0780	1	2010
0781	1	1985
0782	1	2007
0783	1	2007
0784	1	1984
0785	1	2009
0786	1	2006
0787	1	2010
0788	1	2008
0789	1	2010
0790	1	2011
0791	1	2009
0792	1	2008
0793	1	2009
0794	1	2010
0795	1	2010
0796	1	2001
0797	1	2006
0798	1	2007
0799	1	2009
0800	1	2008
0801	1	1996
0802	1	2007
0803	1	2009
0804	1	1987
0805	1	2010
0806	1	2001
0807	1	2009
0808	1	2009
0809	1	2006
0810	1	2008
0811	1	2005
0812	1	1947
0813	1	2006
0814	1	2001
0815	1	1996
0816	1	2003
0817	1	2005
0818	1	2008
0819	1	2008
0820	1	2005
0821	1	1992
0822	1	2010
0823	1	2003
0824	1	2006
0825	1	2007
0826	1	2008
0827	1	2005
0828	1	2007
0829	1	2006
0830	1	2010
0831	1	2010
0832	1	2010
0833	1	1994
0834	1	2009
0835	1	2002
0836	1	2005
0837	1	1987
0838	1	2004
0839	1	1994
0840	1	1998
0841	1	2004
0842	1	2009
0843	1	2009
0844	1	2003
0845	1	2005
0846	1	2010
0847	1	2008
0848	1	2010
0849	1	2011
0850	1	2002
0851	1	2004
0852	1	2006
0853	1	2009
0854	1	2006
0855	1	2007
0856	1	2006
0857	1	2008
0858	1	2010
0859	1	2007
0860	1	2010
0861	1	1999
0862	1	2010
0863	1	2007
0864	1	1997
0865	1	2007
0866	1	2010
0867	1	2006
0868	1	2004
0869	1	2006
0870	1	2005
0871	1	2004
0872	1	1983
0873	1	2006
0874	1	2007
0875	1	2010
0876	1	1999
0877	1	1967
0878	1	1997
0879	1	2009
0880	1	2008
0881	1	2009
0882	1	2007
0883	1	2008
0884	1	2004
0885	1	2000
0886	1	1995
0887	1	2002
0888	1	2008
0889	1	2008
0890	1	2006
0891	1	2006
0892	1	2003
0893	1	1998
0894	1	2002
0895	1	2010
0896	1	2010
0897	1	2006
0898	1	2011
0899	1	2009
0900	1	1984
0901	1	2008
0902	1	2004
0903	1	2005
0904	1	2010
0905	1	2004
0906	1	2003
0907	1	2007
0908	1	2009
0909	1	2008
0910	1	2010
0911	1	2008
0912	1	2005
0913	1	2008
0914	1	2001
0915	1	2009
0916	1	1998
0917	1	1987
0918	1	2008
0919	1	2005
0920	1	2006
0921	1	1975
0922	1	1983
0923	1	1980
0924	1	2007
0925	1	1984
0926	1	2008
0927	1	1999
0928	1	2008
0929	1	2008
0930	1	1997
0931	1	1993
0932	1	2006
0933	1	2005
0934	1	2009
0935	1	2005
0936	1	2008
0937	1	2006
0938	1	1989
0939	1	2005
0940	1	2010
0941	1	1994
0942	1	2008
0943	1	1997
0944	1	2008
0945	1	2005
0946	1	2007
0947	1	2001
0948	1	2005
0949	1	2008
0950	1	2007
0951	1	2006
0952	1	2003
0953	1	1992
0954	1	2003
0955	1	2010
0956	1	2008
0957	1	2007
0958	1	2007
0959	1	2008
0960	1	2006
0961	1	1990
0962	1	2008
0963	1	2008
0964	1	2010
0965	1	2004
0966	1	2007
0967	1	2010
0968	1	2011
0969	1	2010
0970	1	2010
0971	1	2010
0972	1	2008
0973	1	2006
0974	1	2009
0975	1	2010
0976	1	1998
0977	1	2010
0978	1	2009
0979	1	2008
0980	1	2007
0981	1	1965
0982	1	2008
0983	1	2008
0984	1	2008
0985	1	1992
0986	1	2004
0987	1	1994
0988	1	2010
0989	1	2007
0990	1	1995
0991	1	1995
0992	1	2008
0993	1	1980
0994	1	2007
0995	1	2004
0996	1	2007
0997	1	1973
0998	1	2007
0999	1	2009
1000	1	2007
1001	1	1999
1002	1	1972
1003	1	2008
1004	1	2007
1005	1	1994
1006	1	2010
1007	1	2009
1008	1	2005
1009	1	1990
1010	1	2009
1011	1	2009
1012	1	1959
1013	1	2005
1014	1	2008
1015	1	2011
1016	1	2004
1017	1	1990
1018	1	2005
1019	1	2008
1020	1	2004
1021	1	2004
1022	1	2010
1023	1	2007
1024	1	2003
1025	1	2010
1026	1	2004
1027	1	2010
1028	1	2009
1029	1	1997
1030	1	2008
1031	1	2006
1032	1	1994
1033	1	2007
1034	1	2008
1035	1	2008
1036	1	2009
1037	1	2004
1038	1	2009
1039	1	1998
1040	1	2008
1041	1	2009
1042	1	2006
1043	1	2000
1044	1	2011
1045	1	1998
1046	1	2009
1047	1	2000
1048	1	2009
1049	1	2008
1050	1	1994
1051	1	2008
1052	1	2006
1053	1	2009
1054	1	2010
1055	1	2008
1056	1	1998
1057	1	2008
1058	1	2004
1059	1	2008
1060	1	1998
1061	1	2007
1062	1	2009
1063	1	2010
1064	1	2009
1065	1	2004
1066	1	2010
1067	1	2007
1068	1	2006
1069	1	2005
1070	1	2008
1071	1	1994
1072	1	2006
1073	1	2004
1074	1	2009
1075	1	1997
1076	1	1997
1077	1	2005
1078	1	2007
1079	1	2010
1080	1	2002
1081	1	2001
1082	1	2009
1083	1	2010
1084	1	2010
1085	1	2009
1086	1	2010
1087	1	2005
1088	1	2006
1089	1	2003
1090	1	2010
1091	1	1976
1092	1	2009
1093	1	2008
1094	1	1937
1095	1	2010
1096	1	2005
1097	1	2005
1098	1	2006
1099	1	1999
1100	1	1965
1101	1	1998
1102	1	2000
1103	1	2010
1104	1	1993
1105	1	2009
1106	1	2010
1107	1	2008
1108	1	2006
1109	1	1998
1110	1	1993
1111	1	2007
1112	1	2003
1113	1	2000
1114	1	2007
1115	1	1998
1116	1	2009
1117	1	1991
1118	1	2008
1119	1	2011
1120	1	2009
1121	1	2010
1122	1	2008
1123	1	2007
1124	1	2001
1125	1	2007
1126	1	2010
1127	1	2007
1128	1	2008
1129	1	2009
1130	1	2002
1131	1	1988
1132	1	2002
1133	1	2009
1134	1	2010
1135	1	1997
1136	1	2011
1137	1	2002
1138	1	1976
1139	1	1990
1140	1	2003
1141	1	2008
1142	1	2001
1143	1	2010
1144	1	2010
1145	1	2010
1146	1	2001
1147	1	1973
1148	1	2003
1149	1	1998
1150	1	2011
1151	1	2004
1152	1	2009
1153	1	2009
1154	1	2008
1155	1	2008
1156	1	2009
1157	1	2011
1158	1	2009
1159	1	1994
1160	1	2006
1161	1	1995
1162	1	2006
1163	1	1992
1164	1	2006
1165	1	2010
1166	1	2007
1167	1	2008
1168	1	2001
1169	1	1982
1170	1	2009
1171	1	2008
1172	1	2000
1173	1	2003
1174	1	2010
1175	1	2007
1176	1	2007
1177	1	2001
1178	1	1993
1179	1	2010
1180	1	2009
1181	1	2008
1182	1	2004
1183	1	2005
1184	1	2011
1185	1	1998
1186	1	2009
1187	1	2006
1188	1	2010
1189	1	2008
1190	1	1988
1191	1	2009
1192	1	2010
1193	1	2005
1194	1	1995
1195	1	1996
1196	1	1996
1197	1	2001
1198	1	2008
1199	1	2008
1200	1	2010
1201	1	1996
1202	1	2011
1203	1	2009
1204	1	2007
1205	1	2003
1206	1	2010
1207	1	2009
1208	1	2009
1209	1	2008
1210	1	2008
1211	1	2001
1212	1	2006
1213	1	2009
1214	1	2005
1215	1	1987
1216	1	2000
1217	1	2007
1218	1	2008
1219	1	2009
1220	1	2002
1221	1	1997
1222	1	2004
1223	1	1976
1224	1	2001
1225	1	1997
1226	1	2001
1227	1	2008
1228	1	2008
1229	1	0087
1230	1	2008
1231	1	2010
1232	1	2006
1233	1	2001
1234	1	2008
1235	1	2008
1236	1	2009
1237	1	2011
1238	1	2009
1239	1	2010
1240	1	1987
1241	1	2005
1242	1	2008
1243	1	1999
1244	1	2009
1245	1	2010
1246	1	2010
1247	1	2008
1248	1	2008
1249	1	1997
1250	1	2007
1251	1	2005
1252	1	2000
1253	1	1998
1254	1	2009
1255	1	1990
1256	1	2008
1257	1	2008
1258	1	1989
1259	1	2010
1260	1	2008
1261	1	2008
1262	1	2008
1263	1	2003
1264	1	1993
1265	1	2011
1266	1	1999
1267	1	2005
1268	1	2005
1269	1	2008
1270	1	2010
1271	1	2007
1272	1	2007
1273	1	2005
1274	1	2003
1275	1	2008
1276	1	2008
1277	1	2009
1278	1	1998
1279	1	2001
1280	1	2001
1281	1	2007
1282	1	2006
1283	1	2009
1284	1	2007
1285	1	2009
1286	1	1997
1287	1	2006
1288	1	2008
1289	1	1996
1290	1	2008
1291	1	2001
1292	1	2008
1293	1	2008
1294	1	2009
1295	1	2007
1296	1	2006
1297	1	2010
1298	1	2004
1299	1	2001
1300	1	2007
1301	1	1959
1302	1	1951
1303	1	2007
1304	1	2009
1305	1	2000
1306	1	2008
1307	1	2005
1308	1	1995
1309	1	1998
1310	1	2010
1311	1	2004
1312	1	2009
1313	1	2005
1314	1	2005
1315	1	1998
1316	1	2003
1317	1	2007
1318	1	2004
1319	1	2009
1320	1	2011
1321	1	2008
1322	1	2007
1323	1	1942
1324	1	2006
1325	1	2008
1326	1	2006
1327	1	1997
1328	1	2005
1329	1	1966
1330	1	2005
1331	1	2004
1332	1	2005
1333	1	2008
1334	1	2010
1335	1	2010
1336	1	2010
1337	1	2011
1338	1	2009
1339	1	1988
1340	1	2009
1341	1	2006
1342	1	2003
1343	1	2010
1344	1	1991
1345	1	2007
1346	1	2009
1347	1	2008
1348	1	2009
1349	1	2008
1350	1	1995
1351	1	2008
1352	1	2008
1353	1	2006
1354	1	1986
1355	1	1974
1356	1	2010
1357	1	2008
1358	1	2000
1359	1	1986
1360	1	2007
1361	1	2010
1362	1	1999
1363	1	2005
1364	1	2006
1365	1	2005
1366	1	2006
1367	1	2007
1368	1	2007
1369	1	2007
1370	1	2011
1371	1	2002
1372	1	2010
1373	1	2004
1374	1	1988
1375	1	2008
1376	1	2008
1377	1	1997
1378	1	2000
1379	1	1995
1380	1	1993
1381	1	2009
1382	1	2004
1383	1	2008
1384	1	2010
1385	1	2002
1386	1	2004
1387	1	1986
1388	1	1958
1389	1	2008
1390	1	1999
1391	1	2008
1392	1	2009
1393	1	2008
1394	1	2008
1395	1	2009
1396	1	2002
1397	1	1995
1398	1	1993
1399	1	2009
1400	1	2008
1401	1	1996
1402	1	2008
1403	1	2008
1404	1	2008
1405	1	2007
1406	1	2006
1407	1	2003
1408	1	1998
1409	1	1988
1410	1	2005
1411	1	2008
1412	1	1997
1413	1	2007
1414	1	2006
1415	1	2000
1416	1	2009
1417	1	2002
1418	1	2008
1419	1	2002
1420	1	2009
1421	1	1994
1422	1	1901
1423	1	2010
1424	1	2007
1425	1	2007
1426	1	2003
1427	1	2003
1428	1	2008
1429	1	2010
1430	1	2006
1431	1	2005
1432	1	2008
1433	1	1992
1434	1	1994
1435	1	2005
1436	1	1994
1437	1	1992
1438	1	2007
1439	1	2002
1440	1	2001
1441	1	2011
1442	1	2009
1443	1	1998
1444	1	1996
1445	1	1999
1446	1	2008
1447	1	2010
1448	1	1961
1449	1	2007
1450	1	1993
1451	1	2009
1452	1	1999
1453	1	2000
1454	1	2009
1455	1	2002
1456	1	2008
1457	1	2010
1458	1	2006
1459	1	2001
1460	1	2006
1461	1	2008
1462	1	2007
1463	1	2006
1464	1	1992
1465	1	2010
1466	1	1997
1467	1	2008
1468	1	1990
1469	1	2010
1470	1	1994
1471	1	2011
1472	1	2006
1473	1	2006
1474	1	2010
1475	1	2000
1476	1	2009
1477	1	1998
1478	1	2010
1479	1	2010
1480	1	1998
1481	1	1999
1482	1	2008
1483	1	1982
1484	1	2008
1485	1	2009
1486	1	2008
1487	1	2010
1488	1	2004
1489	1	2010
1490	1	2005
1491	1	2005
1492	1	2008
1493	1	1997
1494	1	2007
1495	1	1978
1496	1	2003
1497	1	1998
1498	1	2007
1499	1	2009
1500	1	2007
1501	1	2006
1502	1	1997
1503	1	2009
1504	1	2007
1505	1	2001
1506	1	2008
1507	1	2008
1508	1	2008
1509	1	2008
1510	1	1987
1511	1	2004
1512	1	2004
1513	1	2008
1514	1	2004
1515	1	2010
1516	1	2002
1517	1	1997
1518	1	2009
1519	1	2008
1520	1	2009
1521	1	2006
1522	1	2010
1523	1	1988
1524	1	2010
1525	1	2007
1526	1	2010
1527	1	2010
1528	1	2010
1529	1	2008
1530	1	1993
1531	1	2008
1532	1	2007
1533	1	2011
1534	1	2007
1535	1	2007
1536	1	1991
1537	1	2009
1538	1	2008
1539	1	2010
1540	1	2010
1541	1	1998
1542	1	2000
1543	1	2008
1544	1	2010
1545	1	2009
1546	1	2010
1547	1	2011
1548	1	2005
1549	1	2011
1550	1	2008
1551	1	2011
1552	1	1996
1553	1	2003
1554	1	2006
1555	1	1998
1556	1	2009
1557	1	2006
1558	1	2005
1559	1	2007
1560	1	2003
1561	1	2009
1562	1	1994
1563	1	2006
1564	1	2009
1565	1	2000
1566	1	2009
1567	1	1999
1568	1	2009
1569	1	2008
1570	1	2008
1571	1	2006
1572	1	2000
1573	1	2007
1574	1	2009
1575	1	2009
1576	1	2008
1577	1	2008
1578	1	2007
1579	1	2009
1580	1	2004
1581	1	2008
1582	1	2006
1583	1	2010
1584	1	2007
1585	1	2008
1586	1	2004
1587	1	1998
1588	1	1980
1589	1	2006
1590	1	2009
1591	1	2010
1592	1	2003
1593	1	2010
1594	1	2005
1595	1	1999
1596	1	2009
1597	1	2007
1598	1	2011
1599	1	2010
1600	1	2009
1601	1	2009
1602	1	2008
1603	1	2002
1604	1	1994
1605	1	2008
1606	1	2009
1607	1	2009
1608	1	2006
1609	1	2008
1610	1	2000
1611	1	2008
1612	1	2008
1613	1	1997
1614	1	1994
1615	1	1936
1616	1	2005
1617	1	2010
1618	1	2010
1619	1	2009
1620	1	2009
1621	1	1994
1622	1	1994
1623	1	2008
1624	1	2006
1625	1	2008
1626	1	2009
1627	1	1990
1628	1	2008
1629	1	2008
1630	1	2008
1631	1	2008
1632	1	2002
1633	1	1997
1634	1	1999
1635	1	2009
1636	1	2007
1637	1	2004
1638	1	2011
1639	1	2004
1640	1	2009
1641	1	2009
1642	1	2003
1643	1	2008
1644	1	2010
1645	1	2010
1646	1	2007
1647	1	1984
1648	1	2006
1649	1	2003
1650	1	2008
1651	1	2008
1652	1	2007
1653	1	1989
1654	1	2002
1655	1	2002
1656	1	2008
1657	1	2004
1658	1	2009
1659	1	1997
1660	1	2006
1661	1	1999
1662	1	1995
1663	1	2009
1664	1	2005
1665	1	2005
1666	1	1996
1667	1	1980
1668	1	2009
1669	1	2006
1670	1	2003
1671	1	2007
1672	1	2007
1673	1	2008
1674	1	2010
1675	1	2009
1676	1	1995
1677	1	2008
1678	1	2011
1679	1	1975
1680	1	2008
1681	1	2008
1682	1	2003
1683	1	2007
1684	1	2004
1685	1	2008
1686	1	2009
1687	1	2003
1688	1	2009
1689	1	1989
1690	1	2008
1691	1	1997
1692	1	2007
1693	1	2006
1694	1	2010
1695	1	2006
1696	1	2008
1697	1	2008
1698	1	2008
1699	1	2006
1700	1	1989
1701	1	2011
1702	1	1998
1703	1	1999
1704	1	1999
1705	1	1995
1706	1	2007
1707	1	1999
1708	1	1998
1709	1	1999
1710	1	2009
1711	1	2001
1712	1	2007
1713	1	2008
1714	1	2008
1715	1	2010
1716	1	2000
1717	1	2002
1718	1	2009
1719	1	2010
1720	1	2008
1721	1	2007
1722	1	1996
1723	1	2000
1724	1	2010
1725	1	2008
1726	1	2005
1727	1	1996
1728	1	2009
1729	1	2006
1730	1	1990
1731	1	2001
1732	1	2007
1733	1	1999
1734	1	2000
1735	1	2005
1736	1	2010
1737	1	2009
1738	1	2007
1739	1	2008
1740	1	2011
1741	1	2007
1742	1	2010
1743	1	2004
1744	1	2007
