book	bookdepository	publication_date
0116	1	29 July 2010
0117	1	27 April 2010
0118	1	31 August 2010
0119	1	01 June 1962
0120	1	03 June 2010
0121	1	02 July 2010
0122	1	17 February 2010
0123	1	01 May 2008
0124	1	13 January 1994
0125	1	19 August 2010
0126	1	30 March 2002
0127	1	06 April 2006
0128	1	15 February 2011
0129	1	01 June 2009
0130	1	01 May 2006
0131	1	25 June 2009
0132	1	31 July 2007
0133	1	15 July 2004
0134	1	15 May 2010
0135	1	31 December 1997
0136	1	01 July 2009
0137	1	31 August 2010
0138	1	01 June 1997
0139	1	29 April 2010
0140	1	31 July 1997
0141	1	01 March 2011
0142	1	01 September 2003
0143	1	26 September 2006
0144	1	01 May 2010
0145	1	15 January 2010
0146	1	20 September 2010
0147	1	06 January 2011
0148	1	02 December 2010
0149	1	20 May 2010
0150	1	01 July 2010
0151	1	06 May 2010
0152	1	01 October 2010
0153	1	15 June 2006
0154	1	05 March 2008
0155	1	07 February 2011
0156	1	01 March 2010
0157	1	01 August 2010
0158	1	01 April 2009
0159	1	01 May 2009
0160	1	23 November 2010
0161	1	01 February 2010
0162	1	06 December 2010
0163	1	15 January 2008
0164	1	10 August 2010
0165	1	05 January 2009
0166	1	28 August 2008
0167	1	01 January 2006
0168	1	16 April 2010
0169	1	06 April 2005
0170	1	16 November 2010
0171	1	01 April 2002
0172	1	27 October 2006
0173	1	05 February 2003
0174	1	01 January 2000
0175	1	15 December 2009
0176	1	30 July 2010
0177	1	05 October 2010
0178	1	03 November 2009
0179	1	01 October 2009
0180	1	01 October 2007
0181	1	29 September 2009
0182	1	19 May 2008
0183	1	31 October 2006
0184	1	03 May 2010
0185	1	04 January 2011
0186	1	01 November 2010
0187	1	07 April 2011
0188	1	01 May 2008
0189	1	30 October 2008
0190	0	<NULL>
0191	1	23 October 2003
0192	1	01 March 2010
0193	1	06 January 2011
0194	1	24 September 2010
0195	1	01 February 2007
0196	1	01 February 2011
0197	1	01 September 2009
0198	1	01 June 2008
0199	1	12 October 2010
0200	1	19 October 2010
0201	1	13 January 2009
0202	1	01 June 2007
0203	1	01 January 1920
0204	1	15 June 2010
0205	1	30 April 1998
0206	1	24 June 2010
0207	1	07 October 2010
0208	1	01 January 2010
0209	1	01 January 2011
0210	1	17 May 2006
0211	1	11 September 2008
0212	1	01 June 1995
0213	1	28 August 2008
0214	1	12 October 2010
0215	1	30 September 2008
0216	1	06 August 2010
0217	1	03 September 2010
0218	1	25 August 2009
0219	1	03 February 2011
0220	1	01 November 2010
0221	1	05 October 2010
0222	1	01 May 2010
0223	1	10 March 2009
0224	0	<NULL>
0225	1	01 May 2010
0226	1	05 March 2009
0227	1	02 February 2010
0228	1	04 June 2010
0229	1	02 September 2008
0230	1	01 May 2007
0231	1	01 April 2008
0232	1	01 October 2002
0233	1	31 July 1997
0234	1	28 April 1994
0235	1	07 June 2011
0236	1	12 July 2010
0237	1	27 August 1999
0238	1	16 September 2010
0239	1	26 May 2005
0240	1	03 June 2004
0241	1	25 January 2011
0242	0	<NULL>
0243	1	06 September 1995
0244	1	21 August 2000
0245	1	15 November 2004
0246	1	19 May 2006
0247	1	08 November 1994
0248	1	01 June 2006
0249	1	01 June 2009
0250	1	24 August 2010
0251	1	26 November 2010
0252	1	18 January 2011
0253	1	01 December 2009
0254	1	04 June 2010
0255	1	14 October 2008
0256	1	25 June 2010
0257	1	21 March 2008
0258	1	03 September 2010
0259	1	31 December 2010
0260	1	03 February 2009
0261	1	06 October 2009
0262	1	01 September 2009
0263	1	06 July 2006
0264	1	15 August 2009
0265	0	<NULL>
0266	1	02 August 2010
0267	1	07 May 2004
0268	1	24 May 2011
0269	1	05 October 2010
0270	1	05 January 2009
0271	1	01 November 2008
0272	1	01 March 2009
0273	1	09 October 2007
0274	1	01 July 2010
0275	1	07 September 2010
0276	1	20 October 2010
0277	0	<NULL>
0278	1	11 September 2007
0279	1	11 February 2009
0280	1	01 November 2008
0281	1	25 June 2001
0282	1	05 May 2010
0283	1	30 January 2003
0284	1	15 January 2011
0285	1	25 January 2011
0286	1	01 November 2010
0287	1	05 October 2009
0288	1	03 January 2004
0289	1	31 August 2010
0290	1	28 November 1996
0291	1	26 May 2008
0292	1	26 March 2002
0293	0	<NULL>
0294	1	16 February 2000
0295	1	16 November 2010
0296	1	11 January 2005
0297	0	<NULL>
0298	1	07 September 2010
0299	1	01 March 2010
0300	1	12 September 1996
0301	1	14 July 2008
0302	1	04 September 2008
0303	0	<NULL>
0304	1	15 November 2007
0305	1	01 February 2005
0306	1	01 August 2003
0307	1	05 January 2009
0308	1	05 December 2008
0309	1	28 April 1994
0310	1	13 January 1994
0311	1	13 January 1994
0312	1	29 September 1994
0313	1	03 September 1998
0314	1	08 July 2010
0315	1	06 April 2006
0316	1	01 October 2006
0317	1	09 April 2010
0318	1	01 August 2005
0319	1	01 October 2010
0320	1	02 September 2010
0321	1	06 September 2004
0322	1	01 October 2008
0323	1	01 October 2001
0324	1	11 September 2003
0325	1	04 February 2009
0326	1	01 November 2007
0327	1	01 May 2007
0328	1	01 October 2008
0329	1	04 January 2011
0330	1	01 July 2009
0331	1	01 December 1994
0332	1	01 August 2005
0333	1	06 November 2003
0334	1	01 May 2004
0335	1	12 December 1991
0336	1	04 October 2010
0337	1	01 November 1996
0338	1	03 January 2011
0339	1	07 January 2011
0340	1	01 January 2011
0341	1	12 September 2002
0342	1	08 July 2010
0343	1	07 June 2010
0344	1	07 October 2010
0345	1	05 August 2010
0346	1	25 January 2011
0347	1	29 October 2010
0348	1	11 August 2010
0349	1	28 December 2010
0350	1	30 November 2010
0351	1	01 February 2007
0352	1	08 January 2009
0353	1	15 October 2002
0354	1	01 August 1996
0355	1	01 February 2004
0356	1	03 February 2011
0357	1	02 August 2010
0358	1	02 November 2010
0359	1	29 September 2010
0360	1	25 July 2010
0361	1	29 June 2010
0362	1	05 May 2008
0363	0	<NULL>
0364	1	01 May 2002
0365	1	28 December 2010
0366	1	01 July 2010
0367	1	04 October 2010
0368	1	23 March 2010
0369	1	29 July 2005
0370	1	01 September 2008
0371	1	01 September 2004
0372	1	18 May 2006
0373	1	27 August 2009
0374	1	29 September 2006
0375	1	01 September 2007
0376	1	15 September 2005
0377	1	16 September 1993
0378	1	04 December 2002
0379	1	21 November 2002
0380	1	01 August 2008
0381	1	05 January 2011
0382	1	15 November 2010
0383	1	16 January 2009
0384	1	17 July 2009
0385	1	20 May 2010
0386	1	04 June 2010
0387	1	10 June 2009
0388	1	26 November 1996
0389	1	19 August 2010
0390	1	06 April 2010
0391	0	<NULL>
0392	1	30 January 1997
0393	1	24 June 2010
0394	1	15 September 2005
0395	1	01 January 2004
0396	1	25 April 1996
0397	1	30 November 2010
0398	1	06 January 2009
0399	1	07 August 2001
0400	1	01 February 2002
0401	1	24 January 2007
0402	1	05 October 1998
0403	1	30 November 2010
0404	1	25 November 2010
0405	1	30 November 2010
0406	1	05 October 2010
0407	1	20 January 2011
0408	1	02 October 2002
0409	1	01 January 1997
0410	1	02 September 2004
0411	1	19 March 2009
0412	1	01 November 2010
0413	1	05 September 2003
0414	0	<NULL>
0415	1	01 October 2010
0416	1	20 June 2006
0417	1	01 December 2002
0418	1	12 January 1996
0419	1	27 December 2007
0420	1	01 January 2010
0421	1	20 October 2009
0422	1	05 October 2010
0423	1	10 August 2010
0424	1	11 January 2011
0425	1	01 January 2007
0426	1	15 September 2006
0427	1	05 April 2007
0428	1	03 September 1998
0429	1	01 July 1999
0430	1	25 July 1994
0431	1	22 June 2010
0432	1	01 February 2009
0433	1	03 January 1998
0434	1	28 September 2000
0435	1	01 March 2011
0436	1	20 January 2009
0437	1	01 July 2010
0438	1	01 June 2010
0439	1	01 March 2009
0440	1	11 January 2011
0441	1	01 February 2011
0442	1	01 November 2004
0443	1	28 April 2003
0444	1	01 December 2001
0445	1	01 June 2010
0446	1	11 November 2010
0447	1	24 August 2010
0448	1	27 February 2009
0449	1	20 March 2007
0450	1	01 September 2008
0451	1	01 March 2000
0452	1	03 September 2009
0453	1	06 October 2008
0454	1	01 January 2008
0455	1	24 July 2003
0456	1	07 June 2007
0457	1	22 May 2002
0458	1	15 November 2009
0459	1	16 July 1999
0460	1	15 May 2006
0461	1	15 February 2010
0462	1	01 August 2008
0463	1	01 November 2008
0464	1	01 May 2010
0465	1	01 October 2008
0466	1	01 February 2009
0467	1	12 April 2011
0468	1	01 September 2006
0469	1	01 September 2009
0470	1	01 November 2004
0471	1	01 May 1992
0472	1	01 April 2010
0473	1	26 November 2008
0474	1	06 December 2010
0475	1	01 August 2009
0476	1	15 June 2010
0477	1	01 May 1998
0478	1	19 February 2009
0479	1	13 May 2008
0480	1	01 May 2009
0481	1	03 April 2009
0482	1	21 September 2010
0483	1	27 May 2010
0484	1	01 May 2010
0485	0	<NULL>
0486	1	04 September 2008
0487	1	01 November 2007
0488	1	05 March 2009
0489	1	14 October 2010
0490	1	01 January 2011
0491	1	05 June 2008
0492	1	07 September 2009
0493	1	26 June 2009
0494	1	09 November 2010
0495	1	28 March 1996
0496	1	17 February 2010
0497	1	01 July 2010
0498	1	01 January 2009
0499	1	01 September 2009
0500	1	26 October 2010
0501	1	28 July 2004
0502	1	06 September 2001
0503	1	10 January 2009
0504	1	01 November 2010
0505	1	04 March 1999
0506	1	13 September 2007
0507	1	24 September 2010
0508	1	12 November 2009
0509	1	30 June 2010
0510	1	19 October 2010
0511	1	01 February 2010
0512	1	10 September 2009
0513	1	29 October 2009
0514	1	01 June 2003
0515	1	15 February 2009
0516	1	01 September 2008
0517	1	07 September 2010
0518	1	07 September 2010
0519	1	30 November 2001
0520	1	29 August 2008
0521	1	28 October 2004
0522	1	01 May 2009
0523	1	23 August 2010
0524	1	01 October 2010
0525	1	06 December 2010
0526	1	07 December 2010
0527	1	30 June 2008
0528	1	02 February 2009
0529	1	04 March 2010
0530	1	07 May 2009
0531	1	01 February 2011
0532	1	26 May 2009
0533	1	06 July 2010
0534	1	01 August 2010
0535	1	06 January 2009
0536	1	05 August 2010
0537	1	28 September 2010
0538	1	01 October 2010
0539	1	11 October 2010
0540	1	31 October 2006
0541	1	22 September 2007
0542	1	30 October 2009
0543	1	04 September 2008
0544	1	05 May 2009
0545	0	<NULL>
0546	1	25 August 2009
0547	1	23 June 2009
0548	1	01 December 2010
0549	1	11 June 2007
0550	1	01 May 2010
0551	1	05 January 2009
0552	1	06 October 2004
0553	1	19 October 2005
0554	0	<NULL>
0555	1	16 March 2005
0556	1	25 April 2008
0557	0	<NULL>
0558	1	16 November 2010
0559	1	18 November 2010
0560	1	01 July 2007
0561	1	23 November 2009
0562	1	26 February 2008
0563	1	26 September 2003
0564	1	01 May 2003
0565	1	28 January 2011
0566	1	01 June 1989
0567	1	01 January 2008
0568	1	01 February 1987
0569	1	01 May 1996
0570	1	01 August 2004
0571	1	01 January 2004
0572	0	<NULL>
0573	1	01 September 1986
0574	1	16 September 2003
0575	1	30 September 2008
0576	1	01 January 2008
0577	1	05 January 2009
0578	1	07 July 2009
0579	1	02 November 2010
0580	1	28 July 2009
0581	1	01 March 2010
0582	1	01 February 2010
0583	1	19 February 2010
0584	1	18 September 2009
0585	1	21 May 2010
0586	1	01 May 2005
0587	1	06 July 2009
0588	1	16 November 2010
0589	1	29 July 2005
0590	1	06 November 2000
0591	1	06 January 2011
0592	1	04 January 1996
0593	1	01 December 2006
0594	1	17 December 2009
0595	1	23 July 2009
0596	1	04 March 2010
0597	1	24 February 2006
0598	1	29 September 2006
0599	1	29 August 2008
0600	1	01 January 2001
0601	1	15 October 2010
0602	1	15 March 2010
0603	1	02 September 2010
0604	1	01 October 2003
0605	0	<NULL>
0606	1	12 September 2008
0607	1	20 January 2003
0608	1	11 November 2002
0609	1	01 October 2008
0610	1	29 February 2008
0611	1	25 January 2011
0612	1	04 May 2009
0613	1	01 September 2010
0614	1	28 February 1998
0615	1	31 March 2011
0616	1	16 June 2011
0617	1	30 September 2010
0618	1	13 October 2008
0619	1	01 January 2010
0620	1	30 September 2010
0621	1	10 May 2002
0622	1	04 July 2003
0623	1	26 October 2010
0624	1	06 November 2006
0625	1	18 October 2000
0626	1	01 February 2008
0627	1	25 April 2005
0628	1	01 January 2010
0629	1	02 February 2010
0630	1	09 October 2009
0631	1	07 October 2002
0632	1	13 February 2007
0633	1	01 August 2010
0634	1	15 June 2003
0635	0	<NULL>
0636	1	27 January 2011
0637	1	10 June 2004
0638	1	31 August 2000
0639	1	01 March 2010
0640	1	01 December 2009
0641	1	07 February 2008
0642	1	06 October 1995
0643	1	06 February 2006
0644	1	05 April 2011
0645	1	03 November 2009
0646	1	17 June 2002
0647	1	01 June 2008
0648	1	27 April 2010
0649	1	24 January 2006
0650	1	05 December 1996
0651	1	27 July 2010
0652	1	22 November 2005
0653	1	01 October 2010
0654	1	01 October 2008
0655	1	01 October 2000
0656	1	01 October 2002
0657	1	01 November 2010
0658	1	28 April 2003
0659	1	28 February 2006
0660	1	29 March 2011
0661	1	28 September 2010
0662	1	01 January 2009
0663	1	01 December 2008
0664	1	01 March 2008
0665	0	<NULL>
0666	1	29 September 2009
0667	1	01 August 2004
0668	1	01 March 2004
0669	1	28 November 2006
0670	0	<NULL>
0671	1	01 November 2000
0672	1	01 February 2005
0673	1	08 April 2010
0674	1	01 March 2009
0675	1	07 July 2009
0676	1	08 October 2009
0677	1	07 August 2008
0678	1	01 July 2010
0679	1	23 March 2010
0680	1	01 September 2009
0681	1	28 September 2010
0682	0	<NULL>
0683	1	09 December 2008
0684	1	22 September 2009
0685	1	11 February 2003
0686	1	31 December 1994
0687	1	01 August 1998
0688	0	<NULL>
0689	1	17 June 2005
0690	1	30 June 2006
0691	1	20 August 2007
0692	1	03 December 2010
0693	1	26 October 2010
0694	1	01 December 2010
0695	1	03 March 1994
0696	1	01 January 2009
0697	1	26 August 2008
0698	1	03 February 2009
0699	1	26 July 2005
0700	1	29 August 2006
0701	1	23 September 2009
0702	1	12 July 2007
0703	1	01 June 2010
0704	1	01 July 2000
0705	1	07 August 2009
0706	1	09 October 2009
0707	1	23 April 2009
0708	1	29 July 2010
0709	1	24 May 2010
0710	1	24 February 2005
0711	1	12 January 2010
0712	1	05 April 2011
0713	1	17 October 2007
0714	1	13 October 2009
0715	1	08 July 2005
0716	1	01 January 2001
0717	1	19 July 2002
0718	1	22 February 2002
0719	1	05 October 2001
0720	1	04 May 2010
0721	1	09 November 2010
0722	1	14 November 1994
0723	1	24 June 2008
0724	1	02 July 2010
0725	1	01 February 2007
0726	1	05 June 2003
0727	1	13 November 2008
0728	1	25 November 1999
0729	1	01 April 1981
0730	1	18 May 2010
0731	1	08 January 2009
0732	1	07 February 2008
0733	1	01 June 2006
0734	1	14 September 2010
0735	1	01 July 1999
0736	1	02 June 2005
0737	1	13 September 2010
0738	1	16 September 2010
0739	1	01 November 2009
0740	1	02 August 2007
0741	1	27 June 1996
0742	1	28 April 1994
0743	1	23 February 2009
0744	1	26 May 1994
0745	1	04 March 2010
0746	1	01 October 2009
0747	1	19 July 2001
0748	1	03 January 1998
0749	1	15 September 1990
0750	1	15 February 2011
0751	1	01 May 2010
0752	1	20 May 2010
0753	1	01 September 2008
0754	1	25 May 2010
0755	1	04 July 2005
0756	1	04 July 2002
0757	1	01 November 2010
0758	1	01 January 2010
0759	1	19 August 2008
0760	1	03 March 2011
0761	1	02 May 2006
0762	1	06 May 2008
0763	1	27 November 2009
0764	1	13 October 2010
0765	1	19 January 2011
0766	1	12 November 2007
0767	1	30 June 2008
0768	1	01 April 2002
0769	1	31 August 2001
0770	1	09 December 2009
0771	1	14 October 2008
0772	1	01 April 2001
0773	1	19 August 2008
0774	1	08 September 2003
0775	1	15 January 2006
0776	1	11 January 2011
0777	1	01 May 2009
0778	1	20 May 2010
0779	1	25 February 1999
0780	1	01 April 2009
0781	1	01 March 2000
0782	1	31 May 1999
0783	1	03 May 2011
0784	1	01 May 1992
0785	1	01 January 2010
0786	1	01 December 2002
0787	1	01 May 1993
0788	1	07 February 1994
0789	0	<NULL>
0790	1	07 June 1993
0791	1	06 May 2010
0792	1	01 May 2003
0793	1	14 July 2009
0794	1	24 June 2002
0795	1	26 December 2005
0796	1	25 May 2010
0797	1	26 November 2010
0798	1	22 July 2008
0799	0	<NULL>
0800	1	02 July 2009
0801	1	06 October 1999
0802	1	01 April 2000
0803	1	10 April 2000
0804	1	04 February 2010
0805	1	20 July 2010
0806	1	06 January 2011
0807	1	01 January 2010
0808	1	04 February 2010
0809	1	02 December 2010
0810	1	06 October 2006
0811	1	24 November 2006
0812	1	26 June 2008
0813	1	01 June 2010
0814	1	29 December 2009
0815	1	01 March 2006
0816	1	16 March 2010
0817	1	27 January 2009
0818	1	03 August 2010
0819	1	31 July 2010
0820	1	15 April 2010
0821	1	04 May 2004
0822	1	17 March 2011
0823	1	21 October 2010
0824	1	05 November 2009
0825	1	24 November 2006
0826	0	<NULL>
0827	1	01 December 2001
0828	1	26 October 2010
0829	1	27 July 2010
0830	1	15 January 2009
0831	1	30 November 2010
0832	1	04 March 2008
0833	1	03 March 2008
0834	1	15 May 2003
0835	1	01 May 2007
0836	1	05 January 2006
0837	1	01 September 2007
0838	1	01 August 2004
0839	1	01 August 2008
0840	1	01 November 2008
0841	1	06 August 2008
0842	0	<NULL>
0843	1	07 February 2011
0844	1	25 February 2011
0845	1	01 March 2010
0846	1	01 March 2010
0847	1	01 October 2010
0848	1	01 September 2010
0849	1	01 July 2010
0850	1	01 August 2010
0851	1	01 February 2010
0852	1	01 October 2008
0853	1	01 April 2010
0854	1	01 April 2009
0855	1	01 July 2005
0856	1	24 September 2010
0857	1	03 November 2008
0858	1	29 August 2008
0859	1	30 April 2002
0860	1	06 May 2004
0861	1	13 October 2009
0862	1	01 February 2011
0863	1	16 September 2009
0864	1	23 July 2010
0865	1	01 September 1994
0866	1	05 August 2009
0867	1	01 April 2009
0868	1	16 November 2010
0869	1	01 July 2010
0870	1	19 October 2010
0871	1	01 April 2004
0872	1	10 May 2010
0873	1	01 March 2003
0874	1	01 March 2003
0875	1	03 December 2007
0876	1	01 March 2005
0877	1	01 July 1997
0878	1	01 May 2004
0879	1	01 November 2010
0880	1	20 January 2011
0881	1	26 September 2008
0882	1	06 June 1997
0883	1	29 September 2006
0884	1	22 January 2002
0885	1	06 July 2006
0886	1	04 September 2009
0887	1	01 January 2000
0888	1	01 April 1994
0889	1	06 August 2009
0890	1	01 December 2009
0891	1	26 May 1994
0892	1	09 October 2003
0893	1	25 September 2009
0894	1	15 October 2007
0895	1	21 November 2002
0896	1	30 December 2008
0897	1	12 April 2011
0898	1	28 December 2010
0899	1	01 March 1998
0900	1	01 October 2010
0901	1	01 January 2003
0902	1	01 May 2005
0903	1	01 September 2009
0904	1	28 September 2010
0905	1	01 June 2008
0906	1	01 February 2009
0907	1	06 May 2010
0908	1	22 February 2011
0909	1	06 January 2011
0910	1	01 February 2010
0911	1	15 September 2000
0912	1	28 December 2010
0913	1	15 April 2010
0914	1	08 January 2008
0915	1	01 September 1993
0916	1	01 September 1997
0917	1	21 July 2009
0918	1	24 October 2008
0919	1	17 October 2003
0920	1	07 July 2008
0921	1	06 January 2011
0922	1	08 July 2010
0923	1	01 October 2007
0924	1	03 December 2007
0925	1	31 December 2010
0926	1	29 February 2008
0927	1	01 March 2007
0928	1	01 March 2011
0929	1	04 May 2010
0930	1	01 June 2005
0931	1	30 December 2008
0932	1	08 July 2010
0933	1	14 September 2010
0934	1	01 March 2010
0935	1	01 December 1999
0936	1	19 March 2010
0937	1	16 April 2010
0938	1	05 November 2010
0939	1	23 June 2009
0940	0	<NULL>
0941	1	02 September 2010
0942	1	13 July 2010
0943	1	01 October 2007
0944	1	04 January 2010
0945	1	04 January 2010
0946	1	01 September 2009
0947	1	07 September 2009
0948	1	01 May 2009
0949	1	01 October 2009
0950	1	02 June 2008
0951	1	01 November 2009
0952	0	<NULL>
0953	1	07 December 2010
0954	1	19 October 2010
0955	0	<NULL>
0956	1	09 February 2010
0957	1	02 July 2008
0958	1	01 October 2010
0959	1	01 October 2010
0960	1	01 May 2005
0961	1	01 October 2008
0962	1	01 March 2006
0963	1	15 March 2008
0964	1	24 September 2010
0965	1	05 November 2009
0966	1	03 April 2007
0967	1	14 March 2008
0968	1	02 February 2009
0969	1	01 February 2009
0970	1	11 April 2010
0971	1	25 January 2006
0972	1	19 October 2010
0973	1	31 October 2010
0974	1	10 June 2010
0975	1	28 September 2010
0976	0	<NULL>
0977	1	14 September 2010
0978	0	<NULL>
0979	1	07 July 2008
0980	1	22 April 2010
0981	1	01 March 2001
0982	1	01 August 2010
0983	1	07 September 2010
0984	1	07 September 2010
0985	1	12 November 2001
0986	1	28 September 2010
0987	1	28 September 2010
0988	1	28 October 2008
0989	1	28 October 2008
0990	1	01 August 2009
0991	1	01 November 2006
0992	1	25 October 2010
0993	1	01 June 2010
0994	1	29 July 2008
0995	1	27 October 2009
0996	1	07 October 2010
0997	1	27 January 2011
0998	1	01 April 1989
0999	1	06 October 2010
1000	1	15 January 2001
1001	1	03 April 2007
1002	1	01 October 2005
1003	1	14 July 2009
1004	1	01 May 2006
1005	1	28 April 2009
1006	1	28 August 1997
1007	1	19 May 1994
1008	1	01 January 2011
1009	1	15 December 2000
1010	1	01 October 2006
1011	1	06 September 1995
1012	1	06 September 1995
1013	1	01 June 1994
1014	1	02 May 2011
1015	1	15 October 2004
1016	1	04 September 2008
1017	1	24 September 2009
1018	1	01 October 2008
1019	1	02 September 2008
1020	1	02 September 2009
1021	1	29 May 2003
1022	1	01 August 2001
1023	1	02 November 2010
1024	1	28 October 2010
1025	1	17 July 2009
1026	1	20 December 2002
1027	1	21 February 2010
1028	1	01 June 2010
1029	1	01 January 2009
1030	1	12 July 2010
1031	1	01 February 2005
1032	1	25 May 2006
1033	1	01 February 2010
1034	1	09 November 2006
1035	1	06 October 2003
1036	1	08 May 2008
1037	0	<NULL>
1038	1	30 August 1991
1039	1	08 February 1999
1040	1	01 January 2005
1041	1	30 March 1995
1042	1	01 June 2002
1043	1	28 August 1996
1044	1	10 March 2009
1045	1	21 October 2005
1046	1	20 March 2001
1047	1	01 January 2004
1048	0	<NULL>
1049	1	16 September 2008
1050	1	23 June 2009
1051	1	31 August 2010
1052	1	29 March 2007
1053	1	01 October 2008
1054	1	26 March 2010
1055	1	30 January 2007
1056	1	04 March 2008
1057	1	01 May 2009
1058	1	16 May 2008
1059	1	23 October 2009
1060	1	01 May 2009
1061	1	11 July 2007
1062	1	24 November 1977
1063	0	<NULL>
1064	1	29 September 1995
1065	1	10 June 2010
1066	1	20 May 2010
1067	1	02 November 2010
1068	1	01 January 2009
1069	1	01 August 2009
1070	1	28 December 2008
1071	1	24 August 2004
1072	1	02 September 2004
1073	1	01 November 2005
1074	1	03 January 2002
1075	1	25 March 2008
1076	1	13 November 2002
1077	1	02 September 2003
1078	1	01 March 2009
1079	1	16 June 2009
1080	1	14 August 2009
1081	1	09 June 2009
1082	1	28 August 2005
1083	1	01 May 1998
1084	1	01 February 2000
1085	1	01 April 2000
1086	1	02 October 2008
1087	1	20 May 2004
1088	1	12 February 1999
1089	1	01 September 2008
1090	1	01 May 2005
1091	1	01 June 2007
1092	1	03 August 2000
1093	1	09 April 2001
1094	1	24 June 1991
1095	1	01 June 2008
1096	1	25 July 2002
1097	1	26 September 2008
1098	1	24 June 2004
1099	1	07 August 2007
1100	1	01 November 2005
1101	0	<NULL>
1102	1	01 March 1999
1103	1	07 October 1993
1104	1	30 January 2003
1105	1	04 August 2010
1106	1	02 March 1988
1107	1	01 September 2005
1108	1	31 December 1985
1109	1	11 August 2008
1110	1	23 June 2010
1111	1	29 February 2000
1112	1	20 October 2009
1113	1	14 December 2010
1114	1	29 December 2009
1115	1	26 April 2005
1116	1	03 May 2005
1117	1	01 July 2005
1118	1	06 August 2009
1119	1	09 October 2007
1120	1	01 February 2005
1121	0	<NULL>
1122	1	28 March 2003
1123	1	24 February 1994
1124	1	27 March 2003
1125	1	06 September 1995
1126	1	29 April 2000
1127	1	24 October 2001
1128	1	01 April 2004
1129	1	13 July 2007
1130	1	01 October 2009
1131	1	25 September 1986
1132	1	03 November 2005
1133	1	30 June 1994
1134	1	30 June 1994
1135	1	13 July 2006
1136	1	05 February 2010
1137	1	28 March 2003
1138	1	01 February 2000
1139	1	01 July 1993
1140	1	01 June 2008
1141	1	13 July 2010
1142	1	01 July 2008
1143	0	<NULL>
1144	1	15 February 2010
1145	0	<NULL>
1146	1	01 July 2008
1147	1	01 September 2004
1148	1	01 October 2009
1149	1	01 May 2008
1150	1	01 January 1997
1151	1	01 January 1974
1152	1	01 April 2002
1153	1	22 September 1999
1154	1	09 September 2004
1155	1	14 October 2005
1156	1	31 May 2005
1157	1	08 November 2007
1158	1	06 September 2007
1159	1	30 September 1991
1160	1	01 July 2008
1161	1	02 April 2010
1162	1	04 June 2010
1163	1	16 April 2009
1164	1	06 July 2006
1165	1	15 July 2004
1166	0	<NULL>
