book	buy	publisher
0082	1	C&amp;T Publishing
0083	1	Mosby
0084	1	DCCOM
0085	1	COLEB
0086	1	BANTA
0087	1	PNCTR
0088	1	PNCTR
0089	1	PNCTR
0090	1	KLANP
0091	1	NEWRD
0092	1	WROXP
0093	1	MICPR
0094	1	Mosby
0095	1	DSNED
0096	1	WaterBrook Press
0097	1	BLMSB
0098	1	CDMLP
0099	1	WZCHT
0100	1	UCAL
0101	1	STMAR
0102	1	LIPPH
0103	1	Sams
0104	1	OMEPR
0105	1	WASHQ
0106	1	AMORT
0107	1	AVERY
0108	1	Sybex
0109	1	STRTK
0110	1	Bibliolife
0111	1	ARNSC
0112	1	IDW Publishing
0113	1	BLCKD
0114	1	TENSP
0115	1	CUMHO
0116	1	SOTRU
0117	1	MARVB
0118	1	HOLTH
0119	1	VERTG
0120	1	FREE
0121	1	Basic
0122	1	LONEY
0123	1	Metropolis Books
0124	1	MCGHO
0125	1	STMAP
0126	1	Cambridge Bibles
0127	1	VINTA
0128	1	PENGU
0129	1	RANDN
0130	1	FLYRD
0131	1	APRSS
0132	1	MROOT
0133	1	Dell
0134	1	ACEBK
0135	1	RBCRB
0136	1	Hendrickson Publishers
0137	1	Kessinger Publishing
0138	1	ASCD
0139	1	Outskirts Press
0140	1	Globalnet Publishing
0141	1	PENGU
0142	1	DSNYP
0143	1	Havenhurst Books
0144	1	BEACO
0145	1	Zondervan
0146	1	CANWP
0147	1	NORLT
0148	1	PMBCD
0149	1	Samuel French Trade
0150	1	VNGPR
0151	1	Mosby
0152	1	PNCTR
0153	1	ULYSP
0154	1	SCHOH
0155	1	CROBK
0156	1	TIMBP
0157	1	Museum of Modern Art
0158	1	BLBLT
0159	1	BLKSN
0160	1	SCOLT
0161	1	KALMB
0162	1	General Books
0163	1	SILOA
0164	1	Samuel French Trade
0165	1	Bibliolife
0166	1	VISLB
0167	1	Nabu Press
0168	1	Nabu Press
0169	1	Nabu Press
0170	1	Destiny Image
0171	1	AmazonEncore
0172	1	Powerscore Pub.
0173	1	KLANP
0174	1	Bibliolife
0175	1	Kessinger Publishing
0176	1	YENPR
0177	1	BALAN
0178	1	UNYS
0179	1	ACDMA
0180	1	DCCOM
0181	1	BRILC
0182	1	MCGHM
0183	1	SOUBF
0184	1	SCRIB
0185	1	PECLA
0186	1	TIMBK
0187	1	MICHE
0188	1	SGULB
0189	1	FNTGR
0190	1	STMAP
0191	1	THRVS
0192	1	THRVS
0193	1	BALAT
0194	1	HYPNP
0195	1	AMBAA
0196	1	KEHRE
0197	1	HARON
0198	1	DUTTO
0199	1	MARVB
0200	1	FLEAM
0201	1	DARHO
0202	1	Rocky Nook
0203	1	LTBRJ
0204	1	WILTR
0205	1	ADBPR
0206	1	Sybex
0207	1	Microsoft Press
0208	1	BLKSN
0209	1	Joline Press
0210	1	Collins
0211	1	Cumberland House Publishing
0212	1	DC Comics
0213	1	Construction Management Services
0214	1	Falcon
0215	1	Echo Library
0216	1	Disney Press
0217	1	Whitechapel Productions
0218	1	Music Pro Guides
0219	1	F. A. Davis Company
0220	1	Viz Media
0221	1	Tuttle Publishing
0222	1	Selah Publishing Group
0223	1	Crossway Books
0224	1	Crossway Books
0225	1	DK Publishing (Dorling Kindersley)
0226	1	Random House
0227	1	Zondervan
0228	1	Zonderkidz
0229	1	Workman Publishing
0230	1	Image Comics
0231	1	Worth Publishers
0232	1	Berkley Publishing Group
0233	1	Viz Media
0234	1	ADC The Map People
0235	1	Biblio Bazaar
0236	1	Workman Publishing
0237	1	MCGRAW-HILL
0238	1	Signet Book
0239	1	Crossway Books
0240	1	Andrews McMeel Publishing
0241	1	Haynes Manuals
0242	1	Da Capo Lifelong Books
0243	1	Lillenas Publishing Company
0244	1	del Rey Books
0245	1	Lark Books (NC)
0246	1	Jones &amp; Bartlett Publishers
0247	1	Bradt Travel Guides
0248	1	Longman Publishing Group
0249	1	Orbit
0250	1	Houghton Mifflin Company
0251	1	Frederick Warne and Company
0252	1	DC Comics
0253	1	DC Comics
0254	1	Little Brown and Company
0255	1	Luna Books
0256	1	A&amp;c Black
0257	1	Arcadia Publishing
0258	1	HarperCollins (UK)
0259	1	McGraw-Hill Medical Publishing
0260	1	Ulysses Press
0261	1	Marvel Comics
0262	1	Dover Publications
0263	1	DC Comics
0264	1	Master Books
0265	1	Clarkson N Potter Publishers
0266	1	WSSTM
0267	1	Ace Books
0268	1	Focal Press
0269	1	Fortress Press
0270	1	IVP Academic
0271	1	Echo Library
0272	1	Viz Media
0273	1	Valueguide
0274	1	Wadsworth Publishing Company
0275	1	Timber Press (OR)
0276	1	Yearling
0277	1	PRRGN
0278	1	Bibliolife
0279	1	Greg Prato
0280	1	AVITU
0281	1	Arcadia Publishing (SC)
0282	1	Running Press Book Publishers
0283	1	University of Oklahoma Press
0284	1	FT Press
0285	1	John Wiley &amp; Sons
0286	1	John Wiley &amp; Sons
0287	1	DELMR
0288	1	MLSTN
0289	1	FODUM
0290	1	Addison Wesley Longman
0291	1	Random House Trade
0292	1	FOR DUMMIES
0293	1	For Beginners
0294	1	ALFMX
0295	1	iUniverse
0296	1	Course Technology
0297	1	21st Century Press
0298	1	Bibliolife
0299	1	Usborne Books
0300	1	del Rey Books
0301	1	Potter Craft
0302	1	Mosby
0303	1	W. W. Norton &amp; Company
0304	1	W. W. Norton &amp; Company
0305	1	THUNY
0306	1	UOXFD
0307	1	Aladdin Paperbacks
0308	1	Bibliolife
0309	1	Dragonfly Books
0310	1	Thorn
0311	1	FARWD
0312	1	VOCEI
0313	1	Association for Supervision &amp; Curriculum Deve
0314	1	FODUM
0315	1	BRCKG
0316	1	Assouline
0317	1	GRIJM
0318	1	Dell
0319	1	Franklin Covey
0320	1	Creative Whack Company
0321	1	Truth Seeker
0322	1	Trained Brain Media
0323	1	INKID
0324	1	Professional Publications (CA)
0325	1	Berkley Publishing Group
0326	1	Harperentertainment
0327	1	Powerscore Pub
0328	1	Genealogical Pub Co
0329	1	Continuum International Publishing Group
0330	1	Dark Horse Comics
0331	1	Viking Books
0332	1	John Wiley &amp; Sons
0333	1	Bantam Books
0334	1	William Morrow &amp; Company Inc
0335	1	Greenwillow Publishing
0336	1	IDG Books
0337	1	Vintage Books
0338	1	Times Books
0339	1	Tor Books
0340	1	University of Arizona Press
0341	1	Jewish Publication Society of America
0342	1	Penguin Books
0343	1	Anchor Books
0344	1	University of Illinois Press
0345	1	Fawcett Books
0346	1	Signet Book
0347	1	Farrar Straus Giroux/Harcourt Brace Jovanovic
0348	1	Penguin Books
0349	1	Hill &amp; Wang
0350	1	Penguin Books
0351	1	Princeton Review
0352	1	Little Brown and Company
0353	1	A. A. Knopf
0354	1	Harper Perennial
0355	1	HP Books
0356	1	Hungry Minds
0357	1	Listening Library Inc
0358	1	National Academy Press
0359	1	Owl Books
0360	1	Lyons Press
0361	1	Pocket Books
0362	1	Fireside Books
0363	1	Hyperion Books
0364	1	Prayer Point Press
0365	1	Bantam Books
0366	1	The Career Press
0367	1	Dell Publishing Co
0368	1	The Mountaineers Books
0369	1	North/South Books
0370	1	Klutz Press
0371	1	Chelsea Green Publishing Company
0372	1	Taunton Press
0373	1	The Guilford Press
0374	1	Oxford University Press
0375	1	Puffin Books
0376	1	NelsonWord Publishing Group
0377	1	Macmillan
0378	1	Klutz Press
0379	1	Noonday Press
0380	1	Villard Books
0381	1	FOR DUMMIES
0382	1	Music Sales Corporation
0383	1	Destiny Image Publishers
0384	1	101 Productions
0385	1	Oxford University Press
0386	1	101 Productions
0387	1	Financial Times/Prentice Hall
0388	1	Simon &amp; Schuster
0389	1	Haworth Press
0390	1	P &amp; R Publishing
0391	1	HarperCollins Publishers
0392	1	BLMSY
0393	1	101 Productions
0394	1	Dushkin/McGraw-Hill
0395	1	Addison Wesley Publishing Company
0396	1	Priddy Books
0397	1	Multnomah Publishers
0398	1	Independent Pub Group
0399	1	WAWEL
0400	1	Marian Press
0401	1	Tor Books
0402	1	Rodale Press
0403	1	Owl Books (NY)
0404	1	Intervarsity Press
0405	1	Talus Corporation
0406	1	Adams Media Corporation
0407	1	Pocket Books
0408	1	Timeless Texts
0409	1	FOR DUMMIES
0410	1	Ballantine Books
0411	1	Faithwords
0412	1	Heinemann
0413	1	Lighthouse Review Inc
0414	1	Villard Books
0415	1	Multnomah Publishers
0416	1	Sage Publications
0417	1	McGraw-Hill Companies
0418	1	Keep It Simple Books
0419	1	W. W. Norton &amp; Company
0420	1	Tyndale Kids
0421	1	Amacom
0422	1	Moody Press
0423	1	Kessinger Publishing
0424	1	HarperCollins Publishers
0425	1	Wildside Press
0426	1	Bridge-Logos Publishers
0427	1	Meredith Books
0428	1	iUniverse Star
0429	1	Siloam Press
0430	1	WESHO
0431	1	Fantagraphics Books
0432	1	101 Productions
0433	1	Scholastic Paperbacks
0434	1	HarperResource
0435	1	Puffin Books
0436	1	Hal Leonard Publishing Corporation
0437	1	National Learning Corp
0438	1	HarperResource
0439	1	Oxford University Press, USA
0440	1	Main Street Press
0441	1	Boydell &amp; Brewer
0442	1	del Rey Books
0443	1	Museum of North Idaho Publications
0444	1	Signet Book
0445	1	Jossey-Bass
0446	1	Washington Square Press
0447	1	Kluwer Academic Publishers
0448	1	Barron's Educational Series
0449	1	Addison-Wesley Professional
0450	1	HarperBusiness
0451	1	Springhouse Publishing Co
0452	1	Good Books
0453	1	Quill Driver Books
0454	1	Zondervan Publishing Company
0455	1	W.B. Saunders Company
0456	1	Putnam Publishing Group
0457	1	101 Productions
0458	1	New American Library
0459	1	Firebrand Books
0460	1	Mira Books
0461	1	Cram101
0462	1	Dog Ear Publishing
0463	1	Duxbury Resource Center
0464	1	Warner Press
0465	1	Hyperion
0466	1	Hay House
0467	1	Kessinger Publishing
0468	1	Udon Entertainment
0469	1	Holt McDougal
0470	1	Black Dog &amp; Leventhal Publishers
0471	1	Germain
0472	1	Three Rivers Press (CA)
0473	1	Sterling
0474	1	Nelson Bibles
0475	1	Workman Publishing
0476	1	Stackpole Books
0477	1	Tokyopop
0478	1	Antique Collectors' Club
0479	1	Crossway Books
0480	1	Moody Publishers
0481	1	Longman Publishing Group
0482	1	Humana Press
0483	1	Lippincott Williams &amp; Wilkins
0484	1	Simon &amp; Schuster Audio
0485	1	FOR DUMMIES
0486	1	Messies Anonymous
0487	1	Longman Publishing Group
0488	1	Giorgio Nada Editore
0489	1	NORTH ATLANTIC BOOKS
0490	1	Thomas Nelson Publishers
0491	1	Viz Media
0492	1	O'Reilly Media
0493	1	Penguin Books
0494	1	Research &amp; Education Association
0495	1	Atria Books
0496	1	Clarkson N Potter Publishers
0497	1	Graphix
0498	1	Anubis Pub
0499	1	Lippincott Williams &amp; Wilkins
0500	1	B&amp;H Publishing Group
0501	1	Heritage Books
0502	1	Jeremy P. Tarcher
0503	1	Seabury Books
0504	1	Project Management Institute
0505	1	Hachette Audio
0506	1	Andrews McMeel Publishing
0507	1	Graphic-Sha Publishing
0508	1	Scribner Book Company
0509	1	Lippincott Williams &amp; Wilkins
0510	1	Touchstone Books
0511	1	Zondervan
0512	1	Little, Brown Young Readers
0513	1	Authors for Christ, Inc.
0514	1	Eakin Press
0515	1	Mgwh
0516	1	St. Martin's Griffin
0517	1	Plume Books
0518	1	Wiley
0519	1	Barron's Educational Series
0520	1	Penguin Books
0521	1	McGraw-Hill Humanities/Social Sciences/Langua
0522	1	Prentice Hall
0523	1	Girouard
0524	1	Dell Publishing Company
0525	1	Medmaster
0526	1	Red Brick Learning
0527	1	Random House Audio Assets
0528	1	Learningexpress
0529	1	Highbridge Audio
0530	1	Hal Leonard Corp
0531	1	Fortress Press
0532	1	Crossway Books
0533	1	Wildside Press
0534	1	Delmar Thomson Learning
0535	1	Dover Publications
0536	1	Peachpit Press
0537	1	Hiddenspring
0538	1	Brilliance Audio
0539	1	HarperAudio
0540	1	Authorhouse
0541	1	John Wiley &amp; Sons
0542	1	iUniverse
0543	1	iUniverse
0544	1	FOR DUMMIES
0545	1	F. A. Davis Company
0546	1	Alliance Publishing
0547	1	Hal Leonard Publishing Corporation
0548	1	Whitaker House
0549	1	John Wiley &amp; Sons
0550	1	Llewellyn Publications
0551	1	Alfred Publishing Company
0552	1	Lippincott Williams &amp; Wilkins
0553	1	Hay House
0554	1	Delmar Publishers
0555	1	Green Candy Press
0556	1	Women's Intuition Worldwide.
0557	1	Math Solutions Pubns
0558	1	Lulu.com
0559	1	Microsoft Press
0560	1	Mel Bay Publications
0561	1	B&amp;H Publishing Group
0562	1	Dalmatian Pr
0563	1	Gollancz
0564	1	St. Martin's Press
0565	1	Cengage Lrng Business Press
0566	1	Lyons Press
0567	1	Sterling/Hollan
0568	1	DK Publishing (Dorling Kindersley)
0569	1	Prentice Hall
0570	1	Coach Series
0571	1	Sleuth RazorBill
0572	1	How
0573	1	Tyndale House Publishers
0574	1	Dodo Press
0575	1	Rizzoli Publications
0576	1	Hay House
0577	1	Crossway Books
0578	1	Prentice Hall
0579	1	Zondervan Publishing Company
0580	1	Zondervan Publishing Company
0581	1	Hyperion
0582	1	Hyperion Books
0583	1	Kaplan Publishing
0584	1	Prentice Hall
0585	1	Amistad Press
0586	1	Penguin Audiobooks
0587	1	O'Reilly Media
0588	1	Cico
0589	1	Taunton Press
0590	1	Atria Books
0591	1	Lulu.com
0592	1	John Wiley &amp; Sons
0593	1	South Western Educational Publishing
0594	1	HNA Books
0595	1	Apg Sales &amp; Fulfillment
0596	1	W. W. Norton &amp; Company
0597	1	Rizzoli Publications
0598	1	St. Martin's Griffin
0599	1	Scholastic Inc.
0600	1	Princeton Review
0601	1	Image
0602	1	Fodor's Travel Publications
0603	1	Random House
0604	1	Monacelli Press
0605	1	Three Rivers Press (CA)
0606	1	Pine Forge Press
0607	1	Wizards of the Coast
0608	1	Lulu Press
0609	1	CAREU
0610	1	WaterBrook Press
0611	1	O'Reilly Media
0612	1	AMSHP
0613	1	FOR DUMMIES
0614	1	del Rey Books
0615	1	BZLNN
0616	1	Prentice Hall
0617	1	Bantam
0618	1	FREE
0619	1	Greenhaven Press
0620	1	Arcadia Publishing(SC)
0621	1	Megalodon Entertainment LLC.
0622	1	Atria
0623	1	Prentice Hall
0624	1	Grand Central Publishing
0625	1	Harvest House Publishers
0626	1	Focal Press
0627	1	Course Technology
0628	1	MCFAJ
0629	1	Bibliolife
0630	1	Prentice Hall
0631	1	Thorndike Press
0632	1	RODAL
0633	1	WILCM
0634	1	PGNPR
0635	1	Paul Taylor
0636	1	BULDV
0637	1	New Leaf Distributing Company
0638	1	UUSNI
0639	1	SHIRB
0640	1	CORWC
0641	1	LONGB
0642	1	City Bible Publishing
0643	1	Merlin R. Carothers
0644	1	The New Press
0645	1	Accurate Press
0646	1	Eerdmans William B Publishing
0647	1	Black Sparrow Press
0648	1	Chronicle Books
0649	1	Christian Literature Crusade
0650	1	Simon &amp; Schuster Books
0651	1	JB Jossey-Bass Publishers
0652	1	JB Jossey-Bass Publishers
0653	1	Vintage Books
0654	1	Tor Books
0655	1	Kregel Publications
0656	1	Plume Books
0657	1	Bantam Books
0658	1	Bantam Books
0659	1	Penguin Books
0660	1	Touchstone Press
0661	1	Simon &amp; Schuster Books
0662	1	Harper San Francisco
0663	1	International Marine Publishing
0664	1	Fawcett Books
0665	1	Farrar Straus Giroux/Harcourt Brace Jovanovic
0666	1	Avon Books
0667	1	HarperCollins Publishers
0668	1	HarperCollins Publishers
0669	1	Bathroom Reader Press
0670	1	Random House
0671	1	Samuel Weiser Inc.
0672	1	West Group Publishing
0673	1	Linden Publishing
0674	1	Hunter House Publishers
0675	1	Abrams
0676	1	Kregel Publications
0677	1	Berkley Publishing Group
0678	1	William Morrow &amp; Company Inc
0679	1	Phoenix Publishing (WA)
0680	1	Weatherhill Inc.
0681	1	Tor Books
0682	1	Corwin Press
0683	1	Eagles View Publishing
0684	1	St. Martin's Press
0685	1	Zondervan Publishing Company
0686	1	Baker Academic
0687	1	Harmony Books
0688	1	GRTSR
0689	1	Longman Publishing Group
0690	1	International Marine Publishing
0691	1	Oxford University Press
0692	1	South End Press
0693	1	Modern Library
0694	1	Purdue University Press
0695	1	Lone Pine Publishing
0696	1	Adventures Unlimited Press
0697	1	Hungry Minds
0698	1	Signet Book
0699	1	Penguin Books
0700	1	Crystal Clarity Publishers
0701	1	Pocket Books
0702	1	Collector Books
0703	1	Dark Horse Comics
0704	1	Crown Publishers
0705	1	FOR DUMMIES
0706	1	Kessinger Publishing
0707	1	Navpress Publishing Group
0708	1	Megan Tingley Books
0709	1	American Education Publishing
0710	1	HarperCollins Publishers
0711	1	Alfred A. Knopf
0712	1	Perennial
0713	1	Running Press Book Publishers
0714	1	Alpha Books
0715	1	Sams
0716	1	DC Comics
0717	1	Penguin Books
0718	1	McGraw-Hill Companies
0719	1	Oxford University Press
0720	1	American Bar Association
0721	1	Roc
0722	1	Free Press
0723	1	Sher Music Co.
0724	1	John Wiley &amp; Sons
0725	1	SEDNA
0726	1	Walter Foster Pub
0727	1	Dutton Books
0728	1	Wildside Press
0729	1	Ragged Mountain Press
0730	1	Hearst Corporation
0731	1	Scholastic Paperbacks
0732	1	Ballantine Books
0733	1	HAYLO
0734	1	Philomel Books
0735	1	Society for Promoting Christian Knowledge
0736	1	Frommer's
0737	1	EOS
0738	1	St. Martin's Press
0739	1	Paraclete Press (MA)
0740	1	Pocket Books
0741	1	Rounder Books
0742	1	Addison-Wesley Professional
0743	1	WESTM
0744	1	Aviation Supplies &amp; Academics
0745	1	Thomson Learning
0746	1	Harvest House Publishers
0747	1	Lippincott Williams &amp; Wilkins
0748	1	Random House Trade
0749	1	Harvest House Publishers
0750	1	11:11 Publishers
0751	1	Visual
0752	1	Mountaineers Books
0753	1	Lexington Books
0754	1	Andrews McMeel Publishing
0755	1	Bienes Laconica
0756	1	Avery Publishing Group
0757	1	Financial Times/Prentice Hall
0758	1	Hay House
0759	1	Mysterious Press
0760	1	Frommer's
0761	1	Marketplace Books
0762	1	Rodale Press
0763	1	FOR DUMMIES
0764	1	Abrams Books for Young Readers
0765	1	Pearson ESL
0766	1	Thomas Dunne Books
0767	1	Black Dog &amp; Leventhal Publishers
0768	1	Lulu Press
0769	1	Saunders Book Company
0770	1	Destiny Image Publishers
0771	1	Collector's Guide Publishing Inc.
0772	1	Dark Horse Comics
0773	1	American Radio Relay League (ARRL)
0774	1	Barron's Educational Series
0775	1	Concordia Publishing House
0776	1	W.B. Saunders Company
0777	1	HarperCollins Publishers
0778	1	Addison Wesley Publishing Company
0779	1	ArtNetwork Press
0780	1	New Harbinger Publications
0781	1	Thomson South-Western
0782	1	McGraw-Hill Science/Engineering/Math
0783	1	HarperAudio
0784	1	Cottage Publications
0785	1	Abingdon Press
0786	1	Neil a Kjos Music Co
0787	1	Not Avail
0788	1	Currency
0789	1	Tyndale House Publishers
0790	1	Bis Publishers
0791	1	St. Martin's Press
0792	1	St. Martin's Press
0793	1	Random House Audio Assets
0794	1	St. Martin's Press
0795	1	Viz Media
0796	1	Atheneum Books
0797	1	Simon Spotlight Entertainment
0798	1	Wadsworth Publishing Company
0799	1	Arcadia Publishing
0800	1	ESRI Press
0801	1	G. Schirmer
0802	1	Trafford Publishing
0803	1	Little, Brown Young Readers
0804	1	John Wiley &amp; Sons
0805	1	Greenhill Books
0806	1	Bettermen
0807	1	Tyndale House Publishers
0808	1	W.H. Freeman &amp; Company
0809	1	Guilford Publications
0810	1	John Wiley &amp; Sons
0811	1	Down East Books
0812	1	Wadsworth Publishing Company
0813	1	Focus on the Family Publishing
0814	1	Carson Dellosa Pub Co Inc
0815	1	Krause Publications
0816	1	Sterling Publishing
0817	1	Lark Books (NC)
0818	1	Hendrickson Publishers
0819	1	John Wiley &amp; Sons
0820	1	Academic Internet Publishers
0821	1	Workman Publishing
0822	1	Destiny Image Publishers
0823	1	Que
0824	1	Active Images
0825	1	Pocket Books
0826	1	Council Oak Books
0827	1	Timber Press (OR)
0828	1	Simon &amp; Schuster
0829	1	Zondervan Publishing Company
0830	1	Atria Books
0831	1	Houghton Mifflin Company
0832	1	Quirk Books
0833	1	Lulu Press
0834	1	South-Western Educational Publishing
0835	1	St. Martin's Press
0836	1	St. Martin's Griffin
0837	1	HarperCollins Publishers
0838	1	Open Court Publishing Company
0839	1	Potter Style
0840	1	Simon &amp; Schuster Audio
0841	1	Microsoft Press
0842	1	Jones &amp; Bartlett Publishers
0843	1	Lyons Press
0844	1	Hal Leonard Publishing Corporation
0845	1	Nelson Publishing &amp; Marketing
0846	1	W W Norton &amp; Co Inc
0847	1	McGraw-Hill Companies
0848	1	PRMGM
0849	1	PEAPT
0850	1	MARVB
0851	1	GRDRS
0852	1	SIMOA
0853	1	Regal Books
0854	1	CHERL
0855	1	FRMMR
0856	1	Disney Editions
0857	1	Destiny Image
0858	1	MRJMP
0859	1	KLANP
0860	1	Nabu Press
0861	1	Word Music
0862	1	CRSPC
0863	1	TANOR
0864	1	KLANP
0865	1	CRSPC
0866	1	Mosby
0867	1	General Books
0868	1	Kessinger Publishing
0869	1	Next Exit
0870	1	SCFFD
0871	1	ASCD
0872	1	HUMAK
0873	1	JONBA
0874	1	WROXP
0875	1	FOR DUMMIES
0876	1	ZONDE
0877	1	PAUPE
0878	1	PENGD
0879	1	HOLTP
0880	1	PRNMD
0881	1	PLUMM
0882	1	Thomas Nelson Publishers
0883	1	NELSJ
0884	1	SKHSC
0885	1	Atria
0886	1	HCTTA
0887	1	CNGLR
0888	1	ALPBK
0889	1	Sybex
0890	1	AVLNT
0891	1	RVRHD
0892	1	PRNHC
0893	1	PRNHC
0894	1	PAULP
0895	1	HARPE
0896	1	MROOT
0897	1	AVONA
0898	1	MDNGI
0899	1	PEUSA
0900	1	HTRYP
0901	1	WILTR
0902	1	Xlibris Corporation
0903	1	Samir Riad
0904	1	PRHLP
0905	1	ACEBK
0906	1	FODUM
0907	1	Mosby
0908	1	WILTR
0909	1	THAME
0910	1	DELMR
0911	1	HPCLP
0912	1	LONGB
0913	1	LITTL
0914	1	Yen Press
0915	1	SYNLP
0916	1	RIZIP
0917	1	ALFRD
0918	1	GDCTP
0919	1	Signet Book
0920	1	Basic
0921	1	BARRN
0922	1	BARRN
0923	1	FRCTM
0924	1	BBCBK
0925	1	BEDFR
0926	1	LNCFL
0927	1	KTHTB
0928	1	HPCLP
0929	1	RIZIP
0930	1	WRTDG
0931	1	WILTR
0932	1	BLMSB
0933	1	BARRN
0934	1	AVITU
0935	1	RODAL
0936	1	FOCAL
0937	1	NRTNP
0938	1	OREIL
0939	1	SOUBO
0940	1	Mosby
0941	1	BRILC
0942	1	COTSD
0943	1	FRMMR
0944	1	IMGCO
0945	1	KRAUP
0946	1	Simon
0947	1	VELAC
0948	1	KLANP
0949	1	KLANP
0950	1	TENSP
0951	1	BLMSB
0952	1	BLSOK
0953	1	DELMR
0954	1	COLBK
0955	1	FRESI
0956	1	KNOPF
0957	1	SMITH
0958	1	SISPO
0959	1	TRSED
0960	1	Crowood Press (UK)
0961	1	PONMS
0962	1	Entrepreneur Press
0963	1	Obelisco
0964	1	Putnam Adult
0965	1	Haynes Publishing
0966	1	RUNNI
0967	1	Arcadia Publishing
0968	1	Farrar Straus Giroux
0969	1	McGraw-Hill Medical Publishing
0970	1	Prima Games
0971	1	Wiley
0972	1	GDCTP
0973	1	Nabu Press
0974	1	Bonus Books
0975	1	Baptist Spanish Publication House
0976	1	Urban Books
0977	1	Sybex
0978	1	FODUM
0979	1	STWPB
0980	1	Hal Leonard Publishing Corporation
0981	1	Amorata
0982	1	iUniverse
0983	1	House of Collectibles
0984	1	MCGRA
0985	1	DOUBL
0986	1	Pearson Prentice Hall
0987	1	Editorial Libsa Sa
0988	1	Entrepreneur Press
0989	1	Simon &amp; Schuster
0990	1	Insight Editions
0991	1	Imaginador
0992	1	Fotofactory Pr
0993	1	Hyperion Books
0994	1	Krause Publications
0995	1	Firefly Books
0996	1	Imaginador
0997	1	GRIJM
0998	1	Lectorum Pubns Inc
0999	1	Entrepreneur Press
1000	1	Clearfield Co
1001	1	Tantor Media
1002	1	Signature Publishing Group
1003	1	IMGCO
1004	1	Mgwh
1005	1	Running Press
1006	1	Healing Art Press
1007	1	Hendrickson Publishers
1008	1	Potomac Books
1009	1	Rodale Press % St. Martin
1010	1	Schiffer Publishing
1011	1	Workman Publishing
1012	1	ESCOP
1013	1	HNL Publishing
1014	1	Wasteland Press
1015	1	Kessinger Publishing
1016	1	Tokyopop
1017	1	South Western Educational Publishing
1018	1	Adams Media Corporation
1019	1	Schiffer Publishing
1020	1	Universal Publishers
1021	1	Avon Books
1022	1	ORECD
1023	1	MARVB
1024	1	General Books
1025	1	WLKGS
1026	1	Sterling Publishing
1027	1	Adams Media Corporation
1028	1	Chronicle Books
1029	1	Macmillan
1030	1	Oxford Univ Pr
1031	1	Cliffs Notes
1032	1	John Wiley &amp; Sons
1033	1	Virtualbookworm.com Publishing
1034	1	W.H. Freeman &amp; Company
1035	1	Eurotica
1036	1	Picador USA
1037	1	Saunders Book Company
1038	1	WWW.Bnpublishing.com
1039	1	Lee &amp; Low books
1040	1	McGraw-Hill Higher Education
1041	1	McGraw-Hill Humanities/Social Sciences/Langua
1042	1	Addison Wesley Longman
1043	1	Outskirts Press
1044	1	DORKI
1045	1	Benjamin-Cummings Publishing Company
1046	1	Duke Univ Pr
1047	1	Trafford Publishing
1048	1	John Wiley &amp; Sons
1049	1	Collector Books
1050	1	Klutz
1051	1	Media Blasters
1052	1	FOR DUMMIES
1053	1	Prima Games
1054	1	Wisdom Tree
1055	1	Lark Books (NC)
1056	1	Schiffer Publishing
1057	1	Tyndale House Publishers Inc.
