book	buy	publication_date
0194	1	&nbsp;5/4/2010
0195	1	&nbsp;1/30/2010
0196	1	&nbsp;4/1/2010
0197	1	&nbsp;4/20/2010
0198	1	&nbsp;7/15/2010
0199	1	&nbsp;6/1/2010
0200	1	&nbsp;5/10/2010
0201	1	&nbsp;7/14/2010
0202	1	&nbsp;4/28/2010
0203	1	&nbsp;8/3/2010
0204	1	&nbsp;10/4/2010
0205	1	&nbsp;5/25/2010
0206	1	&nbsp;6/1/2010
0207	1	&nbsp;6/15/2010
0208	1	&nbsp;6/1/2010
0209	1	&nbsp;10/8/2007
0210	1	&nbsp;8/1/2008
0211	1	&nbsp;5/1/2008
0212	1	&nbsp;3/19/2008
0213	1	&nbsp;1/1/2008
0214	1	&nbsp;10/1/2008
0215	1	&nbsp;11/6/2007
0216	1	&nbsp;7/29/2008
0217	1	&nbsp;10/8/2007
0218	1	&nbsp;10/15/2010
0219	1	&nbsp;3/1/2008
0220	1	&nbsp;9/2/2008
0221	1	&nbsp;8/1/2008
0222	1	&nbsp;12/20/2007
0223	1	&nbsp;3/1/2008
0224	1	&nbsp;3/1/2008
0225	1	&nbsp;4/1/2008
0226	1	&nbsp;11/26/2007
0227	1	&nbsp;5/1/2008
0228	1	&nbsp;8/1/2008
0229	1	&nbsp;7/9/2008
0230	1	&nbsp;10/15/2009
0231	1	&nbsp;8/5/2009
0232	1	&nbsp;5/6/2008
0233	1	&nbsp;1/6/2009
0234	1	&nbsp;7/1/2008
0235	1	&nbsp;3/17/2008
0236	1	&nbsp;3/23/2009
0237	1	&nbsp;12/12/2008
0238	1	&nbsp;10/1/2008
0239	1	&nbsp;3/1/2008
0240	1	&nbsp;10/1/2008
0241	1	&nbsp;8/15/2008
0242	1	&nbsp;4/27/2009
0243	1	&nbsp;2/12/2008
0244	1	&nbsp;12/16/2008
0245	1	&nbsp;10/7/2008
0246	1	&nbsp;9/26/2008
0247	1	&nbsp;10/1/2008
0248	1	&nbsp;12/26/2008
0249	1	&nbsp;12/1/2008
0250	1	&nbsp;9/23/2008
0251	1	&nbsp;9/4/2008
0252	1	&nbsp;11/11/2008
0253	1	&nbsp;11/25/2008
0254	1	&nbsp;10/8/2008
0255	1	&nbsp;10/1/2008
0256	1	&nbsp;2/1/2009
0257	1	&nbsp;8/1/2008
0258	1	&nbsp;7/1/2008
0259	1	&nbsp;1/9/2009
0260	1	&nbsp;2/1/2009
0261	1	&nbsp;3/1/2009
0262	1	&nbsp;1/1/2009
0263	1	&nbsp;4/14/2009
0264	1	&nbsp;12/9/2008
0265	1	&nbsp;5/5/2009
0266	1	&nbsp;7/15/2008
0267	1	&nbsp;3/1/2009
0268	1	&nbsp;11/7/2008
0269	1	&nbsp;10/1/2008
0270	1	&nbsp;12/1/2008
0271	1	&nbsp;8/25/2008
0272	1	&nbsp;5/5/2009
0273	1	&nbsp;8/11/2008
0274	1	&nbsp;12/12/2008
0275	1	&nbsp;3/1/2009
0276	1	&nbsp;3/24/2009
0277	1	&nbsp;8/29/2008
0278	1	&nbsp;1/5/2009
0279	1	&nbsp;1/19/2009
0280	1	&nbsp;6/1/2009
0281	1	&nbsp;3/1/2009
0282	1	&nbsp;6/8/2009
0283	1	&nbsp;6/1/2009
0284	1	&nbsp;12/15/2008
0285	1	&nbsp;3/23/2009
0286	1	&nbsp;5/18/2009
0287	1	&nbsp;10/22/2009
0288	1	&nbsp;4/1/2009
0289	1	&nbsp;3/1/2009
0290	1	&nbsp;1/15/2009
0291	1	&nbsp;2/10/2009
0292	1	&nbsp;2/9/2009
0293	1	&nbsp;2/10/2009
0294	1	&nbsp;10/30/2008
0295	1	&nbsp;9/16/2008
0296	1	&nbsp;9/30/2008
0297	1	&nbsp;10/6/2008
0298	1	&nbsp;10/6/2008
0299	1	&nbsp;1/1/2009
0300	1	&nbsp;12/30/2008
0301	1	&nbsp;5/5/2009
0302	1	&nbsp;12/21/2008
0303	1	&nbsp;9/21/2009
0304	1	&nbsp;9/28/2009
0305	1	&nbsp;3/30/2009
0306	1	&nbsp;2/10/2009
0307	1	&nbsp;3/9/2009
0308	1	&nbsp;3/9/2009
0309	1	&nbsp;7/14/2009
0310	1	&nbsp;5/1/2009
0311	1	&nbsp;6/1/2009
0312	1	&nbsp;4/28/2009
0313	1	&nbsp;3/2/2009
0314	1	&nbsp;6/29/2009
0315	1	&nbsp;10/1/2009
0316	1	&nbsp;4/1/2009
0317	1	&nbsp;4/7/2009
0318	1	&nbsp;10/13/2009
0319	1	&nbsp;4/21/2009
0320	1	&nbsp;3/31/2009
0321	1	&nbsp;4/21/2009
0322	1	&nbsp;3/31/2009
0323	1	&nbsp;8/5/2009
0324	1	&nbsp;4/16/2007
0325	1	&nbsp;11/28/2006
0326	1	&nbsp;4/10/2007
0327	1	&nbsp;11/17/2009
0328	1	&nbsp;9/29/2009
0329	1	&nbsp;3/1/2006
0330	1	&nbsp;4/10/2007
0331	1	&nbsp;9/1/1948
0332	1	&nbsp;4/10/2007
0333	1	&nbsp;4/10/2007
0334	1	&nbsp;4/10/2007
0335	1	&nbsp;9/1/1991
0336	1	&nbsp;4/10/2007
0337	1	&nbsp;4/10/2007
0338	1	&nbsp;4/10/2007
0339	1	&nbsp;4/10/2007
0340	1	&nbsp;4/10/2007
0341	1	&nbsp;4/10/2007
0342	1	&nbsp;4/10/2007
0343	1	&nbsp;10/1/1994
0344	1	&nbsp;9/1/1986
0345	1	&nbsp;11/1/1992
0346	1	&nbsp;4/10/2007
0347	1	&nbsp;4/10/2007
0348	1	&nbsp;1/1/1991
0349	1	&nbsp;4/10/2007
0350	1	&nbsp;4/1/1995
0351	1	&nbsp;4/1/1998
0352	1	&nbsp;4/10/2007
0353	1	&nbsp;4/10/2007
0354	1	&nbsp;4/10/2007
0355	1	&nbsp;4/10/2007
0356	1	&nbsp;4/10/2007
0357	1	&nbsp;4/10/2007
0358	1	&nbsp;11/1/2001
0359	1	&nbsp;4/10/2007
0360	1	&nbsp;4/10/2007
0361	1	&nbsp;10/1/1998
0362	1	&nbsp;10/1/1998
0363	1	&nbsp;1/1/2000
0364	1	&nbsp;4/10/2007
0365	1	&nbsp;4/10/2007
0366	1	&nbsp;9/3/2007
0367	1	&nbsp;4/10/2007
0368	1	&nbsp;4/10/2007
0369	1	&nbsp;4/10/2007
0370	1	&nbsp;4/10/2007
0371	1	&nbsp;4/10/2007
0372	1	&nbsp;10/1/1996
0373	1	&nbsp;4/30/2007
0374	1	&nbsp;5/1/1998
0375	1	&nbsp;2/1/1999
0376	1	&nbsp;4/10/2007
0377	1	&nbsp;7/1/1999
0378	1	&nbsp;4/10/2007
0379	1	&nbsp;9/1/1998
0380	1	&nbsp;1/1/1999
0381	1	&nbsp;4/10/2007
0382	1	&nbsp;4/10/2007
0383	1	&nbsp;10/1/1987
0384	1	&nbsp;6/1/1999
0385	1	&nbsp;4/10/2007
0386	1	&nbsp;3/4/2008
0387	1	&nbsp;11/11/2005
0388	1	&nbsp;1/31/2006
0389	1	&nbsp;4/10/2007
0390	1	&nbsp;4/10/2007
0391	1	&nbsp;4/10/2007
0392	1	&nbsp;10/7/2005
0393	1	&nbsp;2/7/2006
0394	1	&nbsp;4/10/2007
0395	1	&nbsp;9/15/2005
0396	1	&nbsp;4/10/2007
0397	1	&nbsp;4/10/2007
0398	1	&nbsp;4/1/2003
0399	1	&nbsp;5/1/2003
0400	1	&nbsp;1/1/2005
0401	1	&nbsp;1/31/2006
0402	1	&nbsp;4/10/2007
0403	1	&nbsp;4/10/2007
0404	1	&nbsp;4/10/2007
0405	1	&nbsp;9/1/1997
0406	1	&nbsp;4/10/2007
0407	1	&nbsp;10/1/2001
0408	1	&nbsp;4/10/2007
0409	1	&nbsp;4/1/2003
0410	1	&nbsp;4/10/2007
0411	1	&nbsp;4/10/2007
0412	1	&nbsp;2/1/2000
0413	1	&nbsp;4/10/2007
0414	1	&nbsp;4/10/2007
0415	1	&nbsp;4/10/2007
0416	1	&nbsp;4/10/2007
0417	1	&nbsp;4/10/2007
0418	1	&nbsp;4/10/2007
0419	1	&nbsp;4/23/2007
0420	1	&nbsp;4/30/2007
0421	1	&nbsp;4/10/2007
0422	1	&nbsp;4/10/2007
0423	1	&nbsp;4/10/2007
0424	1	&nbsp;4/10/2007
0425	1	&nbsp;4/10/2007
0426	1	&nbsp;2/1/2003
0427	1	&nbsp;4/10/2007
0428	1	&nbsp;4/10/2007
0429	1	&nbsp;4/10/2007
0430	1	&nbsp;4/10/2007
0431	1	&nbsp;9/1/2004
0432	1	&nbsp;4/10/2007
0433	1	&nbsp;4/10/2007
0434	1	&nbsp;4/10/2007
0435	1	&nbsp;3/1/2004
0436	1	&nbsp;3/1/2004
0437	1	&nbsp;4/10/2007
0438	1	&nbsp;4/10/2007
0439	1	&nbsp;4/10/2007
0440	1	&nbsp;10/1/2002
0441	1	&nbsp;1/1/2008
0442	1	&nbsp;9/1/2003
0443	1	&nbsp;4/10/2007
0444	1	&nbsp;10/1/2003
0445	1	&nbsp;4/10/2007
0446	1	&nbsp;4/10/2007
0447	1	&nbsp;4/10/2007
0448	1	&nbsp;4/10/2007
0449	1	&nbsp;4/10/2007
0450	1	&nbsp;4/10/2007
0451	1	&nbsp;8/1/2003
0452	1	&nbsp;4/10/2007
0453	1	&nbsp;8/1/2003
0454	1	&nbsp;2/1/2005
0455	1	&nbsp;4/16/2007
0456	1	&nbsp;2/16/2006
0457	1	&nbsp;5/24/2006
0458	1	&nbsp;4/10/2007
0459	1	&nbsp;4/10/2007
0460	1	&nbsp;6/1/2007
0461	1	&nbsp;4/10/2007
0462	1	&nbsp;1/29/2007
0463	1	&nbsp;12/14/2009
0464	1	&nbsp;5/7/2007
0465	1	&nbsp;1/2/2008
0466	1	&nbsp;10/1/2007
0467	1	&nbsp;4/10/2007
0468	1	&nbsp;7/3/2007
0469	1	&nbsp;1/5/2009
0470	1	&nbsp;9/1/2007
0471	1	&nbsp;10/1/2007
0472	1	&nbsp;8/28/2007
0473	1	&nbsp;9/1/2007
0474	1	&nbsp;10/1/2007
0475	1	&nbsp;4/15/2005
0476	1	&nbsp;9/24/2007
0477	1	&nbsp;3/11/2008
0478	1	&nbsp;11/1/2007
0479	1	&nbsp;10/15/2007
0480	1	&nbsp;2/1/2008
0481	1	&nbsp;2/1/2008
0482	1	&nbsp;4/1/2009
0483	1	&nbsp;10/1/2007
0484	1	&nbsp;10/1/2007
0485	1	&nbsp;12/28/2007
0486	1	&nbsp;10/1/2007
0487	1	&nbsp;2/1/2008
0488	1	&nbsp;2/15/2008
0489	1	&nbsp;1/8/2008
0490	1	&nbsp;4/1/2008
0491	1	&nbsp;5/6/2008
0492	1	&nbsp;10/20/2007
0493	1	&nbsp;3/1/2008
0494	1	&nbsp;2/1/2008
0495	1	&nbsp;3/4/2008
0496	1	&nbsp;4/8/2008
0497	1	&nbsp;1/1/2008
0498	1	&nbsp;7/1/2007
0499	1	&nbsp;8/30/2007
0500	1	&nbsp;4/10/2007
0501	1	&nbsp;9/29/2009
0502	1	&nbsp;4/19/2007
0503	1	&nbsp;2/1/2007
0504	1	&nbsp;9/1/2006
0505	1	&nbsp;5/1/2007
0506	1	&nbsp;5/1/2007
0507	1	&nbsp;9/1/2006
0508	1	&nbsp;6/12/2007
0509	1	&nbsp;3/1/2007
0510	1	&nbsp;8/1/2007
0511	1	&nbsp;4/16/2007
0512	1	&nbsp;4/1/2007
0513	1	&nbsp;4/10/2007
0514	1	&nbsp;5/23/2007
0515	1	&nbsp;4/10/2007
0516	1	&nbsp;3/20/2007
0517	1	&nbsp;8/28/2007
0518	1	&nbsp;6/1/2007
0519	1	&nbsp;9/1/2007
0520	1	&nbsp;8/28/2007
0521	1	&nbsp;4/10/2007
0522	1	&nbsp;8/1/2007
0523	1	&nbsp;7/1/2007
0524	1	&nbsp;10/30/2007
0525	1	&nbsp;2/1/2007
0526	1	&nbsp;4/10/2007
0527	1	&nbsp;4/10/2007
0528	1	&nbsp;10/29/2007
0529	1	&nbsp;10/8/2006
0530	1	&nbsp;6/2/2009
0531	1	&nbsp;7/23/2007
0532	1	&nbsp;4/10/2007
0533	1	&nbsp;4/10/2007
0534	1	&nbsp;10/13/2006
0535	1	&nbsp;4/10/2007
0536	1	&nbsp;6/8/2009
0537	1	&nbsp;4/10/2007
0538	1	&nbsp;4/10/2007
0539	1	&nbsp;4/10/2007
0540	1	&nbsp;4/10/2007
0541	1	&nbsp;4/10/2007
0542	1	&nbsp;11/12/2007
0543	1	&nbsp;11/12/2007
0544	1	&nbsp;5/5/2008
0545	1	&nbsp;7/1/2008
0546	1	&nbsp;12/31/2007
0547	1	&nbsp;1/1/2008
0548	1	&nbsp;4/1/2008
0549	1	&nbsp;3/3/2008
0550	1	&nbsp;4/1/2008
0551	1	&nbsp;1/5/2009
0552	1	&nbsp;4/1/2008
0553	1	&nbsp;4/1/2008
0554	1	&nbsp;9/4/2008
0555	1	&nbsp;7/1/2009
0556	1	&nbsp;10/29/2007
0557	1	&nbsp;7/4/2007
0558	1	&nbsp;10/15/2007
0559	1	&nbsp;12/26/2007
0560	1	&nbsp;2/4/2008
0561	1	&nbsp;8/15/2008
0562	1	&nbsp;2/15/2008
0563	1	&nbsp;6/1/2008
0564	1	&nbsp;9/2/2008
0565	1	&nbsp;4/25/2008
0566	1	&nbsp;9/2/2008
0567	1	&nbsp;6/1/2008
0568	1	&nbsp;4/1/2008
0569	1	&nbsp;2/1/2008
0570	1	&nbsp;6/3/2008
0571	1	&nbsp;10/16/2008
0572	1	&nbsp;10/6/2008
0573	1	&nbsp;5/1/2008
0574	1	&nbsp;3/3/2008
0575	1	&nbsp;9/29/2009
0576	1	&nbsp;10/1/2008
0577	1	&nbsp;10/15/2008
0578	1	&nbsp;8/1/2008
0579	1	&nbsp;7/1/2008
0580	1	&nbsp;9/1/2008
0581	1	&nbsp;9/2/2008
0582	1	&nbsp;9/16/2008
0583	1	&nbsp;11/4/2008
0584	1	&nbsp;10/2/2008
0585	1	&nbsp;2/1/2009
0586	1	&nbsp;12/26/2008
0587	1	&nbsp;12/1/2008
0588	1	&nbsp;9/30/2008
0589	1	&nbsp;3/1/2009
0590	1	&nbsp;3/3/2009
0591	1	&nbsp;6/9/2008
0592	1	&nbsp;12/10/2008
0593	1	&nbsp;10/3/2008
0594	1	&nbsp;10/1/2008
0595	1	&nbsp;6/2/2008
0596	1	&nbsp;12/1/2008
0597	1	&nbsp;4/21/2009
0598	1	&nbsp;3/17/2009
0599	1	&nbsp;12/2/2008
0600	1	&nbsp;1/27/2009
0601	1	&nbsp;2/10/2009
0602	1	&nbsp;4/14/2009
0603	1	&nbsp;1/13/2009
0604	1	&nbsp;5/19/2009
0605	1	&nbsp;5/19/2009
0606	1	&nbsp;11/17/2008
0607	1	&nbsp;9/15/2009
0608	1	&nbsp;1/5/2009
0609	1	&nbsp;6/20/2009
0610	1	&nbsp;8/18/2009
0611	1	&nbsp;6/1/2009
0612	1	&nbsp;2/28/2009
0613	1	&nbsp;6/9/2009
0614	1	&nbsp;5/19/2009
0615	1	&nbsp;12/19/2008
0616	1	&nbsp;1/30/2009
0617	1	&nbsp;10/13/2009
0618	1	&nbsp;9/29/2008
0619	1	&nbsp;4/3/2009
0620	1	&nbsp;2/1/2009
0621	1	&nbsp;10/6/2008
0622	1	&nbsp;8/5/2009
0623	1	&nbsp;1/1/2009
0624	1	&nbsp;5/29/2009
0625	1	&nbsp;3/15/2009
0626	1	&nbsp;2/13/2009
0627	1	&nbsp;5/21/2009
0628	1	&nbsp;9/4/2009
0629	1	&nbsp;3/9/2009
0630	1	&nbsp;4/1/2009
0631	1	&nbsp;4/15/2009
0632	1	&nbsp;8/5/2009
0633	1	&nbsp;6/29/2009
0634	1	&nbsp;11/12/2009
0635	1	&nbsp;5/5/2009
0636	1	&nbsp;5/1/2009
0637	1	&nbsp;4/21/2009
0638	1	&nbsp;9/1/2009
0639	1	&nbsp;9/22/2009
0640	1	&nbsp;5/29/2009
0641	1	&nbsp;5/26/2009
0642	1	&nbsp;4/10/2007
0643	1	&nbsp;4/10/2007
0644	1	&nbsp;4/10/2007
0645	1	&nbsp;1/1/1996
0646	1	&nbsp;4/10/2007
0647	1	&nbsp;4/10/2007
0648	1	&nbsp;4/10/2007
0649	1	&nbsp;4/10/2007
0650	1	&nbsp;4/10/2007
0651	1	&nbsp;4/10/2007
0652	1	&nbsp;4/10/2007
0653	1	&nbsp;5/1/1991
0654	1	&nbsp;7/1/1997
0655	1	&nbsp;1/16/2003
0656	1	&nbsp;4/1/1991
0657	1	&nbsp;4/10/2007
0658	1	&nbsp;4/10/2007
0659	1	&nbsp;3/1/1985
0660	1	&nbsp;4/10/2007
0661	1	&nbsp;4/10/2007
0662	1	&nbsp;4/10/2007
0663	1	&nbsp;3/1/1999
0664	1	&nbsp;4/10/2007
0665	1	&nbsp;6/1/1980
0666	1	&nbsp;8/1/1994
0667	1	&nbsp;9/1/1974
0668	1	&nbsp;2/1/1988
0669	1	&nbsp;1/16/2003
0670	1	&nbsp;4/10/2007
0671	1	&nbsp;5/19/2008
0672	1	&nbsp;9/1/1995
0673	1	&nbsp;4/10/2007
0674	1	&nbsp;4/10/2007
0675	1	&nbsp;11/1/1999
0676	1	&nbsp;1/1/2000
0677	1	&nbsp;4/10/2007
0678	1	&nbsp;4/10/2007
0679	1	&nbsp;4/10/2007
0680	1	&nbsp;4/1/1972
0681	1	&nbsp;4/10/2007
0682	1	&nbsp;4/10/2007
0683	1	&nbsp;4/10/2007
0684	1	&nbsp;4/10/2007
0685	1	&nbsp;4/10/2007
0686	1	&nbsp;4/10/2007
0687	1	&nbsp;4/10/2007
0688	1	&nbsp;11/5/2009
0689	1	&nbsp;8/1/2000
0690	1	&nbsp;4/10/2007
0691	1	&nbsp;8/1/2001
0692	1	&nbsp;2/1/2002
0693	1	&nbsp;4/1/2001
0694	1	&nbsp;4/10/2007
0695	1	&nbsp;4/10/2007
0696	1	&nbsp;4/10/2007
0697	1	&nbsp;6/1/2001
0698	1	&nbsp;5/1/1990
0699	1	&nbsp;1/1/1977
0700	1	&nbsp;4/10/2007
0701	1	&nbsp;9/1/2005
0702	1	&nbsp;4/10/2007
0703	1	&nbsp;3/17/2008
0704	1	&nbsp;4/10/2007
0705	1	&nbsp;1/30/2006
0706	1	&nbsp;4/10/2007
0707	1	&nbsp;2/15/2006
0708	1	&nbsp;4/10/2007
0709	1	&nbsp;2/1/2003
0710	1	&nbsp;10/1/2002
0711	1	&nbsp;1/1/2003
0712	1	&nbsp;8/1/2005
0713	1	&nbsp;4/30/2005
0714	1	&nbsp;3/7/2006
0715	1	&nbsp;4/1/2003
0716	1	&nbsp;9/1/2003
0717	1	&nbsp;6/1/2003
0718	1	&nbsp;6/1/2002
0719	1	&nbsp;11/7/2003
0720	1	&nbsp;4/10/2007
0721	1	&nbsp;12/1/2003
0722	1	&nbsp;4/10/2007
0723	1	&nbsp;3/1/1999
0724	1	&nbsp;4/10/2007
0725	1	&nbsp;4/10/2007
0726	1	&nbsp;4/10/2007
0727	1	&nbsp;4/21/2005
0728	1	&nbsp;4/10/2007
0729	1	&nbsp;4/10/2007
0730	1	&nbsp;2/1/2003
0731	1	&nbsp;4/10/2007
0732	1	&nbsp;8/1/2004
0733	1	&nbsp;10/30/2004
0734	1	&nbsp;10/1/2004
0735	1	&nbsp;4/10/2007
0736	1	&nbsp;5/1/2004
0737	1	&nbsp;5/1/2004
0738	1	&nbsp;4/1/2004
0739	1	&nbsp;4/10/2007
0740	1	&nbsp;5/1/2004
0741	1	&nbsp;4/10/2007
0742	1	&nbsp;12/1/2003
0743	1	&nbsp;12/14/2007
0744	1	&nbsp;4/10/2007
0745	1	&nbsp;4/10/2007
0746	1	&nbsp;4/10/2007
0747	1	&nbsp;12/31/2004
0748	1	&nbsp;4/10/2007
0749	1	&nbsp;4/10/2007
0750	1	&nbsp;4/10/2007
0751	1	&nbsp;4/10/2007
0752	1	&nbsp;4/10/2007
0753	1	&nbsp;4/10/2007
0754	1	&nbsp;2/22/2010
0755	1	&nbsp;7/1/2003
0756	1	&nbsp;9/14/2006
0757	1	&nbsp;4/10/2007
0758	1	&nbsp;4/10/2007
0759	1	&nbsp;4/10/2007
0760	1	&nbsp;4/3/2006
0761	1	&nbsp;4/10/2007
0762	1	&nbsp;10/16/2007
0763	1	&nbsp;9/28/2007
0764	1	&nbsp;9/1/2007
0765	1	&nbsp;1/30/2007
0766	1	&nbsp;11/13/2007
0767	1	&nbsp;9/1/2007
0768	1	&nbsp;4/30/2007
0769	1	&nbsp;11/8/2007
0770	1	&nbsp;9/1/2007
0771	1	&nbsp;1/1/2009
0772	1	&nbsp;9/1/2007
0773	1	&nbsp;5/1/2007
0774	1	&nbsp;10/1/2007
0775	1	&nbsp;7/1/2007
