university	collegenavigator	name
0144	1	Brown Mackie College-Boise
0145	1	Eastern Idaho Technical College
0146	1	Headmasters School of Hair Design
0147	1	Mr Leons School of Hair Design
0148	1	Mr Leons School of Hair Design
0149	1	Northwest Nazarene University
0150	1	The School of Hairstyling
0151	1	University of Phoenix-Idaho Campus
0152	1	American Academy of Art
0153	1	American College of Education
0154	1	American InterContinental University-Online
0155	1	Americare Institute
0156	1	Argosy University-Schaumburg
0157	1	Beck Area Career Center-Red Bud
0158	1	Cain's Barber College Inc
0159	1	Cannella School of Hair Design
0160	1	Cannella School of Hair Design
0161	1	Cannella School of Hair Design
0162	1	Capri Beauty College New Lenox I
0163	1	Catholic Theological Union at Chicago
0164	1	Chamberlain College of Nursing–Addison Campus
0165	1	City Colleges of Chicago-Harry S Truman College
0166	1	City Colleges of Chicago-Kennedy-King College
0167	1	City Colleges of Chicago-Olive-Harvey College
0168	1	Columbia College Chicago
0169	1	Concordia University
0170	1	DePaul University
0171	1	Dominican University
0172	1	Educators of Beauty
0173	1	Elmhurst College
0174	1	Empire Beauty School-Hanover Park
0175	1	Everest College-Burr Ridge
0176	1	Everest College-Chicago
0177	1	First Institute Inc
0178	1	Fox College Inc
0179	1	Hair Professionals Career College
0180	1	Heartland Community College
0181	1	Illinois School of Health Careers-O'Hare Campus
0182	1	Innovations Design Academy
0183	1	ITT Technical Institute-Oak Brook
0184	1	ITT Technical Institute-Orland Park
0185	1	John Wood Community College
0186	1	Joliet Junior College
0187	1	Le Cordon Bleu College of Culinary Arts in Chicago
0188	1	Lincoln Christian University
0189	1	Lincoln Land Community College
0190	1	MacMurray College
0191	1	McCormick Theological Seminary
0192	1	Midstate College
0193	1	Midwest Technical Institute
0194	1	Moody Bible Institute
0195	1	Mr John's School of Cosmetology &amp; Nails
0196	1	North Park University
0197	1	Northern Baptist Theological Seminary
0198	1	Northwestern College-Southwestern Campus
0199	1	Olivet Nazarene University
0200	1	Pacific College of Oriental Medicine
0201	1	Parkland College
0202	1	Pivot Point Beauty School
0203	1	Pivot Point Beauty School
0204	1	Rasmussen College-Illinois
0205	1	Rasmussen College-Mokena / Tinley Park
0206	1	Regency Beauty Institute-Champaign
0207	1	Regency Beauty Institute-Fairview Heights
0208	1	Regency Beauty Institute-Joliet
0209	1	Regency Beauty Institute-Peoria
0210	1	Regency Beauty Institute-Tinley Park
0211	1	Rend Lake College
0212	1	Rock Valley College
0213	1	Roosevelt University
0214	1	Saint Francis Medical Center College of Nursing
0215	1	SOLEX Medical Academy
0216	1	Argosy University-Phoenix Online Division
0217	1	Arizona Automotive Institute
0218	1	Arizona Culinary Institute
0219	1	Arizona State University
0220	1	Soma Institute-The National School of Clinical Massage Therapy
0221	1	South Suburban College
0222	1	Southern Illinois University Carbondale
0223	1	Spertus College
0224	1	St Johns College
0225	1	The Illinois Institute of Art-Schaumburg
0226	1	The John Marshall Law School
0227	1	Tricoci University of Beauty Culture
0228	1	Tricoci University of Beauty Culture
0229	1	Tricoci University of Beauty Culture
0230	1	Trinity College of Nursing and Health Sciences
0231	1	Trinity International University
0232	1	Universal Spa Training Academy
0233	1	University of Chicago
0234	1	University of Illinois at Chicago
0235	1	University of Illinois at Urbana-Champaign
0236	1	University of Spa &amp; Cosmetology Arts
0237	1	VanderCook College of Music
0238	1	Vatterott College
0239	1	Worsham College of Mortuary Science
0240	1	Alexandria School of Scientific Therapeutics
0241	1	Anderson University
0242	1	Avant Gard The School
0243	1	Aviation Institute of Maintenance-Indianapolis
0244	1	Ball State University
0245	1	Brown Mackie College-South Bend
0246	1	Christian Theological Seminary
0247	1	Concordia Theological Seminary
0248	1	Don Roberts School of Hair Design
0249	1	Earlham College
0250	1	Hair Fashions By Kaye Beauty College
0251	1	Harrison College-Elkhart
0252	1	Harrison College-Evansville
0253	1	Harrison College-Indianapolis
0254	1	Harrison College-Northwest
0255	1	Honors Beauty College
0256	1	Indiana University-Northwest
0257	1	Indiana University-Purdue University-Fort Wayne
0258	1	Indiana University-Purdue University-Indianapolis
0259	1	Indiana Wesleyan University
0260	1	International Business College-Indianapolis
0261	1	ITT Technical Institute-Fort Wayne
0262	1	Ivy Tech Community College-Southeast
0263	1	Ivy Tech Community College-Wabash Valley
0264	1	J Michael Harrold Beauty Academy
0265	1	Carrington College-Tucson
0266	1	Carrington College-Westside
0267	1	Kaplan College-Merrillville
0268	1	Mid-America College of Funeral Service
0269	1	Oakland City University
0270	1	PJ's College of Cosmetology
0271	1	PJ's College of Cosmetology
0272	1	Purdue University-Main Campus
0273	1	Regency Beauty Institute-Greenwood
0274	1	Rudae's School of Beauty Culture Inc
0275	1	Saint Elizabeth School of Nursing
0276	1	Success Schools LLC
0277	1	Taylor University
0278	1	TechSkills-Indianapolis
0279	1	Trine University-Fort Wayne Regional Campus
0280	1	Trine University-South Bend Regional Campus
0281	1	University of Indianapolis
0282	1	Wabash College
0283	1	Allen County Community College
0284	1	B Street Design School of International Hair Styling
0285	1	B Street Design-School International Hair Styling-Topeka
0286	1	B Street Design-School of Internationl Hair Styling-Wichita
0287	1	Baker University
0288	1	Baker University School of Professional and Graduate Studies and Graduate School of Education
0289	1	Barton County Community College
0290	1	Bethany College
0291	1	Bryan College
0292	1	Central Baptist Theological Seminary
0293	1	Cleveland Chiropractic College
0294	1	Coffeyville Technical Campus
0295	1	Fort Scott Community College
0296	1	Friends University
0297	1	Garden City Community College
0298	1	Haskell Indian Nations University
0299	1	Highland Community College
0300	1	Independence Community College
0301	1	Johnson County Community College
0302	1	Kansas State University
0303	1	National American University-Overland Park
0304	1	Neosho County Community College
0305	1	North Central Kansas Technical College
0306	1	Old Town Barber College
0307	1	Charles of Italy Beauty College
0308	1	Collins College
0309	1	Southwestern College
0310	1	Sterling College
0311	1	University of Saint Mary
0312	1	Xenon International Academy
0313	1	Asbury Theological Seminary
0314	1	Bellarmine University
0315	1	Brescia University
0316	1	Clear Creek Baptist Bible College
0317	1	Daymar College-Owensboro Campus
0318	1	Daymar College-Paducah Main
0319	1	Empire Beauty School-Chenoweth
0320	1	Empire Beauty School-Dixie
0321	1	Empire Beauty School-Highland
0322	1	Empire Beauty School-Hurstborne
0323	1	Employment Solutions-College for Technical Education
0324	1	Galen College of Nursing-Louisville
0325	1	Henderson Community College
0326	1	Interactive College of Technology
0327	1	ITT Technical Institute-Lexington
0328	1	ITT Technical Institute-Louisville
0329	1	Madisonville Community College
0330	1	MedTech College–Lexington Campus
0331	1	Midway College
0332	1	National College-Lexington
0333	1	Paul Mitchell the School-Louisville
0334	1	Pikeville College
0335	1	Somerset Community College
0336	1	Spalding University
0337	1	Sullivan College of Technology and Design
0338	1	Thomas More College
0339	1	Transylvania University
0340	1	Union College London Center
0341	1	University of Kentucky
0342	1	Western Kentucky University
0343	1	Empire Beauty School-Chandler
0344	1	Empire Beauty School-North Tucson
0345	1	Empire Beauty School-Paradise Valley
0346	1	Everest College-Mesa
0347	1	Frank Lloyd Wright School of Architecture
0348	1	Alden's School of Cosmetology
0349	1	Aveda Institute-Lafayette
0350	1	Baton Rouge College
0351	1	Baton Rouge General Medical Center School of Nursing
0352	1	Blue Cliff College
0353	1	Blue Cliff College-Lafayette
0354	1	Bossier Parish Community College
0355	1	Capital Area Technical College-Baton Rouge Campus
0356	1	Delta School of Business and Technology
0357	1	ITI Technical College
0358	1	Louisiana College
0359	1	Louisiana State University Eunice
0360	1	Louisiana State University Health Sciences Center at New Orleans
0361	1	Louisiana State University-Shreveport
0362	1	Louisiana Tech University
0363	1	Loyola University New Orleans
0364	1	McNeese State University
0365	1	Medical Training College
0366	1	Medvance Institute of Baton Rouge
0367	1	Moore Career College
0368	1	Nunez Community College
0369	1	Regency Beauty Institute-Shreveport
0370	1	Remington College-Baton Rouge
0371	1	Remington College-Shreveport
0372	1	South Louisiana Beauty College
0373	1	Sowela Technical Community College
0374	1	Stage One-The Hair School
0375	1	Tulane University of Louisiana
0376	1	Unitech Training Academy-Houma
0377	1	American Career Institute–Braintree
0378	1	American Career Institute–Framingham
0379	1	Anna Maria College
0380	1	Assabet Valley Regional Technical School
0381	1	Babson College
0382	1	Bancroft School of Massage Therapy
0383	1	Golf Academy of America
0384	1	International Baptist College
0385	1	Maricopa Skill Center
0386	1	Mesa Community College
0387	1	Bard College at Simon's Rock
0388	1	Bay Path College
0389	1	Becker College
0390	1	Blessed John XXIII National Seminary
0391	1	Boston Architectural College
0392	1	Boston University
0393	1	Brandeis University
0394	1	Bridgewater State University
0395	1	Bunker Hill Community College
0396	1	Butera School of Art at Fisher College
0397	1	Cape Cod Community College
0398	1	Clark University
0399	1	Curry College
0400	1	Emerson College
0401	1	Empire Beauty School-Boston
0402	1	Empire Beauty School-Lowell
0403	1	Episcopal Divinity School
0404	1	Everest Institute-Brighton
0405	1	Framingham State University
0406	1	Gordon College
0407	1	Hellenic College-Holy Cross Greek Orthodox School of Theology
0408	1	Kay Harvey Academy of Hair Design
0409	1	Lasell College
0410	1	Lawrence Memorial Hospital School of Nursing
0411	1	Lincoln Technical Institute
0412	1	Lowell Academy Hairstyling Institute
0413	1	Mansfield Beauty Schools
0414	1	Massachusetts School of Law
0415	1	Massachusetts School of Professional Psychology
0416	1	Massasoit Community College
0417	1	Middlesex Community College
0418	1	Mildred Elley
0419	1	Montserrat College of Art
0420	1	National Aviation Academy of New England
0421	1	National Graduate School of Quality Management
0422	1	New England College of Business and Finance
0423	1	New England Law-Boston
0424	1	Newbury College-Brookline
0425	1	Nichols College
0426	1	Northern Essex Community College
0427	1	Roxbury Community College
0428	1	Salter College-West Boylston
0429	1	Shawsheen Valley Regional Vocational Technical School
0430	1	Smith College
0431	1	H Councill Trenholm State Technical College
0432	1	Ottawa University-Phoenix
0433	1	Phoenix School of Law
0434	1	Phoenix Seminary
0435	1	Pima Community College
0436	1	Pima Medical Institute
0437	1	Spa Tech Institute-Ipswich
0438	1	Spa Tech Institute-Westboro
0439	1	Springfield College
0440	1	The Art Institute of Boston at Lesley University
0441	1	The Boston Conservatory
0442	1	The Salter School-Tewksbury Campus
0443	1	Universal Technical Institute of Massachusetts Inc
0444	1	University of Massachusetts Medical School Worcester
0445	1	University of Massachusetts-Dartmouth
0446	1	University of Massachusetts-Lowell
0447	1	University of Phoenix-Boston Campus
0448	1	Upper Cape Cod Regional Technical School
0449	1	Urban College of Boston
0450	1	Western New England College
0451	1	Williams College
0452	1	Worcester State University
0453	1	American Career Institute
0454	1	Baltimore City Community College
0455	1	Baltimore School of Massage
0456	1	Carroll Community College
0457	1	Chesapeake College
0458	1	Kaplan University-Hagerstown Campus
0459	1	Maple Springs Baptist Bible College and Seminary
0460	1	Maryland Beauty Academy of Essex
0461	1	McDaniel College
0462	1	Medix School
0463	1	Mount St. Mary's University
0464	1	National Labor College
0465	1	Robert Paul Academy of Cosmetology Arts &amp; Sciences
0466	1	Salisbury University
0467	1	Stevenson University
0468	1	Strayer University-Anne Arundel Campus
0469	1	The Community College of Baltimore County
0470	1	The Temple-A Paul Mitchell Partner School
0471	1	Washington College
0472	1	Pima Medical Institute
0473	1	Refrigeration School Inc
0474	1	Regency Beauty Institute-East Tucson
0475	1	Regency Beauty Institute-Metro Center
0476	1	Regency Beauty Institute-North Tucson
0477	1	Southwest College of Naturopathic Medicine &amp; Health Sciences
0478	1	Birthwise Midwifery School
0479	1	Eastern Maine Community College
0480	1	Empire Beauty School-Bangor
0481	1	Empire Beauty School-Maine
0482	1	Husson University
0483	1	Intercoast Career Institute
0484	1	Kaplan University-Maine Campus
0485	1	Kennebec Valley Community College
0486	1	Maine College of Art
0487	1	Maine Maritime Academy
0488	1	Spa Tech Institute
0489	1	Spa Tech Institute-Westbrook
0490	1	University of Maine
0491	1	University of Maine at Farmington
0492	1	University of Maine at Presque Isle
0493	1	York County Community College
0494	1	Albion College
0495	1	Alpena Community College
0496	1	Ann Arbor Institute of Massage Therapy
0497	1	Baker College of Cadillac
0498	1	Baker College of Owosso
0499	1	Baker College of Port Huron
0500	1	Career Quest Learning Centers Inc-Jackson
0501	1	Carnegie Institute
0502	1	Central Michigan University
0503	1	Cornerstone University
0504	1	Davenport University
0505	1	Davenport University-Battle Creek Location
0506	1	Davenport University-Kalamazoo Location
0507	1	Davenport University-Midland Location
0508	1	Davenport University-Saginaw Location
0509	1	DeVry University-Michigan
0510	1	Dorsey Business Schools-Saginaw
0511	1	Ecumenical Theological Seminary
0512	1	Everest Institute-Dearborn
0513	1	Everest Institute-Detroit
0514	1	Gogebic Community College
0515	1	Great Lakes Christian College
0516	1	Hope College
0517	1	Studio Academy of Beauty
0518	1	ITT Technical Institute-Canton
0519	1	ITT Technical Institute-Swartz Creek
0520	1	ITT Technical Institute-Troy
0521	1	Jackson Community College
0522	1	Kalamazoo Valley Community College
0523	1	Macomb Community College
0524	1	Madonna University
0525	1	Michigan College of Beauty
0526	1	Michigan College of Beauty-Monroe
0527	1	Michigan School of Professional Psychology
0528	1	Michigan State University
0529	1	Michigan Technological University
0530	1	Mid Michigan Community College
0531	1	Monroe County Community College
0532	1	North Central Michigan College
0533	1	Northwestern Michigan College
0534	1	Oakland Community College
0535	1	Olivet College
0536	1	P&amp;A Scholars Beauty School
0537	1	Port Huron Cosmetology College
0538	1	Regency Beauty Institute-Grand Rapids
0539	1	Ross Medical Education Center-Brighton
0540	1	Ross Medical Education Center-Canton
0541	1	Ross Medical Education Center-Davison
0542	1	Sanford-Brown College
0543	1	The Art Institute of Michigan
0544	1	The Robert B Miller College
0545	1	Virginia Farrell Beauty School
0546	1	Virginia Farrell Beauty School
0547	1	Virginia Farrell Beauty School
0548	1	Western Michigan University
0549	1	Wright Beauty Academy
0550	1	American Academy of Acupuncture and Oriental Medicine
0551	1	Anoka-Ramsey Community College
0552	1	Anoka-Ramsey Community College-Cambridge Campus
0553	1	Bethany Lutheran College
0554	1	Bethel University
0555	1	Carleton College
0556	1	Central Lakes College-Staples Campus
0557	1	Concordia College at Moorhead
0558	1	University of Arizona
0559	1	University of Phoenix-Phoenix-Hohokam Campus
0560	1	Yavapai College
0561	1	DeVry University-Minnesota
0562	1	Empire Beauty School-Eden Prairie
0563	1	Everest Institute-Eagan
0564	1	Fond du Lac Tribal and Community College
0565	1	Herzing University
0566	1	Institute of Production and Recording
0567	1	Itasca Community College
0568	1	Le Cordon Bleu College of Culinary Arts
0569	1	Luther Seminary
0570	1	M State - Moorhead Campus
0571	1	Minnesota School of Business
0572	1	Minnesota School of Business
0573	1	Minnesota School of Cosmetology
0574	1	Model College of Hair Design
0575	1	National American University-Bloomington
0576	1	National American University-Roseville
0577	1	Northland Community and Technical College - East Grand Forks
0578	1	Northwest Technical College
0579	1	Northwestern Health Sciences University
0580	1	Park Avenue School of Cosmetology
0581	1	Rasmussen College-Blaine
0582	1	Rasmussen College-Eagan
0583	1	Rasmussen College-Minnesota
0584	1	Regency Beauty Institute-Blaine
0585	1	Regency Beauty Institute-Minnetonka
0586	1	Ridgewater College
0587	1	Rochester Community and Technical College
0588	1	South Central &#160;College-Faribault
0589	1	South Central College
0590	1	Southwest Minnesota State University
0591	1	St. Olaf College
0592	1	University of Minnesota-Twin Cities
0593	1	University of St Thomas
0594	1	Vermilion Community College
0595	1	White Earth Tribal and Community College
0596	1	A T Still University of Health Sciences
0597	1	Avila University
0598	1	Abram Friedman Occupational Center
0599	1	Academy of Art University
0600	1	Academy of Chinese Culture and Health Sciences
0601	1	Academy of Hair Design-Poway
0602	1	Acupuncture and Integrative Medicine College-Berkeley
0603	1	Advanced College
0604	1	Alameda Beauty College
0605	1	Bryan College
0606	1	Central Christian College of the Bible
0607	1	Central Methodist University-College of Liberal Arts &amp; Sciences
0608	1	City Vision College
0609	1	Columbia Area Vocational Technical School
0610	1	Covenant Theological Seminary
0611	1	CoxHealth School of Diagnostic Medical Sonography
0612	1	CoxHealth School of Radiologic Technology
0613	1	Culver-Stockton College
0614	1	Elaine Steven Beauty College
0615	1	Eldon Career Center
0616	1	Everest College-Springfield Campus
0617	1	Fontbonne University
0618	1	Grantham University
0619	1	Harris-Stowe State University
0620	1	Healing Arts Center
0621	1	Heritage College-Kansas City
0622	1	Kansas City Art Institute
0623	1	Kennett Career and Technology Center
0624	1	Kenrick Glennon Seminary
0625	1	Le Cordon Bleu College of Culinary Arts
0626	1	Lincoln University
0627	1	Lindenwood University
0628	1	Messenger College
0629	1	Metropolitan Community College-Blue River
0630	1	Metropolitan Community College-Maple Woods
0631	1	Mineral Area College
0632	1	Missouri Baptist University
0633	1	Moberly Area Technical Center
0634	1	Nazarene Theological Seminary
0635	1	Nevada Regional Technical Center
0636	1	Nichols Career Center
0637	1	North Central Missouri College
0638	1	Northland Career Center
0639	1	Northwest Missouri State University
0640	1	Ozark Christian College
0641	1	Ranken Technical College
0642	1	Regency Beauty Institute-Kansas City
0643	1	Rolla Technical Institute
0644	1	Saint Louis Christian College
0645	1	Saint Luke's College of Health Sciences
0646	1	Saint Paul School of Theology
0647	1	Alliant International University-Fresno
0648	1	Alliant International University-Sacramento
0649	1	Alliant International University-San Francisco
0650	1	American College of Healthcare
0651	1	South Central Career Center
0652	1	St Charles Community College
0653	1	Stephens College
0654	1	Three Rivers Community College
0655	1	Trend Setters School of Cosmetology
0656	1	University of Missouri-Columbia
0657	1	University of Phoenix-Kansas City Campus
0658	1	University of Phoenix-Springfield Campus
0659	1	Vatterott College
0660	1	Vatterott College
0661	1	Vatterott College-St Charles Campus
0662	1	Wentworth Military Academy
0663	1	Westminster College
0664	1	Coahoma Community College
0665	1	Copiah-Lincoln Community College
0666	1	Copiah-Lincoln Community College Simpson County Center
0667	1	Delta Technical College
0668	1	East Central Community College
0669	1	Healing Touch School of Massage Therapy
0670	1	Holmes Community College
0671	1	Itawamba Community College
0672	1	Magnolia College of Cosmetology
0673	1	Mississippi Valley State University
0674	1	Southwest Mississippi Community College
0675	1	Tougaloo College
0676	1	University of Mississippi Main Campus
0677	1	University of Southern Mississippi
0678	1	American College of Traditional Chinese Medicine
0679	1	American Institute of Massage Therapy
0680	1	Anthem College-Sacramento
0681	1	Academy of Cosmetology Inc
0682	1	Dawson Community College
0683	1	Little Big Horn College
0684	1	Miles Community College
0685	1	Montana State University
0686	1	Montana State University-Billings-College of Technology
0687	1	Montana State University-Northern
0688	1	Alamance Community College
0689	1	Apex School of Theology
0690	1	Appalachian State University
0691	1	Brevard College
0692	1	Cabarrus College of Health Sciences
0693	1	Campbell University
0694	1	Cape Fear Community College
0695	1	Carolina School of Broadcasting
0696	1	Carteret Community College
0697	1	Catawba College
0698	1	Central Piedmont Community College
0699	1	Charlotte School of Law
0700	1	Craven Community College
0701	1	Daoist Traditions College of Chinese Medical Arts
0702	1	Davidson College
0703	1	Davidson County Community College
0704	1	Durham Technical Community College
0705	1	Edgecombe Community College
0706	1	Elizabeth City State University
0707	1	Elon University
0708	1	Empire Beauty School-Pineville
0709	1	Fayetteville State University
0710	1	Gaston College
0711	1	Greensboro College
0712	1	Halifax Community College
0713	1	High Point University
0714	1	ITT Technical Institute–High Point
0715	1	Johnson &amp; Wales University-Charlotte
0716	1	Johnston Community College
0717	1	Lees-McRae College
0718	1	Livingstone College
0719	1	Louisburg College
0720	1	Miller-Motte College-Wilmington
0721	1	Mitchell Community College
0722	1	Montreat College
0723	1	Argosy University-Los Angeles
0724	1	Argosy University-San Francisco Bay Area
0725	1	Associated Technical College
0726	1	NASCAR Technical Institute
0727	1	Nash Community College
0728	1	North Carolina A &amp; T State University
0729	1	North Carolina Central University
0730	1	North Carolina Wesleyan College
0731	1	Randolph Community College
0732	1	Richmond Community College
0733	1	Rowan-Cabarrus Community College
0734	1	Stanly Community College
0735	1	Strayer University-North Charlotte
0736	1	The Hair Design School-Durham
0737	1	University of North Carolina at Chapel Hill
0738	1	University of North Carolina at Greensboro
0739	1	University of Phoenix-Charlotte Campus
0740	1	Vance-Granville Community College
0741	1	Wake Technical Community College
0742	1	Warren Wilson College
0743	1	Watts School of Nursing
0744	1	Wilkes Community College
0745	1	Wilson Community College
0746	1	Jamestown College
0747	1	Josef's School of Hair Design Inc
0748	1	Josef's School of Hair Design Inc
0749	1	JZ Trend Academy Paul Mitchell Partner School
0750	1	Medcenter One College of Nursing
0751	1	North Dakota State University-Main Campus
0752	1	Salon Professional Academy
0753	1	Alegent Health School of Radiologic Technology
0754	1	Chadron State College
0755	1	Doane College-Lincoln Grand Island and Master
0756	1	Hastings College
0757	1	Mary Lanning Memorial HealthCare School of Radiologic Technology
0758	1	Myotherapy Institute
0759	1	Bay Vista College of Beauty
0760	1	Bethesda Christian University
0761	1	BioHealth College
0762	1	Borner's Barber College
0763	1	Brandman University, Part of the Chapman University System
0764	1	Omaha School of Massage and Healthcare of Herzing University
0765	1	Southeast Community College Area
0766	1	The Creative Center
0767	1	Xenon International Academy II Inc
0768	1	Dartmouth College
0769	1	Empire Beauty School-Hooksett
0770	1	Granite State College
0771	1	Keene State College
0772	1	Lakes Region Community College
0773	1	Nashua Community College
0774	1	New England School of Hair Design Inc
0775	1	Portsmouth Beauty School of Hair Design
0776	1	University of New Hampshire at Manchester
0777	1	Anthem Institute-Cherry Hill
0778	1	Atlantic Beauty &amp; Spa Academy LLC
0779	1	Atlantic Cape Community College
0780	1	Berkeley College
0781	1	Bloomfield College
0782	1	Brookdale Community College
0783	1	Capri Institute of Hair Design
0784	1	Central Career Institute LLC
0785	1	Concorde School of Hair Design-Bloomfield
0786	1	County College of Morris
0787	1	Cumberland County College
0788	1	Drake College of Business
0789	1	Drew University
0790	1	Eastern International College
0791	1	Eastwick College
0792	1	Fairleigh Dickinson University-Metropolitan Campus
0793	1	Felician College
0794	1	Georgian Court University
0795	1	Gloucester County College
0796	1	Holy Name Medical Center School of Nursing
0797	1	Kean University
0798	1	Keyskills Learning
0799	1	Bryan College
0800	1	Bryan College
0801	1	Butte College
0802	1	California Academy-A Paul Mitchell Partner School
0803	1	California Baptist University
0804	1	California Career College
0805	1	California Career School
0806	1	California Christian College
0807	1	Lincoln Technical Institute
0808	1	Lincoln Technical Institute
0809	1	Montclair State University
0810	1	Muhlenberg Harold B &amp; Dorothy A Snyder Schools-School of Imaging
0811	1	Natural Motion Institute of Hair Design
0812	1	New Brunswick Theological Seminary
0813	1	Parisian Beauty School
0814	1	PC Age
0815	1	PC Age II
0816	1	Prism Career Institute
0817	1	Raritan Valley Community College
0818	1	Rider University
0819	1	Rutgers University-Camden
0820	1	Rutgers University-New Brunswick
0821	1	Rutgers University-Newark
0822	1	Saint Peter's College
0823	1	StenoTech Career Institute
0824	1	The College of New Jersey
0825	1	Brown Mackie College-Albuquerque
0826	1	Carrington College-Albuquerque
0827	1	Clovis Community College
0828	1	Computer Career Center-Las Cruces
0829	1	Eastern New Mexico University-Main Campus
0830	1	New Mexico Institute of Mining and Technology
0831	1	New Mexico State University-Carlsbad
0832	1	New Mexico State University-Dona Ana
0833	1	St John's College
0834	1	Universal Therapeutic Massage Institute
0835	1	University of New Mexico-Los Alamos Campus
0836	1	University of the Southwest
0837	1	Western New Mexico University
0838	1	Heritage Christian University
0839	1	Huntsville Bible College
0840	1	Jacksonville State University
0841	1	James H Faulkner State Community College
0842	1	John C Calhoun State Community College
