university	collegetoolkit	type
0298	1	Private not-for-profit
0299	1	Private not-for-profit
0300	1	Private for-profit
0301	1	Private not-for-profit
0302	1	Private for-profit
0303	1	Public
0304	1	Private not-for-profit
0305	1	Private not-for-profit
0306	1	Private not-for-profit
0307	1	Private not-for-profit
0308	1	Public
0309	1	Private for-profit
0310	1	Public
0311	1	Public
0312	1	Private for-profit
0313	1	Private for-profit
0314	1	Private for-profit
0315	1	Public
0316	1	Private for-profit
0317	1	Public
0318	1	Public
0319	1	Public
0320	1	Public
0321	1	Public
0322	1	Private for-profit
0323	1	Private for-profit
0324	1	Private for-profit
0325	1	Private not-for-profit
0326	1	Private not-for-profit
0327	1	Public
0328	1	Private for-profit
0329	1	Private not-for-profit
0330	1	Public
0331	1	Public
0332	1	Public
0333	1	Public
0334	1	Public
0335	1	Private for-profit
0336	1	Private for-profit
0337	1	Private for-profit
0338	1	Private for-profit
0339	1	Public
0340	1	Private for-profit
0341	1	Private for-profit
0342	1	Public
0343	1	Private for-profit
0344	1	Public
0345	1	Private for-profit
0346	1	Public
0347	1	Public
0348	1	Public
0349	1	Public
0350	1	Public
0351	1	Public
0352	1	Public
0353	1	Public
0354	1	Public
0355	1	Public
0356	1	Public
0357	1	Public
0358	1	Public
0359	1	Public
0360	1	Private for-profit
0361	1	Private for-profit
0362	1	Public
0363	1	Private not-for-profit
0364	1	Private not-for-profit
0365	1	Private not-for-profit
0366	1	Public
0367	1	Private not-for-profit
0368	1	Private not-for-profit
0369	1	Public
0370	1	Public
0371	1	Public
0372	1	Public
0373	1	Private not-for-profit
0374	1	Public
0375	1	Private for-profit
0376	1	Private for-profit
0377	1	Public
0378	1	Private not-for-profit
0379	1	Public
0380	1	Public
0381	1	Public
0382	1	Public
0383	1	Public
0384	1	Private for-profit
0385	1	Private for-profit
0386	1	Private for-profit
0387	1	Private for-profit
0388	1	Private for-profit
0389	1	Private for-profit
0390	1	Public
0391	1	Private for-profit
0392	1	Private for-profit
0393	1	Private not-for-profit
0394	1	Private for-profit
0395	1	Private for-profit
0396	1	Private for-profit
0397	1	Private not-for-profit
0398	1	Private for-profit
0399	1	Private not-for-profit
0400	1	Private not-for-profit
0401	1	Private for-profit
0402	1	Private for-profit
0403	1	Private for-profit
0404	1	Private not-for-profit
0405	1	Private for-profit
0406	1	Private for-profit
0407	1	Private for-profit
0408	1	Public
0409	1	Private for-profit
0410	1	Public
0411	1	Public
0412	1	Private for-profit
0413	1	Private for-profit
0414	1	Public
0415	1	Public
0416	1	Private for-profit
0417	1	Private for-profit
0418	1	Public
0419	1	Public
0420	1	Private for-profit
0421	1	Public
0422	1	Private not-for-profit
0423	1	Private not-for-profit
0424	1	Public
0425	1	Private not-for-profit
0426	1	Private for-profit
0427	1	Public
0428	1	Private not-for-profit
0429	1	Public
0430	1	Public
0431	1	Public
0432	1	Private not-for-profit
0433	1	Public
0434	1	Public
0435	1	Public
0436	1	Public
0437	1	Public
0438	1	Public
0439	1	Public
0440	1	Public
0441	1	Public
0442	1	Private for-profit
0443	1	Public
0444	1	Public
0445	1	Private not-for-profit
0446	1	Private not-for-profit
0447	1	Private not-for-profit
0448	1	Private not-for-profit
0449	1	Private not-for-profit
0450	1	Public
0451	1	Private not-for-profit
0452	1	Private not-for-profit
0453	1	Private not-for-profit
0454	1	Private not-for-profit
0455	1	Private not-for-profit
0456	1	Private not-for-profit
0457	1	Private not-for-profit
0458	1	Private not-for-profit
0459	1	Private not-for-profit
0460	1	Private not-for-profit
0461	1	Private not-for-profit
0462	1	Private not-for-profit
0463	1	Private not-for-profit
0464	1	Private not-for-profit
0465	1	Private not-for-profit
0466	1	Private not-for-profit
0467	1	Private not-for-profit
0468	1	Private not-for-profit
0469	1	Private for-profit
0470	1	Private not-for-profit
0471	1	Public
0472	1	Public
0473	1	Public
0474	1	Public
0475	1	Private for-profit
0476	1	Private for-profit
0477	1	Private not-for-profit
0478	1	Public
0479	1	Public
0480	1	Private for-profit
0481	1	Public
0482	1	Public
0483	1	Private for-profit
0484	1	Private not-for-profit
0485	1	Public
0486	1	Public
0487	1	Public
0488	1	Public
0489	1	Public
0490	1	Public
0491	1	Public
0492	1	Public
0493	1	Private not-for-profit
0494	1	Private not-for-profit
0495	1	Private not-for-profit
0496	1	Private not-for-profit
0497	1	Private not-for-profit
0498	1	Private not-for-profit
0499	1	Private not-for-profit
0500	1	Private not-for-profit
0501	1	Private not-for-profit
0502	1	Private not-for-profit
0503	1	Private not-for-profit
0504	1	Private not-for-profit
0505	1	Private not-for-profit
0506	1	Public
0507	1	Private for-profit
0508	1	Private for-profit
0509	1	Private not-for-profit
0510	1	Public
0511	1	Private not-for-profit
0512	1	Private not-for-profit
0513	1	Public
0514	1	Private not-for-profit
0515	1	Private not-for-profit
0516	1	Public
0517	1	Private not-for-profit
0518	1	Public
0519	1	Public
0520	1	Public
0521	1	Public
0522	1	Public
0523	1	Private for-profit
0524	1	Private for-profit
0525	1	Public
0526	1	Public
0527	1	Public
0528	1	Public
0529	1	Public
0530	1	Public
0531	1	Public
0532	1	Public
0533	1	Public
0534	1	Public
0535	1	Private for-profit
0536	1	Private not-for-profit
0537	1	Private not-for-profit
0538	1	Private for-profit
0539	1	Private not-for-profit
0540	1	Private for-profit
0541	1	Private for-profit
0542	1	Private not-for-profit
0543	1	Private not-for-profit
0544	1	Private not-for-profit
0545	1	Private for-profit
0546	1	Private for-profit
0547	1	Private for-profit
0548	1	Private for-profit
0549	1	Private not-for-profit
0550	1	Private for-profit
0551	1	Private for-profit
0552	1	Public
0553	1	Private not-for-profit
0554	1	Private not-for-profit
0555	1	Private not-for-profit
0556	1	Public
0557	1	Private for-profit
0558	1	Private not-for-profit
0559	1	Public
0560	1	Public
0561	1	Private for-profit
0562	1	Public
0563	1	Public
0564	1	Public
0565	1	Public
0566	1	Public
0567	1	Public
0568	1	Private for-profit
0569	1	Public
0570	1	Public
0571	1	Public
0572	1	Public
0573	1	Public
0574	1	Private not-for-profit
0575	1	Private not-for-profit
0576	1	Private not-for-profit
0577	1	Private for-profit
0578	1	Public
0579	1	Public
0580	1	Public
0581	1	Public
0582	1	Public
0583	1	Public
0584	1	Public
0585	1	Private for-profit
0586	1	Private not-for-profit
0587	1	Private not-for-profit
0588	1	Private not-for-profit
0589	1	Private not-for-profit
0590	1	Private not-for-profit
0591	1	Private for-profit
0592	1	Private not-for-profit
0593	1	Private for-profit
0594	1	Private not-for-profit
0595	1	Private not-for-profit
0596	1	Private not-for-profit
0597	1	Private not-for-profit
0598	1	Public
0599	1	Private for-profit
0600	1	Private for-profit
0601	1	Private not-for-profit
0602	1	Public
0603	1	Private not-for-profit
0604	1	Private not-for-profit
0605	1	Private not-for-profit
0606	1	Private not-for-profit
0607	1	Public
0608	1	Private for-profit
0609	1	Private not-for-profit
0610	1	Public
0611	1	Private for-profit
0612	1	Private for-profit
0613	1	Private not-for-profit
0614	1	Private not-for-profit
0615	1	Private not-for-profit
0616	1	Private not-for-profit
0617	1	Private for-profit
0618	1	Private not-for-profit
0619	1	Public
0620	1	Public
0621	1	Public
0622	1	Private for-profit
0623	1	Private for-profit
0624	1	Private not-for-profit
0625	1	Private not-for-profit
0626	1	Private for-profit
0627	1	Private for-profit
0628	1	Private for-profit
0629	1	Private not-for-profit
0630	1	Public
0631	1	Private for-profit
0632	1	Public
0633	1	Private for-profit
0634	1	Public
0635	1	Public
0636	1	Private for-profit
0637	1	Public
0638	1	Public
0639	1	Public
0640	1	Public
0641	1	Private for-profit
0642	1	Public
0643	1	Private for-profit
0644	1	Private for-profit
0645	1	Public
0646	1	Public
0647	1	Private for-profit
0648	1	Private for-profit
0649	1	Private for-profit
0650	1	Private for-profit
0651	1	Private not-for-profit
0652	1	Public
0653	1	Public
0654	1	Public
0655	1	Public
0656	1	Public
0657	1	Public
0658	1	Public
0659	1	Private not-for-profit
0660	1	Private not-for-profit
0661	1	Private not-for-profit
0662	1	Private not-for-profit
0663	1	Private for-profit
0664	1	Private for-profit
0665	1	Private not-for-profit
0666	1	Private not-for-profit
0667	1	Private not-for-profit
0668	1	Private not-for-profit
0669	1	Private for-profit
0670	1	Private not-for-profit
0671	1	Public
0672	1	Public
0673	1	Private not-for-profit
0674	1	Public
0675	1	Private for-profit
0676	1	Public
0677	1	Public
0678	1	Public
0679	1	Private for-profit
0680	1	Private for-profit
0681	1	Public
0682	1	Private not-for-profit
0683	1	Private for-profit
0684	1	Public
0685	1	Private for-profit
0686	1	Public
0687	1	Private not-for-profit
0688	1	Private not-for-profit
0689	1	Private not-for-profit
0690	1	Private not-for-profit
0691	1	Private for-profit
0692	1	Private not-for-profit
0693	1	Private not-for-profit
0694	1	Private not-for-profit
0695	1	Private not-for-profit
0696	1	Public
0697	1	Public
0698	1	Public
0699	1	Private not-for-profit
0700	1	Private not-for-profit
0701	1	Private not-for-profit
0702	1	Private not-for-profit
0703	1	Private not-for-profit
0704	1	Private not-for-profit
0705	1	Public
0706	1	Public
0707	1	Public
0708	1	Public
0709	1	Public
0710	1	Public
0711	1	Private for-profit
0712	1	Private for-profit
0713	1	Private not-for-profit
0714	1	Public
0715	1	Public
0716	1	Public
0717	1	Public
0718	1	Public
0719	1	Public
0720	1	Public
0721	1	Public
0722	1	Public
0723	1	Private for-profit
0724	1	Public
0725	1	Public
0726	1	Public
0727	1	Public
0728	1	Public
0729	1	Private for-profit
0730	1	Private not-for-profit
0731	1	Private not-for-profit
0732	1	Private for-profit
0733	1	Private not-for-profit
0734	1	Private not-for-profit
0735	1	Public
0736	1	Public
0737	1	Public
0738	1	Private not-for-profit
0739	1	Private not-for-profit
0740	1	Private not-for-profit
0741	1	Private not-for-profit
0742	1	Private not-for-profit
0743	1	Public
0744	1	Public
0745	1	Public
0746	1	Private for-profit
0747	1	Public
0748	1	Private for-profit
0749	1	Private for-profit
0750	1	Private for-profit
0751	1	Public
0752	1	Public
0753	1	Public
0754	1	Public
0755	1	Private for-profit
0756	1	Private for-profit
0757	1	Public
0758	1	Private not-for-profit
0759	1	Private not-for-profit
0760	1	Public
0761	1	Private not-for-profit
0762	1	Public
0763	1	Public
0764	1	Public
0765	1	Public
0766	1	Public
0767	1	Public
0768	1	Public
0769	1	Private for-profit
0770	1	Public
0771	1	Public
0772	1	Private not-for-profit
0773	1	Private not-for-profit
0774	1	Private not-for-profit
0775	1	Private not-for-profit
0776	1	Private not-for-profit
0777	1	Private not-for-profit
0778	1	Private for-profit
0779	1	Private not-for-profit
0780	1	Private for-profit
0781	1	Private not-for-profit
0782	1	Private for-profit
0783	1	Private not-for-profit
0784	1	Private not-for-profit
0785	1	Private not-for-profit
0786	1	Private not-for-profit
0787	1	Private not-for-profit
0788	1	Public
0789	1	Public
0790	1	Public
0791	1	Public
0792	1	Public
0793	1	Public
0794	1	Private not-for-profit
0795	1	Private not-for-profit
0796	1	Private not-for-profit
0797	1	Private not-for-profit
0798	1	Private not-for-profit
0799	1	Public
0800	1	Public
0801	1	Private for-profit
0802	1	Private not-for-profit
0803	1	Private not-for-profit
0804	1	Private not-for-profit
0805	1	Private not-for-profit
0806	1	Private not-for-profit
0807	1	Private for-profit
0808	1	Private not-for-profit
0809	1	Private not-for-profit
0810	1	Private not-for-profit
0811	1	Private not-for-profit
0812	1	Private not-for-profit
0813	1	Private not-for-profit
0814	1	Private not-for-profit
0815	1	Private not-for-profit
0816	1	Private not-for-profit
0817	1	Private not-for-profit
0818	1	Public
0819	1	Private not-for-profit
0820	1	Private not-for-profit
0821	1	Private not-for-profit
0822	1	Private not-for-profit
0823	1	Private not-for-profit
0824	1	Private not-for-profit
0825	1	Private not-for-profit
0826	1	Private for-profit
0827	1	Private not-for-profit
0828	1	Private for-profit
0829	1	Private not-for-profit
0830	1	Private not-for-profit
0831	1	Private not-for-profit
0832	1	Private not-for-profit
0833	1	Private not-for-profit
0834	1	Private not-for-profit
0835	1	Private not-for-profit
0836	1	Private not-for-profit
0837	1	Private not-for-profit
0838	1	Public
0839	1	Public
0840	1	Public
0841	1	Public
0842	1	Public
0843	1	Public
0844	1	Public
0845	1	Public
0846	1	Private for-profit
0847	1	Private not-for-profit
0848	1	Private not-for-profit
0849	1	Private for-profit
0850	1	Public
0851	1	Private not-for-profit
0852	1	Private not-for-profit
0853	1	Public
0854	1	Private not-for-profit
0855	1	Private not-for-profit
0856	1	Public
0857	1	Private for-profit
0858	1	Public
0859	1	Public
0860	1	Private not-for-profit
0861	1	Public
0862	1	Public
0863	1	Public
0864	1	Private not-for-profit
0865	1	Public
0866	1	Private for-profit
0867	1	Public
0868	1	Public
0869	1	Public
0870	1	Private for-profit
0871	1	Private for-profit
0872	1	Private for-profit
0873	1	Public
0874	1	Private for-profit
0875	1	Private not-for-profit
0876	1	Private for-profit
0877	1	Private not-for-profit
0878	1	Private not-for-profit
0879	1	Public
0880	1	Private for-profit
0881	1	Public
0882	1	Public
0883	1	Private not-for-profit
0884	1	Public
0885	1	Private not-for-profit
0886	1	Private not-for-profit
0887	1	Public
0888	1	Private for-profit
0889	1	Public
0890	1	Private for-profit
0891	1	Private for-profit
0892	1	Private not-for-profit
0893	1	Public
0894	1	Private for-profit
0895	1	Private not-for-profit
0896	1	Private not-for-profit
0897	1	Private not-for-profit
0898	1	Private not-for-profit
0899	1	Private not-for-profit
0900	1	Private not-for-profit
0901	1	Private not-for-profit
0902	1	Public
0903	1	Private not-for-profit
0904	1	Private not-for-profit
0905	1	Private not-for-profit
0906	1	Private for-profit
0907	1	Private for-profit
0908	1	Private not-for-profit
0909	1	Private not-for-profit
0910	1	Private not-for-profit
0911	1	Private not-for-profit
0912	1	Private not-for-profit
0913	1	Private not-for-profit
0914	1	Private not-for-profit
0915	1	Private not-for-profit
0916	1	Private not-for-profit
0917	1	Private for-profit
0918	1	Private for-profit
0919	1	Public
0920	1	Public
0921	1	Private for-profit
0922	1	Private for-profit
0923	1	Private not-for-profit
0924	1	Public
0925	1	Public
0926	1	Public
0927	1	Public
0928	1	Public
0929	1	Public
0930	1	Public
0931	1	Public
0932	1	Public
0933	1	Public
0934	1	Public
0935	1	Public
0936	1	Public
0937	1	Public
0938	1	Public
0939	1	Private not-for-profit
0940	1	Public
0941	1	Public
0942	1	Public
0943	1	Public
0944	1	Public
0945	1	Public
0946	1	Public
0947	1	Public
0948	1	Public
0949	1	Public
0950	1	Private for-profit
0951	1	Public
0952	1	Public
0953	1	Public
0954	1	Public
0955	1	Public
0956	1	Public
0957	1	Public
0958	1	Private for-profit
0959	1	Private for-profit
0960	1	Public
0961	1	Public
0962	1	Private not-for-profit
0963	1	Private not-for-profit
0964	1	Private not-for-profit
0965	1	Private not-for-profit
0966	1	Private not-for-profit
0967	1	Private not-for-profit
0968	1	Private for-profit
0969	1	Private not-for-profit
0970	1	Private not-for-profit
0971	1	Private not-for-profit
0972	1	Private not-for-profit
0973	1	Private for-profit
0974	1	Private not-for-profit
0975	1	Private not-for-profit
0976	1	Private not-for-profit
0977	1	Private not-for-profit
0978	1	Private not-for-profit
0979	1	Private not-for-profit
0980	1	Private not-for-profit
0981	1	Private not-for-profit
0982	1	Public
0983	1	Private not-for-profit
0984	1	Private not-for-profit
0985	1	Public
0986	1	Public
0987	1	Public
0988	1	Private not-for-profit
0989	1	Public
0990	1	Private not-for-profit
0991	1	Public
0992	1	Private not-for-profit
0993	1	Private for-profit
0994	1	Private not-for-profit
0995	1	Private not-for-profit
0996	1	Private not-for-profit
0997	1	Private not-for-profit
0998	1	Private not-for-profit
0999	1	Public
1000	1	Private for-profit
1001	1	Private not-for-profit
1002	1	Public
1003	1	Private for-profit
1004	1	Private for-profit
1005	1	Public
1006	1	Private for-profit
1007	1	Private for-profit
1008	1	Public
1009	1	Public
1010	1	Public
1011	1	Public
1012	1	Private for-profit
1013	1	Public
1014	1	Private for-profit
1015	1	Public
1016	1	Private for-profit
1017	1	Private for-profit
1018	1	Private for-profit
1019	1	Private for-profit
1020	1	Private for-profit
1021	1	Public
1022	1	Private for-profit
1023	1	Private for-profit
1024	1	Public
1025	1	Public
1026	1	Public
1027	1	Private for-profit
1028	1	Private for-profit
1029	1	Private for-profit
1030	1	Public
1031	1	Public
1032	1	Private for-profit
1033	1	Private for-profit
1034	1	Private for-profit
1035	1	Private for-profit
1036	1	Private for-profit
1037	1	Public
1038	1	Public
1039	1	Private for-profit
1040	1	Private for-profit
1041	1	Private for-profit
1042	1	Public
1043	1	Private for-profit
1044	1	Private for-profit
1045	1	Public
1046	1	Private for-profit
1047	1	Public
1048	1	Private for-profit
1049	1	Private for-profit
1050	1	Public
1051	1	Public
1052	1	Public
1053	1	Private not-for-profit
1054	1	Private not-for-profit
1055	1	Public
1056	1	Public
1057	1	Public
1058	1	Public
1059	1	Private not-for-profit
1060	1	Private not-for-profit
1061	1	Private not-for-profit
1062	1	Private not-for-profit
1063	1	Public
1064	1	Private for-profit
1065	1	Public
1066	1	Public
1067	1	Public
1068	1	Private for-profit
1069	1	Private for-profit
1070	1	Public
1071	1	Public
1072	1	Private for-profit
1073	1	Public
1074	1	Public
1075	1	Private for-profit
1076	1	Private not-for-profit
1077	1	Private not-for-profit
1078	1	Private for-profit
1079	1	Private for-profit
1080	1	Private not-for-profit
1081	1	Private not-for-profit
1082	1	Private not-for-profit
1083	1	Private for-profit
1084	1	Public
1085	1	Private not-for-profit
1086	1	Public
1087	1	Private not-for-profit
1088	1	Private not-for-profit
1089	1	Public
1090	1	Public
1091	1	Public
1092	1	Public
1093	1	Public
1094	1	Public
1095	1	Public
1096	1	Public
1097	1	Private for-profit
1098	1	Private not-for-profit
1099	1	Private not-for-profit
1100	1	Private not-for-profit
1101	1	Public
1102	1	Private not-for-profit
1103	1	Private not-for-profit
1104	1	Private not-for-profit
1105	1	Private not-for-profit
1106	1	Private not-for-profit
1107	1	Public
1108	1	Private not-for-profit
1109	1	Public
1110	1	Private not-for-profit
1111	1	Private not-for-profit
1112	1	Private not-for-profit
1113	1	Private not-for-profit
1114	1	Private not-for-profit
1115	1	Private not-for-profit
1116	1	Private not-for-profit
1117	1	Private not-for-profit
1118	1	Private not-for-profit
1119	1	Private not-for-profit
1120	1	Private not-for-profit
1121	1	Private not-for-profit
1122	1	Private not-for-profit
1123	1	Private not-for-profit
1124	1	Private not-for-profit
1125	1	Public
1126	1	Private not-for-profit
1127	1	Private not-for-profit
1128	1	Private not-for-profit
1129	1	Private not-for-profit
1130	1	Private not-for-profit
1131	1	Private not-for-profit
1132	1	Public
1133	1	Public
1134	1	Private not-for-profit
1135	1	Private not-for-profit
1136	1	Private not-for-profit
1137	1	Private not-for-profit
1138	1	Private not-for-profit
1139	1	Private not-for-profit
1140	1	Private not-for-profit
1141	1	Private not-for-profit
1142	1	Private not-for-profit
1143	1	Private not-for-profit
1144	1	Private for-profit
1145	1	Private for-profit
1146	1	Public
1147	1	Private for-profit
1148	1	Private not-for-profit
1149	1	Private not-for-profit
1150	1	Private not-for-profit
1151	1	Private not-for-profit
1152	1	Private not-for-profit
1153	1	Private not-for-profit
1154	1	Private not-for-profit
1155	1	Private not-for-profit
1156	1	Private for-profit
1157	1	Private for-profit
1158	1	Private for-profit
1159	1	Private for-profit
1160	1	Private not-for-profit
1161	1	Private for-profit
1162	1	Public
1163	1	Private for-profit
1164	1	Private for-profit
1165	1	Private for-profit
1166	1	Public
1167	1	Private for-profit
1168	1	Private for-profit
1169	1	Private for-profit
1170	1	Private for-profit
1171	1	Private for-profit
1172	1	Private not-for-profit
1173	1	Public
1174	1	Private for-profit
1175	1	Private for-profit
1176	1	Private for-profit
1177	1	Private for-profit
1178	1	Private not-for-profit
1179	1	Private for-profit
1180	1	Private not-for-profit
1181	1	Private for-profit
1182	1	Private for-profit
1183	1	Private not-for-profit
1184	1	Public
1185	1	Private for-profit
1186	1	Private for-profit
1187	1	Private for-profit
1188	1	Public
1189	1	Private not-for-profit
1190	1	Private for-profit
1191	1	Private not-for-profit
1192	1	Private for-profit
1193	1	Public
1194	1	Private for-profit
1195	1	Private for-profit
1196	1	Private for-profit
1197	1	Private for-profit
1198	1	Private for-profit
1199	1	Private for-profit
1200	1	Private for-profit
1201	1	Private for-profit
1202	1	Private for-profit
1203	1	Private for-profit
1204	1	Private not-for-profit
1205	1	Private not-for-profit
1206	1	Private not-for-profit
1207	1	Private not-for-profit
1208	1	Private not-for-profit
1209	1	Public
1210	1	Private for-profit
1211	1	Private not-for-profit
1212	1	Private not-for-profit
1213	1	Private not-for-profit
1214	1	Private not-for-profit
1215	1	Private not-for-profit
1216	1	Private for-profit
1217	1	Private not-for-profit
1218	1	Private for-profit
1219	1	Private for-profit
1220	1	Private for-profit
1221	1	Private not-for-profit
1222	1	Private not-for-profit
1223	1	Private not-for-profit
1224	1	Public
1225	1	Public
1226	1	Public
1227	1	Public
1228	1	Public
1229	1	Public
1230	1	Public
1231	1	Public
1232	1	Public
1233	1	Private not-for-profit
1234	1	Private not-for-profit
1235	1	Private not-for-profit
1236	1	Private not-for-profit
1237	1	Private not-for-profit
1238	1	Private not-for-profit
1239	1	Private not-for-profit
1240	1	Private not-for-profit
1241	1	Private for-profit
