university	usnews	type
0216	1	Private
0217	1	Private
0218	1	Private
0219	1	Public
0220	1	Private
0221	1	Private
0222	1	Public
0223	1	Private
0224	1	Private
0225	1	Private
0226	1	Private
0227	1	Private
0228	1	Private
0229	1	Private
0230	1	Private
0231	1	Private
0232	1	Private
0233	1	Private
0234	1	Private
0235	1	Public
0236	1	Private
0237	1	Private
0238	1	Private
0239	1	Private
0240	1	Public
0241	1	Private
0242	1	Private
0243	1	Private
0244	1	Private
0245	1	Private
0246	1	Private
0247	1	Public
0248	1	Private
0249	1	Private
0250	1	Private
0251	1	Private
0252	1	Private
0253	1	Private
0254	1	Private
0255	1	Public
0256	1	Private
0257	1	Public
0258	1	Private
0259	1	Private
0260	1	Private
0261	1	Private
0262	1	Private
0263	1	Private
0264	1	Private
0265	1	Private
0266	1	Private
0267	1	Public
0268	1	Public
0269	1	Public
0270	1	Private
0271	1	Public
0272	1	Private
0273	1	Public
0274	1	Private
0275	1	Private
0276	1	Private
0277	1	Private
0278	1	Private
0279	1	Public
0280	1	Public
0281	1	Private
0282	1	Private
0283	1	Public
0284	1	Public
0285	1	Public
0286	1	Public
0287	1	Public
0288	1	Public
0289	1	Private
0290	1	Private
0291	1	Private
0292	1	Public
0293	1	Public
0294	1	Public
0295	1	Public
0296	1	Public
0297	1	Private
0298	1	Private
0299	1	Public
0300	1	Private
0301	1	Private
0302	1	Private
0303	1	Private
0304	1	Private
0305	1	Private
0306	1	Public
0307	1	Private
0308	1	Private
0309	1	Private
0310	1	Private
0311	1	Private
0312	1	Private
0313	1	Private
0314	1	Private
0315	1	Private
0316	1	Private
0317	1	Private
0318	1	Private
0319	1	Private
0320	1	Private
0321	1	Public
0322	1	Private
0323	1	Private
0324	1	Private
0325	1	Private
0326	1	Private
0327	1	Private
0328	1	Private
0329	1	Private
0330	1	Private
0331	1	Private
0332	1	Private
0333	1	Private
0334	1	Private
0335	1	Private
0336	1	Public
0337	1	Private
0338	1	Private
0339	1	Private
0340	1	Private
0341	1	Public
0342	1	Private
0343	1	Public
0344	1	Public
0345	1	Private
0346	1	Private
0347	1	Private
0348	1	Private
0349	1	Public
0350	1	Public
0351	1	Private
0352	1	Private
0353	1	Private
0354	1	Public
0355	1	Private
0356	1	Public
0357	1	Public
0358	1	Public
0359	1	Public
0360	1	Private
0361	1	Private
0362	1	Private
0363	1	Private
0364	1	Private
0365	1	Public
0366	1	Public
0367	1	Private
0368	1	Public
0369	1	Private
0370	1	Private
0371	1	Private
0372	1	Private
0373	1	Private
0374	1	Private
0375	1	Private
0376	1	Private
0377	1	Private
0378	1	Private
0379	1	Private
0380	1	Public
0381	1	Public
0382	1	Private
0383	1	Private
0384	1	Private
0385	1	Private
0386	1	Private
0387	1	Public
0388	1	Public
0389	1	Private
0390	1	Private
0391	1	Public
0392	1	Public
0393	1	Private
0394	1	Private
0395	1	Private
0396	1	Private
0397	1	Private
0398	1	Private
0399	1	Private
0400	1	Private
0401	1	Private
0402	1	Public
0403	1	Public
0404	1	Private
0405	1	Private
0406	1	Private
0407	1	Private
0408	1	Private
0409	1	Private
0410	1	Public
0411	1	Private
0412	1	Public
0413	1	Private
0414	1	Private
0415	1	Private
0416	1	Private
0417	1	Private
0418	1	Private
0419	1	Private
0420	1	Private
0421	1	Private
0422	1	Public
0423	1	Public
0424	1	Private
0425	1	Private
0426	1	Private
0427	1	Public
0428	1	Public
0429	1	Private
0430	1	Private
0431	1	Private
0432	1	Private
0433	1	Private
0434	1	Private
0435	1	Public
0436	1	Private
0437	1	Private
0438	1	Public
0439	1	Private
0440	1	Private
0441	1	Private
0442	1	Private
0443	1	Private
0444	1	Private
0445	1	Private
0446	1	Private
0447	1	Private
0448	1	Private
0449	1	Private
0450	1	Private
0451	1	Private
0452	1	Private
0453	1	Public
0454	1	Private
0455	1	Public
0456	1	Public
0457	1	Public
0458	1	Private
0459	1	Private
0460	1	Public
0461	1	Private
0462	1	Private
0463	1	Public
0464	1	Public
0465	1	Public
0466	1	Private
0467	1	Private
0468	1	Private
0469	1	Private
0470	1	Private
0471	1	Private
0472	1	Private
0473	1	Private
0474	1	Private
0475	1	Public
0476	1	Private
0477	1	Public
0478	1	Public
0479	1	Private
0480	1	Private
0481	1	Private
0482	1	Private
0483	1	Private
0484	1	Private
0485	1	Public
0486	1	Private
0487	1	Public
0488	1	Public
0489	1	Private
0490	1	Public
0491	1	Private
0492	1	Public
0493	1	Public
0494	1	Public
0495	1	Public
0496	1	Private
0497	1	Private
0498	1	Private
0499	1	Public
0500	1	Public
0501	1	Public
0502	1	Private
0503	1	Private
0504	1	Private
0505	1	Private
0506	1	Public
0507	1	Private
0508	1	Private
0509	1	Private
0510	1	Private
0511	1	Private
0512	1	Private
0513	1	Private
0514	1	Private
0515	1	Private
0516	1	Public
0517	1	Private
0518	1	Public
0519	1	Private
0520	1	Private
0521	1	Private
0522	1	Private
0523	1	Private
0524	1	Private
0525	1	Private
0526	1	Private
0527	1	Private
0528	1	Private
0529	1	Private
0530	1	Private
0531	1	Private
0532	1	Private
0533	1	Private
0534	1	Private
0535	1	Private
0536	1	Private
0537	1	Private
0538	1	Private
0539	1	Private
0540	1	Private
0541	1	Private
0542	1	Public
0543	1	Private
0544	1	Private
0545	1	Private
0546	1	Private
0547	1	Private
0548	1	Private
0549	1	Public
0550	1	Private
0551	1	Private
0552	1	Private
0553	1	Private
0554	1	Private
0555	1	Private
0556	1	Public
0557	1	Public
0558	1	Public
0559	1	Public
0560	1	Public
0561	1	Public
0562	1	Public
0563	1	Public
0564	1	Public
0565	1	Public
0566	1	Public
0567	1	Public
0568	1	Public
0569	1	Public
0570	1	Private
0571	1	Private
0572	1	Private
0573	1	Private
0574	1	Private
0575	1	Public
0576	1	Private
0577	1	Private
0578	1	Private
0579	1	Public
0580	1	Private
0581	1	Private
0582	1	Private
0583	1	Public
0584	1	Private
0585	1	Private
0586	1	Private
0587	1	Private
0588	1	Private
0589	1	Private
0590	1	Private
0591	1	Private
0592	1	Private
0593	1	Private
0594	1	Private
0595	1	Private
0596	1	Private
0597	1	Private
0598	1	Public
0599	1	Private
0600	1	Private
0601	1	Public
0602	1	Public
0603	1	Private
0604	1	Public
0605	1	Public
0606	1	Public
0607	1	Private
0608	1	Public
0609	1	Public
0610	1	Private
0611	1	Private
0612	1	Private
0613	1	Private
0614	1	Private
0615	1	Private
0616	1	Private
0617	1	Public
0618	1	Private
0619	1	Private
0620	1	Private
0621	1	Private
0622	1	Private
0623	1	Public
0624	1	Public
0625	1	Private
0626	1	Private
0627	1	Private
0628	1	Private
0629	1	Private
0630	1	Private
0631	1	Public
0632	1	Public
0633	1	Public
0634	1	Public
0635	1	Public
0636	1	Public
0637	1	Public
0638	1	Public
0639	1	Public
0640	1	Public
0641	1	Public
0642	1	Public
0643	1	Public
0644	1	Public
0645	1	Public
0646	1	Public
0647	1	Public
0648	1	Public
0649	1	Public
0650	1	Public
0651	1	Public
0652	1	Public
0653	1	Public
0654	1	Public
0655	1	Public
0656	1	Private
0657	1	Private
0658	1	Public
0659	1	Public
0660	1	Public
0661	1	Public
0662	1	Public
0663	1	Private
0664	1	Private
0665	1	Public
0666	1	Private
0667	1	Private
0668	1	Private
0669	1	Private
0670	1	Private
0671	1	Public
0672	1	Public
0673	1	Private
0674	1	Public
0675	1	Public
0676	1	Public
0677	1	Public
0678	1	Public
0679	1	Private
0680	1	Public
0681	1	Public
0682	1	Public
0683	1	Private
0684	1	Public
0685	1	Public
0686	1	Public
0687	1	Public
0688	1	Private
0689	1	Private
0690	1	Public
0691	1	Public
0692	1	Public
0693	1	Public
0694	1	Public
0695	1	Public
0696	1	Private
0697	1	Public
0698	1	Public
0699	1	Public
0700	1	Public
0701	1	Public
0702	1	Public
0703	1	Public
0704	1	Public
0705	1	Public
0706	1	Private
0707	1	Public
0708	1	Public
0709	1	Public
0710	1	Private
0711	1	Public
0712	1	Public
0713	1	Public
0714	1	Public
0715	1	Private
0716	1	Public
0717	1	Private
0718	1	Public
0719	1	Public
0720	1	Public
0721	1	Public
0722	1	Public
0723	1	Public
0724	1	Public
0725	1	Public
0726	1	Public
0727	1	Private
0728	1	Public
0729	1	Public
0730	1	Private
0731	1	Public
0732	1	Public
0733	1	Public
0734	1	Private
0735	1	Private
0736	1	Private
0737	1	Public
0738	1	Private
0739	1	Private
0740	1	Private
0741	1	Private
0742	1	Public
0743	1	Private
0744	1	Private
0745	1	Public
0746	1	Public
0747	1	Public
0748	1	Public
0749	1	Private
0750	1	Public
0751	1	Public
0752	1	Private
0753	1	Private
0754	1	Private
0755	1	Private
0756	1	Private
0757	1	Public
0758	1	Public
0759	1	Public
0760	1	Public
0761	1	Public
0762	1	Public
0763	1	Public
0764	1	Public
0765	1	Private
0766	1	Private
0767	1	Private
0768	1	Private
0769	1	Private
0770	1	Private
0771	1	Public
0772	1	Public
0773	1	Public
0774	1	Public
0775	1	Public
0776	1	Public
0777	1	Public
0778	1	Public
0779	1	Public
0780	1	Public
0781	1	Public
0782	1	Public
0783	1	Public
0784	1	Public
0785	1	Public
0786	1	Private
0787	1	Private
0788	1	Public
0789	1	Private
0790	1	Public
0791	1	Public
0792	1	Private
0793	1	Private
0794	1	Private
0795	1	Private
0796	1	Private
0797	1	Public
0798	1	Private
0799	1	Public
0800	1	Public
0801	1	Public
0802	1	Public
0803	1	Private
0804	1	Private
0805	1	Private
0806	1	Private
0807	1	Private
0808	1	Private
0809	1	Private
0810	1	Private
0811	1	Private
0812	1	Private
0813	1	Public
0814	1	Private
0815	1	Private
0816	1	Private
0817	1	Public
0818	1	Private
0819	1	Private
0820	1	Private
0821	1	Public
0822	1	Public
0823	1	Private
0824	1	Private
0825	1	Private
0826	1	Private
0827	1	Private
0828	1	Private
0829	1	Public
0830	1	Public
0831	1	Public
0832	1	Public
0833	1	Public
0834	1	Private
0835	1	Public
0836	1	Public
0837	1	Public
0838	1	Public
0839	1	Private
0840	1	Private
0841	1	Private
0842	1	Private
0843	1	Public
0844	1	Public
0845	1	Public
0846	1	Private
0847	1	Private
0848	1	Private
0849	1	Private
0850	1	Private
0851	1	Private
0852	1	Private
0853	1	Private
0854	1	Private
0855	1	Public
0856	1	Public
0857	1	Public
0858	1	Public
0859	1	Public
0860	1	Public
0861	1	Public
0862	1	Public
0863	1	Public
0864	1	Public
0865	1	Public
0866	1	Public
0867	1	Private
0868	1	Private
0869	1	Private
0870	1	Private
0871	1	Private
0872	1	Private
0873	1	Private
0874	1	Private
0875	1	Private
0876	1	Private
0877	1	Private
0878	1	Private
0879	1	Private
0880	1	Private
0881	1	Private
0882	1	Public
0883	1	Private
0884	1	Private
0885	1	Private
0886	1	Private
0887	1	Private
0888	1	Public
0889	1	Public
0890	1	Public
0891	1	Private
0892	1	Private
0893	1	Private
0894	1	Private
0895	1	Private
0896	1	Private
0897	1	Private
0898	1	Private
0899	1	Private
0900	1	Private
0901	1	Private
0902	1	Private
0903	1	Private
0904	1	Private
0905	1	Private
0906	1	Private
0907	1	Private
0908	1	Private
0909	1	Private
0910	1	Private
0911	1	Private
0912	1	Public
0913	1	Private
0914	1	Public
0915	1	Private
0916	1	Public
0917	1	Private
0918	1	Private
0919	1	Private
0920	1	Private
0921	1	Private
0922	1	Private
0923	1	Private
0924	1	Public
0925	1	Private
0926	1	Private
0927	1	Public
0928	1	Private
0929	1	Private
0930	1	Private
0931	1	Public
0932	1	Private
0933	1	Public
0934	1	Private
0935	1	Private
0936	1	Private
0937	1	Private
0938	1	Private
0939	1	Public
0940	1	Public
0941	1	Private
0942	1	Private
0943	1	Private
0944	1	Public
0945	1	Private
0946	1	Private
0947	1	Private
0948	1	Private
0949	1	Private
0950	1	Private
0951	1	Private
0952	1	Private
0953	1	Private
0954	1	Private
0955	1	Public
0956	1	Private
0957	1	Private
0958	1	Private
0959	1	Public
0960	1	Public
0961	1	Private
0962	1	Private
0963	1	Private
0964	1	Private
0965	1	Private
0966	1	Private
0967	1	Private
0968	1	Private
0969	1	Private
0970	1	Private
0971	1	Private
0972	1	Private
0973	1	Public
0974	1	Private
0975	1	Private
0976	1	Private
0977	1	Private
0978	1	Private
0979	1	Private
0980	1	Private
0981	1	Private
0982	1	Private
0983	1	Private
0984	1	Public
0985	1	Public
0986	1	Public
0987	1	Public
0988	1	Public
0989	1	Public
0990	1	Public
0991	1	Private
0992	1	Public
0993	1	Private
0994	1	Private
0995	1	Private
0996	1	Private
0997	1	Private
0998	1	Private
0999	1	Private
1000	1	Public
1001	1	Private
1002	1	Private
1003	1	Private
1004	1	Private
1005	1	Private
1006	1	Public
1007	1	Private
1008	1	Private
1009	1	Private
1010	1	Private
1011	1	Private
1012	1	Private
1013	1	Private
1014	1	Private
1015	1	Private
1016	1	Private
1017	1	Private
1018	1	Private
1019	1	Public
1020	1	Public
1021	1	Public
1022	1	Private
1023	1	Public
1024	1	Private
1025	1	Private
1026	1	Public
